"mouse_symbol","human_symbol","sources","source_count","confidence_score","mapping_type"
"1700001P01Rik","C17orf98","homologene+ensembl",2,"1","one_to_one"
"1700003E16Rik","C2orf81","homologene+ensembl",2,"1","one_to_one"
"1700003F12Rik","C20orf144","ensembl",1,"0.6","one_to_one"
"1700006E09Rik","C17orf105","ensembl",1,"0.6","one_to_one"
"1700007G11Rik","C4orf22","ensembl",1,"0.6","one_to_one"
"1700007K13Rik","C9orf116","homologene+ensembl",2,"1","one_to_one"
"1700008O03Rik","C19orf81","homologene+ensembl",2,"1","one_to_one"
"1700009N14Rik","RAN","ensembl",1,"0.6","one_to_one"
"1700010I14Rik","C6orf118","homologene+ensembl",2,"1","one_to_one"
"1700011H14Rik","CCDC198","ensembl",1,"0.6","one_to_one"
"1700011I03Rik","CCDC192","ensembl",1,"0.6","one_to_one"
"1700011L22Rik","C4orf51","homologene+ensembl",2,"1","one_to_one"
"1700012B09Rik","C11orf97","homologene+ensembl",2,"1","one_to_one"
"1700012P22Rik","C1orf158","homologene+ensembl",2,"1","one_to_one"
"1700013F07Rik","C1orf194","homologene+ensembl",2,"1","one_to_one"
"1700015F17Rik","LOC102723899","homologene+ensembl",2,"1","one_to_one"
"1700015G11Rik","CCDC179","ensembl",1,"0.6","one_to_one"
"1700016C15Rik","C1orf100","homologene+ensembl",2,"1","one_to_one"
"1700016G14Rik","C6orf229","ensembl",1,"0.6","one_to_one"
"1700016H13Rik","C4orf36","homologene+ensembl",2,"1","one_to_one"
"1700016K19Rik","C17orf97","homologene+ensembl",2,"1","one_to_one"
"1700017B05Rik","C15orf39","homologene+ensembl",2,"1","one_to_one"
"1700017N19Rik","C12orf50","homologene+ensembl",2,"1","one_to_one"
"1700018B08Rik","C16orf95","homologene+ensembl",2,"1","one_to_one"
"1700019D03Rik","C2orf88","homologene+ensembl",2,"1","one_to_one"
"1700019N19Rik","C10orf82","homologene+ensembl",2,"1","one_to_one"
"1700020A23Rik","C20orf141","homologene+ensembl",2,"1","one_to_one"
"1700020D05Rik","NSMCE3","ensembl",1,"0.6","one_to_one"
"1700020L24Rik","C17orf50","homologene+ensembl",2,"1","one_to_one"
"1700021F05Rik","C6orf203","homologene+ensembl",2,"1","one_to_one"
"1700021F07Rik","C20orf85","homologene+ensembl",2,"1","one_to_one"
"1700022I11Rik","C9orf131","homologene+ensembl",2,"1","one_to_one"
"1700024G13Rik","C10orf53","homologene+ensembl",2,"1","one_to_one"
"1700025G04Rik","C1orf21","homologene+ensembl",2,"1","one_to_one"
"1700028K03Rik","C1orf146","homologene+ensembl",2,"1","one_to_one"
"1700028P14Rik","C9orf135","homologene+ensembl",2,"1","one_to_one"
"1700029H14Rik","C13orf46","homologene",1,"0.8","one_to_one"
"1700029I15Rik","C11orf94","homologene+ensembl",2,"1","one_to_one"
"1700029J07Rik","C4orf47","homologene+ensembl",2,"1","one_to_one"
"1700029P11Rik","NDUFB11","ensembl",1,"0.6","one_to_one"
"1700030J22Rik","C16orf46","homologene+ensembl",2,"1","one_to_one"
"1700030K09Rik","C19orf44","homologene+ensembl",2,"1","one_to_one"
"1700031M16Rik","C12orf54","ensembl",1,"0.6","one_to_one"
"1700034E13Rik","LOC100505841","homologene+ensembl",2,"1","one_to_one"
"1700034I23Rik","FUNDC2","ensembl",1,"0.6","one_to_one"
"1700034J05Rik","C12orf71","homologene+ensembl",2,"1","one_to_one"
"1700037C18Rik","C16orf90","homologene+ensembl",2,"1","one_to_one"
"1700037H04Rik","C20orf27","homologene+ensembl",2,"1","one_to_one"
"1700047I17Rik2","FAM177A1","ensembl",1,"0.6","one_to_one"
"1700066B19Rik","SMIM33","ensembl",1,"0.6","one_to_one"
"1700066M21Rik","C2orf69","homologene+ensembl",2,"1","one_to_one"
"1700067K01Rik","C19orf67","homologene+ensembl",2,"1","one_to_one"
"1700080E11Rik","NUDT16","ensembl",1,"0.6","one_to_one"
"1700088E04Rik","C22orf23","homologene+ensembl",2,"1","one_to_one"
"1700092M07Rik","TEX54","ensembl",1,"0.6","one_to_one"
"1700093K21Rik","C2orf74","homologene+ensembl",2,"1","one_to_one"
"1700094D03Rik","C1orf189","homologene+ensembl",2,"1","one_to_one"
"1700102P08Rik","C3orf62","homologene+ensembl",2,"1","one_to_one"
"1700113H08Rik","C12orf42","homologene+ensembl",2,"1","one_to_one"
"1700123L14Rik","NUP50","ensembl",1,"0.6","one_to_one"
"1700123O20Rik","C14orf119","homologene+ensembl",2,"1","one_to_one"
"1700125H20Rik","C17orf64","homologene+ensembl",2,"1","one_to_one"
"1810009A15Rik","C11orf98","homologene+ensembl",2,"1","one_to_one"
"1810010H24Rik","C17orf58","homologene+ensembl",2,"1","one_to_one"
"1810011H11Rik","C10orf128","ensembl",1,"0.6","one_to_one"
"1810013L24Rik","C16orf72","homologene+ensembl",2,"1","one_to_one"
"1810022K09Rik","RBIS","homologene",1,"0.8","one_to_one"
"1810030O07Rik","CXorf38","homologene+ensembl",2,"1","one_to_one"
"1810037I17Rik","C4orf3","ensembl",1,"0.6","one_to_one"
"1810041L15Rik","SHISAL1","ensembl",1,"0.6","one_to_one"
"1810043G02Rik","CFAP410","homologene",1,"0.8","one_to_one"
"1810046K07Rik","C11orf53","homologene+ensembl",2,"1","one_to_one"
"1810055G02Rik","C11orf24","homologene+ensembl",2,"1","one_to_one"
"2010003K11Rik","C11orf86","homologene+ensembl",2,"1","one_to_one"
"2010005H15Rik","CSTA","ensembl",1,"0.6","one_to_one"
"2010107E04Rik","C14orf2","ensembl",1,"0.6","one_to_one"
"2010111I01Rik","C9orf3","ensembl",1,"0.6","one_to_one"
"2010300C02Rik","KIAA1211L","homologene+ensembl",2,"1","one_to_one"
"2210011C24Rik","MISP3","ensembl",1,"0.6","one_to_one"
"2210016F16Rik","C9orf64","homologene+ensembl",2,"1","one_to_one"
"2210016L21Rik","C12orf43","homologene+ensembl",2,"1","one_to_one"
"2210408I21Rik","KIAA0825","homologene+ensembl",2,"1","one_to_one"
"2300002M23Rik","C6orf15","homologene+ensembl",2,"1","one_to_one"
"2300009A05Rik","C15orf61","homologene+ensembl",2,"1","one_to_one"
"2310007B03Rik","C2orf54","ensembl",1,"0.6","one_to_one"
"2310009B15Rik","C1orf53","homologene+ensembl",2,"1","one_to_one"
"2310011J03Rik","C19orf25","homologene+ensembl",2,"1","one_to_one"
"2310022A10Rik","C19orf47","homologene+ensembl",2,"1","one_to_one"
"2310022B05Rik","C1orf198","homologene+ensembl",2,"1","one_to_one"
"2310030G06Rik","C11orf52","homologene+ensembl",2,"1","one_to_one"
"2310033P09Rik","C1orf35","homologene+ensembl",2,"1","one_to_one"
"2310034C09Rik","KRTAP13-2","homologene+ensembl",2,"1","one_to_one"
"2310034G01Rik","C10orf95","ensembl",1,"0.6","one_to_one"
"2310035C23Rik","KIAA1468","ensembl",1,"0.6","one_to_one"
"2310039H08Rik","C6orf226","ensembl",1,"0.6","one_to_one"
"2310050C09Rik","C1orf68","homologene+ensembl",2,"1","one_to_one"
"2310057J18Rik","C6orf58","ensembl",1,"0.6","one_to_one"
"2310057M21Rik","C10orf88","homologene+ensembl",2,"1","one_to_one"
"2310057N15Rik","KRTAP13-2","homologene+ensembl",2,"1","one_to_one"
"2310061I04Rik","C6orf136","homologene+ensembl",2,"1","one_to_one"
"2410004B18Rik","C1orf52","homologene+ensembl",2,"1","one_to_one"
"2410004P03Rik","C2orf50","homologene+ensembl",2,"1","one_to_one"
"2410015M20Rik","C19orf70","ensembl",1,"0.6","one_to_one"
"2410089E03Rik","C5orf42","ensembl",1,"0.6","one_to_one"
"2410131K14Rik","C12orf49","homologene+ensembl",2,"1","one_to_one"
"2510002D24Rik","C22orf39","ensembl",1,"0.6","one_to_one"
"2510009E07Rik","C3orf70","homologene+ensembl",2,"1","one_to_one"
"2510039O18Rik","KIAA2013","homologene+ensembl",2,"1","one_to_one"
"2610001J05Rik","SMIM30","ensembl",1,"0.6","one_to_one"
"2610028H24Rik","C21orf58","ensembl",1,"0.6","one_to_one"
"2610301B20Rik","C8orf37","homologene+ensembl",2,"1","one_to_one"
"2610507B11Rik","KIAA0100","homologene+ensembl",2,"1","one_to_one"
"2610528A11Rik","C10orf99","ensembl",1,"0.6","one_to_one"
"2610528J11Rik","C1orf210","homologene+ensembl",2,"1","one_to_one"
"2700049A03Rik","KIAA0586","homologene+ensembl",2,"1","one_to_one"
"2700062C07Rik","C18orf21","homologene+ensembl",2,"1","one_to_one"
"2700081O15Rik","C11orf95","homologene+ensembl",2,"1","one_to_one"
"2810004N23Rik","C1orf131","homologene+ensembl",2,"1","one_to_one"
"2810006K23Rik","C12orf65","homologene+ensembl",2,"1","one_to_one"
"2810403A07Rik","KHDC4","ensembl",1,"0.6","one_to_one"
"2810459M11Rik","C2orf72","homologene+ensembl",2,"1","one_to_one"
"2810474O19Rik","KIAA1551","ensembl",1,"0.6","one_to_one"
"2900011O08Rik","BMERB1","homologene",1,"0.8","one_to_one"
"2900026A02Rik","KIAA1671","ensembl",1,"0.6","one_to_one"
"2900092C05Rik","C19orf18","homologene+ensembl",2,"1","one_to_one"
"3110002H16Rik","WDR98","ensembl",1,"0.6","one_to_one"
"3110009E18Rik","C2orf76","homologene+ensembl",2,"1","one_to_one"
"3110035E14Rik","C8orf46","ensembl",1,"0.6","one_to_one"
"3110040N11Rik","C15orf40","homologene+ensembl",2,"1","one_to_one"
"3110043O21Rik","C9orf72","ensembl",1,"0.6","one_to_one"
"3110062M04Rik","C7orf49","ensembl",1,"0.6","one_to_one"
"3110079O15Rik","SNORC","ensembl",1,"0.6","one_to_one"
"3110082I17Rik","C7orf50","homologene+ensembl",2,"1","one_to_one"
"3425401B19Rik","C10orf71","homologene+ensembl",2,"1","one_to_one"
"3632451O06Rik","C14orf37","ensembl",1,"0.6","one_to_one"
"3830406C13Rik","C3orf14","homologene+ensembl",2,"1","one_to_one"
"4430402I18Rik","SPATA6L","ensembl",1,"0.6","one_to_one"
"4833420G17Rik","C5orf34","homologene+ensembl",2,"1","one_to_one"
"4833427G06Rik","C11orf88","homologene+ensembl",2,"1","one_to_one"
"4833439L19Rik","KIAA1191","homologene+ensembl",2,"1","one_to_one"
"4921504E06Rik","C10orf67","ensembl",1,"0.6","one_to_one"
"4921507P07Rik","C7orf31","homologene+ensembl",2,"1","one_to_one"
"4921517D22Rik","C9orf153","ensembl",1,"0.6","one_to_one"
"4921524J17Rik","C16orf87","homologene+ensembl",2,"1","one_to_one"
"4921536K21Rik","C5orf52","homologene+ensembl",2,"1","one_to_one"
"4921539E11Rik","C1orf141","ensembl",1,"0.6","one_to_one"
"4930402H24Rik","C20orf194","homologene+ensembl",2,"1","one_to_one"
"4930404N11Rik","C19orf71","homologene+ensembl",2,"1","one_to_one"
"4930407I10Rik","C22orf46","ensembl",1,"0.6","one_to_one"
"4930415O20Rik","TEX49","ensembl",1,"0.6","one_to_one"
"4930430F08Rik","C12orf29","homologene+ensembl",2,"1","one_to_one"
"4930432K21Rik","C19orf57","homologene+ensembl",2,"1","one_to_one"
"4930435E12Rik","C3orf30","ensembl",1,"0.6","one_to_one"
"4930444P10Rik","C8orf89","homologene+ensembl",2,"1","one_to_one"
"4930447C04Rik","C14orf39","homologene+ensembl",2,"1","one_to_one"
"4930451I11Rik","C16orf92","homologene+ensembl",2,"1","one_to_one"
"4930452B06Rik","C3orf67","homologene+ensembl",2,"1","one_to_one"
"4930453N24Rik","C3orf38","homologene+ensembl",2,"1","one_to_one"
"4930469K13Rik","C5orf58","ensembl",1,"0.6","one_to_one"
"4930503L19Rik","C18orf54","homologene+ensembl",2,"1","one_to_one"
"4930505A04Rik","C2orf73","homologene+ensembl",2,"1","one_to_one"
"4930522H14Rik","C1orf185","homologene+ensembl",2,"1","one_to_one"
"4930523C07Rik","KIAA0040","homologene+ensembl",2,"1","one_to_one"
"4930524B15Rik","C5orf47","homologene+ensembl",2,"1","one_to_one"
"4930539E08Rik","C6orf222","homologene+ensembl",2,"1","one_to_one"
"4930544D05Rik","C17orf107","homologene+ensembl",2,"1","one_to_one"
"4930550C14Rik","C11orf65","homologene+ensembl",2,"1","one_to_one"
"4930553J12Rik","KRTAP15-1","ensembl",1,"0.6","one_to_one"
"4930558C23Rik","CTXND2","ensembl",1,"0.6","one_to_one"
"4930558K02Rik","C1orf105","homologene+ensembl",2,"1","one_to_one"
"4930562C15Rik","C16orf96","homologene+ensembl",2,"1","one_to_one"
"4930563D23Rik","C21orf140","ensembl",1,"0.6","one_to_one"
"4930563E22Rik","C17orf100","homologene+ensembl",2,"1","one_to_one"
"4930578C19Rik","CXorf36","ensembl",1,"0.6","one_to_one"
"4930578I06Rik","C8orf74","homologene+ensembl",2,"1","one_to_one"
"4930579F01Rik","C4orf17","homologene+ensembl",2,"1","one_to_one"
"4930579G24Rik","C4orf46","homologene+ensembl",2,"1","one_to_one"
"4930590J08Rik","C3orf20","homologene+ensembl",2,"1","one_to_one"
"4931406C07Rik","C11orf54","homologene+ensembl",2,"1","one_to_one"
"4931406P16Rik","KIAA0355","homologene+ensembl",2,"1","one_to_one"
"4931409K22Rik","IQCA1L","ensembl",1,"0.6","one_to_one"
"4931414P19Rik","C14orf93","homologene+ensembl",2,"1","one_to_one"
"4931417E11Rik","JKAMP","ensembl",1,"0.6","one_to_one"
"4931428F04Rik","KIAA0895L","homologene+ensembl",2,"1","one_to_one"
"4931440F15Rik","FEM1A","ensembl",1,"0.6","one_to_one"
"4932411N23Rik","DMTF1","ensembl",1,"0.6","one_to_one"
"4932438A13Rik","KIAA1109","homologene+ensembl",2,"1","one_to_one"
"4932438H23Rik","C21orf62","homologene+ensembl",2,"1","one_to_one"
"4933400A11Rik","CAPZA1","ensembl",1,"0.6","one_to_one"
"4933402J07Rik","C16orf78","homologene+ensembl",2,"1","one_to_one"
"4933402N03Rik","C10orf120","homologene+ensembl",2,"1","one_to_one"
"4933405L10Rik","C16orf86","homologene+ensembl",2,"1","one_to_one"
"4933411K16Rik","C10orf62","homologene+ensembl",2,"1","one_to_one"
"4933416C03Rik","TAF7L","ensembl",1,"0.6","one_to_one"
"4933417A18Rik","C6orf201","homologene+ensembl",2,"1","one_to_one"
"4933424G06Rik","C2orf92","ensembl",1,"0.6","one_to_one"
"4933427D14Rik","KIAA0753","homologene+ensembl",2,"1","one_to_one"
"4933430I17Rik","C9orf43","homologene+ensembl",2,"1","one_to_one"
"4933434E20Rik","C1orf43","homologene+ensembl",2,"1","one_to_one"
"5031439G07Rik","KIAA0930","homologene+ensembl",2,"1","one_to_one"
"5330417C22Rik","KIAA1324","homologene+ensembl",2,"1","one_to_one"
"5430427O19Rik","CXorf21","homologene+ensembl",2,"1","one_to_one"
"5730409E04Rik","C1orf216","homologene+ensembl",2,"1","one_to_one"
"5730455P16Rik","C17orf75","homologene+ensembl",2,"1","one_to_one"
"5730480H06Rik","PACRGL","ensembl",1,"0.6","one_to_one"
"5730559C18Rik","C1orf106","ensembl",1,"0.6","one_to_one"
"6030419C18Rik","C15orf59","ensembl",1,"0.6","one_to_one"
"6030458C11Rik","C5orf22","homologene+ensembl",2,"1","one_to_one"
"6030468B19Rik","C17orf99","homologene+ensembl",2,"1","one_to_one"
"6330403K07Rik","LOC728392","homologene+ensembl",2,"1","one_to_one"
"6430548M08Rik","KIAA0513","homologene+ensembl",2,"1","one_to_one"
"6430550D23Rik","C20orf173","homologene+ensembl",2,"1","one_to_one"
"6430571L13Rik","C3orf18","homologene+ensembl",2,"1","one_to_one"
"6430573F11Rik","KIAA1456","ensembl",1,"0.6","one_to_one"
"6820408C15Rik","C20orf96","homologene+ensembl",2,"1","one_to_one"
"8030462N17Rik","C18orf25","homologene+ensembl",2,"1","one_to_one"
"8430408G22Rik","DEPP1","ensembl",1,"0.6","one_to_one"
"9030624J02Rik","C16orf62","ensembl",1,"0.6","one_to_one"
"9130008F23Rik","C6orf141","homologene+ensembl",2,"1","one_to_one"
"9130011E15Rik","C10orf76","ensembl",1,"0.6","one_to_one"
"9130401M01Rik","C8orf76","homologene+ensembl",2,"1","one_to_one"
"9130409I23Rik","DEGS1","ensembl",1,"0.6","one_to_one"
"9230104L09Rik","CST9","ensembl",1,"0.6","one_to_one"
"9230110C19Rik","C11orf70","ensembl",1,"0.6","one_to_one"
"9330159F19Rik","KIAA0408","homologene+ensembl",2,"1","one_to_one"
"9330182L06Rik","KIAA1324L","homologene+ensembl",2,"1","one_to_one"
"9430015G10Rik","C1orf159","homologene+ensembl",2,"1","one_to_one"
"9430038I01Rik","C10orf143","ensembl",1,"0.6","one_to_one"
"9530003J23Rik","LYZ","ensembl",1,"0.6","one_to_one"
"9530053A07Rik","FCGBP","ensembl",1,"0.6","one_to_one"
"9530068E07Rik","C5orf15","homologene+ensembl",2,"1","one_to_one"
"9530077C05Rik","KIAA0895","homologene+ensembl",2,"1","one_to_one"
"9930012K11Rik","C8orf58","homologene+ensembl",2,"1","one_to_one"
"9930021J03Rik","KIAA2026","homologene+ensembl",2,"1","one_to_one"
"9930104L06Rik","C1orf109","homologene+ensembl",2,"1","one_to_one"
"A130010J15Rik","C1orf74","homologene+ensembl",2,"1","one_to_one"
"A1bg","A1BG","homologene+ensembl",2,"1","one_to_one"
"A1cf","A1CF","homologene+ensembl",2,"1","one_to_one"
"A230050P20Rik","C19orf66","homologene+ensembl",2,"1","one_to_one"
"A26c2","CCDC144A","ensembl",1,"0.6","one_to_one"
"A2m","A2M","homologene+ensembl",2,"1","one_to_one"
"A2ml1","OVOS2","homologene+ensembl",2,"1","one_to_one"
"A3galt2","A3GALT2","homologene+ensembl",2,"1","one_to_one"
"A430005L14Rik","C1orf174","homologene+ensembl",2,"1","one_to_one"
"A430105I19Rik","CCDC9B","ensembl",1,"0.6","one_to_one"
"A4galt","A4GALT","homologene+ensembl",2,"1","one_to_one"
"A4gnt","A4GNT","homologene+ensembl",2,"1","one_to_one"
"A530016L24Rik","C14orf180","homologene+ensembl",2,"1","one_to_one"
"A730017C20Rik","KIAA1024L","ensembl",1,"0.6","one_to_one"
"A730046J19Rik","SERTM2","ensembl",1,"0.6","one_to_one"
"A830010M20Rik","KIAA1107","homologene+ensembl",2,"1","one_to_one"
"A830018L16Rik","C8orf34","homologene+ensembl",2,"1","one_to_one"
"A930017K11Rik","PRR35","ensembl",1,"0.6","one_to_one"
"A930018P22Rik","C11orf91","homologene+ensembl",2,"1","one_to_one"
"AA467197","C15orf48","homologene+ensembl",2,"1","one_to_one"
"AA986860","C1orf116","homologene+ensembl",2,"1","one_to_one"
"AB124611","C19orf38","homologene+ensembl",2,"1","one_to_one"
"AF357425","SNORD113-6","ensembl",1,"0.6","one_to_one"
"AF529169","KIAA1024","ensembl",1,"0.6","one_to_one"
"AI314180","KIAA0368","ensembl",1,"0.6","one_to_one"
"AI429214","C8orf48","homologene+ensembl",2,"1","one_to_one"
"AI464131","MYORG","ensembl",1,"0.6","one_to_one"
"AI467606","C16orf54","homologene+ensembl",2,"1","one_to_one"
"AI481877","C9orf84","ensembl",1,"0.6","one_to_one"
"AI593442","C11orf87","homologene+ensembl",2,"1","one_to_one"
"AI597479","C2orf49","homologene+ensembl",2,"1","one_to_one"
"AI661453","C6orf132","ensembl",1,"0.6","one_to_one"
"AI837181","C11orf68","homologene+ensembl",2,"1","one_to_one"
"AI846148","C11orf84","ensembl",1,"0.6","one_to_one"
"AK157302","ISCA1","ensembl",1,"0.6","one_to_one"
"ATP6","ATP6","homologene+ensembl",2,"1","one_to_one"
"AU015836","CHCHD4","ensembl",1,"0.6","one_to_one"
"AU019823","NKAPD1","ensembl",1,"0.6","one_to_one"
"AU021092","C16orf89","homologene+ensembl",2,"1","one_to_one"
"AU022252","C1orf50","homologene+ensembl",2,"1","one_to_one"
"AU040320","KIAA0319L","homologene+ensembl",2,"1","one_to_one"
"AW209491","C7orf25","homologene+ensembl",2,"1","one_to_one"
"AW549877","C5orf51","homologene+ensembl",2,"1","one_to_one"
"AW551984","VWA5A","ensembl",1,"0.6","one_to_one"
"AW554918","KIAA1328","homologene+ensembl",2,"1","one_to_one"
"Aaas","AAAS","homologene+ensembl",2,"1","one_to_one"
"Aacs","AACS","homologene+ensembl",2,"1","one_to_one"
"Aadac","AADAC","homologene+ensembl",2,"1","one_to_one"
"Aadacl2","AADACL2","homologene+ensembl",2,"1","one_to_one"
"Aadacl3","AADACL3","homologene+ensembl",2,"1","one_to_one"
"Aadacl4","AADACL4","homologene+ensembl",2,"1","one_to_one"
"Aadat","AADAT","homologene+ensembl",2,"1","one_to_one"
"Aaed1","AAED1","ensembl",1,"0.6","one_to_one"
"Aagab","AAGAB","homologene+ensembl",2,"1","one_to_one"
"Aak1","AAK1","homologene+ensembl",2,"1","one_to_one"
"Aamdc","AAMDC","homologene+ensembl",2,"1","one_to_one"
"Aamp","AAMP","homologene+ensembl",2,"1","one_to_one"
"Aanat","AANAT","homologene+ensembl",2,"1","one_to_one"
"Aar2","AAR2","homologene+ensembl",2,"1","one_to_one"
"Aard","AARD","homologene+ensembl",2,"1","one_to_one"
"Aars","AARS","homologene+ensembl",2,"1","one_to_one"
"Aars2","AARS2","homologene+ensembl",2,"1","one_to_one"
"Aarsd1","AARSD1","homologene+ensembl",2,"1","one_to_one"
"Aasdh","AASDH","homologene+ensembl",2,"1","one_to_one"
"Aasdhppt","AASDHPPT","homologene+ensembl",2,"1","one_to_one"
"Aass","AASS","homologene+ensembl",2,"1","one_to_one"
"Aatf","AATF","homologene+ensembl",2,"1","one_to_one"
"Aatk","AATK","homologene+ensembl",2,"1","one_to_one"
"Abat","ABAT","homologene+ensembl",2,"1","one_to_one"
"Abca1","ABCA1","homologene+ensembl",2,"1","one_to_one"
"Abca12","ABCA12","homologene+ensembl",2,"1","one_to_one"
"Abca13","ABCA13","homologene+ensembl",2,"1","one_to_one"
"Abca2","ABCA2","homologene+ensembl",2,"1","one_to_one"
"Abca3","ABCA3","homologene+ensembl",2,"1","one_to_one"
"Abca4","ABCA4","homologene+ensembl",2,"1","one_to_one"
"Abca5","ABCA5","homologene+ensembl",2,"1","one_to_one"
"Abca6","ABCA6","homologene+ensembl",2,"1","one_to_one"
"Abca7","ABCA7","homologene+ensembl",2,"1","one_to_one"
"Abca8b","ABCA8","homologene+ensembl",2,"1","one_to_one"
"Abca9","ABCA9","homologene+ensembl",2,"1","one_to_one"
"Abcb10","ABCB10","homologene+ensembl",2,"1","one_to_one"
"Abcb11","ABCB11","homologene+ensembl",2,"1","one_to_one"
"Abcb1a","ABCB1","homologene+ensembl",2,"1","one_to_one"
"Abcb1b","ABCB1","ensembl",1,"0.6","one_to_one"
"Abcb4","ABCB4","homologene+ensembl",2,"1","one_to_one"
"Abcb5","ABCB5","homologene+ensembl",2,"1","one_to_one"
"Abcb6","ABCB6","homologene+ensembl",2,"1","one_to_one"
"Abcb7","ABCB7","homologene+ensembl",2,"1","one_to_one"
"Abcb8","ABCB8","homologene+ensembl",2,"1","one_to_one"
"Abcb9","ABCB9","homologene+ensembl",2,"1","one_to_one"
"Abcc1","ABCC1","homologene+ensembl",2,"1","one_to_one"
"Abcc10","ABCC10","homologene+ensembl",2,"1","one_to_one"
"Abcc12","ABCC12","homologene+ensembl",2,"1","one_to_one"
"Abcc2","ABCC2","homologene+ensembl",2,"1","one_to_one"
"Abcc3","ABCC3","homologene+ensembl",2,"1","one_to_one"
"Abcc4","ABCC4","homologene+ensembl",2,"1","one_to_one"
"Abcc5","ABCC5","homologene+ensembl",2,"1","one_to_one"
"Abcc6","ABCC6","homologene+ensembl",2,"1","one_to_one"
"Abcc8","ABCC8","homologene+ensembl",2,"1","one_to_one"
"Abcc9","ABCC9","homologene+ensembl",2,"1","one_to_one"
"Abcd1","ABCD1","homologene+ensembl",2,"1","one_to_one"
"Abcd2","ABCD2","homologene+ensembl",2,"1","one_to_one"
"Abcd3","ABCD3","homologene+ensembl",2,"1","one_to_one"
"Abcd4","ABCD4","homologene+ensembl",2,"1","one_to_one"
"Abce1","ABCE1","homologene+ensembl",2,"1","one_to_one"
"Abcf1","ABCF1","homologene+ensembl",2,"1","one_to_one"
"Abcf2","ABCF2","homologene+ensembl",2,"1","one_to_one"
"Abcf3","ABCF3","homologene+ensembl",2,"1","one_to_one"
"Abcg1","ABCG1","homologene+ensembl",2,"1","one_to_one"
"Abcg2","ABCG2","homologene+ensembl",2,"1","one_to_one"
"Abcg3","ABCG2","ensembl",1,"0.6","one_to_one"
"Abcg4","ABCG4","homologene+ensembl",2,"1","one_to_one"
"Abcg5","ABCG5","homologene+ensembl",2,"1","one_to_one"
"Abcg8","ABCG8","homologene+ensembl",2,"1","one_to_one"
"Abhd10","ABHD10","homologene+ensembl",2,"1","one_to_one"
"Abhd11","ABHD11","homologene+ensembl",2,"1","one_to_one"
"Abhd12","ABHD12","homologene+ensembl",2,"1","one_to_one"
"Abhd12b","ABHD12B","homologene+ensembl",2,"1","one_to_one"
"Abhd13","ABHD13","homologene+ensembl",2,"1","one_to_one"
"Abhd14a","ABHD14A","homologene+ensembl",2,"1","one_to_one"
