Target_genes	Klf9|Average	SRX2185047|Unclassified	SRX2185048|Unclassified	SRX2185049|Unclassified	SRX2185050|Unclassified	SRX2185051|Unclassified	STRING
Prr19	261.8	0	269	429	282	329	0
Pafah1b3	261.8	0	269	429	282	329	0
Exo5	260.6	0	315	289	388	311	0
Tprn	259.6	0	192	328	505	273	0
Vim	258.6	0	304	352	322	315	0
Rnaset2b	256.6	0	170	370	306	437	0
Nr3c1	256.6	0	255	516	284	228	0
Rest	256.4	0	301	411	347	223	0
Rhbdd3	255.6	0	225	274	327	452	0
Ewsr1	255.6	0	225	274	327	452	0
Efna5	253.4	0	146	369	330	422	0
Jade2	252.8	0	299	453	271	241	0
Rnf13	252.0	0	325	339	233	363	0
Lrig1	246.6	0	277	409	273	274	0
Nadk2	246.4	0	216	394	294	328	0
Rnaset2a	245.4	0	165	370	296	396	0
Sowahc	244.8	0	196	433	293	302	0
Septin10	244.8	0	196	433	293	302	0
Ptprs	243.4	0	279	389	208	341	0
Tmem41b	241.0	0	204	273	217	511	0
Atat1	240.8	0	191	417	266	330	0
Patl1	239.2	0	309	406	218	263	0
Arpc1b	238.6	0	169	310	296	418	0
Fscn1	237.6	0	224	333	301	330	0
Rnh1	236.6	0	186	319	324	354	0
Oasl1	236.0	277	302	303	298	0	0
Ybx1	234.8	0	213	336	343	282	0
Ppp1r14b	234.6	0	157	444	293	279	0
Fkbp2	234.6	0	157	444	293	279	0
Pacs1	233.4	0	231	434	247	255	0
Amfr	232.2	0	165	430	275	291	0
Rbbp7	230.8	0	220	353	342	239	0
Micall2	229.4	0	304	298	248	297	0
Cdk6	229.0	0	186	359	249	351	0
Rp9	226.8	0	156	375	273	330	0
Ccn5	226.4	0	238	346	241	307	0
Ccnq	224.8	0	104	293	326	401	0
Sltm	224.6	0	176	396	264	287	0
Diablo	222.2	0	217	315	235	344	0
Gpn1	221.8	0	145	293	381	290	0
Pif1	220.4	0	254	269	223	356	0
Mgat1	220.0	0	154	401	201	344	0
Ilf3	220.0	0	181	298	311	310	0
Zfp28	219.8	0	177	277	274	371	0
Fam234a	219.2	0	383	291	208	214	0
Tmem30a	218.4	0	308	293	208	283	0
Plpp1	218.0	0	241	377	251	221	0
Magoh	217.8	0	204	279	337	269	0
Gas2l1	217.4	0	187	238	339	323	0
Aacs	217.2	0	231	266	306	283	0
Psat1	214.6	0	160	356	265	292	0
Anxa5	214.0	0	129	222	317	402	0
1810062G17Rik	214.0	0	129	222	317	402	0
Mdn1	213.4	0	179	227	291	370	0
Cpt2	212.4	0	165	344	168	385	0
Slain2	209.6	0	245	361	211	231	0
Sntb2	209.0	0	193	352	246	254	0
Xpot	208.6	0	164	284	289	306	0
Ssh1	208.4	0	198	315	162	367	0
Pcgf5	207.6	0	170	242	296	330	0
Elp1	207.0	0	179	361	299	196	0
Abitram	207.0	0	179	361	299	196	0
Birc5	206.4	0	159	401	274	198	0
Fam111a	205.6	0	177	368	217	266	0
Bsdc1	205.4	0	123	364	204	336	0
Rpf1	205.2	0	283	222	284	237	0
Endov	205.2	0	181	296	272	277	0
Sart3	205.0	0	134	295	220	376	0
Iscu	205.0	0	134	295	220	376	0
Vgf	204.6	0	123	300	303	297	0
Ncoa3	204.4	0	270	239	282	231	0
Exoc6b	204.4	0	162	294	257	309	0
N4bp2	203.4	0	203	396	295	123	0
Plcb3	203.2	0	0	444	293	279	0
Pprc1	202.6	0	151	340	232	290	0
Sgpl1	200.2	0	241	273	228	259	0
Acbd3	199.0	0	228	308	214	245	0
Lonrf1	197.8	0	159	256	264	310	0
Mfsd14a	197.4	0	122	291	241	333	0
Map2k2	196.2	0	126	249	308	298	0
Mfsd9	194.4	0	137	326	253	256	0
Fzr1	194.4	0	169	297	225	281	0
Nmt2	193.4	0	179	220	203	365	0
Ap1ar	192.6	0	181	278	315	189	0
Acot7	192.6	0	150	347	244	222	0
Eloa	191.8	0	215	316	179	249	0
Bcar1	191.8	0	203	282	209	265	0
Plxna3	190.6	0	201	298	180	274	0
Lst1	189.8	0	218	250	252	229	0
Cers5	189.4	0	177	250	213	307	0
Tspo	188.8	0	170	309	137	328	0
Exoc7	187.6	0	145	230	216	347	0
Skiv2l	187.4	0	148	269	240	280	0
Nelfe	187.4	0	148	269	240	280	0
Ptpn9	187.2	0	172	312	254	198	0
Cep55	186.8	0	111	345	248	230	0
Ap5b1	186.8	0	177	264	163	330	0
9130401M01Rik	186.8	0	217	178	234	305	0
Swap70	186.4	0	313	273	165	181	0
Pbld2	186.4	0	120	305	257	250	0
Hnrnph3	186.4	0	120	305	257	250	0
Nid1	185.6	0	227	244	208	249	0
Naa35	185.2	0	169	194	83	480	0
Uso1	185.0	0	165	280	172	308	0
G3bp2	185.0	0	165	280	172	308	0
Tmem249	182.8	0	161	205	279	269	0
Slc52a2	182.8	0	161	205	279	269	0
Fbxl6	182.8	0	161	205	279	269	0
C77080	182.6	0	97	309	213	294	0
Dap	182.0	0	158	247	269	236	0
Pofut2	181.8	0	242	254	208	205	0
Tef	181.4	0	163	227	216	301	0
Zfp558	181.2	0	188	255	215	248	0
Mbd3l1	181.2	0	188	255	215	248	0
Rps19bp1	180.8	0	158	272	251	223	0
Nup188	180.2	0	167	311	89	334	0
Lgals1	180.2	0	136	329	238	198	0
Dolk	180.2	0	167	311	89	334	0
Hacl1	180.0	0	204	186	216	294	0
Btd	180.0	0	204	186	216	294	0
Daam1	179.6	0	178	339	164	217	0
Tm2d3	178.4	0	132	311	254	195	0
Gtf2f2	178.4	0	116	272	226	278	0
Asb1	178.2	0	127	285	183	296	0
Fosl1	178.0	0	177	369	172	172	0
Plxna1	177.8	0	244	194	223	228	0
Rhbdf2	176.8	0	136	253	147	348	0
Usp49	176.2	0	134	323	145	279	0
Pigv	176.2	0	126	268	194	293	0
Ebna1bp2	175.6	0	0	291	188	399	0
Cfap57	175.6	0	0	291	188	399	0
Zbtb37	175.4	0	195	248	130	304	0
Ttyh2	175.4	0	0	217	327	333	0
Prune2	175.4	0	184	329	164	200	0
Mettl18	175.2	0	149	241	234	252	0
BC055324	175.2	0	149	241	234	252	0
Gnai2	175.0	0	164	286	197	228	0
Mrpl2	174.8	0	188	226	229	231	0
Mettl16	174.8	0	190	238	152	294	0
Klc4	174.8	0	188	226	229	231	0
Gpr137b	174.8	0	166	199	187	322	0
Cul7	174.8	0	188	226	229	231	0
Tmem192	174.6	0	119	312	179	263	0
Dgat1	174.0	0	0	246	341	283	0
Txnrd2	173.0	0	202	294	156	213	0
Comt	173.0	0	202	294	156	213	0
Zhx1	172.8	0	153	292	163	256	0
Pgap2	172.0	0	114	341	151	254	0
Nup98	172.0	0	114	341	151	254	0
Fadd	172.0	0	108	273	234	245	0
Taf11	171.8	0	258	244	134	223	0
Anks1	171.8	0	258	244	134	223	0
Sin3a	171.4	0	97	230	306	224	0
Psd	171.4	0	192	301	148	216	0
Fbxl15	171.4	0	192	301	148	216	0
Erlin2	171.4	0	149	298	172	238	0
Ap3d1	171.2	0	167	261	169	259	0
Tbc1d22a	171.0	0	0	248	415	192	0
Fam214b	171.0	0	149	280	218	208	0
Vmac	170.6	0	157	226	200	270	0
Ndufa11	170.6	0	157	226	200	270	0
Wwp2	170.2	0	186	267	176	222	0
Tekt2	170.0	0	124	307	132	287	0
Marchf9	170.0	0	197	177	200	276	0
Cdk4	170.0	0	197	177	200	276	0
Adprhl2	170.0	0	124	307	132	287	0
Dok4	169.8	0	0	288	268	293	0
Stambp	169.2	0	146	222	252	226	0
Erlin1	168.8	0	152	343	168	181	0
Prrc2a	168.4	0	139	273	138	292	0
Zfp865	168.2	0	195	218	188	240	0
Zfp524	168.2	0	195	218	188	240	0
Rab11b	168.2	0	163	246	202	230	0
Tlcd2	167.8	0	154	263	218	204	0
Usp15	167.2	0	132	273	214	217	0
Faap100	166.4	0	152	327	164	189	0
Dhrs11	166.4	0	230	229	157	216	0
Myof	166.0	0	202	237	173	218	0
Ttc9c	165.8	0	158	240	208	223	0
Srsf10	165.8	0	156	255	236	182	0
Hnrnpul2	165.8	0	158	240	208	223	0
Alad	165.8	0	199	189	225	216	0
Prpsap2	165.6	0	138	266	205	219	0
Nup93	165.0	0	128	218	233	246	0
Sap130	164.8	0	191	224	162	247	0
Mafk	164.6	0	142	189	257	235	0
Polr3g	164.4	0	172	210	215	225	0
Mblac2	164.4	0	172	210	215	225	0
Dhrs13	164.0	0	156	316	203	145	0
Ramac	163.8	0	139	234	203	243	0
Npm1	163.6	0	158	177	187	296	0
Frs2	162.6	0	198	242	159	214	0
Chsy1	162.6	0	166	310	118	219	0
Pfkl	161.6	0	0	366	237	205	0
Actr6	161.4	0	165	402	0	240	0
Crebrf	161.2	0	150	245	201	210	0
Siah2	160.4	0	171	260	176	195	0
Garre1	160.4	0	219	341	0	242	0
Rbm34	158.8	0	158	253	203	180	0
Zfyve16	158.6	0	306	145	125	217	0
Ralbp1	158.6	0	156	279	144	214	0
Eloc	158.4	0	172	246	124	250	0
Dennd2c	158.0	0	117	320	143	210	0
Tab2	157.0	0	131	238	236	180	0
Ankle1	157.0	0	196	198	261	130	0
Stmn1	156.4	0	141	281	198	162	0
Ddit4	156.4	0	0	239	243	300	0
Uba6	155.2	0	168	261	147	200	0
Fibp	154.8	0	177	165	188	244	0
Ccdc85b	154.8	0	177	165	188	244	0
Slc5a3	154.0	0	128	242	207	193	0
Mrps6	154.0	0	128	242	207	193	0
Limk1	153.4	0	113	265	160	229	0
Mapk7	153.2	0	150	225	229	162	0
Pisd	152.6	0	123	194	206	240	0
Osbpl1a	152.6	0	128	231	138	266	0
Lonp1	152.2	0	0	329	204	228	0
Catsperd	152.2	0	0	329	204	228	0
Vps51	151.6	0	231	217	106	204	0
Tmem262	151.6	0	231	217	106	204	0
Dpagt1	151.6	0	130	276	184	168	0
Rala	150.8	0	147	343	144	120	0
Cmss1	150.8	0	0	274	170	310	0
Tepsin	150.6	0	226	203	174	150	0
Nol12	150.6	0	106	296	199	152	0
Ndufaf8	150.6	0	226	203	174	150	0
Copg2	150.4	0	134	189	151	278	0
Hspb8	149.8	0	120	289	126	214	0
Uhrf1	149.4	0	0	316	189	242	0
Ubiad1	149.4	0	140	222	124	261	0
Prr13	149.4	0	133	231	225	158	0
Mtor	149.4	0	140	222	124	261	0
Arrdc5	149.4	0	0	316	189	242	0
Sec31a	149.0	0	127	221	151	246	0
Traf5	148.8	0	108	217	165	254	0
Txndc17	148.6	0	117	224	234	168	0
Guk1	148.6	0	116	230	159	238	0
4933427D14Rik	148.6	0	117	224	234	168	0
Ilvbl	148.4	0	0	260	133	349	0
Dars2	148.2	0	110	233	174	224	0
Fbxl18	148.0	0	156	296	124	164	0
Pkn2	147.6	0	119	153	263	203	0
Chchd6	146.8	0	143	193	194	204	0
Ehbp1l1	146.0	0	154	252	0	324	0
Cstf3	145.2	0	119	195	158	254	0
Ankrd12	145.0	0	131	194	178	222	0
Dock7	144.8	0	136	260	151	177	0
Nfxl1	144.2	0	0	359	203	159	0
Jund	144.2	0	137	233	121	230	0
Iqcn	144.2	0	137	233	121	230	0
Dnajc25	144.0	0	132	278	152	158	0
Zrsr2	143.8	0	119	145	209	246	0
Mapk6	143.4	0	128	196	204	189	0
Gm12500	143.4	0	0	177	250	290	0
Ampd2	143.4	0	0	177	250	290	0
Sec16a	142.4	0	0	227	238	247	0
Morf4l2	142.2	0	77	245	165	224	0
Cmtm6	142.2	0	0	213	228	270	0
Spire2	142.0	0	87	223	198	202	0
Slc39a6	142.0	0	214	208	114	174	0
Elp2	142.0	0	214	208	114	174	0
Rsph3a	141.8	0	142	203	207	157	0
Cct4	141.8	0	182	130	163	234	0
B3gnt9	141.2	0	0	260	245	201	0
Mon2	140.0	0	0	192	233	275	0
Chst12	139.6	0	128	187	158	225	0
Sypl	139.0	0	106	183	257	149	0
Sspn	139.0	0	277	146	160	112	0
Ptpn2	138.8	0	0	278	214	202	0
Trim26	138.6	0	155	192	121	225	0
Usp18	138.4	0	119	231	183	159	0
Twsg1	137.0	0	107	149	228	201	0
Abcf1	136.4	0	0	146	264	272	0
Vcp	135.6	0	0	287	246	145	0
Rara	135.2	0	0	181	231	264	0
Bmp2k	135.2	0	0	255	203	218	0
Pomp	135.0	0	118	300	0	257	0
Pyroxd1	134.8	0	142	223	167	142	0
Armc5	134.8	0	114	230	167	163	0
9930021J03Rik	134.8	0	156	156	174	188	0
9130023H24Rik	134.8	0	114	230	167	163	0
Utp18	134.0	0	0	264	221	185	0
Mbtd1	134.0	0	0	264	221	185	0
Suco	133.8	0	148	191	157	173	0
Phf23	133.6	0	188	148	207	125	0
Dvl2	133.6	0	188	148	207	125	0
Med20	133.4	0	145	173	200	149	0
Kctd13	133.4	0	145	168	187	167	0
Gm20517	133.4	0	145	173	200	149	0
Bysl	133.4	0	145	173	200	149	0
Kif20a	133.2	0	0	174	252	240	0
Brd8	133.2	0	0	174	252	240	0
Vti1b	133.0	0	209	154	194	108	0
Timm50	133.0	0	114	197	179	175	0
Sh3glb1	133.0	0	155	198	177	135	0
Rsph3b	132.6	0	124	263	152	124	0
Tinagl1	132.4	0	0	217	184	261	0
Wee1	132.2	0	116	208	190	147	0
Srebf2	132.0	0	142	171	127	220	0
Arhgef17	131.6	0	160	218	160	120	0
Pigk	131.4	0	137	187	129	204	0
Metap1	131.0	0	0	269	152	234	0
Ctdspl	130.8	0	83	252	140	179	0
Commd10	130.6	0	136	214	162	141	0
Lrfn4	130.2	0	114	231	114	192	0
Snx8	130.0	0	0	220	299	131	0
Inka1	130.0	0	69	195	147	239	0
Mtmr12	129.8	0	0	274	183	192	0
Nfkbie	129.0	0	160	161	190	134	0
Msantd2	129.0	0	218	167	131	129	0
Fdps	128.4	0	0	176	184	282	0
Mt2	128.0	0	150	203	152	135	0
Zfp768	127.8	0	0	253	174	212	0
Washc1	127.8	0	0	257	221	161	0
4931428F04Rik	126.6	0	106	166	198	163	0
Nsfl1c	126.4	0	0	210	192	230	0
Pole3	126.0	0	0	189	225	216	0
Gatad2a	125.8	0	0	213	200	216	0
Gpr137	125.0	0	178	181	134	132	0
Bad	125.0	0	178	181	134	132	0
Wdr59	124.4	0	0	218	96	308	0
Spryd7	124.2	0	0	286	177	158	0
Dync1h1	124.2	0	126	275	0	220	0
Ticrr	124.0	0	0	228	156	236	0
Ttc13	123.6	0	137	142	155	184	0
Arv1	123.6	0	137	142	155	184	0
Gpr107	123.0	0	170	255	0	190	0
H13	122.8	0	0	222	181	211	0
Adck5	122.6	0	105	178	104	226	0
Spryd4	122.0	0	125	201	154	130	0
Rbm4b	121.6	0	173	135	117	183	0
Rbm15b	121.4	0	0	231	169	207	0
Manf	121.4	0	0	231	169	207	0
Zmym6	121.0	0	0	246	112	247	0
Asf1a	120.6	0	156	124	162	161	0
Zfp408	119.6	0	103	157	153	185	0
Arhgap1	119.6	0	103	157	153	185	0
Rnmt	119.2	0	0	189	153	254	0
Ptpn23	119.2	0	0	218	149	229	0
Fam210a	119.2	0	0	189	153	254	0
Rce1	119.0	0	126	196	140	133	0
Ncapg2	118.8	0	0	219	209	166	0
Zgpat	118.6	0	161	193	108	131	0
Cnpy3	118.6	0	158	127	139	169	0
Arfrp1	118.6	0	161	193	108	131	0
Lmnb1	118.2	0	147	155	122	167	0
Snx15	118.0	0	0	222	175	193	0
Sh2b3	118.0	0	0	167	201	222	0
Psen2	118.0	0	0	162	221	207	0
Noxo1	118.0	0	143	160	144	143	0
Gfer	118.0	0	143	160	144	143	0
Ppt1	117.8	0	0	184	233	172	0
Vat1	117.2	0	72	152	171	191	0
Rnd2	117.2	0	72	152	171	191	0
Acly	117.0	0	0	125	188	272	0
Zxdc	116.8	0	0	182	203	199	0
Eefsec	116.8	0	0	174	158	252	0
Znhit6	115.8	0	108	115	175	181	0
Car5b	114.6	0	111	145	138	179	0
Drap1	114.4	0	0	216	158	198	0
AI837181	114.4	0	0	216	158	198	0
Actg1	114.2	0	0	182	177	212	0
Inip	114.0	0	0	231	178	161	0
Cenpw	113.6	0	0	223	147	198	0
Tmem53	113.0	0	213	235	0	117	0
Armh1	113.0	0	213	235	0	117	0
Ube2b	111.8	0	121	283	0	155	0
Slc39a7	111.8	0	0	230	129	200	0
Rxrb	111.8	0	0	230	129	200	0
Ring1	111.8	0	0	230	129	200	0
H2-Ke6	111.8	0	0	230	129	200	0
Cdkl3	111.8	0	121	283	0	155	0
Zfp607b	110.8	0	0	228	181	145	0
Irx5	110.8	0	100	144	171	139	0
Pitpnm1	110.6	0	106	141	149	157	0
Cdk2ap2	110.6	0	106	141	149	157	0
Pir	110.2	0	72	162	140	177	0
Gmip	110.0	0	106	179	148	117	0
Mocs1	109.8	0	159	231	0	159	0
Cbfa2t2	109.4	0	0	184	199	164	0
Tram2	108.6	0	76	149	109	209	0
Hif1an	108.6	0	121	137	102	183	0
Med16	108.4	0	0	193	176	173	0
Zbtb9	107.8	0	0	123	135	281	0
Spg21	107.8	0	87	151	128	173	0
Snx11	107.4	0	0	203	183	151	0
Ccdc85c	107.0	0	135	177	77	146	0
Akt1	107.0	0	0	240	174	121	0
Tdrd7	106.8	0	100	162	114	158	0
Traf4	106.6	0	89	246	0	198	0
Ssb	106.6	0	110	221	0	202	0
Cpt1a	106.6	0	0	263	134	136	0
Ehd1	106.2	0	0	134	209	188	0
Gnb1l	106.0	0	0	225	148	157	0
Arhgap23	105.6	0	164	174	0	190	0
Tsr1	105.4	0	116	135	124	152	0
Sgsm2	105.4	0	116	135	124	152	0
Asmt	105.4	229	141	0	157	0	0
Syap1	104.2	0	0	214	138	169	0
Gins1	104.0	0	104	131	138	147	0
Tgfbr3l	103.8	0	132	155	109	123	0
Snapc2	103.8	0	132	155	109	123	0
Gid4	103.8	0	0	156	149	214	0
Hinfp	103.6	0	0	186	198	134	0
Zfp688	103.4	0	95	150	149	123	0
Mark2	103.0	0	0	119	195	201	0
Zmym1	102.8	0	0	119	232	163	0
Trp53bp1	102.6	0	0	243	114	156	0
Ccdc63	102.6	0	0	170	109	234	0
Clptm1	102.4	0	0	177	133	202	0
Nagk	102.2	0	101	184	90	136	0
Kbtbd2	102.2	0	0	182	132	197	0
Papola	102.0	0	98	151	144	117	0
Magi3	102.0	0	98	151	136	125	0
Cand2	102.0	0	106	149	134	121	0
Tesk1	101.8	0	94	190	125	100	0
Mien1	101.8	0	0	196	154	159	0
Ptger4	101.2	0	75	0	195	236	0
Vps26a	101.0	0	0	117	191	197	0
Por	100.8	0	144	119	95	146	0
Taldo1	100.4	0	0	181	182	139	0
Med26	100.4	0	106	264	0	132	0
Klf10	100.2	0	0	222	117	162	0
Uchl3	99.6	0	0	174	157	167	0
Ccdc107	99.6	0	0	195	146	157	0
Zbtb12	99.4	0	111	184	89	113	0
Ehmt2	99.4	0	111	184	89	113	0
Ndufaf2	99.2	0	0	286	0	210	0
Capg	99.2	0	0	184	136	176	0
Abtb1	99.0	0	0	140	181	174	0
Commd7	98.8	0	155	210	0	129	0
Stk40	98.4	0	0	158	104	230	0
Ctr9	98.4	0	0	217	132	143	0
Usp10	98.2	0	0	191	128	172	0
Pak4	98.2	0	0	140	160	191	0
Khdrbs1	98.2	0	0	132	188	171	0
Map4k3	97.8	0	138	225	126	0	0
Vamp3	97.4	0	0	103	143	241	0
Pcyox1	97.4	0	0	258	107	122	0
Set	96.8	0	0	224	125	135	0
Zfp383	96.6	0	0	208	92	183	0
Zfp27	96.6	0	0	208	92	183	0
Pspn	96.0	0	0	138	116	226	0
Alkbh7	96.0	0	0	138	116	226	0
Ppm1g	95.6	0	0	219	118	141	0
Scfd1	95.4	0	0	121	157	199	0
Ubxn1	95.2	0	109	190	177	0	0
Hsf1	94.8	0	0	157	154	163	0
Bop1	94.8	0	0	157	154	163	0
Ascc1	94.8	0	0	114	183	177	0
Anapc16	94.8	0	0	114	183	177	0
Zfp318	94.6	0	0	141	172	160	0
Rgs12	94.4	0	0	183	122	167	0
Tmem35b	94.2	0	0	171	163	137	0
Lig3	94.2	0	0	155	201	115	0
Sub1	93.8	0	0	185	180	104	0
Zmynd19	93.6	0	0	137	192	139	0
Crocc	93.6	0	0	148	150	170	0
Dpysl3	93.4	0	0	183	140	144	0
Tmc8	93.2	0	108	238	0	120	0
Tmc6	93.2	0	108	238	0	120	0
Ptbp3	93.2	0	0	163	127	176	0
Baz2a	93.2	0	0	161	133	172	0
Atp23	93.2	0	146	132	0	188	0
Psmg1	93.0	0	0	183	123	159	0
Vps26c	92.8	0	88	131	90	155	0
Clint1	92.6	0	0	199	125	139	0
Echs1	92.4	0	0	142	178	142	0
Ttll13	92.2	0	0	127	190	144	0
Kmt2a	92.2	0	0	256	0	205	0
Tmem39b	92.0	0	0	110	171	179	0
Fam107b	92.0	0	0	181	72	207	0
Irf1	91.0	0	0	137	168	150	0
Elf4	91.0	0	0	224	0	231	0
Rnf149	90.8	0	0	196	137	121	0
Tbc1d14	90.6	0	0	184	151	118	0
Mob3c	90.4	0	0	142	157	153	0
Ap1s2	90.4	0	0	142	129	181	0
Gpn2	90.0	0	0	153	199	98	0
Coro1c	89.8	0	0	134	121	194	0
Naxe	88.8	0	0	170	159	115	0
Slc1a5	88.6	0	168	0	131	144	0
Rfx7	88.6	0	167	148	128	0	0
Mettl2	88.2	0	0	175	141	125	0
Vcpkmt	88.0	0	0	236	0	204	0
Cdh12	88.0	212	0	0	228	0	0
Sass6	87.6	0	0	0	127	311	0
Ten1	87.2	0	99	129	141	67	0
Snx30	87.2	0	0	244	100	92	0
Acox1	87.2	0	99	129	141	67	0
Tst	87.0	0	0	212	0	223	0
Mpst	87.0	0	0	212	0	223	0
Dnajc13	87.0	0	0	172	109	154	0
Siah1b	86.8	0	0	217	0	217	0
Lrp8	86.8	0	0	137	96	201	0
Ywhaz	86.4	0	0	152	100	180	0
Ubn2	86.4	0	0	131	144	157	0
Cops6	86.4	0	0	120	137	175	0
Usp28	86.2	0	113	145	0	173	0
Slc10a3	85.8	0	0	183	0	246	0
Gm44504	85.8	0	0	183	0	246	0
Soat1	85.4	0	0	208	0	219	0
Plec	85.2	0	0	140	132	154	0
Dusp12	85.2	0	0	126	172	128	0
Trim37	84.8	0	0	211	0	213	0
Mcrs1	84.6	0	0	161	135	127	0
Frg2f1	84.6	0	0	114	132	177	0
Foxj3	84.6	0	0	114	132	177	0
Unkl	84.4	0	0	150	91	181	0
Specc1	84.4	0	0	123	121	178	0
Cebpg	84.4	0	0	211	0	211	0
Bloc1s5	84.4	0	149	0	170	103	0
BC003965	84.4	0	0	150	91	181	0
Rab8b	84.2	0	0	131	153	137	0
Phf1	84.0	0	0	134	151	135	0
Lclat1	83.8	0	126	130	0	163	0
Lypd11	83.6	217	0	0	0	201	0
Castor1	83.4	0	0	95	97	225	0
Prkra	83.0	0	0	223	0	192	0
Pjvk	83.0	0	0	223	0	192	0
Hk1	83.0	0	114	132	0	169	0
Sgo2a	82.8	0	111	173	0	130	0
Kcnn4	82.8	0	0	0	168	246	0
Ogfod3	82.6	0	0	112	151	150	0
Itpr3	82.6	0	0	163	139	111	0
Hexdc	82.6	0	0	112	151	150	0
Mex3a	82.4	0	0	124	149	139	0
Pak3	82.2	0	121	145	0	145	0
Id3	82.2	0	0	249	0	162	0
Ezh1	82.2	0	92	147	0	172	0
Lims1	82.0	0	0	176	114	120	0
Tstd2	81.6	0	0	166	123	119	0
Ncbp1	81.6	0	0	166	123	119	0
Igf2bp3	81.2	0	116	117	0	173	0
Fam161b	81.2	0	159	148	99	0	0
Coq6	81.2	0	159	148	99	0	0
Exosc5	80.8	0	0	189	93	122	0
Bckdha	80.8	0	0	189	93	122	0
Slbp	80.6	0	0	182	0	221	0
Mov10	80.6	0	0	147	127	129	0
Cttnbp2nl	80.6	0	0	117	151	135	0
Mkrn3	80.4	0	130	128	144	0	0
Acad12	80.4	0	0	0	167	235	0
Tnfaip1	80.0	0	0	115	114	171	0
