Target_genes	Hoxa5|Average	SRX25508380|Spinal_Cord	STRING
Mlh1	105.0	105	0
Epm2aip1	105.0	105	0
Endov	105.0	105	0
Sp4	104.0	104	0
Mapkbp1	104.0	104	0
G3bp2	104.0	104	0
Cdc23	104.0	104	0
Arl4c	104.0	104	0
Ap3m2	104.0	104	0
Zc3h6	103.0	103	0
Timm17a	103.0	103	0
Slc35c1	103.0	103	0
Skida1	103.0	103	0
Rere	103.0	103	0
Pgm2l1	103.0	103	0
Nfxl1	103.0	103	0
Lasp1	103.0	103	0
Htr5b	103.0	103	0
Dstn	103.0	103	0
Cdk5r2	103.0	103	0
Zic4	102.0	102	0
Zic1	102.0	102	0
Unc13b	102.0	102	0
Phf10	102.0	102	0
Mapkapk5	102.0	102	0
Cotl1	102.0	102	0
Atp6v0e	102.0	102	0
Aldh3a2	102.0	102	0
Vezt	101.0	101	0
Tpm3	101.0	101	0
Stox2	101.0	101	0
Slc5a6	101.0	101	0
Npm1	101.0	101	0
Nfatc2	101.0	101	0
Ilf3	101.0	101	0
Fgd6	101.0	101	0
Cblb	101.0	101	0
Atraid	101.0	101	0
Ubtd1	100.0	100	0
Tmtc4	100.0	100	0
St3gal6	100.0	100	0
Rab30	100.0	100	0
Nek4	100.0	100	0
Mms19	100.0	100	0
Fktn	100.0	100	0
Cdk11b	100.0	100	0
4931408C20Rik	100.0	100	0
Zfp787	99.0	99	0
Vdac1	99.0	99	0
Uba52	99.0	99	0
Tes	99.0	99	0
Setd5	99.0	99	0
Rnf4	99.0	99	0
Rex1bd	99.0	99	0
Nkain3	99.0	99	0
Dctn4	99.0	99	0
Zfp608	98.0	98	0
Unkl	98.0	98	0
Ube3c	98.0	98	0
Telo2	98.0	98	0
Rpl22l1	98.0	98	0
Ptx4	98.0	98	0
Percc1	98.0	98	0
Mib1	98.0	98	0
Lrrc57	98.0	98	0
Kif23	98.0	98	0
Kcnj9	98.0	98	0
Ipo7	98.0	98	0
Haus2	98.0	98	0
H3c15	98.0	98	0
H3c14	98.0	98	0
H2ac19	98.0	98	0
H2ac18	98.0	98	0
Gmps	98.0	98	0
Glul	98.0	98	0
Fbxo3	98.0	98	0
Bmpr2	98.0	98	0
BC003965	98.0	98	0
Atp6v1h	98.0	98	0
Ankrd37	98.0	98	0
Ankrd17	98.0	98	0
Alkbh3	98.0	98	0
4931422A03Rik	98.0	98	0
Smarcb1	97.0	97	0
Rps7	97.0	97	0
Nphp1	97.0	97	0
Mtln	97.0	97	0
Ep300	97.0	97	0
Zzz3	96.0	96	0
Tsc22d2	96.0	96	0
Tmeff2	96.0	96	0
Sorbs2	96.0	96	0
Nup214	96.0	96	0
Mapk1	96.0	96	0
Lratd2	96.0	96	0
Dguok	96.0	96	0
Adss	96.0	96	0
Zkscan1	95.0	95	0
Sinhcaf	95.0	95	0
Rbm15	95.0	95	0
Pgm2	95.0	95	0
Ndufc2	95.0	95	0
Kdm5a	95.0	95	0
Hnrnpa0	95.0	95	0
Hmx2	95.0	95	0
Etv6	95.0	95	0
Ctr9	95.0	95	0
Bub3	95.0	95	0
Rps23	94.0	94	0
Psat1	94.0	94	0
Map6	94.0	94	0
Mab21l2	94.0	94	0
Herpud1	94.0	94	0
Gspt1	94.0	94	0
Gm45618	94.0	94	0
Dgke	94.0	94	0
Tmem69	93.0	93	0
Taf3	93.0	93	0
Rbm48	93.0	93	0
Prkce	93.0	93	0
Pex1	93.0	93	0
Hmgcr	93.0	93	0
Gpbp1l1	93.0	93	0
Calu	93.0	93	0
Tmem65	92.0	92	0
Skp1	92.0	92	0
Serbp1	92.0	92	0
Mrpl17	92.0	92	0
Mfhas1	92.0	92	0
Eef1akmt2	92.0	92	0
Akap11	92.0	92	0
Rps8	91.0	91	0
Ncapd2	91.0	91	0
Mrpl51	91.0	91	0
Kmt2c	91.0	91	0
Hnrnpa2b1	91.0	91	0
Eif1ad	91.0	91	0
Dlat	91.0	91	0
Crim1	91.0	91	0
Cbx3	91.0	91	0
Banf1	91.0	91	0
Arhgap39	91.0	91	0
Ran	90.0	90	0
Prr3	90.0	90	0
Pmm1	90.0	90	0
Kcnma1	90.0	90	0
Impact	90.0	90	0
H4c4	90.0	90	0
H2bc6	90.0	90	0
Gnl1	90.0	90	0
Gmcl1	90.0	90	0
Exoc1	90.0	90	0
Dync1i2	90.0	90	0
Ythdc1	89.0	89	0
Wnt8a	89.0	89	0
Tyw5	89.0	89	0
Thoc1	89.0	89	0
Thnsl1	89.0	89	0
Tcf12	89.0	89	0
Ppm1a	89.0	89	0
Plpp7	89.0	89	0
Orc4	89.0	89	0
Mtf1	89.0	89	0
Mettl25	89.0	89	0
Med11	89.0	89	0
Mbd5	89.0	89	0
Mak16	89.0	89	0
Maip1	89.0	89	0
Insig1	89.0	89	0
Hoxb3	89.0	89	0
Hadhb	89.0	89	0
Hadha	89.0	89	0
Fbxo11	89.0	89	0
Enkur	89.0	89	0
Dram2	89.0	89	0
Dnajc30	89.0	89	0
Cept1	89.0	89	0
Ccnt2	89.0	89	0
Ccdc59	89.0	89	0
Bud23	89.0	89	0
Bbs2	89.0	89	0
Abhd17c	89.0	89	0
Vps26c	88.0	88	0
Rpl36al	88.0	88	0
Rcbtb2	88.0	88	0
Nat10	88.0	88	0
Mgat2	88.0	88	0
Dus4l	88.0	88	0
Dffb	88.0	88	0
Cog5	88.0	88	0
Cep104	88.0	88	0
Atxn2l	88.0	88	0
Actb	88.0	88	0
Tgfbrap1	87.0	87	0
Slc35f1	87.0	87	0
Gm3739	87.0	87	0
Esyt2	87.0	87	0
AI597479	87.0	87	0
Tmem178b	86.0	86	0
Prmt6	86.0	86	0
Pinx1	86.0	86	0
Clcn3	86.0	86	0
Chordc1	86.0	86	0
B3gnt5	86.0	86	0
Ube2d1	85.0	85	0
Tpgs1	85.0	85	0
Nr2f2	85.0	85	0
Madcam1	85.0	85	0
Krtap5-5	85.0	85	0
Fmc1	85.0	85	0
Cks2	85.0	85	0
Fdxacb1	84.0	84	0
Dus2	84.0	84	0
Ddx28	84.0	84	0
Creld2	84.0	84	0
Birc6	84.0	84	0
Atf7ip	84.0	84	0
Alg12	84.0	84	0
1110032A03Rik	84.0	84	0
Umad1	83.0	83	0
Stard7	83.0	83	0
Spata5	83.0	83	0
Sh3bp2	83.0	83	0
Rprm	83.0	83	0
Rpa3	83.0	83	0
Nudt6	83.0	83	0
Ndufc1	83.0	83	0
Foxp1	83.0	83	0
Bclaf1	83.0	83	0
Ap1m1	83.0	83	0
Tmem237	82.0	82	0
Slc39a6	82.0	82	0
Slc22a21	82.0	82	0
Setd1b	82.0	82	0
Pitpnm1	82.0	82	0
Gm36176	82.0	82	0
Fbll1	82.0	82	0
Elp2	82.0	82	0
Csde1	82.0	82	0
Cdk2ap2	82.0	82	0
Zfp503	81.0	81	0
Zfhx2	81.0	81	0
Thtpa	81.0	81	0
Rpf2	81.0	81	0
Zgrf1	80.0	80	0
Wdr36	80.0	80	0
Stx18	80.0	80	0
Stmn3	80.0	80	0
Srsf2	80.0	80	0
Sall1	80.0	80	0
Mfsd11	80.0	80	0
Larp7	80.0	80	0
Igf1r	80.0	80	0
Hspa4l	80.0	80	0
Elovl4	80.0	80	0
Dennd5b	80.0	80	0
Crkl	80.0	80	0
Apmap	80.0	80	0
Spred2	79.0	79	0
Rpl7a	79.0	79	0
Pip4k2a	79.0	79	0
Nell2	79.0	79	0
Med22	79.0	79	0
Lactb2	79.0	79	0
Klf10	79.0	79	0
Gm3696	79.0	79	0
Dhx9	79.0	79	0
Schip1	78.0	78	0
Pdpk1	78.0	78	0
Nrcam	78.0	78	0
Mphosph8	78.0	78	0
Gm39115	78.0	78	0
Eif1	78.0	78	0
Ckb	78.0	78	0
Arl6ip1	78.0	78	0
Tpp2	77.0	77	0
Stxbp5	77.0	77	0
Slitrk5	77.0	77	0
Fam234b	77.0	77	0
Caml	77.0	77	0
Pik3c3	76.0	76	0
Mrpl40	76.0	76	0
Marcks	76.0	76	0
Hira	76.0	76	0
Gpr107	76.0	76	0
Cdc42ep3	76.0	76	0
Rab40c	75.0	75	0
Prom1	75.0	75	0
Pde12	75.0	75	0
Gpc6	75.0	75	0
Cry1	75.0	75	0
Ybx1	74.0	74	0
Saysd1	74.0	74	0
Lancl2	74.0	74	0
Hoxb5	74.0	74	0
Dars	74.0	74	0
Dach1	74.0	74	0
Crls1	74.0	74	0
Arhgap21	74.0	74	0
Ahcyl1	74.0	74	0
Thap11	73.0	73	0
Rpl8	73.0	73	0
Rpl26	73.0	73	0
Nutf2	73.0	73	0
Commd5	73.0	73	0
Cenpt	73.0	73	0
Tyw3	72.0	72	0
Srcap	72.0	72	0
Rangap1	72.0	72	0
Pcna	72.0	72	0
Fem1c	72.0	72	0
Cryz	72.0	72	0
Cited2	72.0	72	0
Wdr47	71.0	71	0
Rbks	71.0	71	0
Ppp2r3a	71.0	71	0
Pnisr	71.0	71	0
Babam2	71.0	71	0
Zzef1	70.0	70	0
Ppid	70.0	70	0
Pcdh9	70.0	70	0
Frmd4b	70.0	70	0
Cyb5d2	70.0	70	0
Rnf165	69.0	69	0
Ppp1r10	69.0	69	0
Ncam1	69.0	69	0
Mrps18b	69.0	69	0
Slc43a2	68.0	68	0
Mex3c	68.0	68	0
Dclk2	68.0	68	0
Cox7a2l	68.0	68	0
Arpc2	68.0	68	0
Bcas2	67.0	67	0
Ndufb1	66.0	66	0
Fam110a	66.0	66	0
Dnajb1	66.0	66	0
Cpt1b	66.0	66	0
Cpsf2	66.0	66	0
Chkb	66.0	66	0
Tmco3	65.0	65	0
Supt20	65.0	65	0
Etv3	65.0	65	0
Dcun1d2	65.0	65	0
Asxl2	65.0	65	0
Nsd3	64.0	64	0
Letm2	64.0	64	0
Dcun1d4	64.0	64	0
Vav2	63.0	63	0
Gadd45g	63.0	63	0
Cipc	62.0	62	0
Rsbn1	61.0	61	0
Acly	61.0	61	0
Zfp788	60.0	60	0
Epb41l4a	60.0	60	0
Clpx	59.0	59	0
Slc3a2	58.0	58	0
Qsox1	58.0	58	0
Trp53	0.0	0	442
