Target_genes	Etv5|Average	SRX3775849|Alveolar_type_II_cells	SRX23761407|Ependymoma	SRX4988100|ES_cells	SRX4988101|ES_cells	SRX4988102|ES_cells	SRX4988103|ES_cells	SRX4988104|ES_cells	SRX4988105|ES_cells	STRING
Per2	301.625	2413	0	0	0	0	0	0	0	0
Ptdss1	299.875	2399	0	0	0	0	0	0	0	0
Mterf3	299.875	2399	0	0	0	0	0	0	0	0
Hspe1	299.75	2191	207	0	0	0	0	0	0	0
Hspd1	299.75	2191	207	0	0	0	0	0	0	0
Atg101	298.625	2244	145	0	0	0	0	0	0	0
Rmnd1	297.125	2200	177	0	0	0	0	0	0	0
Armt1	297.125	2200	177	0	0	0	0	0	0	0
Lrpprc	295.75	2366	0	0	0	0	0	0	0	0
Spty2d1	293.125	2042	303	0	0	0	0	0	0	0
Kdm5a	290.75	1986	340	0	0	0	0	0	0	0
Fkbp3	290.75	2326	0	0	0	0	0	0	0	0
Fancm	290.75	2326	0	0	0	0	0	0	0	0
Tmem260	288.0	2094	210	0	0	0	0	0	0	0
Spred2	286.75	2109	185	0	0	0	0	0	0	0
Raly	284.0	2272	0	0	0	0	0	0	0	0
Dut	283.0	2264	0	0	0	0	0	0	0	0
Ndufb1	282.625	2261	0	0	0	0	0	0	0	0
Cpsf2	282.625	2261	0	0	0	0	0	0	0	0
Zfp292	282.375	2151	108	0	0	0	0	0	0	0
Ublcp1	278.75	1900	330	0	0	0	0	0	0	0
Ube2n	278.625	2229	0	0	0	0	0	0	0	0
Tbck	277.5	1672	548	0	0	0	0	0	0	0
Aimp1	277.5	1672	548	0	0	0	0	0	0	0
Hjurp	276.5	1936	276	0	0	0	0	0	0	0
A730008H23Rik	276.5	1936	276	0	0	0	0	0	0	0
Tnrc6a	276.375	2211	0	0	0	0	0	0	0	0
Sspn	272.25	1200	0	150	122	183	133	184	206	0
Tomt	272.0	1974	202	0	0	0	0	0	0	0
Lamtor1	272.0	1974	202	0	0	0	0	0	0	0
Sftpb	270.5	2164	0	0	0	0	0	0	0	0
Git2	270.375	2163	0	0	0	0	0	0	0	0
Ankrd13a	270.375	2163	0	0	0	0	0	0	0	0
Rhbdd3	269.375	2155	0	0	0	0	0	0	0	0
Ewsr1	269.375	2155	0	0	0	0	0	0	0	0
Polg	268.625	2029	120	0	0	0	0	0	0	0
Cltc	265.5	1866	258	0	0	0	0	0	0	0
Ndst2	264.875	2119	0	0	0	0	0	0	0	0
Cnot6	263.125	2105	0	0	0	0	0	0	0	0
Abhd18	262.875	1810	293	0	0	0	0	0	0	0
Zfp219	262.125	2097	0	0	0	0	0	0	0	0
Tmem253	262.125	2097	0	0	0	0	0	0	0	0
Hmgxb3	261.0	1967	121	0	0	0	0	0	0	0
Pih1d2	260.625	1721	364	0	0	0	0	0	0	0
Nkapd1	260.625	1721	364	0	0	0	0	0	0	0
Mff	259.75	1805	273	0	0	0	0	0	0	0
Ctdp1	259.75	2078	0	0	0	0	0	0	0	0
Akt2	258.625	2069	0	0	0	0	0	0	0	0
Zfp384	256.875	1903	152	0	0	0	0	0	0	0
Ubr2	255.625	2045	0	0	0	0	0	0	0	0
Tsnax	255.625	1744	301	0	0	0	0	0	0	0
Ceacam20	255.25	0	0	231	259	426	261	453	412	0
Ccdc85c	254.125	2033	0	0	0	0	0	0	0	0
Pik3r3	253.75	2030	0	0	0	0	0	0	0	0
Uros	253.125	1873	152	0	0	0	0	0	0	0
Bccip	253.125	1873	152	0	0	0	0	0	0	0
Arih2	253.0	1946	78	0	0	0	0	0	0	0
Atg12	252.25	2018	0	0	0	0	0	0	0	0
Ap3s1	252.25	2018	0	0	0	0	0	0	0	0
Ubr4	248.875	1764	227	0	0	0	0	0	0	0
Rpl8	248.375	1790	197	0	0	0	0	0	0	0
Commd5	248.375	1790	197	0	0	0	0	0	0	0
Tigd5	246.625	1973	0	0	0	0	0	0	0	0
Eef1d	246.625	1973	0	0	0	0	0	0	0	0
Sash1	246.0	1968	0	0	0	0	0	0	0	0
Taf15	245.0	1960	0	0	0	0	0	0	0	0
Ap4e1	244.625	1362	595	0	0	0	0	0	0	0
Btaf1	244.375	1955	0	0	0	0	0	0	0	0
Septin11	244.125	1953	0	0	0	0	0	0	0	0
Atxn2l	244.0	1786	166	0	0	0	0	0	0	0
Myl12b	242.75	1853	89	0	0	0	0	0	0	0
Tada3	242.125	1937	0	0	0	0	0	0	0	0
Arpc4	242.125	1937	0	0	0	0	0	0	0	0
Kmt2a	241.75	1641	293	0	0	0	0	0	0	0
Iqch	241.25	1930	0	0	0	0	0	0	0	0
Aagab	241.25	1930	0	0	0	0	0	0	0	0
Mcl1	241.125	1719	210	0	0	0	0	0	0	0
Cd164	240.875	1927	0	0	0	0	0	0	0	0
Fchsd2	240.5	1797	127	0	0	0	0	0	0	0
Nfat5	240.0	1661	259	0	0	0	0	0	0	0
Uchl3	239.875	1919	0	0	0	0	0	0	0	0
Prkci	239.75	1836	82	0	0	0	0	0	0	0
Vps11	239.625	1199	718	0	0	0	0	0	0	0
Pnrc1	238.875	1731	180	0	0	0	0	0	0	0
Nme1	236.0	1519	369	0	0	0	0	0	0	0
Ago3	235.375	1883	0	0	0	0	0	0	0	0
Rpn2	235.0	1766	114	0	0	0	0	0	0	0
Mroh8	235.0	1766	114	0	0	0	0	0	0	0
Atf4	232.75	1692	170	0	0	0	0	0	0	0
Spring1	232.625	1513	348	0	0	0	0	0	0	0
Rnft2	232.625	1513	348	0	0	0	0	0	0	0
Tpp2	232.375	1680	179	0	0	0	0	0	0	0
Mtmr14	232.125	1716	141	0	0	0	0	0	0	0
Frat1	231.625	1853	0	0	0	0	0	0	0	0
Galnt10	229.5	1836	0	0	0	0	0	0	0	0
Rpl32	229.125	1524	309	0	0	0	0	0	0	0
Zfp335	228.625	1638	191	0	0	0	0	0	0	0
Phrf1	228.375	1827	0	0	0	0	0	0	0	0
Lonp2	228.125	1825	0	0	0	0	0	0	0	0
Nol8	227.5	1737	83	0	0	0	0	0	0	0
Mterf1a	227.5	1504	316	0	0	0	0	0	0	0
Cenpp	227.5	1737	83	0	0	0	0	0	0	0
Cdiptos	227.375	1819	0	0	0	0	0	0	0	0
Cdipt	227.375	1819	0	0	0	0	0	0	0	0
Fam104a	227.25	1818	0	0	0	0	0	0	0	0
D11Wsu47e	227.25	1818	0	0	0	0	0	0	0	0
Arfip1	226.125	1682	127	0	0	0	0	0	0	0
Ap1s2	225.625	1805	0	0	0	0	0	0	0	0
Abi2	225.625	1805	0	0	0	0	0	0	0	0
Mettl25	225.375	1655	148	0	0	0	0	0	0	0
Ccdc59	225.375	1655	148	0	0	0	0	0	0	0
Klhl18	224.375	1521	274	0	0	0	0	0	0	0
Kif9	224.375	1521	274	0	0	0	0	0	0	0
Oasl1	224.125	0	363	312	129	256	275	224	234	0
Zfp518a	223.0	1503	281	0	0	0	0	0	0	0
Asah1	223.0	1784	0	0	0	0	0	0	0	0
Nbn	222.75	1629	153	0	0	0	0	0	0	0
Lrrc8a	221.875	1650	125	0	0	0	0	0	0	0
Arih1	221.75	1774	0	0	0	0	0	0	0	0
Mcm7	220.75	1518	248	0	0	0	0	0	0	0
Ap4m1	220.75	1518	248	0	0	0	0	0	0	0
Mterf1b	218.375	1539	208	0	0	0	0	0	0	0
Yap1	217.375	1625	114	0	0	0	0	0	0	0
Ddx5	216.375	1412	319	0	0	0	0	0	0	0
Cep95	216.375	1412	319	0	0	0	0	0	0	0
Mfsd8	216.125	1729	0	0	0	0	0	0	0	0
Tcp11l2	215.75	1726	0	0	0	0	0	0	0	0
Dusp6	215.0	553	1167	0	0	0	0	0	0	0
Prdm10	214.375	1715	0	0	0	0	0	0	0	0
Cops8	214.0	1394	318	0	0	0	0	0	0	0
Prkdc	213.125	1705	0	0	0	0	0	0	0	0
Mcm4	213.125	1705	0	0	0	0	0	0	0	0
Lsr	212.875	1703	0	0	0	0	0	0	0	0
Fam187b	212.875	1703	0	0	0	0	0	0	0	0
Slc25a32	212.125	1451	246	0	0	0	0	0	0	0
Dcaf13	212.125	1451	246	0	0	0	0	0	0	0
Vps26c	211.5	1584	108	0	0	0	0	0	0	0
Rtf2	211.375	1484	207	0	0	0	0	0	0	0
Srxn1	210.0	1680	0	0	0	0	0	0	0	0
Washc1	209.75	1419	259	0	0	0	0	0	0	0
Tmem198	209.75	1678	0	0	0	0	0	0	0	0
Chpf	209.75	1678	0	0	0	0	0	0	0	0
Slc35a1	209.375	1452	223	0	0	0	0	0	0	0
Setx	207.625	1661	0	0	0	0	0	0	0	0
Tpm1	207.25	1658	0	0	0	0	0	0	0	0
Appl2	207.25	1508	150	0	0	0	0	0	0	0
Tst	206.375	1651	0	0	0	0	0	0	0	0
Rrp1	206.375	1541	110	0	0	0	0	0	0	0
Mpst	206.375	1651	0	0	0	0	0	0	0	0
Usp34	206.25	1650	0	0	0	0	0	0	0	0
Krt19	205.625	303	0	236	116	253	154	266	317	0
Sart3	205.5	1401	243	0	0	0	0	0	0	0
Iscu	205.5	1401	243	0	0	0	0	0	0	0
Prdm15	205.0	1640	0	0	0	0	0	0	0	0
Flcn	204.875	1639	0	0	0	0	0	0	0	0
Wdr27	203.625	1365	264	0	0	0	0	0	0	0
1600012H06Rik	203.625	1365	264	0	0	0	0	0	0	0
Pcyt1a	203.5	1532	96	0	0	0	0	0	0	0
Zfp865	203.0	1458	166	0	0	0	0	0	0	0
Zfp524	203.0	1458	166	0	0	0	0	0	0	0
Dvl3	202.375	1619	0	0	0	0	0	0	0	0
Sec14l4	201.125	1609	0	0	0	0	0	0	0	0
Pfdn4	200.625	1605	0	0	0	0	0	0	0	0
Dap3	200.5	1491	113	0	0	0	0	0	0	0
D030056L22Rik	200.125	1471	130	0	0	0	0	0	0	0
Gmfb	199.5	1464	132	0	0	0	0	0	0	0
Gipc1	199.5	1596	0	0	0	0	0	0	0	0
Ppp4r3b	199.125	1315	278	0	0	0	0	0	0	0
Rabgap1	198.625	1589	0	0	0	0	0	0	0	0
Srp19	198.0	1584	0	0	0	0	0	0	0	0
Mat2a	196.875	1575	0	0	0	0	0	0	0	0
Hnrnpa2b1	196.875	1277	298	0	0	0	0	0	0	0
Cbx3	196.875	1277	298	0	0	0	0	0	0	0
Lamtor3	196.75	1574	0	0	0	0	0	0	0	0
Sde2	196.5	1380	192	0	0	0	0	0	0	0
Ttc13	196.0	1458	110	0	0	0	0	0	0	0
Arv1	196.0	1458	110	0	0	0	0	0	0	0
Tmem125	195.375	674	268	114	0	118	131	114	144	0
Prepl	195.375	1099	298	0	0	106	60	0	0	0
Camkmt	195.375	1099	298	0	0	106	60	0	0	0
Rpl37	194.125	1095	160	0	0	134	0	0	164	0
Taf11	193.5	1458	90	0	0	0	0	0	0	0
Anks1	193.5	1458	90	0	0	0	0	0	0	0
Gabpb1	193.0	1544	0	0	0	0	0	0	0	0
Prox2	192.625	1541	0	0	0	0	0	0	0	0
Dlst	192.625	1541	0	0	0	0	0	0	0	0
Fbxw2	192.125	1321	216	0	0	0	0	0	0	0
Ap1m1	191.25	1431	99	0	0	0	0	0	0	0
Nectin2	191.125	1283	246	0	0	0	0	0	0	0
Calm3	190.75	1388	138	0	0	0	0	0	0	0
Mrps35	190.125	1374	147	0	0	0	0	0	0	0
Arl2	189.5	1516	0	0	0	0	0	0	0	0
Pofut2	189.125	1363	150	0	0	0	0	0	0	0
Riok1	188.875	1286	225	0	0	0	0	0	0	0
Cage1	188.875	1286	225	0	0	0	0	0	0	0
Hnrnpd	188.5	1508	0	0	0	0	0	0	0	0
Zfand3	187.75	1502	0	0	0	0	0	0	0	0
Zer1	187.75	1406	96	0	0	0	0	0	0	0
Wrap53	187.5	1132	368	0	0	0	0	0	0	0
Trp53	187.5	1132	368	0	0	0	0	0	0	0
Frat2	186.625	1493	0	0	0	0	0	0	0	0
Rac1	185.25	1482	0	0	0	0	0	0	0	0
Niban2	185.25	1482	0	0	0	0	0	0	0	0
Arpc2	185.25	1482	0	0	0	0	0	0	0	0
Nudcd3	184.625	1212	265	0	0	0	0	0	0	0
Pank3	183.75	1470	0	0	0	0	0	0	0	0
Zzz3	183.25	1227	239	0	0	0	0	0	0	0
Rassf1	183.25	1466	0	0	0	0	0	0	0	0
Actl6a	183.25	1363	103	0	0	0	0	0	0	0
Nol10	183.0	1196	268	0	0	0	0	0	0	0
Nsun6	182.875	1463	0	0	0	0	0	0	0	0
Arl5b	182.875	1463	0	0	0	0	0	0	0	0
Spata33	182.75	1462	0	0	0	0	0	0	0	0
Ska3	182.75	1189	185	0	0	0	88	0	0	0
Mrpl57	182.75	1189	185	0	0	0	88	0	0	0
Chmp1a	182.75	1462	0	0	0	0	0	0	0	0
Golga5	182.375	1459	0	0	0	0	0	0	0	0
Nfkbiz	182.25	1349	109	0	0	0	0	0	0	0
Cfap20	182.125	1457	0	0	0	0	0	0	0	0
Eed	181.75	1454	0	0	0	0	0	0	0	0
Atxn2	181.375	1451	0	0	0	0	0	0	0	0
Ube2v1	181.25	1450	0	0	0	0	0	0	0	0
Csnk1a1	180.75	1280	166	0	0	0	0	0	0	0
Rita1	180.625	1445	0	0	0	0	0	0	0	0
Ddx54	180.625	1445	0	0	0	0	0	0	0	0
Lmbrd1	180.0	1440	0	0	0	0	0	0	0	0
Fbxo22	179.625	1147	290	0	0	0	0	0	0	0
Psma6	179.5	1303	133	0	0	0	0	0	0	0
Senp1	179.375	1278	157	0	0	0	0	0	0	0
Pfkm	179.375	1278	157	0	0	0	0	0	0	0
Smim40	179.25	1434	0	0	0	0	0	0	0	0
Daxx	179.25	1434	0	0	0	0	0	0	0	0
Kifc1	178.875	1204	227	0	0	0	0	0	0	0
Tasor2	178.375	1427	0	0	0	0	0	0	0	0
Neurl4	178.25	1278	148	0	0	0	0	0	0	0
2810408A11Rik	178.25	1278	148	0	0	0	0	0	0	0
Dnajb1	177.875	1423	0	0	0	0	0	0	0	0
Krt10	177.75	1422	0	0	0	0	0	0	0	0
Timmdc1	177.375	1299	120	0	0	0	0	0	0	0
Kansl2	177.375	1419	0	0	0	0	0	0	0	0
Sf3b1	177.0	1416	0	0	0	0	0	0	0	0
Oga	177.0	1416	0	0	0	0	0	0	0	0
Wdr45b	176.875	1415	0	0	0	0	0	0	0	0
Prpf19	176.875	1415	0	0	0	0	0	0	0	0
Utp3	176.25	1137	273	0	0	0	0	0	0	0
Rps14	176.0	1134	274	0	0	0	0	0	0	0
Prkacb	175.75	1308	98	0	0	0	0	0	0	0
Usp4	175.5	1233	171	0	0	0	0	0	0	0
Etf1	175.5	1272	132	0	0	0	0	0	0	0
Trnau1ap	175.375	1228	175	0	0	0	0	0	0	0
Spred1	175.375	1403	0	0	0	0	0	0	0	0
Arhgef7	175.375	1310	93	0	0	0	0	0	0	0
Dnajc16	175.25	992	410	0	0	0	0	0	0	0
Casp9	175.25	992	410	0	0	0	0	0	0	0
Dnajc1	175.125	1111	235	0	0	55	0	0	0	0
Oxnad1	174.375	1071	324	0	0	0	0	0	0	0
Nfe2l2	174.375	1395	0	0	0	0	0	0	0	0
Dph3	174.375	1071	324	0	0	0	0	0	0	0
Dnaja1	174.0	1392	0	0	0	0	0	0	0	0
Tstd2	173.875	1391	0	0	0	0	0	0	0	0
Ncbp1	173.875	1391	0	0	0	0	0	0	0	0
Zfp623	173.25	1267	119	0	0	0	0	0	0	0
Tent5c	172.625	0	0	220	245	222	184	301	209	0
Pigm	172.625	1245	136	0	0	0	0	0	0	0
Mrpl39	172.375	1057	322	0	0	0	0	0	0	0
Aaas	172.375	918	461	0	0	0	0	0	0	0
Tbccd1	172.0	1376	0	0	0	0	0	0	0	0
Dnajb11	172.0	1376	0	0	0	0	0	0	0	0
Tbpl1	171.875	1375	0	0	0	0	0	0	0	0
Hps5	171.875	1375	0	0	0	0	0	0	0	0
Gtf2h1	171.875	1375	0	0	0	0	0	0	0	0
Diaph1	171.375	1371	0	0	0	0	0	0	0	0
Hlcs	170.625	1277	88	0	0	0	0	0	0	0
Rpia	170.375	1259	104	0	0	0	0	0	0	0
Sf3b2	169.625	992	365	0	0	0	0	0	0	0
Gal3st3	169.625	992	365	0	0	0	0	0	0	0
Adrm1	169.25	1189	165	0	0	0	0	0	0	0
Tcf3	169.0	901	451	0	0	0	0	0	0	0
Zfp24	168.875	1351	0	0	0	0	0	0	0	0
Gar1	168.75	1184	166	0	0	0	0	0	0	0
Eif2s1	168.125	1179	166	0	0	0	0	0	0	0
Atp6v1d	168.125	1179	166	0	0	0	0	0	0	0
Mdfic	168.0	1213	131	0	0	0	0	0	0	0
Otud7b	167.875	1343	0	0	0	0	0	0	0	0
Ate1	167.5	1340	0	0	0	0	0	0	0	0
Txndc17	167.375	1157	182	0	0	0	0	0	0	0
4933427D14Rik	167.375	1157	182	0	0	0	0	0	0	0
Ssrp1	167.125	1337	0	0	0	0	0	0	0	0
P2rx3	167.125	1337	0	0	0	0	0	0	0	0
Seh1l	166.5	1332	0	0	0	0	0	0	0	0
Hinfp	166.5	1097	235	0	0	0	0	0	0	0
Tm9sf2	166.375	1172	159	0	0	0	0	0	0	0
Ubfd1	166.25	1330	0	0	0	0	0	0	0	0
Kat5	166.25	1230	100	0	0	0	0	0	0	0
Ears2	166.25	1330	0	0	0	0	0	0	0	0
Cops7a	166.25	1186	144	0	0	0	0	0	0	0
Pramel12	165.875	1177	150	0	0	0	0	0	0	0
Ankrd12	165.875	1327	0	0	0	0	0	0	0	0
Morc3	165.625	1325	0	0	0	0	0	0	0	0
Gpr84	165.375	1022	301	0	0	0	0	0	0	0
Erlin2	165.125	1186	135	0	0	0	0	0	0	0
Vamp3	164.875	1319	0	0	0	0	0	0	0	0
Slc7a6	164.625	1170	147	0	0	0	0	0	0	0
Rsph3a	164.625	1202	115	0	0	0	0	0	0	0
Lmnb1	164.375	1315	0	0	0	0	0	0	0	0
Akirin1	163.875	1311	0	0	0	0	0	0	0	0
Cep63	163.625	1145	164	0	0	0	0	0	0	0
Anapc13	163.625	1145	164	0	0	0	0	0	0	0
Hivep1	163.375	1205	102	0	0	0	0	0	0	0
Ssbp1	163.0	1150	154	0	0	0	0	0	0	0
Pnpla8	163.0	1304	0	0	0	0	0	0	0	0
Ulk4	162.5	1160	140	0	0	0	0	0	0	0
Tspan4	162.5	1153	147	0	0	0	0	0	0	0
Polr2l	162.5	1153	147	0	0	0	0	0	0	0
Ndfip2	162.125	1297	0	0	0	0	0	0	0	0
Mettl23	161.875	1145	150	0	0	0	0	0	0	0
Sod2	161.75	1294	0	0	0	0	0	0	0	0
Caap1	161.625	1293	0	0	0	0	0	0	0	0
Cox20	161.5	1292	0	0	0	0	0	0	0	0
Trim44	161.375	1291	0	0	0	0	0	0	0	0
Tmem230	161.25	1143	147	0	0	0	0	0	0	0
Pcna	161.25	1143	147	0	0	0	0	0	0	0
Mtmr2	160.875	1181	106	0	0	0	0	0	0	0
Dgat2	160.75	1286	0	0	0	0	0	0	0	0
Coq10b	160.375	1283	0	0	0	0	0	0	0	0
Aurkaip1	160.25	1134	148	0	0	0	0	0	0	0
Atp13a3	160.25	1282	0	0	0	0	0	0	0	0
Caprin2	160.0	1178	102	0	0	0	0	0	0	0
Gspt1	159.625	902	375	0	0	0	0	0	0	0
Ythdf3	159.375	1163	112	0	0	0	0	0	0	0
Fam110a	159.25	1274	0	0	0	0	0	0	0	0
Tmem39a	159.125	1136	137	0	0	0	0	0	0	0
Ippk	159.0	1083	189	0	0	0	0	0	0	0
Cct8	158.75	1270	0	0	0	0	0	0	0	0
Epc1	158.25	1266	0	0	0	0	0	0	0	0
Selenow	158.125	1265	0	0	0	0	0	0	0	0
Slx4	158.0	1264	0	0	0	0	0	0	0	0
Gnas	158.0	1264	0	0	0	0	0	0	0	0
Fam13b	158.0	1264	0	0	0	0	0	0	0	0
Zc3h18	157.875	1263	0	0	0	0	0	0	0	0
Ern1	157.875	1263	0	0	0	0	0	0	0	0
Asmt	157.875	367	227	0	0	0	160	241	268	0
Senp7	157.625	1261	0	0	0	0	0	0	0	0
Mdm4	157.375	1259	0	0	0	0	0	0	0	0
Endov	157.0	1132	124	0	0	0	0	0	0	0
Itpkc	156.875	1255	0	0	0	0	0	0	0	0
Coq8b	156.875	1255	0	0	0	0	0	0	0	0
Rab5if	156.75	1036	218	0	0	0	0	0	0	0
Rmnd5a	156.625	1253	0	0	0	0	0	0	0	0
Cherp	156.625	1253	0	0	0	0	0	0	0	0
Frmd6	156.375	1251	0	0	0	0	0	0	0	0
Fndc11	156.25	1067	183	0	0	0	0	0	0	0
BC005537	156.25	1250	0	0	0	0	0	0	0	0
Zfp512b	156.125	1249	0	0	0	0	0	0	0	0
Sec24a	156.125	1167	82	0	0	0	0	0	0	0
Sowahc	156.0	1248	0	0	0	0	0	0	0	0
Septin10	156.0	1248	0	0	0	0	0	0	0	0
Cct5	155.875	1247	0	0	0	0	0	0	0	0
Atpsckmt	155.875	1247	0	0	0	0	0	0	0	0
Fbxo33	155.75	1246	0	0	0	0	0	0	0	0
Mlycd	155.625	1245	0	0	0	0	0	0	0	0
Atp6v0c	155.625	1245	0	0	0	0	0	0	0	0
Ccni	155.375	1020	223	0	0	0	0	0	0	0
2010109A12Rik	155.375	1020	223	0	0	0	0	0	0	0
Prps1l3	155.25	1242	0	0	0	0	0	0	0	0
Mipol1	155.25	1242	0	0	0	0	0	0	0	0
Paxip1	155.125	1241	0	0	0	0	0	0	0	0
Dhx36	155.0	1240	0	0	0	0	0	0	0	0
Isy1	154.375	1055	180	0	0	0	0	0	0	0
Zfp668	154.125	961	272	0	0	0	0	0	0	0
Zfp646	154.125	961	272	0	0	0	0	0	0	0
Rps12	154.0	942	290	0	0	0	0	0	0	0
Ppp4c	154.0	1104	128	0	0	0	0	0	0	0
Them6	153.75	1230	0	0	0	0	0	0	0	0
Katna1	153.625	1229	0	0	0	0	0	0	0	0
Rmdn1	153.375	1125	102	0	0	0	0	0	0	0
Pgs1	153.375	1097	130	0	0	0	0	0	0	0
Cpne3	153.375	1125	102	0	0	0	0	0	0	0
Syt11	153.25	556	0	0	0	145	131	199	195	0
Slc35f6	153.0	1224	0	0	0	0	0	0	0	0
Sdhaf2	153.0	1224	0	0	0	0	0	0	0	0
Rraga	153.0	1224	0	0	0	0	0	0	0	0
Cpsf7	153.0	1224	0	0	0	0	0	0	0	0
Ccndbp1	153.0	1044	180	0	0	0	0	0	0	0
Aff1	152.75	1222	0	0	0	0	0	0	0	0
Akap10	152.375	1219	0	0	0	0	0	0	0	0
N6amt1	152.0	994	222	0	0	0	0	0	0	0
Zbtb45	151.75	1015	199	0	0	0	0	0	0	0
Epn1	151.625	999	214	0	0	0	0	0	0	0
Bcl2l1	151.375	1211	0	0	0	0	0	0	0	0
Togaram1	151.0	1208	0	0	0	0	0	0	0	0
Scrib	151.0	1011	197	0	0	0	0	0	0	0
Klhl28	151.0	1208	0	0	0	0	0	0	0	0
Fubp3	150.875	1042	99	0	0	0	66	0	0	0
Comt	150.875	1106	101	0	0	0	0	0	0	0
Bmt2	150.875	1070	137	0	0	0	0	0	0	0
Zbtb9	150.75	1053	153	0	0	0	0	0	0	0
Wdr37	150.75	1206	0	0	0	0	0	0	0	0
Cfap54	150.5	665	539	0	0	0	0	0	0	0
Ccnl1	150.5	954	250	0	0	0	0	0	0	0
Txnl4b	150.375	932	271	0	0	0	0	0	0	0
Dhx38	150.375	932	271	0	0	0	0	0	0	0
Tmem250-ps	150.25	1202	0	0	0	0	0	0	0	0
Esr1	150.0	0	0	180	165	185	183	243	244	0
Sec31a	149.875	1102	97	0	0	0	0	0	0	0
Ttc14	149.75	980	218	0	0	0	0	0	0	0
Zfp719	149.5	1115	81	0	0	0	0	0	0	0
Cln8	149.5	1196	0	0	0	0	0	0	0	0
Echdc3	149.125	923	270	0	0	0	0	0	0	0
Dcaf15	149.125	1193	0	0	0	0	0	0	0	0
Ankrd11	149.125	1193	0	0	0	0	0	0	0	0
Trim41	148.5	1072	116	0	0	0	0	0	0	0
Syf2	148.5	928	260	0	0	0	0	0	0	0
Rbsn	148.5	999	189	0	0	0	0	0	0	0
Eif4a3	148.5	1061	127	0	0	0	0	0	0	0
Mob1b	148.375	1187	0	0	0	0	0	0	0	0
