Target_genes	Mef2c|Average	SRX1287946|B_cells	SRX1287948|B_cells	SRX5846336|Cardiac_fibroblasts	SRX5846337|Cardiac_fibroblasts	SRX5846338|Cardiac_fibroblasts	SRX5846339|Cardiac_fibroblasts	SRX5846348|Cardiac_fibroblasts	SRX5846349|Cardiac_fibroblasts	SRX5846350|Cardiac_fibroblasts	SRX2497449|Cardiomyocytes	SRX2497450|Cardiomyocytes	SRX2497458|Cardiomyocytes	SRX2497459|Cardiomyocytes	SRX10616116|Cerebellum	SRX10616117|Cerebellum	SRX13554136|MEF	SRX13554137|MEF	SRX13554148|MEF	SRX13554149|MEF	SRX13554160|MEF	SRX13554161|MEF	SRX13554164|MEF	SRX13554165|MEF	SRX3845111|MEF	SRX3845116|MEF	SRX3845122|MEF	SRX4933820|MEF	SRX10616112|Prefrontal_Cortex	SRX10616113|Prefrontal_Cortex	STRING
Atf3	805.896552	0	0	471	2798	3100	3361	3251	2937	3163	0	0	0	0	0	0	0	0	440	266	716	703	863	624	220	189	269	0	0	0	0
Klhdc4	802.62069	0	0	697	3353	3625	3627	3139	3531	3624	0	0	0	0	302	124	0	0	0	0	0	0	128	0	511	397	218	0	0	0	0
Dlg5	775.37931	0	0	549	2740	3795	3565	2945	3328	3621	0	0	0	0	0	0	0	0	198	215	182	300	572	371	0	105	0	0	0	0	0
Ccn2	774.448276	0	0	661	2645	3373	3311	3417	3440	3615	0	0	0	0	0	0	0	0	0	0	195	302	609	384	210	110	73	114	0	0	0
Arhgef12	769.724138	0	0	435	2806	3157	3364	3441	3549	3790	0	0	0	0	93	0	0	0	81	0	186	141	326	239	294	202	218	0	0	0	0
Btg2	750.482759	0	0	495	2784	2583	3145	3087	3074	3484	0	0	0	0	215	0	0	0	226	245	321	419	706	575	141	139	125	0	0	0	0
Ppfia4	729.655172	0	0	175	2216	3108	2922	3226	3035	3204	0	0	0	0	0	0	0	0	293	314	277	378	652	743	215	245	157	0	0	0	0
Sap30bp	727.793103	0	0	721	3146	3682	3894	2192	2917	2595	0	0	0	0	296	274	0	0	0	0	0	99	404	168	106	187	188	0	0	237	0
Recql5	727.793103	0	0	721	3146	3682	3894	2192	2917	2595	0	0	0	0	296	274	0	0	0	0	0	99	404	168	106	187	188	0	0	237	0
Ckap4	719.517241	0	0	687	2755	3223	3194	3366	3562	3518	0	0	0	0	0	0	0	0	0	0	0	215	237	109	0	0	0	0	0	0	0
Sik2	714.413793	0	0	484	2659	3339	3407	3011	3407	3569	0	0	0	0	0	0	0	0	0	0	130	133	119	116	175	92	77	0	0	0	0
Adprhl1	703.344828	0	0	1062	3201	3517	3302	3047	2842	2926	0	0	0	0	0	0	0	0	0	0	0	0	176	253	71	0	0	0	0	0	0
Tcstv3	702.0	2596	963	0	0	0	0	0	0	0	2143	1584	2086	1166	210	313	1175	1264	1031	1218	1134	1126	1109	970	0	195	75	0	0	0	0
Aebp2	685.931034	0	0	411	2766	3212	3348	2828	2890	2913	0	0	0	0	244	232	0	0	0	0	0	0	379	288	103	102	176	0	0	0	0
Plekhh2	676.931034	0	0	287	2165	3318	3190	3161	3332	3137	0	0	0	0	0	0	0	0	0	0	128	183	326	285	0	119	0	0	0	0	0
Stard5	675.62069	0	0	388	2666	3292	3710	2862	2598	2817	0	0	0	0	0	0	0	0	0	0	216	200	273	233	67	119	152	0	0	0	0
Lama4	668.0	0	0	408	3025	3008	3461	2082	2368	2092	0	0	0	0	0	0	0	0	286	308	176	147	376	281	602	462	290	0	0	0	0
Mtpn	667.758621	0	0	0	1896	2954	2859	3446	3532	3716	0	0	0	0	81	0	0	0	0	0	0	153	211	166	0	140	211	0	0	0	0
Sort1	660.068966	0	0	334	1945	3251	3123	2819	2928	3125	0	0	0	0	0	0	0	0	0	0	141	179	501	250	281	130	135	0	0	0	0
Hdac9	655.827586	563	0	184	1302	2643	2479	1975	2596	2724	0	0	0	0	0	0	0	0	215	126	296	367	810	677	965	599	498	0	0	0	0
Arvcf	655.241379	0	0	102	1833	2888	2998	3233	3086	2839	0	0	0	0	155	0	0	0	154	134	174	386	403	388	90	0	139	0	0	0	0
Mgst3	654.586207	0	0	156	1715	2936	3078	2867	2963	2911	0	0	0	0	202	89	0	0	0	0	168	194	348	268	561	232	295	0	0	0	0
Dusp8	648.275862	0	0	309	2273	2507	3366	2916	2351	2695	0	0	0	0	0	172	0	0	211	189	295	444	496	357	75	144	0	0	0	0	0
Slc30a4	642.034483	0	0	100	1599	2336	2796	3464	3566	3642	0	0	0	0	0	0	0	0	0	0	191	349	352	224	0	0	0	0	0	0	0
Olfr71	636.068966	0	0	784	2673	3202	3191	2661	2167	2350	0	0	0	0	0	0	0	0	221	139	165	116	186	119	198	123	151	0	0	0	0
Plpp1	634.793103	0	0	276	2125	2932	3530	2451	3174	3093	0	0	0	0	173	0	0	0	0	0	0	110	156	0	121	97	171	0	0	0	0
Ascl1	631.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1738	1658	2353	2175	2056	2358	2929	2826	0	0	0	206	0	0	0
Syt11	629.724138	0	0	214	1858	2155	2810	3151	2720	3189	0	0	0	0	106	210	0	0	185	180	227	367	499	250	0	141	0	0	0	0	0
Rspo3	623.206897	0	0	255	2214	3167	3140	2542	2642	2685	0	0	0	0	0	0	0	0	0	0	152	168	198	229	287	279	115	0	0	0	0
Rchy1	620.310345	0	0	162	1452	2489	2832	3005	3350	3486	0	0	0	0	236	199	0	0	0	0	0	148	266	0	0	176	188	0	0	0	0
Arid5a	619.034483	0	0	287	2117	2509	3127	3035	2287	2441	0	0	0	0	119	0	0	0	0	106	238	249	466	273	219	244	235	0	0	0	0
Hspa1l	606.344828	0	0	234	1826	2378	2679	2384	2611	2807	0	0	0	0	185	173	0	0	208	0	288	475	466	361	113	248	148	0	0	0	0
Hspa1a	606.344828	0	0	234	1826	2378	2679	2384	2611	2807	0	0	0	0	185	173	0	0	208	0	288	475	466	361	113	248	148	0	0	0	0
Limch1	604.103448	0	0	128	1726	3141	2766	2650	3087	3167	0	0	0	0	0	0	0	0	0	0	101	0	269	165	104	129	86	0	0	0	0
Dnajb5	597.517241	0	0	447	2068	2628	3078	1780	2062	2270	0	0	0	0	0	0	0	0	376	197	274	449	660	596	99	175	169	0	0	0	0
Slc22a4	595.310345	0	0	147	1484	3039	2709	2576	3033	2769	0	0	0	0	0	0	0	0	0	0	324	236	482	223	89	153	0	0	0	0	0
Znhit3	594.448276	0	0	0	687	2641	1474	3220	3711	3546	0	0	0	0	0	0	0	0	134	0	188	336	434	281	210	180	197	0	0	0	0
Ccar1	591.068966	0	0	763	2610	2645	2565	2231	2185	2248	0	0	0	0	290	190	0	0	0	0	0	150	197	287	358	220	202	0	0	0	0
Mapkap1	572.62069	0	0	352	2083	3622	3003	2189	2055	2385	0	0	0	0	194	125	0	0	0	0	0	0	0	0	139	297	162	0	0	0	0
Rapgef6	568.034483	854	239	191	1841	1928	2306	1491	2094	2185	0	0	0	0	496	368	0	0	321	0	107	166	256	193	414	567	456	0	0	0	0
Ifrd1	566.413793	0	0	120	1928	2540	2937	2459	2428	2763	0	0	0	0	404	341	0	0	0	0	0	0	108	0	100	182	116	0	0	0	0
Necap1	562.103448	0	0	314	2298	2416	3025	2336	2750	2726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	171	85	0	0	0	0
Ankhd1	562.103448	0	0	214	1006	2504	2924	2934	2958	3008	0	0	0	0	153	134	0	0	0	0	0	0	0	0	130	177	159	0	0	0	0
Rrp12	561.517241	0	0	204	1469	2780	2669	2527	2591	2235	0	0	0	0	158	158	0	0	0	0	233	204	359	295	106	186	110	0	0	0	0
Mrpl45	559.448276	0	0	0	1660	2219	2750	2481	2816	2945	0	0	0	0	481	350	0	0	0	0	0	0	0	0	108	184	230	0	0	0	0
2310022A10Rik	558.310345	0	0	156	1660	2930	2709	1714	1972	1761	0	0	0	0	212	0	0	0	245	249	273	386	663	585	203	207	266	0	0	0	0
9930111J21Rik2	556.793103	0	0	354	1493	2910	3374	2488	2477	2340	0	0	0	0	0	0	0	0	0	0	151	164	142	141	0	113	0	0	0	0	0
Syncrip	551.965517	0	0	365	2263	2869	2993	1743	1853	2161	0	0	0	0	149	0	0	0	261	182	92	128	288	255	179	113	113	0	0	0	0
Gata2	548.310345	0	0	0	1499	2960	2571	2881	2568	2754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260	235	173	0	0	0	0
Klf11	541.862069	0	0	184	1903	2174	2725	2530	2077	2208	0	0	0	0	196	0	0	0	179	118	106	172	228	206	238	222	248	0	0	0	0
Stmn4	541.275862	0	0	175	1275	2187	2831	2697	2674	2592	0	0	0	0	0	0	0	0	0	0	216	274	302	183	141	150	0	0	0	0	0
Ppp2r3a	539.448276	0	0	221	2252	2499	2795	1720	1787	2141	0	0	0	0	0	0	0	0	137	0	134	122	676	537	250	242	131	0	0	0	0
Zbtb42	538.482759	0	0	0	1438	2786	2119	2772	2585	2961	0	0	0	0	0	0	0	0	0	0	178	144	391	242	0	0	0	0	0	0	0
Sytl2	537.551724	0	0	713	2935	2974	3399	1620	1285	1385	0	0	0	0	0	0	0	0	0	0	0	0	101	0	518	219	292	148	0	0	0
3425401B19Rik	536.206897	0	0	175	1856	2063	2967	2168	2156	2163	0	0	0	0	0	0	0	0	0	0	122	134	230	155	461	507	393	0	0	0	0
Cd1d1	535.068966	0	0	526	2682	3587	3556	1929	1884	1353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Creb5	530.965517	0	0	0	1420	2383	2369	2130	2548	2255	0	0	0	0	0	0	0	0	102	140	165	313	525	347	234	182	285	0	0	0	0
Prrx2	530.172414	0	0	102	1864	2486	2911	2490	2295	2548	0	0	0	0	0	0	0	0	0	0	0	0	358	242	0	0	0	79	0	0	0
Camk2a	529.517241	0	0	536	2963	3070	3288	1221	1719	1639	0	0	0	0	0	0	0	0	0	0	0	0	135	122	341	322	0	0	0	0	0
Rad54b	529.275862	0	0	111	1830	2649	2426	2129	2214	2203	0	0	0	0	131	101	0	0	0	0	170	202	350	311	180	185	157	0	0	0	0
Ms4a6d	529.241379	0	0	0	852	2765	2705	2869	3018	3139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem140	529.206897	0	0	234	1633	2589	2545	2449	2773	3124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem53	529.172414	0	0	443	1996	3106	2941	1952	1599	1887	0	0	0	0	0	0	0	0	191	0	200	230	298	258	0	144	101	0	0	0	0
Armh1	529.172414	0	0	443	1996	3106	2941	1952	1599	1887	0	0	0	0	0	0	0	0	191	0	200	230	298	258	0	144	101	0	0	0	0
Gon4l	526.413793	0	0	0	1446	1692	2066	2858	2465	2640	0	0	0	0	173	143	0	0	160	209	121	393	328	270	0	166	136	0	0	0	0
Taf5	524.793103	0	0	184	1484	2852	2924	2387	2429	2752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	106	0	0	0	0
Med13	511.586207	0	0	469	2021	2583	2459	1648	2331	1999	0	0	0	0	167	0	0	0	0	0	0	0	0	116	425	391	227	0	0	0	0
Ankrd34a	508.758621	0	0	0	1350	2570	1915	2591	2810	2728	0	0	0	0	0	0	0	0	0	0	168	0	219	195	86	0	122	0	0	0	0
Tmbim4	508.62069	0	0	266	1413	2865	3012	2113	2190	2101	0	0	0	0	0	0	0	0	0	0	0	0	131	181	157	224	97	0	0	0	0
Mllt3	508.37931	0	0	193	1634	2927	2508	2187	2172	2256	0	0	0	0	0	0	0	0	0	0	0	0	97	0	440	139	190	0	0	0	0
Polr3gl	505.793103	0	0	0	1350	2570	1915	2591	2810	2728	0	0	0	0	0	0	0	0	0	0	168	0	219	195	0	0	122	0	0	0	0
Atxn1l	504.862069	0	0	0	671	2691	2465	2486	2518	2634	0	0	0	0	282	210	0	0	0	0	0	0	145	0	219	191	129	0	0	0	0
Cse1l	504.206897	0	0	173	1591	2050	2793	2357	2343	1574	0	0	0	0	380	385	0	0	0	0	0	0	230	130	146	215	255	0	0	0	0
Irak3	504.137931	0	0	266	1413	2865	3012	2113	2190	2101	0	0	0	0	0	0	0	0	0	0	0	0	131	181	120	131	97	0	0	0	0
Hspb1	502.448276	0	0	0	1899	2077	2666	2321	1995	2238	0	0	0	0	0	0	0	0	0	0	0	147	321	315	229	217	146	0	0	0	0
Zfp46	500.689655	0	0	255	1604	2369	2641	1692	2130	2321	0	0	0	0	227	291	0	0	0	0	0	0	202	239	136	152	261	0	0	0	0
Otud1	497.137931	0	0	276	1902	2205	2847	1741	1512	1825	0	0	0	0	0	0	0	0	194	146	137	405	510	282	163	88	109	75	0	0	0
Usp28	496.586207	0	0	416	2429	2623	2736	1427	1725	1792	0	0	0	0	0	0	0	0	0	0	0	144	127	167	324	265	226	0	0	0	0
Pde6c	495.482759	0	0	165	1578	2445	3370	2225	2417	2169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rab14	493.793103	0	0	0	898	2439	1845	2578	2965	2867	0	0	0	0	164	118	0	0	0	0	0	0	139	0	94	113	100	0	0	0	0
Cd300lb	492.103448	0	0	0	419	1791	1456	2711	2602	2996	0	0	0	0	0	0	0	0	167	0	262	294	504	306	214	406	143	0	0	0	0
Ifi207	490.862069	0	0	0	826	2985	1872	1891	2310	2613	0	0	0	0	0	0	0	0	155	0	0	165	469	575	108	121	145	0	0	0	0
Yipf7	490.034483	0	0	111	1805	1983	2726	1924	2222	2246	0	0	0	0	0	0	0	0	0	0	0	0	149	112	580	199	154	0	0	0	0
Rcan1	488.655172	0	0	204	1758	2224	2793	2139	2167	1771	0	0	0	0	0	0	0	0	0	0	0	160	153	184	179	175	264	0	0	0	0
Rapgef1	486.344828	0	0	0	2071	2296	2548	2553	2265	2132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	133	0	0	0	0	0
Hmgcl	484.068966	0	0	331	1533	2089	2962	2182	2351	2179	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	169	107	0	0	0	0
Cdr2	481.068966	0	0	0	602	3035	2321	2186	2042	2130	0	0	0	0	179	0	0	0	0	0	296	233	360	274	82	103	108	0	0	0	0
Gm128	478.758621	0	0	0	1814	1929	2229	2237	2073	2055	0	0	0	0	0	0	0	0	175	0	171	218	561	317	0	105	0	0	0	0	0
Srpk2	477.827586	0	0	0	953	2094	1947	2509	2693	2806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	324	330	201	0	0	0	0
C1qtnf4	474.862069	0	0	175	2137	3283	3316	1408	1620	1701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0
Appbp2	473.344828	0	0	175	1857	2196	2779	2040	1974	2066	0	0	0	0	132	103	0	0	0	0	0	0	0	0	98	190	117	0	0	0	0
Rtl1	471.896552	0	0	0	1312	2363	1744	2654	2329	2654	0	0	0	0	0	0	0	0	147	0	0	144	232	0	0	0	106	0	0	0	0
H3c4	469.655172	0	0	276	1542	2264	2574	2084	2034	2159	0	0	0	0	99	0	0	0	0	0	0	0	168	141	0	122	157	0	0	0	0
H2bc8	469.655172	0	0	276	1542	2264	2574	2084	2034	2159	0	0	0	0	99	0	0	0	0	0	0	0	168	141	0	122	157	0	0	0	0
H2bc7	469.655172	0	0	276	1542	2264	2574	2084	2034	2159	0	0	0	0	99	0	0	0	0	0	0	0	168	141	0	122	157	0	0	0	0
H2ac8	469.655172	0	0	276	1542	2264	2574	2084	2034	2159	0	0	0	0	99	0	0	0	0	0	0	0	168	141	0	122	157	0	0	0	0
H2ac7	469.655172	0	0	276	1542	2264	2574	2084	2034	2159	0	0	0	0	99	0	0	0	0	0	0	0	168	141	0	122	157	0	0	0	0
Tmx4	469.310345	0	0	0	1422	2138	2208	2378	2267	2121	0	0	0	0	181	126	0	0	0	0	0	0	216	0	191	108	254	0	0	0	0
Gabarapl2	467.034483	0	0	349	1994	2219	2756	1949	1820	1957	0	0	0	0	0	0	0	0	0	0	0	0	0	114	97	121	168	0	0	0	0
Zfp706	465.344828	0	0	371	2225	2644	3031	1430	1145	1476	0	0	0	0	462	325	0	0	0	0	0	0	0	0	126	147	113	0	0	0	0
Trak2	464.758621	0	0	0	1333	2209	2915	1858	2210	2065	0	0	0	0	316	143	0	0	0	0	0	0	0	0	73	170	186	0	0	0	0
Csrp3	464.724138	0	0	422	1996	2572	2995	1480	1379	1450	0	0	0	0	0	0	0	0	0	0	0	179	270	142	328	146	118	0	0	0	0
Dgkd	464.344828	0	0	0	904	2963	2481	1594	2212	2359	0	0	0	0	416	355	0	0	0	0	0	0	182	0	0	0	0	0	0	0	0
Ripor1	460.793103	0	0	120	867	2573	2367	2031	2285	2393	0	0	0	0	0	0	0	0	0	0	0	140	307	164	0	0	116	0	0	0	0
Vps37c	459.103448	0	0	0	896	2876	2082	1298	1547	1722	0	0	0	0	0	0	0	0	280	143	295	449	795	527	113	107	184	0	0	0	0
Sln	458.827586	0	0	147	1236	2498	2740	1831	1827	1925	0	0	0	0	0	0	0	0	0	0	0	0	279	194	306	182	141	0	0	0	0
Il23r	458.724138	0	0	365	2420	3429	3709	916	1008	1328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0
Serf2	455.344828	0	0	224	1614	2121	2821	1631	1901	1751	0	0	0	0	108	125	0	0	0	0	0	169	188	155	123	158	116	0	0	0	0
Robo3	454.517241	0	0	165	1532	2850	2774	1747	1489	1886	0	0	0	0	0	0	0	0	0	0	0	0	344	203	191	0	0	0	0	0	0
Ctps	454.103448	0	0	0	935	1751	1248	3155	2482	3002	0	0	0	0	171	0	0	0	0	0	0	144	0	0	0	143	138	0	0	0	0
Nhlrc2	454.068966	0	0	191	1364	2808	3177	966	2125	1785	0	0	0	0	201	88	0	0	0	0	0	0	0	0	140	182	141	0	0	0	0
Dclre1a	454.068966	0	0	191	1364	2808	3177	966	2125	1785	0	0	0	0	201	88	0	0	0	0	0	0	0	0	140	182	141	0	0	0	0
Golga4	452.275862	0	0	0	1552	2108	2316	2248	2177	2029	0	0	0	0	199	0	0	0	0	0	0	0	0	0	200	128	159	0	0	0	0
Ube4b	447.758621	0	0	435	2270	1806	3336	858	1861	1491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	386	327	215	0	0	0	0
Neurl2	444.241379	0	0	165	1676	1695	2266	1258	1427	1323	0	0	0	0	407	315	0	0	197	130	153	155	300	203	274	357	352	0	0	230	0
Ctsa	444.241379	0	0	165	1676	1695	2266	1258	1427	1323	0	0	0	0	407	315	0	0	197	130	153	155	300	203	274	357	352	0	0	230	0
Cirbp	443.586207	0	0	342	1956	2558	2535	1108	1468	1223	0	0	0	0	464	436	0	0	0	0	0	0	0	0	225	221	172	0	0	156	0
Slc8a1	443.241379	0	0	0	992	1490	2894	2570	2193	2305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	167	120	0	0	0	0
Folr2	442.827586	0	0	0	1660	1043	2562	2007	2129	2251	0	0	0	0	0	0	0	0	0	0	0	0	210	142	311	235	292	0	0	0	0
Ccr3	435.37931	0	0	0	228	1687	750	3252	3129	3580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sestd1	434.172414	0	0	102	1497	1868	2334	2413	2235	2032	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0
Tbx5	430.241379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1389	1476	1299	1356	1302	1327	1138	1161	276	499	652	602	0	0	0
Hspb7	427.344828	0	0	0	1223	1775	2080	1759	1532	1893	0	0	0	0	0	0	0	0	0	0	0	298	590	588	272	176	207	0	0	0	0
Golim4	427.0	0	0	94	1125	3007	2161	1177	1952	1946	0	0	0	0	0	0	0	0	0	0	170	129	255	208	159	0	0	0	0	0	0
Osgepl1	426.965517	0	0	102	1374	2001	2032	1669	1403	1812	0	0	0	0	283	320	0	0	0	0	0	0	0	157	334	452	340	0	0	103	0
Tslp	426.827586	0	0	175	1166	2767	3305	1788	1439	1738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mycn	425.827586	0	0	204	1921	2423	3017	1630	1262	1753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0
Insig2	424.965517	0	0	0	614	1548	1535	2338	2093	2300	0	0	0	0	534	359	0	0	0	0	0	0	113	151	278	166	156	0	0	139	0
Fam71f2	422.103448	0	0	0	1369	2201	2370	2099	1813	1630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237	249	273	0	0	0	0
Tas2r126	421.482759	0	0	352	2213	2952	3254	1232	1243	895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0
Ormdl3	421.344828	0	0	0	1598	1679	2238	1945	1857	1530	0	0	0	0	277	155	0	0	0	0	0	0	125	151	350	196	118	0	0	0	0
Clca3a2	419.482759	0	0	0	707	2051	2178	2376	2213	2382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	121	0	0	0	0
Pwwp3b	419.448276	0	0	0	1512	1636	3280	1791	1967	1978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clca3a1	418.655172	0	0	128	1246	2000	2419	1735	2038	1900	0	0	0	0	0	0	0	0	0	0	0	0	110	0	200	206	159	0	0	0	0
Siglecf	418.586207	0	0	175	1862	1962	2835	1349	1634	1913	0	0	0	0	0	0	0	0	0	0	0	0	193	216	0	0	0	0	0	0	0
Adnp2	418.068966	0	0	0	1142	1742	1893	1761	2159	2454	0	0	0	0	194	0	0	0	0	0	0	107	236	0	160	123	153	0	0	0	0
Ankrd1	417.724138	0	0	618	2050	2285	2339	1218	1476	1373	0	0	0	0	0	0	0	0	0	0	0	0	202	187	117	111	138	0	0	0	0
Zfp790	416.551724	0	0	0	1318	2515	2093	1565	1778	1899	0	0	0	0	0	0	0	0	132	0	0	0	242	148	0	198	192	0	0	0	0
Plek2	413.793103	0	0	320	2089	2633	3431	1333	1068	1126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccnl1	413.034483	0	0	281	1823	1950	2499	1269	1445	1665	0	0	0	0	0	0	0	0	147	111	0	0	171	0	158	269	190	0	0	0	0
Vwa8	412.241379	0	0	137	1177	2411	2707	1428	1555	1537	0	0	0	0	457	254	0	0	0	0	0	0	0	0	125	0	167	0	0	0	0
Lsmem1	411.793103	0	0	0	1152	1643	1765	1279	1060	1250	0	0	0	0	0	0	0	0	223	319	606	568	705	384	495	275	218	0	0	0	0
Spata25	411.413793	0	0	165	1676	1695	2266	1258	1427	1323	0	0	0	0	0	0	0	0	197	130	153	155	300	203	274	357	352	0	0	0	0
Glg1	410.965517	0	0	245	1899	2369	2878	454	1218	765	0	0	0	0	269	0	0	0	0	0	0	0	198	0	766	417	440	0	0	0	0
Hexim2	409.137931	0	0	147	1146	2528	2337	1352	1664	1250	0	0	0	0	156	234	0	0	0	0	0	0	128	0	244	217	280	0	0	182	0
Ankrd40	408.896552	0	0	0	1478	1398	2140	2050	1452	1470	0	0	0	0	186	96	0	0	131	0	0	130	211	124	546	287	159	0	0	0	0
Yae1d1	408.448276	0	0	0	1072	2015	2612	992	1650	1622	0	0	0	0	379	206	0	0	0	0	0	0	0	0	627	379	291	0	0	0	0
Pmm1	408.275862	0	0	165	1519	2762	2760	1532	1228	1454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	196	86	0	0	0	0
Med9	408.172414	0	0	287	1467	2355	2903	820	1640	1356	0	0	0	0	264	207	0	0	0	0	0	0	116	0	127	123	172	0	0	0	0
Rtkn2	406.965517	0	0	0	652	2239	2910	1479	1847	1775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	333	348	219	0	0	0	0
Ddb1	406.551724	0	0	0	1353	2529	2632	1087	1531	1754	0	0	0	0	287	246	0	0	0	0	0	0	0	0	127	111	133	0	0	0	0
Serpinb6a	404.137931	0	0	0	902	1915	2395	2081	1686	1828	0	0	0	0	227	116	0	0	0	0	0	0	0	0	154	129	287	0	0	0	0
Zfp617	401.896552	0	0	226	1386	2203	2731	1231	1405	1850	0	0	0	0	188	137	0	0	0	0	0	0	0	0	98	110	90	0	0	0	0
Net1	401.758621	0	0	0	604	1676	1533	1954	2711	2755	0	0	0	0	139	0	0	0	0	0	0	0	0	0	118	0	161	0	0	0	0
Bdp1	401.655172	0	0	0	901	1927	1368	1547	1883	1855	0	0	0	0	691	315	0	0	0	0	0	0	190	151	145	177	142	0	162	194	0
Trip13	400.517241	0	0	0	430	1795	2090	1397	1909	2496	0	0	0	0	344	322	0	0	0	0	0	0	0	0	248	291	293	0	0	0	0
