Target_genes	Tcf7l2|Average	SRX9806209|Embryonic_intestinal_epithelial_cells	SRX2734776|Heart_Ventricles	SRX2734777|Heart_Ventricles	SRX2734782|Heart_Ventricles	SRX4891751|Heart_Ventricles	SRX14259589|Liver	SRX14259591|Liver	SRX14259606|Liver	SRX14259607|Liver	SRX14259608|Liver	SRX14259609|Liver	SRX14259610|Liver	SRX14259611|Liver	SRX5825956|Nephron_progenitor	SRX5825957|Nephron_progenitor	SRX5825978|Nephron_progenitor	SRX5825979|Nephron_progenitor	SRX5826000|Nephron_progenitor	SRX5826001|Nephron_progenitor	SRX5647947|Preadiocytes	SRX5647948|Preadiocytes	SRX5647950|Preadiocytes	SRX5647951|Preadiocytes	STRING
Vav1	337.217391	456	130	176	134	0	307	540	232	336	181	360	261	297	213	0	141	271	253	434	0	162	1570	1302	0
Gtf2b	336.391304	380	0	0	0	80	195	571	358	390	195	366	221	428	463	331	303	316	0	2178	0	0	468	494	0
Arl2	334.130435	736	0	0	0	295	262	380	195	341	103	223	187	378	395	306	204	257	584	1450	0	0	620	769	0
Ppme1	326.26087	1405	0	0	0	217	293	526	340	546	197	329	286	400	229	250	225	273	0	1336	0	0	352	300	0
C2cd3	326.26087	1405	0	0	0	217	293	526	340	546	197	329	286	400	229	250	225	273	0	1336	0	0	352	300	0
Hjurp	323.304348	778	0	0	0	98	229	317	262	342	164	336	233	378	279	273	225	223	0	1863	0	62	598	776	0
A730008H23Rik	323.304348	778	0	0	0	98	229	317	262	342	164	336	233	378	279	273	225	223	0	1863	0	62	598	776	0
Trim8	321.478261	655	0	0	0	155	247	409	257	528	116	349	276	372	449	276	174	315	873	1428	0	0	254	261	0
Col18a1	315.086957	439	0	0	0	0	0	0	0	113	0	0	0	116	1094	650	626	748	1227	2102	0	0	132	0	0
Zfp12	306.652174	573	0	0	0	160	206	511	144	450	251	299	206	338	201	195	140	152	0	1470	0	0	831	926	0
Msx2	305.913043	0	0	0	0	0	0	0	0	0	0	0	0	0	665	512	1029	1111	1207	2512	0	0	0	0	0
Zfp354b	305.0	436	0	0	0	0	459	722	508	634	349	540	300	557	206	323	146	203	452	1007	0	0	173	0	0
Rev1	301.173913	613	0	0	0	0	0	98	0	0	0	0	0	0	550	580	369	456	1057	2135	0	0	557	512	0
Oasl1	301.0	0	176	346	515	418	382	374	329	330	421	253	336	230	0	191	268	0	0	279	572	511	436	556	0
Lamb1	299.043478	0	0	0	0	0	0	0	0	0	0	0	0	0	984	840	668	597	1502	2287	0	0	0	0	0
Rbm25	295.217391	126	0	125	0	0	113	269	237	137	0	204	105	270	216	183	296	0	759	1732	0	0	946	1072	0
Tshz1	294.173913	627	0	0	0	0	360	618	346	456	209	470	276	502	132	0	188	168	726	1556	0	0	132	0	0
Slc19a2	292.956522	237	0	0	0	0	581	893	677	944	423	742	571	869	0	0	0	0	0	231	0	0	299	271	0
Tpra1	292.347826	1092	0	90	0	0	377	554	323	428	252	497	221	455	217	138	0	0	0	959	0	0	622	499	0
Mcm2	292.347826	1092	0	90	0	0	377	554	323	428	252	497	221	455	217	138	0	0	0	959	0	0	622	499	0
Relch	291.73913	1146	0	0	0	209	202	575	258	417	150	485	369	394	367	0	0	104	0	1061	0	0	458	515	0
Pign	291.73913	1146	0	0	0	209	202	575	258	417	150	485	369	394	367	0	0	104	0	1061	0	0	458	515	0
Sphk2	291.695652	441	0	0	0	96	579	740	508	654	282	523	478	500	0	0	0	0	0	1212	0	0	411	285	0
Rpl18	291.695652	441	0	0	0	96	579	740	508	654	282	523	478	500	0	0	0	0	0	1212	0	0	411	285	0
Adamtsl4	289.478261	0	0	0	0	0	701	888	969	1110	367	676	826	1009	0	0	0	0	0	0	0	0	0	112	0
Med1	286.478261	1393	0	0	0	124	297	508	204	506	202	593	245	482	0	0	0	0	459	663	0	0	406	507	0
Kbtbd3	285.434783	1091	0	0	0	0	452	852	545	581	461	547	376	591	0	0	0	0	0	275	0	0	383	411	0
Aasdhppt	285.434783	1091	0	0	0	0	452	852	545	581	461	547	376	591	0	0	0	0	0	275	0	0	383	411	0
Tcstv3	285.347826	625	529	893	1160	1296	234	242	118	216	281	193	234	230	96	0	0	0	0	216	0	0	0	0	0
Zadh2	284.086957	627	0	0	0	0	360	618	346	456	209	470	276	502	132	0	124	0	726	1556	0	0	132	0	0
Lect2	281.391304	1442	0	0	0	0	479	809	679	686	393	573	467	820	0	0	0	0	0	124	0	0	0	0	0
Evpl	278.434783	0	0	0	0	0	0	0	0	0	0	0	0	0	997	823	331	392	1513	2348	0	0	0	0	0
Pcdh1	277.956522	2493	0	0	0	0	429	583	405	626	307	539	422	589	0	0	0	0	0	0	0	0	0	0	0
Hes7	274.73913	1514	0	0	0	0	0	96	0	101	0	0	0	0	494	351	238	298	502	1383	0	0	620	722	0
Ism2	272.695652	1903	0	0	0	0	0	201	0	0	0	0	102	74	408	388	324	325	445	1464	0	0	288	350	0
Gabrb2	272.130435	1641	0	0	0	120	0	0	0	0	0	0	0	0	528	503	269	290	900	2008	0	0	0	0	0
Pgap1	270.086957	1201	0	0	0	0	323	532	314	451	142	366	273	294	169	0	126	171	434	939	0	0	226	251	0
Trmt9b	266.73913	1224	0	0	0	0	447	616	241	400	228	486	274	374	227	91	220	260	0	439	0	0	308	300	0
Ncor1	264.304348	198	0	0	0	0	459	689	452	763	281	617	601	898	224	172	190	159	136	240	0	0	0	0	0
Nr1d1	263.0	600	0	0	0	159	425	656	429	653	296	544	331	463	115	0	0	0	366	584	0	0	222	206	0
Nfam1	261.086957	609	0	0	0	0	227	445	131	207	205	314	127	344	419	307	346	356	600	1368	0	0	0	0	0
Pax2	261.043478	0	0	0	0	0	0	0	0	0	0	0	0	0	643	520	438	344	1609	2450	0	0	0	0	0
Prrc1	260.913043	694	0	114	0	155	192	415	106	341	0	281	192	349	339	222	206	207	414	1070	0	0	319	385	0
Coq10a	256.73913	760	0	0	0	90	289	465	204	429	141	264	152	397	278	134	100	246	418	997	0	0	209	332	0
Cdk6	255.478261	1295	0	0	0	0	303	612	270	288	141	485	262	366	212	170	143	0	0	726	0	0	370	233	0
Mgst1	254.043478	215	0	0	0	0	492	794	492	795	366	627	451	657	0	0	0	0	0	0	0	0	514	440	0
Timm22	251.434783	200	0	0	0	0	152	306	0	162	0	179	0	191	141	125	62	139	1338	2481	0	0	168	139	0
Sspn	251.173913	282	91	133	0	198	0	242	0	0	0	0	179	0	298	499	214	145	140	160	557	716	1062	861	0
Acadl	251.086957	764	0	0	0	0	412	673	465	629	262	649	302	614	0	0	0	0	0	139	0	0	373	493	0
Rictor	247.0	251	0	0	0	0	243	607	273	406	223	647	192	280	344	276	239	174	385	684	0	0	243	214	0
Il17rd	246.608696	430	0	0	0	0	0	0	0	0	0	0	0	0	631	545	776	749	892	1649	0	0	0	0	0
Ddx3x	244.652174	474	0	0	0	109	192	540	118	394	195	430	248	300	177	0	112	167	0	381	0	0	796	994	0
Ptprs	243.869565	526	0	0	0	292	0	255	131	216	0	123	0	256	262	165	171	142	826	1409	0	0	450	385	0
Myorg	242.217391	731	0	86	0	234	206	440	197	357	128	339	192	266	195	79	93	210	0	1440	0	0	248	130	0
1110017D15Rik	242.217391	731	0	86	0	234	206	440	197	357	128	339	192	266	195	79	93	210	0	1440	0	0	248	130	0
Cyp2d9	241.73913	0	0	0	0	0	623	889	518	802	432	830	570	896	0	0	0	0	0	0	0	0	0	0	0
Zswim6	240.478261	392	0	0	0	103	0	172	0	0	0	0	0	73	492	461	300	377	1045	1685	0	0	230	201	0
Dars2	239.956522	731	0	0	0	77	257	399	272	263	141	295	164	260	290	124	168	153	0	966	0	0	471	488	0
Yaf2	238.347826	328	0	0	0	0	0	149	0	110	0	0	0	0	628	434	101	218	509	1183	0	0	998	824	0
Aldh3a2	237.304348	324	0	0	0	63	344	483	342	519	91	372	352	502	184	97	0	0	124	306	0	0	644	711	0
Mbd6	234.521739	689	0	0	0	90	262	324	144	356	168	248	90	273	152	198	225	180	406	869	0	0	382	338	0
Ddit3	234.521739	689	0	0	0	90	262	324	144	356	168	248	90	273	152	198	225	180	406	869	0	0	382	338	0
Sp9	232.782609	763	0	0	0	0	0	0	0	0	0	0	0	0	850	592	538	632	0	1979	0	0	0	0	0
Gtf2f2	229.347826	552	0	0	0	134	0	198	0	196	0	199	0	235	418	311	163	0	357	878	0	120	834	680	0
Greb1	229.0	974	0	0	0	0	236	263	0	187	80	108	139	167	469	324	638	501	237	658	0	0	188	98	0
Sp8	227.73913	974	0	0	0	0	114	251	94	189	0	150	90	274	294	181	296	393	565	966	0	0	289	118	0
Klf4	227.130435	815	0	0	0	103	0	435	131	0	128	280	0	277	222	122	144	0	0	1939	0	0	290	338	0
Sat1	227.086957	608	0	72	0	201	165	475	144	423	116	353	127	370	184	0	0	0	0	1222	0	0	368	395	0
Cyp3a41a	225.043478	0	0	0	0	0	522	701	674	858	400	615	512	894	0	0	0	0	0	0	0	0	0	0	0
Hsd17b7	224.26087	522	0	0	0	0	244	378	284	424	147	246	229	451	131	0	0	94	0	965	0	0	520	523	0
Cmss1	223.434783	441	0	0	0	162	0	256	144	203	0	122	112	191	433	304	232	264	501	978	0	0	519	277	0
Asmt	223.217391	0	0	131	787	683	0	201	0	0	0	0	0	0	159	154	185	124	0	207	766	661	569	507	0
Rsl24d1	218.782609	255	0	0	0	0	0	0	0	0	0	0	0	0	389	292	983	931	0	2182	0	0	0	0	0
Cyp3a41b	218.565217	0	0	0	0	0	522	701	674	858	378	615	468	811	0	0	0	0	0	0	0	0	0	0	0
Pdia4	217.913043	821	0	0	0	365	144	392	118	238	77	191	133	263	0	0	0	0	0	1472	0	0	369	429	0
Tbc1d8	217.565217	0	0	0	0	0	0	0	0	0	0	0	0	0	339	213	0	0	1772	2680	0	0	0	0	0
Rmdn2	216.173913	0	0	0	0	0	600	754	520	704	478	621	496	706	0	0	0	0	0	93	0	0	0	0	0
Tmem125	212.956522	246	119	172	327	541	303	241	0	0	299	237	0	0	172	0	133	0	0	0	476	461	568	603	0
Tcf7l2	211.478261	472	0	0	0	0	388	661	281	596	209	353	398	494	0	0	0	0	97	246	0	0	327	342	0
Grb7	208.478261	0	0	0	0	0	0	146	110	140	0	162	0	73	750	628	284	427	681	1394	0	0	0	0	0
Rbm4	208.26087	788	0	0	0	121	211	452	256	316	128	343	187	340	0	0	0	0	351	593	0	0	271	433	0
Diaph2	208.086957	637	0	0	0	0	126	361	131	272	0	344	139	258	477	247	325	160	0	678	0	0	254	377	0
Aebp1	203.304348	0	0	0	0	0	0	0	0	0	0	0	0	0	340	263	304	348	288	718	0	0	1317	1098	0
Lhfpl4	202.652174	1214	0	0	0	0	0	0	0	0	0	0	0	0	425	402	306	354	0	1960	0	0	0	0	0
Ppfia4	201.695652	1194	0	0	0	0	78	288	144	271	0	227	0	123	457	246	126	175	0	1310	0	0	0	0	0
Timmdc1	201.347826	886	0	0	0	172	226	355	0	0	166	310	0	0	0	0	157	0	527	934	0	0	434	464	0
Slc30a6	201.043478	560	0	0	0	105	0	240	157	256	0	221	79	252	193	0	0	0	276	735	0	0	792	758	0
Tuba1a	200.652174	822	0	0	0	172	0	149	0	0	0	0	0	147	275	133	0	0	432	1365	0	0	622	498	0
Tnp2	200.652174	572	0	0	0	121	279	452	261	405	168	446	321	354	121	0	0	0	180	405	0	0	231	299	0
Socs1	200.652174	572	0	0	0	121	279	452	261	405	168	446	321	354	121	0	0	0	180	405	0	0	231	299	0
Prm3	200.652174	572	0	0	0	121	279	452	261	405	168	446	321	354	121	0	0	0	180	405	0	0	231	299	0
Arhgap20	199.26087	1108	0	0	0	0	0	0	0	0	0	0	0	0	385	235	773	661	0	1421	0	0	0	0	0
Arid3a	197.086957	368	0	0	0	0	341	400	164	278	146	286	200	317	235	183	0	0	258	572	0	0	401	384	0
Slain2	196.478261	294	0	0	0	0	361	556	393	421	116	412	392	452	0	0	0	0	0	558	0	0	239	325	0
Ncor2	196.086957	0	0	113	0	124	263	587	292	411	194	452	152	439	0	0	0	0	0	856	0	152	248	227	0
Ywhaz	193.086957	688	0	0	0	0	0	78	0	85	0	0	0	0	289	168	135	166	666	1110	0	0	556	500	0
Ercc6	190.565217	683	0	0	0	0	289	656	325	528	168	381	251	582	0	0	0	0	0	101	0	0	280	139	0
Cyp2d11	190.086957	0	0	0	0	0	512	606	532	730	288	501	504	699	0	0	0	0	0	0	0	0	0	0	0
Tst	189.913043	0	0	0	0	0	344	552	390	467	233	374	382	493	129	0	122	226	409	247	0	0	0	0	0
Mpst	189.913043	0	0	0	0	0	344	552	390	467	233	374	382	493	129	0	122	226	409	247	0	0	0	0	0
Dcaf1	189.608696	376	0	100	0	274	198	480	172	405	174	343	192	374	0	0	0	0	0	834	0	0	260	179	0
Smpd3	189.26087	0	0	0	0	0	0	0	0	0	0	0	0	0	645	527	401	272	0	1631	0	0	381	496	0
Thoc1	188.608696	501	0	0	0	186	62	281	181	113	0	147	127	153	377	162	89	168	417	865	0	0	282	227	0
Adcy6	188.478261	305	0	0	0	0	165	598	254	407	154	344	248	276	203	0	212	177	226	462	0	0	172	132	0
Zmiz1	188.347826	395	0	0	0	0	0	0	0	0	0	0	0	185	607	314	206	295	808	1324	0	0	0	198	0
Flcn	186.869565	0	0	0	0	0	0	0	0	0	0	0	0	0	506	298	789	586	910	1209	0	0	0	0	0
Gulo	186.826087	0	0	0	0	0	422	729	432	587	316	511	492	808	0	0	0	0	0	0	0	0	0	0	0
Msx1	186.608696	784	0	0	0	0	0	0	0	0	0	0	0	0	192	104	1145	1146	0	921	0	0	0	0	0
Pon2	185.695652	513	0	0	0	0	273	517	218	361	246	382	245	276	138	0	103	0	0	291	0	0	391	317	0
Ninj2	185.695652	259	0	0	0	0	126	279	131	290	128	120	217	264	255	198	232	171	0	0	0	0	728	873	0
Prodh	185.391304	0	0	0	0	0	379	665	536	660	299	467	485	773	0	0	0	0	0	0	0	0	0	0	0
Serpinb6a	184.73913	447	0	0	0	78	280	377	192	404	154	296	165	199	0	0	0	0	310	790	0	0	268	289	0
Ripk1	184.73913	447	0	0	0	78	280	377	192	404	154	296	165	199	0	0	0	0	310	790	0	0	268	289	0
Tmem59l	184.347826	326	0	0	0	0	0	0	0	0	0	0	0	0	716	402	441	595	0	1760	0	0	0	0	0
Crlf1	184.347826	326	0	0	0	0	0	0	0	0	0	0	0	0	716	402	441	595	0	1760	0	0	0	0	0
Csnk1a1	184.26087	1105	0	0	0	0	0	247	0	99	0	209	102	138	239	153	278	148	280	876	0	0	206	158	0
Shc1	183.391304	198	0	0	0	162	0	349	131	297	0	199	127	249	134	123	0	0	0	915	0	0	646	688	0
Cks1b	183.391304	198	0	0	0	162	0	349	131	297	0	199	127	249	134	123	0	0	0	915	0	0	646	688	0
Rnase4	180.478261	213	0	0	0	0	316	549	344	564	168	485	384	572	0	0	0	0	0	71	0	0	259	226	0
Ang	180.478261	213	0	0	0	0	316	549	344	564	168	485	384	572	0	0	0	0	0	71	0	0	259	226	0
Rdh1	179.043478	125	0	0	0	0	438	631	346	644	280	477	570	607	0	0	0	0	0	0	0	0	0	0	0
Zfp1	178.782609	639	0	0	0	0	277	554	243	442	230	343	171	307	0	0	0	0	0	362	0	0	320	224	0
Rrn3	178.521739	574	0	0	0	0	178	339	106	276	141	135	206	232	100	106	0	0	296	772	0	0	316	329	0
Septin9	178.217391	549	0	0	0	0	0	0	0	0	0	0	0	0	228	203	0	143	733	1509	0	0	328	406	0
Armc5	177.391304	0	0	0	0	0	350	545	276	744	283	545	384	613	0	0	0	0	0	0	0	0	142	198	0
9130023H24Rik	177.391304	0	0	0	0	0	350	545	276	744	283	545	384	613	0	0	0	0	0	0	0	0	142	198	0
Cyp1b1	176.608696	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	1312	2456	0	0	0	0	0
Cyp3a16	175.043478	0	0	0	0	0	380	665	482	663	384	399	430	623	0	0	0	0	0	0	0	0	0	0	0
Vapb	173.782609	0	0	0	0	0	0	0	0	0	0	0	0	0	565	496	439	433	0	1628	0	0	234	202	0
Plekhg2	173.695652	1004	0	0	0	0	0	176	0	109	0	0	68	86	417	314	217	303	0	964	0	0	199	138	0
Lrp10	173.347826	0	0	0	0	0	0	0	0	0	0	0	0	0	501	439	444	607	707	1289	0	0	0	0	0
Cs	172.73913	137	0	0	0	0	377	675	342	451	203	425	338	580	0	0	0	0	142	303	0	0	0	0	0
Nrep	171.782609	405	0	0	0	0	0	230	157	171	0	247	127	278	117	0	0	0	660	1285	0	0	145	129	0
Hrob	171.695652	758	0	0	0	0	0	185	118	256	0	150	0	166	319	167	127	0	286	726	0	0	347	344	0
Nkd1	171.0	370	0	0	0	0	0	0	0	0	0	0	0	0	788	268	231	288	0	1559	0	0	211	218	0
H2bc21	169.608696	680	0	0	0	0	210	379	230	245	154	331	137	267	199	0	0	0	0	494	0	0	382	193	0
H2ac21	169.608696	680	0	0	0	0	210	379	230	245	154	331	137	267	199	0	0	0	0	494	0	0	382	193	0
H2ac20	169.608696	680	0	0	0	0	210	379	230	245	154	331	137	267	199	0	0	0	0	494	0	0	382	193	0
Tmem147	169.173913	523	0	0	0	0	285	428	260	429	128	364	262	457	0	0	0	0	0	457	0	0	142	156	0
Npepl1	168.73913	0	0	0	0	0	0	0	0	0	0	0	0	0	473	280	137	0	0	2991	0	0	0	0	0
Igfbp1	168.478261	149	0	0	0	0	514	560	365	487	179	453	377	563	0	0	0	0	0	228	0	0	0	0	0
Mtx2	168.347826	389	0	0	0	0	172	383	194	242	0	186	182	444	140	187	254	342	0	757	0	0	0	0	0
Smpd4	168.304348	282	0	0	0	0	139	288	211	229	0	215	0	148	256	186	0	0	413	673	0	0	399	432	0
Inf2	167.956522	166	0	0	0	0	114	288	115	152	0	108	159	143	147	107	0	0	423	1004	0	0	530	407	0
Hspbp1	167.826087	0	0	0	0	0	0	0	0	0	0	0	0	0	272	127	563	568	0	2330	0	0	0	0	0
Sdr42e1	167.608696	1024	0	0	0	0	204	293	163	290	0	310	194	309	141	0	127	181	0	619	0	0	0	0	0
Srsf7	167.26087	208	66	0	0	83	139	478	170	322	91	220	192	242	140	108	0	0	197	432	0	0	459	300	0
Oga	166.913043	0	0	0	0	0	0	0	0	0	0	0	0	0	210	190	419	247	976	1436	0	95	149	117	0
Bhlhe40	165.608696	272	0	0	0	71	214	341	242	273	91	221	149	173	0	0	0	0	0	1220	0	0	230	312	0
Cdk5r1	165.521739	503	0	0	0	0	0	137	0	113	0	0	0	148	227	171	175	228	339	910	0	0	463	393	0
Ptov1	165.26087	154	0	0	0	0	0	0	0	0	0	0	0	0	487	234	635	527	0	1700	0	0	64	0	0
Lipe	165.043478	591	0	0	0	145	147	330	94	193	103	280	102	192	0	125	0	0	0	833	0	197	195	269	0
Slc25a42	164.695652	185	0	0	0	0	437	523	426	553	253	465	330	510	0	0	0	0	0	106	0	0	0	0	0
Exd1	164.347826	141	0	0	0	0	332	703	0	187	342	459	0	247	0	0	0	0	0	1287	0	0	82	0	0
Chp1	164.347826	141	0	0	0	0	332	703	0	187	342	459	0	247	0	0	0	0	0	1287	0	0	82	0	0
Ptp4a2	164.0	232	0	0	0	0	403	513	403	423	317	447	276	401	0	0	0	0	0	357	0	0	0	0	0
Akr1c6	162.73913	0	0	0	0	0	425	550	481	517	258	413	484	615	0	0	0	0	0	0	0	0	0	0	0
Sf3a1	162.391304	0	0	0	0	0	389	740	354	548	274	475	412	543	0	0	0	0	0	0	0	0	0	0	0
Ccdc157	162.391304	0	0	0	0	0	389	740	354	548	274	475	412	543	0	0	0	0	0	0	0	0	0	0	0
Crls1	162.130435	363	0	0	0	0	255	502	223	474	130	348	257	344	142	0	123	105	0	463	0	0	0	0	0
Pemt	162.043478	0	0	0	0	0	252	469	220	428	141	280	320	356	223	0	0	125	308	605	0	0	0	0	0
Fam185a	161.782609	206	0	0	0	108	127	482	186	431	0	257	157	277	290	191	0	0	0	583	0	0	227	199	0
Ccdc146	161.782609	206	0	0	0	108	127	482	186	431	0	257	157	277	290	191	0	0	0	583	0	0	227	199	0
Nr4a1	161.652174	332	0	0	0	0	0	271	0	0	0	208	0	116	142	98	110	139	324	975	0	0	482	521	0
Slc25a39	161.304348	322	0	0	0	0	132	375	207	375	141	295	244	342	0	0	0	0	158	339	0	0	357	423	0
Caprin1	161.086957	1210	0	0	0	0	0	133	0	134	0	0	114	114	226	195	175	129	0	953	0	0	161	161	0
Dusp4	160.478261	486	0	0	0	0	152	256	0	162	0	236	0	65	300	160	267	0	0	1496	0	0	0	111	0
C77080	159.0	238	0	0	0	0	139	376	131	299	0	132	68	204	0	0	0	0	0	2070	0	0	0	0	0
Lpin2	158.608696	0	0	0	0	0	299	382	296	420	98	282	347	439	0	0	0	0	429	656	0	0	0	0	0
Hmga1b	158.608696	443	0	0	0	0	248	413	313	418	0	320	277	454	0	0	0	0	0	360	0	0	152	250	0
Hmga1	158.608696	443	0	0	0	0	248	413	313	418	0	320	277	454	0	0	0	0	0	360	0	0	152	250	0
Txnl4b	158.173913	295	0	0	0	0	0	89	0	0	0	0	0	185	112	0	0	0	0	879	0	0	1157	921	0
Dhx38	158.173913	295	0	0	0	0	0	89	0	0	0	0	0	185	112	0	0	0	0	879	0	0	1157	921	0
Fam50b	156.695652	0	0	0	0	0	264	557	288	371	196	336	274	358	0	0	0	0	279	560	0	0	121	0	0
Nr5a2	156.521739	158	0	0	0	0	194	518	407	454	194	457	283	592	0	0	0	0	0	343	0	0	0	0	0
Cpd	155.913043	0	0	0	0	0	0	0	0	0	0	0	0	0	437	155	0	0	1116	1878	0	0	0	0	0
Ppm1e	155.826087	0	0	0	0	0	0	0	0	0	0	0	0	0	406	294	0	0	1158	1726	0	0	0	0	0
Rbm17	155.521739	0	0	0	0	0	393	526	320	608	233	417	325	630	0	0	0	0	0	0	0	0	0	125	0
Hgd	155.26087	189	0	0	0	0	222	386	252	343	79	227	156	310	0	167	0	0	381	859	0	0	0	0	0
