Target_genes	Tead4|Average	SRX1817464|C2C12	SRX1817465|C2C12	SRX4153289|Carcinoma,_Basal_Cell	SRX3585309|ES_cells	SRX1885932|Liver	SRX1885933|Liver	SRX1885942|Liver	SRX1885943|Liver	SRX3459538|Liver	SRX6924463|Liver	SRX6924464|Liver	SRX6924465|Liver	SRX6924469|Liver	SRX6924470|Liver	SRX6924471|Liver	SRX6924475|Liver	SRX6924476|Liver	SRX6924477|Liver	SRX6924478|Liver	SRX1885856|MEF	SRX1472461|mESC_derived_haematopoietic_progenitor	SRX1639174|mESC_derived_haematopoietic_progenitor	SRX1817470|Muscle_Cells	SRX1884836|Skeletal_muscle	SRX142910|Trophoblast_stem_cells	SRX3585313|Trophoblast_stem_cells	SRX3730265|Trophoblast_stem_cells	SRX3730266|Trophoblast_stem_cells	SRX6605294|Trophoblast_stem_cells	SRX1639172|Unclassified	SRX1639173|Unclassified	STRING
Myl12a	469.354839	473	662	678	0	1952	1111	1239	1971	190	0	0	0	0	442	835	534	371	201	292	1259	147	144	0	0	0	0	235	520	531	525	238	0
Shroom3	465.0	0	374	0	0	670	285	294	837	90	0	0	0	0	172	417	0	0	0	257	2528	618	579	0	0	0	484	872	1773	1505	1422	1238	0
Tyw5	461.193548	0	226	574	0	1970	1868	1907	2020	0	0	142	120	250	566	1379	380	219	389	715	842	0	0	0	0	0	0	0	155	353	222	0	0
Maip1	461.193548	0	226	574	0	1970	1868	1907	2020	0	0	142	120	250	566	1379	380	219	389	715	842	0	0	0	0	0	0	0	155	353	222	0	0
Asmt	461.16129	380	328	388	962	564	474	779	571	294	130	336	804	882	714	518	661	219	281	298	807	480	271	426	874	612	473	0	0	355	202	213	0
Zfp322a	457.548387	0	170	708	0	1940	901	826	2017	129	0	116	79	198	784	1147	734	291	470	670	1287	0	0	0	0	0	0	279	606	505	168	159	0
Slc12a5	456.451613	0	0	535	0	1544	685	834	1579	115	0	0	0	159	554	877	359	185	215	528	1046	279	173	131	0	0	146	616	1074	1340	853	323	0
Cnn2	450.709677	248	331	1058	0	1247	454	579	2349	0	0	146	0	0	552	1189	587	417	473	637	1303	0	0	0	0	0	0	245	902	857	245	153	0
Tmem125	449.419355	262	257	540	539	747	428	573	1006	555	187	320	384	543	486	309	667	151	175	271	533	117	117	1061	496	424	1001	205	770	419	181	208	0
Lmo7	449.032258	0	132	867	0	1271	397	343	869	168	0	0	0	0	0	348	531	165	244	247	1085	142	268	0	0	91	660	492	1451	2147	1197	805	0
Gpn3	447.258065	0	316	1315	0	1010	520	822	1967	0	0	0	0	0	439	736	492	330	230	372	1664	218	217	0	0	0	0	372	892	1023	519	411	0
Fam216a	447.258065	0	316	1315	0	1010	520	822	1967	0	0	0	0	0	439	736	492	330	230	372	1664	218	217	0	0	0	0	372	892	1023	519	411	0
Eno1	445.741935	0	254	305	0	586	218	374	982	645	0	0	0	0	166	393	407	157	151	169	1219	670	1018	0	0	0	252	708	1469	943	1550	1182	0
Plxnb2	444.806452	203	333	1603	0	501	630	542	1417	291	0	0	0	0	370	878	518	341	348	480	2517	0	143	0	0	0	0	331	1028	206	534	575	0
Cipc	440.870968	116	262	435	0	2165	280	515	2299	0	0	143	0	182	544	935	651	378	374	632	1496	89	0	0	0	0	127	219	720	890	215	0	0
Ppfibp1	437.774194	373	709	1684	0	1248	685	778	1335	232	0	0	0	0	445	583	413	189	331	324	727	162	152	0	0	0	100	438	848	995	471	349	0
Mcm7	437.129032	0	0	513	0	1694	1190	1447	2592	84	0	0	0	193	364	1176	664	382	298	552	1363	104	0	0	0	0	0	187	349	260	139	0	0
Ap4m1	437.129032	0	0	513	0	1694	1190	1447	2592	84	0	0	0	193	364	1176	664	382	298	552	1363	104	0	0	0	0	0	187	349	260	139	0	0
Itsn1	434.741935	0	0	321	0	2864	2419	2044	2351	0	0	0	0	124	321	741	213	186	184	355	801	0	0	0	0	0	0	0	159	264	130	0	0
Cryzl1	434.741935	0	0	321	0	2864	2419	2044	2351	0	0	0	0	124	321	741	213	186	184	355	801	0	0	0	0	0	0	0	159	264	130	0	0
Tmem248	431.83871	0	0	198	0	1772	530	1110	2734	214	0	191	0	151	676	1900	980	632	602	882	306	0	0	0	0	0	0	0	0	191	126	192	0
Vkorc1	431.548387	0	0	493	0	1496	449	740	1842	118	0	178	103	371	691	1281	592	372	475	515	1192	161	0	0	0	0	0	261	892	489	351	316	0
Prss53	431.548387	0	0	493	0	1496	449	740	1842	118	0	178	103	371	691	1281	592	372	475	515	1192	161	0	0	0	0	0	261	892	489	351	316	0
Tmem259	430.096774	0	0	1058	0	1247	454	579	2349	0	0	146	0	0	552	1189	587	417	473	637	1303	0	0	0	0	0	0	245	902	857	185	153	0
Rnd3	429.612903	0	0	988	0	1895	1126	1369	2101	0	102	140	0	301	939	1120	247	100	236	566	634	149	0	0	0	0	0	191	237	262	297	318	0
Gpr146	428.516129	144	429	555	0	1429	372	650	2448	246	0	125	0	197	681	1362	834	343	497	669	475	0	272	0	0	0	0	0	0	0	939	617	0
Zfp367	428.419355	477	888	433	0	201	0	114	807	307	0	0	0	0	0	806	836	441	383	535	2761	0	393	0	0	0	237	253	533	1004	1048	824	0
Zfp317	427.612903	0	0	906	0	1668	702	960	2239	0	0	105	78	149	587	1065	447	233	409	525	1373	0	240	0	0	0	0	161	396	448	412	153	0
Crocc	427.064516	0	0	1326	0	1414	408	699	1609	153	0	0	0	296	686	1223	587	211	494	711	707	0	0	0	0	0	226	203	739	1208	233	106	0
Psmc5	426.83871	0	0	534	0	1830	1062	951	2517	0	0	269	0	0	532	1144	499	292	437	719	1436	0	0	0	0	0	0	0	430	580	0	0	0
Ftsj3	426.83871	0	0	534	0	1830	1062	951	2517	0	0	269	0	0	532	1144	499	292	437	719	1436	0	0	0	0	0	0	0	430	580	0	0	0
Rassf7	426.806452	0	401	250	0	1336	227	648	1876	332	0	197	0	226	723	1112	778	393	460	741	972	0	148	0	0	0	0	368	1049	468	380	146	0
Cdk7	425.580645	0	225	496	0	1152	500	785	1782	0	0	0	0	0	354	998	489	266	178	477	1198	267	325	0	0	0	175	466	1046	729	732	553	0
Rad18	424.709677	0	198	524	0	1409	512	479	2222	0	0	159	0	133	342	577	406	244	373	560	1472	128	100	0	0	0	205	488	803	1370	244	218	0
Rabgef1	424.064516	329	753	363	0	1278	563	395	1503	207	0	0	0	0	190	591	1129	645	518	697	1198	0	644	0	0	0	0	0	511	690	534	408	0
Tmco4	423.387097	0	0	1012	0	1421	361	689	1997	180	0	156	0	255	813	1330	757	568	507	887	0	0	0	0	0	0	270	242	647	800	233	0	0
Ctdsp2	423.032258	0	0	686	0	1732	1107	844	1785	402	0	155	0	0	413	890	488	180	245	491	1012	135	161	0	0	0	0	259	898	677	335	219	0
Avpi1	421.387097	0	0	1389	0	1491	538	693	1455	185	0	0	0	118	458	954	532	381	408	426	1338	195	230	0	0	0	0	275	635	574	483	305	0
Rnf39	419.741935	0	0	1262	0	1769	644	1219	2482	136	0	0	0	159	385	816	393	270	330	439	336	0	0	0	0	0	165	415	996	796	0	0	0
Zfp933	417.677419	0	259	400	0	1456	1042	920	2518	141	0	103	0	155	276	842	517	477	366	776	1041	0	0	0	0	0	0	183	518	700	151	107	0
D5Ertd579e	417.580645	0	0	324	0	910	411	712	2215	228	0	0	0	273	775	1284	1112	667	620	1112	185	0	0	0	0	0	108	0	787	538	385	299	0
Mrps15	416.741935	0	144	1405	0	1621	538	588	2146	127	0	0	0	0	320	715	434	160	281	404	1012	0	0	0	0	0	202	356	1023	723	417	303	0
Nr4a3	415.677419	0	163	1162	0	1199	337	551	2184	344	141	0	0	203	597	868	407	227	179	501	1112	0	0	0	0	0	259	475	708	762	281	226	0
Ccn1	415.451613	182	241	600	0	1264	421	838	1348	148	0	259	0	0	581	780	530	284	364	467	864	277	203	0	0	0	0	465	777	964	511	511	0
Ddx50	410.612903	0	0	844	0	1340	344	781	1707	185	0	209	0	203	550	1185	505	239	309	376	1352	371	351	0	0	0	0	81	614	354	605	224	0
AI661453	409.096774	0	0	2328	0	1680	336	431	1348	261	0	0	0	121	181	625	477	134	234	435	442	0	108	0	0	0	235	409	1000	1157	366	374	0
1700001C19Rik	409.096774	0	0	2328	0	1680	336	431	1348	261	0	0	0	121	181	625	477	134	234	435	442	0	108	0	0	0	235	409	1000	1157	366	374	0
Klf3	408.935484	0	0	1381	0	1741	389	608	1784	385	147	125	118	153	663	727	386	261	390	675	1406	0	196	0	0	0	0	0	324	427	243	148	0
Snrpd2	405.774194	0	0	418	0	1911	700	1040	2847	223	0	0	0	176	593	1177	648	420	543	702	769	0	0	0	0	0	0	0	188	224	0	0	0
Qpctl	405.774194	0	0	418	0	1911	700	1040	2847	223	0	0	0	176	593	1177	648	420	543	702	769	0	0	0	0	0	0	0	188	224	0	0	0
Atg10	402.774194	0	0	564	0	1747	1053	883	1999	209	0	0	0	223	503	1105	527	292	314	545	902	79	163	0	0	0	0	0	368	433	297	280	0
Sorbs2	402.354839	0	0	0	0	1958	670	913	2180	144	166	196	0	237	688	1241	1089	711	604	1185	333	0	0	0	0	0	0	0	0	0	158	0	0
