Target_genes	Isl1|Average	SRX5360103|E8.25-E9_embryos	SRX2408870|Embryonic_gonad	SRX2408872|Embryonic_gonad	SRX1973054|Islets_of_Langerhans	SRX146883|mESCs,_differentiated	SRX1706950|mESCs,_differentiated	SRX1706951|mESCs,_differentiated	SRX1706956|mESCs,_differentiated	SRX1706957|mESCs,_differentiated	SRX1706963|mESCs,_differentiated	SRX1706964|mESCs,_differentiated	SRX1706972|mESCs,_differentiated	SRX1706973|mESCs,_differentiated	SRX1668835|mESC_derived_cardiac_cells	SRX5360257|mESC_derived_cardiac_cells	SRX5360258|mESC_derived_cardiac_cells	SRX092471|mESC_derived_neural_cells	SRX146882|mESC_derived_neural_cells	SRX1659036|mESC_derived_neural_cells	SRX1659037|mESC_derived_neural_cells	SRX1659038|mESC_derived_neural_cells	SRX1659039|mESC_derived_neural_cells	SRX1030299|Sinoatrial_Node	SRX2480228|Sympathetic_neurons	STRING
Trex1	394.75	0	0	0	0	0	1670	473	1271	1925	285	1612	1228	746	0	0	0	264	0	0	0	0	0	0	0	0
Oasl1	381.125	320	743	822	706	0	206	344	247	370	495	504	305	442	805	504	123	0	159	434	497	332	371	0	418	0
Atg4c	381.0	0	153	187	0	0	442	193	1322	1345	404	944	1403	1073	201	0	115	840	522	0	0	0	0	0	0	0
Coro2a	377.208333	0	0	0	0	0	646	413	1066	1710	455	1200	1426	942	0	0	149	685	213	148	0	0	0	0	0	0
Nrp1	376.625	0	0	0	0	492	492	180	1075	1482	888	1202	869	1019	0	0	114	814	264	148	0	0	0	0	0	0
Pakap	368.791667	0	0	0	0	0	1291	492	1259	1554	452	1152	825	768	0	85	220	753	0	0	0	0	0	0	0	0
Zfp608	359.583333	193	0	0	0	551	1147	487	1145	1232	498	875	1019	624	0	0	0	652	207	0	0	0	0	0	0	0
Cdk19	352.458333	0	0	0	0	0	335	0	795	1004	458	1373	1805	1306	0	0	179	1017	187	0	0	0	0	0	0	0
Pmfbp1	351.541667	281	144	141	0	0	1181	197	935	1318	606	952	1277	841	0	0	0	564	0	0	0	0	0	0	0	0
Rasl11a	350.625	0	0	0	0	143	1482	431	1134	1546	424	1262	861	565	0	0	100	371	0	96	0	0	0	0	0	0
Arid1a	350.041667	0	877	936	0	0	883	216	659	1080	164	673	779	503	1342	0	127	162	0	0	0	0	0	0	0	0
Akap17b	348.625	118	0	0	0	0	987	527	1246	1651	587	1168	897	645	0	0	0	541	0	0	0	0	0	0	0	0
Sostdc1	348.25	0	0	0	0	0	1295	529	1460	1883	475	1290	711	489	0	0	0	226	0	0	0	0	0	0	0	0
Ina	347.75	0	0	0	0	623	878	299	973	1151	182	781	1091	776	0	0	132	1041	245	174	0	0	0	0	0	0
Tmeff1	339.041667	0	0	0	0	185	775	296	876	1376	350	941	1315	946	0	0	181	688	208	0	0	0	0	0	0	0
Knl1	338.333333	0	0	0	0	0	1094	469	872	1466	219	1231	1292	948	0	0	114	415	0	0	0	0	0	0	0	0
Lrmp	337.75	94	0	0	0	322	991	340	1037	1636	366	1270	859	692	0	0	126	373	0	0	0	0	0	0	0	0
Kdm4c	335.791667	0	0	0	0	0	365	152	410	841	541	1089	1759	1325	0	0	0	1397	180	0	0	0	0	0	0	0
Cdh12	335.083333	0	432	480	424	0	954	302	845	1082	188	885	1110	708	313	0	0	319	0	0	0	0	0	0	0	0
Lrrc52	333.625	0	0	0	0	0	776	187	1045	935	468	760	1248	947	0	0	0	1526	0	115	0	0	0	0	0	0
Atp5g2	333.083333	0	0	0	0	111	895	300	1084	1416	394	1071	1339	806	0	0	143	107	328	0	0	0	0	0	0	0
Gnat2	329.25	0	0	0	0	0	1020	383	904	1720	266	1342	1087	667	0	0	0	513	0	0	0	0	0	0	0	0
Lmo3	328.541667	145	0	0	0	358	1139	438	1139	1323	411	1053	709	572	0	0	184	414	0	0	0	0	0	0	0	0
Tagln3	328.25	0	0	0	0	514	576	229	870	1190	454	948	1191	685	0	0	0	532	689	0	0	0	0	0	0	0
Slc25a25	326.791667	0	273	186	0	550	1002	161	757	1254	178	689	948	716	163	0	192	501	273	0	0	0	0	0	0	0
Pkdcc	326.666667	0	0	0	0	1098	533	180	721	1026	332	902	1009	1062	178	0	126	353	320	0	0	0	0	0	0	0
Prkab1	326.291667	0	0	0	0	0	888	212	801	1270	584	917	1480	875	0	0	129	675	0	0	0	0	0	0	0	0
Slc17a8	324.5	215	0	0	0	0	437	157	924	1164	766	1052	1284	720	0	0	290	779	0	0	0	0	0	0	0	0
Irgm2	324.458333	0	0	0	0	514	1934	650	1239	1954	0	1179	225	92	0	0	0	0	0	0	0	0	0	0	0	0
Nfatc4	324.375	0	425	248	0	98	1090	266	681	1314	185	937	926	695	482	0	63	375	0	0	0	0	0	0	0	0
Sash1	321.5	0	1115	972	0	0	1170	249	604	1037	0	530	200	202	1476	0	161	0	0	0	0	0	0	0	0	0
Esrrb	321.0	0	0	0	0	0	2247	624	1154	1712	0	1020	137	255	0	0	0	236	319	0	0	0	0	0	0	0
Rab38	317.875	0	0	0	0	0	1040	294	1577	1833	537	1143	560	465	0	0	0	180	0	0	0	0	0	0	0	0
Ndufaf4	310.0	0	0	0	0	0	505	204	860	1208	407	961	1343	745	0	0	0	679	0	131	186	110	101	0	0	0
Gja5	306.5	0	0	0	0	0	1604	576	1340	1195	338	889	717	521	0	0	0	176	0	0	0	0	0	0	0	0
Nptx2	304.541667	0	0	0	0	0	504	126	938	1038	780	771	1010	721	0	0	128	862	431	0	0	0	0	0	0	0
Znrf4	301.25	0	0	0	0	0	991	252	929	1218	263	886	904	727	0	0	0	721	339	0	0	0	0	0	0	0
Slc10a4	299.791667	0	0	0	0	0	913	303	922	1051	194	754	1307	911	0	0	111	633	0	96	0	0	0	0	0	0
Bsx	297.0	0	0	0	0	0	1303	306	954	1211	247	974	875	848	0	0	0	410	0	0	0	0	0	0	0	0
Nnt	295.5	0	0	0	0	0	1432	648	1146	1568	163	889	479	344	0	0	150	273	0	0	0	0	0	0	0	0
Mpp4	294.375	0	0	0	0	0	1491	408	1109	1604	216	946	458	467	0	0	0	366	0	0	0	0	0	0	0	0
Pdlim3	294.208333	0	0	0	0	1280	1454	453	843	1559	0	870	349	253	0	0	0	0	0	0	0	0	0	0	0	0
1600014C23Rik	292.541667	0	0	0	0	0	955	286	1102	1076	436	893	837	669	0	0	201	364	202	0	0	0	0	0	0	0
Tle3	291.208333	0	1116	884	0	356	615	0	362	730	0	430	384	372	1241	0	139	154	206	0	0	0	0	0	0	0
Usp25	288.541667	0	0	0	0	0	410	0	578	848	415	850	1369	1073	0	0	181	1201	0	0	0	0	0	0	0	0
Atxn7l2	288.5	0	1754	1655	202	0	0	0	0	0	0	0	0	0	2139	0	0	0	0	256	295	351	272	0	0	0
Trub1	287.541667	0	0	0	0	0	1228	347	1083	1271	517	965	1068	253	0	0	169	0	0	0	0	0	0	0	0	0
Zcrb1	286.666667	0	0	0	0	0	1442	548	969	1515	311	922	430	376	0	0	260	0	107	0	0	0	0	0	0	0
Pphln1	286.666667	0	0	0	0	0	1442	548	969	1515	311	922	430	376	0	0	260	0	107	0	0	0	0	0	0	0
Nrf1	286.458333	0	0	0	0	0	954	435	1175	1771	309	1169	273	275	0	0	154	360	0	0	0	0	0	0	0	0
Gm5165	286.333333	0	0	0	0	226	803	283	877	1357	398	837	890	538	0	0	128	432	103	0	0	0	0	0	0	0
Usp1	285.916667	0	112	0	0	342	969	237	693	1018	256	1020	1118	565	0	0	172	235	125	0	0	0	0	0	0	0
Tmco5	285.0	0	0	0	0	0	862	222	888	1197	428	869	953	839	0	0	0	582	0	0	0	0	0	0	0	0
Morc1	284.416667	0	0	0	0	0	819	205	636	786	426	727	1241	1054	0	0	0	932	0	0	0	0	0	0	0	0
Asmt	284.041667	305	830	843	756	353	258	211	270	284	458	301	229	302	313	532	170	0	0	0	0	0	0	199	203	0
Plekhh3	283.0	0	506	390	0	0	1263	128	796	1368	170	934	504	263	388	0	82	0	0	0	0	0	0	0	0	0
Cntnap1	283.0	0	506	390	0	0	1263	128	796	1368	170	934	504	263	388	0	82	0	0	0	0	0	0	0	0	0
Cenpu	283.0	0	1806	1822	140	0	118	0	0	151	0	0	198	0	2557	0	0	0	0	0	0	0	0	0	0	0
Ccr10	283.0	0	506	390	0	0	1263	128	796	1368	170	934	504	263	388	0	82	0	0	0	0	0	0	0	0	0
4921524J17Rik	282.625	218	0	0	0	0	922	256	580	1180	241	794	904	767	0	0	242	481	198	0	0	0	0	0	0	0
Rgs8	281.416667	129	0	0	0	0	934	354	1047	1421	225	933	868	441	0	0	211	191	0	0	0	0	0	0	0	0
Arhgap36	280.208333	145	0	0	0	0	1093	339	675	898	180	829	1098	636	0	0	141	552	139	0	0	0	0	0	0	0
Slc25a40	279.0	0	0	0	0	0	1645	435	1072	1557	217	906	409	216	0	0	122	117	0	0	0	0	0	0	0	0
Dbf4	279.0	0	0	0	0	0	1645	435	1072	1557	217	906	409	216	0	0	122	117	0	0	0	0	0	0	0	0
Hoxc10	278.666667	0	0	0	0	0	1434	381	1157	1677	309	933	475	322	0	0	0	0	0	0	0	0	0	0	0	0
Gm51425	278.208333	0	0	0	0	216	1003	379	801	1177	194	781	1035	632	0	0	0	459	0	0	0	0	0	0	0	0
Lrrc4c	277.958333	335	120	90	0	0	767	139	839	943	312	731	925	684	0	0	338	326	122	0	0	0	0	0	0	0
Ubiad1	276.958333	0	0	0	0	0	1228	295	955	1296	131	947	889	454	0	0	166	205	0	0	81	0	0	0	0	0
Mtor	276.958333	0	0	0	0	0	1228	295	955	1296	131	947	889	454	0	0	166	205	0	0	81	0	0	0	0	0
Zfp991	275.208333	0	0	0	0	0	1389	406	950	1472	0	902	830	484	0	0	0	172	0	0	0	0	0	0	0	0
Ndst1	275.041667	65	0	0	0	0	1205	310	951	1310	299	838	725	521	0	0	106	271	0	0	0	0	0	0	0	0
Lats2	273.166667	218	0	0	0	731	1635	491	580	1502	0	860	120	0	0	67	198	0	154	0	0	0	0	0	0	0
Sytl2	273.0	0	0	0	0	0	967	355	1224	1435	348	815	548	459	0	0	182	219	0	0	0	0	0	0	0	0
Psmc6	272.166667	0	0	0	0	0	495	282	948	1031	512	991	1098	648	0	0	0	527	0	0	0	0	0	0	0	0
Zbtb8a	269.5	0	0	0	0	0	1464	457	908	1500	145	887	562	347	0	0	198	0	0	0	0	0	0	0	0	0
Rab27a	269.5	156	0	0	0	415	323	110	693	715	318	894	801	574	0	0	312	552	605	0	0	0	0	0	0	0
Uts2b	268.416667	0	0	88	0	0	758	189	915	1024	386	748	898	475	0	0	0	649	0	220	92	0	0	0	0	0
Taf1d	267.541667	0	0	0	0	0	873	330	489	1032	416	675	905	647	0	0	169	885	0	0	0	0	0	0	0	0
Cfap54	267.541667	0	0	0	0	0	1212	245	808	1416	0	1120	836	515	0	0	0	269	0	0	0	0	0	0	0	0
4931406C07Rik	267.541667	0	0	0	0	0	873	330	489	1032	416	675	905	647	0	0	169	885	0	0	0	0	0	0	0	0
Impdh2	267.5	0	0	0	0	0	1184	353	1063	1380	104	1024	763	439	0	0	0	110	0	0	0	0	0	0	0	0
Lmo1	267.25	0	0	0	0	0	613	104	899	748	242	564	714	761	0	0	205	836	415	0	0	179	134	0	0	0
Zkscan1	267.083333	0	0	0	0	95	655	296	988	1035	438	824	1018	668	0	0	0	393	0	0	0	0	0	0	0	0
Grpel1	266.791667	0	0	0	0	0	364	163	749	1100	451	895	1061	915	0	0	77	628	0	0	0	0	0	0	0	0
Edar	266.0	0	0	0	0	0	463	134	827	1091	515	810	1003	824	0	0	0	498	219	0	0	0	0	0	0	0
Htr3a	264.166667	0	0	0	0	0	957	305	592	1295	0	821	861	646	0	0	0	424	439	0	0	0	0	0	0	0
Hoxa1	263.791667	0	0	0	0	333	542	0	738	845	204	722	1208	860	125	0	99	522	0	133	0	0	0	0	0	0
Fam171b	263.208333	0	0	0	0	0	389	127	417	787	244	536	1359	764	0	0	475	864	211	144	0	0	0	0	0	0
Tyro3	262.833333	85	0	0	0	0	1140	284	564	1215	164	744	943	613	0	0	227	329	0	0	0	0	0	0	0	0
Zfp516	261.583333	0	0	0	0	194	589	160	474	805	436	628	1022	776	197	0	122	803	0	72	0	0	0	0	0	0
Sema6d	261.166667	0	0	0	0	0	0	0	299	487	545	732	1438	1022	0	0	139	1165	337	104	0	0	0	0	0	0
Kcnn2	260.0	0	257	280	0	0	896	150	714	1031	209	828	689	454	241	0	132	359	0	0	0	0	0	0	0	0
Dpf2	259.375	0	0	0	0	274	574	165	966	950	132	868	847	668	0	0	69	595	0	117	0	0	0	0	0	0
Neurod1	258.833333	0	0	0	0	0	924	248	1152	1367	540	597	590	469	0	0	0	325	0	0	0	0	0	0	0	0
Ints4	258.75	0	596	446	0	417	604	0	678	608	147	597	590	532	995	0	0	0	0	0	0	0	0	0	0	0
Olfr1286	258.333333	0	0	0	0	0	829	163	461	870	359	682	1253	955	0	0	0	628	0	0	0	0	0	0	0	0
Dusp23	257.708333	0	0	0	0	165	1113	169	654	1138	254	791	937	696	0	0	0	268	0	0	0	0	0	0	0	0
Atp6v0a1	257.666667	254	0	0	0	0	1135	291	973	1018	227	681	771	319	0	0	173	342	0	0	0	0	0	0	0	0
Daam1	257.333333	0	0	100	0	182	278	0	668	451	337	860	1472	885	0	0	0	685	108	150	0	0	0	0	0	0
Zfp473	255.125	0	0	0	0	0	947	153	589	1053	299	834	1166	754	0	0	0	328	0	0	0	0	0	0	0	0
Vrk3	255.125	0	0	0	0	0	947	153	589	1053	299	834	1166	754	0	0	0	328	0	0	0	0	0	0	0	0
Rpl22	254.958333	0	1795	1735	140	0	0	0	0	0	0	0	84	0	2251	0	114	0	0	0	0	0	0	0	0	0
Angpt1	254.041667	0	0	0	0	0	1062	238	754	1394	271	843	564	411	0	0	0	342	218	0	0	0	0	0	0	0
Spp2	252.958333	0	0	0	0	0	399	0	490	731	541	550	1149	684	0	0	255	790	139	229	0	0	114	0	0	0
Zfp960	252.333333	0	0	0	0	290	999	201	635	1067	195	679	1067	527	0	0	0	396	0	0	0	0	0	0	0	0
Phc1	250.791667	0	0	0	0	0	1629	853	696	1384	0	786	77	0	0	0	235	0	0	116	146	97	0	0	0	0
Akr1b3	250.583333	0	655	566	0	0	525	121	534	619	125	492	591	316	730	0	194	166	255	125	0	0	0	0	0	0
Pgk1	249.958333	0	0	0	0	155	803	105	1223	561	1203	362	1098	155	0	0	0	0	334	0	0	0	0	0	0	0
Arid4a	249.75	0	0	0	0	94	703	266	523	1036	263	891	960	996	0	0	142	120	0	0	0	0	0	0	0	0
Cul2	249.166667	169	628	510	0	0	492	190	529	763	226	442	743	384	708	0	196	0	0	0	0	0	0	0	0	0
Usp44	246.166667	0	0	0	0	0	661	88	325	820	168	669	1132	1023	0	0	179	730	113	0	0	0	0	0	0	0
Neil1	246.125	0	231	229	0	0	743	106	862	1040	398	722	531	475	262	0	118	190	0	0	0	0	0	0	0	0
Atp2b2	245.416667	127	0	0	0	191	235	0	791	984	366	761	1033	671	0	0	159	572	0	0	0	0	0	0	0	0
Baz2a	244.333333	0	1501	1525	287	0	0	0	0	0	0	0	0	0	2267	97	187	0	0	0	0	0	0	0	0	0
Hmga1b	243.541667	0	0	0	0	0	695	181	713	968	331	747	977	766	0	0	94	373	0	0	0	0	0	0	0	0
Hmga1	243.541667	0	0	0	0	0	695	181	713	968	331	747	977	766	0	0	94	373	0	0	0	0	0	0	0	0
Taf12	243.291667	0	0	0	0	169	1010	215	843	1052	265	728	724	398	0	0	115	320	0	0	0	0	0	0	0	0
Peli3	242.333333	0	0	0	0	0	777	318	665	1007	204	977	714	571	0	0	141	442	0	0	0	0	0	0	0	0
Scml4	241.625	0	0	0	0	0	887	325	478	1096	135	680	1176	474	0	0	0	548	0	0	0	0	0	0	0	0
Efna5	241.541667	0	255	294	0	371	620	0	637	773	131	368	449	492	169	0	127	848	263	0	0	0	0	0	0	0
Ntn4	241.375	0	0	0	0	0	663	202	633	835	237	818	899	594	0	0	229	341	258	84	0	0	0	0	0	0
Rap2b	241.291667	0	928	732	0	0	319	0	402	402	107	448	632	378	1322	0	121	0	0	0	0	0	0	0	0	0
Zfp3	238.791667	0	0	0	0	0	1333	409	812	1424	0	893	482	160	0	0	218	0	0	0	0	0	0	0	0	0
Foxp1	238.541667	127	0	0	0	118	526	221	569	858	266	491	910	689	0	0	180	770	0	0	0	0	0	0	0	0
Olfr1046	236.083333	0	0	0	0	0	377	101	565	602	336	706	1142	805	0	0	0	1032	0	0	0	0	0	0	0	0
Dll4	235.25	199	0	0	0	0	1004	262	849	1035	0	953	839	392	0	0	0	113	0	0	0	0	0	0	0	0
Galr3	235.208333	0	0	0	0	0	440	148	549	905	0	912	999	577	0	0	173	613	329	0	0	0	0	0	0	0
Cbx5	234.583333	0	0	0	0	0	998	388	778	1052	157	814	741	435	0	0	0	267	0	0	0	0	0	0	0	0
Rbm27	233.791667	145	0	0	106	0	1337	431	866	1275	162	746	180	167	0	0	196	0	0	0	0	0	0	0	0	0
Cdca7	233.541667	0	761	665	0	0	199	96	333	625	0	242	483	426	1435	0	157	183	0	0	0	0	0	0	0	0
Pxk	232.375	0	1444	1576	152	0	0	0	0	0	0	0	0	0	2072	74	259	0	0	0	0	0	0	0	0	0
Tspan15	230.666667	145	0	0	0	102	160	0	481	685	678	722	1013	686	0	0	164	534	166	0	0	0	0	0	0	0
Snca	230.166667	0	0	0	0	0	154	0	210	217	222	453	1781	1261	0	0	0	918	200	108	0	0	0	0	0	0
Plekhg2	230.041667	0	0	0	0	209	1105	195	560	913	130	877	803	499	0	0	0	230	0	0	0	0	0	0	0	0
Fam43a	229.125	0	230	99	0	0	390	208	753	1145	314	690	817	473	160	0	88	132	0	0	0	0	0	0	0	0
Kifc3	226.208333	0	0	0	0	373	277	0	382	725	148	677	864	634	0	0	192	497	660	0	0	0	0	0	0	0
Copz1	225.625	197	0	0	268	0	181	0	541	746	356	500	1093	511	0	223	107	692	0	0	0	0	0	0	0	0
Nol4	224.791667	0	0	0	0	225	993	323	669	1014	0	541	797	400	0	0	184	98	151	0	0	0	0	0	0	0
Mpzl1	223.791667	0	0	0	0	0	1062	391	564	1264	104	578	592	493	0	0	227	96	0	0	0	0	0	0	0	0
Lpar6	222.875	0	0	0	0	0	867	220	689	878	208	879	637	470	126	0	0	375	0	0	0	0	0	0	0	0
Arhgap28	221.833333	0	655	631	0	0	837	282	634	1045	0	531	294	161	0	0	254	0	0	0	0	0	0	0	0	0
Lsm14a	221.458333	0	0	0	0	0	398	128	725	636	463	880	797	580	0	0	239	469	0	0	0	0	0	0	0	0
Myl12a	221.208333	0	1007	768	0	0	343	0	470	444	0	437	254	182	1162	0	242	0	0	0	0	0	0	0	0	0
Fezf2	220.583333	0	0	0	0	0	749	149	815	964	323	512	683	333	0	0	0	766	0	0	0	0	0	0	0	0
Ubap1l	220.291667	0	0	0	0	0	425	0	467	714	211	1014	1284	757	0	0	0	315	0	100	0	0	0	0	0	0
Rnase12	219.708333	0	0	0	0	173	499	226	623	872	387	721	745	551	0	0	0	286	190	0	0	0	0	0	0	0
Rnase11	219.708333	0	0	0	0	173	499	226	623	872	387	721	745	551	0	0	0	286	190	0	0	0	0	0	0	0
Mid2	218.25	0	0	0	0	0	776	202	642	970	359	657	640	398	0	0	165	429	0	0	0	0	0	0	0	0
Zeb2	216.875	0	0	0	0	0	1176	469	866	1081	0	673	314	303	0	0	155	168	0	0	0	0	0	0	0	0
Cotl1	214.791667	0	0	0	0	0	736	145	683	1100	216	704	894	325	0	0	0	270	82	0	0	0	0	0	0	0
Zmat4	214.041667	151	0	0	0	0	760	178	503	1210	150	608	875	375	0	0	169	158	0	0	0	0	0	0	0	0
Thg1l	212.916667	0	0	0	0	0	905	235	860	1307	157	902	539	205	0	0	0	0	0	0	0	0	0	0	0	0
Gdf5	212.791667	0	0	0	0	0	334	134	670	922	402	580	772	442	0	0	167	525	159	0	0	0	0	0	0	0
Cybb	211.666667	0	0	0	0	0	974	213	923	1143	170	785	485	215	0	0	0	172	0	0	0	0	0	0	0	0
Wee2	211.625	0	0	0	0	0	488	214	564	1088	285	942	714	494	0	0	0	290	0	0	0	0	0	0	0	0
Gm14325	211.583333	0	0	0	0	0	912	198	584	792	192	501	714	431	0	0	184	570	0	0	0	0	0	0	0	0
Ints10	211.333333	0	1397	1263	64	0	0	0	0	0	0	0	0	0	2348	0	0	0	0	0	0	0	0	0	0	0
Pgpep1l	211.291667	0	0	0	0	0	402	154	631	1193	405	581	861	583	0	0	0	261	0	0	0	0	0	0	0	0
Proser1	210.708333	0	1544	1358	633	0	0	0	0	0	0	0	0	0	1410	0	112	0	0	0	0	0	0	0	0	0
Nhlrc3	210.708333	0	1544	1358	633	0	0	0	0	0	0	0	0	0	1410	0	112	0	0	0	0	0	0	0	0	0
Dyrk3	210.708333	0	0	0	0	289	267	0	188	294	0	126	657	361	0	0	170	730	1513	103	0	201	158	0	0	0
H3c4	209.208333	0	0	0	0	0	749	144	526	774	110	612	787	608	0	0	493	218	0	0	0	0	0	0	0	0
H2bc8	209.208333	0	0	0	0	0	749	144	526	774	110	612	787	608	0	0	493	218	0	0	0	0	0	0	0	0
H2bc7	209.208333	0	0	0	0	0	749	144	526	774	110	612	787	608	0	0	493	218	0	0	0	0	0	0	0	0
H2ac8	209.208333	0	0	0	0	0	749	144	526	774	110	612	787	608	0	0	493	218	0	0	0	0	0	0	0	0
H2ac7	209.208333	0	0	0	0	0	749	144	526	774	110	612	787	608	0	0	493	218	0	0	0	0	0	0	0	0
Por	208.166667	0	1064	1152	0	0	149	0	118	199	0	144	124	0	1824	0	222	0	0	0	0	0	0	0	0	0
Uros	207.583333	191	967	841	0	293	151	0	0	201	0	131	187	0	1266	249	505	0	0	0	0	0	0	0	0	0
Tjp2	207.208333	0	233	255	0	0	507	266	558	860	0	514	485	236	583	103	284	89	0	0	0	0	0	0	0	0
Nr6a1	207.125	179	1170	874	0	0	222	0	193	294	0	309	358	198	887	0	157	130	0	0	0	0	0	0	0	0
Zfp97	206.375	0	0	0	0	266	666	157	527	971	287	525	816	359	0	0	0	379	0	0	0	0	0	0	0	0
Raly	205.416667	0	943	726	0	0	371	0	280	533	0	208	282	124	1267	0	196	0	0	0	0	0	0	0	0	0
Frat2	205.333333	0	800	608	0	520	0	0	0	90	0	123	496	300	1358	0	150	483	0	0	0	0	0	0	0	0
