Target_genes	Sp1|Average	SRX12298596|B_cells	SRX7799915|CH12	SRX7799916|CH12	SRX7799920|CH12	SRX7799921|CH12	SRX5371688|ES_cells	SRX5371689|ES_cells	SRX5371690|ES_cells	SRX5371691|ES_cells	SRX5371692|ES_cells	SRX5371698|ES_cells	SRX5371699|ES_cells	SRX5371700|ES_cells	SRX5371701|ES_cells	SRX5850139|ES_cells	SRX5850140|ES_cells	SRX5850141|ES_cells	SRX5850142|ES_cells	SRX5850143|ES_cells	SRX5850144|ES_cells	SRX5850145|ES_cells	SRX5850146|ES_cells	SRX5850147|ES_cells	SRX5850148|ES_cells	SRX5850149|ES_cells	SRX9162528|External_genitalia	SRX9162532|External_genitalia	SRX378972|mESCs,_differentiated	SRX378973|mESC_derived_haematopoietic_progenitor	SRX5818135|Neural_Stem_Cells	SRX5818139|Neural_Stem_Cells	SRX1898479|Striatal_neurons	SRX160414|Trophoblast_stem_cells	STRING
Tmem65	837.060606	1568	2287	2320	2448	2359	1661	1113	1731	125	0	2632	0	714	677	876	230	409	472	569	695	527	445	741	514	367	786	1010	180	0	0	0	167	0	0
Metap1	834.818182	1477	2308	2345	2391	2432	895	643	981	0	0	2171	0	624	482	1270	430	671	1113	363	704	662	905	577	1037	572	1128	1368	0	0	0	0	0	0	0
Tpst2	830.606061	1433	2271	2240	2038	2208	1303	598	1098	106	0	2394	0	529	562	1026	310	490	953	377	591	528	852	494	795	386	1553	1947	206	122	0	0	0	0	0
Dop1b	816.393939	1681	2092	2062	2091	2193	910	552	726	0	0	1887	0	321	348	1617	653	809	1489	483	761	840	1162	766	1315	474	574	987	0	0	0	0	148	0	0
Nkd1	814.969697	1374	2372	2462	2123	2267	1162	688	695	0	0	2245	0	518	343	1485	348	824	846	429	424	754	915	713	883	604	1022	1132	266	0	0	0	0	0	0
Aspscr1	814.393939	1119	1950	1963	1783	2061	1258	900	1232	172	96	2187	0	633	601	849	435	460	916	451	811	601	743	528	792	448	1607	1935	344	0	0	0	0	0	0
Cdc42se2	813.545455	1859	2477	2481	2139	2401	1299	745	1344	0	0	2114	0	424	423	1318	267	822	1053	436	564	931	1023	647	771	561	0	358	390	0	0	0	0	0	0
Celf6	811.575758	1140	2079	2228	2032	2355	1177	783	1357	0	0	2348	0	639	598	1029	463	814	878	408	587	672	894	525	933	597	984	967	295	0	0	0	0	0	0
Pcgf5	809.939394	1955	2524	2510	1821	2229	724	461	654	0	0	1603	0	337	251	1274	488	828	1241	510	616	784	1171	742	999	614	1069	1102	221	0	0	0	0	0	0
Fam193a	803.909091	1572	2542	2629	2364	2561	1120	513	1016	0	0	2005	0	389	387	677	299	356	824	298	519	593	639	421	549	256	636	832	2270	262	0	0	0	0	0
Xpr1	803.454545	1805	2474	2437	2432	2549	1929	1069	1498	95	0	2588	0	727	675	906	218	527	715	299	421	407	499	219	496	258	452	637	182	0	0	0	0	0	0
Kmt2a	798.212121	1034	1856	2042	1820	1888	550	274	565	0	0	1821	0	448	529	962	936	787	1275	757	794	1015	951	1213	1155	977	962	1070	334	0	0	0	169	157	0
Dynll1	796.909091	1151	2407	2469	2497	2558	1364	838	1253	99	0	1949	0	569	635	604	226	368	700	494	1658	945	164	514	250	233	294	429	1297	105	0	0	228	0	0
Isg15	793.181818	1486	1845	1895	1864	1720	1306	855	1082	93	0	1781	0	748	852	990	520	609	983	391	491	600	935	550	1022	596	1458	1387	116	0	0	0	0	0	0
Brox	790.606061	1758	1361	1366	1654	1439	606	423	677	407	253	1135	214	180	307	745	565	916	1045	573	255	1207	1761	732	1827	1266	380	384	630	532	147	0	414	931	0
Aida	790.606061	1758	1361	1366	1654	1439	606	423	677	407	253	1135	214	180	307	745	565	916	1045	573	255	1207	1761	732	1827	1266	380	384	630	532	147	0	414	931	0
Agrn	789.666667	1486	1845	1895	1864	1720	1306	855	1082	93	0	1781	0	748	852	990	520	609	983	391	491	600	935	550	1022	596	1458	1387	0	0	0	0	0	0	0
Tmem131	788.090909	1401	2060	2155	2293	2253	2000	1634	2062	114	105	2283	0	727	772	435	169	174	432	301	631	606	152	292	164	114	1064	1120	494	0	0	0	0	0	0
Zbtb7a	787.0	1048	1552	1565	1767	1589	2087	1220	1492	141	79	1976	0	656	789	685	288	359	487	392	1084	683	289	367	321	285	1070	898	2023	561	0	122	0	96	0
Rfx2	785.757576	1452	2389	2467	2441	2664	1596	925	1493	0	0	2318	0	517	526	574	148	251	452	148	743	388	264	265	375	169	1184	1367	814	0	0	0	0	0	0
Gxylt1	781.121212	1745	2374	2380	2075	2292	852	403	567	0	0	1469	0	292	258	1205	517	732	983	381	783	580	974	612	1160	230	1252	1274	235	0	0	0	152	0	0
Acsl1	774.030303	1485	2245	2152	1853	2001	640	283	293	0	0	1280	0	161	122	1487	758	1254	1549	535	416	924	1531	853	1380	738	665	824	114	0	0	0	0	0	0
Taok3	765.121212	1221	2117	2160	2262	2223	1282	1061	1140	89	0	1902	0	486	442	588	271	403	589	365	801	676	366	504	325	176	878	1008	1391	334	0	0	189	0	0
Suds3	765.121212	1221	2117	2160	2262	2223	1282	1061	1140	89	0	1902	0	486	442	588	271	403	589	365	801	676	366	504	325	176	878	1008	1391	334	0	0	189	0	0
Fbxo48	764.515152	1125	2395	2359	2474	2456	1451	974	1694	99	0	1731	0	306	320	688	211	346	500	434	818	655	219	398	256	277	0	0	1934	637	0	0	297	175	0
Por	763.363636	1287	2180	2275	2255	2263	1667	850	1503	151	0	2543	0	687	609	627	218	368	723	451	979	779	397	466	473	397	115	128	608	0	0	0	120	72	0
Abhd2	763.030303	1243	2395	2348	2467	2586	842	576	867	90	0	2017	0	578	669	423	242	268	539	411	1399	784	0	423	110	145	123	147	2446	685	0	0	0	357	0
Mapk8	761.909091	1609	2266	2250	2456	2366	831	612	747	0	0	1958	0	640	479	959	184	606	775	287	579	509	858	671	994	273	1014	1220	0	0	0	0	0	0	0
Rnaset2b	760.787879	1436	2534	2541	2238	2661	836	427	756	0	0	1405	0	264	252	887	344	640	831	401	801	830	726	639	656	660	948	992	329	0	0	0	72	0	0
Vkorc1l1	760.454545	1443	2038	2061	1637	2049	1162	831	1059	97	0	2012	0	701	575	942	479	602	975	288	384	581	737	357	922	447	1223	1270	223	0	0	0	0	0	0
Angel1	760.30303	1958	2562	2592	2255	2584	1598	955	1702	0	0	1890	0	510	463	766	212	521	708	292	494	615	401	416	437	340	122	113	338	246	0	0	0	0	0
Slc35e1	756.181818	1118	2278	2309	2087	2407	725	355	869	0	0	1716	0	387	415	722	321	417	920	328	971	485	514	526	439	193	1416	1481	1381	174	0	0	0	0	0
Rnaset2a	756.030303	1364	2534	2541	2238	2626	836	399	756	0	0	1405	0	264	230	887	344	640	831	401	801	830	726	639	656	660	948	992	329	0	0	0	72	0	0
Smurf2	755.69697	1630	2488	2435	2096	2281	1195	881	1070	0	0	1712	0	504	469	718	393	328	674	323	641	538	648	719	553	526	977	1139	0	0	0	0	0	0	0
Prpsap2	753.666667	1775	2471	2483	1812	2298	1083	641	859	0	0	1826	0	365	366	847	255	644	755	367	465	482	671	338	483	309	1460	1681	135	0	0	0	0	0	0
Spryd7	753.151515	1441	2347	2327	2193	2348	1288	961	1051	166	0	2182	0	782	609	793	230	601	776	233	468	459	839	258	688	334	546	815	119	0	0	0	0	0	0
Usp25	752.575758	1794	2359	2258	1761	2037	862	458	712	0	0	1798	0	346	323	1132	307	726	1178	467	404	845	1051	460	753	540	976	1111	177	0	0	0	0	0	0
Vps4a	751.575758	1403	2246	2415	2150	2327	1730	1110	1656	119	0	2128	0	670	411	757	348	260	689	171	543	250	499	457	596	193	575	779	183	0	0	0	137	0	0
Ripk2	749.393939	1609	1878	1844	1627	1726	1485	958	1141	148	0	1934	0	290	301	953	560	671	1174	383	357	570	1114	560	1180	549	647	973	0	0	98	0	0	0	0
Espn	748.484848	1207	1917	1890	1954	2006	1901	1187	1777	111	0	2245	0	492	428	878	287	627	707	394	668	667	682	496	625	305	323	603	85	0	0	0	238	0	0
Cyth1	747.848485	1122	2247	2351	1774	1942	814	529	903	0	0	1870	0	532	427	1164	349	899	1031	353	551	642	737	472	945	459	962	1385	219	0	0	0	0	0	0
Nabp1	745.787879	1521	2706	2702	2516	2590	961	627	930	0	0	2133	0	473	344	850	397	506	618	392	639	566	468	464	435	339	246	144	673	142	0	0	229	0	0
Aacs	743.787879	1664	2526	2607	2455	2585	1521	802	1354	140	0	1969	0	655	698	591	287	474	536	336	554	556	226	373	280	206	137	86	812	115	0	0	0	0	0
Ppp1ccb	743.757576	1607	2509	2559	2520	2720	1045	563	762	0	0	2041	0	428	496	665	348	476	713	259	712	433	519	435	521	340	706	891	276	0	0	0	0	0	0
Ubr5	743.606061	1376	2398	2392	2510	2488	928	480	921	0	0	1681	0	394	343	737	204	321	639	403	965	415	403	535	559	277	1213	1460	370	0	0	0	127	0	0
Hs6st1	743.484848	1578	2267	2329	1992	1977	811	397	966	0	0	1364	0	208	274	1138	447	666	819	349	705	747	602	724	591	587	1147	1260	348	0	0	0	242	0	0
Ppp1cc	742.606061	1607	2509	2559	2520	2720	1045	563	762	0	0	2041	0	428	496	665	348	476	713	259	712	433	519	435	521	340	668	891	276	0	0	0	0	0	0
Sp1	742.484848	1016	1455	1446	1288	1457	642	267	552	0	0	1310	0	193	157	1140	785	567	1027	616	875	563	1117	882	1450	644	1169	1313	1898	370	0	0	0	303	0
Rab22a	742.393939	1434	2388	2451	2198	2352	1023	509	906	103	0	1767	0	398	292	890	313	444	913	303	428	527	844	465	848	332	925	1194	252	0	0	0	0	0	0
Fbxo11	741.878788	1319	2098	2022	1919	2186	1505	907	1463	0	0	1851	0	591	604	808	210	495	829	328	649	648	631	498	539	431	666	832	453	0	0	0	0	0	0
Sntb2	740.151515	1488	2223	2304	2290	2524	1116	608	1350	0	0	2229	0	566	637	849	204	278	392	326	624	418	198	362	322	202	1113	1153	498	151	0	0	0	0	0
Rbfa	740.0	1635	2592	2563	2394	2742	1261	986	1506	0	0	1740	0	372	432	460	101	380	354	426	470	559	321	430	293	281	755	959	408	0	0	0	0	0	0
Kremen1	739.939394	2064	2073	2027	1841	2015	567	351	612	0	0	1231	0	247	347	1056	556	746	1169	358	391	590	921	816	1105	589	1393	1353	0	0	0	0	0	0	0
Klhl36	739.848485	1929	2524	2564	1763	2237	685	324	363	0	0	1148	0	209	170	1381	368	703	991	516	604	696	830	840	1059	446	895	1024	146	0	0	0	0	0	0
Ankrd50	737.939394	1423	2239	2123	1607	2125	921	608	847	0	0	1708	0	316	340	683	338	572	946	390	599	408	642	446	741	398	1592	1654	554	132	0	0	0	0	0
Ccdc112	736.515152	1622	2349	2410	2025	2159	850	442	893	0	0	1344	0	268	266	1144	258	720	748	379	343	585	829	457	594	428	1387	1630	175	0	0	0	0	0	0
Fzd5	736.212121	1701	2471	2474	2178	2423	927	524	1021	0	0	2044	0	467	470	845	259	554	776	325	424	391	773	398	713	447	730	960	0	0	0	0	0	0	0
Raly	736.181818	1396	1942	1974	1506	1793	1065	799	1100	130	0	1688	0	533	475	1023	527	630	914	338	927	603	788	552	905	315	678	863	370	0	0	0	209	251	0
Senp8	734.393939	1315	2004	2054	1870	2071	1406	992	1381	197	0	2313	0	965	594	642	286	477	706	283	492	604	667	400	553	422	628	713	200	0	0	0	0	0	0
Myo9a	734.393939	1315	2004	2054	1870	2071	1406	992	1381	197	0	2313	0	965	594	642	286	477	706	283	492	604	667	400	553	422	628	713	200	0	0	0	0	0	0
Sqle	734.363636	1311	2256	2326	2226	2254	674	397	699	0	0	1323	0	167	202	1134	489	681	953	314	991	515	854	686	1115	314	718	811	753	0	0	0	71	0	0
Ulk1	733.69697	1422	2473	2442	2059	2256	1275	872	1119	109	86	2005	0	594	444	522	142	374	520	199	317	304	356	219	405	240	1477	1537	444	0	0	0	0	0	0
Rnf149	733.333333	1272	2217	2317	1933	2227	1201	726	1156	0	0	2554	0	620	603	726	178	468	494	321	488	525	483	352	470	331	1309	1229	0	0	0	0	0	0	0
Baiap2	733.212121	1545	2429	2433	2305	2347	1010	687	978	0	0	2329	0	624	595	717	183	531	670	309	580	391	571	352	605	302	566	692	309	0	0	0	136	0	0
Prex1	732.727273	1441	2200	2251	1836	2046	1088	665	1214	0	0	1594	0	193	223	851	270	551	988	270	324	468	738	390	653	289	1609	1821	207	0	0	0	0	0	0
Mtrf1l	732.181818	1323	2091	2190	1739	2131	1698	1145	1528	0	0	2128	0	536	591	631	351	357	745	229	317	319	589	390	672	296	874	1179	113	0	0	0	0	0	0
Fzr1	732.090909	1398	2168	2127	1881	2142	1200	610	1250	0	0	2105	0	509	349	1169	319	541	906	267	548	487	843	672	863	368	449	557	431	0	0	0	0	0	0
C9orf72	731.939394	1306	2132	2203	2083	2275	1230	751	1147	99	0	2021	0	595	579	689	186	439	652	432	454	661	332	343	365	372	1098	1341	369	0	0	0	0	0	0
Cpt2	730.818182	1707	2588	2649	2606	2761	1378	729	1385	0	88	2329	0	663	850	621	192	423	461	229	279	470	335	285	237	228	158	190	276	0	0	0	0	0	0
Arhgap33	729.333333	1184	2256	2297	2381	2370	996	336	751	0	0	1661	0	521	696	545	315	395	620	286	548	495	462	649	618	339	1353	1666	328	0	0	0	0	0	0
Twf1	727.424242	1486	2338	2300	2377	2597	674	368	606	0	0	1594	0	340	467	902	389	488	657	689	1196	464	323	717	533	308	674	1000	518	0	0	0	0	0	0
Ctnnbip1	726.727273	1553	2319	2375	2177	2329	967	504	771	0	0	1932	0	429	392	711	181	453	711	210	435	460	694	392	622	376	1071	1200	369	0	0	0	349	0	0
Sertad2	726.272727	1307	1731	1736	1741	1715	574	354	508	0	0	923	0	210	201	915	595	487	1104	460	867	712	879	1072	931	864	1358	1489	982	177	0	0	75	0	0
Osbpl8	725.272727	1230	2250	2417	2030	2321	1071	760	1307	0	0	2370	0	888	820	697	237	417	545	181	478	403	442	490	380	236	712	1037	215	0	0	0	0	0	0
Frmd6	725.242424	1480	2083	1978	2254	2190	770	458	781	0	0	1605	0	224	264	1186	369	836	1048	525	597	719	951	713	787	492	463	713	227	0	0	0	120	100	0
Elmo2	723.636364	1304	2535	2590	2508	2718	1271	791	1226	0	0	2284	0	511	603	246	142	191	382	257	658	478	72	315	193	189	270	301	1429	275	0	0	0	141	0
Gtdc1	723.393939	1590	2149	2244	1929	2188	978	718	1088	0	0	1673	0	505	494	674	369	347	788	403	767	478	731	684	639	621	848	967	0	0	0	0	0	0	0
Paxip1	723.121212	918	2040	2134	1928	2285	1361	883	1393	167	0	1818	0	327	391	573	337	425	611	296	742	542	323	413	341	262	942	1208	751	175	0	0	187	90	0
Ccdc107	722.575758	919	2532	2541	2605	2643	2296	1489	2449	346	0	2535	0	806	954	254	0	0	154	160	444	230	0	162	0	0	0	0	326	0	0	0	0	0	0
2610507B11Rik	719.393939	1611	2372	2429	1749	2313	1012	497	864	0	0	1674	0	319	334	1045	352	625	1027	212	520	569	936	488	946	433	535	780	98	0	0	0	0	0	0
Bcl9	719.181818	1324	2035	2069	2119	2085	871	539	908	0	0	1848	0	502	394	676	401	334	807	301	717	510	723	406	913	372	1094	1162	518	105	0	0	0	0	0
9430038I01Rik	718.787879	1106	1719	1794	1561	1666	1478	1147	1713	0	0	2134	0	692	561	844	322	548	807	324	450	644	653	450	626	401	702	922	456	0	0	0	0	0	0
Mex3d	717.69697	1466	2269	2421	1929	2195	1276	659	1077	0	0	1948	0	699	636	616	236	443	730	169	253	329	608	443	625	364	1067	1226	0	0	0	0	0	0	0
Pgpep1	716.69697	1328	2088	2179	2074	2167	912	730	879	0	0	1888	0	471	498	976	377	697	1022	475	583	638	713	707	903	540	283	253	270	0	0	0	0	0	0
Nxt1	716.606061	1677	2814	2843	2966	2996	808	362	542	0	0	1865	0	340	386	238	118	0	246	263	839	653	0	309	0	0	0	0	2598	671	0	0	0	114	0
Gpatch8	716.606061	1419	2298	2288	1948	2176	1241	810	1210	0	0	2332	0	349	437	748	293	688	794	340	576	494	661	402	633	355	276	264	497	119	0	0	0	0	0
Ern1	715.909091	1551	2221	2276	1790	2143	815	613	905	0	0	1498	0	346	287	1057	195	620	857	343	455	529	696	414	665	377	1233	1469	270	0	0	0	0	0	0
Cyp46a1	715.878788	1184	2254	2368	2081	2134	1240	777	897	0	0	1879	0	445	510	854	225	494	646	297	378	412	577	306	569	308	1093	1327	168	0	0	0	201	0	0
Gdpgp1	715.666667	1568	2512	2563	2141	2468	1046	726	1010	0	0	1958	0	436	356	661	199	472	928	226	266	339	700	427	607	327	585	920	176	0	0	0	0	0	0
Cib1	715.666667	1568	2512	2563	2141	2468	1046	726	1010	0	0	1958	0	436	356	661	199	472	928	226	266	339	700	427	607	327	585	920	176	0	0	0	0	0	0
Phf10	714.545455	566	1504	1300	1032	1550	1135	874	891	0	0	1568	0	380	287	1440	490	870	1111	704	720	1077	887	911	1085	706	1123	1119	173	0	0	0	77	0	0
Slc25a15	714.030303	1368	2247	2372	2114	2463	832	552	917	0	0	1364	0	359	424	758	202	496	660	288	405	503	680	432	576	196	1448	1713	194	0	0	0	0	0	0
Myo6	713.090909	1429	2092	2207	1904	2084	1276	947	1292	0	0	1904	0	519	388	708	280	495	770	242	507	554	607	422	506	299	818	1074	208	0	0	0	0	0	0
Atp9b	710.151515	1196	2222	2292	2207	2598	1045	760	1060	0	0	2323	0	697	670	356	154	206	293	364	436	484	225	305	238	219	988	1228	703	166	0	0	0	0	0
Ddx59	709.939394	981	1987	1843	1752	1878	1547	998	1737	161	0	2214	0	690	612	461	163	381	395	283	528	411	311	443	378	212	1364	1485	213	0	0	0	0	0	0
Phf13	709.181818	756	1954	1989	1838	2089	1046	573	1206	0	0	2006	0	629	572	610	200	404	474	225	768	534	253	456	265	156	679	828	2406	487	0	0	0	0	0
Slc39a3	709.0	824	1899	2022	1988	2135	583	400	797	109	0	1718	0	523	288	541	245	416	607	327	1166	743	253	412	355	223	312	334	2750	850	0	0	237	340	0
Svbp	708.878788	1663	2245	2355	2135	2279	1115	837	1297	0	0	1871	0	465	353	813	139	607	598	234	273	483	496	386	392	358	828	1171	0	0	0	0	0	0	0
Man1c1	708.848485	1741	2189	2388	1680	1962	910	415	785	0	0	1744	0	327	432	855	197	544	734	347	668	465	662	394	855	336	1062	1026	488	0	0	0	186	0	0
Uba6	708.363636	1277	2414	2377	1967	2294	1265	672	1168	0	0	2107	0	422	446	775	154	487	710	316	359	458	400	308	375	253	873	1213	286	0	0	0	0	0	0
Copg2	708.333333	1475	2120	2202	1926	2250	834	523	749	0	0	1537	0	419	437	716	337	408	805	401	651	736	765	449	710	422	919	1274	310	0	0	0	0	0	0
Ebag9	708.151515	1543	2240	2250	2246	2211	821	275	714	0	0	1666	0	259	348	1049	260	393	694	369	367	279	560	522	677	339	1017	1214	806	250	0	0	0	0	0
Zfpm1	708.121212	1445	1665	1663	1399	1401	1420	792	1175	0	0	1419	0	338	368	1258	635	703	924	488	537	596	1129	710	1174	423	696	835	175	0	0	0	0	0	0
Il17d	707.484848	1486	2177	2164	2302	2304	735	573	686	0	0	1511	0	305	238	1125	389	756	939	316	450	686	551	445	819	334	1008	1048	0	0	0	0	0	0	0
Slc19a2	707.30303	1581	2463	2437	2054	2378	992	490	650	0	0	1466	0	263	273	835	265	575	708	271	265	410	713	492	622	419	1137	1274	308	0	0	0	0	0	0
Znrf3	704.636364	1480	2212	2241	2025	2172	565	384	929	0	0	1377	0	278	203	1257	353	664	911	427	484	499	839	494	944	351	1054	1110	0	0	0	0	0	0	0
Bzw2	704.030303	1052	1816	1971	1682	1823	1735	1653	2293	296	122	2095	0	728	509	372	316	463	458	433	585	521	132	505	149	275	143	97	823	0	0	0	0	186	0
Ankmy2	704.030303	1052	1816	1971	1682	1823	1735	1653	2293	296	122	2095	0	728	509	372	316	463	458	433	585	521	132	505	149	275	143	97	823	0	0	0	0	186	0
Abca5	703.636364	1511	2405	2482	1747	2198	701	551	1002	0	0	1543	0	393	424	954	218	625	740	337	607	655	718	463	581	377	792	1196	0	0	0	0	0	0	0
Tmem53	703.363636	898	2035	2114	2175	2297	1718	1193	1503	103	0	2196	0	685	615	670	241	303	659	277	318	590	527	460	451	322	327	369	165	0	0	0	0	0	0
Armh1	703.363636	898	2035	2114	2175	2297	1718	1193	1503	103	0	2196	0	685	615	670	241	303	659	277	318	590	527	460	451	322	327	369	165	0	0	0	0	0	0
Mex3c	703.151515	1075	2139	2113	1916	2110	1336	652	1415	150	0	2326	72	689	546	411	149	297	479	263	558	346	266	216	432	152	812	1080	947	257	0	0	0	0	0
Cep295	703.121212	1160	2575	2683	2383	2805	1029	766	1101	0	0	2078	0	501	549	653	232	363	611	320	633	535	287	407	278	192	456	440	166	0	0	0	0	0	0
Tpmt	703.060606	1597	2384	2402	2329	2527	758	444	543	0	0	1729	0	306	244	867	405	566	941	247	388	457	1135	477	814	424	361	585	182	89	0	0	0	0	0
