Target_genes	Arid3a|Average	SRX2388539|ES_cells	SRX520224|ES_cells	SRX520225|ES_cells	SRX2388546|Trophoblast_stem_cells	SRX3730213|Trophoblast_stem_cells	STRING
Rmdn3	336.6	0	278	0	702	703	0
Rsrc2	335.4	0	294	0	693	690	0
Kntc1	335.4	0	294	0	693	690	0
Rdm1	334.4	0	193	0	740	739	0
Lrrc61	330.0	0	98	0	776	776	0
Lypd11	326.6	0	0	0	862	771	0
Med27	325.8	226	0	0	700	703	0
Rtbdn	322.8	0	0	0	808	806	0
Ormdl3	320.6	145	0	0	729	729	0
Grhl3	319.2	0	0	0	798	798	0
Gtf2h3	315.8	264	145	0	584	586	0
Eif2b1	315.8	264	145	0	584	586	0
Twistnb	311.8	0	112	0	724	723	0
Catsperd	311.0	125	117	0	657	656	0
Fbxo21	310.4	0	0	0	775	777	0
Cwc22	304.0	0	0	0	759	761	0
Ambra1	302.4	0	144	0	684	684	0
Gm13285	302.2	0	429	0	515	567	0
Ppp6c	297.8	0	0	0	745	744	0
Nup214	297.0	273	114	0	550	548	0
Noc4l	296.0	244	0	0	619	617	0
Ddx51	296.0	244	0	0	619	617	0
Icam5	292.0	0	210	0	625	625	0
Icam4	292.0	0	210	0	625	625	0
Med6	291.8	200	156	0	552	551	0
Tfpt	290.4	191	0	0	630	631	0
Prpf31	290.4	191	0	0	630	631	0
Lonp1	287.6	125	0	0	657	656	0
Znrd1as	283.6	96	306	0	509	507	0
Znrd1	283.6	96	306	0	509	507	0
Mapk8ip2	275.6	0	0	0	689	689	0
Gm13290	275.4	0	295	0	515	567	0
Gm13289	275.4	0	295	0	515	567	0
Sfi1	274.2	142	279	0	475	475	0
Gpkow	273.0	0	0	0	683	682	0
3300002I08Rik	272.8	0	0	0	679	685	0
Ifnz	267.0	0	429	0	424	482	0
Gm13276	267.0	0	429	0	424	482	0
Gm13277	264.8	0	429	0	413	482	0
Rangap1	258.6	0	200	0	545	548	0
Nup133	256.0	69	0	0	605	606	0
Nup153	255.4	286	75	0	458	458	0
Psmb2	254.2	0	0	0	635	636	0
Dusp23	254.2	0	220	0	526	525	0
Mtf2	251.0	127	348	0	390	390	0
Unkl	248.8	0	0	0	622	622	0
Percc1	248.8	0	0	0	622	622	0
BC003965	248.8	0	0	0	622	622	0
Olfr1342	247.6	0	270	0	484	484	0
Chmp1b	247.2	128	0	0	554	554	0
Ndufa10	245.4	206	111	0	456	454	0
Zfp978	243.8	237	716	0	135	131	0
Tubgcp6	243.4	174	0	0	521	522	0
Dad1	243.4	86	107	0	511	513	0
Abhd4	243.4	86	107	0	511	513	0
Wdr74	242.4	0	0	0	606	606	0
1700092M07Rik	242.4	0	0	0	606	606	0
Tcf3	242.2	0	161	0	525	525	0
Lum	241.8	229	398	0	261	321	0
Erdr1	239.2	0	151	0	460	585	0
Zfp937	238.6	0	0	0	613	580	0
Znhit3	238.4	0	0	0	596	596	0
Trappc6a	236.4	0	0	0	591	591	0
Bloc1s3	236.4	0	0	0	591	591	0
Ppil4	236.0	160	130	0	444	446	0
Cops8	235.8	165	174	0	420	420	0
Tmem39a	232.2	122	178	0	429	432	0
Gm3667	231.2	0	662	0	249	245	0
Gm13272	230.6	0	269	0	456	428	0
Tbl1x	230.4	0	286	0	433	433	0
Mrs2	229.8	0	204	0	449	496	0
Dusp12	229.2	0	216	0	467	463	0
Gm13287	227.6	0	220	0	400	518	0
Ints10	223.2	0	152	0	482	482	0
Mapkbp1	221.8	0	0	0	554	555	0
Tubb5	220.4	0	232	0	436	434	0
Mdc1	220.4	0	232	0	436	434	0
Rgs3	218.8	0	0	0	547	547	0
Gsc2	217.4	116	0	0	485	486	0
Ess2	217.4	116	0	0	485	486	0
Clptm1l	217.2	161	125	0	400	400	0
Rgl1	216.4	0	0	0	541	541	0
Arpc5	216.4	0	0	0	541	541	0
Med20	215.4	104	0	0	486	487	0
Gm20517	215.4	104	0	0	486	487	0
Bysl	215.4	104	0	0	486	487	0
Pxmp2	215.0	0	0	0	536	539	0
Pole	215.0	0	0	0	536	539	0
Ankrd40	214.8	0	144	0	465	465	0
Rpl9	213.8	0	0	0	535	534	0
Lias	213.8	0	0	0	535	534	0
Ube4a	212.2	221	0	0	420	420	0
Fabp12	212.2	0	179	0	436	446	0
Dhx8	211.6	0	168	0	444	446	0
Klhdc4	211.4	0	354	0	352	351	0
Emc7	211.2	154	0	0	450	452	0
Gm13275	211.0	0	208	0	329	518	0
Tfeb	208.8	0	0	0	522	522	0
Rlf	208.6	0	0	0	521	522	0
Gm13288	208.6	0	220	0	400	423	0
Pelp1	208.2	0	149	0	446	446	0
Spns1	207.6	0	101	0	468	469	0
Cwc25	206.0	0	0	0	515	515	0
Gm13279	205.6	0	208	0	302	518	0
Gm13278	205.6	0	208	0	302	518	0
Cbr4	205.2	156	0	0	435	435	0
Kat7	204.6	0	183	0	420	420	0
Mecr	204.4	0	0	0	511	511	0
Psmd3	204.0	164	0	0	428	428	0
Trmt12	203.8	187	97	0	367	368	0
Rabep2	203.8	0	0	0	510	509	0
Zfp949	203.6	0	0	0	509	509	0
Nat8f5	202.8	0	0	0	507	507	0
Cdsn	202.6	0	223	0	395	395	0
Tbl3	201.8	107	0	0	451	451	0
Ccdc171	201.2	0	246	0	378	382	0
Ttc32	199.8	0	112	0	443	444	0
Rnf166	199.8	160	0	0	419	420	0
Nanp	199.8	0	149	0	426	424	0
Ctu2	199.8	160	0	0	419	420	0
Slc26a6	199.6	0	130	0	433	435	0
Casz1	199.4	0	291	0	353	353	0
Clasp1	197.8	0	139	0	425	425	0
Sst	197.0	0	0	0	493	492	0
Ptgr1	195.6	0	0	0	489	489	0
H4bc24	194.8	0	241	0	347	386	0
H2bc23	194.8	0	241	0	347	386	0
H2ac24	194.8	0	241	0	347	386	0
H2ac23	194.8	0	241	0	347	386	0
Rpl22l1	194.0	0	346	0	312	312	0
Spred2	193.8	0	155	0	407	407	0
Brox	192.0	255	230	0	238	237	0
Aida	192.0	255	230	0	238	237	0
Atp5g2	191.8	0	141	0	409	409	0
Vkorc1	191.4	0	0	0	479	478	0
Prss53	191.4	0	0	0	479	478	0
Pfas	191.2	144	0	0	405	407	0
Atg14	191.0	131	345	0	239	240	0
Timm10	190.0	0	0	0	475	475	0
Smtnl1	190.0	0	0	0	475	475	0
Pacrgl	190.0	0	93	0	429	428	0
Plcd3	189.6	0	180	0	384	384	0
Kpna6	189.6	0	121	0	413	414	0
Cntnap2	189.6	0	154	0	397	397	0
Acbd4	189.6	0	180	0	384	384	0
Fam177a2	189.4	0	0	0	446	501	0
Fam177a	189.4	0	0	0	446	501	0
Tnrc18	189.0	0	162	0	391	392	0
Hexim1	189.0	0	0	0	473	472	0
Sfpq	188.4	0	0	0	471	471	0
Mapkapk5	188.4	156	0	0	393	393	0
Ppp6r3	187.2	0	0	0	470	466	0
Prkcg	186.8	0	149	0	392	393	0
Ap2m1	186.4	115	0	0	409	408	0
Med23	185.4	0	242	0	342	343	0
Cdiptos	185.4	0	190	0	368	369	0
Cdipt	185.4	0	190	0	368	369	0
Ssna1	184.4	166	0	0	378	378	0
Anapc2	184.4	166	0	0	378	378	0
Sync	184.2	0	0	0	459	462	0
Scara5	184.0	0	0	0	459	461	0
Zfp600	183.6	0	918	0	0	0	0
Haus5	183.6	0	0	0	459	459	0
Fbll1	183.6	0	0	0	461	457	0
Zfp354b	183.0	0	0	0	456	459	0
Mvd	183.0	0	0	0	458	457	0
Lmx1b	182.6	0	165	0	374	374	0
Taf11	181.8	0	0	0	453	456	0
Palb2	181.8	95	123	0	345	346	0
Dctn5	181.8	95	123	0	345	346	0
Anks1	181.8	0	0	0	453	456	0
Cenpu	181.6	0	172	0	368	368	0
Dffb	181.2	147	237	0	261	261	0
Cep104	181.2	147	237	0	261	261	0
AW549877	181.0	0	150	0	378	377	0
Lyrm9	180.8	0	0	0	452	452	0
Trap1	180.4	0	149	0	376	377	0
Rad51	180.0	0	0	0	452	448	0
Trmt44	179.6	0	0	0	450	448	0
Fbxl18	179.2	0	0	0	451	445	0
Dnajc30	179.0	0	0	0	447	448	0
Bud23	179.0	0	0	0	447	448	0
Asic3	177.8	0	0	0	445	444	0
Smg8	177.6	0	0	0	445	443	0
Mterf1b	177.4	88	113	0	310	376	0
Gm5165	177.4	0	251	0	321	315	0
Dpf1	176.6	0	0	0	443	440	0
Sde2	176.2	0	188	0	348	345	0
Shmt1	175.8	0	0	0	438	441	0
Gm1673	175.8	0	0	0	446	433	0
Sphk2	175.4	0	0	0	438	439	0
Rpl18	175.4	0	0	0	438	439	0
Fam83e	175.4	0	0	0	438	439	0
Mok	175.0	0	437	0	219	219	0
Nagpa	174.8	0	0	0	437	437	0
H4c17	174.0	0	157	0	327	386	0
Syt8	173.6	0	0	0	434	434	0
Atp6v0c	173.6	77	163	0	316	312	0
Amdhd2	173.6	77	163	0	316	312	0
Ccp110	173.0	0	127	0	370	368	0
H4c18	172.6	0	241	0	347	275	0
Zar1l	171.8	0	92	0	385	382	0
Rpl23	171.8	0	0	0	430	429	0
Brca2	171.8	0	92	0	385	382	0
Klhl20	171.6	0	164	0	347	347	0
Spry1	171.2	0	242	0	307	307	0
Slc35b1	171.0	0	0	0	428	427	0
Cox19	170.8	0	167	0	343	344	0
Abt1	170.8	0	0	0	427	427	0
Phf23	170.0	0	134	0	357	359	0
Gabarap	170.0	0	134	0	357	359	0
Aopep	170.0	0	0	0	425	425	0
Prmt5	169.8	0	110	0	370	369	0
Atl2	169.8	0	223	0	313	313	0
Tbc1d10b	169.4	0	0	0	424	423	0
Mylpf	169.4	0	0	0	424	423	0
Arhgef1	168.8	0	184	0	330	330	0
Man1b1	168.2	0	98	0	371	372	0
Nufip1	168.0	0	0	0	420	420	0
Ncbp2	168.0	184	0	0	327	329	0
Gpalpp1	168.0	0	0	0	420	420	0
Fancd2	168.0	0	0	0	419	421	0
Emc3	168.0	0	0	0	419	421	0
0610012G03Rik	168.0	184	0	0	327	329	0
Stk19	167.6	76	0	0	382	380	0
Dxo	167.6	76	0	0	382	380	0
Hoxa6	167.0	0	125	0	355	355	0
Hoxa3	167.0	0	125	0	355	355	0
Alyref2	167.0	0	226	0	304	305	0
Nop14	166.8	116	0	0	358	360	0
Insm2	166.8	0	0	0	417	417	0
Grk4	166.8	116	0	0	358	360	0
Kif2c	166.4	0	0	0	414	418	0
Tbc1d15	166.2	0	0	0	415	416	0
Lsm5	166.2	0	0	0	414	417	0
Fyco1	166.2	0	0	0	384	447	0
Brms1	166.2	0	0	0	416	415	0
B4gat1	166.2	0	0	0	416	415	0
Cnot1	165.8	130	0	0	348	351	0
Rps29	165.6	0	144	0	344	340	0
Amt	165.4	85	183	0	279	280	0
Ddx27	165.2	126	146	0	279	275	0
Agfg1	164.6	0	230	0	297	296	0
Tia1	164.4	0	0	0	417	405	0
Kif13b	164.4	0	0	0	411	411	0
Cldn4	164.4	0	201	0	310	311	0
Pinx1	164.0	0	0	0	410	410	0
N4bp1	164.0	0	239	0	291	290	0
Mfsd1	164.0	0	0	0	410	410	0
Slc39a2	163.6	0	0	0	408	410	0
Rnf223	163.6	0	0	0	409	409	0
Mrm3	163.2	0	0	0	408	408	0
Glod4	163.2	0	0	0	408	408	0
Scrn2	163.0	0	0	0	407	408	0
Rnf213	162.8	0	0	0	396	418	0
Hint3	162.6	94	0	0	360	359	0
Poc1b	162.4	0	189	0	311	312	0
Galnt4	162.4	0	189	0	311	312	0
Tyw1	161.8	0	0	0	405	404	0
Sbds	161.8	0	0	0	405	404	0
Tnks1bp1	161.4	0	141	0	333	333	0
Ctsf	161.4	0	281	0	264	262	0
Unk	161.2	106	145	0	277	278	0
Wdr45b	161.0	197	0	0	304	304	0
Zmpste24	160.8	0	0	0	424	380	0
Calm1	160.6	0	183	0	310	310	0
Tpm3	160.4	0	92	0	355	355	0
Prcc	160.4	0	0	0	398	404	0
Grb10	160.4	0	0	0	401	401	0
Tomm6	159.8	113	0	0	343	343	0
Kat8	158.8	0	122	0	336	336	0
Zfp979	158.6	60	733	0	0	0	0
Tmem181a	158.4	0	177	0	256	359	0
Chgb	158.2	0	0	0	396	395	0
H4f16	158.0	0	105	0	343	342	0
H2aj	158.0	0	105	0	343	342	0
Nfat5	157.8	204	197	0	194	194	0
Caap1	157.2	174	0	0	306	306	0
Klhdc10	157.0	0	0	0	393	392	0
Akt2	157.0	0	0	0	393	392	0
Mrpl4	156.6	0	97	0	342	344	0
Mrpl39	156.6	0	193	0	295	295	0
Drg2	156.4	0	0	0	391	391	0
Vpreb1	156.0	0	185	0	298	297	0
Top3b	156.0	0	185	0	298	297	0
Sirt2	156.0	0	0	0	390	390	0
Nfkbib	156.0	0	0	0	390	390	0
Igll1	156.0	0	185	0	298	297	0
Pik3cd	155.6	0	0	0	389	389	0
Mrpl12	155.6	0	0	0	389	389	0
Atg16l1	155.6	176	141	0	230	231	0
Rtf2	155.4	170	0	0	303	304	0
Kxd1	155.2	78	0	0	350	348	0
Fkbp8	155.2	78	0	0	350	348	0
Ranbp2	155.0	0	0	0	387	388	0
Zc3hc1	154.8	0	0	0	387	387	0
Bloc1s4	154.8	0	0	0	387	387	0
Mrpl30	154.6	113	113	0	274	273	0
Mitd1	154.6	113	113	0	274	273	0
Apeh	154.6	0	0	0	386	387	0
Surf6	154.2	0	105	0	333	333	0
Washc2	153.6	0	0	0	384	384	0
Rnf187	153.4	0	0	0	383	384	0
Vps11	153.2	0	136	0	316	314	0
Lpcat2b	153.2	0	0	0	383	383	0
Btbd8	153.2	0	0	0	383	383	0
Tle4	152.6	0	113	0	325	325	0
Sh3glb1	152.6	0	134	0	308	321	0
Polr1b	152.4	0	140	0	310	312	0
Tfap2c	152.2	0	475	0	143	143	0
Prpf18	152.2	0	102	0	327	332	0
Prkrip1	152.2	133	0	0	315	313	0
Nat10	152.2	0	0	0	381	380	0
Mcm9	152.2	0	193	0	284	284	0
Flacc1	151.8	0	178	0	291	290	0
Kremen2	151.6	0	0	0	379	379	0
Med4	151.2	0	0	0	378	378	0
Acad9	151.2	0	0	0	379	377	0
Rpl24	150.8	0	0	0	379	375	0
Ccl17	150.8	0	0	0	376	378	0
Dpp7	150.6	0	0	0	376	377	0
Wdr88	149.0	0	0	0	391	354	0
Aasdh	149.0	192	0	0	277	276	0
Recql4	148.6	0	0	0	371	372	0
Pgk1	148.6	0	0	0	372	371	0
Lrrc14	148.6	0	0	0	371	372	0
Dnajb12	148.6	0	85	0	328	330	0
Ankdd1a	148.6	0	0	0	372	371	0
Zfp609	148.2	0	213	0	264	264	0
Cldn12	148.0	0	0	0	370	370	0
Zfpl1	147.8	103	0	0	318	318	0
Tmem262	147.8	103	0	0	318	318	0
Sec23ip	147.8	0	0	0	369	370	0
Qtrt1	147.8	0	0	0	369	370	0
Mcmbp	147.8	0	0	0	369	370	0
Cdca5	147.8	103	0	0	318	318	0
Tmem147	147.2	0	0	0	368	368	0
Zdhhc25	146.8	0	0	0	367	367	0
Impdh2	146.6	0	112	0	312	309	0
Timm44	146.2	0	0	0	363	368	0
Ccz1	146.2	114	0	0	308	309	0
Ap1b1	146.2	0	129	0	302	300	0
Secisbp2	146.0	0	0	0	366	364	0
Mterf1a	146.0	0	123	0	327	280	0
Hspg2	146.0	0	300	0	215	215	0
Gm34653	146.0	0	98	0	315	317	0
Cpsf1	146.0	129	88	0	256	257	0
Hacd2	145.4	0	0	0	364	363	0
Gpam	145.4	208	0	0	259	260	0
H4c14	145.2	0	0	0	363	363	0
Got2	145.2	0	235	0	246	245	0
Sumo2	145.0	0	0	0	390	335	0
Hsd17b14	145.0	0	251	0	238	236	0
A930007A09Rik	144.8	299	425	0	0	0	0
Tubg1	144.6	109	132	0	241	241	0
Retreg3	144.6	109	132	0	241	241	0
Sall4	144.4	0	0	0	361	361	0
Nuf2	144.2	106	116	0	250	249	0
Gm13286	144.2	0	0	0	341	380	0
Gm13283	144.2	0	0	0	341	380	0
Cops4	144.2	0	131	0	295	295	0
Tns4	144.0	0	0	0	360	360	0
Mrpl55	144.0	0	0	0	357	363	0
Mrpl38	144.0	0	0	0	360	360	0
Gorasp2	144.0	0	190	0	265	265	0
Serac1	143.8	138	0	0	292	289	0
Gtf2h5	143.8	138	0	0	292	289	0
Eps15	143.8	0	179	0	270	270	0
Vps37c	143.6	0	0	0	359	359	0
Tbl1xr1	143.6	0	127	0	295	296	0
Mtmr10	143.6	0	0	0	359	359	0
Id3	143.4	215	316	0	93	93	0
Tex14	143.2	0	144	0	285	287	0
Mcts1	143.0	0	154	0	281	280	0
Wdr4	142.8	0	108	0	303	303	0
Myl6b	142.8	0	116	0	298	300	0
Myl6	142.8	0	116	0	298	300	0
Ints4	142.8	0	0	0	357	357	0
Trim27	142.4	0	0	0	356	356	0
Acpp	142.4	0	0	0	357	355	0
Rbbp8nl	142.2	0	0	0	355	356	0
Lrrfip1	142.0	0	0	0	355	355	0
Phf20	141.8	0	0	0	355	354	0
Ndufs8	141.4	0	0	0	354	353	0
Gjb3	141.2	0	260	0	223	223	0
Mrps18c	141.0	0	195	0	255	255	0
Idh1	141.0	0	163	0	271	271	0
Helq	141.0	0	195	0	255	255	0
Actn4	141.0	0	99	0	303	303	0
Gtpbp10	140.8	182	0	0	261	261	0
Pcdhgb7	140.4	0	0	0	352	350	0
Pcdhga11	140.4	0	0	0	352	350	0
Pop4	140.2	0	0	0	351	350	0
2310033P09Rik	140.2	182	100	0	207	212	0
Trio	140.0	0	0	0	350	350	0
Stoml2	140.0	0	152	0	274	274	0
Smndc1	140.0	0	0	0	350	350	0
Mllt6	140.0	0	179	0	260	261	0
1700008O03Rik	139.8	0	127	0	285	287	0
Ndufs3	139.6	0	130	0	284	284	0
Mrpl11	139.6	0	0	0	348	350	0
Kbtbd4	139.6	0	130	0	284	284	0
Tmem203	139.4	0	0	0	348	349	0
Scp2	139.4	0	0	0	348	349	0
Ndor1	139.4	0	0	0	348	349	0
Serf1	139.2	0	0	0	348	348	0
Bdp1	139.2	0	0	0	348	348	0
Rfc4	139.0	0	0	0	348	347	0
Ube2l6	138.8	0	0	0	347	347	0
9430015G10Rik	138.8	123	0	0	285	286	0
Smpd4	138.6	0	0	0	345	348	0
Rnf125	138.4	99	347	0	124	122	0
Mdn1	138.2	189	0	0	251	251	0
Ptpn11	138.0	0	0	0	345	345	0
Esyt2	138.0	0	110	0	289	291	0
Ndufb6	137.8	0	0	0	344	345	0
Degs2	137.6	0	0	0	344	344	0
Mrpl2	137.4	0	0	0	344	343	0
Klc4	137.4	0	0	0	344	343	0
G2e3	137.4	0	303	0	192	192	0
Cul7	137.4	0	0	0	344	343	0
Cdc6	137.4	0	0	0	344	343	0
Xrn1	137.2	0	154	0	266	266	0
Med28	137.2	0	0	0	343	343	0
Fancg	137.2	0	135	0	276	275	0
H2ax	137.0	122	213	0	176	174	0
Tnk1	136.8	0	0	0	342	342	0
Plxdc1	136.8	0	162	0	261	261	0
Diaph1	136.8	0	166	0	259	259	0
Supv3l1	136.6	0	0	0	341	342	0
Tmub2	136.4	0	0	0	342	340	0
Thumpd1	136.4	0	0	0	343	339	0
Asnsd1	136.4	0	130	0	276	276	0
Asdurf	136.4	0	130	0	276	276	0
Vps72	136.2	0	134	0	274	273	0
Sumf1	136.2	0	0	0	340	341	0
Pip5k1a	136.2	0	134	0	274	273	0
Ilf3	136.2	0	0	0	339	342	0
Wbp2	135.8	0	0	0	340	339	0
Sumf2	135.8	107	146	0	214	212	0
Pigg	135.8	0	0	0	340	339	0
Bnip3	135.4	0	0	0	339	338	0
Abcg2	135.0	0	0	0	336	339	0
Tpr	134.6	0	87	0	293	293	0
Odr4	134.6	0	87	0	293	293	0
Cxcl11	134.4	0	0	0	335	337	0
Dhx16	134.2	0	116	0	277	278	0
Adnp	134.2	0	257	0	207	207	0
Vps28	133.8	0	0	0	333	336	0
Sptbn1	133.8	0	167	0	251	251	0
Psmc4	133.6	83	76	0	256	253	0
Ppcdc	133.6	0	126	0	271	271	0
Hoxc6	133.6	0	0	0	334	334	0
Hoxc5	133.6	0	0	0	334	334	0
Xntrpc	133.4	0	0	0	333	334	0
Xndc1	133.4	0	0	0	333	334	0
Rnf121	133.4	0	0	0	333	334	0
Chordc1	133.2	0	0	0	334	332	0
Slc29a1	133.0	172	363	0	65	65	0
Guf1	133.0	0	0	0	332	333	0
Ppig	132.8	0	0	0	332	332	0
Nolc1	132.8	0	106	0	279	279	0
Tcea1	132.4	0	190	0	236	236	0
Rnf39	132.4	0	0	0	331	331	0
Nfx1	132.4	64	0	0	299	299	0
Mrps31	132.0	0	0	0	332	328	0
Rbm48	131.8	0	0	0	330	329	0
Pex1	131.8	0	0	0	330	329	0
Fastkd1	131.8	0	0	0	329	330	0
Smu1	131.6	0	0	0	329	329	0
Eif2b3	131.6	0	257	0	200	201	0
Adgrf5	131.6	0	0	0	330	328	0
Tm6sf1	131.2	0	0	0	328	328	0
Psmg3	131.2	0	0	0	328	328	0
Magoh	131.2	0	0	0	329	327	0
Ing1	131.2	0	0	0	328	328	0
9130008F23Rik	131.2	0	0	0	329	327	0
Senp8	131.0	0	0	0	328	327	0
Myo9a	131.0	0	0	0	328	327	0
Tmem11	130.6	0	143	0	255	255	0
Tcf4	130.4	0	154	0	249	249	0
3110082I17Rik	130.4	0	0	0	328	324	0
Sp4	130.2	0	0	0	308	343	0
Rbfox2	130.2	0	125	0	263	263	0
Med9	130.2	0	0	0	326	325	0
Kdm1a	130.2	0	114	0	270	267	0
Dnajc12	130.2	0	0	0	319	332	0
Cers2	130.2	0	0	0	325	326	0
Anxa9	130.2	0	0	0	325	326	0
Tmem232	130.0	0	0	0	326	324	0
Txnl4b	129.6	0	0	0	324	324	0
Supt4a	129.6	0	0	0	323	325	0
Dhx38	129.6	0	0	0	324	324	0
Trex1	129.4	0	128	0	259	260	0
Shisa5	129.4	0	128	0	259	260	0
Rpusd2	129.2	0	0	0	323	323	0
Hmgxb4	129.2	0	154	0	246	246	0
Anapc10	129.2	0	0	0	325	321	0
Abce1	129.2	0	0	0	325	321	0
Coq2	129.0	0	132	0	256	257	0
Cltc	129.0	0	147	0	249	249	0
Sap30bp	128.8	0	0	0	322	322	0
Recql5	128.8	0	0	0	322	322	0
Mrnip	128.6	99	135	0	204	205	0
Prss22	128.4	0	158	0	242	242	0
Eprs	128.2	156	0	0	242	243	0
Bnip3l	128.2	0	157	0	242	242	0
Unc50	128.0	115	0	0	263	262	0
Rpl7l1	128.0	0	0	0	320	320	0
Pafah2	128.0	98	0	0	270	272	0
Meis1	128.0	0	102	0	269	269	0
Gpha2	128.0	0	0	0	319	321	0
Coa5	128.0	115	0	0	263	262	0
Bet1	128.0	0	0	0	320	320	0
Atg9b	128.0	0	0	0	322	318	0
Abcb8	128.0	0	0	0	322	318	0
Tmem115	127.8	136	0	0	251	252	0
Snapc5	127.8	0	0	0	320	319	0
Slirp	127.6	0	0	0	319	319	0
Nrp	127.6	0	0	0	319	319	0
Metrnl	127.6	0	0	0	319	319	0
Ints1	127.6	0	0	0	319	319	0
Ankle2	127.6	0	92	0	272	274	0
Alkbh1	127.6	0	0	0	319	319	0
Gabpb1	127.4	0	0	0	317	320	0
Aurkaip1	127.2	0	156	0	241	239	0
Cyp2u1	127.0	0	0	0	318	317	0
Stk25	126.8	0	87	0	272	275	0
Lax1	126.6	0	126	0	254	253	0
Epp13	126.6	0	195	0	219	219	0
Snrpn	126.4	0	0	0	302	330	0
H3c6	126.4	0	0	0	312	320	0
Dnmt3l	126.4	0	0	0	316	316	0
Aire	126.4	0	0	0	316	316	0
Trmt10b	126.2	0	0	0	318	313	0
Relch	126.2	0	0	0	315	316	0
Pign	126.2	0	0	0	315	316	0
Vps50	126.0	160	0	0	235	235	0
Snrpb2	126.0	0	133	0	249	248	0
Hepacam2	126.0	160	0	0	235	235	0
H6pd	126.0	0	0	0	315	315	0
Commd4	126.0	0	0	0	316	314	0
Cct4	126.0	0	0	0	315	315	0
C2cd5	126.0	0	232	0	199	199	0
Bst1	126.0	0	0	0	315	315	0
Polr3e	125.8	0	0	0	309	320	0
Lta4h	125.8	0	0	0	315	314	0
Nde1	125.6	0	0	0	314	314	0
Marf1	125.6	0	0	0	314	314	0
Kctd5	125.2	0	148	0	239	239	0
Elp1	125.2	0	0	0	313	313	0
Abitram	125.2	0	0	0	313	313	0
Ncoa5	125.0	0	0	0	312	313	0
Ncam1	125.0	0	130	0	247	248	0
Clta	124.8	0	0	0	311	313	0
B3gnt7	124.8	0	113	0	255	256	0
Tpx2	124.6	0	0	0	311	312	0
B4galt7	124.6	0	0	0	311	312	0
Kcmf1	124.4	0	115	0	254	253	0
Ccnd3	124.4	0	0	0	311	311	0
Hps5	124.2	0	96	0	262	263	0
Gtf2h1	124.2	0	96	0	262	263	0
Zfp661	124.0	0	0	0	310	310	0
Mrps5	124.0	0	0	0	310	310	0
Mideas	123.8	0	92	0	263	264	0
Lrrc59	123.8	0	150	0	241	228	0
Slc4a2	123.6	0	0	0	309	309	0
Ranbp6	123.6	0	0	0	309	309	0
Cdk5	123.6	0	0	0	309	309	0
Xpnpep3	123.4	0	0	0	309	308	0
St13	123.4	0	0	0	309	308	0
Dnajb6	123.4	0	355	0	131	131	0
Heatr1	123.2	0	75	0	270	271	0
Ubr4	123.0	95	0	0	261	259	0
