Target_genes	Zfp57|Average	SRX10265156|ES_cells	SRX10265157|ES_cells	SRX1421936|ES_cells	SRX1421939|ES_cells	SRX14394947|ES_cells	SRX14394948|ES_cells	SRX14394949|ES_cells	SRX14394950|ES_cells	SRX1556082|ES_cells	SRX1556086|ES_cells	SRX1556090|ES_cells	SRX476210|ES_cells	SRX476211|ES_cells	SRX5140866|ES_cells	SRX5140867|ES_cells	SRX5140868|ES_cells	SRX5140869|ES_cells	SRX5140870|ES_cells	STRING
Thbd	147.722222	0	0	0	0	491	968	234	636	0	0	0	330	0	0	0	0	0	0	0
Ppan	147.0	0	0	0	0	386	1057	188	628	0	0	0	387	0	0	0	0	0	0	0
Angptl6	146.388889	0	0	0	0	386	1057	188	628	0	0	0	255	121	0	0	0	0	0	0
Nt5e	146.0	328	0	0	0	0	576	0	437	0	0	0	258	180	307	322	220	0	0	0
Vinac1	145.5	0	0	0	0	292	869	317	362	0	0	0	779	0	0	0	0	0	0	0
Ttl	145.5	0	0	0	0	292	869	317	362	0	0	0	779	0	0	0	0	0	0	0
Maea	143.611111	0	0	0	0	406	1059	316	670	0	0	0	134	0	0	0	0	0	0	0
Trim42	143.0	0	0	0	0	107	289	0	147	0	0	0	1283	454	142	152	0	0	0	0
Olfr514	142.833333	238	0	0	91	476	1014	238	409	0	0	0	0	105	0	0	0	0	0	0
Pcdha7	142.222222	131	0	0	0	90	805	98	498	0	0	0	769	169	0	0	0	0	0	0
Gm38667	142.222222	131	0	0	0	90	805	98	498	0	0	0	769	169	0	0	0	0	0	0
Cnot2	141.444444	0	258	0	0	422	435	281	287	0	0	0	273	590	0	0	0	0	0	0
Lyrm2	140.166667	196	454	0	164	0	522	0	276	0	0	0	572	231	108	0	0	0	0	0
Pcdha6	139.666667	131	0	0	0	90	805	98	498	0	0	0	769	123	0	0	0	0	0	0
Gm38666	139.666667	131	0	0	0	90	805	98	498	0	0	0	769	123	0	0	0	0	0	0
Kash5	139.111111	0	0	0	0	274	1199	174	492	0	0	0	365	0	0	0	0	0	0	0
Dkkl1	139.111111	0	0	0	0	274	1199	174	492	0	0	0	365	0	0	0	0	0	0	0
Gm11563	138.5	0	0	0	0	139	878	0	488	0	0	0	823	165	0	0	0	0	0	0
Olfr1055	136.833333	0	0	0	0	261	932	196	498	0	0	0	416	160	0	0	0	0	0	0
Fam149b	136.388889	0	0	0	0	328	619	300	376	0	0	0	613	219	0	0	0	0	0	0
Ecd	136.388889	0	0	0	0	328	619	300	376	0	0	0	613	219	0	0	0	0	0	0
Gimap5	136.055556	0	0	0	0	129	1091	0	607	0	0	0	501	121	0	0	0	0	0	0
Capn9	135.333333	0	0	0	0	162	862	229	516	0	0	0	252	415	0	0	0	0	0	0
Vmn2r62	133.5	208	141	0	0	224	859	168	517	0	0	0	0	0	95	0	191	0	0	0
Gm7579	132.833333	210	0	0	0	226	485	217	383	0	0	0	435	122	99	110	104	0	0	0
Afap1	132.222222	0	0	0	0	0	0	0	0	0	0	0	1391	989	0	0	0	0	0	0
Fitm2	130.944444	0	0	0	0	0	1300	0	811	0	0	0	246	0	0	0	0	0	0	0
Olfr1155	130.611111	94	0	0	0	319	921	190	578	0	0	0	249	0	0	0	0	0	0	0
Sun1	129.055556	0	0	0	0	721	442	450	241	0	0	0	302	167	0	0	0	0	0	0
Dlg2	127.833333	0	0	0	0	281	688	227	392	0	0	0	401	191	121	0	0	0	0	0
Speer2	127.555556	0	0	0	0	194	718	187	421	0	0	0	411	232	0	0	133	0	0	0
Vmn2r126	127.333333	123	177	0	0	226	797	126	478	0	0	0	0	0	251	0	114	0	0	0
Atxn1l	127.111111	0	0	0	0	261	700	204	491	0	0	0	632	0	0	0	0	0	0	0
Caprin2	125.722222	0	0	0	0	0	1341	0	613	0	0	0	309	0	0	0	0	0	0	0
Dynll2	125.111111	0	0	0	0	562	477	570	376	0	0	0	267	0	0	0	0	0	0	0
Gm13212	124.888889	0	0	0	0	223	841	214	547	0	0	0	216	207	0	0	0	0	0	0
Wwox	124.388889	0	0	379	285	0	0	0	0	281	0	259	569	466	0	0	0	0	0	0
Vmn1r2	124.277778	0	0	0	0	189	350	0	237	0	0	0	705	756	0	0	0	0	0	0
Zfp229	124.111111	0	0	0	0	214	937	157	564	0	0	0	236	126	0	0	0	0	0	0
Hsbp1	123.0	0	0	0	0	276	1003	193	510	0	0	0	232	0	0	0	0	0	0	0
Cnp	122.777778	0	0	0	0	191	982	131	713	0	0	0	193	0	0	0	0	0	0	0
Zfp984	121.611111	0	0	0	0	246	1053	224	527	0	0	0	0	139	0	0	0	0	0	0
Ext2	121.055556	0	0	0	0	241	1038	233	576	0	0	0	91	0	0	0	0	0	0	0
Il3ra	120.111111	0	0	0	0	0	246	0	114	0	0	0	1416	386	0	0	0	0	0	0
Zfp988	119.333333	176	0	0	0	229	810	0	428	0	0	0	0	140	158	0	207	0	0	0
Olfr11	119.166667	177	0	0	0	187	599	233	348	0	0	0	464	137	0	0	0	0	0	0
Zscan4b	119.111111	0	0	0	0	472	931	263	478	0	0	0	0	0	0	0	0	0	0	0
Ldb1	117.166667	0	0	0	0	157	1113	0	549	0	0	0	290	0	0	0	0	0	0	0
Gm11127	116.722222	0	0	0	0	312	670	212	465	0	0	0	349	93	0	0	0	0	0	0
Ppp1r14bl	116.666667	0	0	0	0	159	384	202	0	0	0	0	1270	85	0	0	0	0	0	0
Abracl	116.666667	147	0	0	0	226	742	0	611	0	0	0	239	0	135	0	0	0	0	0
Gramd1c	116.555556	0	0	0	0	351	649	131	350	0	0	0	483	134	0	0	0	0	0	0
Uba52	115.555556	0	0	0	143	0	369	0	312	0	0	0	843	413	0	0	0	0	0	0
Rex1bd	115.555556	0	0	0	143	0	369	0	312	0	0	0	843	413	0	0	0	0	0	0
Vmn2r4	114.0	0	0	0	271	0	0	0	0	0	0	0	919	862	0	0	0	0	0	0
Wfdc12	113.888889	0	0	0	0	0	164	0	0	0	0	0	1325	561	0	0	0	0	0	0
Tmc2	113.055556	0	0	0	0	216	710	187	350	0	0	0	306	266	0	0	0	0	0	0
Pafah2	112.944444	0	0	0	0	0	0	0	0	0	0	0	1508	525	0	0	0	0	0	0
Eps8l1	112.0	0	0	0	0	257	646	173	361	0	0	0	481	98	0	0	0	0	0	0
Pcdhgb8	110.611111	0	155	0	0	0	780	0	471	0	0	0	497	88	0	0	0	0	0	0
Pcdhga12	110.611111	0	155	0	0	0	780	0	471	0	0	0	497	88	0	0	0	0	0	0
Rab39b	110.111111	0	0	0	0	210	621	124	432	0	0	0	227	368	0	0	0	0	0	0
Parva	108.555556	217	0	0	96	108	434	0	183	0	0	0	183	0	213	233	287	0	0	0
Rpl27a	108.222222	0	0	0	155	205	512	0	319	0	0	0	532	225	0	0	0	0	0	0
Tsc22d1	107.777778	0	0	0	0	162	645	100	282	0	0	0	493	258	0	0	0	0	0	0
Serpinb1c	107.222222	0	0	0	0	200	500	221	439	0	0	0	424	146	0	0	0	0	0	0
Trak1	106.888889	0	0	0	0	277	449	135	176	0	0	0	286	601	0	0	0	0	0	0
Csf2ra	106.888889	0	0	522	443	0	0	0	0	266	0	198	233	262	0	0	0	0	0	0
Krtap4-16	104.888889	0	0	0	0	0	485	0	171	0	0	0	1006	226	0	0	0	0	0	0
Defb7	104.833333	0	0	0	0	192	584	161	403	0	0	0	397	150	0	0	0	0	0	0
Wfdc5	104.777778	0	0	0	0	0	0	0	0	0	0	0	1325	561	0	0	0	0	0	0
Dmkn	104.444444	0	0	0	0	0	0	0	0	0	0	0	1515	365	0	0	0	0	0	0
Rgs20	104.222222	0	0	0	0	233	383	321	223	0	0	0	501	215	0	0	0	0	0	0
St6galnac1	103.666667	0	0	0	0	0	128	105	0	0	0	0	979	654	0	0	0	0	0	0
Kif24	103.611111	186	0	0	0	223	629	144	411	0	0	0	0	0	122	150	0	0	0	0
Ubc	103.5	0	0	0	0	221	721	216	455	0	0	0	175	75	0	0	0	0	0	0
Cplane2	102.888889	0	0	93	166	147	528	199	358	0	0	0	361	0	0	0	0	0	0	0
Taok3	102.055556	0	0	0	0	0	0	0	0	0	0	0	1334	503	0	0	0	0	0	0
Ppp1r2	101.888889	0	0	0	0	308	521	89	262	0	0	0	654	0	0	0	0	0	0	0
Ly6g2	101.833333	0	0	0	0	316	663	118	403	0	0	0	218	115	0	0	0	0	0	0
Fhod3	101.555556	0	0	0	0	138	883	129	455	0	0	0	223	0	0	0	0	0	0	0
Pcdhga5	101.0	0	0	0	0	0	688	0	270	0	0	0	697	163	0	0	0	0	0	0
Tbpl1	100.5	230	440	0	143	0	258	0	206	0	0	0	441	91	0	0	0	0	0	0
Topbp1	99.055556	0	0	0	0	0	0	0	0	0	0	0	1069	714	0	0	0	0	0	0
Olfr149	99.055556	0	0	0	0	237	898	246	402	0	0	0	0	0	0	0	0	0	0	0
Pcdhgb2	98.944444	0	0	0	0	0	688	0	270	0	0	0	697	126	0	0	0	0	0	0
Dpp4	98.944444	0	0	0	0	186	950	107	416	0	0	0	122	0	0	0	0	0	0	0
Rab6b	97.388889	0	0	0	0	219	865	120	346	0	0	0	203	0	0	0	0	0	0	0
A930007A09Rik	97.0	0	0	0	0	258	799	105	341	0	0	0	243	0	0	0	0	0	0	0
Gm11569	96.888889	0	0	0	0	197	277	178	158	0	0	0	786	148	0	0	0	0	0	0
Gm11554	96.888889	0	0	0	0	197	277	178	158	0	0	0	786	148	0	0	0	0	0	0
Ggt1	96.888889	0	0	0	0	169	709	134	501	0	0	0	231	0	0	0	0	0	0	0
Gm15319	95.944444	0	0	0	0	185	389	319	281	0	0	0	180	373	0	0	0	0	0	0
Nat8f2	95.611111	0	0	0	0	195	745	214	567	0	0	0	0	0	0	0	0	0	0	0
Pgap6	95.555556	0	0	0	0	0	941	0	622	0	0	0	157	0	0	0	0	0	0	0
Gm11213	95.277778	0	0	0	0	348	516	380	471	0	0	0	0	0	0	0	0	0	0	0
Zfp768	95.0	0	524	0	0	0	541	0	324	0	0	0	240	81	0	0	0	0	0	0
Spz1	94.5	0	0	0	0	176	802	325	398	0	0	0	0	0	0	0	0	0	0	0
Mapk12	94.0	0	0	0	0	0	866	0	477	0	0	0	349	0	0	0	0	0	0	0
Nudt16l1	93.0	0	0	0	0	0	0	0	0	0	0	0	1217	457	0	0	0	0	0	0
Plcd3	92.777778	202	346	0	179	0	199	0	92	0	0	0	497	155	0	0	0	0	0	0
Odf2l	92.388889	138	0	0	0	201	611	212	408	0	0	0	93	0	0	0	0	0	0	0
Tmcc1	92.166667	0	0	0	0	0	449	0	273	0	0	0	685	252	0	0	0	0	0	0
Pccb	91.666667	0	0	0	0	236	710	0	412	0	0	0	292	0	0	0	0	0	0	0
Vmn2r102	89.888889	0	0	160	326	0	0	0	0	207	302	452	171	0	0	0	0	0	0	0
Cldn10	89.5	0	0	0	0	0	0	0	0	0	0	0	873	738	0	0	0	0	0	0
Krtap4-1	89.333333	0	0	0	0	109	388	157	159	0	0	0	647	148	0	0	0	0	0	0
Tsnax	89.111111	0	0	0	0	0	861	0	431	0	0	0	312	0	0	0	0	0	0	0
Qsox2	89.111111	0	0	0	0	302	389	288	208	0	0	0	417	0	0	0	0	0	0	0
Nol7	89.0	0	0	0	0	256	488	102	465	0	0	0	291	0	0	0	0	0	0	0
Zc2hc1a	88.833333	0	0	0	0	0	0	0	0	0	0	0	1132	467	0	0	0	0	0	0
Hamp2	88.333333	0	0	0	0	258	617	153	359	0	0	0	203	0	0	0	0	0	0	0
Dpysl5	88.222222	0	0	0	0	0	0	0	0	0	0	0	1022	566	0	0	0	0	0	0
Slc22a16	88.166667	111	0	0	0	175	442	144	321	0	0	0	226	0	168	0	0	0	0	0
Ifitm3	88.111111	0	0	0	0	439	441	304	231	0	0	0	171	0	0	0	0	0	0	0
Krtap9-3	87.055556	0	0	0	0	0	0	0	0	0	0	0	1360	207	0	0	0	0	0	0
Arhgef18	86.277778	0	0	0	0	275	624	0	438	0	0	0	216	0	0	0	0	0	0	0
Krtap4-7	85.388889	0	0	0	0	0	330	0	0	0	0	0	1021	186	0	0	0	0	0	0
1700024G13Rik	85.277778	0	0	0	0	191	521	185	273	0	0	0	250	115	0	0	0	0	0	0
Rhbdl2	85.0	0	0	0	0	297	549	165	340	0	0	0	179	0	0	0	0	0	0	0
Gm11596	84.388889	0	0	0	0	170	184	0	204	0	0	0	729	232	0	0	0	0	0	0
H2al1k	83.277778	0	0	0	0	247	538	120	462	0	0	0	132	0	0	0	0	0	0	0
Shisa2	83.222222	0	0	0	0	105	363	0	256	0	0	0	575	199	0	0	0	0	0	0
Catsper3	82.833333	0	0	0	0	166	434	154	213	0	0	0	396	128	0	0	0	0	0	0
Spag16	82.777778	0	0	0	0	203	517	147	329	0	0	0	294	0	0	0	0	0	0	0
Gm21119	82.277778	0	0	0	0	186	228	161	194	0	0	0	276	436	0	0	0	0	0	0
Ccne2	81.444444	0	0	0	0	0	0	0	0	0	0	0	1208	258	0	0	0	0	0	0
Pakap	81.388889	0	0	0	0	198	258	0	0	0	0	0	502	507	0	0	0	0	0	0
Cfap206	81.222222	0	0	0	0	175	630	0	284	0	0	0	225	148	0	0	0	0	0	0
Cdkl4	80.444444	0	0	0	0	124	558	0	358	0	0	0	298	110	0	0	0	0	0	0
Mbd5	80.333333	0	0	0	0	0	0	0	0	0	0	0	1033	413	0	0	0	0	0	0
Gm51573	80.111111	0	0	0	0	133	258	171	299	0	0	0	473	108	0	0	0	0	0	0
Gipc1	79.333333	0	0	0	0	0	398	0	102	0	0	0	722	206	0	0	0	0	0	0
