Target_genes	Fos|Average	SRX10247302|ASZ001	SRX10247303|ASZ001	SRX671652|Cortical_neuron	SRX671653|Cortical_neuron	SRX671656|Cortical_neuron	SRX671657|Cortical_neuron	SRX671660|Cortical_neuron	SRX671661|Cortical_neuron	SRX671665|Cortical_neuron	SRX671666|Cortical_neuron	SRX671670|Cortical_neuron	SRX671673|Cortical_neuron	SRX671677|Cortical_neuron	SRX671680|Cortical_neuron	SRX2901285|Macrophages	SRX2901286|Macrophages	SRX2901287|Macrophages	SRX2901288|Macrophages	SRX2901289|Macrophages	SRX310209|Mast_Cells	SRX13792898|MEF	SRX13792899|MEF	SRX13792924|MEF	SRX13792925|MEF	SRX13792950|MEF	SRX13792951|MEF	SRX13792980|MEF	SRX13792981|MEF	SRX13792982|MEF	SRX1839213|MEF	SRX1839214|MEF	SRX1839215|MEF	SRX1839216|MEF	SRX1839217|MEF	SRX1839218|MEF	SRX1839269|MEF	SRX1839270|MEF	SRX2254725|Mesenchymal_stem_cells	SRX18326690|Microglia	SRX18326692|Microglia	SRX18326694|Microglia	SRX18326696|Microglia	SRX3730270|Trophoblast_stem_cells	SRX3730288|Trophoblast_stem_cells	STRING
Prss56	492.022727	0	0	0	0	153	0	0	0	0	0	130	0	0	0	1205	1011	1433	1392	1199	430	1223	1175	785	1101	1372	1226	0	0	2204	130	0	935	928	0	0	306	1315	347	178	306	255	0	183	727	0
Srxn1	481.727273	0	0	0	0	271	404	0	0	0	286	252	0	0	0	587	742	1112	1045	863	1014	1131	739	768	967	1206	1213	0	0	1912	0	0	695	591	0	0	238	996	590	605	554	689	456	338	932	0
Cic	473.863636	0	0	807	0	1054	341	889	0	923	230	1504	2040	1504	1129	217	352	459	431	409	325	511	376	344	506	484	1130	0	0	894	765	0	480	396	0	0	132	660	323	304	365	249	231	0	86	0
Lmna	469.681818	0	0	0	0	336	420	0	0	0	229	293	0	119	0	997	1103	1340	1047	910	984	778	742	421	811	876	821	0	0	1384	136	0	873	676	0	0	196	947	424	593	849	745	606	502	508	0
Kpna1	467.25	1295	1250	947	583	1162	611	632	566	452	520	626	554	441	519	308	254	279	218	171	387	0	0	0	0	0	0	0	0	154	529	591	279	382	991	989	820	706	903	377	485	429	485	500	164	0
Wasf2	464.590909	0	0	1057	179	1652	278	1002	0	1039	0	1586	2388	526	1855	498	316	446	355	300	1059	284	252	112	246	402	294	0	0	550	1194	0	381	294	0	0	0	328	218	194	344	283	161	369	0	0
Sp1	462.795455	0	0	1282	151	1538	0	1484	0	1463	0	2124	2438	2245	1660	0	0	0	0	0	0	322	208	438	487	302	1008	0	0	141	1053	0	175	127	0	0	0	121	0	377	338	378	247	0	256	0
Hmgcs1	452.477273	0	0	1870	496	1767	175	1790	0	1565	0	2202	2680	1844	1718	0	0	0	0	0	0	156	0	0	346	154	435	0	0	0	1378	115	278	127	0	0	0	0	0	177	186	279	171	0	0	0
Rfx1	450.727273	0	0	1086	154	1275	140	1163	0	1156	0	1943	2355	1407	1535	465	366	608	440	404	96	301	389	418	470	323	1104	0	0	89	1080	0	175	0	0	0	0	0	0	194	147	171	190	0	188	0
Abhd2	448.659091	0	0	1022	146	1469	116	1525	0	1124	0	1872	2626	1971	1795	225	195	364	284	345	0	168	228	279	245	216	737	0	0	197	691	0	155	0	0	0	0	339	0	0	205	138	0	460	604	0
Osbp	446.568182	0	0	1261	170	1493	187	1343	0	1097	0	1981	2378	1825	1581	0	0	199	178	216	0	355	248	440	492	297	1006	0	0	406	905	0	229	145	0	0	0	256	0	123	199	201	139	0	299	0
Stk40	439.0	0	0	0	0	493	833	0	0	168	352	496	135	271	0	950	1154	1101	708	567	1558	557	546	329	530	675	552	0	0	1042	0	0	554	382	0	0	167	627	332	571	1093	789	545	626	613	0
Ube2c	429.227273	0	0	1177	163	1509	172	1558	0	1426	0	2362	2820	1738	1859	0	0	0	0	0	0	355	192	313	501	237	1045	0	0	0	1065	0	144	0	0	0	0	0	0	144	106	0	0	0	0	0
Spag9	425.159091	0	0	0	0	291	312	0	0	0	212	263	119	190	0	765	890	984	903	848	747	640	573	266	803	807	987	0	0	1275	0	0	795	534	0	0	93	768	141	433	611	679	384	1128	1266	0
Camta1	423.409091	0	124	592	0	696	77	882	0	770	0	1323	1953	1060	841	804	501	806	492	471	1339	191	0	221	348	481	358	0	0	545	474	0	213	179	0	0	0	415	169	234	430	427	247	594	373	0
Tom1	423.363636	0	0	1241	180	1718	165	1425	0	1491	0	2049	2262	1737	1683	0	0	0	0	0	200	199	208	313	406	196	760	0	0	264	1245	0	413	94	0	0	0	0	0	0	129	126	124	0	0	0
Kbtbd7	423.340909	0	139	0	0	113	0	0	0	0	0	0	0	0	0	1308	1195	1458	1129	1065	1897	348	375	194	465	702	575	0	0	1111	0	0	385	415	0	0	0	739	373	619	948	912	555	342	1265	0
Cnot3	418.295455	0	0	1250	155	1625	206	1341	0	908	0	2170	2408	1733	1837	0	0	0	0	0	0	0	200	430	586	303	833	0	0	0	1187	0	298	0	0	0	0	0	0	158	283	335	159	0	0	0
Srm	417.931818	0	0	1596	223	1869	0	1540	0	774	0	1850	2601	0	1820	0	0	0	0	0	0	304	0	280	489	693	706	0	0	315	1894	103	329	134	0	0	0	115	0	108	149	107	99	0	291	0
Hook2	416.909091	0	0	0	0	286	345	0	0	0	249	312	0	0	0	170	320	779	828	669	667	970	1041	474	1133	1087	1186	0	0	1760	0	0	1008	573	0	0	267	1298	439	240	288	266	200	458	1031	0
H3f3b	414.295455	0	0	374	0	472	312	409	0	172	119	452	809	513	424	493	460	523	624	352	827	518	572	322	676	893	909	0	0	1621	286	0	467	351	0	0	131	706	187	465	625	580	427	822	336	0
Itga5	412.272727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	907	1387	1504	1273	1209	359	341	455	389	646	686	688	0	0	935	0	0	724	399	0	0	0	439	0	928	1432	1257	983	616	583	0
Mtmr11	410.840909	0	0	0	0	0	0	0	0	0	0	212	0	0	0	1432	1354	1651	1306	1021	0	395	407	232	636	634	474	0	0	1106	0	0	493	677	0	0	0	576	241	833	1195	1043	882	349	928	0
Cttnbp2nl	410.090909	0	0	598	0	851	93	525	0	321	0	795	1286	592	764	513	369	998	894	773	0	476	400	405	703	850	682	0	0	1109	521	0	675	517	0	0	133	569	176	0	247	144	116	291	658	0
Asmt	406.386364	186	283	634	756	582	655	417	383	497	484	541	373	533	465	475	422	481	609	395	460	0	0	0	0	0	0	0	0	0	500	660	690	510	363	252	881	1610	656	476	436	433	680	0	103	0
Cetn4	404.25	0	0	0	0	145	0	0	0	0	157	0	0	301	0	619	956	1463	1305	997	718	478	423	246	382	527	561	0	0	935	0	0	568	496	0	0	81	714	277	1108	1649	1460	931	127	163	0
Bbs12	404.25	0	0	0	0	145	0	0	0	0	157	0	0	301	0	619	956	1463	1305	997	718	478	423	246	382	527	561	0	0	935	0	0	568	496	0	0	81	714	277	1108	1649	1460	931	127	163	0
Glrx5	400.840909	0	0	1038	184	1461	0	1154	0	1039	0	1823	2609	1775	1504	110	140	172	165	140	0	197	0	283	402	362	623	0	0	100	996	0	238	0	0	0	0	0	0	183	307	386	246	0	0	0
Tmem125	396.159091	619	796	555	526	593	469	454	198	470	425	630	598	393	404	367	468	394	307	351	316	0	0	0	0	0	0	0	0	322	460	319	523	301	426	335	0	343	947	781	900	636	856	354	595	0
Vps26b	396.090909	0	0	1581	293	1883	171	1292	0	1377	0	1900	2408	1169	1681	0	0	0	0	0	0	0	0	188	284	346	260	0	0	0	1514	86	259	167	0	0	0	150	0	100	146	173	0	0	0	0
Ncapd3	396.090909	0	0	1581	293	1883	171	1292	0	1377	0	1900	2408	1169	1681	0	0	0	0	0	0	0	0	188	284	346	260	0	0	0	1514	86	259	167	0	0	0	150	0	100	146	173	0	0	0	0
Fdft1	395.159091	0	0	1524	305	1589	169	1936	0	1264	0	2198	2710	1660	1634	0	0	0	0	0	0	0	0	0	161	179	134	0	0	114	990	0	0	0	0	0	0	90	0	128	253	199	150	0	0	0
Rbm25	393.931818	0	0	0	0	358	607	0	0	0	229	426	132	249	0	1134	1084	1186	983	949	1010	386	317	111	360	553	546	0	0	788	0	0	590	392	0	0	78	575	151	586	982	720	577	730	544	0
Rrbp1	389.659091	0	0	1101	0	1628	0	1194	0	1036	0	1888	2502	0	1663	0	0	133	112	0	0	226	0	368	472	508	870	0	0	0	1146	0	221	0	0	0	0	76	0	318	653	426	334	0	270	0
Rara	389.522727	0	0	0	0	148	240	0	0	0	141	232	0	0	0	1008	972	1640	1271	1140	683	447	516	497	840	810	1012	0	0	1329	0	0	408	566	0	0	117	904	400	346	575	554	343	0	0	0
Gatad2a	387.363636	0	175	1162	0	1324	113	1351	0	889	0	1586	1994	222	1353	334	410	763	586	533	0	0	0	140	194	288	316	0	0	221	1092	0	205	0	0	0	0	205	110	266	470	336	266	0	140	0
Atp5g1	385.613636	0	0	813	181	1175	143	1146	0	937	0	1588	1829	1381	1121	156	0	288	242	136	259	162	218	202	385	364	493	0	0	482	490	0	429	167	0	0	0	173	151	252	486	344	270	180	324	0
S100a3	385.522727	0	0	0	0	0	135	0	0	0	0	176	0	0	0	1002	739	1084	745	601	1585	649	693	413	792	908	813	0	0	1006	151	0	598	465	0	0	139	728	427	0	211	0	0	1866	1037	0
Ankrd54	383.795455	0	0	1091	169	1268	0	1287	0	1115	0	1957	2409	1914	1567	0	0	0	0	0	242	226	162	333	485	298	930	0	0	0	898	0	197	0	0	0	0	0	0	0	120	219	0	0	0	0
Anxa1	383.136364	0	0	0	0	113	208	0	0	0	0	208	0	213	0	836	990	1186	948	555	545	740	699	566	793	927	806	0	0	1462	129	0	767	770	0	0	247	807	705	0	0	0	0	574	1064	0
Ninj2	382.272727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	686	801	1209	945	885	163	467	424	494	787	867	838	0	0	982	0	0	580	733	0	0	164	843	388	235	513	312	241	1816	1447	0
Wdfy2	381.113636	0	0	0	0	414	616	0	0	0	298	334	0	463	0	967	1060	916	667	762	1795	450	381	238	500	513	588	0	0	1104	0	0	676	503	0	0	153	434	280	252	425	367	230	720	663	0
S100a2	380.727273	0	0	0	0	0	135	0	0	0	0	176	0	0	0	1002	739	1084	745	601	1585	649	693	413	792	908	813	0	0	1006	151	0	598	465	0	0	139	728	427	0	0	0	0	1866	1037	0
Flad1	380.568182	0	0	879	208	927	123	1134	0	1043	0	1665	1985	1663	1211	0	0	179	115	145	0	195	291	486	464	332	891	0	0	192	594	0	256	0	0	0	0	193	0	310	420	406	327	111	0	0
Rnf5	379.454545	0	0	813	153	1142	0	1651	0	1316	0	1787	2558	2089	1415	0	0	0	0	0	0	0	344	221	370	167	758	0	0	0	932	0	217	0	0	0	0	0	0	126	272	234	131	0	0	0
Agpat1	379.454545	0	0	813	153	1142	0	1651	0	1316	0	1787	2558	2089	1415	0	0	0	0	0	0	0	344	221	370	167	758	0	0	0	932	0	217	0	0	0	0	0	0	126	272	234	131	0	0	0
Card19	376.181818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1086	881	1268	1130	927	1549	439	460	446	781	682	743	0	0	1301	0	0	550	575	0	0	146	937	565	209	405	404	212	196	660	0
Sertad1	375.068182	0	0	417	0	839	172	479	0	456	161	674	1009	763	509	404	563	634	537	497	341	607	501	317	707	759	661	0	0	1111	394	0	524	325	0	0	0	525	0	236	263	285	163	445	225	0
Dolpp1	373.772727	0	0	1285	153	1492	91	1410	0	1232	0	2132	2403	1188	1475	0	102	209	118	0	0	104	185	0	254	189	455	0	0	0	1158	0	265	0	0	0	0	0	0	112	156	195	83	0	0	0
Htatip2	372.068182	0	0	0	0	294	574	0	0	178	192	433	0	180	0	452	412	940	818	651	499	894	833	631	939	995	930	0	0	1455	164	0	681	629	0	0	137	734	329	0	0	0	0	452	945	0
Plec	371.590909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	564	708	995	623	589	1595	621	734	374	951	1016	880	0	0	1437	122	0	870	755	0	0	155	1002	346	0	0	0	0	1264	749	0
Cfap126	371.5	0	0	0	1971	338	1293	0	0	0	291	0	177	0	0	741	599	1076	935	730	556	231	352	263	443	720	538	0	0	998	0	0	446	448	0	0	109	576	179	239	587	508	172	522	308	0
Cnot1	368.363636	0	0	1344	220	1443	0	1483	0	1083	0	2000	2398	622	1331	0	0	0	0	0	0	203	265	211	350	304	758	0	0	0	1028	0	230	0	0	0	0	0	0	228	277	251	179	0	0	0
Stip1	366.454545	0	0	982	215	1372	0	1324	0	1202	0	1978	2302	1632	1517	0	0	137	274	162	0	159	0	138	253	99	492	0	0	293	775	0	108	0	0	0	0	120	0	91	114	209	176	0	0	0
Nme1	365.863636	307	0	0	0	233	391	0	0	0	137	206	0	131	0	883	1198	1180	854	916	1166	110	120	85	336	395	262	0	0	768	0	0	341	279	0	0	0	358	287	843	1472	1195	984	430	231	0
Arntl	365.136364	0	0	1059	194	1156	150	1064	0	918	0	1924	2437	2242	1267	0	0	0	0	0	0	0	0	286	435	202	651	0	0	0	941	84	301	0	0	0	0	0	0	147	227	222	159	0	0	0
Maea	363.704545	0	0	1086	192	1707	222	1151	0	1055	0	1922	2569	1013	1578	0	0	0	0	0	0	159	0	0	248	213	325	0	0	0	1302	0	261	0	0	0	0	0	0	144	289	236	165	0	166	0
Ttbk2	360.636364	0	0	1321	241	1818	172	1136	0	1121	0	1850	2371	366	1374	0	0	0	0	0	0	194	0	332	308	427	644	0	0	92	1275	135	266	104	0	0	0	100	0	0	109	112	0	0	0	0
Tmcc3	359.681818	0	0	0	0	220	321	0	0	0	194	227	0	193	0	249	341	820	1357	920	0	524	495	385	933	652	826	0	0	1195	0	0	665	578	0	0	0	645	0	712	1245	810	639	261	419	0
Nt5dc3	359.318182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	856	829	962	793	819	2112	445	312	205	575	593	670	0	0	1054	0	0	400	522	0	0	157	431	343	376	510	701	296	1166	683	0
Prkaca	356.477273	0	0	1008	142	1274	139	1252	0	916	0	1972	2277	0	1494	0	0	0	0	0	0	402	0	553	647	477	902	0	0	0	1419	0	206	0	0	0	0	0	0	148	156	193	108	0	0	0
Rbpj	355.636364	123	105	0	0	617	729	0	0	0	412	562	0	248	0	240	582	742	546	589	0	667	486	441	696	846	1064	0	0	1162	0	0	588	457	0	0	170	574	372	378	668	466	297	308	513	0
H3c4	355.181818	0	0	1130	0	1593	0	1331	0	1452	0	1822	2164	1876	1337	0	0	0	0	0	0	0	0	0	294	219	162	0	0	0	1154	0	209	0	0	0	0	0	0	198	247	237	203	0	0	0
H2bc8	355.181818	0	0	1130	0	1593	0	1331	0	1452	0	1822	2164	1876	1337	0	0	0	0	0	0	0	0	0	294	219	162	0	0	0	1154	0	209	0	0	0	0	0	0	198	247	237	203	0	0	0
H2bc7	355.181818	0	0	1130	0	1593	0	1331	0	1452	0	1822	2164	1876	1337	0	0	0	0	0	0	0	0	0	294	219	162	0	0	0	1154	0	209	0	0	0	0	0	0	198	247	237	203	0	0	0
H2ac8	355.181818	0	0	1130	0	1593	0	1331	0	1452	0	1822	2164	1876	1337	0	0	0	0	0	0	0	0	0	294	219	162	0	0	0	1154	0	209	0	0	0	0	0	0	198	247	237	203	0	0	0
H2ac7	355.181818	0	0	1130	0	1593	0	1331	0	1452	0	1822	2164	1876	1337	0	0	0	0	0	0	0	0	0	294	219	162	0	0	0	1154	0	209	0	0	0	0	0	0	198	247	237	203	0	0	0
Mideas	354.75	0	0	0	0	537	690	0	0	241	347	495	0	0	0	737	707	697	506	481	611	519	532	368	521	703	539	0	0	902	0	0	453	263	0	0	0	809	270	738	976	782	589	177	419	0
Per1	353.886364	0	0	601	0	374	189	721	0	583	0	734	1247	777	571	461	413	896	480	617	84	268	155	214	381	329	269	0	0	362	369	0	223	231	0	0	0	294	366	398	533	494	371	447	1119	0
Lgals3	353.840909	0	0	0	0	0	176	0	0	0	158	0	0	0	0	767	881	1230	1094	495	914	550	535	411	803	750	917	0	0	1336	0	0	634	854	0	0	128	691	562	205	333	319	0	393	433	0
Iffo1	353.181818	0	0	1331	155	1500	0	1352	0	1135	0	1748	2067	1630	1461	0	0	122	0	0	0	0	0	0	171	162	140	0	0	0	1263	74	0	0	0	0	0	0	0	197	460	309	263	0	0	0
Cavin1	352.909091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	367	402	941	847	783	0	794	806	614	884	899	1120	0	0	1317	0	0	911	673	0	0	219	1027	418	0	0	0	0	693	1813	0
Zswim3	352.5	0	0	811	0	1448	0	1052	0	1084	0	1859	2202	1659	1303	151	147	227	148	225	0	124	0	224	0	199	463	0	0	96	957	0	195	125	0	0	0	117	0	169	270	255	0	0	0	0
Acot8	352.5	0	0	811	0	1448	0	1052	0	1084	0	1859	2202	1659	1303	151	147	227	148	225	0	124	0	224	0	199	463	0	0	96	957	0	195	125	0	0	0	117	0	169	270	255	0	0	0	0
Hspa5	352.477273	0	0	627	0	680	99	884	0	698	0	1022	1396	797	686	114	177	246	322	370	175	465	503	271	448	560	643	0	0	913	548	0	463	398	0	0	144	669	257	239	141	172	82	0	300	0
Klf10	351.886364	0	0	728	0	1095	0	770	0	558	0	1356	1478	0	951	644	656	765	655	498	280	153	0	0	234	209	195	0	0	455	921	0	103	210	0	0	0	220	0	320	410	472	261	531	355	0
Nucb2	349.886364	0	0	1302	187	1751	167	1083	0	930	0	1722	2299	1409	1400	0	0	131	161	116	0	0	0	0	156	218	271	0	0	160	1162	0	332	0	0	0	0	0	0	0	141	137	160	0	0	0
Trib1	347.477273	0	0	0	0	368	480	0	0	0	254	444	0	0	0	679	785	710	384	520	141	638	582	455	561	896	759	0	0	1290	0	0	671	554	0	0	249	716	559	379	398	483	222	263	849	0
Kpnb1	346.681818	0	0	531	0	671	0	655	0	558	0	1108	1776	0	818	0	0	0	0	0	0	464	369	441	817	762	938	0	0	1120	1018	0	512	504	0	0	120	864	0	258	420	343	187	0	0	0
Slc25a45	345.340909	0	0	0	0	153	283	0	0	0	117	247	0	0	0	489	343	746	716	654	535	590	447	324	612	777	603	0	0	1057	0	0	578	598	0	0	157	640	248	395	715	488	427	1114	1142	0
Frmd8	345.340909	0	0	0	0	153	283	0	0	0	117	247	0	0	0	489	343	746	716	654	535	590	447	324	612	777	603	0	0	1057	0	0	578	598	0	0	157	640	248	395	715	488	427	1114	1142	0
Eif2ak3	345.272727	0	0	770	68	1152	96	1146	0	1092	0	1649	2086	1785	1172	0	0	0	0	88	0	143	152	392	335	231	813	0	0	127	712	0	230	96	0	0	0	147	194	83	130	212	91	0	0	0
Rnh1	344.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1097	953	1033	794	601	816	568	552	423	801	847	804	0	0	1277	0	0	492	616	0	0	149	668	328	201	269	190	145	494	1051	0
Ska2	341.227273	0	0	977	151	1256	127	975	0	966	0	1873	2022	1615	1180	0	0	0	0	66	0	229	235	282	409	229	827	0	0	0	706	0	243	0	0	0	0	0	0	129	204	189	124	0	0	0
Prr11	341.227273	0	0	977	151	1256	127	975	0	966	0	1873	2022	1615	1180	0	0	0	0	66	0	229	235	282	409	229	827	0	0	0	706	0	243	0	0	0	0	0	0	129	204	189	124	0	0	0
Gm5165	341.045455	0	0	972	201	1220	129	1265	0	1257	0	1743	2237	1824	1424	0	0	123	92	0	92	0	0	119	184	0	167	0	0	0	920	0	319	151	0	0	0	0	0	117	252	198	0	0	0	0
Ap2a1	339.159091	0	0	939	181	1075	152	945	0	750	0	1377	1769	1069	999	188	178	305	219	137	85	204	0	268	533	360	779	0	0	312	861	0	411	188	0	0	0	172	0	0	168	155	144	0	0	0
Creb5	337.5	0	0	0	0	398	404	0	0	0	145	215	0	255	0	581	779	742	603	718	897	294	372	357	510	394	592	0	0	723	0	0	627	290	0	0	0	707	465	859	704	808	570	387	454	0
Soat2	336.386364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	223	422	618	344	0	745	845	463	843	1041	923	0	0	1269	0	0	845	646	0	0	88	877	377	937	1242	1135	768	0	0	0
