Target_genes	Pou3f1|Average	SRX1410923|EpiSC	SRX1410928|EpiSC	SRX1056349|ES_cells	SRX3196478|MEF	SRX3196480|MEF	SRX5534183|MEF	SRX3730260|Trophoblast_stem_cells	SRX3730285|Trophoblast_stem_cells	STRING
Tshz1	114.5	0	916	0	0	0	0	0	0	0
Krtap19-1	113.625	313	596	0	0	0	0	0	0	0
Cyp19a1	112.625	182	719	0	0	0	0	0	0	0
Tmprss11g	112.25	233	665	0	0	0	0	0	0	0
Trpa1	111.75	360	534	0	0	0	0	0	0	0
Reep3	111.25	172	718	0	0	0	0	0	0	0
Rnd3	110.875	193	694	0	0	0	0	0	0	0
Hdac7	110.25	0	0	160	0	0	0	722	0	0
Triqk	110.125	379	502	0	0	0	0	0	0	0
Psip1	109.5	317	559	0	0	0	0	0	0	0
Olfr806	109.25	104	137	633	0	0	0	0	0	0
Klhl9	108.625	185	684	0	0	0	0	0	0	0
Robo2	108.375	243	624	0	0	0	0	0	0	0
Sox6	108.125	230	635	0	0	0	0	0	0	0
Scgb1b17	107.125	0	0	152	530	175	0	0	0	0
Scgb1b15	107.125	0	0	152	530	175	0	0	0	0
Pde1a	106.375	464	387	0	0	0	0	0	0	0
Vmn2r5	105.25	302	540	0	0	0	0	0	0	0
Rtn4	104.875	213	626	0	0	0	0	0	0	0
Kcnip1	103.0	202	622	0	0	0	0	0	0	0
Mgat4c	102.25	327	491	0	0	0	0	0	0	0
Lpar4	102.0	187	629	0	0	0	0	0	0	0
Gsap	101.875	213	602	0	0	0	0	0	0	0
Olfr344	101.625	244	569	0	0	0	0	0	0	0
Ddi1	101.125	247	562	0	0	0	0	0	0	0
Tmem232	100.5	131	174	134	0	0	0	365	0	0
Psd3	100.125	218	583	0	0	0	0	0	0	0
Acacb	100.125	151	650	0	0	0	0	0	0	0
Nyap2	99.875	142	657	0	0	0	0	0	0	0
Il12rb2	99.5	301	495	0	0	0	0	0	0	0
Zfp982	99.25	192	290	312	0	0	0	0	0	0
Sgce	99.0	142	650	0	0	0	0	0	0	0
Peg10	99.0	142	650	0	0	0	0	0	0	0
Pkhd1l1	98.75	203	587	0	0	0	0	0	0	0
Sspn	98.125	0	0	664	0	0	0	121	0	0
Rcan1	97.375	151	628	0	0	0	0	0	0	0
Abhd6	97.0	0	0	776	0	0	0	0	0	0
Gnat3	96.375	201	570	0	0	0	0	0	0	0
Pdzph1	96.0	309	459	0	0	0	0	0	0	0
Tox	94.875	207	552	0	0	0	0	0	0	0
Elac1	94.875	224	535	0	0	0	0	0	0	0
Slc25a24	94.625	186	571	0	0	0	0	0	0	0
Arhgap15	94.0	239	513	0	0	0	0	0	0	0
Gm15501	93.75	223	527	0	0	0	0	0	0	0
Sox2	93.625	0	0	353	87	0	309	0	0	401
Strit1	93.25	172	574	0	0	0	0	0	0	0
Ssbp2	93.125	275	470	0	0	0	0	0	0	0
Vmn1r43	93.0	142	602	0	0	0	0	0	0	0
Hcn1	92.875	152	591	0	0	0	0	0	0	0
Kmo	92.5	182	558	0	0	0	0	0	0	0
Olfr1173	92.375	269	470	0	0	0	0	0	0	0
Sostdc1	92.25	225	513	0	0	0	0	0	0	0
Tspyl4	92.0	197	539	0	0	0	0	0	0	0
Samd5	92.0	208	528	0	0	0	0	0	0	0
Olfr1368	91.625	0	101	282	0	0	0	350	0	0
Scn7a	91.5	132	600	0	0	0	0	0	0	0
Kbtbd8	91.0	264	464	0	0	0	0	0	0	0
Vmn1r20	90.875	159	568	0	0	0	0	0	0	0
Olfr1239	90.75	216	510	0	0	0	0	0	0	0
Olfr448	90.5	279	445	0	0	0	0	0	0	0
Zmpste24	90.375	0	0	0	136	0	0	587	0	0
Chst2	90.375	262	461	0	0	0	0	0	0	0
Asxl3	90.25	215	507	0	0	0	0	0	0	0
Tnks1bp1	90.125	113	254	0	354	0	0	0	0	0
Pou6f2	90.125	316	405	0	0	0	0	0	0	0
Mpp5	90.0	132	588	0	0	0	0	0	0	0
Aadacl2fm1	90.0	167	173	380	0	0	0	0	0	0
Foxp2	89.125	189	524	0	0	0	0	0	0	0
Akr1e1	89.125	418	295	0	0	0	0	0	0	0
Krt28	88.75	246	464	0	0	0	0	0	0	0
Olfr782	88.25	267	439	0	0	0	0	0	0	0
Galnt1	88.25	213	493	0	0	0	0	0	0	0
Zfp979	87.75	224	478	0	0	0	0	0	0	0
Runx1t1	87.75	283	419	0	0	0	0	0	0	0
Rapgef5	87.625	202	499	0	0	0	0	0	0	0
Olfr1307	87.375	155	544	0	0	0	0	0	0	0
Rergl	86.375	167	524	0	0	0	0	0	0	0
Gpr85	86.25	232	458	0	0	0	0	0	0	0
Cntn1	86.0	191	290	207	0	0	0	0	0	0
Snrpn	85.75	151	221	314	0	0	0	0	0	0
Arhgap32	85.625	192	493	0	0	0	0	0	0	0
Gm5136	85.0	130	550	0	0	0	0	0	0	0
Pcsk1	84.5	257	419	0	0	0	0	0	0	0
Ptbp3	84.25	169	505	0	0	0	0	0	0	0
Mmadhc	83.75	209	461	0	0	0	0	0	0	0
Zfp988	83.375	285	382	0	0	0	0	0	0	0
4930447C04Rik	83.375	0	667	0	0	0	0	0	0	0
Golgb1	83.125	184	481	0	0	0	0	0	0	0
Mmp16	82.875	105	558	0	0	0	0	0	0	0
Ell2	82.75	300	362	0	0	0	0	0	0	0
Vmn2r4	82.625	221	440	0	0	0	0	0	0	0
Otor	82.625	182	479	0	0	0	0	0	0	0
Rad51ap2	82.25	124	534	0	0	0	0	0	0	0
Pcdh7	82.25	262	396	0	0	0	0	0	0	0
Vmn1r83	82.125	230	427	0	0	0	0	0	0	0
Cep170	81.5	209	443	0	0	0	0	0	0	0
Lcn4	81.25	0	0	260	0	0	0	390	0	0
Csrp2	81.125	257	392	0	0	0	0	0	0	0
Gm1673	80.875	0	0	207	155	0	0	285	0	0
Rorb	80.75	156	490	0	0	0	0	0	0	0
Nsmce3	80.25	142	500	0	0	0	0	0	0	0
Acp7	80.25	104	538	0	0	0	0	0	0	0
Olfr1104	80.125	177	464	0	0	0	0	0	0	0
Clip4	80.0	130	510	0	0	0	0	0	0	0
Sox9	79.375	0	0	0	635	0	0	0	0	0
Olfr1231	79.125	224	409	0	0	0	0	0	0	0
Nrxn1	79.125	207	426	0	0	0	0	0	0	0
Arhgap29	79.0	101	531	0	0	0	0	0	0	0
Grm3	78.75	233	397	0	0	0	0	0	0	0
Vmn1r38	78.625	277	352	0	0	0	0	0	0	0
Tlr4	78.5	171	457	0	0	0	0	0	0	0
Klf14	78.375	277	350	0	0	0	0	0	0	0
Zfp382	78.25	0	0	138	172	0	0	316	0	0
Osbpl1a	78.25	141	485	0	0	0	0	0	0	0
Pdzrn4	77.75	215	407	0	0	0	0	0	0	0
Slc8a2	77.5	0	620	0	0	0	0	0	0	0
Nr3c1	77.375	170	449	0	0	0	0	0	0	0
Cfh	77.25	175	443	0	0	0	0	0	0	0
Aig1	77.25	181	437	0	0	0	0	0	0	0
Ush2a	76.875	174	221	220	0	0	0	0	0	0
Olfr47	76.875	96	519	0	0	0	0	0	0	0
Nectin3	76.625	127	486	0	0	0	0	0	0	0
Defb8	76.625	266	347	0	0	0	0	0	0	0
Sucnr1	76.0	129	479	0	0	0	0	0	0	0
Skint1	76.0	199	409	0	0	0	0	0	0	0
Olfr877	76.0	196	412	0	0	0	0	0	0	0
Ano5	75.625	0	0	233	0	0	0	372	0	0
Akap11	75.5	234	370	0	0	0	0	0	0	0
Krtap19-5	75.375	268	335	0	0	0	0	0	0	0
Cntn4	74.75	242	356	0	0	0	0	0	0	0
Ttk	74.625	204	393	0	0	0	0	0	0	0
Olfr228	74.125	186	407	0	0	0	0	0	0	0
Zc3h12c	74.0	162	430	0	0	0	0	0	0	0
Mef2c	74.0	175	417	0	0	0	0	0	0	0
Epb41l3	73.75	171	419	0	0	0	0	0	0	0
Pde8b	73.5	104	484	0	0	0	0	0	0	0
Olfr1412	73.5	0	0	0	176	0	0	412	0	0
Olfr1411	73.5	0	0	0	176	0	0	412	0	0
Gpr141	73.375	87	500	0	0	0	0	0	0	0
Olfr247	73.25	214	372	0	0	0	0	0	0	0
Grip1	73.25	151	435	0	0	0	0	0	0	0
Gm10310	73.25	214	372	0	0	0	0	0	0	0
Glcci1	73.25	115	471	0	0	0	0	0	0	0
Csrnp3	73.125	156	429	0	0	0	0	0	0	0
Pclo	72.875	202	381	0	0	0	0	0	0	0
Taar7a	72.75	86	159	337	0	0	0	0	0	0
Gabra5	72.75	194	388	0	0	0	0	0	0	0
Vmn1r72	72.5	207	373	0	0	0	0	0	0	0
Pcdhb17	72.5	160	420	0	0	0	0	0	0	0
Hbb-bt	72.375	181	398	0	0	0	0	0	0	0
Hbb-b2	72.375	181	398	0	0	0	0	0	0	0
Olfr868	72.25	160	418	0	0	0	0	0	0	0
Marchf11	72.125	189	388	0	0	0	0	0	0	0
Sgcz	72.0	126	450	0	0	0	0	0	0	0
Omd	72.0	168	408	0	0	0	0	0	0	0
Olfr1051	72.0	234	342	0	0	0	0	0	0	0
Olfr1308	71.875	132	443	0	0	0	0	0	0	0
Lamtor3	71.75	149	425	0	0	0	0	0	0	0
Anxa10	71.75	190	384	0	0	0	0	0	0	0
Olfr152	71.5	232	340	0	0	0	0	0	0	0
Chst9	71.375	203	368	0	0	0	0	0	0	0
Zfc3h1	71.125	86	483	0	0	0	0	0	0	0
Vmn1r6	71.125	171	398	0	0	0	0	0	0	0
Thap2	71.125	86	483	0	0	0	0	0	0	0
C8a	71.125	144	425	0	0	0	0	0	0	0
C1qtnf2	71.125	257	312	0	0	0	0	0	0	0
Vmn2r23	71.0	183	385	0	0	0	0	0	0	0
Fth1	70.75	0	566	0	0	0	0	0	0	0
Ccdc83	70.75	0	566	0	0	0	0	0	0	0
Ly6f	70.625	233	332	0	0	0	0	0	0	0
Prex2	70.5	197	367	0	0	0	0	0	0	0
Olfr248	70.375	225	338	0	0	0	0	0	0	0
Ankrd44	70.125	151	265	0	145	0	0	0	0	0
4930524B15Rik	70.125	145	416	0	0	0	0	0	0	0
Serpini1	69.875	223	336	0	0	0	0	0	0	0
Pdcd10	69.875	223	336	0	0	0	0	0	0	0
Olfr734	69.875	106	453	0	0	0	0	0	0	0
Lum	69.875	150	227	0	0	0	0	182	0	0
Olfr24	69.75	248	310	0	0	0	0	0	0	0
Ncald	69.75	182	376	0	0	0	0	0	0	0
Spred1	69.0	230	322	0	0	0	0	0	0	0
Pcdhb16	69.0	132	420	0	0	0	0	0	0	0
Dtwd2	69.0	113	439	0	0	0	0	0	0	0
Cntnap4	69.0	131	421	0	0	0	0	0	0	0
Mme	68.875	139	412	0	0	0	0	0	0	0
Olfr74	68.75	202	348	0	0	0	0	0	0	0
Zfp804b	68.625	201	348	0	0	0	0	0	0	0
Otx2	68.625	224	325	0	0	0	0	0	0	0
Nebl	68.625	146	403	0	0	0	0	0	0	0
Mbd5	68.375	192	355	0	0	0	0	0	0	0
Spcs3	68.25	154	392	0	0	0	0	0	0	0
Gpr37	68.25	116	430	0	0	0	0	0	0	0
Zfp384	68.125	0	0	182	176	0	0	187	0	0
Sybu	68.0	119	425	0	0	0	0	0	0	0
Lama4	68.0	230	314	0	0	0	0	0	0	0
1700034I23Rik	67.875	176	367	0	0	0	0	0	0	0
Ddx60	67.75	151	391	0	0	0	0	0	0	0
Plek2	67.5	87	453	0	0	0	0	0	0	0
Olfr13	67.5	257	283	0	0	0	0	0	0	0
Jazf1	67.25	169	369	0	0	0	0	0	0	0
Aldoart2	67.0	161	375	0	0	0	0	0	0	0
Olfr937	66.875	188	347	0	0	0	0	0	0	0
Pgam2	66.75	0	0	203	0	0	0	331	0	0
Olfr1230	66.625	224	309	0	0	0	0	0	0	0
Olfr1152	66.625	151	382	0	0	0	0	0	0	0
Slc6a15	66.5	215	317	0	0	0	0	0	0	0
Tox3	66.375	155	376	0	0	0	0	0	0	0
Myof	66.25	0	530	0	0	0	0	0	0	0
Olfr1066	66.125	147	382	0	0	0	0	0	0	0
Rbfox2	66.0	130	398	0	0	0	0	0	0	0
Dpysl3	65.75	153	373	0	0	0	0	0	0	0
Mthfd2l	65.625	167	358	0	0	0	0	0	0	0
Gm14444	65.625	240	285	0	0	0	0	0	0	0
Cox7c	65.625	0	525	0	0	0	0	0	0	0
Reg2	65.5	235	289	0	0	0	0	0	0	0
Ap1s2	65.5	137	387	0	0	0	0	0	0	0
Plscr5	65.375	300	223	0	0	0	0	0	0	0
Pid1	65.25	222	300	0	0	0	0	0	0	0
Krtap13-1	65.25	0	522	0	0	0	0	0	0	0
Fer	65.125	161	360	0	0	0	0	0	0	0
Olfr819	64.875	194	325	0	0	0	0	0	0	0
Tmem207	64.75	165	353	0	0	0	0	0	0	0
Dmrta1	64.75	150	368	0	0	0	0	0	0	0
Olfr243	64.625	181	336	0	0	0	0	0	0	0
Nmu	64.625	162	355	0	0	0	0	0	0	0
Pcdhb20	64.375	205	310	0	0	0	0	0	0	0
Pcdhb19	64.375	205	310	0	0	0	0	0	0	0
Serpinb1b	64.25	162	352	0	0	0	0	0	0	0
Acer1	63.75	166	344	0	0	0	0	0	0	0
Olfr356	63.625	220	289	0	0	0	0	0	0	0
Olfr355	63.625	220	289	0	0	0	0	0	0	0
Cbln2	63.625	218	291	0	0	0	0	0	0	0
Slc1a2	63.375	197	310	0	0	0	0	0	0	0
Ralyl	63.25	204	302	0	0	0	0	0	0	0
Col1a2	63.25	133	373	0	0	0	0	0	0	0
Tmem247	63.125	234	271	0	0	0	0	0	0	0
Pex5l	63.125	158	347	0	0	0	0	0	0	0
Olfr153	63.125	161	344	0	0	0	0	0	0	0
Psd4	63.0	205	299	0	0	0	0	0	0	0
Krtap6-5	63.0	0	0	287	0	0	0	217	0	0
Gngt1	63.0	75	429	0	0	0	0	0	0	0
Gm10228	63.0	0	0	287	0	0	0	217	0	0
Nrg1	62.875	256	247	0	0	0	0	0	0	0
Npvf	62.75	114	388	0	0	0	0	0	0	0
Kcnip4	62.75	233	269	0	0	0	0	0	0	0
Gng12	62.75	102	400	0	0	0	0	0	0	0
Eps8	62.75	104	398	0	0	0	0	0	0	0
Olfr820	62.625	152	349	0	0	0	0	0	0	0
Dsc1	62.5	247	253	0	0	0	0	0	0	0
Iapp	62.375	157	342	0	0	0	0	0	0	0
Ugt8a	62.25	183	315	0	0	0	0	0	0	0
Asph	62.25	151	347	0	0	0	0	0	0	0
Olfr270	62.125	202	295	0	0	0	0	0	0	0
Olfr799	62.0	281	215	0	0	0	0	0	0	0
Cyb5r1	62.0	191	305	0	0	0	0	0	0	0
Csn3	62.0	150	346	0	0	0	0	0	0	0
Ccdc89	62.0	0	0	0	158	0	0	338	0	0
Zfp449	61.875	0	0	0	0	0	0	495	0	0
Gnb1l	61.75	0	0	156	338	0	0	0	0	0
Dis3l2	61.625	103	390	0	0	0	0	0	0	0
Ifi203	61.5	257	235	0	0	0	0	0	0	0
Pank4	61.375	202	289	0	0	0	0	0	0	0
Hes5	61.375	202	289	0	0	0	0	0	0	0
Ftmt	61.375	128	363	0	0	0	0	0	0	0
Fbxw7	61.25	169	321	0	0	0	0	0	0	0
Fabp7	61.25	200	290	0	0	0	0	0	0	0
9330159F19Rik	61.25	112	378	0	0	0	0	0	0	0
1700006A11Rik	61.25	213	277	0	0	0	0	0	0	0
Satb1	61.125	149	340	0	0	0	0	0	0	0
Rbm26	61.125	0	489	0	0	0	0	0	0	0
Zbtb20	61.0	168	320	0	0	0	0	0	0	0
Dmrt1	61.0	98	390	0	0	0	0	0	0	0
Mok	60.875	0	313	0	0	0	0	174	0	0
Edil3	60.875	231	256	0	0	0	0	0	0	0
Crisp2	60.875	173	314	0	0	0	0	0	0	0
Skor1	60.625	123	362	0	0	0	0	0	0	0
Ppp4r3b	60.625	117	368	0	0	0	0	0	0	0
Olfr616	60.625	133	352	0	0	0	0	0	0	0
Pitx2	60.5	107	377	0	0	0	0	0	0	0
Kcnv1	60.5	166	318	0	0	0	0	0	0	0
Tex47	60.25	142	340	0	0	0	0	0	0	0
Rex2	60.25	205	277	0	0	0	0	0	0	0
Il7r	60.25	173	309	0	0	0	0	0	0	0
Defb41	60.25	102	380	0	0	0	0	0	0	0
Phf20l1	60.0	164	316	0	0	0	0	0	0	0
Vmn2r96	59.875	114	365	0	0	0	0	0	0	0
Fundc1	59.875	157	322	0	0	0	0	0	0	0
Calca	59.875	104	375	0	0	0	0	0	0	0
Plcb4	59.75	154	324	0	0	0	0	0	0	0
Olfr1105	59.75	191	287	0	0	0	0	0	0	0
Chil4	59.75	190	288	0	0	0	0	0	0	0
Psma2	59.5	89	387	0	0	0	0	0	0	0
Mrpl32	59.5	89	387	0	0	0	0	0	0	0
Cntn3	59.5	70	406	0	0	0	0	0	0	0
Yipf7	59.25	223	251	0	0	0	0	0	0	0
Lrrtm2	59.25	162	312	0	0	0	0	0	0	0
Gabrg2	59.25	180	294	0	0	0	0	0	0	0
Rad21	59.125	187	286	0	0	0	0	0	0	0
Pts	58.875	0	471	0	0	0	0	0	0	0
Abcb1a	58.875	220	251	0	0	0	0	0	0	0
Mab21l1	58.75	152	318	0	0	0	0	0	0	0
Clec5a	58.75	177	293	0	0	0	0	0	0	0
Gpr151	58.625	113	356	0	0	0	0	0	0	0
Cps1	58.625	140	329	0	0	0	0	0	0	0
Scin	58.5	200	268	0	0	0	0	0	0	0
Retnlg	58.5	280	188	0	0	0	0	0	0	0
Cma2	58.5	0	0	0	0	0	0	468	0	0
Utp18	58.375	142	325	0	0	0	0	0	0	0
Mbtd1	58.375	142	325	0	0	0	0	0	0	0
Olfr1228	58.25	185	281	0	0	0	0	0	0	0
Gm32856	58.25	204	262	0	0	0	0	0	0	0
Azi2	58.25	0	466	0	0	0	0	0	0	0
Tram1l1	58.125	202	263	0	0	0	0	0	0	0
Tigd4	58.125	143	322	0	0	0	0	0	0	0
Tas2r109	58.125	66	163	236	0	0	0	0	0	0
Sowahb	58.125	123	342	0	0	0	0	0	0	0
Selenop	58.125	141	324	0	0	0	0	0	0	0
Pcdha2	58.125	149	316	0	0	0	0	0	0	0
Htt	58.0	0	0	464	0	0	0	0	0	0
Zfp959	57.875	216	247	0	0	0	0	0	0	0
Olfr1252	57.875	99	185	0	0	0	0	179	0	0
Mettl11b	57.875	140	323	0	0	0	0	0	0	0
Elavl4	57.875	211	252	0	0	0	0	0	0	0
Napb	57.75	197	265	0	0	0	0	0	0	0
Etv1	57.75	123	339	0	0	0	0	0	0	0
Olfr1034	57.5	132	328	0	0	0	0	0	0	0
Hdac9	57.5	144	316	0	0	0	0	0	0	0
Bnc2	57.5	95	131	0	234	0	0	0	0	0
Slc7a11	57.375	161	298	0	0	0	0	0	0	0
R3hdm2	57.375	0	0	0	0	0	0	459	0	0
Zbtb38	57.25	121	337	0	0	0	0	0	0	0
Hgd	57.25	123	335	0	0	0	0	0	0	0
Cldn34a	57.25	142	316	0	0	0	0	0	0	0
Gabarapl2	57.125	0	0	0	457	0	0	0	0	0
Csmd1	57.125	161	296	0	0	0	0	0	0	0
Atp6v0d2	57.125	132	325	0	0	0	0	0	0	0
Zfp936	57.0	0	0	456	0	0	0	0	0	0
Phip	56.875	145	310	0	0	0	0	0	0	0
Celf2	56.875	166	289	0	0	0	0	0	0	0
Gm44501	56.75	186	268	0	0	0	0	0	0	0
Esp6	56.75	186	268	0	0	0	0	0	0	0
Bmpr1b	56.75	141	313	0	0	0	0	0	0	0
Meox2	56.625	148	305	0	0	0	0	0	0	0
Trdn	56.5	214	238	0	0	0	0	0	0	0
Manea	56.5	99	195	0	0	0	0	158	0	0
Cpvl	56.5	118	334	0	0	0	0	0	0	0
Anxa7	56.5	0	243	0	209	0	0	0	0	0
Olfr743	56.125	171	278	0	0	0	0	0	0	0
Olfr391	56.0	182	266	0	0	0	0	0	0	0
Nt5c1b	56.0	182	266	0	0	0	0	0	0	0
Lin7a	56.0	166	282	0	0	0	0	0	0	0
Olfr822	55.875	171	276	0	0	0	0	0	0	0
Cngb3	55.875	230	217	0	0	0	0	0	0	0
Vmn2r98	55.75	155	291	0	0	0	0	0	0	0
Olfr628	55.5	137	307	0	0	0	0	0	0	0
Olfr315	55.375	231	212	0	0	0	0	0	0	0
Btla	55.25	139	303	0	0	0	0	0	0	0
Adgrv1	55.25	134	308	0	0	0	0	0	0	0
Vav3	55.125	191	250	0	0	0	0	0	0	0
Lrrc7	55.125	187	254	0	0	0	0	0	0	0
Rnf169	55.0	0	0	0	440	0	0	0	0	0
Sprr2f	54.875	161	278	0	0	0	0	0	0	0
Gfral	54.875	143	296	0	0	0	0	0	0	0
Lsamp	54.75	126	312	0	0	0	0	0	0	0
Kcnh7	54.75	160	278	0	0	0	0	0	0	0
Olfr713	54.625	91	346	0	0	0	0	0	0	0
Olfr642	54.625	172	265	0	0	0	0	0	0	0
Ccdc172	54.625	116	321	0	0	0	0	0	0	0
Prlhr	54.5	179	257	0	0	0	0	0	0	0
Pax5	54.5	62	374	0	0	0	0	0	0	0
Focad	54.375	74	361	0	0	0	0	0	0	0
Cdh2	54.375	141	294	0	0	0	0	0	0	0
Asb9	54.375	165	270	0	0	0	0	0	0	0
6720489N17Rik	54.375	156	279	0	0	0	0	0	0	0
Nfyc	54.0	158	274	0	0	0	0	0	0	0
Ccser2	54.0	139	293	0	0	0	0	0	0	0
Mei4	53.875	143	288	0	0	0	0	0	0	0
Dclk2	53.875	142	289	0	0	0	0	0	0	0
Cdk14	53.625	169	260	0	0	0	0	0	0	0
Vmn2r118	53.5	193	235	0	0	0	0	0	0	0
Tfpi	53.5	178	250	0	0	0	0	0	0	0
Ifna6	53.375	174	253	0	0	0	0	0	0	0
Elovl4	53.375	198	229	0	0	0	0	0	0	0
Atp5g2	53.375	142	285	0	0	0	0	0	0	0
Olfr303	53.25	171	255	0	0	0	0	0	0	0
Olfr301	53.25	171	255	0	0	0	0	0	0	0
Cd200r3	53.25	102	324	0	0	0	0	0	0	0
Cnksr3	53.125	171	254	0	0	0	0	0	0	0
Vnn1	53.0	87	337	0	0	0	0	0	0	0
Tmed11	52.875	136	287	0	0	0	0	0	0	0
Olfr1216	52.875	142	281	0	0	0	0	0	0	0
Rmi1	52.75	0	422	0	0	0	0	0	0	0
Hnrnpk	52.75	0	422	0	0	0	0	0	0	0
Wiz	52.625	146	206	69	0	0	0	0	0	0
Vmn2r27	52.625	155	266	0	0	0	0	0	0	0
Luzp2	52.625	129	292	0	0	0	0	0	0	0
4933428M09Rik	52.625	205	216	0	0	0	0	0	0	0
Sult1c1	52.5	95	325	0	0	0	0	0	0	0
Olfr1123	52.5	119	301	0	0	0	0	0	0	0
Fgf7	52.5	95	325	0	0	0	0	0	0	0
Vmn1r27	52.375	128	291	0	0	0	0	0	0	0
Dtna	52.375	274	145	0	0	0	0	0	0	0
Olfr149	52.25	167	251	0	0	0	0	0	0	0
Kcnj16	52.25	144	274	0	0	0	0	0	0	0
Tusc1	52.125	172	245	0	0	0	0	0	0	0
Olfr776	52.125	193	224	0	0	0	0	0	0	0
Olfr648	52.125	0	0	152	0	0	0	265	0	0
Olfr168	52.125	166	251	0	0	0	0	0	0	0
Olfr1219	51.875	97	318	0	0	0	0	0	0	0
Flrt3	51.875	148	267	0	0	0	0	0	0	0
2310057J18Rik	51.875	134	281	0	0	0	0	0	0	0
Zic2	51.75	177	237	0	0	0	0	0	0	0
Ikzf2	51.75	176	238	0	0	0	0	0	0	0
Gm20594	51.75	115	299	0	0	0	0	0	0	0
Fibin	51.75	75	339	0	0	0	0	0	0	0
Ank2	51.75	132	282	0	0	0	0	0	0	0
Selenok	51.625	0	413	0	0	0	0	0	0	0
Olfr706	51.625	104	309	0	0	0	0	0	0	0
Prkn	51.5	139	273	0	0	0	0	0	0	0
Pot1b	51.5	192	220	0	0	0	0	0	0	0
Pacrg	51.5	139	273	0	0	0	0	0	0	0
Olfr985	51.5	92	320	0	0	0	0	0	0	0
Mllt3	51.5	136	276	0	0	0	0	0	0	0
Lpxn	51.5	129	283	0	0	0	0	0	0	0
Zfp804a	51.375	104	307	0	0	0	0	0	0	0
Olfr1284	51.375	157	254	0	0	0	0	0	0	0
Krtap6-1	51.375	142	269	0	0	0	0	0	0	0
Gria4	51.375	175	236	0	0	0	0	0	0	0
Ezh2	51.375	105	306	0	0	0	0	0	0	0
Adamtsl1	51.375	116	295	0	0	0	0	0	0	0
Tigar	51.25	0	410	0	0	0	0	0	0	0
Olfm3	51.25	215	195	0	0	0	0	0	0	0
Tmem260	51.125	78	331	0	0	0	0	0	0	0
Olfr213	51.125	103	306	0	0	0	0	0	0	0
Tas2r140	51.0	129	279	0	0	0	0	0	0	0
Olfr154	51.0	151	257	0	0	0	0	0	0	0
Chrna7	51.0	124	284	0	0	0	0	0	0	0
4930558C23Rik	51.0	110	298	0	0	0	0	0	0	0
Olfr812	50.875	146	261	0	0	0	0	0	0	0
Olfr732	50.875	125	282	0	0	0	0	0	0	0
Lama2	50.875	130	277	0	0	0	0	0	0	0
