Target_genes	Fosl1|Average	SRX142533|C2C12	SRX2396480|MEF	SRX2396481|MEF	SRX2396482|MEF	SRX6437838|Pancreatic_adenocarcinoma	STRING
G2e3	743.0	0	418	1634	1498	165	0
Card19	742.6	250	1594	416	237	1216	0
Crlf2	742.2	0	838	1424	1449	0	0
Gstk1	741.6	0	909	1400	1399	0	0
Micalcl	741.2	167	1511	110	235	1683	0
Mtfr1	740.6	0	770	1468	1346	119	0
2900026A02Rik	738.4	0	275	1372	1714	331	0
Wasf2	737.4	0	852	941	932	962	0
Tfdp2	737.2	0	92	1690	1797	107	0
Nek6	735.6	158	1300	0	188	2032	0
Rtn4	734.8	597	1388	188	394	1107	0
Slc22a3	733.6	0	401	1201	2066	0	0
Ppbp	732.4	0	496	761	1357	1048	0
Sorbs1	731.8	0	336	854	1856	613	0
Opa3	729.6	179	953	909	1118	489	0
Fundc1	728.8	0	540	1530	1428	146	0
Trim8	727.6	0	1038	661	976	963	0
Tnk2	727.2	154	1276	577	1175	454	0
Mbnl1	727.0	0	1200	759	1132	544	0
Vamp4	726.4	0	164	1627	1770	71	0
Itsn1	726.4	0	255	1303	1966	108	0
Cryzl1	726.4	0	255	1303	1966	108	0
Scaf1	725.0	0	1256	911	1005	453	0
Rras	725.0	0	1256	911	1005	453	0
Meikin	725.0	0	1471	913	1241	0	0
Acot7	724.6	0	977	1110	1447	89	0
Stra6	723.8	113	721	1437	1145	203	0
Igfals	723.8	0	502	1411	1706	0	0
Naprt	723.2	0	819	1449	1212	136	0
Fam71f1	723.0	186	1416	533	1163	317	0
Stk40	721.4	396	1572	210	531	898	0
Urgcp	721.2	248	560	846	1108	844	0
Nme1	721.0	249	1191	0	439	1726	0
Rgs2	720.2	0	566	1416	1047	572	0
Ublcp1	719.4	0	641	996	1665	295	0
Tubb2a	718.0	137	1141	856	890	566	0
Pkn1	718.0	0	757	1111	1456	266	0
Podxl2	717.2	470	1343	334	180	1259	0
Cfap206	716.2	0	713	1244	1624	0	0
Sec63	716.0	0	1444	969	1167	0	0
Clec2g	715.0	0	995	550	653	1377	0
Phlpp1	713.4	0	248	1802	1402	115	0
Prss56	713.0	700	1575	0	0	1290	0
Rnf13	712.8	0	648	1175	1364	377	0
Osbpl9	712.6	255	779	903	1432	194	0
Pcmtd2	712.4	135	528	1102	1211	586	0
Pik3c2a	711.6	0	1108	977	1287	186	0
Lgals3	709.8	269	1101	595	747	837	0
Wipf1	709.6	193	352	1511	1342	150	0
Ermard	708.8	0	1044	236	420	1844	0
Arvcf	707.2	0	330	1787	1332	87	0
Mpv17	706.6	405	1233	0	471	1424	0
Dclk1	706.6	198	1648	1003	684	0	0
Tmc8	706.2	0	367	1274	1776	114	0
Tmc6	706.2	0	367	1274	1776	114	0
Cxcl14	705.4	0	1559	1123	845	0	0
Prnp	705.0	0	1101	679	1321	424	0
Prn	705.0	0	1101	679	1321	424	0
Syne3	703.2	365	1616	501	536	498	0
Eno1	703.2	441	1443	196	346	1090	0
Ugt1a6a	701.4	0	452	1325	1730	0	0
Mmp28	699.4	124	1377	880	951	165	0
Pipox	698.2	0	399	1501	1591	0	0
Anxa2	698.2	170	900	682	783	956	0
Birc6	697.8	347	384	464	684	1610	0
Tmem211	696.4	0	178	1372	1714	218	0
Rcan1	695.8	0	824	1110	1334	211	0
Prrc2a	695.4	0	193	1716	1568	0	0
Cirbp	695.4	353	1232	227	451	1214	0
Rab7b	695.0	236	1375	442	798	624	0
Per1	694.8	457	434	360	822	1401	0
Vgll3	694.4	0	434	1513	1525	0	0
Gm45521	693.2	0	1300	496	1413	257	0
Atp1a1	692.0	0	1024	976	1194	266	0
Ctnnbip1	691.6	0	561	1365	1349	183	0
Thpo	691.2	0	1005	411	1584	456	0
Zfp316	690.8	258	1644	0	253	1299	0
Mndal	690.6	177	740	1050	1217	269	0
Tuba1c	690.2	356	923	0	506	1666	0
Notch1	690.2	0	649	1317	1206	279	0
Fbxo47	689.8	0	64	1339	1800	246	0
Zfp428	688.2	0	154	1945	1259	83	0
Socs5	686.4	211	1023	255	499	1444	0
Slc35e4	684.2	307	1339	147	625	1003	0
Ralb	683.8	360	1306	0	473	1280	0
Lax1	683.2	0	245	1141	1778	252	0
Ndufa5	683.0	148	1628	0	99	1540	0
Asb15	683.0	148	1628	0	99	1540	0
Cacnb2	681.6	0	133	1570	1497	208	0
Capn5	681.0	0	517	1376	1247	265	0
Zfp821	680.4	164	1468	326	787	657	0
Ist1	680.4	164	1468	326	787	657	0
Man2a2	675.4	329	1537	257	383	871	0
Pou6f1	674.6	0	337	1379	1657	0	0
Crbn	671.6	112	1343	0	477	1426	0
Map4k4	670.8	0	770	1373	1211	0	0
Tmbim1	670.6	0	680	1345	1260	68	0
Wsb1	669.8	162	1095	962	982	148	0
Fez1	669.8	0	274	1531	1544	0	0
S100a5	669.6	0	769	1189	1040	350	0
Slc25a4	669.4	0	203	1341	1721	82	0
Mpp4	668.4	353	1469	145	449	926	0
Qprt	666.6	0	1250	0	283	1800	0
Runx1	666.2	267	779	930	786	569	0
Avpi1	666.0	0	1056	919	1087	268	0
Shisal1	665.2	0	1343	795	651	537	0
Afmid	664.8	0	212	998	1230	884	0
Sulf2	664.4	0	301	1316	1705	0	0
Klk9	664.2	147	1187	853	922	212	0
Ttc37	662.0	0	1295	857	1158	0	0
Slc12a2	662.0	0	155	1413	1618	124	0
Arsk	662.0	0	1295	857	1158	0	0
Apol7a	660.4	208	1470	333	788	503	0
Fbxo4	660.0	161	1502	165	390	1082	0
Trpm3	659.4	0	1593	343	890	471	0
Mfsd13a	659.4	0	1129	582	1403	183	0
Hp1bp3	658.8	86	1435	432	600	741	0
Eps8	658.8	173	877	813	1138	293	0
Cic	658.4	181	717	893	575	926	0
Zfhx3	658.0	0	847	668	563	1212	0
Hdac7	657.6	159	1502	232	234	1161	0
Stac2	657.4	123	1172	572	946	474	0
Oas2	656.8	0	274	1019	1991	0	0
1810058I24Rik	656.6	358	1539	0	212	1174	0
Muc1	656.2	0	177	1768	1170	166	0
Rbm14	655.6	0	131	1443	1517	187	0
Gm21992	655.6	0	131	1443	1517	187	0
Cd5	655.6	286	639	580	885	888	0
Fgd4	655.4	0	1429	599	579	670	0
S100a6	655.0	0	625	1189	1040	421	0
Mcl1	654.2	0	630	1169	1161	311	0
Phlda3	654.0	188	1369	125	442	1146	0
Brox	653.4	417	826	754	678	592	0
Aida	653.4	417	826	754	678	592	0
Gm14137	653.0	176	1353	178	575	983	0
Nes	652.4	0	610	1330	1192	130	0
Ets1	651.4	0	1589	590	578	500	0
Adap1	651.2	0	121	1302	1833	0	0
Gstm6	650.8	0	1272	785	820	377	0
Spaar	650.0	154	1303	346	607	840	0
Ptpre	650.0	0	719	896	983	652	0
Hrct1	650.0	154	1303	346	607	840	0
Oxsm	649.2	0	621	1276	1237	112	0
Srsf2	648.4	110	1412	408	477	835	0
Mfsd11	648.4	110	1412	408	477	835	0
2300002M23Rik	648.4	0	745	1027	1470	0	0
Actn4	644.2	0	1045	721	1179	276	0
9930111J21Rik2	643.6	272	968	536	1194	248	0
Ccdc80	643.0	0	1217	678	795	525	0
Rnf39	642.2	0	837	0	0	2374	0
Nudt13	641.6	609	1866	0	0	733	0
Apod	641.2	0	268	1302	1636	0	0
S100a11	641.0	0	1401	456	583	765	0
Zc3h3	639.2	0	521	656	1036	983	0
Amn1	639.0	185	901	234	539	1336	0
Serpinb8	638.8	369	1612	311	563	339	0
Phip	638.2	0	1383	1168	520	120	0
Sgms1	638.0	109	1295	437	880	469	0
Igfbp6	637.4	476	832	305	569	1005	0
Mtmr11	637.2	275	1278	0	380	1253	0
Wrap53	636.2	0	128	1428	1482	143	0
Trp53	636.2	0	128	1428	1482	143	0
Elobl	635.2	0	337	1011	1828	0	0
Mpeg1	634.8	0	1095	229	311	1539	0
Abcc12	634.2	165	515	852	1207	432	0
Rin1	633.0	0	1350	202	886	727	0
Gprc5b	632.4	0	796	1230	476	660	0
Gjb4	631.4	144	1045	471	882	615	0
Ercc2	631.0	0	348	916	913	978	0
Ninj2	630.8	382	1288	139	297	1048	0
Mad1l1	629.4	0	634	846	1203	464	0
Ifi203	629.4	271	969	739	1038	130	0
Hmces	629.2	0	780	910	1067	389	0
Gm12657	627.8	0	93	1387	1659	0	0
Ccdc187	627.6	0	1461	428	1249	0	0
Drap1	626.0	334	1639	78	236	843	0
AI837181	626.0	334	1639	78	236	843	0
Prkag3	623.8	0	1735	0	397	987	0
Adgre5	623.8	393	980	0	246	1500	0
9930111J21Rik1	623.8	272	968	468	1194	217	0
Myo1h	623.0	0	931	616	1169	399	0
Nsmaf	622.0	0	266	1189	1655	0	0
Zfp148	621.0	0	0	1256	1686	163	0
Comt	621.0	0	902	485	1623	95	0
Fam180a	620.8	159	904	209	312	1520	0
Ccnc	620.8	0	646	1334	997	127	0
Necap1	620.6	385	1179	129	207	1203	0
Kifc3	620.2	0	258	1102	1325	416	0
Tpm2	618.2	570	778	0	119	1624	0
Tmem184b	617.2	0	548	1306	1232	0	0
Card10	617.0	0	454	951	1121	559	0
Filip1	616.8	0	315	1397	1372	0	0
Cxcl5	616.0	0	754	761	1357	208	0
Bcas1	615.4	0	117	0	0	2960	0
Rab23	614.4	0	351	1301	1420	0	0
Dpysl3	614.4	193	428	892	904	655	0
Prickle1	613.2	0	571	1239	1143	113	0
Ttc39a	612.4	202	782	0	72	2006	0
Kctd12	612.0	0	272	1244	1544	0	0
Klra2	611.8	0	931	917	1211	0	0
Crebl2	611.8	0	1061	626	1112	260	0
Tcf7l1	610.4	0	234	1377	1287	154	0
Camkk2	609.6	0	448	815	1785	0	0
Kcnk2	608.8	0	1031	815	1198	0	0
H3c10	608.2	0	859	1018	995	169	0
H2bc14	608.2	0	859	1018	995	169	0
Cav2	607.4	0	1353	0	299	1385	0
Ugdh	607.2	242	407	1131	1120	136	0
Itpripl2	606.8	0	389	1094	1159	392	0
Scrn1	606.2	114	1046	184	393	1294	0
H3c15	605.4	0	120	1358	1300	249	0
H3c14	605.4	0	120	1358	1300	249	0
H2ac19	605.4	0	120	1358	1300	249	0
H2ac18	605.4	0	120	1358	1300	249	0
Thbs2	605.0	0	170	1501	1354	0	0
Lsp1	605.0	131	1720	0	198	976	0
Tnfrsf12a	604.0	115	1075	107	276	1447	0
Thoc6	604.0	115	1075	107	276	1447	0
Hcfc1r1	604.0	115	1075	107	276	1447	0
Cldn6	604.0	115	1075	107	276	1447	0
Pdzd9	603.8	0	1255	914	567	283	0
Sprr2a2	603.0	273	294	0	0	2448	0
Sprr2a1	603.0	273	294	0	0	2448	0
Trim59	602.8	0	1192	760	848	214	0
Atp12a	602.6	0	0	1091	1922	0	0
Pthlh	602.2	329	1296	0	0	1386	0
Fzd7	602.0	0	355	1157	1498	0	0
Fhl2	601.6	349	854	0	86	1719	0
Srxn1	600.8	259	1542	0	229	974	0
Atg12	600.6	0	86	1320	1492	105	0
Ap3s1	600.6	0	86	1320	1492	105	0
Ngly1	598.2	0	478	1276	1237	0	0
Kpna1	598.2	1194	540	819	438	0	0
C1ra	597.6	0	751	1142	789	306	0
Zfp532	597.4	0	1790	518	679	0	0
Coq10b	596.2	0	1086	441	680	774	0
Cops3	596.2	0	204	1166	1475	136	0
Cldn12	596.2	264	1171	747	673	126	0
Anxa4	596.2	148	563	662	625	983	0
Sost	595.6	0	0	1216	1532	230	0
Creb5	595.6	200	1348	0	140	1290	0
Hspg2	594.4	0	202	1048	1722	0	0
Fosl2	593.6	130	1091	154	330	1263	0
Dll1	593.4	0	373	1161	1109	324	0
Angptl4	592.4	116	1156	286	625	779	0
Mmp17	592.2	0	0	1226	1528	207	0
Tnpo1	590.6	0	1577	211	478	687	0
Flacc1	590.4	0	983	621	1164	184	0
Nfe2l1	590.2	0	264	1528	1047	112	0
Zfp879	590.0	0	0	1486	1464	0	0
Rps6ka5	590.0	0	766	850	1334	0	0
Kcnk7	590.0	0	93	1428	1429	0	0
Pcx	589.6	0	104	1368	1295	181	0
Etv1	586.8	0	1211	627	627	469	0
Mterf1a	586.2	0	99	590	1044	1198	0
Plvap	586.0	0	869	889	1172	0	0
Col16a1	585.8	165	924	419	291	1130	0
Sh3pxd2b	584.8	171	809	555	548	841	0
Cd3g	584.6	0	196	1038	1689	0	0
Cd3d	584.6	0	196	1038	1689	0	0
Synpo	584.4	235	978	173	346	1190	0
Frs2	584.4	449	1604	284	405	180	0
Srm	584.0	0	124	1255	1541	0	0
Aox1	582.6	220	1587	130	342	634	0
Clrn1	582.2	244	1438	392	603	234	0
Ace3	582.2	0	0	1288	1623	0	0
Spire2	581.6	190	1688	205	264	561	0
Fgf4	580.4	0	0	1146	1756	0	0
Pou2f2	579.4	0	387	815	798	897	0
Spns2	579.2	211	1101	352	418	814	0
Gm4861	577.6	230	1547	173	146	792	0
Cpsf4l	577.4	0	145	1237	1505	0	0
Marchf4	576.2	0	870	899	1015	97	0
Ntn4	576.0	151	816	206	450	1257	0
Slc4a8	575.8	242	1161	195	283	998	0
Sri	575.2	207	1119	330	230	990	0
Ugt1a6b	575.0	0	547	916	1202	210	0
Ptp4a1	574.8	0	1143	232	465	1034	0
Ftdc2	574.4	0	325	1200	1347	0	0
Jag1	574.2	0	113	1176	938	644	0
Cflar	573.6	185	701	868	886	228	0
Ppp1r18	572.8	141	873	408	799	643	0
Thy1	572.4	352	1463	502	451	94	0
Pacs2	571.6	154	1220	894	590	0	0
Med26	571.4	0	213	1219	1425	0	0
Rhoq	570.4	0	1383	283	714	472	0
Krt8	569.8	316	777	121	312	1323	0
Fadd	569.6	0	1315	549	898	86	0
Nnmt	569.0	0	865	930	1050	0	0
Tjp2	568.8	0	533	602	1165	544	0
Glod5	568.6	0	168	937	1549	189	0
Tmem220	566.2	0	162	1543	760	366	0
Clca4a	566.2	164	1251	338	231	847	0
Aig1	566.2	0	1029	469	1333	0	0
Setd1b	565.4	0	809	962	932	124	0
Pef1	565.4	0	400	876	1364	187	0
Cttnbp2nl	564.4	235	1256	307	672	352	0
Ttyh1	564.0	0	0	1471	1349	0	0
Nudt3	564.0	0	0	1109	1711	0	0
Gramd1b	563.6	0	482	783	1366	187	0
Bcl9l	563.6	139	1061	197	644	777	0
Zswim1	563.2	0	1439	140	91	1146	0
Cyld	563.0	135	1238	416	372	654	0
Rab14	562.8	0	1287	565	825	137	0
Slc25a24	562.6	141	1004	223	706	739	0
Nfix	562.6	0	256	1076	1174	307	0
Diaph1	562.2	0	123	1264	955	469	0
Lect2	561.4	0	560	802	1025	420	0
Samd4	560.8	183	876	805	696	244	0
Smad7	560.6	0	1428	190	412	773	0
Ndufb6	560.4	0	494	973	1191	144	0
Lrrc8b	560.4	184	1444	0	194	980	0
Prxl2c	560.0	0	689	1148	963	0	0
Arhgef18	560.0	0	139	1194	1260	207	0
Cxadr	559.8	0	521	940	1240	98	0
Cox8c	559.4	0	177	1084	1536	0	0
Ip6k2	559.2	0	1038	806	692	260	0
Mat2a	559.0	0	1120	463	733	479	0
Tmem125	558.8	0	926	847	511	510	0
Hdgf	558.8	0	1256	284	246	1008	0
Ap5s1	558.4	0	660	693	1239	200	0
Plin2	558.2	0	979	654	937	221	0
Echs1	558.0	0	422	638	946	784	0
8030462N17Rik	557.6	0	846	816	825	301	0
Iba57	557.2	0	958	900	703	225	0
Fah	557.0	0	0	1286	1499	0	0
Ifitm3	556.2	0	82	927	1072	700	0
Slc30a4	555.8	408	1449	393	529	0	0
Pwp1	555.6	0	125	1221	1338	94	0
Itgav	554.8	408	954	285	472	655	0
S100a10	554.4	129	913	299	624	807	0
Prss23	554.0	0	500	131	226	1913	0
Prox2	553.8	0	1087	584	722	376	0
Gadd45a	551.6	0	524	904	564	766	0
Arid3b	551.6	0	1044	180	847	687	0
Dnah6	551.0	0	1108	560	852	235	0
S100a4	550.6	0	902	466	1035	350	0
Dnajc21	550.6	0	0	1235	1518	0	0
Evi5	550.2	0	997	700	897	157	0
Tm4sf1	550.0	217	951	451	898	233	0
Eif4e	550.0	473	1114	151	159	853	0
Zc3h12a	549.6	196	974	0	926	652	0
Adam19	549.6	0	651	638	1459	0	0
Mast2	549.4	280	1057	168	317	925	0
Nek2	548.4	154	916	0	333	1339	0
Stambpl1	547.8	182	647	935	857	118	0
Gadd45g	547.6	0	554	1217	730	237	0
Ppl	547.2	217	1132	0	265	1122	0
1110002E22Rik	547.2	353	567	149	128	1539	0
Deptor	546.8	243	780	196	559	956	0
Myl12b	546.4	0	327	964	1232	209	0
Mfsd7a	546.2	0	209	887	1635	0	0
Fbxl3	546.2	0	422	644	1564	101	0
Gpat3	546.0	0	1200	0	415	1115	0
Csf1r	545.8	0	850	1017	862	0	0
Thbs1	545.6	0	1203	339	560	626	0
Krt80	545.6	104	1063	416	703	442	0
Dgkd	545.0	298	1093	0	134	1200	0
Diaph3	544.2	0	699	677	1212	133	0
Atf7ip	543.4	0	0	1073	1083	561	0
Apon	543.4	323	874	0	121	1399	0
Camta1	543.0	0	1365	0	256	1094	0
Sspn	542.8	805	232	177	124	1376	0
Bhlhe40	542.4	0	854	322	722	814	0
Zfp354c	542.2	0	781	994	936	0	0
Man1c1	542.2	0	392	1063	1256	0	0
Sertad2	542.0	153	981	215	575	786	0
Ubb	541.2	0	885	638	909	274	0
Pdcl2	540.6	0	0	1121	1582	0	0
Trappc1	540.0	0	701	1141	723	135	0
Rhno1	540.0	0	1291	416	493	500	0
Kcnab3	540.0	0	701	1141	723	135	0
Foxm1	540.0	0	1291	416	493	500	0
Cntrob	540.0	0	701	1141	723	135	0
Tgif2	539.4	0	524	1072	814	287	0
Il6	538.8	0	820	443	997	434	0
Mylk3	538.6	0	109	946	1434	204	0
Tnfaip6	538.2	0	1253	832	606	0	0
Spata13	537.8	0	814	837	1038	0	0
Tmcc3	537.6	239	786	470	775	418	0
Pkm	537.6	239	989	242	403	815	0
AA986860	537.4	119	411	960	1066	131	0
