Target_genes	Zbtb11|Average	SRX5247619|ES_cells	SRX5247622|ES_cells	SRX5247623|ES_cells	SRX5247624|ES_cells	SRX5247637|ES_cells	SRX5247638|ES_cells	SRX5247639|ES_cells	STRING
Gm32687	1665.857143	2898	0	0	0	2518	2489	3756	0
Nvl	1662.857143	3092	0	0	0	2551	2567	3430	0
Ankrd13c	1662.714286	3235	0	0	0	2393	2463	3548	0
Naa35	1661.714286	2925	0	0	0	2507	2560	3640	0
Dstyk	1661.428571	2980	0	0	0	2512	2569	3569	0
Gpatch8	1658.571429	3273	0	0	0	2399	2469	3469	0
Rbm34	1658.285714	3256	0	0	0	2437	2527	3388	0
Rrp15	1657.285714	3147	0	0	0	2566	2508	3380	0
Sec13	1655.571429	3234	0	0	0	2531	2564	3260	0
Wdr36	1655.0	3305	0	0	0	2512	2490	3278	0
Bms1	1653.571429	2934	0	0	0	2661	2669	3311	0
Ap3s2	1652.285714	3227	0	0	0	2476	2522	3341	0
Med23	1652.142857	3350	0	0	0	2346	2443	3426	0
Xrcc5	1651.571429	2808	0	0	0	2602	2606	3545	0
Commd2	1651.571429	3257	0	0	0	2476	2566	3262	0
Pigc	1650.571429	3184	0	0	0	2482	2462	3426	0
4930558K02Rik	1650.571429	3184	0	0	0	2482	2462	3426	0
Rnaset2b	1650.285714	3017	0	0	0	2446	2474	3615	0
Rnaset2a	1650.285714	3017	0	0	0	2446	2474	3615	0
Pex3	1650.0	3295	0	0	0	2464	2495	3296	0
Adat2	1650.0	3295	0	0	0	2464	2495	3296	0
Sugct	1649.142857	3343	0	0	0	2395	2475	3331	0
Mplkip	1649.142857	3343	0	0	0	2395	2475	3331	0
Ube2j2	1647.571429	3373	0	0	0	2386	2374	3400	0
Zfp770	1645.571429	2988	0	0	0	2610	2561	3360	0
Acp2	1643.714286	3280	0	0	0	2408	2520	3298	0
Dnajc24	1642.714286	3035	0	0	0	2468	2587	3409	0
Chordc1	1642.714286	3196	0	0	0	2422	2523	3358	0
Trdmt1	1642.428571	2911	0	0	0	2584	2526	3476	0
Psmf1	1642.0	3238	0	0	0	2515	2491	3250	0
Gtf3c3	1642.0	3158	0	0	0	2517	2532	3287	0
Vamp1	1641.857143	3225	0	0	0	2409	2543	3316	0
Ptcd2	1641.142857	2760	0	0	0	2568	2602	3558	0
Mrps27	1641.142857	2760	0	0	0	2568	2602	3558	0
Tbc1d19	1640.571429	3170	0	0	0	2496	2529	3289	0
Tmem242	1640.428571	3268	0	0	0	2468	2458	3289	0
Slc39a6	1640.285714	3006	0	0	0	2486	2569	3421	0
Elp2	1640.285714	3006	0	0	0	2486	2569	3421	0
Psmg3	1640.142857	3289	0	0	0	2446	2503	3243	0
Etfbkmt	1640.142857	2939	0	0	0	2548	2583	3411	0
Polr1b	1639.571429	2878	0	0	0	2514	2561	3524	0
Eefsec	1639.428571	2899	0	0	0	2554	2589	3434	0
Stx18	1639.0	3215	0	0	0	2479	2538	3241	0
Cpsf1	1638.142857	3327	0	0	0	2349	2396	3395	0
Ssbp1	1636.857143	2865	0	0	0	2563	2574	3456	0
Nudt15	1636.857143	3218	0	0	0	2501	2411	3328	0
Lsg1	1636.571429	3245	0	0	0	2470	2467	3274	0
Pcmt1	1636.142857	3106	0	0	0	2455	2507	3385	0
Nup43	1636.142857	3106	0	0	0	2455	2507	3385	0
Tut1	1634.0	3232	0	0	0	2401	2442	3363	0
Trp53rka	1634.0	3260	0	0	0	2479	2484	3215	0
Yipf2	1633.714286	3329	0	0	0	2399	2410	3298	0
Timm29	1633.714286	3329	0	0	0	2399	2410	3298	0
Blcap	1633.0	3249	0	0	0	2412	2538	3232	0
Dffb	1632.428571	3189	0	0	0	2469	2500	3269	0
Cep104	1632.428571	3189	0	0	0	2469	2500	3269	0
Mbtps2	1632.0	2805	0	0	0	2599	2610	3410	0
Polr3b	1631.714286	3199	0	0	0	2469	2436	3318	0
Cpped1	1631.714286	3146	0	0	0	2454	2491	3331	0
Trp53rkb	1629.0	3298	0	0	0	2466	2445	3194	0
Ndufaf7	1628.428571	3057	0	0	0	2488	2454	3400	0
Cebpz	1628.428571	3057	0	0	0	2488	2454	3400	0
Sppl2a	1626.857143	2772	0	0	0	2605	2539	3472	0
Zfp606	1626.714286	2934	0	0	0	2530	2400	3523	0
Slc15a4	1624.0	3169	0	0	0	2403	2489	3307	0
Cstf2t	1622.142857	3267	0	0	0	2398	2453	3237	0
Mrpl20	1621.428571	3268	0	0	0	2371	2392	3319	0
Kctd5	1620.428571	3207	0	0	0	2438	2487	3211	0
Spout1	1619.571429	3294	0	0	0	2378	2416	3249	0
Ddx55	1619.142857	3089	0	0	0	2433	2462	3350	0
Champ1	1618.428571	3238	0	0	0	2436	2420	3235	0
Vps45	1617.714286	2990	0	0	0	2447	2562	3325	0
Usp30	1617.428571	3279	0	0	0	2403	2423	3217	0
Tex38	1616.428571	2741	0	0	0	2541	2559	3474	0
Atpaf1	1616.428571	2741	0	0	0	2541	2559	3474	0
Mnat1	1615.571429	3105	0	0	0	2535	2575	3094	0
Fam8a1	1615.285714	3198	0	0	0	2456	2448	3205	0
B4galt7	1615.285714	3193	0	0	0	2419	2468	3227	0
Psmg1	1614.571429	2777	0	0	0	2517	2529	3479	0
Srp19	1614.285714	3271	0	0	0	2389	2409	3231	0
Sdhaf3	1614.0	2764	0	0	0	2528	2532	3474	0
Coq3	1613.428571	2902	0	0	0	2620	2540	3232	0
Haus6	1612.0	3207	0	0	0	2433	2410	3234	0
Ddx56	1611.571429	3334	0	0	0	2393	2374	3180	0
Tma16	1611.428571	3157	0	0	0	2379	2540	3204	0
Slc39a13	1611.428571	3290	0	0	0	2391	2385	3214	0
Dmap1	1611.428571	3110	0	0	0	2395	2521	3254	0
Drg2	1610.714286	3327	0	0	0	2343	2384	3221	0
Mettl9	1609.571429	3240	0	0	0	2443	2462	3122	0
Pigq	1609.285714	3134	0	0	0	2418	2540	3173	0
Nhlrc4	1609.285714	3134	0	0	0	2418	2540	3173	0
Ddx1	1608.428571	3109	0	0	0	2456	2497	3197	0
Rab23	1608.0	3003	0	0	0	2427	2535	3291	0
Snrpd3	1607.714286	3244	0	0	0	2360	2426	3224	0
Gucd1	1607.714286	3244	0	0	0	2360	2426	3224	0
Parp11	1607.285714	2541	0	0	0	2589	2645	3476	0
Stmn3	1606.142857	3161	0	0	0	2430	2451	3201	0
Rtel1	1606.142857	3161	0	0	0	2430	2451	3201	0
Fcsk	1605.428571	2746	0	0	0	2406	2541	3545	0
Cluap1	1604.857143	3296	0	0	0	2338	2340	3260	0
1700037C18Rik	1604.857143	3296	0	0	0	2338	2340	3260	0
Ndufb3	1604.142857	3294	0	0	0	2284	2359	3292	0
Fam126b	1604.142857	3294	0	0	0	2284	2359	3292	0
Fbxw8	1603.571429	3170	0	0	0	2385	2472	3198	0
Psph	1602.857143	3243	0	0	0	2359	2358	3260	0
Cct6a	1602.857143	3243	0	0	0	2359	2358	3260	0
Fyco1	1601.714286	3000	0	0	0	2339	2437	3436	0
Smg8	1599.285714	3192	0	0	0	2401	2484	3118	0
Taco1	1598.714286	3287	0	0	0	2365	2351	3188	0
Fam149b	1598.714286	3109	0	0	0	2411	2437	3234	0
Ecd	1598.714286	3109	0	0	0	2411	2437	3234	0
Appl2	1598.571429	2992	0	0	0	2414	2454	3330	0
Pdss1	1598.428571	3029	0	0	0	2467	2460	3233	0
Vwa8	1597.142857	2957	0	0	0	2555	2457	3211	0
Lrrc49	1596.857143	2844	0	0	0	2480	2574	3280	0
Gtse1	1596.857143	3174	0	0	0	2381	2440	3183	0
Mtbp	1596.571429	3295	0	0	0	2360	2347	3174	0
Mrpl13	1596.571429	3295	0	0	0	2360	2347	3174	0
Hspa5	1596.285714	2908	0	0	0	2471	2493	3302	0
Stpg3	1595.714286	2894	0	0	0	2475	2497	3304	0
Nelfb	1595.714286	2894	0	0	0	2475	2497	3304	0
Rttn	1595.285714	3141	0	0	0	2352	2387	3287	0
Sf3a3	1594.571429	3198	0	0	0	2338	2361	3265	0
Dus1l	1594.285714	3240	0	0	0	2382	2388	3150	0
Hdac8	1593.571429	3060	0	0	0	2300	2273	3522	0
Ptpn21	1591.857143	3143	0	0	0	2398	2429	3173	0
Gtf3c5	1590.714286	3208	0	0	0	2351	2393	3183	0
1110051M20Rik	1590.0	3200	0	0	0	2428	2436	3066	0
Ube2g2	1588.571429	2726	0	0	0	2499	2507	3388	0
Zfp13	1588.0	3065	0	0	0	2437	2410	3204	0
Zc3hc1	1587.857143	2560	0	0	0	2535	2533	3487	0
Ttc26	1587.285714	3342	0	0	0	2288	2279	3202	0
Tars2	1587.0	3201	0	0	0	2307	2387	3214	0
Neu3	1587.0	3026	0	0	0	2418	2493	3172	0
Fra10ac1	1586.142857	3129	0	0	0	2389	2452	3133	0
Acsf3	1585.714286	3171	0	0	0	2395	2456	3078	0
Acbd6	1585.714286	3116	0	0	0	2470	2432	3082	0
Nop16	1584.857143	3133	0	0	0	2310	2395	3256	0
Higd2a	1584.857143	3133	0	0	0	2310	2395	3256	0
Zer1	1584.571429	3254	0	0	0	2345	2343	3150	0
Zfp11	1584.428571	3238	0	0	0	2339	2419	3095	0
Nol12	1583.571429	3113	0	0	0	2386	2427	3159	0
Ints14	1583.285714	3007	0	0	0	2348	2482	3246	0
Slc35a3	1582.0	2958	0	0	0	2460	2431	3225	0
Zpbp	1581.714286	2855	0	0	0	2470	2436	3311	0
Spata48	1581.714286	2855	0	0	0	2470	2436	3311	0
Stx16	1580.428571	3216	0	0	0	2333	2430	3084	0
Dcaf10	1580.285714	3091	0	0	0	2406	2420	3145	0
Tep1	1579.714286	2932	0	0	0	2427	2505	3194	0
Mettl15	1578.142857	2569	0	0	0	2565	2552	3361	0
Kif18a	1578.142857	2569	0	0	0	2565	2552	3361	0
Ppip5k2	1577.714286	2985	0	0	0	2393	2446	3220	0
Gin1	1577.714286	2985	0	0	0	2393	2446	3220	0
Cnpy3	1577.428571	3108	0	0	0	2296	2385	3253	0
Atp2b4	1577.142857	2360	0	0	0	2624	2424	3632	0
Zfp119a	1576.428571	2986	0	0	0	2325	2313	3411	0
Mrpl16	1576.285714	2600	0	0	0	2511	2471	3452	0
Utp3	1575.571429	3222	0	0	0	2255	2222	3330	0
Tmem41b	1575.428571	2868	0	0	0	2365	2535	3260	0
Rfx7	1574.428571	2614	0	0	0	2523	2454	3430	0
Rpl29	1574.285714	2965	0	0	0	2406	2445	3204	0
Edc4	1573.714286	3161	0	0	0	2375	2449	3031	0
Med17	1572.857143	2811	0	0	0	2402	2485	3312	0
Ndufs1	1571.714286	3227	0	0	0	2240	2362	3173	0
Eef1b2	1571.714286	3227	0	0	0	2240	2362	3173	0
Pde6d	1571.0	3225	0	0	0	2372	2420	2980	0
Cops7b	1571.0	3225	0	0	0	2372	2420	2980	0
Rbck1	1570.285714	3017	0	0	0	2415	2393	3167	0
Mettl17	1570.0	2828	0	0	0	2490	2494	3178	0
2310057M21Rik	1568.428571	2949	0	0	0	2456	2448	3126	0
Cops4	1568.0	2970	0	0	0	2385	2459	3162	0
Isy1	1566.428571	2838	0	0	0	2392	2479	3256	0
Tbc1d13	1565.714286	3066	0	0	0	2341	2416	3137	0
Chchd2	1564.714286	3173	0	0	0	2337	2370	3073	0
Supt5	1562.0	2688	0	0	0	2480	2453	3313	0
Dhx33	1561.857143	3130	0	0	0	2389	2346	3068	0
Cacybp	1561.571429	3027	0	0	0	2352	2406	3146	0
Itgb3bp	1561.142857	3219	0	0	0	2238	2225	3246	0
Efcab7	1561.142857	3219	0	0	0	2238	2225	3246	0
Dhodh	1561.142857	3143	0	0	0	2360	2354	3071	0
Prkacb	1560.571429	2833	0	0	0	2441	2502	3148	0
Wdr24	1560.428571	2901	0	0	0	2406	2486	3130	0
Tmem68	1558.857143	3100	0	0	0	2227	2200	3385	0
Tgs1	1558.857143	3100	0	0	0	2227	2200	3385	0
Dnttip2	1558.571429	2739	0	0	0	2589	2627	2955	0
Wdr25	1558.285714	3098	0	0	0	2285	2361	3164	0
Wars	1558.285714	3098	0	0	0	2285	2361	3164	0
Otud7b	1557.571429	2865	0	0	0	2375	2493	3170	0
Rbbp5	1557.428571	3077	0	0	0	2443	2466	2916	0
Mrps31	1557.142857	3188	0	0	0	2270	2400	3042	0
Wdr11	1555.857143	3003	0	0	0	2353	2424	3111	0
Vps51	1555.857143	3050	0	0	0	2377	2433	3031	0
Tmem262	1555.857143	3050	0	0	0	2377	2433	3031	0
Vpreb1	1555.571429	3102	0	0	0	2318	2378	3091	0
Top3b	1555.571429	3102	0	0	0	2318	2378	3091	0
Cep135	1555.428571	2269	0	0	0	2574	2543	3502	0
Rnf6	1553.285714	2887	0	0	0	2334	2490	3162	0
Atp6v0a1	1551.285714	2533	0	0	0	2517	2388	3421	0
Tbp	1550.857143	2788	0	0	0	2438	2460	3170	0
Psmb1	1550.857143	2788	0	0	0	2438	2460	3170	0
Itgb1bp1	1550.857143	2295	0	0	0	2570	2475	3516	0
Fem1b	1550.857143	3083	0	0	0	2386	2378	3009	0
Cpsf3	1550.857143	2295	0	0	0	2570	2475	3516	0
Psd	1550.571429	3178	0	0	0	2227	2372	3077	0
Fbxl15	1550.571429	3178	0	0	0	2227	2372	3077	0
Dbr1	1550.571429	2397	0	0	0	2523	2408	3526	0
Slc44a1	1550.0	2880	0	0	0	2313	2416	3241	0
Trpm7	1549.428571	2797	0	0	0	2393	2393	3263	0
Supt7l	1549.142857	3183	0	0	0	2236	2292	3133	0
Slc4a1ap	1549.142857	3183	0	0	0	2236	2292	3133	0
Slc39a3	1549.142857	3182	0	0	0	2298	2334	3030	0
Tbc1d7	1548.857143	3145	0	0	0	2303	2285	3109	0
Bbs1	1546.428571	3093	0	0	0	2348	2350	3034	0
9430015G10Rik	1546.285714	2608	0	0	0	2197	2398	3621	0
Nfkbil1	1546.142857	3073	0	0	0	2278	2342	3130	0
Atp6v1g2	1546.142857	3073	0	0	0	2278	2342	3130	0
Trub2	1545.142857	3143	0	0	0	2300	2338	3035	0
Yy1	1544.857143	2748	0	0	0	2456	2475	3135	0
Nxt2	1543.571429	2266	0	0	0	2632	2289	3618	0
Uspl1	1543.428571	3175	0	0	0	2258	2328	3043	0
Tspan10	1543.142857	3081	0	0	0	2280	2351	3090	0
Nploc4	1543.142857	3081	0	0	0	2280	2351	3090	0
Dad1	1543.0	3054	0	0	0	2296	2389	3062	0
Abhd4	1543.0	3054	0	0	0	2296	2389	3062	0
Dnajb6	1542.285714	2287	0	0	0	2565	2422	3522	0
Srek1ip1	1542.142857	2867	0	0	0	2425	2445	3058	0
Cwc27	1542.142857	2867	0	0	0	2425	2445	3058	0
Nudt13	1541.714286	2691	0	0	0	2130	2346	3625	0
Eif4e2	1541.428571	2965	0	0	0	2365	2389	3071	0
Rnf185	1541.0	3045	0	0	0	2298	2373	3071	0
Hemk1	1540.714286	3122	0	0	0	2250	2377	3036	0
6430571L13Rik	1540.714286	3122	0	0	0	2250	2377	3036	0
Eif1b	1539.571429	2590	0	0	0	2468	2432	3287	0
Rexo4	1538.571429	3267	0	0	0	2139	2214	3150	0
Ogfod2	1538.0	3089	0	0	0	2381	2315	2981	0
Arl6ip4	1538.0	3089	0	0	0	2381	2315	2981	0
Bag6	1537.857143	3114	0	0	0	2307	2345	2999	0
Apom	1537.857143	3114	0	0	0	2307	2345	2999	0
Snap47	1536.285714	2888	0	0	0	2284	2404	3178	0
Jmjd4	1536.285714	2888	0	0	0	2284	2404	3178	0
Cdc16	1536.0	3045	0	0	0	2232	2405	3070	0
Spdl1	1534.714286	2324	0	0	0	2455	2474	3490	0
Rps7	1534.714286	3109	0	0	0	2268	2356	3010	0
Ndufaf1	1534.571429	2996	0	0	0	2259	2365	3122	0
H3f3c	1534.571429	2996	0	0	0	2259	2365	3122	0
Rad54l2	1533.571429	3118	0	0	0	2326	2340	2951	0
Slc35a1	1532.142857	2214	0	0	0	2499	2501	3511	0
Map2k5	1532.142857	3144	0	0	0	2241	2253	3087	0
Mars2	1532.0	2446	0	0	0	2500	2476	3302	0
Zfp959	1531.857143	2875	0	0	0	2294	2333	3221	0
Mlec	1530.142857	2871	0	0	0	2319	2379	3142	0
Trmu	1528.428571	2937	0	0	0	2225	2425	3112	0
Zbtb49	1528.142857	2342	0	0	0	2443	2445	3467	0
Lyar	1528.142857	2342	0	0	0	2443	2445	3467	0
Cnot10	1528.0	3183	0	0	0	2175	2310	3028	0
Nsfl1c	1527.571429	3149	0	0	0	2151	2243	3150	0
Pabpc6	1526.857143	2263	0	0	0	2496	2392	3537	0
Klhdc4	1526.857143	3176	0	0	0	2227	2171	3114	0
Bloc1s6	1526.571429	2881	0	0	0	2312	2172	3321	0
4930453N24Rik	1525.285714	2947	0	0	0	2349	2398	2983	0
Ccdc91	1524.571429	3105	0	0	0	2207	2287	3073	0
Sar1b	1524.0	3024	0	0	0	2317	2350	2977	0
Csf3r	1523.428571	2267	0	0	0	2542	2411	3444	0
Gtf2h2	1523.142857	2848	0	0	0	2379	2377	3058	0
Ybey	1522.428571	2938	0	0	0	2265	2392	3062	0
Mcm3ap	1522.428571	2938	0	0	0	2265	2392	3062	0
Alkbh3	1522.0	3103	0	0	0	2240	2350	2961	0
Scnn1a	1520.142857	2278	0	0	0	2558	2341	3464	0
Mrpl48	1519.285714	2832	0	0	0	2357	2398	3048	0
Plekhm3	1518.0	2311	0	0	0	2451	2446	3418	0
Aar2	1517.857143	3036	0	0	0	2318	2396	2875	0
Nudt5	1517.0	2795	0	0	0	2377	2359	3088	0
Cdc123	1517.0	2795	0	0	0	2377	2359	3088	0
Pcyt1a	1516.714286	2245	0	0	0	2395	2506	3471	0
Uba5	1516.142857	3183	0	0	0	2160	2270	3000	0
Acad11	1516.142857	3183	0	0	0	2160	2270	3000	0
Wbp1	1514.142857	3001	0	0	0	2317	2375	2906	0
Ino80b	1514.142857	3001	0	0	0	2317	2375	2906	0
Arl13b	1513.0	1948	0	0	0	2593	2475	3575	0
Nbn	1512.142857	2422	0	0	0	2445	2444	3274	0
Rgl2	1510.714286	3099	0	0	0	2255	2334	2887	0
Ccnc	1508.571429	2074	0	0	0	2540	2519	3427	0
Ccdc57	1508.428571	3119	0	0	0	2268	2217	2955	0
Ppil3	1507.571429	3078	0	0	0	2163	2246	3066	0
Nif3l1	1507.571429	3078	0	0	0	2163	2246	3066	0
Pemt	1507.285714	3172	0	0	0	2138	2197	3044	0
Cox16	1506.0	2123	0	0	0	2530	2549	3340	0
Mrpl21	1503.571429	3126	0	0	0	2162	2227	3010	0
Ighmbp2	1503.571429	3126	0	0	0	2162	2227	3010	0
Ankrd40	1503.0	3018	0	0	0	2277	2305	2921	0
Tstd2	1502.571429	2136	0	0	0	2575	2270	3537	0
Ncbp1	1502.571429	2136	0	0	0	2575	2270	3537	0
Zc3h11a	1501.857143	2187	0	0	0	2528	2556	3242	0
Zbed6	1501.857143	2187	0	0	0	2528	2556	3242	0
Nmnat1	1501.142857	2928	0	0	0	2249	2346	2985	0
Lzic	1501.142857	2928	0	0	0	2249	2346	2985	0
Brf2	1500.428571	3043	0	0	0	2242	2319	2899	0
Actl6a	1500.428571	2868	0	0	0	2315	2289	3031	0
Pcid2	1500.0	3032	0	0	0	2214	2363	2891	0
Cul4a	1500.0	3032	0	0	0	2214	2363	2891	0
Dhrs7b	1499.571429	2857	0	0	0	2279	2295	3066	0
Rundc1	1499.142857	2697	0	0	0	2282	2435	3080	0
Ptges3l	1499.142857	2697	0	0	0	2282	2435	3080	0
Tescl	1496.142857	2231	0	0	0	2481	2406	3355	0
Zfp623	1496.0	2488	0	0	0	2309	2309	3366	0
Zbtb45	1495.857143	3026	0	0	0	2209	2324	2912	0
Ccz1	1494.857143	2910	0	0	0	2250	2343	2961	0
Nol6	1493.285714	2284	0	0	0	2446	2406	3317	0
Mrpl58	1493.285714	3039	0	0	0	2264	2279	2871	0
Fam227b	1493.142857	2554	0	0	0	2406	2380	3112	0
Dtwd1	1493.142857	2554	0	0	0	2406	2380	3112	0
Jrk	1493.0	2783	0	0	0	2239	2364	3065	0
Mtmr9	1492.142857	2914	0	0	0	2247	2274	3010	0
Stard3	1492.0	3032	0	0	0	2156	2235	3021	0
2700062C07Rik	1491.285714	2959	0	0	0	2256	2352	2872	0
Vmp1	1488.857143	2575	0	0	0	2217	2394	3236	0
Ptrh2	1488.857143	2575	0	0	0	2217	2394	3236	0
Plekha5	1487.571429	1918	0	0	0	2467	2419	3609	0
Tmem127	1487.428571	2477	0	0	0	2353	2396	3186	0
Ciao1	1487.428571	2477	0	0	0	2353	2396	3186	0
Sh2b2	1486.428571	2517	0	0	0	2310	2191	3387	0
Metrn	1485.0	3000	0	0	0	2230	2345	2820	0
Antkmt	1485.0	3000	0	0	0	2230	2345	2820	0
Zdhhc6	1484.428571	3040	0	0	0	2124	2161	3066	0
Vti1a	1484.428571	3040	0	0	0	2124	2161	3066	0
Fibp	1483.714286	2783	0	0	0	2323	2382	2898	0
Ccdc85b	1483.714286	2783	0	0	0	2323	2382	2898	0
Ncbp2	1483.428571	2349	0	0	0	2368	2479	3188	0
0610012G03Rik	1483.428571	2349	0	0	0	2368	2479	3188	0
Mtif2	1482.857143	2654	0	0	0	2294	2343	3089	0
Pih1d2	1481.857143	3094	0	0	0	2108	2187	2984	0
Nkapd1	1481.857143	3094	0	0	0	2108	2187	2984	0
Mphosph10	1479.857143	2828	0	0	0	2137	2227	3167	0
Mcee	1479.857143	2828	0	0	0	2137	2227	3167	0
Tmem186	1479.428571	2657	0	0	0	2331	2263	3105	0
Pmm2	1479.428571	2657	0	0	0	2331	2263	3105	0
Nol8	1478.857143	2831	0	0	0	2191	2219	3111	0
Cenpp	1478.857143	2831	0	0	0	2191	2219	3111	0
Vps25	1478.714286	2957	0	0	0	2244	2273	2877	0
Zfp408	1478.142857	3168	0	0	0	2064	2136	2979	0
Arhgap1	1478.142857	3168	0	0	0	2064	2136	2979	0
Ndufc2	1474.285714	2658	0	0	0	2478	2451	2733	0
Txnl4b	1474.0	2935	0	0	0	2134	2250	2999	0
Dhx38	1474.0	2935	0	0	0	2134	2250	2999	0
Rnaseh2b	1473.857143	2319	0	0	0	2395	2161	3442	0
Tmem101	1473.428571	3084	0	0	0	2048	2230	2952	0
Pus10	1473.285714	2937	0	0	0	2181	2201	2994	0
Sec23a	1471.571429	2600	0	0	0	2323	2401	2977	0
Gemin2	1471.571429	2600	0	0	0	2323	2401	2977	0
Rdh14	1471.428571	1969	0	0	0	2516	2350	3465	0
Ndufs3	1471.0	2975	0	0	0	2205	2299	2818	0
Kbtbd4	1471.0	2975	0	0	0	2205	2299	2818	0
Bcat2	1471.0	2294	0	0	0	2436	2340	3227	0
Cfap44	1470.142857	2018	0	0	0	2466	2262	3545	0
Srrt	1469.285714	2080	0	0	0	2497	2430	3278	0
Timm9	1467.285714	2703	0	0	0	2320	2263	2985	0
2700049A03Rik	1467.285714	2703	0	0	0	2320	2263	2985	0
Gpaa1	1466.0	3041	0	0	0	2119	2254	2848	0
Exosc4	1466.0	3041	0	0	0	2119	2254	2848	0
Tmco1	1463.714286	2255	0	0	0	2373	2214	3404	0
Amz2	1463.0	2807	0	0	0	2124	2195	3115	0
Adck1	1460.857143	2732	0	0	0	1970	1887	3637	0
Pgap3	1456.285714	2969	0	0	0	2059	2050	3116	0
Ints12	1456.285714	2795	0	0	0	2248	2361	2790	0
Gstcd	1456.285714	2795	0	0	0	2248	2361	2790	0
Ggact	1454.714286	1914	0	0	0	2466	2439	3364	0
Fam168a	1454.428571	1915	0	0	0	2475	2458	3333	0
Yju2	1450.857143	2927	0	0	0	2206	2277	2746	0
Rag2	1450.0	2464	0	0	0	2285	2204	3197	0
Iftap	1450.0	2464	0	0	0	2285	2204	3197	0
Lig4	1448.571429	2211	0	0	0	2331	2420	3178	0
Abhd13	1448.571429	2211	0	0	0	2331	2420	3178	0
