Target_genes	Egr2|Average	SRX270569|CD4+_T_cells	SRX270570|CD4+_T_cells	SRX6491107|CD8+_T_cells	SRX122432|Dendritic_Cells	SRX122433|Dendritic_Cells	SRX122434|Dendritic_Cells	SRX122435|Dendritic_Cells	SRX8379010|Macrophages	SRX8379011|Macrophages	SRX8379012|Macrophages	SRX8379013|Macrophages	SRX8379014|Macrophages	SRX8379015|Macrophages	SRX9311757|Macrophages	SRX9311758|Macrophages	SRX9311759|Macrophages	SRX9311760|Macrophages	SRX9311761|Macrophages	SRX9311762|Macrophages	SRX9311763|Macrophages	SRX9311764|Macrophages	SRX9311765|Macrophages	SRX9311766|Macrophages	SRX9311767|Macrophages	SRX9311768|Macrophages	SRX9311769|Macrophages	SRX9311770|Macrophages	SRX9311771|Macrophages	SRX9311772|Macrophages	SRX9311773|Macrophages	SRX9311774|Macrophages	SRX9311775|Macrophages	SRX9311776|Macrophages	SRX9311777|Macrophages	SRX9311778|Macrophages	SRX9311779|Macrophages	SRX9311780|Macrophages	SRX110637|Natural_Killer_T-Cells	SRX110636|Thymocytes	SRX329255|T_cells	SRX329256|T_cells	SRX329257|T_cells	STRING
Anks3	1063.904762	2479	3428	0	0	0	0	0	0	0	0	0	969	1266	2405	1585	1185	2230	1859	2695	2745	2186	2601	664	3117	860	1838	0	3074	418	315	0	929	332	744	0	2959	1801	0	0	0	0	0	0
4930451G09Rik	1063.904762	2479	3428	0	0	0	0	0	0	0	0	0	969	1266	2405	1585	1185	2230	1859	2695	2745	2186	2601	664	3117	860	1838	0	3074	418	315	0	929	332	744	0	2959	1801	0	0	0	0	0	0
Dynlt1f	1058.857143	3204	3676	0	0	0	0	0	0	85	405	0	847	568	2643	2222	1389	2495	1583	2816	2751	2011	3110	2345	3004	2499	2235	138	2397	922	0	0	105	0	346	0	409	204	0	63	0	0	0	0
Dynlt1c	1058.857143	3204	3676	0	0	0	0	0	0	85	405	0	847	568	2643	2222	1389	2495	1583	2816	2751	2011	3110	2345	3004	2499	2235	138	2397	922	0	0	105	0	346	0	409	204	0	63	0	0	0	0
Rasgef1b	1052.738095	3185	3340	182	0	0	0	0	0	76	452	0	865	831	2444	2115	1253	1957	1943	2082	2378	1990	2741	700	2634	740	1990	0	2487	462	619	0	1266	406	1544	0	2623	750	0	160	0	0	0	0
Mtrf1l	1038.97619	3977	3920	141	0	0	0	0	0	0	486	0	1409	1052	2232	1936	1292	2367	1691	2649	2513	2327	2573	937	2840	886	1524	211	2690	530	0	0	448	167	621	0	1440	474	0	0	0	0	304	0
Hmgn2	1038.714286	1770	1809	0	0	0	0	0	0	0	247	0	610	886	2422	2526	1009	1647	1159	1453	2573	2443	2323	1322	2848	943	2395	255	2757	723	725	0	1462	752	1908	257	2734	1668	0	0	0	0	0	0
Akap11	1037.880952	1737	2021	151	0	0	0	0	145	0	773	107	974	805	1797	2265	1344	1476	1091	1804	2311	2245	2568	1000	3200	1066	2423	143	3000	624	752	0	1360	429	1722	122	2876	1058	0	202	0	0	0	0
Ier2	1037.190476	3050	2515	0	0	0	0	0	0	0	268	0	898	704	2249	1959	1246	2137	1640	2417	2390	1857	2433	1424	2648	808	1937	200	2587	480	535	135	1240	577	1404	79	2412	1122	0	0	0	0	211	0
Kcnn1	993.404762	2165	2690	155	0	0	0	0	0	0	161	0	400	468	1731	1705	642	1895	1013	2812	2357	2216	2854	1684	3232	1972	1189	212	2229	486	336	57	1052	743	762	158	2946	1401	0	0	0	0	0	0
Ptp4a2	989.404762	2141	3202	0	0	0	0	0	0	0	203	0	1328	906	2195	1518	1083	2026	1765	2614	2256	2115	2397	750	2784	886	1910	0	2726	507	376	0	1327	382	533	0	2369	1109	0	0	0	0	147	0
Vamp4	985.357143	2132	2773	0	0	0	0	0	0	0	368	0	1063	504	1937	1890	1497	2022	2031	2420	2091	2065	2450	721	2837	865	1960	98	2647	742	639	0	1451	381	542	0	2329	930	0	0	0	0	0	0
Ube3a	985.333333	2889	2875	99	0	0	0	0	0	0	188	0	529	844	2153	1919	883	2050	1617	2601	2457	2039	2692	924	2540	768	1855	96	2492	577	308	0	1075	337	717	105	2359	1274	0	0	0	0	122	0
Setx	981.261905	2086	2718	141	0	0	0	0	0	0	189	0	741	642	2246	2011	1095	2134	1772	2689	2653	2037	2255	564	2717	776	1668	0	2793	440	397	0	1085	439	799	65	2569	1245	0	0	0	0	247	0
Eif4a1	981.238095	1823	2588	151	0	0	0	0	0	0	0	0	1012	1012	1861	1380	934	1576	1732	2451	2211	1879	2449	1177	2997	1228	2027	129	2777	669	386	0	1361	457	666	0	2929	1350	0	0	0	0	0	0
Them4	980.380952	3705	2705	123	0	0	0	0	0	0	182	0	812	961	2217	1716	914	1907	1441	2984	2759	2002	2641	855	3069	842	2121	0	2917	461	380	0	955	280	431	0	1210	382	0	0	0	0	204	0
P4ha1	968.619048	2337	2862	176	0	0	0	0	0	0	144	0	756	623	2319	1936	1286	2157	2039	2622	2441	2249	2410	824	2627	718	1640	81	2628	537	314	0	1070	400	610	0	2185	691	0	0	0	0	0	0
D10Wsu102e	967.52381	3737	3510	112	0	0	114	0	0	0	387	0	793	612	2089	1584	991	1832	1551	2732	2628	1800	2120	827	2552	551	1701	77	2567	398	577	0	1074	266	674	0	1996	426	0	131	0	0	227	0
Sytl3	965.52381	2777	3301	0	0	0	0	0	0	0	237	0	573	568	2338	2033	1323	2189	1396	2660	2342	2011	2951	2345	2975	2499	1949	116	1983	922	0	0	105	0	346	0	409	204	0	0	0	0	0	0
Pisd	954.642857	2715	2543	0	0	0	0	0	0	0	239	0	611	780	2278	1587	903	2179	1431	2737	2686	1865	2060	805	2668	808	1843	0	2593	610	494	0	969	408	729	0	2352	1089	0	0	0	0	113	0
Pogz	953.309524	2012	1863	0	0	0	0	0	0	0	367	0	957	458	1744	1497	993	1364	1306	1977	2204	2031	2429	1396	2848	1105	2338	147	2863	821	774	0	1397	493	792	101	2499	1263	0	0	0	0	0	0
Smim14	952.952381	2389	3139	133	0	0	0	0	0	0	335	0	1033	756	2190	1678	1131	1727	1650	1946	2283	1994	2008	1112	2430	989	1964	177	2412	612	445	0	897	280	1079	0	2206	1029	0	0	0	0	0	0
Stim2	952.595238	2871	3369	126	0	0	218	0	0	0	373	0	830	248	1892	1603	782	1990	1026	2319	2077	1929	1987	1179	2166	1134	1744	362	2349	698	480	0	1333	600	781	120	1920	1056	0	103	0	0	344	0
Ilf3	947.166667	2679	3389	91	0	0	0	0	0	0	323	0	1251	421	2251	1516	762	1545	1256	1981	2542	2063	2113	775	2746	826	1831	0	2816	616	354	0	1050	336	779	0	2451	913	0	0	0	0	105	0
Pim3	945.214286	2273	2502	84	0	0	0	0	0	0	380	0	741	636	1992	1930	1298	2000	1870	2304	1959	1824	2320	1140	2364	930	1558	116	2359	665	361	0	1373	494	845	115	2294	972	0	0	0	0	0	0
Usp28	943.738095	2581	2621	168	0	123	235	0	0	0	404	0	1415	751	1825	1704	989	1838	1682	2308	2093	1955	2341	717	2369	843	1653	142	2328	429	452	71	1197	321	710	0	2413	959	0	0	0	0	0	0
Tcstv3	933.404762	1324	900	239	289	231	381	193	0	588	0	511	0	1182	0	1585	2381	1616	1678	2077	0	1501	2322	557	1832	175	2228	215	2242	0	2632	392	2271	295	1536	0	1902	0	886	918	983	528	613	0
Mief1	924.166667	2942	3802	0	0	0	0	0	0	0	0	0	535	866	2515	1602	795	2057	1478	2671	2911	1872	1688	722	2639	690	1352	74	2364	368	326	103	764	222	527	0	2107	823	0	0	0	0	0	0
Klf3	921.380952	0	0	0	0	0	0	0	0	0	574	0	1841	262	1658	1966	1514	1683	2018	1991	2033	2211	2542	987	2837	1041	2295	99	2853	711	554	75	1370	638	1119	0	2674	1152	0	0	0	0	0	0
Eepd1	918.952381	499	775	0	0	0	0	0	0	0	225	0	1064	698	2310	1531	923	1793	1659	2359	2742	2470	2432	1171	3304	854	2320	121	3169	496	400	0	1202	461	433	0	2279	906	0	0	0	0	0	0
Kdm2a	903.166667	469	556	0	0	0	0	0	0	0	302	0	1325	337	1763	1927	1356	1410	1874	1568	1933	2133	2259	1399	2522	1237	2270	234	2475	795	823	115	1397	619	1354	75	2199	1207	0	0	0	0	0	0
Atp2b1	892.595238	1439	2002	284	0	0	0	0	0	0	500	0	1768	277	1727	1215	1346	1424	1871	1803	1866	1658	2221	1109	2227	1130	1976	122	2262	474	497	0	1475	633	948	0	2120	1115	0	0	0	0	0	0
Synpo	891.309524	363	193	0	0	0	0	0	0	100	280	140	671	711	2075	1731	1061	1711	1453	2730	2550	1718	2526	1171	2741	1082	2212	246	2410	503	567	117	1292	626	1092	124	2416	823	0	0	0	0	0	0
Actn1	890.761905	562	438	0	0	0	166	0	0	0	388	0	1080	505	1753	1814	1268	2142	1711	2346	1998	1774	2485	1276	2420	1121	1968	193	2407	889	714	111	1287	432	1062	159	2129	814	0	0	0	0	0	0
Phf13	890.452381	1562	2679	135	0	0	0	0	0	0	839	0	1455	599	1857	1584	1096	1469	1495	1944	1893	1658	2264	642	2347	780	1830	175	2247	681	488	0	1116	467	829	0	2403	865	0	0	0	0	0	0
Cebpa	889.97619	404	136	0	0	0	0	0	0	0	177	0	908	1181	2203	1737	1161	2105	2052	2370	1852	1982	2202	1162	2418	1032	1919	170	2367	848	564	0	1222	484	986	132	2283	1322	0	0	0	0	0	0
Icam1	888.785714	915	662	0	0	0	0	0	0	0	305	0	693	949	2032	1529	1266	1645	1590	2339	2382	1736	2322	1227	2462	821	1960	147	2448	480	453	0	1154	392	1334	158	2575	1353	0	0	0	0	0	0
Lcmt1	885.190476	3836	4154	0	0	0	157	0	0	0	219	0	800	563	1848	1200	620	1625	1011	2552	2546	1672	2072	792	2131	744	1368	0	2097	378	335	0	712	306	464	123	1897	787	0	0	0	0	169	0
Frmd6	882.452381	1505	2253	0	0	0	0	0	140	0	484	0	1013	449	1453	1919	985	1895	1453	2234	1799	2129	2505	768	2487	650	1938	157	2461	450	632	0	964	248	1132	0	2341	559	0	0	0	0	60	0
Rapgef6	882.0	3228	3046	241	0	0	0	0	0	0	239	0	644	642	2081	1405	1152	1854	1274	2372	2479	1798	2017	480	2274	323	1595	0	2181	373	276	0	782	267	824	0	2347	758	0	0	0	0	92	0
Oxct1	881.571429	2425	1905	0	0	0	0	0	0	0	339	0	591	657	2053	1612	1319	1794	1345	2441	2372	1560	2160	933	2778	725	1771	0	2410	463	188	0	844	311	774	0	2193	892	0	0	0	0	171	0
Ap5z1	874.52381	1927	2293	0	0	0	0	0	0	0	284	0	722	342	2237	1559	787	1929	1053	2753	2637	1847	1800	626	2337	486	1641	0	2215	525	344	0	987	430	1038	159	2543	1229	0	0	0	0	0	0
Tnfaip8l1	869.666667	2714	2953	0	0	0	0	0	0	0	257	0	843	732	2271	1504	615	2024	1158	2747	2875	2033	1890	537	2145	555	1224	0	2024	280	440	0	837	355	512	0	1995	1006	0	0	0	0	0	0
Pld2	867.571429	1390	1595	0	0	0	0	0	0	0	264	0	1112	336	2185	1817	1142	2063	1516	2574	2395	2042	2333	859	2555	983	1900	86	2373	584	203	0	771	377	670	0	1598	715	0	0	0	0	0	0
Ifitm6	865.452381	0	0	0	0	0	0	0	0	0	318	0	1263	147	1595	1717	1407	1746	2074	2604	2345	2201	2806	1479	2997	1572	2420	145	2960	999	0	0	83	0	619	0	2180	672	0	0	0	0	0	0
Cltc	864.02381	2604	3321	373	0	0	0	0	0	0	275	0	794	848	1834	1180	603	1275	1414	2120	2187	1576	1830	567	2745	602	1641	125	2686	295	273	0	893	358	460	0	2250	1015	0	0	0	0	145	0
Dusp2	862.190476	1437	1103	159	0	0	0	0	0	0	205	0	771	235	1764	1659	1081	1805	1601	2524	2183	2018	2410	596	2885	818	1983	0	2747	554	406	0	1221	421	579	0	2156	891	0	0	0	0	0	0
Astl	862.190476	1437	1103	159	0	0	0	0	0	0	205	0	771	235	1764	1659	1081	1805	1601	2524	2183	2018	2410	596	2885	818	1983	0	2747	554	406	0	1221	421	579	0	2156	891	0	0	0	0	0	0
Ccno	860.690476	1765	2273	0	0	0	0	0	0	0	182	0	519	800	2211	1606	917	1891	1404	2764	2676	2124	2101	560	2852	766	1301	0	2399	569	426	0	1290	483	0	0	1536	533	0	0	0	0	201	0
P4hb	859.833333	2955	3552	0	0	0	0	0	0	0	151	0	880	615	1817	1347	612	1161	1151	1418	2180	1731	2131	619	2707	788	1802	119	2470	562	217	0	971	179	687	0	2426	865	0	0	0	0	0	0
Clp1	859.833333	3149	2246	0	0	0	0	0	0	0	237	0	792	762	2205	1600	795	1626	1307	2777	2909	2045	877	0	1523	298	1534	122	2671	597	168	0	640	119	760	63	2781	1510	0	0	0	0	0	0
Fam3c	856.309524	2277	3153	0	0	0	0	0	0	0	441	0	444	467	1857	1385	908	1442	1175	1567	2274	1523	1883	462	2917	485	1906	95	2727	237	258	0	929	214	1159	79	2656	967	0	78	0	0	0	0
Tusc3	855.095238	2513	2122	0	170	0	0	0	0	0	481	0	853	194	1462	1910	913	1910	1190	2613	2029	1642	1807	532	2322	572	1777	167	2456	369	492	0	915	346	1097	192	1758	826	0	139	0	0	145	0
Rasip1	851.666667	2104	2545	0	0	0	0	0	0	0	580	0	944	470	2230	1827	896	1427	977	1206	2704	1771	1988	557	2200	450	1589	200	2048	280	558	0	1089	305	1292	110	1879	1020	447	77	0	0	0	0
Plekhf1	850.428571	2646	2787	0	0	0	131	0	0	0	406	0	706	473	1762	1279	1138	2005	1601	2478	2374	1980	1751	390	2106	765	1221	0	2157	485	289	0	991	340	778	0	1921	758	0	0	0	0	0	0
Baiap2	840.738095	649	1136	148	0	0	0	0	0	0	317	0	1042	253	2231	1497	1234	1840	1794	1487	2257	1959	2071	1027	2298	996	1658	125	2352	726	438	92	896	546	1064	0	2212	966	0	0	0	0	0	0
Stag1	839.404762	2310	2945	87	0	0	0	0	0	0	258	0	953	639	1598	1345	815	1643	1380	2090	2014	1601	1801	511	2122	550	1805	113	2327	517	356	0	960	363	732	0	2123	1120	0	0	0	0	177	0
Rc3h2	833.547619	3357	3257	0	0	0	0	0	0	0	200	0	725	598	1774	1062	788	1346	1138	2481	2640	1202	1385	461	2725	796	1342	0	2730	259	228	0	756	195	378	0	2190	878	0	0	0	0	118	0
Pdk1	833.166667	2559	3293	0	0	0	0	0	0	0	99	0	581	421	2192	1335	700	1785	1077	1954	2632	1841	1915	582	2315	537	1530	0	2504	264	255	0	758	208	625	0	2433	598	0	0	0	0	0	0
Dram1	833.095238	1119	1246	0	0	0	0	0	0	0	282	0	791	186	1842	1523	867	1699	1423	2364	2504	1964	2383	654	2802	736	1831	110	2769	528	395	0	848	227	823	0	2261	813	0	0	0	0	0	0
Spty2d1	832.309524	3032	2931	231	0	0	0	0	0	0	488	0	625	275	2174	1405	932	1627	1303	2367	2359	1745	2030	427	2119	438	1318	84	2067	418	464	0	772	250	739	0	1459	520	0	0	0	0	358	0
Rprd1a	829.761905	922	1506	0	0	0	0	0	0	0	266	0	806	188	1632	1687	1066	1928	1499	2556	1921	1977	2282	698	2676	607	1825	0	2539	724	266	0	1198	246	715	84	2155	881	0	0	0	0	0	0
Sc5d	814.261905	2370	2652	0	0	0	0	0	0	0	420	0	734	198	1731	1503	791	1769	955	2381	2292	1427	1840	807	2383	696	1478	155	1711	332	294	0	495	267	1053	131	2359	975	0	0	0	0	0	0
Ncapg2	809.857143	3977	3624	0	0	0	161	0	0	0	360	0	694	403	1815	1629	897	1787	1140	2778	2665	1649	844	0	673	0	1934	255	2412	645	383	0	924	322	639	0	829	84	81	216	0	0	194	0
Malt1	806.428571	2057	2138	0	0	0	0	0	0	0	163	0	436	817	1918	1207	615	1264	1123	2086	2324	1392	2278	724	2739	1016	1654	0	2750	516	396	0	1039	379	353	0	1437	508	541	0	0	0	0	0
Exo5	803.071429	3242	3300	0	0	0	0	0	0	0	395	0	624	592	2130	1499	947	2031	894	2427	2519	1446	1905	362	2015	423	1262	0	1766	163	346	0	568	163	576	0	1604	455	0	75	0	0	0	0
Tmem95	802.333333	1673	2276	0	0	0	0	0	0	0	130	0	697	684	2026	1548	966	1733	1493	2524	2611	1862	2117	370	2561	550	1478	0	2229	271	194	0	734	156	570	0	1881	364	0	0	0	0	0	0
Kctd11	802.333333	1673	2276	0	0	0	0	0	0	0	130	0	697	684	2026	1548	966	1733	1493	2524	2611	1862	2117	370	2561	550	1478	0	2229	271	194	0	734	156	570	0	1881	364	0	0	0	0	0	0
Ptbp1	801.285714	2542	3031	0	0	0	0	0	0	0	226	0	710	621	1829	1369	780	1736	1155	2209	2287	1739	1622	479	2153	463	1217	109	2396	328	166	0	887	182	416	0	2267	735	0	0	0	0	0	0
Actr3	800.547619	1625	1691	139	0	0	0	0	0	0	0	0	767	1044	1405	916	908	1442	1572	2025	1879	1534	2031	713	2420	891	1658	0	2532	683	185	0	1196	362	442	0	2267	1127	0	0	0	0	169	0
Smc6	799.97619	1659	2407	0	0	0	0	0	0	0	404	0	822	485	1691	1112	1076	1259	1376	2208	2172	1703	2213	311	2676	446	1710	0	2629	318	314	0	1153	160	717	0	2019	559	0	0	0	0	0	0
Gen1	799.97619	1659	2407	0	0	0	0	0	0	0	404	0	822	485	1691	1112	1076	1259	1376	2208	2172	1703	2213	311	2676	446	1710	0	2629	318	314	0	1153	160	717	0	2019	559	0	0	0	0	0	0
Dnaja1	791.666667	2161	2587	0	0	0	0	0	0	0	149	0	545	541	2133	1600	1045	1988	1145	2274	2356	1656	1590	565	1943	535	1310	63	1559	373	331	0	857	328	759	0	1940	917	0	0	0	0	0	0
Skiv2l	789.928571	2294	2984	0	0	0	0	0	0	0	566	0	774	539	2680	1675	1027	2149	951	2346	2603	1691	1752	371	1802	257	1274	0	1602	0	390	0	532	119	1082	0	1339	232	0	146	0	0	0	0
Nelfe	789.928571	2294	2984	0	0	0	0	0	0	0	566	0	774	539	2680	1675	1027	2149	951	2346	2603	1691	1752	371	1802	257	1274	0	1602	0	390	0	532	119	1082	0	1339	232	0	146	0	0	0	0
Fam20b	789.642857	1885	2263	0	0	0	0	0	0	0	282	0	486	396	1441	1413	631	1288	763	1643	1989	1746	1740	1323	2665	1062	1106	86	2121	296	389	0	992	694	615	0	2415	1435	0	0	0	0	0	0
Aebp2	782.595238	1668	1366	0	0	0	0	0	0	0	270	0	548	304	1691	1250	1102	1678	1554	2218	1750	1489	2029	532	2148	647	1641	105	2088	467	441	74	1440	379	933	0	1715	1050	0	0	0	0	292	0
Ppp3ca	778.5	1481	2163	0	0	0	0	0	0	0	198	0	774	586	1608	1424	1145	1360	1393	1474	1655	1344	1794	1043	1957	1015	1906	66	1946	599	390	0	1154	416	789	0	1920	1097	0	0	0	0	0	0
Ctsd	774.714286	2006	2441	0	0	0	0	0	0	0	0	0	609	836	1891	1374	831	1816	1504	2255	2163	1602	2098	787	2298	763	1784	110	2186	538	250	0	509	224	169	0	1152	342	0	0	0	0	0	0
Snx30	773.0	1435	1675	0	0	0	0	0	0	0	152	0	667	0	1679	1235	884	1307	1228	1927	1911	1740	2179	758	2517	593	1869	0	2638	326	234	0	984	294	729	127	2434	944	0	0	0	0	0	0
Faap100	772.52381	2367	2474	0	0	0	0	0	0	0	230	0	632	432	2363	1493	642	1411	836	1515	2954	1865	1669	305	2342	271	1478	0	2248	123	346	0	820	221	724	0	1890	795	0	0	0	0	0	0
Cbfb	769.619048	552	1054	0	0	0	0	0	0	0	115	0	1057	259	1226	1001	1105	1055	1439	1930	1737	1626	2308	664	2674	785	2327	0	2620	404	619	0	1291	222	836	0	2466	952	0	0	0	0	0	0
Alg1	762.809524	2858	2758	0	0	0	0	0	0	0	164	0	798	675	1189	700	445	661	1045	2322	2502	1861	1898	419	2558	772	1645	0	2389	524	212	0	710	0	406	0	1965	562	0	0	0	0	0	0
Inpp5k	761.571429	3012	3467	121	0	0	0	0	0	0	143	0	549	567	2348	1585	868	2096	1006	2680	2730	1991	963	171	1489	241	498	0	1222	0	261	0	529	248	518	0	1934	749	0	0	0	0	0	0
Nmt2	761.238095	2436	2458	124	0	0	0	0	0	0	0	0	598	765	1681	1039	538	1318	1051	2225	2282	1316	1928	294	2565	630	1111	0	2594	413	0	0	596	0	525	0	2308	958	0	0	0	0	219	0
Tmem120b	760.190476	1018	1333	0	0	0	0	0	0	0	188	0	649	629	1887	1412	553	1315	1038	1864	2542	1759	1912	702	2725	602	1860	111	2830	576	194	0	950	285	465	0	1765	764	0	0	0	0	0	0
Sun2	759.809524	2245	2301	0	0	0	0	0	0	0	431	0	1058	431	1522	1019	622	1179	894	2089	1809	1296	1987	1084	2332	901	1933	211	2427	487	276	0	687	249	550	0	1389	503	0	0	0	0	0	0
Nsun6	758.047619	1708	2648	90	0	0	0	0	0	0	233	0	765	375	1788	1551	972	1872	1445	2344	2386	1781	1911	616	2156	440	1241	0	1911	206	261	0	572	105	523	0	1521	417	0	0	0	0	0	0
Arl5b	758.047619	1708	2648	90	0	0	0	0	0	0	233	0	765	375	1788	1551	972	1872	1445	2344	2386	1781	1911	616	2156	440	1241	0	1911	206	261	0	572	105	523	0	1521	417	0	0	0	0	0	0
Marchf9	757.380952	3189	3377	0	0	0	0	0	0	0	0	0	572	374	1559	1145	519	1557	1150	2184	2027	1531	1358	643	1954	559	1449	125	2061	370	168	0	773	175	499	0	1614	878	0	0	0	0	0	0
Cdk4	757.380952	3189	3377	0	0	0	0	0	0	0	0	0	572	374	1559	1145	519	1557	1150	2184	2027	1531	1358	643	1954	559	1449	125	2061	370	168	0	773	175	499	0	1614	878	0	0	0	0	0	0
Csf1r	756.119048	198	0	0	0	0	0	0	0	0	235	106	411	540	2121	1501	1044	1640	1356	2338	2498	1368	2120	1048	2460	660	1524	95	2296	440	250	0	904	347	907	0	2378	972	0	0	0	0	0	0
Thumpd3	754.238095	2502	2740	0	0	0	0	0	0	0	189	0	528	669	2322	1366	637	1805	1093	2562	2625	1574	1439	401	2070	524	954	0	1695	239	189	0	723	314	471	0	1508	539	0	0	0	0	0	0
Gnaq	748.0	286	597	0	0	0	0	0	0	0	114	0	1019	345	1026	1364	866	1210	1210	2375	2130	2165	1615	810	2668	1156	1812	0	2766	506	328	0	902	380	390	76	2158	1142	0	0	0	0	0	0
Tada1	747.404762	650	864	0	0	0	0	0	0	0	0	0	942	361	1884	1569	782	1273	1223	2072	2350	1707	2545	1441	2503	1434	1935	161	2612	819	0	0	332	100	245	0	1131	456	0	0	0	0	0	0
Trappc4	747.214286	1799	1903	0	0	0	0	0	0	0	280	0	843	399	1215	941	480	1231	1118	2379	1984	1434	2026	680	2573	568	1554	0	2844	363	156	0	715	302	289	0	2321	986	0	0	0	0	0	0
Rps25	747.214286	1799	1903	0	0	0	0	0	0	0	280	0	843	399	1215	941	480	1231	1118	2379	1984	1434	2026	680	2573	568	1554	0	2844	363	156	0	715	302	289	0	2321	986	0	0	0	0	0	0
Kctd12	745.357143	1272	1427	0	0	0	0	0	0	0	240	0	835	297	1594	1082	1223	1439	1690	1859	1764	1338	1998	771	2171	583	2004	0	2236	305	441	0	993	225	980	0	1883	655	0	0	0	0	0	0
Nedd4l	744.238095	125	0	0	0	0	0	0	0	0	234	0	794	439	1498	1808	836	1630	1030	1608	1786	2067	2121	1142	2510	927	1944	108	2497	605	375	0	610	439	842	0	2214	1069	0	0	0	0	0	0
Acsl4	742.52381	1991	2176	0	0	0	0	0	0	0	0	0	455	519	2048	1412	639	1341	1090	2182	2634	1957	1616	601	2463	440	1093	64	2013	293	151	0	690	250	369	0	1950	749	0	0	0	0	0	0
Cenpu	739.309524	3811	3448	220	0	0	0	0	0	0	353	0	633	446	1979	1083	679	1310	889	2238	2532	1381	1579	334	1555	147	939	0	1583	0	230	0	687	107	618	0	1592	444	0	0	0	0	234	0
Bcl10	738.285714	2244	2474	0	0	0	0	0	0	0	115	0	352	301	1964	1126	459	1270	848	2364	2233	1461	1697	741	1864	587	1005	0	2135	409	221	0	882	343	358	0	2169	1192	0	0	0	0	194	0
Tbc1d2b	738.142857	1188	952	0	0	0	0	0	0	0	316	0	693	473	1909	1512	541	1396	813	1767	2492	1708	1737	1119	2165	767	1716	222	2129	650	314	0	501	392	753	136	1814	827	0	0	0	0	0	0
