Target_genes	Elf1|Average	SRX184866|CD4+_T_cells	SRX6783984|CH12	SRX6783985|CH12	SRX12734917|Granulocyte-Macrophage_Progenitor_Cells	SRX12734918|Granulocyte-Macrophage_Progenitor_Cells	SRX12734919|Granulocyte-Macrophage_Progenitor_Cells	SRX12734920|Granulocyte-Macrophage_Progenitor_Cells	SRX12734921|Granulocyte-Macrophage_Progenitor_Cells	SRX12734922|Granulocyte-Macrophage_Progenitor_Cells	SRX2242846|Macrophages	SRX6783941|MEL	SRX6783942|MEL	SRX184865|Treg	DRX285483|Unclassified	DRX285485|Unclassified	STRING
Mrps33	1095.466667	1142	2542	2703	478	684	701	747	135	595	2443	1828	1924	510	0	0	0
Dbnl	1093.666667	1384	2411	2411	404	553	819	580	316	934	2286	1827	1876	604	0	0	0
Cwc25	1093.533333	1786	2085	2023	448	573	1075	593	206	542	2398	1874	1898	902	0	0	0
Hps1	1093.066667	1252	2123	2456	372	484	850	558	364	703	2836	1861	1960	577	0	0	0
Ccdc15	1092.666667	1667	2071	2367	617	572	1018	583	347	575	2652	1515	1655	751	0	0	0
Lmbr1l	1091.933333	1770	2374	2384	405	390	653	384	0	433	2737	2047	1721	1081	0	0	0
Slc35a5	1089.533333	1251	1829	1965	1103	1077	1559	1096	814	1723	1508	979	842	597	0	0	0
Atg3	1089.533333	1251	1829	1965	1103	1077	1559	1096	814	1723	1508	979	842	597	0	0	0
Gmcl1	1089.066667	901	1383	1694	1157	1327	1843	1387	874	1837	1726	887	986	334	0	0	0
Psma6	1086.333333	892	1572	2010	908	1249	1656	1024	602	1495	2451	956	1036	444	0	0	0
Zfp408	1084.533333	802	1990	2123	942	1002	1340	708	619	1443	1746	1528	1556	469	0	0	0
Arhgap1	1084.533333	802	1990	2123	942	1002	1340	708	619	1443	1746	1528	1556	469	0	0	0
Acbd5	1083.2	2196	2155	2400	268	415	462	278	120	330	2693	1935	2016	980	0	0	0
Lamtor3	1081.4	919	2369	2166	938	830	1269	934	519	1212	1847	1463	1224	531	0	0	0
Atg5	1079.6	349	1946	2352	1233	1011	1757	1406	674	1578	1684	1057	924	223	0	0	0
Angel2	1079.4	1329	2074	2487	434	462	783	437	218	633	2775	1898	1917	744	0	0	0
Rer1	1075.533333	1096	1664	1669	842	1047	1510	1048	669	1621	2166	1438	941	422	0	0	0
Morn1	1075.533333	1096	1664	1669	842	1047	1510	1048	669	1621	2166	1438	941	422	0	0	0
Cog2	1075.066667	1221	2225	2333	360	567	925	882	282	805	2623	1676	1690	537	0	0	0
Ap5z1	1073.4	761	1521	1816	1114	1193	1829	1131	811	1763	1411	994	1407	350	0	0	0
Cep63	1073.0	1380	2078	2309	460	656	699	433	296	903	2836	1602	1683	760	0	0	0
Anapc13	1073.0	1380	2078	2309	460	656	699	433	296	903	2836	1602	1683	760	0	0	0
Prr14l	1072.933333	1362	1451	1982	1127	1260	1767	1139	707	1609	1129	1069	1013	479	0	0	0
Mdn1	1071.866667	729	1881	2302	807	1054	1441	1030	508	1065	2397	1269	1364	231	0	0	0
BC048403	1065.466667	1683	2431	2541	323	260	533	440	261	434	2921	1852	1822	481	0	0	0
Adipor2	1065.4	1350	2727	2741	233	391	411	371	0	459	2567	2296	2112	323	0	0	0
Sec23ip	1064.666667	1517	2385	2458	438	529	872	540	213	643	2279	1770	1637	689	0	0	0
Mcmbp	1064.666667	1517	2385	2458	438	529	872	540	213	643	2279	1770	1637	689	0	0	0
Med6	1063.066667	1091	2318	2429	737	807	992	626	421	939	1885	1345	1904	452	0	0	0
Gtf2f1	1062.2	1708	1855	2389	455	649	1040	545	219	679	2680	1338	1529	847	0	0	0
Wdr45b	1057.333333	406	1562	1646	1255	1274	2037	1561	926	1956	1040	1135	818	244	0	0	0
Ppp4r3b	1057.2	1554	2107	2300	447	703	1003	482	326	484	2739	1735	1488	490	0	0	0
Pin1	1054.0	1328	2466	2616	125	342	275	308	78	279	2935	2441	1887	730	0	0	0
Vps33b	1053.133333	1594	2503	2567	250	269	408	213	0	215	2721	2193	2168	696	0	0	0
Spty2d1	1052.733333	914	1807	1794	1117	754	1794	1056	500	1549	2038	847	1186	435	0	0	0
Chmp5	1050.066667	1161	1888	2030	780	978	1195	696	324	910	2260	1536	1501	492	0	0	0
Bag1	1050.066667	1161	1888	2030	780	978	1195	696	324	910	2260	1536	1501	492	0	0	0
Trip4	1045.0	1699	2392	2334	223	307	567	179	102	455	2906	1565	1764	1182	0	0	0
Csnk1g1	1045.0	1699	2392	2334	223	307	567	179	102	455	2906	1565	1764	1182	0	0	0
Mpc2	1044.4	1375	2005	2348	506	528	1049	698	453	725	2186	1331	1621	841	0	0	0
Dcaf6	1044.4	1375	2005	2348	506	528	1049	698	453	725	2186	1331	1621	841	0	0	0
Zfp87	1042.6	1710	2120	2401	288	465	422	263	189	414	2884	1652	1982	849	0	0	0
Sbno2	1039.8	1433	2518	2403	296	352	665	439	226	400	2518	1777	1951	619	0	0	0
Ifnar1	1038.466667	939	2086	2380	723	925	1306	783	467	1055	2164	1309	1076	364	0	0	0
Nip7	1038.2	1449	1923	2204	572	955	868	500	256	958	2471	1277	1514	626	0	0	0
Cog8	1038.2	1449	1923	2204	572	955	868	500	256	958	2471	1277	1514	626	0	0	0
Cnot10	1038.2	1271	1689	1942	608	917	1218	892	465	1096	2336	1154	1196	789	0	0	0
Wbp1l	1035.866667	1063	2204	2379	383	598	665	413	271	544	2212	2093	1818	895	0	0	0
Poc5	1035.266667	1386	2329	2607	311	424	564	268	189	419	2747	1716	2036	533	0	0	0
Nxt1	1032.0	1226	2548	2749	288	396	571	307	230	522	2382	1924	1957	380	0	0	0
Ube4a	1030.733333	1344	2342	2412	410	565	675	420	330	483	2089	1948	1970	473	0	0	0
Map1lc3b	1030.533333	1484	2228	2286	265	331	581	435	137	539	2688	2096	1972	416	0	0	0
Ppp4c	1029.066667	940	1769	2149	599	658	1397	773	411	1066	2345	1432	1503	394	0	0	0
Meig1	1028.933333	1368	1698	1868	657	651	1152	662	438	975	2549	1314	1449	653	0	0	0
Dclre1c	1028.933333	1368	1698	1868	657	651	1152	662	438	975	2549	1314	1449	653	0	0	0
Vac14	1027.333333	948	2051	2307	388	510	1009	743	295	755	2709	1710	1611	374	0	0	0
Tm9sf2	1026.466667	1119	1553	1880	1049	1049	1643	1028	676	1443	1587	1194	845	331	0	0	0
Sap30bp	1026.0	1099	2229	2213	399	479	805	442	230	831	2350	1954	1873	486	0	0	0
Recql5	1026.0	1099	2229	2213	399	479	805	442	230	831	2350	1954	1873	486	0	0	0
Rnf38	1025.8	1230	2712	2684	186	253	404	334	0	415	2457	2319	2007	386	0	0	0
Snf8	1025.4	1089	2496	2552	393	423	868	403	321	682	1973	2018	1867	296	0	0	0
H4f16	1024.733333	2069	2150	2267	151	180	506	181	130	277	2760	1778	1564	1358	0	0	0
H2aj	1024.733333	2069	2150	2267	151	180	506	181	130	277	2760	1778	1564	1358	0	0	0
Xab2	1021.2	870	2084	2262	495	809	1026	581	209	820	2448	1567	1650	497	0	0	0
Pet100	1021.2	870	2084	2262	495	809	1026	581	209	820	2448	1567	1650	497	0	0	0
Pcp2	1021.2	870	2084	2262	495	809	1026	581	209	820	2448	1567	1650	497	0	0	0
Ost4	1020.333333	995	1559	1879	863	961	1315	917	456	1245	1861	1473	1364	417	0	0	0
Nsun3	1018.6	1587	2417	2443	348	523	672	409	201	467	2344	1473	1610	785	0	0	0
Sirt7	1018.066667	1842	2304	2315	207	127	263	0	0	238	2635	2293	2127	920	0	0	0
Srfbp1	1017.066667	659	1766	1853	798	1077	1148	645	505	1512	2261	1344	1440	248	0	0	0
Thumpd3	1017.0	986	1527	1757	906	1273	1581	1046	634	1709	1856	827	809	344	0	0	0
Stk16	1016.4	1291	2063	2123	412	649	1181	491	342	651	2455	1622	1504	462	0	0	0
Glb1l	1016.4	1291	2063	2123	412	649	1181	491	342	651	2455	1622	1504	462	0	0	0
Hinfp	1015.733333	1540	1564	1883	527	802	1051	840	302	880	2555	1294	1522	476	0	0	0
Szrd1	1015.466667	1343	1678	1686	578	882	1211	716	326	1147	2313	1304	1239	809	0	0	0
Nup54	1014.0	890	1347	1473	1240	1144	1759	1255	946	1554	1817	808	782	195	0	0	0
Trmt2a	1013.466667	1352	1867	2170	696	868	1281	907	396	1113	2126	1060	1125	241	0	0	0
Ranbp1	1013.466667	1352	1867	2170	696	868	1281	907	396	1113	2126	1060	1125	241	0	0	0
Pigm	1012.8	1395	1770	2031	523	816	1179	668	277	921	1868	1602	1320	822	0	0	0
Actr3	1012.0	1237	1752	1672	855	1128	1145	760	567	1313	1701	1337	1057	656	0	0	0
Ptrhd1	1011.0	1324	1888	1953	242	603	848	514	185	769	2376	1758	1919	786	0	0	0
Cenpo	1011.0	1324	1888	1953	242	603	848	514	185	769	2376	1758	1919	786	0	0	0
Prpf19	1010.6	1144	2219	2516	640	652	1105	609	249	534	2274	1183	1547	487	0	0	0
Arpc1a	1009.733333	955	2215	2412	615	708	973	597	269	681	1952	1621	1798	350	0	0	0
Nuf2	1008.733333	1511	2193	2498	398	287	628	345	221	381	2643	1421	1756	849	0	0	0
Pex2	1008.066667	1093	2290	2377	353	713	538	501	262	587	2786	1400	1711	510	0	0	0
Ltn1	1008.066667	1160	2274	2435	440	560	747	465	208	749	2772	1440	1437	434	0	0	0
Wwox	1007.666667	1471	2089	2190	289	301	658	262	170	499	2829	1742	1827	788	0	0	0
Tspyl1	1006.333333	1193	2171	2369	546	679	1008	661	311	725	1977	1442	1682	331	0	0	0
Stx6	1006.333333	1370	2297	2411	450	498	929	635	261	883	2125	1241	1528	467	0	0	0
Pigf	1005.866667	1380	2082	2160	285	375	755	615	310	740	2453	1491	1821	621	0	0	0
Cript	1005.866667	1380	2082	2160	285	375	755	615	310	740	2453	1491	1821	621	0	0	0
Clp1	1004.2	1222	2131	2272	398	410	973	400	148	466	2260	1825	1910	648	0	0	0
Os9	1004.066667	1108	2455	2669	320	0	740	294	0	462	2316	2069	1960	668	0	0	0
Rps3a1	1001.533333	1098	2166	2339	465	696	875	694	219	717	2366	1688	1375	325	0	0	0
Dnajb9	1000.6	986	2000	2128	809	901	1572	1000	534	1310	2317	395	738	319	0	0	0
Prmt3	1000.4	1150	2164	2242	553	565	1198	953	280	808	2078	1474	1222	319	0	0	0
Iba57	999.4	991	2185	2234	520	712	876	494	191	889	2069	1770	1598	462	0	0	0
Chordc1	998.6	1028	1675	2001	954	774	1005	425	435	983	1726	1855	1756	362	0	0	0
Wdr1	998.4	1045	2068	2312	496	868	960	727	354	1005	1669	1595	1495	382	0	0	0
Rae1	997.066667	1186	1913	2128	655	712	896	645	391	1125	2050	1415	1179	661	0	0	0
Pop7	996.6	533	1439	1770	960	1192	1590	1178	703	1617	1715	862	965	425	0	0	0
Wdr89	996.4	1435	2059	2155	381	498	653	490	149	661	2779	1530	1482	674	0	0	0
Atg16l1	995.133333	955	2065	2271	721	729	1218	746	674	920	1322	1382	1569	355	0	0	0
Xpo5	994.066667	595	1266	1719	1172	1325	2060	1218	926	1841	916	830	937	106	0	0	0
Polh	994.066667	595	1266	1719	1172	1325	2060	1218	926	1841	916	830	937	106	0	0	0
Mrm1	991.533333	1434	2278	2277	284	256	703	541	0	397	2867	1660	1720	456	0	0	0
Fbxo46	991.4	1350	2367	2429	175	243	255	115	0	332	2643	2101	2046	742	0	73	0
Bhmg1	991.4	1350	2367	2429	175	243	255	115	0	332	2643	2101	2046	742	0	73	0
Gle1	991.0	1028	2072	2472	557	649	899	732	254	721	2063	1478	1423	517	0	0	0
Erlin2	990.333333	816	2008	2374	668	965	1016	658	559	1216	1026	1501	1692	356	0	0	0
Ddx10	987.933333	846	1413	1835	582	917	1482	1013	500	1221	2399	1087	990	534	0	0	0
Zfp512	987.866667	732	1504	1924	1010	947	1606	939	588	1541	1696	1014	1053	264	0	0	0
Taf1a	987.533333	913	1947	2077	775	746	1319	731	457	914	2250	1069	1131	484	0	0	0
Suco	987.466667	1449	2227	2414	369	378	449	471	146	534	2602	1621	1521	631	0	0	0
Mtch1	985.466667	891	2202	2190	344	639	1070	825	252	875	2036	1622	1677	159	0	0	0
Utp15	985.2	635	1314	1496	1235	1213	1460	1179	742	1507	1459	1178	1117	243	0	0	0
Golga1	985.2	701	1587	1769	932	1062	1514	1198	408	1227	2232	835	952	361	0	0	0
Ankra2	985.2	635	1314	1496	1235	1213	1460	1179	742	1507	1459	1178	1117	243	0	0	0
Ficd	984.6	1576	2138	2645	241	388	463	185	160	334	2709	1745	1669	516	0	0	0
Fbxw7	983.533333	840	1636	1966	938	1098	1701	1040	474	1425	1441	1016	883	295	0	0	0
Bms1	983.2	933	1914	2349	647	795	1133	630	481	950	1823	1406	1380	307	0	0	0
Tfb2m	982.933333	1074	1760	2128	542	676	1139	678	396	1188	2325	1352	1180	306	0	0	0
Cnst	982.933333	1074	1760	2128	542	676	1139	678	396	1188	2325	1352	1180	306	0	0	0
Naxd	981.066667	1085	1997	2398	394	329	879	531	257	655	2880	1349	1509	453	0	0	0
Mib2	979.866667	1692	2201	2134	229	299	370	293	84	277	2605	1460	1821	1233	0	0	0
Cdk7	979.133333	1037	2095	2213	393	630	742	539	311	646	2654	1599	1334	494	0	0	0
Spg21	979.0	1163	2066	2395	364	330	704	406	127	290	2606	1703	1861	670	0	0	0
Gatad2a	977.8	1097	2544	2372	283	494	712	491	213	576	2089	1483	1793	520	0	0	0
Mafk	977.4	977	1716	2022	463	614	928	923	236	1045	2207	1442	1680	408	0	0	0
Gba	977.4	776	1906	2411	479	305	1275	553	511	684	1324	2024	2163	250	0	0	0
Zc3h15	975.933333	874	1876	1854	810	856	1264	917	417	1179	2114	1061	1103	314	0	0	0
Rab8a	975.333333	935	1526	1817	786	995	1576	827	367	1165	1544	1156	1294	642	0	0	0
Copb2	974.866667	593	1813	2014	703	717	1230	852	332	1109	2267	1352	1361	280	0	0	0
C87436	974.266667	833	2262	2315	363	604	813	460	117	483	2226	1736	1865	537	0	0	0
Nup107	973.933333	1231	1209	1528	943	1267	1586	861	656	1299	1756	647	789	837	0	0	0
Polg	972.333333	1306	1847	2088	438	620	553	435	458	798	2407	1431	1636	568	0	0	0
Zfp865	968.8	1393	1255	1482	806	1003	1290	972	609	1360	2180	815	837	530	0	0	0
Zfp524	968.8	1393	1255	1482	806	1003	1290	972	609	1360	2180	815	837	530	0	0	0
Atp6v1g2	968.533333	1111	1611	1747	582	745	1600	637	324	968	2180	1233	1455	335	0	0	0
Ppan	967.266667	890	1665	1733	651	712	1123	806	478	949	2036	1772	1494	200	0	0	0
Rad51d	966.533333	1171	2514	2693	178	174	192	140	0	206	2544	2124	2138	424	0	0	0
Napg	966.533333	904	1999	2299	617	625	798	480	439	894	2150	1377	1526	390	0	0	0
Fndc8	966.533333	1171	2514	2693	178	174	192	140	0	206	2544	2124	2138	424	0	0	0
Usp8	966.4	604	1863	1709	667	885	1685	906	554	1222	2057	1031	1073	240	0	0	0
Eapp	965.266667	1115	2302	2161	376	503	603	432	222	507	2276	1665	1827	490	0	0	0
Nufip1	965.0	748	2335	2526	370	497	788	573	169	505	2037	1790	1918	219	0	0	0
