Target_genes	Ctnnb1|Average	SRX3720913|Branchial_arch	SRX3720914|Branchial_arch	SRX11540052|EpiLC	SRX11540053|EpiLC	SRX11540054|EpiLC	SRX11540064|EpiLC	SRX11540065|EpiLC	SRX11540066|EpiLC	SRX11540076|EpiLC	SRX11540077|EpiLC	SRX11540078|EpiLC	SRX9641176|EpiLC	SRX9641177|EpiLC	SRX9641178|EpiLC	SRX9641179|EpiLC	SRX9641180|EpiLC	SRX9641181|EpiLC	SRX9641208|EpiLC	SRX9641209|EpiLC	SRX9641210|EpiLC	SRX9101842|ES_cells	SRX9101843|ES_cells	SRX9101868|ES_cells	SRX9101869|ES_cells	SRX9101878|ES_cells	SRX9101879|ES_cells	SRX9641160|ES_cells	SRX9641161|ES_cells	SRX9641162|ES_cells	SRX25842405|Forelimb	SRX25842406|Forelimb	SRX25842411|Forelimb	SRX25842412|Forelimb	SRX1293143|Hematopoietic_Stem_Cells	SRX1293144|Hematopoietic_Stem_Cells	SRX1293145|Hematopoietic_Stem_Cells	SRX116906|Hepatocytes	SRX9986622|Liver	SRX9986624|Liver	SRX9986626|Liver	SRX6818033|Mesenchymal_stem_cells	SRX6818034|Mesenchymal_stem_cells	SRX6818035|Mesenchymal_stem_cells	SRX6818036|Mesenchymal_stem_cells	SRX5723671|mIMCD-3	SRX5723672|mIMCD-3	SRX5723673|mIMCD-3	SRX5723674|mIMCD-3	SRX5723677|mIMCD-3	SRX5723678|mIMCD-3	SRX5723679|mIMCD-3	SRX5723680|mIMCD-3	SRX172938|Nephron_progenitor	SRX172939|Nephron_progenitor	SRX5825950|Nephron_progenitor	SRX5825951|Nephron_progenitor	SRX5825972|Nephron_progenitor	SRX5825973|Nephron_progenitor	SRX5825994|Nephron_progenitor	SRX5825995|Nephron_progenitor	SRX7856417|Trophoblast_stem_cells	SRX7856418|Trophoblast_stem_cells	STRING
Sprr2a1	398.548387	0	0	117	117	190	1981	1425	2197	1523	783	2119	1798	722	2279	252	375	375	2370	2324	2245	0	0	0	0	0	0	712	209	597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rtl8c	387.774194	0	0	1259	1316	1457	1231	1013	1578	1300	277	738	1134	899	1967	503	609	570	1757	1349	1371	0	0	0	0	0	0	1754	503	1457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amotl2	376.258065	0	0	746	882	953	664	581	863	944	142	448	715	698	1016	540	770	393	1540	1291	1145	237	311	0	0	0	0	1485	343	761	931	1031	0	0	0	0	0	158	0	0	0	0	0	822	202	0	0	0	0	0	0	0	0	234	0	141	0	101	182	825	1233	0	0	0
Rtl8b	363.080645	0	0	1308	1220	1228	969	1041	1392	1303	268	651	1138	912	1803	519	662	605	1585	1031	1320	0	0	0	0	0	0	1642	493	1421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C77080	360.0	0	0	1341	1115	1634	968	680	1135	1103	373	909	467	946	1428	322	873	423	1750	1309	1120	354	350	0	0	0	0	1325	463	1126	0	0	0	0	0	0	0	0	100	90	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	160	352	0	0	0
Hes7	358.064516	0	0	1416	1386	1475	1741	1176	1209	1291	592	925	805	289	1439	296	213	156	2178	1572	1893	0	0	0	0	0	0	1012	126	675	120	113	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdx1	342.258065	0	0	1150	1359	1499	873	511	677	1268	585	1102	807	508	1895	347	559	348	1887	1102	1209	182	114	0	0	0	0	1232	391	1101	0	0	0	0	0	0	0	0	147	207	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hoxd1	319.548387	0	0	1320	1461	1426	965	1174	1175	1614	279	811	634	589	1184	122	423	266	1990	1468	1379	191	150	0	0	0	0	612	0	0	168	205	0	0	0	0	0	0	0	107	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem125	314.612903	457	294	166	0	150	0	159	0	152	0	0	124	138	189	0	135	0	243	0	348	427	398	220	223	88	150	188	0	138	338	275	398	300	338	210	167	638	2759	2473	2198	560	250	794	658	218	223	185	162	162	248	219	118	216	225	181	0	119	80	121	117	169	0	0
Nt5e	305.33871	0	0	1050	983	1561	795	676	1015	1097	392	943	548	603	970	566	747	368	1593	1054	664	206	107	0	0	0	0	1309	423	1261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp503	304.258065	0	0	1096	844	1672	576	606	877	912	250	512	207	0	662	293	0	0	1628	829	539	107	0	0	0	0	0	669	0	180	1248	1157	0	0	0	0	0	0	101	117	72	0	0	521	268	0	0	0	0	0	0	0	0	807	362	0	0	648	674	182	248	0	0	0
R3hdm2	299.032258	0	0	144	188	254	1624	1470	1834	1094	411	1012	1131	909	1886	263	339	247	1328	1684	1573	232	225	0	0	0	0	0	0	0	120	212	0	0	0	0	0	0	172	122	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dnaaf3	291.209677	0	0	151	227	379	1557	947	1975	562	334	683	1289	556	1608	145	323	136	1322	1572	1853	0	0	0	0	0	0	1182	296	958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kpna1	290.596774	958	383	278	0	0	392	174	0	257	0	0	0	0	0	0	0	0	0	0	0	455	455	591	579	387	405	0	0	0	0	216	0	258	0	127	0	160	0	76	0	809	1107	657	809	312	450	319	401	365	325	416	430	629	917	709	755	429	700	455	872	0	0	0
Dydc2	289.112903	0	0	1054	1053	1148	1386	1050	1042	912	233	752	1126	755	1410	384	577	270	1190	901	801	0	0	0	0	0	0	1063	261	557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bahcc1	277.354839	0	0	615	724	854	682	506	699	818	268	611	390	438	1053	222	270	226	1360	1163	1162	0	0	0	0	0	0	1139	197	470	811	923	0	0	0	0	0	0	0	0	0	0	0	671	223	0	0	0	0	0	0	0	0	0	0	0	0	153	181	166	201	0	0	0
Asmt	274.516129	448	574	134	145	202	0	0	0	191	0	0	208	221	154	74	111	0	222	199	214	990	599	537	261	297	319	307	0	161	536	389	543	449	180	272	0	318	209	262	821	731	570	737	627	253	283	259	270	173	145	186	231	225	357	486	252	146	163	186	193	0	0	0
Gm4861	267.983871	0	0	889	916	691	1129	971	449	1096	203	649	353	433	887	521	796	425	1370	660	716	0	0	0	0	0	0	1217	179	479	144	171	0	0	0	0	0	0	0	0	0	104	0	974	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mllt6	266.354839	0	0	882	905	724	854	719	934	728	188	455	455	308	937	328	406	419	1255	1075	892	0	0	0	0	0	0	1558	748	1319	253	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wnt6	263.564516	0	0	968	698	1407	1219	855	1307	1046	367	843	509	427	1216	0	315	241	1571	1272	1330	126	129	0	0	0	0	140	0	0	146	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il31ra	252.790323	547	168	256	0	0	408	0	0	0	0	0	0	0	0	165	0	0	0	0	0	613	374	545	518	508	362	0	0	0	241	380	322	478	0	0	0	133	0	0	0	581	913	565	596	307	255	308	312	274	280	362	382	403	736	814	668	429	529	297	644	0	0	0
Axin2	248.451613	0	0	368	593	690	651	450	574	646	129	608	443	331	889	190	515	257	1554	660	758	0	0	0	0	0	0	771	175	570	555	811	0	0	0	0	0	0	164	292	288	0	0	0	0	0	0	0	0	0	0	0	0	269	0	0	78	94	145	386	346	0	154	0
Mrps23	246.177419	0	0	1053	992	1642	468	579	556	808	0	509	462	343	1252	151	541	345	755	680	229	225	135	0	0	0	0	1527	645	1223	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ndufaf4	246.016129	0	0	475	326	503	953	974	1321	959	277	765	674	286	1356	0	175	193	1854	1110	1566	133	231	0	0	0	0	538	171	413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem181a	237.806452	0	0	683	603	673	280	424	300	428	0	328	515	207	1064	598	546	548	309	361	0	165	180	0	0	0	0	2348	1830	2354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uhrf2	237.693548	0	0	815	641	850	815	704	864	809	206	419	392	296	1093	124	651	129	870	665	338	230	328	0	0	0	0	1346	458	1202	0	0	0	0	0	0	0	0	119	125	77	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trim8	229.112903	0	0	837	695	788	675	555	677	861	158	510	474	362	891	220	265	239	1482	1050	1061	113	80	0	0	0	0	524	0	272	529	887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Msx1	229.048387	0	0	812	692	804	698	495	555	718	194	490	454	178	922	310	247	155	1379	1080	1030	0	0	0	0	0	0	722	144	278	638	782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	248	176	0	0	0	0	0
Grsf1	228.290323	0	0	1045	691	1195	500	465	565	1119	187	557	147	129	267	280	419	161	1708	840	541	345	301	0	0	0	0	1266	284	886	0	0	0	0	0	0	0	0	146	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Znrf3	221.016129	0	0	591	663	520	471	366	402	695	0	174	455	230	747	0	0	171	1366	882	856	311	261	0	0	0	0	763	0	378	528	633	0	0	0	0	0	210	142	156	0	0	0	333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	620	649	0	0	0
Kdm2b	220.887097	0	0	668	724	979	718	598	963	1026	0	414	310	493	783	223	362	197	1264	760	856	376	545	0	0	0	0	388	108	219	0	0	0	0	0	0	0	0	203	231	287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kat7	216.241935	0	0	672	613	432	544	607	176	467	0	0	205	0	313	346	518	201	587	192	168	427	453	0	0	0	0	1091	335	755	0	0	0	0	0	0	0	0	0	0	0	2726	253	1059	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abhd6	214.548387	190	231	0	0	0	0	0	0	0	0	0	330	170	298	303	260	306	331	0	303	641	605	733	765	759	900	231	311	240	490	432	508	518	0	0	0	189	0	0	0	289	471	242	0	0	172	0	0	173	0	0	174	236	487	432	288	294	0	0	0	0	0	0
Map10	213.306452	0	0	456	479	578	157	260	388	408	0	238	667	769	1465	608	1174	439	764	414	437	115	125	0	0	0	0	1120	697	1326	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eno1	211.016129	0	0	610	609	781	533	284	611	927	161	550	220	335	674	331	648	413	1003	868	611	317	434	0	0	0	0	1044	222	452	220	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cma2	210.532258	0	0	100	127	145	913	722	1134	345	185	501	649	457	1336	0	115	0	1069	1003	594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	0	3103	372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rgs12	209.209677	0	0	965	703	910	583	428	549	686	131	259	499	322	1346	225	326	119	1054	579	505	220	189	0	0	0	0	1169	229	767	0	0	0	0	0	0	0	0	112	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rbbp7	205.774194	0	0	769	898	928	653	695	482	934	142	414	147	355	584	194	671	293	1166	667	478	255	291	0	0	0	0	771	273	698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ptk7	204.741935	0	0	1021	906	1017	704	637	442	944	288	527	377	186	695	0	134	0	1468	850	807	264	229	0	0	0	0	216	0	0	0	133	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	363	407	0	0	0
Setd1b	202.048387	0	0	688	909	892	969	754	650	992	0	339	406	386	703	160	296	138	1037	919	805	119	227	0	0	0	0	768	0	264	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hoxb4	201.5	0	0	639	379	1134	0	0	0	915	140	678	0	0	0	0	0	0	1452	911	530	141	0	0	0	0	0	461	0	0	642	418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	691	437	247	75	647	497	796	663	0	0	0
Lum	199.564516	0	0	667	446	587	367	464	709	408	144	274	545	322	783	780	860	470	457	324	214	0	0	0	0	0	0	1359	862	1331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Igdcc3	198.903226	0	0	442	699	603	653	390	430	766	207	317	303	260	747	336	193	171	1100	882	755	170	116	0	0	0	0	908	0	331	698	607	0	0	0	0	0	0	0	135	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lhpp	196.580645	0	0	873	925	966	730	518	589	826	141	552	313	221	758	0	122	165	1319	720	700	162	183	0	0	0	0	508	0	297	0	0	0	0	0	0	0	260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	340	0	0	0	0	0	0	0	0	0	0
Cdx2	194.903226	0	0	688	521	503	632	507	441	670	103	290	170	0	571	518	1019	464	627	633	618	149	81	0	0	0	0	1349	519	1011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alox15	188.387097	0	0	0	0	112	1196	1228	1178	779	270	676	493	521	1386	111	139	100	1262	1193	1036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1028	186.096774	0	0	372	170	266	1152	677	1175	688	163	648	654	288	1134	0	0	117	1465	1215	1354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cga	184.935484	0	0	1077	1190	1175	793	673	634	1027	0	576	206	161	826	0	136	192	1271	729	632	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il17rd	184.870968	0	0	506	430	610	532	435	388	502	0	476	430	278	725	319	486	305	1095	700	702	245	157	0	0	0	0	769	140	486	319	354	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smad3	182.903226	0	0	213	141	0	102	208	0	219	0	0	0	0	0	107	0	0	163	0	0	180	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1155	1238	1267	1229	1193	961	1217	1193	0	0	0	0	0	0	131	223	0	0	0
Oasl1	181.177419	198	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	177	380	335	443	427	289	468	181	0	142	0	0	0	0	0	237	0	0	0	0	134	551	506	392	567	479	372	364	432	425	535	405	321	528	162	437	272	352	174	0	261	0	0	0
Btn2a2	181.129032	0	0	781	833	865	514	498	771	591	0	577	356	328	640	246	208	118	1055	736	687	0	0	0	0	0	0	717	0	473	0	0	0	0	0	0	0	0	0	0	0	0	0	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rif1	175.612903	0	0	617	537	817	509	517	435	633	0	204	379	322	710	374	350	124	1076	603	654	194	188	0	0	0	0	694	171	385	0	0	0	0	0	0	0	0	121	123	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T	174.709677	0	0	752	274	1038	579	442	506	575	0	372	556	234	1188	175	257	312	1143	1040	925	102	79	0	0	0	0	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hoxa1	173.580645	0	0	427	419	474	320	409	645	576	106	369	225	76	443	248	672	190	910	637	403	108	139	0	0	0	0	454	203	595	96	167	0	0	0	0	0	0	0	0	0	0	0	1171	280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Foxp1	170.612903	0	0	698	567	571	541	299	365	702	176	348	269	125	512	142	277	111	1094	661	794	201	148	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1154	369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	166	0	0	0
Crot	169.483871	0	0	0	0	170	969	715	1096	655	318	391	792	220	1329	0	0	169	1112	856	1061	379	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr140	169.241935	0	0	953	439	1182	589	310	512	879	152	381	268	431	666	279	519	138	1186	700	480	0	0	0	0	0	0	349	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arl2	169.048387	0	0	423	387	480	382	293	265	658	0	480	391	167	615	112	115	172	918	749	689	153	279	0	0	0	0	550	0	511	467	805	0	0	0	0	0	0	0	126	0	0	0	294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mcc	168.854839	0	0	812	553	1051	469	561	708	492	119	294	350	503	954	139	346	165	722	632	363	90	0	0	0	0	0	499	170	248	0	105	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gtf2b	167.064516	0	0	296	147	323	245	280	471	213	0	0	352	322	563	0	246	92	650	325	314	791	1079	0	0	0	0	636	128	585	268	362	0	0	0	0	0	397	0	0	0	0	0	761	350	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0
Bdh1	166.596774	0	0	1005	569	895	450	344	455	153	0	0	254	157	876	0	0	152	288	174	152	93	0	0	0	0	0	1769	891	1546	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rps6ka3	165.967742	0	0	676	708	886	779	735	445	709	200	313	239	261	932	0	0	117	890	556	808	234	179	0	0	0	0	418	0	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr806	164.790323	300	243	0	0	0	0	0	0	0	0	0	235	0	163	182	0	0	0	0	0	679	786	940	909	897	898	189	0	0	242	213	414	340	0	0	0	268	0	0	0	182	406	0	238	0	0	176	0	0	0	0	0	343	637	185	0	0	0	152	0	0	0	0
Mdm4	164.612903	0	0	613	561	584	539	643	382	527	0	256	421	319	784	308	339	189	533	375	394	136	237	0	0	0	0	1124	169	648	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdk5r1	163.677419	0	0	629	510	828	548	539	382	663	0	369	311	0	574	0	0	0	1626	712	931	379	369	0	0	0	0	225	0	0	272	281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Evx1	161.370968	0	0	817	618	881	533	389	933	660	194	569	416	177	855	134	272	83	1081	628	461	195	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1229	160.145161	0	0	0	0	0	765	500	1163	415	77	558	737	490	1467	0	0	0	826	969	1443	0	0	0	0	0	0	315	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fzd10	157.483871	0	0	703	643	734	222	231	206	1024	150	447	212	0	385	0	0	0	1390	909	773	103	0	0	0	0	0	598	146	354	258	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klf4	157.241935	0	0	454	520	625	552	514	382	780	0	320	258	0	464	0	0	203	995	387	694	427	619	0	0	0	0	446	0	169	362	391	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr813	155.096774	0	0	295	217	271	444	421	626	274	0	395	719	344	1268	154	189	228	610	661	872	0	0	0	0	0	0	782	429	417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acp5	155.096774	0	0	561	443	603	437	250	361	662	139	326	296	0	477	205	225	156	1269	701	820	282	116	0	0	0	0	792	116	379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lin28a	154.919355	0	0	455	544	582	432	438	345	532	0	424	187	164	554	302	463	146	942	545	653	94	79	0	0	0	0	948	186	590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cep112	152.870968	0	0	1058	798	404	530	802	388	761	178	177	0	0	168	197	661	319	502	254	134	0	0	0	0	0	0	1083	145	919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Itgb3	152.806452	0	0	976	731	1076	841	705	504	704	165	433	0	0	572	161	0	158	673	555	377	0	0	0	0	0	0	265	0	190	0	0	0	0	0	0	0	0	0	0	0	0	0	388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
