Target_genes	Bcl6|Average	SRX094460|Liver	SRX094461|Liver	SRX094462|Liver	SRX094463|Liver	SRX094464|Liver	SRX094465|Liver	SRX094466|Liver	SRX016344|Macrophages	SRX028980|Macrophages	SRX028981|Macrophages	SRX112905|Macrophages	SRX6095747|mESC_derived_neural_cells	SRX6095749|mESC_derived_neural_cells	SRX6095751|mESC_derived_neural_cells	ERX383750|Pancreas	ERX383751|Pancreas	SRX1158860|Tfh	SRX353402|Th9	SRX353403|Th9	SRX1158861|Unclassified	STRING
Rnpepl1	104.85	449	661	130	271	233	219	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0
Csad	103.9	633	848	265	258	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0
Lcat	103.85	730	834	237	0	0	165	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0
Trim6	103.25	686	196	213	280	261	305	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0
Prlr	103.2	1096	431	214	323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Psmb10	103.15	730	834	237	0	0	165	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0
Hamp	102.2	141	334	0	514	179	612	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Synpo	100.4	587	796	295	142	0	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tpcn1	100.15	878	670	147	308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Iqcd	100.15	878	670	147	308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B4galnt1	99.0	551	935	184	199	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0
Wdr11	98.45	859	424	350	0	163	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dusp28	98.15	449	661	130	271	233	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ankmy1	98.15	449	661	130	271	233	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp707	97.45	609	785	452	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0
St6galnac6	96.2	666	653	103	0	90	114	0	0	0	0	180	0	0	0	0	0	118	0	0	0	0
Ctbp2	96.1	512	748	364	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	161	0
Tchhl1	95.45	559	787	426	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0
Akt1	94.35	605	685	0	227	182	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dcaf1	94.1	270	460	255	0	0	0	0	105	103	0	549	0	0	0	0	0	0	0	140	0	0
Unc93a2	93.8	721	688	223	0	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gigyf2	93.35	646	715	186	0	160	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0
A630076J17Rik	92.6	426	1011	290	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unc93a	91.95	637	696	235	0	271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aoc1	91.9	634	740	302	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fbxl19	91.6	599	604	278	0	0	125	0	0	0	0	0	0	0	0	0	0	226	0	0	0	0
Errfi1	90.7	298	230	0	448	0	415	229	0	0	0	0	0	0	0	0	0	194	0	0	0	0
Ttpa	90.55	500	551	359	0	0	0	0	0	0	0	0	0	0	0	0	0	266	0	0	135	0
Bmp1	89.95	670	703	240	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0	0	0	0
Cds2	89.7	560	588	172	156	0	181	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0
Apoa5	88.3	420	323	162	135	126	159	0	0	0	0	214	0	0	0	0	0	117	0	0	110	0
Uhrf1bp1l	87.45	875	685	0	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H4c12	87.35	122	133	0	138	0	0	0	0	0	0	0	163	232	176	0	0	567	0	0	216	0
Slc16a7	86.7	640	580	377	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0
Psmd3	86.6	451	376	0	0	0	0	0	0	0	0	0	165	240	377	0	0	0	0	123	0	0
Pafah2	86.25	508	286	168	0	0	0	0	0	0	0	0	90	0	0	0	0	371	0	0	302	0
Slc29a1	85.9	547	796	220	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gstt3	85.85	467	693	440	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam25c	85.75	529	743	277	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpia	85.7	447	581	228	216	114	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Angptl8	85.65	125	184	0	284	0	584	83	0	0	0	0	0	0	0	0	0	318	0	0	135	0
Vmn2r102	85.35	0	159	129	0	0	0	0	181	165	0	0	181	200	0	0	0	124	0	0	568	0
Rfx5	83.85	717	663	0	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0
Mbl2	83.8	734	630	210	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hsp90b1	82.85	645	384	265	0	213	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tent5c	82.75	0	0	0	0	327	0	178	181	0	0	194	0	0	0	0	0	308	0	0	467	0
Tm9sf2	82.2	359	731	419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0
Sspn	81.55	0	0	0	0	0	0	0	104	85	0	266	0	98	0	0	0	116	198	764	0	0
Cbr3	81.35	151	0	0	307	0	0	0	0	0	0	0	0	206	213	0	0	461	0	0	289	0
Ski	81.05	554	553	333	0	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ahsg	79.8	175	224	140	227	215	365	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gbp7	79.7	598	199	0	362	0	0	0	65	0	0	370	0	0	0	0	0	0	0	0	0	0
Itih2	79.5	452	611	363	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0
H4c11	79.35	113	140	0	244	108	0	120	0	0	0	0	144	284	284	0	0	150	0	0	0	0
Gcdh	79.3	526	630	212	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0
Fam210b	78.2	281	697	217	160	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crcp	78.15	428	556	274	115	0	0	0	0	0	0	0	0	0	0	0	0	190	0	0	0	0
B4galt1	77.9	637	361	206	207	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp219	77.0	254	252	0	0	0	240	0	0	0	0	0	212	164	418	0	0	0	0	0	0	0
Zpr1	76.95	420	323	162	135	126	159	0	0	0	0	214	0	0	0	0	0	0	0	0	0	0
Hacl1	76.5	897	320	139	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Btd	76.5	897	320	139	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tle1	76.35	392	579	274	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Agtr1a	75.85	336	725	264	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	0
Cyp2b9	75.75	239	400	156	0	0	222	0	0	0	0	0	0	0	0	0	0	376	0	0	122	0
Slc25a51	75.3	334	716	363	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Usp25	75.25	382	388	122	0	346	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pck1	75.15	221	222	0	225	0	97	268	0	0	0	0	0	0	0	0	0	308	0	0	162	0
Bcl6	75.0	699	150	0	0	0	0	0	0	0	0	162	193	114	182	0	0	0	0	0	0	0
Prkdc	74.55	389	274	0	145	0	0	0	277	0	0	246	0	0	0	0	0	160	0	0	0	0
Xpot	74.35	518	518	451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clec2d	74.25	351	296	0	147	142	283	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sorbs1	74.15	0	0	0	0	0	0	0	0	0	0	0	202	260	0	0	0	646	0	0	375	0
H4c3	74.1	177	204	92	124	116	215	0	0	0	0	0	116	206	232	0	0	0	0	0	0	0
H1f6	74.1	177	204	92	124	116	215	0	0	0	0	0	116	206	232	0	0	0	0	0	0	0
Cerk	74.1	409	559	259	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H4bc24	74.0	164	264	0	191	130	226	0	0	0	0	0	0	142	185	0	0	178	0	0	0	0
H2bc23	74.0	164	264	0	191	130	226	0	0	0	0	0	0	142	185	0	0	178	0	0	0	0
H2ac24	74.0	164	264	0	191	130	226	0	0	0	0	0	0	142	185	0	0	178	0	0	0	0
H2ac23	74.0	164	264	0	191	130	226	0	0	0	0	0	0	142	185	0	0	178	0	0	0	0
Ap1m1	74.0	479	493	115	0	253	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prdx1	73.75	823	335	0	163	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0
Rsad2	73.4	670	539	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nipal1	73.2	576	740	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tbc1d10b	73.15	353	386	207	0	0	0	0	0	0	0	0	0	0	0	0	0	223	0	153	141	0
Mylpf	73.15	353	386	207	0	0	0	0	0	0	0	0	0	0	0	0	0	223	0	153	141	0
H2bc6	72.95	230	244	0	244	0	246	150	0	0	0	0	0	155	190	0	0	0	0	0	0	0
Atp6v0d2	72.9	278	452	223	0	0	0	0	0	0	0	0	0	0	0	0	0	217	0	0	288	0
Lmnb2	72.65	0	82	0	0	0	0	0	0	0	0	0	655	125	225	0	0	286	0	0	80	0
Znhit1	72.3	164	212	0	252	0	0	0	0	0	0	0	0	0	0	0	0	483	0	0	335	0
Plod3	72.3	164	212	0	252	0	0	0	0	0	0	0	0	0	0	0	0	483	0	0	335	0
Uckl1	72.2	420	458	135	112	108	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dapk3	72.2	214	511	0	0	198	0	0	0	0	0	0	0	133	253	0	0	135	0	0	0	0
Tnfsf14	72.1	637	557	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lin52	72.1	250	324	0	364	0	297	0	0	0	0	0	0	0	0	0	0	207	0	0	0	0
Aldh6a1	72.1	250	324	0	364	0	297	0	0	0	0	0	0	0	0	0	0	207	0	0	0	0
Ubc	72.0	268	167	0	118	284	191	228	0	0	0	0	0	82	102	0	0	0	0	0	0	0
St6gal1	71.6	432	604	235	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0
Dffb	71.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	670	0	0	761	0
Cep104	71.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	670	0	0	761	0
Spin1	71.5	397	637	396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lyl1	71.1	466	701	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ier2	71.1	271	469	177	0	0	0	0	0	0	0	0	183	128	194	0	0	0	0	0	0	0
Vwa2	71.0	474	546	154	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem53	70.95	382	570	234	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0
Armh1	70.95	382	570	234	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0
Sult1a1	70.85	419	718	280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bag2	70.85	360	674	240	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0
Map3k21	70.75	198	374	188	0	169	94	0	0	0	0	0	0	0	0	0	0	231	0	0	161	0
Cd163l1	70.75	0	0	0	0	0	0	0	0	0	0	0	234	238	0	0	0	618	0	0	325	0
Tat	70.45	193	246	0	304	76	209	270	0	0	0	0	0	0	0	0	0	111	0	0	0	0
Dhx35	70.35	518	623	155	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0
Il6ra	70.3	452	710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	0	0	0	0
Tspan9	69.85	616	441	0	140	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0
Rassf7	69.55	548	621	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lmntd2	69.55	548	621	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zkscan14	69.25	481	231	212	0	374	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0
Prkacb	69.2	297	337	160	0	0	0	0	0	0	0	0	0	0	0	0	0	402	0	0	188	0
1810037I17Rik	69.0	659	0	0	0	0	0	0	0	0	0	0	216	149	356	0	0	0	0	0	0	0
Samd9l	68.7	348	287	0	168	0	0	0	0	0	0	0	0	0	0	0	0	355	0	0	216	0
Prr16	68.7	360	712	302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bcat2	68.65	373	504	211	133	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0
Rhobtb1	68.55	275	223	0	0	0	0	0	140	154	0	429	0	0	0	0	0	150	0	0	0	0
Acy1	68.55	109	152	0	0	0	0	0	115	131	0	763	0	0	0	0	0	101	0	0	0	0
Cyp4a31	68.3	566	586	127	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0
Cyp3a41a	67.9	583	420	0	177	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0	0	0
Mgll	67.75	374	710	271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pdk1	67.65	347	697	159	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0
Wdr3	67.4	541	659	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mmp19	67.35	440	744	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zkscan6	67.3	286	411	216	0	0	0	0	0	0	0	0	0	0	0	0	0	433	0	0	0	0
E330021D16Rik	67.0	466	404	90	216	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ptgds	66.7	441	446	115	221	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0
H4c18	66.65	164	264	0	186	130	128	0	0	0	0	0	0	98	185	0	0	178	0	0	0	0
1600014C10Rik	66.65	271	281	180	168	0	226	0	0	0	0	0	0	0	0	0	0	97	0	0	110	0
Samd4	66.6	470	394	236	0	0	0	0	0	0	0	0	0	0	0	0	0	232	0	0	0	0
Myc	66.45	432	522	246	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lnx1	66.05	418	687	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fth1	65.9	551	520	174	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0
Hacd1	65.4	525	605	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H4c4	65.2	230	244	0	244	0	246	150	0	0	0	0	0	0	190	0	0	0	0	0	0	0
Zkscan5	64.9	481	231	212	0	374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hspe1	64.75	561	540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0	0
Hspd1	64.75	561	540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0	0
Fabp1	64.65	269	445	165	121	0	141	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brpf1	64.6	434	552	182	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0
Fndc3a	64.55	538	528	0	126	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0
Rdh16f2	64.45	496	496	297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ptpa	63.95	516	460	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0
Crat	63.95	516	460	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0
Sdc4	63.85	312	431	0	99	0	161	82	0	0	0	0	0	0	0	0	0	192	0	0	0	0
Ing1	63.5	351	611	209	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0
Mfsd4b5	63.3	158	324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	444	0	0	340	0
Vpreb3	63.0	274	536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	335	0	0	115	0
Gm867	63.0	274	536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	335	0	0	115	0
Cyp8b1	62.9	182	703	373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trmt11	62.65	316	280	0	85	0	171	0	0	0	0	187	127	0	0	0	0	87	0	0	0	0
Atxn7l1	62.65	114	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	569	0	0	411	0
Acsl5	62.55	350	405	180	152	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0
Slc35a5	62.5	414	569	156	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0
Atg3	62.5	414	569	156	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0
Gclm	62.45	666	276	0	307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kdm5c	62.15	469	263	101	112	174	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0
Taar1	61.25	418	491	166	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0
Pmf1	61.05	556	508	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A930033H14Rik	61.05	275	223	0	0	0	0	0	140	154	0	429	0	0	0	0	0	0	0	0	0	0
Serpina3k	60.95	206	207	0	0	193	460	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp36	60.9	271	175	0	0	0	144	221	0	0	0	0	0	0	0	0	0	272	0	0	135	0
Zfp395	60.85	398	449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	370	0	0	0	0
Gcnt2	60.75	329	298	166	0	0	0	0	0	0	0	0	0	0	0	0	0	274	0	0	148	0
Rps29	60.65	147	0	0	165	0	0	0	370	0	0	186	0	0	0	0	0	0	196	149	0	0
Acot4	60.6	291	535	386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tm6sf2	60.45	487	509	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zbed4	60.4	229	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	436	0	0	253	0
Trib1	60.3	431	396	109	0	165	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0
Mroh2a	60.3	204	378	223	0	0	0	0	0	0	0	0	0	0	0	0	0	197	0	0	204	0
