Target_genes	Cebpg|Average	SRX1437952|MEF	STRING
Emcn	202.0	202	0
Rbbp5	201.0	201	0
Epb41	201.0	201	0
Zbtb7b	200.0	200	0
Slc7a3	200.0	200	0
Il13ra2	200.0	200	0
Cep162	200.0	200	0
4930558C23Rik	200.0	200	0
Rps29	199.0	199	0
Hfe	199.0	199	0
Itih1	197.0	197	0
Hhipl1	196.0	196	0
Osbpl9	195.0	195	0
Cyb5r1	195.0	195	0
Lurap1l	190.0	190	0
Znhit1	188.0	188	0
Tomm6	188.0	188	0
Smarcad1	188.0	188	0
Prmt3	188.0	188	0
Plod3	188.0	188	0
Gcnt4	188.0	188	0
Crbn	188.0	188	0
Zbtb38	187.0	187	0
Marchf6	186.0	186	0
Lsg1	185.0	185	0
Ss18l2	184.0	184	0
Ttc39b	183.0	183	0
Slc25a33	183.0	183	0
Nup35	182.0	182	0
Bdnf	182.0	182	0
Smim10l1	181.0	181	0
Rbfox2	180.0	180	0
Pxk	179.0	179	0
Pacsin2	179.0	179	0
Zadh2	177.0	177	0
Tshz1	177.0	177	0
Ruvbl2	177.0	177	0
Pax8	177.0	177	0
Gys1	177.0	177	0
Cox6a2	177.0	177	0
Aqp9	177.0	177	0
Ubr2	176.0	176	0
Thap12	176.0	176	0
Slc7a7	176.0	176	0
Macrod1	176.0	176	0
Pfdn1	175.0	175	0
Ing2	175.0	175	0
Hsd3b1	175.0	175	0
Crls1	174.0	174	0
Ppp1r10	173.0	173	0
Paqr3	173.0	173	0
Mrps18b	173.0	173	0
Sec14l1	171.0	171	0
Plekhg3	171.0	171	0
Alkbh5	171.0	171	0
Cttnbp2nl	170.0	170	0
Glipr2	169.0	169	0
Adm	169.0	169	0
Marchf5	167.0	167	0
Cpeb3	167.0	167	0
Vgll3	166.0	166	0
Foxp1	166.0	166	0
Uvssa	165.0	165	0
Nfxl1	165.0	165	0
E030018B13Rik	165.0	165	0
Kpna1	164.0	164	0
Fbln5	164.0	164	0
Dusp28	163.0	163	0
Ankmy1	163.0	163	0
Kansl1	162.0	162	0
Nemf	160.0	160	0
Tnni3k	158.0	158	0
Creb5	157.0	157	0
Smarca2	156.0	156	0
Slc7a1	156.0	156	0
Slc30a4	155.0	155	0
Slc45a4	154.0	154	0
Otub2	154.0	154	0
Myd88	154.0	154	0
Mib2	154.0	154	0
Hoxb9	154.0	154	0
Hmox1	154.0	154	0
Grb10	154.0	154	0
Cep120	154.0	154	0
Cass4	154.0	154	0
Capn10	154.0	154	0
Acaa1a	154.0	154	0
Nfe2l2	153.0	153	0
Oxsm	152.0	152	0
Lhfpl2	152.0	152	0
Tspyl4	151.0	151	0
Samd8	150.0	150	0
Dusp13	150.0	150	0
Lrrc49	149.0	149	0
Dld	148.0	148	0
Osr1	147.0	147	0
Eif2s2	146.0	146	0
Slc6a9	145.0	145	0
Bmt2	145.0	145	0
Uba3	144.0	144	0
Mideas	143.0	143	0
Gtpbp4	143.0	143	0
Fam161a	143.0	143	0
Cry2	143.0	143	0
Arid1a	143.0	143	0
Adm2	143.0	143	0
Snx33	141.0	141	0
Ssu72	140.0	140	0
Atf4	138.0	138	0
Arhgap24	137.0	137	0
Dnaja3	136.0	136	0
Coro7	136.0	136	0
Uba6	135.0	135	0
Gpr141	135.0	135	0
Dync1li1	135.0	135	0
Tsc22d2	134.0	134	0
Tmem11	132.0	132	0
Rnd1	132.0	132	0
Glrp1	132.0	132	0
Fam13b	132.0	132	0
Eogt	132.0	132	0
Atp8a1	132.0	132	0
Tnks1bp1	129.0	129	0
Cd47	126.0	126	0
Eif4g2	123.0	123	0
Slc39a11	121.0	121	0
Vps54	114.0	114	0
Usp2	111.0	111	0
Myoz1	111.0	111	0
Csnk1g2	111.0	111	0
Cd2bp2	111.0	111	0
Stk25	110.0	110	0
Inpp4b	106.0	106	0
Tbce	102.0	102	0
Smad7	102.0	102	0
Gm12258	100.0	100	0
Atf6	91.0	91	0
Il6	0.0	0	401
