Target_genes	Tcf4|Average	SRX22670268|Cortex	SRX22670269|Cortex	SRX22670285|Cortex	SRX22670286|Cortex	SRX9641192|EpiLC	SRX9641193|EpiLC	SRX9641194|EpiLC	SRX9641205|EpiLC	SRX9641206|EpiLC	SRX9641207|EpiLC	SRX9641221|EpiLC	SRX9641222|EpiLC	SRX9641223|EpiLC	SRX9641173|ES_cells	SRX9641174|ES_cells	SRX9641175|ES_cells	SRX323584|Hair_follicle_stem_cells	SRX116907|Hepatocytes	SRX116909|Hepatocytes	SRX856962|Intestinal_crypt	SRX856963|Intestinal_crypt	SRX1141903|Intestinal_stem_cells	SRX1141904|Intestinal_stem_cells	SRX14986811|MC-38	SRX14986813|MC-38	SRX6818037|Mesenchymal_stem_cells	SRX6818038|Mesenchymal_stem_cells	SRX6818039|Mesenchymal_stem_cells	SRX6818040|Mesenchymal_stem_cells	STRING
Ireb2	853.37931	325	168	161	168	1353	1881	1810	1801	2107	1407	2538	1681	1860	1811	2221	1603	1431	132	0	0	0	0	0	0	0	290	0	0	0	0
Rps19	852.931034	172	163	205	173	1549	1721	1891	1696	2059	1846	2371	1866	1851	1799	2050	1405	998	296	222	0	0	0	0	0	0	262	140	0	0	0
Lef1	833.931034	841	821	699	852	625	1010	449	561	769	591	1362	359	973	712	718	428	218	1254	0	181	2130	76	838	0	0	1728	522	4065	1402	0
Hspa4	825.551724	224	117	234	225	1279	1554	1487	1750	1997	1434	2408	1867	1822	1978	2313	1569	1296	261	0	0	0	0	0	0	0	126	0	0	0	0
Stxbp4	818.62069	166	218	197	188	1074	1922	1728	1612	1976	1501	2421	1872	1949	1992	2279	1610	1035	0	0	0	0	0	0	0	0	0	0	0	0	0
Cox11	818.62069	166	218	197	188	1074	1922	1728	1612	1976	1501	2421	1872	1949	1992	2279	1610	1035	0	0	0	0	0	0	0	0	0	0	0	0	0
Cldn34d	816.068966	1171	1365	972	1044	492	535	299	752	810	121	1415	143	393	774	843	400	270	0	0	988	2033	496	1111	646	822	1308	1469	1619	1375	0
Eif4a3	815.206897	194	158	183	220	1249	1385	1582	1505	1866	1314	2406	1791	2033	1990	2246	1477	1387	235	0	0	130	0	0	0	0	189	101	0	0	0
Rbm39	805.724138	144	187	172	152	1210	1742	1662	1640	1949	1571	2381	1658	1764	1659	1909	1513	1019	313	160	0	0	0	0	0	0	170	110	118	163	0
Scamp5	801.448276	168	84	120	105	1214	1705	1731	1701	2027	1356	2657	1639	1869	1929	2394	1676	726	141	0	0	0	0	0	0	0	0	0	0	0	0
Arf3	783.689655	166	152	143	128	1068	1768	1814	1550	2020	1703	2319	1666	1979	1616	2159	1563	913	0	0	0	0	0	0	0	0	0	0	0	0	0
Puf60	774.689655	225	186	190	180	1142	1781	1720	1453	1930	1583	2283	1589	1931	1704	2034	1249	829	201	0	0	0	0	0	0	0	147	109	0	0	0
Akap11	759.689655	172	126	151	103	1493	1614	1888	1686	1705	1401	2348	1483	1940	1638	1947	1265	874	197	0	0	0	0	0	0	0	0	0	0	0	0
Styxl1	758.034483	104	107	138	140	1069	1615	1640	1466	1815	1578	1949	1571	1779	1624	1891	1367	1830	300	0	0	0	0	0	0	0	0	0	0	0	0
Mdh2	758.034483	104	107	138	140	1069	1615	1640	1466	1815	1578	1949	1571	1779	1624	1891	1367	1830	300	0	0	0	0	0	0	0	0	0	0	0	0
Ddhd2	757.758621	215	205	231	197	1376	1784	1771	1632	1932	1491	2086	1517	1659	1489	2093	1322	313	290	0	0	0	0	0	0	0	254	118	0	0	0
Ankfy1	752.241379	154	182	151	149	1034	1429	1652	1469	1812	1284	2296	1758	1947	1831	2282	1525	860	0	0	0	0	0	0	0	0	0	0	0	0	0
Pfkfb2	751.62069	133	0	98	129	1141	1363	1406	1194	1681	1231	1600	1436	1587	1296	1620	1059	537	210	0	0	0	0	0	0	0	572	233	2076	1195	0
Rraga	733.241379	190	126	179	152	1011	1555	1497	1265	1765	1499	2058	1483	1478	1729	2114	1162	1330	181	0	0	0	0	0	0	0	259	125	106	0	0
Zfp142	713.758621	468	441	416	344	140	381	166	149	450	161	268	128	169	234	367	0	291	749	241	0	1469	0	336	0	0	5276	4146	2158	1751	0
Bcs1l	713.758621	468	441	416	344	140	381	166	149	450	161	268	128	169	234	367	0	291	749	241	0	1469	0	336	0	0	5276	4146	2158	1751	0
Axin2	713.068966	1027	1079	1171	1206	389	664	558	643	876	493	1545	732	1162	655	812	570	469	904	0	94	1281	0	531	0	0	2365	365	854	234	0
Lamp1	710.551724	178	0	217	122	1081	1414	1919	1675	1652	1523	2165	1296	1575	1438	1946	911	888	141	0	0	0	0	0	0	0	132	184	0	149	0
Slc26a8	705.241379	245	184	268	188	1055	1350	1578	1368	1750	1091	1914	1437	1588	1693	1923	1227	1114	254	131	0	0	0	0	0	0	0	94	0	0	0
Mapk14	705.241379	245	184	268	188	1055	1350	1578	1368	1750	1091	1914	1437	1588	1693	1923	1227	1114	254	131	0	0	0	0	0	0	0	94	0	0	0
Mms22l	681.103448	178	203	240	152	1020	1702	1424	1617	1722	1306	1919	1352	1503	1508	1958	1027	620	301	0	0	0	0	0	0	0	0	0	0	0	0
Psmd5	675.551724	353	242	305	266	787	1456	1472	1038	1478	1217	1888	1323	1524	1384	1980	952	1309	213	0	0	0	0	0	0	0	175	109	120	0	0
Cutal	675.551724	353	242	305	266	787	1456	1472	1038	1478	1217	1888	1323	1524	1384	1980	952	1309	213	0	0	0	0	0	0	0	175	109	120	0	0
Rictor	672.068966	232	253	253	240	409	761	894	830	972	650	1472	631	992	1112	1096	665	230	428	0	0	513	0	0	0	0	1686	600	2296	2275	0
Zfp219	652.448276	301	279	307	335	480	661	1000	819	1027	887	1218	830	1162	853	917	375	0	571	0	0	1078	0	171	0	0	2151	1390	1080	1029	0
Tmem253	652.448276	301	279	307	335	480	661	1000	819	1027	887	1218	830	1162	853	917	375	0	571	0	0	1078	0	171	0	0	2151	1390	1080	1029	0
Thoc1	647.586207	163	128	149	145	496	974	1157	905	1337	986	1425	663	1391	777	982	470	133	602	146	0	544	0	0	0	0	2204	1518	714	771	0
Rbm26	643.103448	169	128	144	120	905	1438	1449	1053	1662	1319	1925	1435	1478	1547	1700	959	418	97	0	0	0	0	0	0	0	505	199	0	0	0
Yod1	631.586207	133	0	98	129	1141	1363	1406	1194	1681	1231	1600	1436	1587	1296	1620	1059	537	210	0	0	0	0	0	0	0	108	0	367	120	0
Nptn	626.37931	184	102	179	169	693	934	1275	999	1125	952	1567	1325	1261	1479	1668	865	378	0	0	0	0	0	0	0	0	912	604	910	584	0
Slc25a28	620.241379	145	114	127	130	160	260	325	214	308	258	340	330	323	234	398	245	503	359	141	0	846	0	183	0	0	4147	3109	2345	2443	0
Tmem134	618.517241	215	145	217	92	866	1223	1272	1314	1437	1304	1826	1288	1539	1653	1888	724	443	146	0	0	0	0	0	0	0	155	190	0	0	0
Aip	618.517241	215	145	217	92	866	1223	1272	1314	1437	1304	1826	1288	1539	1653	1888	724	443	146	0	0	0	0	0	0	0	155	190	0	0	0
Psmb2	616.517241	220	204	187	132	856	1109	1374	1344	1474	1141	1580	1475	1561	1548	1766	977	709	222	0	0	0	0	0	0	0	0	0	0	0	0
Zfp566	612.827586	131	0	74	0	815	1120	1458	1144	1594	1218	1749	1086	1452	1600	1630	942	334	226	0	0	0	0	0	0	0	659	301	239	0	0
Eif4g3	608.724138	111	81	118	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4918	3983	4404	3942	0
Myef2	608.62069	185	197	118	183	1094	1198	1356	1307	1516	1144	1860	1312	1655	1423	1927	882	293	0	0	0	0	0	0	0	0	0	0	0	0	0
Mob1a	600.137931	164	135	165	167	1100	1372	1415	1613	1415	1356	1604	949	1248	1276	1703	885	718	119	0	0	0	0	0	0	0	0	0	0	0	0
Rc3h2	599.137931	245	249	215	216	730	1174	1477	1107	1648	1089	1564	1222	1404	1212	1676	988	879	167	0	0	0	0	0	0	0	113	0	0	0	0
Tbc1d12	597.241379	0	0	86	131	0	0	0	0	0	0	0	0	0	0	0	0	0	343	0	0	186	0	0	0	0	4410	3184	4821	4159	0
Rnpc3	592.758621	251	268	299	155	777	1078	1470	925	1539	1128	1596	1230	1375	1209	1615	937	1020	318	0	0	0	0	0	0	0	0	0	0	0	0
Eif5	590.172414	250	210	311	181	820	972	1226	1336	1309	974	1503	1159	1440	1359	1502	887	682	129	0	0	167	0	0	0	0	364	180	154	0	0
Gtf2a1	586.827586	371	203	325	355	504	592	662	466	506	505	859	850	908	925	814	528	0	161	0	0	0	0	0	0	0	2173	1223	2354	1734	0
Taf1	581.103448	131	0	141	0	0	0	0	0	97	0	0	0	0	0	0	0	682	1014	523	0	1025	0	0	0	0	4503	3266	3111	2359	0
Tmem209	580.827586	197	109	98	107	1057	1053	1356	1435	1559	1426	1464	1109	1226	1453	1595	648	485	257	0	0	0	0	0	0	0	95	115	0	0	0
Ssmem1	580.827586	197	109	98	107	1057	1053	1356	1435	1559	1426	1464	1109	1226	1453	1595	648	485	257	0	0	0	0	0	0	0	95	115	0	0	0
Uhrf2	578.965517	271	189	231	171	975	926	1226	1153	1174	897	1826	1272	1415	1496	1641	1036	646	0	0	0	0	0	0	0	0	0	123	122	0	0
Btbd10	576.0	214	101	145	185	674	1118	1268	1188	1485	836	1800	1012	1304	1489	1850	793	835	407	0	0	0	0	0	0	0	0	0	0	0	0
Prdm11	573.758621	101	106	159	156	0	0	0	0	0	0	0	0	0	0	0	0	0	561	0	0	0	0	0	0	0	4099	3166	4555	3736	0
Herc1	572.0	185	133	235	193	687	1165	1281	997	1520	934	1601	1149	1421	1425	1766	937	679	143	0	0	0	0	0	0	0	137	0	0	0	0
Zfp260	571.482759	131	0	74	0	815	1120	1458	1144	1594	1218	1749	1086	1452	1600	1630	942	334	226	0	0	0	0	0	0	0	0	0	0	0	0
Ube2d3	571.448276	288	178	219	203	881	796	932	1002	1084	710	1509	917	924	1190	1467	1015	737	282	171	0	0	0	0	0	0	599	141	950	377	0
Dzip3	570.689655	254	205	222	152	840	823	1529	1173	1227	1086	1411	906	1319	1267	1760	850	144	0	0	0	0	0	0	0	0	351	432	216	383	0
Cip2a	570.689655	254	205	222	152	840	823	1529	1173	1227	1086	1411	906	1319	1267	1760	850	144	0	0	0	0	0	0	0	0	351	432	216	383	0
Zbtb2	569.586207	174	209	154	176	821	1212	1465	1171	1283	759	1943	1116	1377	1568	1770	895	425	0	0	0	0	0	0	0	0	0	0	0	0	0
Haspin	568.448276	180	178	277	137	624	1112	982	1054	1112	916	1754	1235	1683	1601	1681	1049	628	181	0	0	0	0	0	0	0	101	0	0	0	0
Map3k7	565.310345	136	182	244	156	587	1190	1211	986	1436	985	1805	1052	1496	1536	1691	962	499	240	0	0	0	0	0	0	0	0	0	0	0	0
Naa35	565.068966	273	149	270	174	991	1055	1160	929	1489	1004	1626	951	1229	1353	1428	972	871	232	0	0	0	0	0	0	0	231	0	0	0	0
Rnf4	560.862069	0	97	119	89	691	1286	1032	1272	1459	918	1220	1331	1569	1509	1631	917	777	183	165	0	0	0	0	0	0	0	0	0	0	0
Dnajb4	560.793103	239	332	176	241	776	1049	925	1042	1457	805	1675	1052	1345	1346	1530	866	696	252	0	0	0	0	0	0	0	182	0	163	114	0
Gpr84	560.344828	244	225	244	197	0	0	0	0	0	0	0	0	0	0	0	0	0	234	0	0	0	0	0	0	0	3312	2659	4928	4207	0
Asxl1	557.241379	142	136	160	95	645	766	1112	793	1090	660	1089	970	1087	914	1390	513	262	0	0	0	0	0	0	0	0	565	555	2026	1190	0
Asph	555.931034	200	114	154	177	281	507	576	555	649	336	770	283	722	591	1096	412	371	646	386	0	0	0	0	0	0	1476	1200	2561	2059	0
Cyb5r4	550.37931	178	115	133	147	0	0	0	0	247	0	0	0	0	0	0	0	133	247	82	0	1089	0	234	0	0	5149	3645	2265	2297	0
B230219D22Rik	548.068966	286	216	200	210	855	1156	971	1012	1338	819	1637	1251	1285	1082	1819	685	516	144	0	0	0	0	0	0	0	167	0	245	0	0
Nop14	546.896552	161	165	211	133	700	1100	1346	953	1628	844	1753	1008	1406	1062	1413	890	334	128	161	0	0	0	0	0	0	103	176	185	0	0
Grk4	546.896552	161	165	211	133	700	1100	1346	953	1628	844	1753	1008	1406	1062	1413	890	334	128	161	0	0	0	0	0	0	103	176	185	0	0
Bahcc1	542.137931	581	523	467	513	0	158	139	246	453	254	651	274	450	356	373	0	146	908	0	0	1052	0	287	0	0	2909	2069	1519	1394	0
Nsun3	541.103448	162	186	145	206	693	1140	1187	929	1559	923	1725	1021	1517	1130	1415	677	668	265	0	0	0	0	0	0	0	0	0	144	0	0
Fubp1	540.793103	239	332	176	241	776	1049	925	1042	1457	805	1675	1052	1345	1346	1530	866	696	131	0	0	0	0	0	0	0	0	0	0	0	0
Chuk	538.896552	0	151	144	111	314	585	765	611	714	330	978	818	718	754	1025	618	448	160	0	0	0	0	0	0	0	2090	1190	1902	1202	0
Micos10	538.344828	117	132	125	122	590	1145	1283	874	1220	848	1614	962	1645	1275	1793	895	687	182	0	0	0	0	0	0	0	0	103	0	0	0
Golm2	530.517241	169	150	171	180	702	1179	1243	1041	1480	972	1620	1137	1370	1531	1617	823	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coq9	529.931034	255	128	245	112	929	976	1260	1111	1478	667	1507	952	1163	1231	1609	648	693	220	184	0	0	0	0	0	0	0	0	0	0	0
Ciapin1	529.931034	255	128	245	112	929	976	1260	1111	1478	667	1507	952	1163	1231	1609	648	693	220	184	0	0	0	0	0	0	0	0	0	0	0
Get4	528.310345	185	187	258	176	779	1027	1031	875	1324	859	1783	1101	1147	1225	1600	794	697	273	0	0	0	0	0	0	0	0	0	0	0	0
Spdl1	528.137931	0	88	93	160	709	934	1221	1021	1087	820	1866	1130	1271	1432	1579	781	678	310	136	0	0	0	0	0	0	0	0	0	0	0
Wbp1l	528.103448	158	115	193	101	0	0	0	0	0	0	0	0	0	0	0	0	0	264	133	0	0	0	0	0	0	3513	2972	4316	3550	0
1810058I24Rik	527.827586	93	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4309	3093	4155	3581	0
Tmco1	527.137931	342	101	229	126	699	1202	1052	971	1279	808	1506	1292	1517	1172	1436	771	495	165	0	0	0	0	0	0	0	124	0	0	0	0
4833439L19Rik	527.137931	148	117	87	115	754	1060	1330	1183	1790	1126	1489	933	1511	1231	1466	719	228	0	0	0	0	0	0	0	0	0	0	0	0	0
Grcc10	520.896552	204	102	232	124	634	1048	1116	985	1555	1004	966	843	1115	750	1051	511	271	235	0	0	257	0	0	0	0	844	539	442	278	0
Gtf2b	519.241379	298	314	339	222	0	180	0	258	370	141	309	0	140	187	259	104	844	1344	259	0	1079	0	115	0	0	2862	1657	2142	1635	0
Kazald1	516.724138	122	122	111	90	830	1134	1337	1111	1413	1136	1607	1117	1080	1065	1483	600	627	0	0	0	0	0	0	0	0	0	0	0	0	0
Brox	516.586207	703	1053	720	1120	111	122	0	144	83	0	270	0	0	0	116	0	291	222	255	688	2276	332	949	394	491	795	1214	1370	1262	0
Aida	516.586207	703	1053	720	1120	111	122	0	144	83	0	270	0	0	0	116	0	291	222	255	688	2276	332	949	394	491	795	1214	1370	1262	0
Ggnbp2	516.034483	176	196	174	194	622	864	1156	1021	1024	862	1621	1110	1456	1296	1441	1272	372	108	0	0	0	0	0	0	0	0	0	0	0	0
Vdac3	514.931034	194	177	179	284	921	967	1278	1199	1435	1141	1585	938	1060	1067	1389	582	227	310	0	0	0	0	0	0	0	0	0	0	0	0
Drg1	514.931034	260	166	219	211	491	884	1055	754	1218	686	1759	1094	1447	1481	1657	1056	320	175	0	0	0	0	0	0	0	0	0	0	0	0
Tspan8	513.413793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3477	2723	4534	4155	0
Zbtb40	509.241379	362	251	210	250	771	1085	928	941	1102	754	1558	1013	1107	1306	1376	640	309	299	136	0	0	0	0	0	0	259	111	0	0	0
Prdx1	509.206897	171	100	186	108	960	1030	1143	970	1277	893	1363	983	1182	1366	1401	773	548	159	0	0	0	0	0	0	0	0	0	154	0	0
Sp5	505.862069	190	154	182	181	484	520	482	489	1105	562	1467	375	655	409	522	241	0	618	0	183	2253	99	986	0	0	720	148	1296	349	0
Tpr	505.758621	226	130	180	184	633	589	798	822	896	581	987	608	1050	657	1035	311	0	192	253	0	0	0	0	0	0	1206	769	1611	949	0
Odr4	505.758621	226	130	180	184	633	589	798	822	896	581	987	608	1050	657	1035	311	0	192	253	0	0	0	0	0	0	1206	769	1611	949	0
Marchf7	503.655172	214	115	158	134	1087	748	1161	856	698	751	2410	1026	1380	1505	1296	789	278	0	0	0	0	0	0	0	0	0	0	0	0	0
Cul3	503.413793	269	273	253	305	795	1110	1123	1140	1213	902	1030	1036	1568	1301	1500	781	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zcchc14	500.724138	164	117	130	82	824	990	1339	1330	1140	834	1686	654	1305	993	1094	629	378	259	0	0	0	0	0	0	0	448	125	0	0	0
Atf2	499.137931	163	130	215	167	771	927	1001	1154	1094	918	1249	1066	1171	1396	1343	684	756	146	0	0	0	0	0	0	0	124	0	0	0	0
Snx17	498.068966	164	187	169	98	0	135	0	0	212	0	315	0	207	0	0	0	0	1323	560	0	1243	0	261	0	0	3482	1840	2805	1443	0
Eif2b4	498.068966	164	187	169	98	0	135	0	0	212	0	315	0	207	0	0	0	0	1323	560	0	1243	0	261	0	0	3482	1840	2805	1443	0
Ercc6l2	497.551724	209	248	201	205	548	1053	1071	813	1259	717	1775	846	1042	1003	1688	747	707	212	0	0	0	0	0	0	0	85	0	0	0	0
Gtf3c4	496.931034	206	173	221	208	0	0	0	0	0	0	0	0	0	0	0	0	0	206	0	0	0	0	0	0	0	2881	1983	4656	3877	0
Ddx31	496.931034	206	173	221	208	0	0	0	0	0	0	0	0	0	0	0	0	0	206	0	0	0	0	0	0	0	2881	1983	4656	3877	0
Slc35b4	494.827586	99	0	0	0	669	1093	1447	921	1369	978	1240	745	1095	964	994	375	0	0	0	0	0	0	0	0	0	193	139	1132	897	0
Rab33b	491.482759	267	215	262	211	710	887	857	966	1112	905	1106	1008	1417	1069	1498	685	277	527	0	0	0	0	0	0	0	274	0	0	0	0
Vav1	488.310345	120	102	0	110	0	192	0	0	283	0	353	152	426	0	0	0	161	405	0	0	1233	0	281	0	0	3878	2594	2281	1590	0
Phf12	486.896552	128	0	138	153	598	704	1380	717	973	851	1326	860	1169	813	1222	696	323	367	352	0	0	0	376	0	0	392	230	213	139	0
Nudt1	485.586207	154	127	74	99	593	900	1051	971	1312	912	1497	974	1190	1058	1521	660	611	0	0	0	0	0	0	0	0	290	88	0	0	0
Herc3	485.37931	0	161	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3921	1667	4745	3446	0
Trappc2	481.896552	127	84	0	99	514	1031	1171	842	1462	615	1503	1044	1507	1090	1475	934	477	0	0	0	0	0	0	0	0	0	0	0	0	0
Ofd1	481.896552	127	84	0	99	514	1031	1171	842	1462	615	1503	1044	1507	1090	1475	934	477	0	0	0	0	0	0	0	0	0	0	0	0	0
Smarca5	478.965517	206	186	181	129	556	948	1235	892	1072	649	1232	922	985	1222	1724	1152	243	356	0	0	0	0	0	0	0	0	0	0	0	0
Znrf3	478.310345	385	449	423	391	427	474	540	618	803	523	1627	958	1267	691	761	352	0	691	0	0	992	0	138	0	0	506	254	350	251	0
Ppp4r3b	476.37931	267	190	245	189	481	707	654	615	911	819	1560	840	1191	1236	1616	670	613	522	363	0	0	0	0	0	0	126	0	0	0	0
Cul5	475.931034	140	140	152	179	751	837	1119	927	1130	792	1558	1202	1143	1298	1323	714	397	0	0	0	0	0	0	0	0	0	0	0	0	0
Grb2	475.448276	275	137	205	171	578	873	907	728	1047	690	1661	1177	1625	1333	1479	902	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rps28	473.241379	170	136	105	0	591	1039	954	774	1253	970	1522	1001	1160	1209	1274	744	484	338	0	0	0	0	0	0	0	0	0	0	0	0
Ndufa7	473.241379	170	136	105	0	591	1039	954	774	1253	970	1522	1001	1160	1209	1274	744	484	338	0	0	0	0	0	0	0	0	0	0	0	0
Cuedc2	471.068966	235	191	222	192	0	0	113	87	291	0	129	115	248	117	117	0	254	192	0	0	1063	0	162	0	0	3665	2433	2129	1706	0
Srsf10	469.896552	176	126	202	135	534	768	1056	916	1015	818	1280	1082	1234	981	1467	905	275	201	0	0	102	0	0	0	0	184	0	170	0	0
Kif2a	466.344828	0	109	0	81	717	1124	1211	1013	1129	840	1921	1088	1397	1058	1051	664	0	0	0	0	0	0	0	0	0	0	0	121	0	0
Wnk1	466.172414	133	87	114	112	870	1083	1375	1022	1140	919	1574	926	1106	1018	1212	685	0	0	0	0	0	0	0	0	0	143	0	0	0	0
Rpl7a	465.034483	200	137	193	142	706	1033	1033	607	1187	836	1267	1126	1216	1084	1427	584	524	0	0	0	0	0	0	0	0	184	0	0	0	0
Med22	465.034483	200	137	193	142	706	1033	1033	607	1187	836	1267	1126	1216	1084	1427	584	524	0	0	0	0	0	0	0	0	184	0	0	0	0
Crebzf	463.931034	217	183	242	191	430	764	856	913	813	829	1206	793	1097	1167	1507	648	430	157	0	276	0	0	0	0	0	0	0	735	0	0
Rfesd	463.793103	165	168	124	129	602	959	939	1051	1260	718	1341	1028	1169	1309	1350	776	0	257	105	0	0	0	0	0	0	0	0	0	0	0
Eps8	463.655172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3407	2365	4128	3546	0
Thap11	462.689655	0	0	182	85	691	1101	1321	994	1241	1104	1183	908	1416	894	1274	768	256	0	0	0	0	0	0	0	0	0	0	0	0	0
Cenpt	462.689655	0	0	182	85	691	1101	1321	994	1241	1104	1183	908	1416	894	1274	768	256	0	0	0	0	0	0	0	0	0	0	0	0	0
Ksr2	456.758621	86	93	113	131	698	965	1346	1139	1179	803	1447	876	1213	1064	1334	759	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc25a11	456.103448	199	125	121	76	518	769	860	750	1134	698	1848	1137	1241	1082	1347	1031	291	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnf167	456.103448	199	125	121	76	518	769	860	750	1134	698	1848	1137	1241	1082	1347	1031	291	0	0	0	0	0	0	0	0	0	0	0	0	0
Rps3a1	451.793103	136	143	137	196	524	690	911	677	1054	867	1442	809	990	938	1090	368	821	101	0	0	248	0	0	0	0	379	213	285	83	0
Fam76a	451.206897	195	139	102	0	465	696	967	849	994	692	1216	665	1126	1248	1563	717	566	243	0	0	0	0	0	0	0	210	0	247	185	0
Mysm1	451.137931	209	168	289	150	717	1140	798	1115	998	893	1311	803	1315	1161	1095	646	275	0	0	0	0	0	0	0	0	0	0	0	0	0
Kpna1	448.517241	317	565	278	430	168	0	219	186	194	200	364	0	273	490	222	0	1142	442	270	872	903	455	475	419	459	579	953	1196	936	0
Ttc14	446.517241	193	111	264	186	696	917	859	683	1127	814	1133	702	1150	1187	1288	606	701	332	0	0	0	0	0	0	0	0	0	0	0	0
Lsm14a	443.034483	138	96	142	0	756	978	1090	955	869	610	1609	820	1205	1124	1383	578	327	168	0	0	0	0	0	0	0	0	0	0	0	0
Efcab5	442.896552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3741	1574	4238	3291	0
Ormdl3	442.655172	198	137	183	167	0	202	159	0	349	114	427	296	319	150	193	109	168	385	203	0	1307	0	168	0	0	2860	1767	1591	1385	0
Tas1r1	441.827586	182	158	185	142	621	867	1203	848	1175	928	1283	998	938	984	1125	642	534	0	0	0	0	0	0	0	0	0	0	0	0	0
Nol9	441.827586	182	158	185	142	621	867	1203	848	1175	928	1283	998	938	984	1125	642	534	0	0	0	0	0	0	0	0	0	0	0	0	0
Arl2	440.37931	357	261	276	315	0	194	366	148	677	188	825	211	725	154	309	289	272	348	0	0	970	0	145	0	0	2452	1294	1198	797	0
Rpl12	440.241379	127	114	137	80	619	758	1309	897	992	944	1067	1131	1047	1131	1330	570	514	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrsam1	440.241379	127	114	137	80	619	758	1309	897	992	944	1067	1131	1047	1131	1330	570	514	0	0	0	0	0	0	0	0	0	0	0	0	0
Kin	438.827586	197	133	183	160	537	663	1094	1054	868	671	1100	945	934	981	1187	825	302	212	0	0	0	0	0	0	0	347	152	181	0	0
Atp5c1	438.827586	197	133	183	160	537	663	1094	1054	868	671	1100	945	934	981	1187	825	302	212	0	0	0	0	0	0	0	347	152	181	0	0
