Target_genes	Mafb|Average	SRX1465586|Macrophages	STRING
Blnk	1612.0	1612	0
Fuca2	1609.0	1609	0
Cbr2	1604.0	1604	0
Eif4ebp1	1598.0	1598	0
Sys1	1595.0	1595	0
Sirt7	1590.0	1590	0
Mafg	1590.0	1590	0
Vps29	1589.0	1589	0
Rad9b	1589.0	1589	0
Grn	1577.0	1577	0
Atp6v0a1	1577.0	1577	0
Ctss	1576.0	1576	0
Srxn1	1571.0	1571	0
Trim47	1564.0	1564	0
Samd11	1560.0	1560	0
Lamp1	1544.0	1544	0
Lair1	1534.0	1534	0
Ccl12	1529.0	1529	0
Vipas39	1525.0	1525	0
Top3a	1525.0	1525	0
Smcr8	1525.0	1525	0
Ahsa1	1525.0	1525	0
Akr1a1	1524.0	1524	0
Zfp821	1520.0	1520	0
Nfia	1519.0	1519	0
Slc11a1	1518.0	1518	0
Lima1	1516.0	1516	0
C3ar1	1506.0	1506	0
Nupr1	1503.0	1503	0
Snx2	1498.0	1498	0
Nr1d2	1495.0	1495	0
Mefv	1489.0	1489	0
Plekho1	1484.0	1484	0
Hhex	1483.0	1483	0
Stab1	1482.0	1482	0
Clta	1480.0	1480	0
Cltc	1479.0	1479	0
Clca4b	1479.0	1479	0
Tpcn2	1468.0	1468	0
Cmklr1	1466.0	1466	0
Zfp963	1459.0	1459	0
Slc16a10	1458.0	1458	0
Nmral1	1456.0	1456	0
Hmox2	1456.0	1456	0
Teddm1a	1448.0	1448	0
Mfsd12	1440.0	1440	0
Hmg20b	1440.0	1440	0
Siglec1	1439.0	1439	0
Sesn1	1430.0	1430	0
Psmc1	1429.0	1429	0
Tctex1d4	1428.0	1428	0
Btbd19	1428.0	1428	0
Slc3a2	1427.0	1427	0
Bank1	1423.0	1423	0
Stmn3	1421.0	1421	0
Rtel1	1421.0	1421	0
Serpinb6a	1418.0	1418	0
Selenom	1418.0	1418	0
Ms4a6b	1418.0	1418	0
Zbtb6	1417.0	1417	0
Rab35	1406.0	1406	0
Urah	1400.0	1400	0
Abca9	1399.0	1399	0
Adck5	1396.0	1396	0
Ptpn18	1395.0	1395	0
Arid5b	1392.0	1392	0
Rpl10a	1391.0	1391	0
Atp7a	1390.0	1390	0
Spata22	1383.0	1383	0
Aspa	1383.0	1383	0
Xpot	1379.0	1379	0
Gm4832	1379.0	1379	0
Nlrp3	1378.0	1378	0
Ap2s1	1374.0	1374	0
Necap1	1373.0	1373	0
Mmp15	1372.0	1372	0
Psmc5	1366.0	1366	0
Ftsj3	1366.0	1366	0
Iqsec1	1365.0	1365	0
Cln8	1360.0	1360	0
Tmem171	1357.0	1357	0
Uts2b	1352.0	1352	0
Mterf2	1352.0	1352	0
Gm11541	1352.0	1352	0
Dennd6a	1350.0	1350	0
Tbxas1	1344.0	1344	0
Tmem104	1341.0	1341	0
Nat9	1341.0	1341	0
Ybx1	1333.0	1333	0
Psmc3	1330.0	1330	0
Rsrp1	1329.0	1329	0
Tnfsf13	1326.0	1326	0
Smyd1	1323.0	1323	0
Galr3	1312.0	1312	0
Pikfyve	1309.0	1309	0
Itgb3	1309.0	1309	0
Idh1	1309.0	1309	0
Slc46a3	1307.0	1307	0
Twf1	1306.0	1306	0
Pnpla8	1306.0	1306	0
Tmem134	1305.0	1305	0
Ciita	1305.0	1305	0
Aip	1305.0	1305	0
Arg1	1303.0	1303	0
Vps13b	1301.0	1301	0
Tfe3	1299.0	1299	0
Ndst2	1299.0	1299	0
3110082I17Rik	1292.0	1292	0
Nuf2	1289.0	1289	0
Gpx1	1281.0	1281	0
1700030J22Rik	1281.0	1281	0
Rab1a	1271.0	1271	0
4930503B20Rik	1268.0	1268	0
Nol11	1266.0	1266	0
Tox2	1264.0	1264	0
St6gal1	1264.0	1264	0
Khdrbs1	1263.0	1263	0
Gm33989	1262.0	1262	0
Wdr41	1260.0	1260	0
Rreb1	1259.0	1259	0
Crtap	1257.0	1257	0
Brox	1254.0	1254	0
Aida	1254.0	1254	0
Adgb	1254.0	1254	0
Helz2	1253.0	1253	0
Pcdh7	1249.0	1249	0
Amn1	1244.0	1244	0
Lsp1	1240.0	1240	0
Taf11	1235.0	1235	0
St6galnac4	1235.0	1235	0
Dera	1235.0	1235	0
Anks1	1235.0	1235	0
Cers2	1232.0	1232	0
Anxa9	1232.0	1232	0
Trim41	1229.0	1229	0
Olfr99	1229.0	1229	0
Sh3bgrl2	1224.0	1224	0
Msr1	1222.0	1222	0
Ercc1	1222.0	1222	0
Cox18	1222.0	1222	0
Ranbp2	1218.0	1218	0
Mlec	1217.0	1217	0
Wdfy2	1215.0	1215	0
Tmem240	1215.0	1215	0
Ski	1214.0	1214	0
Rara	1212.0	1212	0
Slc26a11	1208.0	1208	0
Sgsh	1208.0	1208	0
Ccdc28a	1206.0	1206	0
Ahnak	1205.0	1205	0
Ly96	1204.0	1204	0
Gdi2	1200.0	1200	0
Ext1	1197.0	1197	0
Cldn34d	1195.0	1195	0
Ndufa2	1193.0	1193	0
Ik	1193.0	1193	0
Olfr1509	1191.0	1191	0
Incenp	1191.0	1191	0
Trpm2	1188.0	1188	0
Otulin	1188.0	1188	0
Ncf2	1186.0	1186	0
Entpd1	1185.0	1185	0
Arf1	1180.0	1180	0
Lipn	1178.0	1178	0
Mmp13	1172.0	1172	0
Wdyhv1	1171.0	1171	0
Chn2	1170.0	1170	0
Dhrs3	1169.0	1169	0
Abl1	1168.0	1168	0
Zeb2	1163.0	1163	0
S100a5	1161.0	1161	0
S100a4	1161.0	1161	0
S100a3	1161.0	1161	0
Asb2	1159.0	1159	0
Hmox1	1158.0	1158	0
Zfp36	1153.0	1153	0
Lyz1	1149.0	1149	0
Stim1	1147.0	1147	0
Ankrd36	1147.0	1147	0
Slc39a13	1144.0	1144	0
Ebag9	1143.0	1143	0
Tpt1	1141.0	1141	0
Ptprj	1138.0	1138	0
Pkn1	1137.0	1137	0
Eepd1	1133.0	1133	0
Tnrc18	1132.0	1132	0
Ankfy1	1128.0	1128	0
Pigz	1126.0	1126	0
Plekhg3	1125.0	1125	0
Ch25h	1124.0	1124	0
Trem2	1120.0	1120	0
Cox16	1120.0	1120	0
Hnrnpa2b1	1119.0	1119	0
Cbx3	1119.0	1119	0
Sgk3	1112.0	1112	0
Lpin2	1111.0	1111	0
Zfp516	1109.0	1109	0
Mapk6	1109.0	1109	0
Ccl2	1109.0	1109	0
Hmgcl	1106.0	1106	0
Fes	1106.0	1106	0
Gm5150	1105.0	1105	0
Slc17a8	1103.0	1103	0
Emp1	1103.0	1103	0
H2-DMb2	1102.0	1102	0
Nxpe5	1101.0	1101	0
Slc43a2	1100.0	1100	0
Olfr550	1100.0	1100	0
Tlr7	1099.0	1099	0
Palm3	1098.0	1098	0
Chid1	1094.0	1094	0
Ranbp9	1092.0	1092	0
Bnip2	1090.0	1090	0
Stx12	1089.0	1089	0
Cdk19	1088.0	1088	0
Appl2	1086.0	1086	0
Sh3bp4	1085.0	1085	0
Slc10a6	1083.0	1083	0
Ksr1	1083.0	1083	0
4930562C15Rik	1083.0	1083	0
Sec61b	1082.0	1082	0
Alg2	1082.0	1082	0
Rhog	1075.0	1075	0
Rabggta	1068.0	1068	0
Cd300c2	1065.0	1065	0
Ccr3	1065.0	1065	0
Ifitm6	1064.0	1064	0
Tgfbi	1062.0	1062	0
Itgb8	1061.0	1061	0
Rps9	1058.0	1058	0
Gadd45a	1057.0	1057	0
Snx13	1055.0	1055	0
Sirpa	1055.0	1055	0
Lamtor4	1055.0	1055	0
Aatk	1054.0	1054	0
Rcan1	1046.0	1046	0
Zbtb5	1045.0	1045	0
Katnal1	1045.0	1045	0
Fermt3	1045.0	1045	0
Pgap1	1041.0	1041	0
Anpep	1041.0	1041	0
Sptbn4	1039.0	1039	0
Blvrb	1039.0	1039	0
Nr3c1	1038.0	1038	0
Tuba1c	1037.0	1037	0
Med31	1036.0	1036	0
Clec4a1	1036.0	1036	0
Cdc42ep3	1036.0	1036	0
4930563E22Rik	1036.0	1036	0
Zp2	1032.0	1032	0
Ezr	1028.0	1028	0
Clec4a2	1028.0	1028	0
Dguok	1025.0	1025	0
Tomt	1024.0	1024	0
Lamtor1	1024.0	1024	0
Anapc15	1024.0	1024	0
Rad23a	1023.0	1023	0
Ptpn12	1023.0	1023	0
Ripply2	1020.0	1020	0
Lilra5	1020.0	1020	0
Kansl1l	1019.0	1019	0
Slc35f6	1014.0	1014	0
Rftn1	1013.0	1013	0
Lrp12	1013.0	1013	0
Ndufc1	1010.0	1010	0
Naa15	1010.0	1010	0
Klf2	1010.0	1010	0
Tifa	1007.0	1007	0
Slc25a31	1007.0	1007	0
N4bp1	1007.0	1007	0
Mad2l2	1007.0	1007	0
Draxin	1007.0	1007	0
Trmt5	1006.0	1006	0
Slc38a6	1006.0	1006	0
Mtr	1000.0	1000	0
Kcnn1	999.0	999	0
9430069I07Rik	998.0	998	0
Dus2	996.0	996	0
Ddx28	996.0	996	0
Rtn4	995.0	995	0
Fos	995.0	995	0
Cd300ld3	994.0	994	0
Tmem175	993.0	993	0
Gak	993.0	993	0
Olfml3	992.0	992	0
Ncor2	992.0	992	0
Sh3glb1	991.0	991	0
Zfp384	989.0	989	0
Fgd4	989.0	989	0
Gm29733	988.0	988	0
Clec4d	987.0	987	0
Pecam1	983.0	983	0
Eif3d	983.0	983	0
Pik3r1	982.0	982	0
Idh2	980.0	980	0
Dusp7	980.0	980	0
Scamp5	978.0	978	0
Coro2a	978.0	978	0
Aftph	978.0	978	0
Foxp1	977.0	977	0
Rubcn	975.0	975	0
Mrc1	975.0	975	0
Paox	974.0	974	0
Vrk1	973.0	973	0
Smim3	972.0	972	0
Slc9a3r1	972.0	972	0
Ifit3	972.0	972	0
Tlr8	971.0	971	0
Rassf3	971.0	971	0
Ssr3	969.0	969	0
Mbnl2	969.0	969	0
Arpin	969.0	969	0
Rock2	968.0	968	0
Tk2	965.0	965	0
Epb41l1	965.0	965	0
Cklf	965.0	965	0
Arhgap25	965.0	965	0
Dab2	964.0	964	0
Mgat1	963.0	963	0
Ncoa4	962.0	962	0
Hgsnat	962.0	962	0
Hk3	958.0	958	0
Ift57	957.0	957	0
Kcnj16	956.0	956	0
Slc16a6	955.0	955	0
Arsg	955.0	955	0
Tlr5	954.0	954	0
Pvrig	954.0	954	0
Tarm1	953.0	953	0
Abcc1	953.0	953	0
Evi5	952.0	952	0
Baz2a	952.0	952	0
Zfp143	951.0	951	0
Ndst1	950.0	950	0
Osbpl11	949.0	949	0
Pacc1	948.0	948	0
Irf2bp2	948.0	948	0
Bri3	943.0	943	0
Zfp87	942.0	942	0
Pla2g5	942.0	942	0
Ago3	942.0	942	0
Hpn	941.0	941	0
Plek	939.0	939	0
Cblb	939.0	939	0
Ttc39c	937.0	937	0
Ms4a12	936.0	936	0
Tubb2a	935.0	935	0
Slc6a6	935.0	935	0
Ing4	934.0	934	0
Trpv4	933.0	933	0
Rhobtb1	933.0	933	0
Cpd	933.0	933	0
A930033H14Rik	933.0	933	0
Arid3b	932.0	932	0
Serinc3	928.0	928	0
Dennd1a	928.0	928	0
Psmg4	926.0	926	0
Fnip2	926.0	926	0
Gm14325	924.0	924	0
Armc5	924.0	924	0
9130023H24Rik	924.0	924	0
Trim8	923.0	923	0
Ppp1r10	923.0	923	0
Mrps18b	923.0	923	0
Cd180	923.0	923	0
Snx5	921.0	921	0
Mgme1	921.0	921	0
Mcub	919.0	919	0
Sesn2	917.0	917	0
Glipr1	914.0	914	0
Cdk15	914.0	914	0
Vamp5	913.0	913	0
Notch3	913.0	913	0
Nt5dc1	911.0	911	0
Commd9	905.0	905	0
Mmp9	904.0	904	0
Marchf10	904.0	904	0
Rnpep	903.0	903	0
Hfe	903.0	903	0
Il10	902.0	902	0
Lgals9	901.0	901	0
Milr1	899.0	899	0
Wdr18	898.0	898	0
Ube2e3	895.0	895	0
Sqor	895.0	895	0
Hprt	893.0	893	0
Gtf2h2	892.0	892	0
Ppig	885.0	885	0
Pusl1	884.0	884	0
Fcgr2b	884.0	884	0
Acap3	884.0	884	0
Shkbp1	881.0	881	0
Slc31a2	880.0	880	0
Inpp5d	880.0	880	0
Tmsb4x	879.0	879	0
Frmd4a	878.0	878	0
Wfdc18	877.0	877	0
Wfdc17	877.0	877	0
Csf2rb2	873.0	873	0
Slc15a2	872.0	872	0
Mtmr6	872.0	872	0
Szrd1	869.0	869	0
Myo1f	866.0	866	0
Mideas	866.0	866	0
Fabp12	865.0	865	0
Dip2b	865.0	865	0
Arhgap31	865.0	865	0
Tmem140	864.0	864	0
Atp13a2	864.0	864	0
Wdr81	862.0	862	0
Sbf2	862.0	862	0
Sdhb	858.0	858	0
Arhgap6	857.0	857	0
Kpna1	856.0	856	0
Olfr630	855.0	855	0
Zfp217	854.0	854	0
Txn2	853.0	853	0
Thbd	852.0	852	0
Mcoln2	852.0	852	0
Cd300e	851.0	851	0
Gh	850.0	850	0
1700066B19Rik	850.0	850	0
Homer1	849.0	849	0
Slc24a3	848.0	848	0
Capn15	848.0	848	0
Lrrc49	847.0	847	0
Ccnd1	847.0	847	0
Tmem214	845.0	845	0
Rtp4	844.0	844	0
Mmadhc	844.0	844	0
Gpr137b	844.0	844	0
Fem1b	843.0	843	0
Otulinl	842.0	842	0
1110008P14Rik	842.0	842	0
Serp1	841.0	841	0
Ikbke	841.0	841	0
Eif2a	841.0	841	0
Rsad1	840.0	840	0
Evi2b	840.0	840	0
Asph	840.0	840	0
Mark4	839.0	839	0
Exoc3l2	839.0	839	0
Tnfrsf1a	832.0	832	0
Slc35f5	831.0	831	0
Igf2bp3	830.0	830	0
Slc39a1	829.0	829	0
Siglecf	827.0	827	0
Selenok	825.0	825	0
Iqgap2	825.0	825	0
Clec10a	824.0	824	0
Gm5431	822.0	822	0
Tpm3	821.0	821	0
Ptov1	821.0	821	0
Slc44a1	820.0	820	0
Gbp2b	819.0	819	0
Zfp300	816.0	816	0
Mynn	816.0	816	0
Actrt3	816.0	816	0
Mapk8ip3	815.0	815	0
Igf1	815.0	815	0
Sbk1	814.0	814	0
Pxn	813.0	813	0
Ptms	813.0	813	0
Marchf1	813.0	813	0
Lag3	813.0	813	0
Septin9	810.0	810	0
Sec14l1	809.0	809	0
Pgghg	809.0	809	0
Cndp2	809.0	809	0
Tnip3	807.0	807	0
Sirpb1a	806.0	806	0
Dvl3	805.0	805	0
Pcyox1l	804.0	804	0
Mbnl1	804.0	804	0
Cd36	804.0	804	0
Pnp	802.0	802	0
Cpeb2	802.0	802	0
Arhgap12	800.0	800	0
Evi2a	798.0	798	0
Evi2	798.0	798	0
Cela1	798.0	798	0
Mblac1	796.0	796	0
Calml4	796.0	796	0
Zfp119b	794.0	794	0
Numbl	794.0	794	0
Trf	792.0	792	0
Fxyd2	792.0	792	0
Rnasel	791.0	791	0
Lims1	791.0	791	0
Il12rb1	791.0	791	0
Zfp429	790.0	790	0
P2ry6	790.0	790	0
Hsd17b4	790.0	790	0
Clec12a	787.0	787	0
Tmbim1	785.0	785	0
Cdkn2c	785.0	785	0
Spef1l	784.0	784	0
Gpr65	784.0	784	0
Insl5	783.0	783	0
Syn1	782.0	782	0
Xrcc5	779.0	779	0
Matn1	779.0	779	0
Tmem95	777.0	777	0
Slc7a7	777.0	777	0
Kctd11	777.0	777	0
Agmo	777.0	777	0
Osbpl3	776.0	776	0
Btaf1	776.0	776	0
H4c12	775.0	775	0
H2bc15	775.0	775	0
H2ac15	775.0	775	0
Trerf1	773.0	773	0
Bahd1	772.0	772	0
Herc1	768.0	768	0
Ggnbp1	768.0	768	0
Flna	768.0	768	0
Bak1	768.0	768	0
Mrgprg	765.0	765	0
Cxcl9	765.0	765	0
Art3	765.0	765	0
Sdc4	761.0	761	0
Riok3	760.0	760	0
Plxdc1	759.0	759	0
Zfp120	758.0	758	0
Samhd1	758.0	758	0
Rptor	758.0	758	0
Tmem106a	757.0	757	0
Psmc2	757.0	757	0
Pigl	757.0	757	0
P2ry1	757.0	757	0
Ncor1	757.0	757	0
Dnajc2	757.0	757	0
Ms4a6c	756.0	756	0
Lrpap1	755.0	755	0
Mki67	754.0	754	0
Elf4	754.0	754	0
Dhx33	754.0	754	0
Rhbdd3	753.0	753	0
Ewsr1	753.0	753	0
Aff1	753.0	753	0
Zmynd8	752.0	752	0
Snd1	752.0	752	0
Snx30	751.0	751	0
Ninj2	751.0	751	0
Xirp1	750.0	750	0
Gsk3b	749.0	749	0
Eogt	748.0	748	0
Dnaja1	748.0	748	0
Flvcr1	747.0	747	0
Rbm39	746.0	746	0
Fam214a	745.0	745	0
Capzb	745.0	745	0
Mfsd6	744.0	744	0
Ltb	744.0	744	0
Lst1	744.0	744	0
Gramd1a	744.0	744	0
B430306N03Rik	744.0	744	0
Ubap1	743.0	743	0
Tmem144	743.0	743	0
Pik3cg	742.0	742	0
Cnnm2	741.0	741	0
1700067K01Rik	741.0	741	0
Eloa	739.0	739	0
Ifi203	737.0	737	0
Ptp4a1	736.0	736	0
Pkd1l2	734.0	734	0
Tlr13	733.0	733	0
Clk1	733.0	733	0
Ctnnd1	732.0	732	0
Mllt11	731.0	731	0
Cdc42se1	731.0	731	0
Itga9	729.0	729	0
Midn	727.0	727	0
Fam168a	726.0	726	0
Spg11	725.0	725	0
Sod2	723.0	723	0
Zfp184	719.0	719	0
Oxr1	719.0	719	0
Mcur1	718.0	718	0
Tex2	716.0	716	0
Cipc	716.0	716	0
Atp2a2	716.0	716	0
Ms4a7	715.0	715	0
Galnt2	715.0	715	0
Spi1	714.0	714	0
Sla	714.0	714	0
Nckap1l	714.0	714	0
Akap10	714.0	714	0
Sec24d	713.0	713	0
Il31ra	713.0	713	0
Ghitm	713.0	713	0
Tchp	712.0	712	0
Mtmr11	712.0	712	0
Gtf3c4	712.0	712	0
Dnmt1	712.0	712	0
Ddx31	712.0	712	0
Ncoa6	711.0	711	0
Mtm1	711.0	711	0
Znhit3	710.0	710	0
Wsb1	710.0	710	0
Tmcc3	709.0	709	0
Usp39	708.0	708	0
0610030E20Rik	708.0	708	0
Tppp3	707.0	707	0
Nphp4	707.0	707	0
Kcnab2	707.0	707	0
Calcrl	706.0	706	0
Clk3	704.0	704	0
Tk1	703.0	703	0
Plod1	703.0	703	0
Gdap1l1	703.0	703	0
Afmid	703.0	703	0
2510039O18Rik	703.0	703	0
Tpst2	702.0	702	0
Ifi47	701.0	701	0
Pld1	700.0	700	0
Gstp2	700.0	700	0
Gstp1	700.0	700	0
Gpat4	700.0	700	0
Gng2	699.0	699	0
Rab20	698.0	698	0
Cyp4f18	698.0	698	0
Wrnip1	697.0	697	0
Dpysl2	696.0	696	0
Rtraf	695.0	695	0
Gmeb2	695.0	695	0
Frmd4b	695.0	695	0
Extl3	695.0	695	0
Coro1c	694.0	694	0
Sdc3	693.0	693	0
Stub1	692.0	692	0
Rhbdl1	692.0	692	0
Jmjd8	692.0	692	0
Ankrd42	692.0	692	0
Lyzl4	691.0	691	0
Tal1	690.0	690	0
F9	690.0	690	0
Slc25a51	689.0	689	0
Zbtb7b	688.0	688	0
Pltp	688.0	688	0
Ccr5	688.0	688	0
Snx3	687.0	687	0
Sephs2	687.0	687	0
Mdm2	687.0	687	0
Lyn	687.0	687	0
Car13	687.0	687	0
Lpin1	686.0	686	0
Dimt1	686.0	686	0
Lrrfip1	685.0	685	0
Zfp119a	682.0	682	0
Mrpl16	682.0	682	0
Fam78a	682.0	682	0
Dock8	682.0	682	0
Zfp959	681.0	681	0
Abi1	681.0	681	0
Metrnl	680.0	680	0
Lgals1	680.0	680	0
Calhm2	679.0	679	0
Calhm1	679.0	679	0
Ssbp3	678.0	678	0
Ifi211	678.0	678	0
Folr1	678.0	678	0
Crcp	677.0	677	0
Asl	677.0	677	0
Poglut3	676.0	676	0
Kat6a	675.0	675	0
Itsn1	673.0	673	0
Cryzl1	673.0	673	0
Pfpl	672.0	672	0
Gbp8	670.0	670	0
Ube2g2	669.0	669	0
Ivns1abp	669.0	669	0
Cyth4	669.0	669	0
Cass4	669.0	669	0
Madd	668.0	668	0
A530064D06Rik	668.0	668	0
Zswim4	667.0	667	0
Slc16a7	666.0	666	0
Itprid2	666.0	666	0
Ctdsp1	666.0	666	0
Aplp1	666.0	666	0
Ano2	666.0	666	0
1810013L24Rik	664.0	664	0
Tmem87b	663.0	663	0
Sft2d1	663.0	663	0
Rbbp5	661.0	661	0
Ptrhd1	661.0	661	0
Fgd2	661.0	661	0
Cenpo	661.0	661	0
Mpdu1	660.0	660	0
Gskip	660.0	660	0
Atg2b	660.0	660	0
Tfec	659.0	659	0
E2f8	658.0	658	0
Dennd4b	658.0	658	0
Cd28	658.0	658	0
Susd1	657.0	657	0
Gfpt1	657.0	657	0
Tcp1	656.0	656	0
Mapk8ip2	655.0	655	0
Plxna1	654.0	654	0
Gsg1	654.0	654	0
Btbd3	654.0	654	0
Dazap2	653.0	653	0
Cubn	653.0	653	0
Alkbh5	652.0	652	0
Trpm5	651.0	651	0
Lrrc8d	651.0	651	0
Ip6k1	651.0	651	0
D5Ertd579e	651.0	651	0
Tnfrsf14	650.0	650	0
Rbm47	649.0	649	0
Rasal1	649.0	649	0
Stmn4	648.0	648	0
Etv1	648.0	648	0
Clpx	648.0	648	0
Cacna1a	647.0	647	0
Herpud2	646.0	646	0
Btc	645.0	645	0
Tmc8	644.0	644	0
Tmc6	644.0	644	0
Rspry1	644.0	644	0
Psme3ip1	644.0	644	0
Nyx	643.0	643	0
Ifi207	643.0	643	0
Eif4e	642.0	642	0
Ptger2	640.0	640	0
Trib1	638.0	638	0
Ly6g6e	638.0	638	0
Ly6g6d	638.0	638	0
Slc38a10	637.0	637	0
Evl	637.0	637	0
Mtus1	636.0	636	0
Ap1s3	636.0	636	0
Leng8	635.0	635	0
Ang5	635.0	635	0
Ang3	635.0	635	0
Fth1	633.0	633	0
Gm17455	632.0	632	0
Ddx5	632.0	632	0
Cep95	632.0	632	0
Lrrc25	630.0	630	0
Gykl1	630.0	630	0
Foxn1	629.0	629	0
Cd5l	627.0	627	0
Tekt3	626.0	626	0
Trim35	625.0	625	0
Mylk2	625.0	625	0
Elmo2	625.0	625	0
Nrap	624.0	624	0
C330007P06Rik	624.0	624	0
Skap2	623.0	623	0
Slc25a45	622.0	622	0
Gab3	622.0	622	0
Frmd8	622.0	622	0
Fcgr3	621.0	621	0
Il2	620.0	620	0
Rassf5	619.0	619	0
Fgf11	619.0	619	0
Fam117b	619.0	619	0
Dpp8	619.0	619	0
Chrnb1	619.0	619	0
Lgmn	618.0	618	0
Zcwpw1	617.0	617	0
Ubald1	617.0	617	0
Mepce	617.0	617	0
Rap1b	616.0	616	0
Il4ra	616.0	616	0
Elof1	615.0	615	0
Ctu1	615.0	615	0
Capn1	615.0	615	0
Rnasek	614.0	614	0
0610010K14Rik	614.0	614	0
Chst12	613.0	613	0
Wsb2	612.0	612	0
Bid	612.0	612	0
Trmt1l	611.0	611	0
Swt1	611.0	611	0
Atr	611.0	611	0
1700065D16Rik	611.0	611	0
Zfand6	610.0	610	0
Rgs7bp	610.0	610	0
Myd88	609.0	609	0
Acaa1a	609.0	609	0
Riox1	606.0	606	0
Acap2	606.0	606	0
Myl12a	605.0	605	0
Mrps28	605.0	605	0
Mmp27	605.0	605	0
Kpna2	604.0	604	0
Rrp8	603.0	603	0
Pim1	603.0	603	0
Ilk	603.0	603	0
C2cd2l	603.0	603	0
Bin3	603.0	603	0
Tob2	601.0	601	0
Ctla2b	601.0	601	0
Pigh	599.0	599	0
Slc22a16	598.0	598	0
Tomm40l	597.0	597	0
