Target_genes	Klf2|Average	SRX20851841|CD8+_T_cells	SRX20851842|CD8+_T_cells	SRX14009274|Heart_endothelial_cells	SRX14009275|Heart_endothelial_cells	SRX14009278|Lung_endothelial_cells	SRX14009279|Lung_endothelial_cells	STRING
Ubr4	285.5	858	855	0	0	0	0	0
Srrm1	285.0	815	895	0	0	0	0	0
Get1	284.833333	844	865	0	0	0	0	0
Capza2	284.166667	829	876	0	0	0	0	0
Crtc1	283.833333	849	854	0	0	0	0	0
Thap12	283.333333	843	857	0	0	0	0	0
Phf12	281.833333	844	847	0	0	0	0	0
Gamt	281.166667	798	889	0	0	0	0	0
Dazap1	281.166667	798	889	0	0	0	0	0
Tia1	281.0	763	923	0	0	0	0	0
Esrra	280.833333	814	871	0	0	0	0	0
Catsperz	280.833333	814	871	0	0	0	0	0
Eif5a	280.5	860	823	0	0	0	0	0
Ppp2ca	278.833333	782	891	0	0	0	0	0
Txnl4a	278.5	833	838	0	0	0	0	0
Sap18b	278.5	924	747	0	0	0	0	0
Sap18	278.5	924	747	0	0	0	0	0
Ndel1	278.5	793	878	0	0	0	0	0
Gm16286	278.5	833	838	0	0	0	0	0
Map4k1	277.833333	825	842	0	0	0	0	0
Eif3k	277.833333	825	842	0	0	0	0	0
Zfp433	277.666667	820	846	0	0	0	0	0
Gm32687	277.666667	820	846	0	0	0	0	0
Hinfp	277.166667	817	846	0	0	0	0	0
Gmcl1	277.0	879	783	0	0	0	0	0
Wipi2	276.333333	787	871	0	0	0	0	0
Patl1	276.333333	826	832	0	0	0	0	0
Nanos2	276.333333	835	823	0	0	0	0	0
Mypop	276.333333	835	823	0	0	0	0	0
Sprtn	276.0	868	788	0	0	0	0	0
Exoc8	276.0	868	788	0	0	0	0	0
Metap1	275.833333	831	824	0	0	0	0	0
Zbtb41	275.333333	854	798	0	0	0	0	0
Actn4	275.333333	791	861	0	0	0	0	0
Rab3gap2	274.166667	781	864	0	0	0	0	0
Bbs2	274.0	813	831	0	0	0	0	0
Txndc11	273.166667	838	801	0	0	0	0	0
Rock1	273.0	802	836	0	0	0	0	0
Rab33b	272.833333	797	840	0	0	0	0	0
Map2k7	272.833333	820	817	0	0	0	0	0
Mlst8	272.5	766	869	0	0	0	0	0
Bricd5	272.5	766	869	0	0	0	0	0
Dpf2	272.333333	821	813	0	0	0	0	0
Mycbp	272.166667	791	842	0	0	0	0	0
Zc3h8	272.0	766	866	0	0	0	0	0
Khdrbs1	272.0	759	873	0	0	0	0	0
Chmp7	271.833333	818	813	0	0	0	0	0
Kcnn1	271.166667	785	842	0	0	0	0	0
Cherp	270.333333	780	842	0	0	0	0	0
Rapgef6	269.833333	770	849	0	0	0	0	0
Zfp12	269.666667	825	793	0	0	0	0	0
P4ha1	269.666667	804	814	0	0	0	0	0
Mtch2	269.5	754	863	0	0	0	0	0
Vapb	269.333333	819	797	0	0	0	0	0
Tubg1	269.0	830	784	0	0	0	0	0
Retreg3	269.0	830	784	0	0	0	0	0
9230019H11Rik	268.833333	131	137	407	204	332	402	0
Oard1	268.5	838	773	0	0	0	0	0
Nfya	268.5	838	773	0	0	0	0	0
Iqcc	268.5	830	781	0	0	0	0	0
Dcdc2b	268.5	830	781	0	0	0	0	0
Ccdc28b	268.5	830	781	0	0	0	0	0
Fam71e1	268.333333	808	802	0	0	0	0	0
Emc10	268.333333	808	802	0	0	0	0	0
Sgta	267.666667	806	800	0	0	0	0	0
Rad23b	267.5	795	810	0	0	0	0	0
Nadk	267.333333	774	830	0	0	0	0	0
Rsrp1	267.166667	805	798	0	0	0	0	0
Hint3	266.833333	751	850	0	0	0	0	0
Slx4	266.166667	738	859	0	0	0	0	0
Pgrmc2	266.0	790	806	0	0	0	0	0
Rab8a	265.166667	757	834	0	0	0	0	0
Fam98a	265.166667	810	781	0	0	0	0	0
Cog6	265.0	770	820	0	0	0	0	0
Bcas2	265.0	795	795	0	0	0	0	0
Tasor2	264.666667	826	762	0	0	0	0	0
Fbxo5	264.166667	752	833	0	0	0	0	0
Angptl6	264.166667	778	807	0	0	0	0	0
Tfg	264.0	775	809	0	0	0	0	0
Ccnt2	263.5	828	753	0	0	0	0	0
Abcf3	263.166667	811	768	0	0	0	0	0
Ppp6r1	263.0	800	778	0	0	0	0	0
Myd88	263.0	819	759	0	0	0	0	0
Acaa1a	263.0	819	759	0	0	0	0	0
Ndrg3	262.0	799	773	0	0	0	0	0
Dync1li1	261.666667	828	742	0	0	0	0	0
Hp1bp3	260.833333	774	791	0	0	0	0	0
Snrnp70	260.5	792	771	0	0	0	0	0
Prelid3b	260.5	766	797	0	0	0	0	0
Tcta	260.333333	806	756	0	0	0	0	0
Rhoa	260.333333	806	756	0	0	0	0	0
Preb	259.833333	740	819	0	0	0	0	0
Fbxl22	259.166667	756	799	0	0	0	0	0
Mmaa	258.833333	798	755	0	0	0	0	0
Il31ra	258.5	756	795	0	0	0	0	0
Vps13a	258.333333	784	766	0	0	0	0	0
Rprd2	258.333333	813	737	0	0	0	0	0
Cep295	258.166667	737	812	0	0	0	0	0
Smg9	257.666667	789	757	0	0	0	0	0
Csnk1a1	257.666667	823	723	0	0	0	0	0
Clpx	257.666667	741	805	0	0	0	0	0
Yipf2	257.166667	814	729	0	0	0	0	0
Timm29	257.166667	814	729	0	0	0	0	0
Pomt1	257.0	800	742	0	0	0	0	0
Zfp638	256.666667	711	829	0	0	0	0	0
Ccdc171	256.5	768	771	0	0	0	0	0
Tmem170b	256.333333	763	775	0	0	0	0	0
Odc1	256.333333	761	777	0	0	0	0	0
Grb2	255.833333	834	701	0	0	0	0	0
Gm10778	255.5	695	838	0	0	0	0	0
Tmem106c	255.0	794	736	0	0	0	0	0
Cc2d1a	254.833333	788	741	0	0	0	0	0
4930432K21Rik	254.833333	788	741	0	0	0	0	0
Tent4a	254.666667	750	778	0	0	0	0	0
Mapkap1	254.666667	791	737	0	0	0	0	0
Birc6	254.666667	750	778	0	0	0	0	0
Tmem106b	253.5	739	782	0	0	0	0	0
Tmed4	253.166667	756	763	0	0	0	0	0
Psmc4	253.166667	709	810	0	0	0	0	0
Msra	253.166667	728	791	0	0	0	0	0
Hspa9	252.333333	751	763	0	0	0	0	0
Eid1	251.666667	710	800	0	0	0	0	0
Ctbp1	251.666667	727	783	0	0	0	0	0
Sdha	251.0	703	803	0	0	0	0	0
Ccdc127	251.0	703	803	0	0	0	0	0
Cop1	250.666667	692	812	0	0	0	0	0
Rfxank	250.5	729	774	0	0	0	0	0
Gm45929	250.5	729	774	0	0	0	0	0
Borcs8	250.5	729	774	0	0	0	0	0
Prrt2	250.0	757	743	0	0	0	0	0
Pagr1a	250.0	757	743	0	0	0	0	0
Mvp	250.0	757	743	0	0	0	0	0
Fxr2	250.0	772	728	0	0	0	0	0
Usp37	249.666667	747	751	0	0	0	0	0
Kdm5c	249.666667	718	780	0	0	0	0	0
Cnot9	249.666667	747	751	0	0	0	0	0
Spen	249.333333	769	727	0	0	0	0	0
Wdfy2	249.0	720	774	0	0	0	0	0
Mvd	248.833333	735	758	0	0	0	0	0
Pitpnb	248.5	731	760	0	0	0	0	0
Ints3	247.666667	742	744	0	0	0	0	0
Atp6v0d1	247.166667	681	802	0	0	0	0	0
Agrp	247.166667	681	802	0	0	0	0	0
Otulin	247.0	734	748	0	0	0	0	0
Zc3h14	246.833333	740	741	0	0	0	0	0
Fnbp4	246.833333	774	707	0	0	0	0	0
Tsacc	246.666667	795	685	0	0	0	0	0
Cct3	246.666667	795	685	0	0	0	0	0
Ints13	246.5	793	686	0	0	0	0	0
Fgfr1op2	246.5	793	686	0	0	0	0	0
Ralgapb	246.0	705	771	0	0	0	0	0
Pabpc1	245.833333	677	798	0	0	0	0	0
Rpsa	245.666667	722	752	0	0	0	0	0
Ppp1r10	244.333333	752	714	0	0	0	0	0
Pgam1	244.333333	664	802	0	0	0	0	0
Mrps18b	244.333333	752	714	0	0	0	0	0
Fignl1	244.166667	720	745	0	0	0	0	0
Kash5	243.666667	715	747	0	0	0	0	0
1810037I17Rik	243.666667	665	797	0	0	0	0	0
Map3k2	242.833333	741	716	0	0	0	0	0
2610507B11Rik	242.666667	622	834	0	0	0	0	0
Sh3gl1	242.333333	731	723	0	0	0	0	0
Chaf1a	242.333333	731	723	0	0	0	0	0
Ccar1	242.333333	709	745	0	0	0	0	0
Kdm4c	242.166667	749	704	0	0	0	0	0
Actr3	242.166667	770	683	0	0	0	0	0
Slc39a10	241.833333	730	721	0	0	0	0	0
Rab10	241.833333	664	787	0	0	0	0	0
Shprh	241.333333	678	770	0	0	0	0	0
Eif3a	241.333333	696	752	0	0	0	0	0
Srsf1	240.666667	778	666	0	0	0	0	0
Rabif	240.666667	764	680	0	0	0	0	0
Sspn	240.5	499	690	0	0	0	254	0
Tm9sf2	239.833333	693	746	0	0	0	0	0
Mknk1	239.666667	636	802	0	0	0	0	0
Sgo1	239.5	686	751	0	0	0	0	0
Spring1	239.333333	650	786	0	0	0	0	0
Rnft2	239.333333	650	786	0	0	0	0	0
Oser1	239.333333	695	741	0	0	0	0	0
Rad23a	238.833333	741	692	0	0	0	0	0
Hsf1	238.666667	694	738	0	0	0	0	0
Bop1	238.666667	694	738	0	0	0	0	0
Mis18a	238.333333	665	765	0	0	0	0	0
Tigd5	238.0	691	737	0	0	0	0	0
Npm1	238.0	672	756	0	0	0	0	0
Eef1d	238.0	691	737	0	0	0	0	0
Dad1	238.0	664	764	0	0	0	0	0
Akap13	238.0	739	689	0	0	0	0	0
Abhd4	238.0	664	764	0	0	0	0	0
Gtf3c1	237.833333	707	720	0	0	0	0	0
D430042O09Rik	237.833333	707	720	0	0	0	0	0
Spg7	237.666667	724	702	0	0	0	0	0
Cox5b	237.666667	690	736	0	0	0	0	0
Specc1l	237.5	733	692	0	0	0	0	0
Fam219a	237.5	726	699	0	0	0	0	0
Dnaic1	237.5	726	699	0	0	0	0	0
Banp	237.0	769	653	0	0	0	0	0
Mknk2	236.833333	690	731	0	0	0	0	0
Zmynd19	236.666667	698	722	0	0	0	0	0
Saysd1	236.5	698	721	0	0	0	0	0
Pola2	236.0	740	676	0	0	0	0	0
Msh3	236.0	686	730	0	0	0	0	0
Dhfr	236.0	686	730	0	0	0	0	0
Msl2	235.833333	727	688	0	0	0	0	0
Trim23	235.666667	701	713	0	0	0	0	0
Trappc13	235.666667	701	713	0	0	0	0	0
Shld3	235.666667	701	713	0	0	0	0	0
Polr2b	235.666667	772	642	0	0	0	0	0
Noa1	235.666667	772	642	0	0	0	0	0
Cacybp	235.666667	653	761	0	0	0	0	0
Tmem250-ps	235.5	682	731	0	0	0	0	0
Tdp2	235.5	771	642	0	0	0	0	0
Acot13	235.5	771	642	0	0	0	0	0
Ccdc93	235.166667	682	729	0	0	0	0	0
Gtf2f1	234.833333	663	746	0	0	0	0	0
Etfdh	234.833333	715	694	0	0	0	0	0
4930579G24Rik	234.833333	715	694	0	0	0	0	0
Zdhhc12	234.666667	708	700	0	0	0	0	0
Tmem139	234.5	729	678	0	0	0	0	0
Sf3a2	234.5	686	721	0	0	0	0	0
Plekhj1	234.5	686	721	0	0	0	0	0
Casp2	234.5	729	678	0	0	0	0	0
Mcrs1	234.333333	701	705	0	0	0	0	0
Xpo5	234.166667	676	729	0	0	0	0	0
Polh	234.166667	676	729	0	0	0	0	0
Gatd1	233.5	656	745	0	0	0	0	0
Fam220a	233.5	677	724	0	0	0	0	0
2310061I04Rik	233.333333	635	765	0	0	0	0	0
Tbc1d15	233.166667	636	763	0	0	0	0	0
Sec14l1	233.166667	727	672	0	0	0	0	0
Hexim1	233.166667	706	693	0	0	0	0	0
Cnot4	232.833333	663	734	0	0	0	0	0
Yeats4	232.5	686	709	0	0	0	0	0
Rcbtb2	232.5	668	727	0	0	0	0	0
Chmp5	232.333333	661	733	0	0	0	0	0
Bag1	232.333333	661	733	0	0	0	0	0
Pard6b	232.0	690	702	0	0	0	0	0
Mrpl54	232.0	677	715	0	0	0	0	0
Apba3	232.0	677	715	0	0	0	0	0
Mtrr	231.833333	699	692	0	0	0	0	0
Fastkd3	231.833333	699	692	0	0	0	0	0
Nr1d2	231.333333	689	699	0	0	0	0	0
Cox6a1	231.0	672	714	0	0	0	0	0
Mapk7	230.5	693	690	0	0	0	0	0
Ralbp1	230.166667	763	618	0	0	0	0	0
Kbtbd2	230.166667	675	706	0	0	0	0	0
Stag1	230.0	667	713	0	0	0	0	0
Zbtb21	229.666667	621	757	0	0	0	0	0
Zbtb43	229.333333	674	702	0	0	0	0	0
Tmem43	229.166667	618	757	0	0	0	0	0
Chchd4	229.166667	618	757	0	0	0	0	0
Xpa	229.0	670	704	0	0	0	0	0
Cyrib	229.0	668	706	0	0	0	0	0
Rab1b	228.833333	669	704	0	0	0	0	0
Ttc3	228.5	680	691	0	0	0	0	0
Pigp	228.5	680	691	0	0	0	0	0
Fam151b	228.0	662	706	0	0	0	0	0
P4hb	227.666667	697	669	0	0	0	0	0
Birc2	227.666667	671	695	0	0	0	0	0
Man1b1	227.5	647	718	0	0	0	0	0
Heatr5b	227.333333	630	734	0	0	0	0	0
Gpatch11	227.333333	630	734	0	0	0	0	0
Sppl2b	227.0	624	738	0	0	0	0	0
Lsm7	227.0	624	738	0	0	0	0	0
Thop1	226.666667	654	706	0	0	0	0	0
Sys1	226.666667	627	733	0	0	0	0	0
Atp5g2	226.666667	631	729	0	0	0	0	0
2310033P09Rik	226.666667	665	695	0	0	0	0	0
Tmem120b	226.5	700	659	0	0	0	0	0
Zc3h18	226.166667	663	694	0	0	0	0	0
Oga	226.166667	689	668	0	0	0	0	0
Mga	225.666667	673	681	0	0	0	0	0
Uvssa	225.5	622	731	0	0	0	0	0
Sae1	225.333333	691	661	0	0	0	0	0
Ccser2	225.166667	678	673	0	0	0	0	0
Tmed3	225.0	635	715	0	0	0	0	0
Gna11	224.666667	673	675	0	0	0	0	0
Sorbs1	224.333333	241	242	315	0	139	409	0
Ppp1r8	224.333333	700	646	0	0	0	0	0
Cdpf1	224.166667	690	655	0	0	0	0	0
Mrpl17	224.0	636	708	0	0	0	0	0
Pdcd5	223.833333	660	683	0	0	0	0	0
Trappc1	223.666667	658	684	0	0	0	0	0
Selenoi	223.666667	646	696	0	0	0	0	0
Mink1	223.666667	643	699	0	0	0	0	0
Kcnab3	223.666667	658	684	0	0	0	0	0
Cntrob	223.666667	658	684	0	0	0	0	0
Rtn3	223.166667	691	648	0	0	0	0	0
Alkbh5	223.0	651	687	0	0	0	0	0
Susd6	222.666667	611	725	0	0	0	0	0
Ttc9c	222.5	663	672	0	0	0	0	0
Hnrnpul2	222.5	663	672	0	0	0	0	0
Egf	222.5	627	708	0	0	0	0	0
Abhd10	222.5	651	684	0	0	0	0	0
Ddx10	222.166667	620	713	0	0	0	0	0
Pdcl3	222.0	661	671	0	0	0	0	0
Park7	221.666667	664	666	0	0	0	0	0
Hmgn1	221.666667	675	655	0	0	0	0	0
Ccs	221.666667	594	736	0	0	0	0	0
Ccdc87	221.666667	594	736	0	0	0	0	0
Akap8	221.666667	657	673	0	0	0	0	0
Tssk6	221.333333	619	709	0	0	0	0	0
Rps6ka5	221.333333	661	667	0	0	0	0	0
Ndufa13	221.333333	619	709	0	0	0	0	0
Suco	221.0	662	664	0	0	0	0	0
3110040N11Rik	220.666667	700	624	0	0	0	0	0
Emp3	220.5	598	725	0	0	0	0	0
Ccdc114	220.5	598	725	0	0	0	0	0
Pgap1	220.333333	665	657	0	0	0	0	0
Rpl14	220.166667	676	645	0	0	0	0	0
Xpo7	220.0	622	698	0	0	0	0	0
Mthfd1	220.0	607	713	0	0	0	0	0
Mbd1	220.0	609	711	0	0	0	0	0
Ppfia1	219.666667	540	778	0	0	0	0	0
Spdye4b	219.5	555	762	0	0	0	0	0
Rbak	219.5	555	762	0	0	0	0	0
Lrrc42	219.333333	658	658	0	0	0	0	0
Hspb11	219.333333	658	658	0	0	0	0	0
Srsf2	219.166667	683	632	0	0	0	0	0
Nrf1	219.166667	616	699	0	0	0	0	0
Mfsd11	219.166667	683	632	0	0	0	0	0
Asnsd1	219.0	604	710	0	0	0	0	0
Asdurf	219.0	604	710	0	0	0	0	0
Kdsr	218.833333	669	644	0	0	0	0	0
Kdm3a	218.833333	620	693	0	0	0	0	0
Pcgf3	218.166667	626	683	0	0	0	0	0
Mrs2	218.166667	638	671	0	0	0	0	0
Zbed4	218.0	608	700	0	0	0	0	0
Pop7	218.0	636	672	0	0	0	0	0
Dhx34	218.0	654	654	0	0	0	0	0
Ctps	218.0	655	653	0	0	0	0	0
Smyd3	217.666667	696	610	0	0	0	0	0
Pcnx3	217.666667	647	659	0	0	0	0	0
Map3k11	217.666667	647	659	0	0	0	0	0
Brap	217.666667	619	687	0	0	0	0	0
Acad10	217.666667	619	687	0	0	0	0	0
Zfp217	217.333333	647	657	0	0	0	0	0
Taf1a	216.666667	635	665	0	0	0	0	0
Bag6	216.666667	669	631	0	0	0	0	0
Apom	216.666667	669	631	0	0	0	0	0
Ran	216.0	675	621	0	0	0	0	0
Eps15l1	216.0	626	670	0	0	0	0	0
Tmem30a	215.833333	665	630	0	0	0	0	0
Smarcc1	215.833333	623	672	0	0	0	0	0
Slc35a4	215.833333	635	660	0	0	0	0	0
Apbb3	215.833333	635	660	0	0	0	0	0
Cfap97	215.333333	674	618	0	0	0	0	0
Entpd6	215.166667	617	674	0	0	0	0	0
Amz2	215.166667	659	632	0	0	0	0	0
Irgq	214.833333	686	603	0	0	0	0	0
Ino80c	214.833333	673	616	0	0	0	0	0
B3galnt2	214.166667	598	687	0	0	0	0	0
Tbc1d10b	214.0	642	642	0	0	0	0	0
Mylpf	214.0	642	642	0	0	0	0	0
Sfxn2	213.666667	641	641	0	0	0	0	0
Hsdl2	213.666667	674	608	0	0	0	0	0
Arl3	213.666667	641	641	0	0	0	0	0
Zbtb14	213.5	612	669	0	0	0	0	0
Kdm2a	213.333333	633	647	0	0	0	0	0
Uspl1	212.833333	610	667	0	0	0	0	0
Pcmtd1	212.833333	603	674	0	0	0	0	0
Rab14	212.5	630	645	0	0	0	0	0
Nupl1	212.333333	599	675	0	0	0	0	0
Dazap2	212.333333	584	690	0	0	0	0	0
Cdv3	212.333333	637	637	0	0	0	0	0
Naa50	212.166667	652	621	0	0	0	0	0
Atp6v1a	212.166667	652	621	0	0	0	0	0
Trmt2a	212.0	554	718	0	0	0	0	0
Ranbp1	212.0	554	718	0	0	0	0	0
Wdr43	211.666667	669	601	0	0	0	0	0
Cdc7	211.5	594	675	0	0	0	0	0
Smad4	211.333333	652	616	0	0	0	0	0
Cnot8	211.166667	633	634	0	0	0	0	0
BC005537	211.166667	637	630	0	0	0	0	0
Pelo	210.666667	591	673	0	0	0	0	0
Uxs1	210.333333	654	608	0	0	0	0	0
Ndufa6	210.166667	606	655	0	0	0	0	0
Ptk2	209.666667	594	664	0	0	0	0	0
Clk4	209.666667	558	700	0	0	0	0	0
BC049762	209.666667	558	700	0	0	0	0	0
B230219D22Rik	209.5	604	653	0	0	0	0	0
Atp6v1g1	209.166667	608	647	0	0	0	0	0
Leng8	209.0	583	671	0	0	0	0	0
Rnf38	208.833333	593	660	0	0	0	0	0
Arpc1a	208.666667	564	688	0	0	0	0	0
Lgals7	208.5	574	677	0	0	0	0	0
Lsm2	207.833333	651	596	0	0	0	0	0
Ints7	207.833333	599	648	0	0	0	0	0
Dtl	207.833333	599	648	0	0	0	0	0
Ezh2	207.5	648	597	0	0	0	0	0
Zmym4	207.333333	543	701	0	0	0	0	0
Uso1	207.333333	601	643	0	0	0	0	0
Rps5	207.333333	568	676	0	0	0	0	0
Rnf225	207.333333	568	676	0	0	0	0	0
G3bp2	207.333333	601	643	0	0	0	0	0
2300009A05Rik	207.333333	682	562	0	0	0	0	0
Cep120	207.166667	612	631	0	0	0	0	0
Rfc2	207.0	578	664	0	0	0	0	0
Eif1	207.0	566	676	0	0	0	0	0
Ccdc166	207.0	632	610	0	0	0	0	0
Timm21	206.166667	578	659	0	0	0	0	0
Fbxo15	206.166667	578	659	0	0	0	0	0
Ylpm1	206.0	564	672	0	0	0	0	0
Gtf2a1	206.0	613	623	0	0	0	0	0
Gopc	206.0	566	670	0	0	0	0	0
Usp12	205.833333	647	588	0	0	0	0	0
Tbc1d7	205.833333	620	615	0	0	0	0	0
Ywhag	205.5	603	630	0	0	0	0	0
Cc2d1b	205.5	641	592	0	0	0	0	0
Ergic3	205.166667	558	673	0	0	0	0	0
6430550D23Rik	205.166667	558	673	0	0	0	0	0
Fut8	205.0	676	554	0	0	0	0	0
Sinhcaf	204.666667	594	634	0	0	0	0	0
U2af2	204.333333	593	633	0	0	0	0	0
Tmco3	204.333333	601	625	0	0	0	0	0
Dcun1d2	204.333333	601	625	0	0	0	0	0
Ccdc106	204.333333	593	633	0	0	0	0	0
Zfp281	204.166667	557	668	0	0	0	0	0
Rnf170	204.166667	620	605	0	0	0	0	0
Hook3	204.166667	620	605	0	0	0	0	0
Slc3a2	204.0	590	634	0	0	0	0	0
Cdt1	204.0	598	626	0	0	0	0	0
Set	203.666667	564	658	0	0	0	0	0
Naa40	203.666667	610	612	0	0	0	0	0
Isca1	203.666667	604	618	0	0	0	0	0
Kctd13	202.666667	592	624	0	0	0	0	0
Pbdc1	202.0	587	625	0	0	0	0	0
Eif4g1	201.833333	561	650	0	0	0	0	0
Zxdc	201.166667	586	621	0	0	0	0	0
Selenof	201.166667	553	654	0	0	0	0	0
Hs2st1	201.166667	553	654	0	0	0	0	0
Gfod2	201.166667	548	659	0	0	0	0	0
Fam104a	201.166667	513	694	0	0	0	0	0
D11Wsu47e	201.166667	513	694	0	0	0	0	0
Rbbp7	201.0	628	578	0	0	0	0	0
Zfp513	200.833333	517	688	0	0	0	0	0
Uqcrc1	200.833333	564	641	0	0	0	0	0
Fem1c	200.833333	637	568	0	0	0	0	0
Smim14	200.5	625	578	0	0	0	0	0
Zfp119a	199.833333	530	669	0	0	0	0	0
Tada2b	199.666667	602	596	0	0	0	0	0
Rmnd1	199.666667	541	657	0	0	0	0	0
Rer1	199.666667	576	622	0	0	0	0	0
Morn1	199.666667	576	622	0	0	0	0	0
Ccdc96	199.666667	602	596	0	0	0	0	0
Camsap1	199.666667	578	620	0	0	0	0	0
Armt1	199.666667	541	657	0	0	0	0	0
Srd5a1	199.5	583	614	0	0	0	0	0
Nsun2	199.5	583	614	0	0	0	0	0
Wdr89	199.333333	639	557	0	0	0	0	0
Serinc3	199.333333	648	548	0	0	0	0	0
Dcp1a	199.333333	680	516	0	0	0	0	0
Cyth1	199.166667	587	608	0	0	0	0	0
Wbp2	198.833333	616	577	0	0	0	0	0
Sft2d3	198.666667	495	697	0	0	0	0	0
Nbeal2	198.666667	604	588	0	0	0	0	0
Ccdc12	198.666667	604	588	0	0	0	0	0
Znhit1	198.5	489	702	0	0	0	0	0
Plod3	198.5	489	702	0	0	0	0	0
Prmt2	198.333333	615	575	0	0	0	0	0
Rnf149	197.666667	583	603	0	0	0	0	0
Gnb1	197.666667	587	599	0	0	0	0	0
Krcc1	197.5	542	643	0	0	0	0	0
Ywhah	197.166667	624	559	0	0	0	0	0
Ube3a	197.166667	576	607	0	0	0	0	0
Scfd2	197.166667	542	641	0	0	0	0	0
Fip1l1	197.166667	542	641	0	0	0	0	0
Senp8	196.833333	592	589	0	0	0	0	0
Myo9a	196.833333	592	589	0	0	0	0	0
Arpc2	196.833333	567	614	0	0	0	0	0
Ubac2	196.666667	526	654	0	0	0	0	0
Ttll5	196.0	565	611	0	0	0	0	0
Rps2	196.0	565	611	0	0	0	0	0
Rpl3l	196.0	565	611	0	0	0	0	0
Ndufb10	196.0	565	611	0	0	0	0	0
Erg28	196.0	565	611	0	0	0	0	0
Nefh	195.833333	601	574	0	0	0	0	0
Ap1b1	195.833333	601	574	0	0	0	0	0
Cyp20a1	195.5	582	591	0	0	0	0	0
Eif4e	195.333333	588	584	0	0	0	0	0
Zfat	195.166667	587	584	0	0	0	0	0
Tbc1d20	195.166667	535	636	0	0	0	0	0
Stk38	195.166667	519	652	0	0	0	0	0
Gon4l	195.0	559	611	0	0	0	0	0
Upf2	194.833333	627	542	0	0	0	0	0
Mphosph9	194.833333	565	604	0	0	0	0	0
2810006K23Rik	194.833333	565	604	0	0	0	0	0
Papss1	194.666667	613	555	0	0	0	0	0
Eri1	194.5	480	687	0	0	0	0	0
Gtf3a	194.333333	566	600	0	0	0	0	0
Atxn7l2	194.333333	563	603	0	0	0	0	0
Asap1	194.166667	575	590	0	0	0	0	0
Stx12	194.0	603	561	0	0	0	0	0
Spry4	193.666667	552	610	0	0	0	0	0
Ralgapa2	193.666667	576	586	0	0	0	0	0
Rae1	193.666667	519	643	0	0	0	0	0
Zfp959	193.5	545	616	0	0	0	0	0
Stau1	193.5	564	597	0	0	0	0	0
Paip2	193.5	553	608	0	0	0	0	0
Zfp873	193.166667	544	615	0	0	0	0	0
Tuba1b	193.0	379	436	145	0	0	198	0
Aifm1	192.666667	529	627	0	0	0	0	0
Nup107	192.5	551	604	0	0	0	0	0
Wdr12	192.333333	581	573	0	0	0	0	0
Ptrhd1	192.333333	586	568	0	0	0	0	0
Pkmyt1	192.333333	603	551	0	0	0	0	0
Lyst	192.333333	586	568	0	0	0	0	0
Gatad2a	192.333333	540	614	0	0	0	0	0
Cenpo	192.333333	586	568	0	0	0	0	0
