Target_genes	E2f4|Average	SRX019013|3T3-L1	SRX142538|C2C12	SRX140375|CH12	SRX122394|Dendritic_Cells	SRX122395|Dendritic_Cells	SRX122396|Dendritic_Cells	SRX122397|Dendritic_Cells	SRX319552|ES_cells	SRX019010|Hepatocytes	SRX027460|iPS_cells	SRX1532691|Liver	SRX1532692|Liver	SRX1532693|Liver	SRX1532694|Liver	SRX18205314|Liver	SRX18205316|Liver	SRX140377|MEL	STRING
D17H6S56E-5	785.235294	1921	1833	366	0	0	94	72	829	2258	1354	595	886	150	428	727	1489	347	0
Trip4	784.058824	0	128	1714	568	0	0	0	141	2741	2888	0	0	0	0	1209	1920	2020	0
Brip1	779.705882	1583	1560	1017	284	0	108	197	195	2512	2121	466	505	0	439	517	806	945	0
Cd2bp2	779.647059	1216	771	1483	0	0	0	137	473	2518	1617	519	984	0	310	669	937	1620	0
Palb2	777.823529	1783	1700	957	172	0	134	110	166	1707	2536	498	242	0	238	862	1043	1075	0
Dctn5	777.823529	1783	1700	957	172	0	134	110	166	1707	2536	498	242	0	238	862	1043	1075	0
Kbtbd6	776.352941	1516	1392	0	371	87	162	469	428	2967	2523	655	1075	0	678	206	669	0	0
Topbp1	774.705882	1170	1705	932	0	0	0	0	721	1854	2338	288	617	0	391	638	1143	1373	0
Mki67	770.235294	1045	1840	513	0	0	0	132	253	1977	910	980	1518	494	1017	856	1031	528	0
Sart3	768.0	1991	1563	561	0	0	0	213	566	2869	1348	615	936	0	300	355	915	824	0
Iscu	768.0	1991	1563	561	0	0	0	213	566	2869	1348	615	936	0	300	355	915	824	0
Ncapg2	765.117647	542	1044	1275	248	0	0	195	507	1586	2710	488	830	0	514	615	1189	1264	0
Upf3a	761.470588	1339	1694	189	243	0	168	163	189	2586	2866	586	1015	0	761	355	656	135	0
H1f2	760.0	1604	1357	252	150	0	98	370	0	3025	1737	721	1420	196	787	251	722	230	0
Alg8	756.411765	695	1637	986	333	83	101	228	320	1731	2149	506	689	144	505	698	1339	715	0
Aurkb	755.647059	742	1494	520	209	0	158	92	121	1604	2102	843	1473	208	1080	606	1228	366	0
Tcstv3	754.294118	663	1460	876	1573	830	904	1578	2575	305	362	146	127	0	328	161	127	808	0
Kif15	753.823529	936	1660	857	317	97	152	174	408	448	1886	927	853	233	869	619	1178	1201	0
1110059G10Rik	753.823529	936	1660	857	317	97	152	174	408	448	1886	927	853	233	869	619	1178	1201	0
Ect2	749.882353	983	1629	366	310	96	131	165	0	1702	2402	646	1450	259	973	380	939	317	0
Tatdn3	746.882353	1391	1636	1181	266	127	106	111	447	892	2844	422	521	0	423	416	838	1076	0
Nsl1	746.882353	1391	1636	1181	266	127	106	111	447	892	2844	422	521	0	423	416	838	1076	0
Ankle1	742.294118	1682	1483	904	235	0	0	179	236	1151	2445	800	596	0	785	484	789	850	0
H4c9	741.705882	745	1216	1305	0	0	85	214	102	1724	1399	744	1090	168	679	704	1273	1161	0
H2bc11	741.705882	745	1216	1305	0	0	85	214	102	1724	1399	744	1090	168	679	704	1273	1161	0
H2ac11	741.705882	745	1216	1305	0	0	85	214	102	1724	1399	744	1090	168	679	704	1273	1161	0
Racgap1	740.941176	1175	1626	610	0	0	0	191	140	2316	1844	679	939	155	896	367	1022	636	0
Knl1	740.647059	1621	1703	801	340	0	148	211	0	1468	1813	559	828	117	746	463	1036	737	0
Zwilch	737.176471	1624	1810	328	422	0	78	285	240	2623	2150	509	616	0	447	492	667	241	0
Rpl4	737.176471	1624	1810	328	422	0	78	285	240	2623	2150	509	616	0	447	492	667	241	0
Lrr1	732.117647	1574	1812	384	275	117	134	226	317	1928	2495	326	802	0	326	421	709	600	0
Rtel1	731.941176	1810	1730	838	148	0	0	249	265	2212	2046	454	696	0	423	366	559	647	0
Cenpu	730.705882	1649	1758	608	162	112	137	250	114	2269	2382	353	496	0	366	594	827	345	0
Xrcc2	730.647059	1712	1526	634	190	0	56	196	0	2242	2683	238	585	0	254	412	944	749	0
Ptrhd1	729.176471	1241	1658	776	160	0	109	66	178	1956	2837	349	667	0	468	376	421	1134	0
Cenpo	729.176471	1241	1658	776	160	0	109	66	178	1956	2837	349	667	0	468	376	421	1134	0
Gtse1	728.529412	1031	1870	690	287	0	120	201	0	1760	2534	603	692	0	525	593	1218	261	0
Ccdc15	726.117647	1347	1478	766	208	0	0	234	435	2222	2623	130	480	0	452	348	656	965	0
Cep152	725.117647	1118	1571	734	0	0	0	0	369	1742	2554	472	583	0	642	501	932	1109	0
Spdl1	714.529412	954	1687	481	404	0	84	222	0	2164	2301	507	848	155	653	303	1051	333	0
Zar1l	714.058824	1644	1437	792	0	0	0	130	606	1974	1639	284	412	0	148	479	955	1639	0
Brca2	714.058824	1644	1437	792	0	0	0	130	606	1974	1639	284	412	0	148	479	955	1639	0
Kri1	712.882353	481	984	398	0	0	0	108	186	2000	2284	696	1220	393	1000	400	865	1104	0
Cep128	712.882353	1660	1550	641	237	0	0	186	0	2368	3037	209	691	0	283	314	587	356	0
Cdkn2d	712.882353	481	984	398	0	0	0	108	186	2000	2284	696	1220	393	1000	400	865	1104	0
Spc25	709.529412	1181	1801	961	173	96	0	262	124	1347	2806	633	400	0	600	372	842	464	0
G6pc2	709.529412	1181	1801	961	173	96	0	262	124	1347	2806	633	400	0	600	372	842	464	0
Snrnp25	708.941176	1595	1656	647	299	0	69	215	0	2525	2625	169	552	0	329	355	672	344	0
Il9r	708.941176	1595	1656	647	299	0	69	215	0	2525	2625	169	552	0	329	355	672	344	0
Nadk2	707.529412	659	1380	812	158	0	0	117	455	2215	1937	260	518	113	315	633	984	1472	0
Map4k1	706.823529	764	1001	906	231	0	79	120	313	1951	1828	318	258	0	242	880	2070	1055	0
Eif3k	706.823529	764	1001	906	231	0	79	120	313	1951	1828	318	258	0	242	880	2070	1055	0
Tmem258	703.529412	1755	1899	736	0	0	0	180	508	1922	2041	286	341	0	0	492	748	1052	0
Fen1	703.529412	1755	1899	736	0	0	0	180	508	1922	2041	286	341	0	0	492	748	1052	0
C2cd5	698.529412	1500	1795	352	0	0	0	135	258	1612	3054	758	737	0	431	342	587	314	0
Hmgb1	697.235294	1430	1626	573	0	0	0	165	210	867	2337	634	727	0	842	688	1157	597	0
Atad2	688.0	1055	1359	547	168	0	0	152	373	1157	2827	351	427	0	226	521	1202	1331	0
Tyw1	685.882353	1454	1600	694	320	0	0	291	108	2333	1868	443	872	95	443	323	472	344	0
Sbds	685.882353	1454	1600	694	320	0	0	291	108	2333	1868	443	872	95	443	323	472	344	0
Mars2	685.235294	1022	1602	217	329	0	127	223	262	1742	2764	459	751	103	417	463	968	200	0
1700066M21Rik	683.294118	1288	1602	233	282	0	86	162	279	2352	2050	533	732	0	390	322	1110	195	0
Haus6	680.058824	1325	1627	895	150	0	0	179	0	1612	2227	333	802	0	464	355	804	788	0
Ing2	679.0	1295	1208	401	0	0	0	184	352	2153	1945	726	779	0	717	465	896	422	0
Prkdc	678.235294	845	860	1268	164	278	0	121	454	2255	1891	154	387	0	133	454	898	1368	0
Hmgb2	676.823529	927	1086	612	158	0	64	94	206	1550	2300	790	1010	187	707	465	781	569	0
Tnks	674.941176	1059	1261	675	0	0	117	167	0	2535	2239	477	794	143	623	293	824	267	0
Zfp367	672.294118	1007	1362	762	171	0	75	176	216	2103	2243	252	425	0	255	443	917	1022	0
Stil	672.294118	1149	1659	404	338	0	121	284	151	1987	2392	386	433	0	302	294	977	552	0
9530077C05Rik	671.117647	927	1675	380	235	102	154	241	241	1395	1195	670	652	0	470	591	1368	1113	0
Anapc11	670.0	1148	1372	461	175	0	116	120	297	1641	1628	579	895	0	819	367	1089	683	0
Alyref	670.0	1148	1372	461	175	0	116	120	297	1641	1628	579	895	0	819	367	1089	683	0
Mis12	667.764706	935	1192	752	137	0	0	135	144	2304	2396	527	424	0	333	500	839	734	0
Derl2	667.764706	935	1192	752	137	0	0	135	144	2304	2396	527	424	0	333	500	839	734	0
Kif22	666.176471	830	1451	705	311	0	0	137	175	1705	1944	541	1040	0	808	485	914	279	0
Casp8ap2	665.470588	868	1255	1821	0	0	0	0	531	1147	2015	255	145	0	307	398	787	1784	0
Tedc1	664.411765	1332	1594	318	0	0	0	155	0	1986	3180	436	232	0	178	453	827	604	0
Crip1	664.411765	1332	1594	318	0	0	0	155	0	1986	3180	436	232	0	178	453	827	604	0
Nop58	663.588235	232	787	2188	0	0	0	0	1489	730	879	194	154	0	235	717	1341	2335	0
Mcm4	661.882353	845	860	1268	164	0	0	121	454	2255	1891	154	387	0	133	454	898	1368	0
Trmt2a	660.117647	720	1222	1203	0	0	0	0	1031	813	1358	595	564	0	618	473	1105	1520	0
Ranbp1	660.117647	720	1222	1203	0	0	0	0	1031	813	1358	595	564	0	618	473	1105	1520	0
Tbc1d31	659.882353	994	1666	231	0	0	0	185	412	2637	2078	384	714	0	263	410	844	400	0
Zfp101	659.588235	1105	1799	732	318	0	225	253	0	2271	2066	274	544	0	369	240	659	358	0
Ccnb2	658.529412	804	1579	403	204	116	145	0	262	1076	2491	672	866	0	799	341	1123	314	0
Aspm	658.058824	943	1432	493	354	63	110	188	156	1757	2449	382	653	0	354	439	993	421	0
Snrnp48	652.823529	1223	1492	499	0	0	188	116	149	2243	1902	437	911	118	580	346	656	238	0
Wdr62	651.941176	877	1226	297	249	0	111	149	333	2343	1727	595	823	0	840	443	798	272	0
Fam110a	651.470588	1439	1281	229	163	0	86	206	0	2475	2100	480	346	0	244	580	1268	178	0
Siah1b	649.058824	1370	1518	220	193	0	97	217	0	2266	2265	521	610	0	261	197	887	412	0
Pbk	645.647059	1155	1995	1315	231	0	0	120	0	320	2488	520	511	0	423	263	393	1242	0
Kif20b	642.823529	1221	1885	279	251	86	115	160	143	1497	2109	457	838	0	443	426	828	190	0
Timeless	642.588235	1127	1315	382	200	0	109	0	250	1677	1680	560	756	0	430	520	1263	655	0
Blm	641.705882	1870	1523	604	136	0	0	173	227	1592	2268	287	358	0	309	445	750	367	0
Haus5	640.823529	982	1734	767	164	0	0	390	317	1910	1713	265	648	0	345	294	606	759	0
Tra2b	640.647059	1124	957	1022	0	0	0	0	458	1702	1848	228	152	0	159	759	1244	1238	0
Ncaph	638.411765	1080	1551	404	163	0	0	237	115	1798	2172	495	537	148	513	333	835	472	0
Iws1	637.823529	1013	1419	868	231	0	119	204	239	1994	1947	449	531	0	120	430	638	641	0
Utp3	636.117647	819	1491	816	266	0	114	328	283	1067	2734	425	458	0	315	325	447	926	0
Rcc1	634.588235	988	1513	0	188	0	93	177	0	2499	740	583	1674	116	656	526	810	225	0
H4c12	631.764706	594	1093	746	177	0	181	267	443	1228	1004	208	915	178	610	572	1001	1523	0
H2bc15	631.764706	594	1093	746	177	0	181	267	443	1228	1004	208	915	178	610	572	1001	1523	0
H2ac15	631.764706	594	1093	746	177	0	181	267	443	1228	1004	208	915	178	610	572	1001	1523	0
Timm50	631.352941	706	1071	1122	0	0	0	218	295	2209	1629	407	707	0	461	324	616	968	0
Exosc6	630.529412	1278	1706	714	169	0	93	244	0	1988	2415	232	540	0	356	244	456	284	0
Pold3	626.764706	567	1128	1481	0	0	0	0	771	755	1361	176	165	0	0	772	1531	1948	0
Esco2	625.882353	985	1592	715	309	100	95	158	134	765	2244	618	571	0	489	408	934	523	0
Ccdc25	625.882353	985	1592	715	309	100	95	158	134	765	2244	618	571	0	489	408	934	523	0
Rnaseh2b	625.176471	862	1656	439	228	0	0	233	193	1228	2041	412	731	0	485	431	918	771	0
Rmi2	624.647059	1209	1106	801	0	0	0	0	354	1481	1492	324	599	0	421	569	1161	1102	0
H2az1	622.588235	946	1187	475	0	0	0	120	172	2098	1950	438	986	230	594	357	718	313	0
Dnajb14	622.588235	946	1187	475	0	0	0	120	172	2098	1950	438	986	230	594	357	718	313	0
Oscp1	620.529412	757	1700	960	199	111	66	236	0	1638	2206	551	483	0	390	206	659	387	0
Depdc1b	617.882353	1372	1646	335	211	0	0	117	0	1716	1932	376	604	0	354	564	1097	180	0
Pcnt	616.588235	941	1140	525	0	0	0	141	331	1781	2305	637	403	0	506	388	684	700	0
Prc1	615.529412	813	1368	606	242	0	0	0	129	1921	1611	553	772	167	668	416	593	605	0
Rrs1	615.352941	1533	1559	514	219	0	96	225	133	2397	1980	334	264	0	197	219	561	230	0
Adhfe1	615.352941	1533	1559	514	219	0	96	225	133	2397	1980	334	264	0	197	219	561	230	0
Lin9	615.176471	1789	1723	164	170	0	0	201	104	1822	2342	397	475	0	244	289	600	138	0
Mns1	612.823529	1005	1268	489	242	0	85	128	150	2024	2295	536	546	0	260	427	528	435	0
Ncapd2	611.941176	1202	864	427	120	0	0	0	185	2302	2137	569	1067	144	620	204	346	216	0
Mrpl51	611.941176	1202	864	427	120	0	0	0	185	2302	2137	569	1067	144	620	204	346	216	0
Aunip	611.647059	718	1249	335	197	0	0	103	389	1801	2128	324	730	0	372	644	1052	356	0
Bahcc1	611.058824	1325	1150	0	142	93	0	281	0	2537	2186	538	389	0	365	294	743	345	0
Depdc5	610.117647	960	844	1230	0	0	0	159	392	1956	746	577	872	171	379	386	636	1064	0
Brox	610.0	365	392	697	373	122	253	396	187	188	0	551	676	343	639	1453	2406	1329	0
Aida	610.0	365	392	697	373	122	253	396	187	188	0	551	676	343	639	1453	2406	1329	0
Anln	608.823529	927	1675	159	235	102	154	241	136	1395	1195	670	652	0	470	591	1368	380	0
Smc2	608.764706	762	1846	666	190	0	108	179	186	1635	1602	491	632	0	591	153	449	859	0
Kif13b	604.705882	386	924	1343	0	0	0	0	896	1676	785	282	439	0	314	442	929	1864	0
Fbxo48	602.941176	417	1228	1168	134	0	0	0	364	1491	2267	234	505	0	352	163	499	1428	0
Nudt2	599.411765	1316	1210	426	217	0	0	209	0	1938	2056	613	308	0	452	398	761	286	0
Kif24	599.411765	1316	1210	426	217	0	0	209	0	1938	2056	613	308	0	452	398	761	286	0
Dhx36	598.470588	469	1298	594	219	0	0	179	218	1106	2541	266	573	0	426	784	1256	245	0
Recql4	595.411765	1109	1443	409	0	0	0	0	189	1189	2785	368	364	0	240	472	1039	515	0
Lrrc14	595.411765	1109	1443	409	0	0	0	0	189	1189	2785	368	364	0	240	472	1039	515	0
BC052040	595.294118	1085	1807	483	302	53	0	108	325	705	1883	467	669	0	428	327	885	593	0
