Target_genes	Bhlhe40|Average	SRX3927757|Bone_Marrow_Cells	SRX3927758|Bone_Marrow_Cells	SRX10809293|B_cells	SRX10809294|B_cells	SRX3927759|CD4+_T_cells	SRX3927760|CD4+_T_cells	SRX140385|CH12	SRX15941724|Liver	SRX15941726|Liver	SRX5299298|Macrophages	SRX5299300|Macrophages	SRX6608073|Macrophages	SRX188814|MEL	SRX3730216|Trophoblast_stem_cells	SRX3730217|Trophoblast_stem_cells	STRING
Zfp263	583.266667	0	0	795	1136	874	0	1890	229	299	450	1176	660	1240	0	0	0
Rps28	579.4	0	0	560	928	1049	143	1914	216	288	364	1411	431	1387	0	0	0
Ndufa7	579.4	0	0	560	928	1049	143	1914	216	288	364	1411	431	1387	0	0	0
Ciart	577.866667	0	0	862	1133	1685	0	0	545	562	386	1558	486	1451	0	0	0
Rsad1	575.6	0	0	591	798	1221	0	1760	209	142	392	1372	501	1648	0	0	0
Dgat2	569.866667	0	0	472	701	1078	0	1989	310	239	238	1388	492	1641	0	0	0
Gmfb	561.4	0	0	374	493	969	0	2004	225	241	302	1370	309	2134	0	0	0
Impdh1	560.933333	0	0	422	698	1266	0	2084	0	0	332	1474	286	1852	0	0	0
Kpna1	559.333333	489	417	706	507	561	293	1018	276	260	521	918	683	1108	278	355	0
Camk2d	558.4	0	0	800	1183	1372	0	1786	0	199	591	1920	525	0	0	0	0
Tnrc6c	557.733333	0	0	685	820	530	0	1706	206	239	415	1571	376	1818	0	0	0
Tbcel	554.2	0	0	569	566	1182	0	2337	241	0	0	1253	430	1735	0	0	0
Rnf40	554.2	0	0	743	587	307	0	2140	727	734	297	519	346	1913	0	0	0
Ccdc189	554.2	0	0	743	587	307	0	2140	727	734	297	519	346	1913	0	0	0
Ddx39a	547.466667	0	0	662	841	505	0	2148	151	163	208	1209	337	1988	0	0	0
Rps29	544.866667	0	0	140	80	3142	2799	603	0	126	381	196	285	421	0	0	0
Casc3	544.533333	0	0	599	919	789	0	2031	202	129	556	851	554	1538	0	0	0
Gadd45g	539.266667	0	0	599	748	706	0	1602	236	148	185	891	548	1686	581	159	0
Vps26a	538.533333	0	0	407	595	1268	0	1768	157	0	381	1644	281	1577	0	0	0
Mical3	533.466667	0	0	422	664	1111	0	2108	0	0	133	1087	496	1981	0	0	0
Tbl2	532.133333	0	0	594	613	402	0	2068	857	654	221	575	276	1722	0	0	0
Nemf	531.733333	0	0	0	93	3192	2934	467	0	0	349	208	346	387	0	0	0
Rbm38	530.733333	0	0	243	518	1000	0	1734	346	255	361	1363	254	1887	0	0	0
Nr6a1	530.0	0	0	848	1209	486	0	1908	208	230	105	881	490	1585	0	0	0
Zbtb8os	526.666667	0	0	495	537	1024	0	1655	388	502	600	921	441	1337	0	0	0
Rbbp4	526.666667	0	0	495	537	1024	0	1655	388	502	600	921	441	1337	0	0	0
Slf2	522.4	0	0	322	537	663	0	1993	253	273	233	1410	355	1797	0	0	0
Fam168b	521.466667	0	0	424	529	1081	0	1937	0	0	513	1076	252	2010	0	0	0
Nptn	521.066667	0	0	497	605	1052	0	2050	0	0	241	1114	389	1868	0	0	0
Gdpgp1	521.0	0	0	414	490	960	0	2125	130	180	165	990	462	1899	0	0	0
Cib1	521.0	0	0	414	490	960	0	2125	130	180	165	990	462	1899	0	0	0
Tet3	514.4	0	0	235	211	1305	0	1892	0	0	481	1657	439	1346	150	0	0
Slc36a1	513.266667	0	0	437	472	604	0	2297	0	110	248	1273	282	1976	0	0	0
Sde2	512.666667	0	0	241	459	1396	0	1719	300	330	276	1012	209	1748	0	0	0
Atp6v0d1	508.666667	0	0	409	566	680	0	2271	253	138	193	987	437	1696	0	0	0
Agrp	508.666667	0	0	409	566	680	0	2271	253	138	193	987	437	1696	0	0	0
Art3	507.133333	0	0	852	941	465	0	2365	0	0	207	227	588	1962	0	0	0
Dbp	506.2	0	0	347	492	865	0	1299	159	225	318	1727	637	1342	182	0	0
Ube2i	506.066667	0	0	301	461	627	0	1992	273	315	468	1349	340	1465	0	0	0
Mapk6	505.466667	0	0	243	299	1954	96	1334	178	224	396	1015	605	1238	0	0	0
Pik3ip1	503.866667	0	0	539	683	1175	0	1536	0	0	227	1540	233	1625	0	0	0
Mllt1	503.266667	0	0	296	476	980	0	2310	326	308	0	1173	416	1264	0	0	0
Znhit6	503.066667	0	0	389	459	1127	0	2054	479	397	194	1310	524	613	0	0	0
Mgrn1	501.0	0	0	687	554	315	0	1885	174	0	592	1081	406	1821	0	0	0
Pdpr	500.8	0	0	105	362	769	0	2168	0	0	503	1458	286	1861	0	0	0
Pdcd11	500.6	0	0	235	375	1034	0	1988	420	319	469	787	447	1435	0	0	0
Atp5md	500.6	0	0	235	375	1034	0	1988	420	319	469	787	447	1435	0	0	0
Phf23	500.0	0	0	517	552	1230	0	1798	0	0	165	1025	432	1781	0	0	0
Uqcc3	499.266667	0	0	335	624	931	0	2161	250	317	141	484	272	1974	0	0	0
Lbhd1	499.266667	0	0	335	624	931	0	2161	250	317	141	484	272	1974	0	0	0
Uqcc2	498.4	0	0	448	467	711	147	1351	222	313	339	1769	306	1403	0	0	0
Lsm14b	497.4	0	0	469	295	578	0	2042	270	336	397	861	219	1994	0	0	0
Dvl2	496.666667	0	0	517	552	1230	0	1748	0	0	165	1025	432	1781	0	0	0
Eif6	493.0	0	0	494	514	414	0	1936	510	429	269	876	534	1419	0	0	0
Rps20	492.6	0	0	306	402	481	268	2124	349	273	164	829	278	1915	0	0	0
Bcas2	491.733333	0	0	462	539	766	0	2120	221	179	117	813	320	1839	0	0	0
Tomt	491.666667	0	0	699	642	753	0	2013	124	140	214	700	356	1734	0	0	0
Lamtor1	491.666667	0	0	699	642	753	0	2013	124	140	214	700	356	1734	0	0	0
Psme3	491.333333	0	0	456	500	782	0	1728	412	433	225	1193	391	1250	0	0	0
Cltc	491.0	0	0	659	695	886	0	1687	137	131	172	967	513	1518	0	0	0
Canx	489.333333	0	0	551	632	794	0	1704	185	216	349	1331	352	1226	0	0	0
Aspscr1	487.6	0	0	293	375	931	0	1976	0	0	350	1614	228	1346	201	0	0
Cc2d1b	486.066667	0	0	148	317	1583	0	2013	0	0	179	1075	164	1812	0	0	0
Tbc1d15	485.333333	0	0	530	486	1033	0	1955	147	141	124	686	389	1789	0	0	0
Srfbp1	485.133333	0	0	259	519	714	0	2147	179	180	241	1090	334	1614	0	0	0
Klf11	483.666667	0	0	239	374	907	0	1779	249	183	249	995	345	1935	0	0	0
Prpf3	482.066667	0	0	274	474	724	0	2304	201	269	158	1049	292	1486	0	0	0
Dyrk1b	475.933333	0	0	833	1198	1451	0	486	205	224	310	1768	664	0	0	0	0
Gnb1	475.533333	0	0	141	197	1046	0	2097	0	0	479	1420	256	1497	0	0	0
Ddhd2	473.666667	0	0	388	558	1350	0	2101	570	535	0	329	553	721	0	0	0
Hoga1	473.066667	0	0	207	128	434	0	2424	121	106	214	799	337	2326	0	0	0
Nat10	472.866667	0	0	402	355	711	0	2214	244	224	145	570	553	1675	0	0	0
Serf2	472.0	0	0	489	555	542	319	2012	0	122	150	551	254	1759	327	0	0
Tmem192	471.666667	0	0	74	245	727	0	1707	359	558	422	1193	407	1383	0	0	0
Crebrf	470.733333	0	0	347	437	803	0	1972	0	0	349	954	376	1823	0	0	0
Med17	470.0	0	0	498	433	324	0	2307	576	279	0	646	383	1604	0	0	0
Arhgap12	466.8	0	0	593	688	816	0	1930	158	146	171	780	351	1369	0	0	0
Sik3	466.533333	0	0	221	447	749	0	1900	0	0	399	1356	269	1657	0	0	0
Pafah1b2	466.533333	0	0	221	447	749	0	1900	0	0	399	1356	269	1657	0	0	0
Dtd1	465.933333	0	0	513	509	591	0	1562	358	400	420	1214	455	967	0	0	0
Phf7	465.266667	0	0	238	333	1335	0	1941	0	0	361	1467	415	889	0	0	0
Bap1	465.266667	0	0	238	333	1335	0	1941	0	0	361	1467	415	889	0	0	0
Mex3d	464.6	0	0	330	613	1114	0	2066	0	242	212	582	209	1601	0	0	0
Tmem125	464.466667	1095	932	178	128	685	621	197	332	152	955	1259	229	0	204	0	0
Jmy	463.866667	0	0	463	229	936	0	2003	0	0	305	893	490	1639	0	0	0
Rad9a	463.066667	0	0	399	526	472	0	2163	119	0	243	863	281	1880	0	0	0
Ppm1a	462.0	0	0	436	373	984	0	1746	476	301	190	920	413	1091	0	0	0
Erlin1	461.8	0	0	114	207	1103	0	1521	137	164	430	1369	197	1685	0	0	0
Epn1	461.466667	0	0	364	384	729	0	1771	0	139	496	1651	488	900	0	0	0
Ccnh	459.866667	0	0	201	304	827	0	2122	0	102	225	1383	285	1449	0	0	0
Ilf3	458.0	0	0	477	661	844	0	1695	308	312	108	535	616	1314	0	0	0
Ube2b	457.333333	0	0	560	661	794	0	1628	0	0	374	1311	284	1248	0	0	0
Cdkl3	457.333333	0	0	560	661	794	0	1628	0	0	374	1311	284	1248	0	0	0
Ddx18	456.4	0	0	322	314	815	0	1972	399	508	297	821	375	1023	0	0	0
Cfap20	453.8	0	0	559	570	544	0	2248	186	177	166	725	252	1380	0	0	0
Ccdc107	453.733333	0	0	473	447	1311	850	2217	141	134	0	222	503	508	0	0	0
Kdm6b	453.6	0	0	162	256	565	0	1460	838	751	190	739	602	1241	0	0	0
Nudt9	453.066667	0	0	566	842	642	0	1854	179	99	0	1051	324	1239	0	0	0
Scaf11	452.2	0	0	296	428	840	0	1401	218	219	228	1219	531	1403	0	0	0
Eif4a1	451.0	0	0	584	942	0	0	1880	317	226	0	727	628	1461	0	0	0
Grpel2	450.533333	0	0	312	547	595	0	1949	122	162	365	913	167	1626	0	0	0
Rmi1	450.066667	0	0	513	475	557	0	1984	105	97	115	678	353	1874	0	0	0
Hnrnpk	450.066667	0	0	513	475	557	0	1984	105	97	115	678	353	1874	0	0	0
Gpi1	448.866667	0	0	371	539	703	0	1901	537	589	174	479	286	1154	0	0	0
Hsf2	448.8	0	0	371	549	693	0	2113	0	0	245	1104	234	1423	0	0	0
Dcaf4	448.6	0	0	582	894	659	0	1848	139	217	498	721	464	707	0	0	0
Gm5741	447.333333	0	0	661	908	313	0	1984	0	0	183	966	113	1582	0	0	0
Dhps	447.333333	0	0	661	908	313	0	1984	0	0	183	966	113	1582	0	0	0
Prss22	446.533333	0	0	0	0	472	0	2188	0	0	480	1532	282	1744	0	0	0
Ifrd2	446.333333	0	0	369	399	651	0	2140	172	206	157	1097	392	1112	0	0	0
Atp6v1c1	442.6	0	0	150	263	856	0	2204	0	113	238	940	331	1544	0	0	0
Mrto4	442.4	0	0	227	291	607	0	1902	181	270	452	1446	279	981	0	0	0
Emc1	442.4	0	0	227	291	607	0	1902	181	270	452	1446	279	981	0	0	0
Dnajc16	442.266667	0	0	541	683	116	0	1756	538	773	0	198	351	1678	0	0	0
Casp9	442.266667	0	0	541	683	116	0	1756	538	773	0	198	351	1678	0	0	0
Tex10	441.266667	0	0	71	136	796	0	2282	0	0	255	1328	132	1619	0	0	0
Retreg2	440.066667	0	0	414	582	582	0	2018	274	240	87	976	220	1208	0	0	0
Cnppd1	440.066667	0	0	414	582	582	0	2018	274	240	87	976	220	1208	0	0	0
Taf6l	437.933333	0	0	432	485	438	0	2113	94	154	124	790	193	1746	0	0	0
Mfsd3	437.0	0	0	382	463	580	0	2188	0	0	202	956	332	1452	0	0	0
Gpt	437.0	0	0	382	463	580	0	2188	0	0	202	956	332	1452	0	0	0
Atxn3	436.733333	0	0	313	437	839	0	2212	141	0	0	1005	349	1255	0	0	0
Tbc1d13	436.533333	0	0	330	363	630	0	2231	155	193	191	956	271	1228	0	0	0
Tspyl1	436.4	0	0	607	564	430	0	2202	140	0	176	600	371	1456	0	0	0
Uvrag	436.266667	0	0	644	767	307	0	1797	190	119	0	404	435	1881	0	0	0
Acyp1	436.133333	0	0	493	584	433	0	2043	203	141	183	498	453	1511	0	0	0
Map2k7	435.4	0	0	386	467	649	0	2210	412	514	115	758	427	593	0	0	0
Jtb	435.0	0	0	411	605	287	0	2165	84	164	168	504	125	2012	0	0	0
Washc2	434.733333	0	0	559	544	531	0	1883	129	158	112	653	322	1630	0	0	0
Dhx33	434.6	0	0	634	731	411	0	1838	169	190	0	656	386	1504	0	0	0
Nsun6	434.466667	0	0	228	323	550	0	2086	0	138	133	975	203	1881	0	0	0
Arl5b	434.466667	0	0	228	323	550	0	2086	0	138	133	975	203	1881	0	0	0
Rabgap1	433.4	0	0	164	261	640	0	2277	0	0	313	1025	131	1690	0	0	0
Calr3	432.6	0	0	399	477	657	0	1910	345	169	104	482	310	1636	0	0	0
1700030K09Rik	432.6	0	0	399	477	657	0	1910	345	169	104	482	310	1636	0	0	0
Washc4	432.2	0	0	137	376	560	0	2010	179	0	350	1191	143	1537	0	0	0
Micu1	431.933333	0	0	348	434	828	0	2117	119	0	183	436	190	1824	0	0	0
Tef	431.6	0	0	410	547	1365	0	1601	79	97	0	427	201	1747	0	0	0
Larp1	429.933333	0	0	233	198	690	0	1743	0	0	279	1378	378	1550	0	0	0
Cry2	429.933333	0	0	691	764	650	0	2013	0	0	0	522	382	1427	0	0	0
Zmym6	428.8	0	0	399	575	1142	0	1800	326	218	278	1389	305	0	0	0	0
Dnajc13	428.333333	0	0	457	591	628	0	1928	202	317	243	824	211	1024	0	0	0
Napa	426.133333	0	0	548	575	595	0	1911	158	130	0	691	336	1448	0	0	0
Sord	425.933333	0	0	96	233	136	0	2114	146	161	171	1221	196	1915	0	0	0
Trappc8	423.8	0	0	402	409	360	0	2210	134	130	144	1055	192	1321	0	0	0
Snapin	423.6	0	0	354	466	740	0	1765	407	531	147	756	291	897	0	0	0
Rabep1	423.466667	0	0	112	271	703	0	1928	0	0	240	1055	153	1890	0	0	0
Hif1a	423.4	0	0	281	327	806	0	1732	185	0	99	740	331	1850	0	0	0
Atxn2	423.266667	0	0	406	365	501	0	2026	214	138	140	760	411	1388	0	0	0
Tomm20	423.2	0	0	493	491	498	0	1921	302	184	0	524	502	1433	0	0	0
Vps33a	422.866667	0	0	423	448	348	0	2358	117	167	0	682	337	1463	0	0	0
Marchf9	422.866667	0	0	629	523	332	0	1894	152	0	0	635	373	1805	0	0	0
Cdk4	422.866667	0	0	629	523	332	0	1894	152	0	0	635	373	1805	0	0	0
Zbtb40	421.466667	0	0	361	446	891	0	2236	270	227	127	1041	211	512	0	0	0
Tnfaip3	421.466667	0	0	492	545	487	0	1514	0	99	200	1204	386	1395	0	0	0
Gns	421.4	0	0	296	390	1167	0	1427	199	179	154	1222	228	1059	0	0	0
Ten1	420.933333	0	0	105	190	742	0	1770	165	106	194	1306	369	1367	0	0	0
Acox1	420.933333	0	0	105	190	742	0	1770	165	106	194	1306	369	1367	0	0	0
Sdad1	420.8	0	0	404	476	327	0	2053	279	247	187	495	222	1622	0	0	0
Per2	420.266667	0	0	645	623	433	0	1861	352	306	0	273	213	1598	0	0	0
Epb41l4b	418.2	0	0	567	622	1096	0	2279	270	0	254	1052	133	0	0	0	0
Atp11b	417.4	0	0	489	652	564	0	2200	0	0	0	0	332	2024	0	0	0
Srek1	416.733333	0	0	221	300	1051	0	1790	155	195	252	1287	122	878	0	0	0
Zcwpw1	415.866667	0	0	616	705	633	0	1983	194	0	139	312	440	1216	0	0	0
Mepce	415.866667	0	0	616	705	633	0	1983	194	0	139	312	440	1216	0	0	0
Mycbp	415.4	0	0	298	415	653	0	1756	492	370	380	563	350	954	0	0	0
Gtf2f1	414.4	0	0	458	359	254	0	2310	166	108	0	248	125	2082	106	0	0
Dynll1	413.2	0	0	637	569	566	0	2103	0	0	129	594	351	1249	0	0	0
1700037H04Rik	413.0	0	0	544	453	520	0	1925	277	425	132	438	310	1171	0	0	0
Spns2	412.933333	0	0	359	539	581	0	542	0	0	516	1224	277	2156	0	0	0
Slc25a36	412.866667	0	0	474	414	893	0	2030	0	0	0	0	380	2002	0	0	0
Fdxr	412.666667	0	0	659	738	362	0	1672	265	366	176	170	362	1420	0	0	0
Dzip1	411.533333	0	0	589	613	443	0	2084	0	0	144	1141	220	939	0	0	0
Phb	411.333333	0	0	481	656	312	0	1915	145	140	0	335	289	1897	0	0	0
Pias4	411.266667	0	0	242	345	422	0	1829	149	219	287	962	188	1526	0	0	0
Fam71e1	411.2	0	0	700	629	412	0	1996	190	90	0	349	333	1469	0	0	0
Emc10	411.2	0	0	700	629	412	0	1996	190	90	0	349	333	1469	0	0	0
Hcfc2	410.933333	0	0	214	326	995	0	2024	0	0	123	1317	153	1012	0	0	0
Zfp62	410.866667	0	0	321	342	491	0	1558	219	203	277	845	232	1675	0	0	0
2310039H08Rik	410.466667	0	0	443	613	480	0	1824	0	0	0	749	393	1655	0	0	0
Rad51ap1	409.466667	0	0	262	280	0	0	1194	1512	1852	0	0	194	848	0	0	0
D6Wsu163e	409.466667	0	0	262	280	0	0	1194	1512	1852	0	0	194	848	0	0	0
AW549877	409.333333	0	0	460	461	486	0	1714	538	455	195	440	496	895	0	0	0
Bax	409.0	0	0	289	373	575	0	1964	0	0	0	1265	360	1309	0	0	0
Hmgn2	408.866667	0	0	325	439	1388	0	1700	0	0	355	652	289	985	0	0	0
Me2	408.2	0	0	489	641	149	0	1732	0	0	0	575	696	1841	0	0	0
Ncl	407.0	0	0	299	377	903	0	1788	144	177	165	1123	437	692	0	0	0
Kmt2c	405.6	0	0	0	197	440	0	2007	273	338	88	1013	148	1580	0	0	0
Celf2	405.333333	0	0	0	0	2514	2712	470	0	0	0	0	77	307	0	0	0
Sec24a	405.133333	0	0	265	394	593	0	1469	385	465	170	1321	515	500	0	0	0
Shmt1	404.8	0	0	256	452	529	0	1938	175	169	0	526	394	1633	0	0	0
Ttc32	404.733333	0	0	407	356	238	0	2274	331	444	113	550	407	951	0	0	0
Dph2	404.466667	0	0	203	307	529	0	2172	0	0	138	775	101	1842	0	0	0
B4galt2	404.466667	0	0	203	307	529	0	2172	0	0	138	775	101	1842	0	0	0
Atp6v0b	404.466667	0	0	203	307	529	0	2172	0	0	138	775	101	1842	0	0	0
Ccdc22	404.066667	0	0	313	399	343	0	2184	0	0	140	823	78	1781	0	0	0
Cacna1f	404.066667	0	0	313	399	343	0	2184	0	0	140	823	78	1781	0	0	0
Parp2	403.266667	0	0	230	298	1458	915	2290	0	0	0	0	170	532	156	0	0
Ubap2l	402.6	0	0	405	492	948	0	1591	0	0	252	907	183	1261	0	0	0
4933434E20Rik	402.6	0	0	405	492	948	0	1591	0	0	252	907	183	1261	0	0	0
Nr1d2	402.533333	0	0	434	498	1044	0	1877	0	0	0	417	391	1265	112	0	0
Mphosph9	401.533333	0	0	286	245	649	0	1579	366	490	306	1287	309	506	0	0	0
2810006K23Rik	401.533333	0	0	286	245	649	0	1579	366	490	306	1287	309	506	0	0	0
Gsr	401.466667	0	0	0	0	312	0	1737	0	200	599	1041	355	1778	0	0	0
D10Wsu102e	401.466667	0	0	439	537	608	0	2080	164	167	0	320	389	1318	0	0	0
Gstt2	401.4	0	0	156	89	410	0	1416	475	444	160	1059	432	1380	0	0	0
Pcx	400.333333	0	0	531	432	303	0	1965	158	0	0	306	421	1889	0	0	0
Park7	400.133333	0	0	628	804	452	0	1504	0	0	97	849	434	1234	0	0	0
Yif1b	400.066667	0	0	346	462	535	0	1727	640	821	0	591	206	673	0	0	0
Hps5	399.4	0	0	117	322	832	0	1649	283	200	170	1182	152	1084	0	0	0
Gtf2h1	399.4	0	0	117	322	832	0	1649	283	200	170	1182	152	1084	0	0	0
Phlpp1	398.933333	0	0	567	686	634	0	1987	261	0	152	685	380	632	0	0	0
Zpbp	396.466667	0	0	516	507	510	0	1836	0	0	287	1026	126	1139	0	0	0
Spata48	396.466667	0	0	516	507	510	0	1836	0	0	287	1026	126	1139	0	0	0
Rnf7	395.0	0	0	189	390	623	0	1748	367	450	372	553	303	930	0	0	0
Bhlhe40	394.333333	0	0	359	316	1334	0	951	144	223	0	639	344	1605	0	0	0
Ubxn6	394.133333	0	0	164	186	317	0	2015	366	291	0	536	211	1826	0	0	0
Hdgfl2	394.133333	0	0	164	186	317	0	2015	366	291	0	536	211	1826	0	0	0
Faf1	391.866667	0	0	175	234	667	0	1746	367	272	161	969	274	1013	0	0	0
B9d1	390.933333	0	0	181	134	632	0	2252	232	158	151	293	0	1831	0	0	0
Smg1	390.666667	0	0	637	736	430	0	2114	247	190	0	166	136	1204	0	0	0
Usp31	390.0	0	0	606	592	624	0	1849	0	0	117	1053	103	906	0	0	0
Pgm2l1	389.866667	0	0	453	597	768	0	1798	0	0	0	247	214	1771	0	0	0
Ralb	388.266667	0	0	118	228	357	0	1948	265	225	248	687	346	1402	0	0	0
Aatf	387.8	0	0	310	304	441	0	2017	0	0	219	815	122	1589	0	0	0
Thumpd2	387.733333	0	0	210	304	508	0	1792	105	156	232	1148	0	1361	0	0	0
Mphosph8	387.533333	0	0	227	384	914	0	2090	145	128	181	896	354	242	252	0	0
Rasip1	387.266667	0	0	83	106	1267	0	2115	0	0	267	1006	404	561	0	0	0
Vps26c	387.066667	0	0	346	509	481	0	1736	225	175	228	735	222	1149	0	0	0
Cul5	387.066667	0	0	210	233	680	0	1784	0	117	223	1411	167	981	0	0	0
Rab7	386.466667	0	0	493	530	724	0	2111	0	0	304	751	155	729	0	0	0
Itsn1	385.466667	0	0	0	0	0	0	1633	522	410	253	1209	607	1148	0	0	0
Cryzl1	385.466667	0	0	0	0	0	0	1633	522	410	253	1209	607	1148	0	0	0
Eps15l1	385.333333	0	0	445	553	235	0	2353	281	243	0	164	327	1179	0	0	0
Pten	384.2	0	0	537	420	636	0	1043	195	168	167	974	399	1224	0	0	0
Ucp2	382.666667	0	0	571	532	774	0	1655	0	0	176	1118	623	291	0	0	0
Rpl10a	382.266667	0	0	344	336	449	0	1990	170	193	457	592	234	969	0	0	0
Maml3	381.133333	0	0	116	165	312	0	1591	168	275	301	849	324	1616	0	0	0
