Target_genes	Xbp1|Average	SRX4952080|Astrocytes	SRX4952081|Astrocytes	SRX4952082|Astrocytes	SRX4952086|Astrocytes	SRX4952087|Astrocytes	SRX5982666|AtT-20	ERX1585690|CD4+_T_cells	ERX1585691|CD4+_T_cells	ERX1823619|CD4+_T_cells	ERX1823623|CD4+_T_cells	ERX1823631|CD4+_T_cells	ERX1823635|CD4+_T_cells	SRX10989776|Liver	SRX10989777|Liver	SRX10989778|Liver	SRX10989779|Liver	SRX10989780|Liver	SRX10989781|Liver	SRX10989784|Liver	SRX10989785|Liver	SRX10989795|Liver	SRX10989796|Liver	SRX10989797|Liver	SRX10989798|Liver	SRX10989799|Liver	SRX10989800|Liver	SRX2053270|Liver	SRX2053271|Liver	SRX2053272|Liver	SRX2053273|Liver	SRX2053274|Liver	SRX2053275|Liver	SRX2053276|Liver	SRX2053277|Liver	SRX5796531|Liver	SRX5796532|Liver	SRX5796533|Liver	SRX5796534|Liver	SRX5796535|Liver	SRX5796536|Liver	SRX5796537|Liver	SRX5796538|Liver	SRX5796539|Liver	SRX5796540|Liver	SRX5796541|Liver	SRX5796542|Liver	SRX5796543|Liver	SRX8366179|Liver	SRX8366180|Liver	SRX8366181|Liver	SRX8366182|Liver	SRX8366183|Liver	SRX8366184|Liver	SRX8366185|Liver	SRX8366186|Liver	SRX8366187|Liver	SRX8366188|Liver	SRX8366189|Liver	SRX8366191|Liver	SRX8366193|Liver	SRX8366195|Liver	SRX18348085|Natural_killer_cells	SRX18348086|Natural_killer_cells	STRING
Sec24c	379.460317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	0	0	0	0	0	0	0	2252	206	3898	2958	3325	182	3516	3483	128	0	0	135	0	0	299	0	233	0	208	165	0	0	0	0	127	0	0	226	0	0	146	0	151	0	0	963	1042	0
Canx	372.52381	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	465	0	0	0	0	0	0	0	2617	231	3984	3203	3605	140	3531	3302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	1084	1079	0
Xbp1	366.301587	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	1168	0	0	0	0	0	0	0	2361	263	3560	3082	3233	187	3246	3333	0	0	0	106	0	0	139	0	0	0	165	117	0	0	0	0	0	0	0	0	0	0	0	0	215	0	151	868	747	0
Hnrnpa3	365.047619	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	876	0	0	0	0	0	0	0	2423	165	3937	3107	3385	185	3490	3101	0	0	0	0	0	0	186	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	236	0	0	809	833	0
Pan2	355.444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2038	168	3998	2569	3332	118	3675	2933	109	0	0	0	0	0	211	0	162	0	188	0	0	0	0	0	0	0	0	111	0	0	119	0	125	0	0	1312	1225	0
Asmt	354.571429	0	0	0	0	0	501	0	0	0	0	0	0	254	311	239	176	300	211	121	0	402	405	357	251	409	417	606	428	604	824	1129	840	883	796	466	721	628	687	462	447	525	412	290	449	611	423	434	224	375	412	348	307	291	219	172	236	275	360	378	624	607	254	237	0
Eif3a	339.031746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	642	0	0	0	0	0	0	0	1900	158	4029	2949	2952	117	3650	2759	0	0	0	0	0	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	0	0	810	989	0
LOC114841036	338.761905	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	299	0	0	0	0	0	0	0	2629	242	3975	2308	3542	199	3709	3081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	615	519	0
Fkbp2	338.761905	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	299	0	0	0	0	0	0	0	2629	242	3975	2308	3542	199	3709	3081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	615	519	0
Ufl1	336.15873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	0	0	0	0	0	0	0	1335	0	4028	2537	2949	0	3679	2466	0	0	0	0	0	0	259	0	227	0	231	0	0	0	0	0	161	0	0	0	0	0	198	0	521	0	0	795	892	0
Il23a	334.634921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2038	0	3998	2569	3332	0	3675	2933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1312	1225	0
Xrra1	331.333333	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	622	0	0	0	0	0	0	0	1984	124	4123	2596	3357	129	3955	2368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	861	683	0
Spcs2	331.333333	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	622	0	0	0	0	0	0	0	1984	124	4123	2596	3357	129	3955	2368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	861	683	0
Pdia6	326.238095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	902	0	0	0	0	0	0	0	1771	203	3787	2206	2953	129	3723	2422	0	0	0	0	0	0	165	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	248	0	0	889	1059	0
Tmem39a	326.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	443	0	0	0	0	0	0	0	1588	0	4038	2382	3225	0	3915	2521	148	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	236	0	0	868	904	0
Manf	324.365079	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	554	0	0	0	0	0	0	0	2417	194	3372	2148	3227	161	3244	2989	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181	0	0	775	911	0
Rbm15b	323.412698	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	554	0	0	0	0	0	0	0	2417	194	3372	2148	3227	161	3244	2989	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181	0	0	775	911	0
Osbp	318.492063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	1661	190	3971	3171	2937	0	4070	2938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	463	496	0
Cog3	318.349206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	697	0	0	0	0	0	0	0	1404	0	3596	1916	3264	0	3571	1954	0	0	0	0	0	0	177	0	129	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	213	0	0	1435	1575	0
Rpn2	318.253968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	601	0	0	0	0	0	0	0	1800	118	4010	2498	3213	85	3685	2228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	308	0	0	668	836	0
Mroh8	318.253968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	601	0	0	0	0	0	0	0	1800	118	4010	2498	3213	85	3685	2228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	308	0	0	668	836	0
Ssr3	315.52381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	0	0	0	0	0	0	0	2316	0	3716	2347	3192	79	3301	2281	0	0	0	0	0	0	131	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	183	0	0	927	1035	0
Mydgf	313.968254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	533	0	0	0	0	0	0	0	1278	0	4124	2470	3054	0	3774	1927	0	0	0	0	0	0	247	0	148	0	199	0	0	0	0	0	0	0	0	0	0	0	118	0	159	0	0	821	928	0
Txndc11	312.84127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	606	0	0	0	0	0	0	0	1940	136	3458	1748	3299	0	3106	2340	105	0	0	116	0	0	195	0	149	105	103	0	0	0	0	0	112	0	0	104	0	0	0	0	187	0	0	930	970	0
Serp1	307.31746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	476	0	0	0	0	0	0	0	1843	67	3401	1368	3448	0	3270	2339	0	0	0	0	0	0	114	0	137	61	84	0	0	0	0	0	0	0	0	0	0	0	0	0	179	0	0	1265	1309	0
Eif2a	307.31746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	476	0	0	0	0	0	0	0	1843	67	3401	1368	3448	0	3270	2339	0	0	0	0	0	0	114	0	137	61	84	0	0	0	0	0	0	0	0	0	0	0	0	0	179	0	0	1265	1309	0
Hyou1	307.301587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	566	0	0	0	0	0	0	0	1834	201	3692	2494	2990	171	3340	2805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	550	565	0
Lman2	304.079365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	376	0	0	0	0	0	0	0	2074	125	3592	1898	3344	103	3742	2069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	802	886	0
Creld2	303.269841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	0	0	0	0	0	1652	195	4119	2062	3073	0	3990	2625	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	412	458	0
Alg12	303.269841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	0	0	0	0	0	1652	195	4119	2062	3073	0	3990	2625	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	412	458	0
Pdia3	301.15873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	749	0	0	0	0	0	0	0	1799	212	3597	1727	2659	112	3308	2827	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	761	903	0
Catsper2	301.15873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	749	0	0	0	0	0	0	0	1799	212	3597	1727	2659	112	3308	2827	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	761	903	0
Ppib	298.444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	550	0	0	0	0	0	0	0	1685	113	3889	1691	2970	0	3624	2360	0	0	0	0	0	0	133	0	115	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	304	0	0	553	733	0
Trabd	298.396825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	305	0	0	0	0	0	0	0	2099	138	3506	3045	3264	101	3405	2494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	246	0
Mia3	294.539683	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	464	0	0	0	0	0	0	0	1270	64	3390	2790	2517	0	3569	2305	101	0	0	0	0	0	131	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0	740	832	0
Calr	290.936508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	312	0	0	0	0	0	0	0	1616	74	3910	1804	3010	122	3668	2275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	702	836	0
Scfd1	290.904762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	0	0	0	0	0	0	0	970	181	4164	2702	2639	63	3814	1907	0	0	0	0	0	0	128	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	693	680	0
Tmed9	284.936508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272	0	0	0	0	0	0	0	1312	0	4063	1522	3211	0	3730	1774	0	0	0	0	0	0	122	0	126	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	777	820	0
Dnajb9	284.539683	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	551	0	0	0	0	0	0	0	1355	0	3847	1908	3225	0	3425	2112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	0	595	613	428
Rpl36al	284.301587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	977	0	0	0	0	0	0	0	1376	0	3773	2756	2465	85	3133	1911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	553	632	0
Mgat2	284.301587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	977	0	0	0	0	0	0	0	1376	0	3773	2756	2465	85	3133	1911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	553	632	0
Ostc	283.984127	0	0	0	0	0	144	122	0	0	0	0	0	0	0	0	0	0	0	308	0	0	0	0	0	0	0	1275	119	3143	2221	3370	0	3485	1841	0	0	0	0	0	0	156	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0	0	704	702	0
Uggt1	282.396825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	621	0	0	0	0	0	0	0	1784	0	3948	1830	3271	0	3481	1992	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	201	370	0
Usp48	282.365079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	0	1876	0	2853	1126	3362	0	3795	2266	0	0	0	0	0	0	166	0	0	90	148	0	0	0	0	0	0	0	0	108	0	0	0	0	238	0	0	713	698	0
Vps37c	281.857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	625	0	0	0	0	0	0	0	1702	0	3604	2414	2833	93	3365	2048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	0	0	417	468	0
Ube2g2	278.206349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	755	0	0	0	0	0	0	0	1068	0	3875	2279	2292	0	3179	1874	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	931	1201	0
H2-DMa	278.015873	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	265	0	0	0	0	0	0	0	1353	179	3597	2542	2438	86	3256	2484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	514	670	0
Brd2	278.015873	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	265	0	0	0	0	0	0	0	1353	179	3597	2542	2438	86	3256	2484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	514	670	0
Ikbke	276.301587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0	0	0	1389	100	3576	2629	3137	0	3661	2105	0	0	0	0	0	0	165	0	146	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	209	0	0	0	0	0
Tex45	275.047619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1928	248	3497	2685	3288	0	3093	2204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	174	0
Pex11g	275.047619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1928	248	3497	2685	3288	0	3093	2204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	174	0
Sec61b	274.936508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	466	0	0	0	0	0	0	0	1445	0	2402	1536	3040	0	3198	1932	112	0	0	0	0	0	179	0	148	0	135	0	0	0	0	0	0	0	0	144	0	0	126	0	217	0	0	1063	1178	0
Alg2	274.936508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	466	0	0	0	0	0	0	0	1445	0	2402	1536	3040	0	3198	1932	112	0	0	0	0	0	179	0	148	0	135	0	0	0	0	0	0	0	0	144	0	0	126	0	217	0	0	1063	1178	0
Rpl10	271.412698	0	0	0	0	0	242	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1280	129	2885	2150	3020	171	3264	2616	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	555	498	0
Creb3l2	268.015873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0	1408	88	2988	2522	3122	0	3260	2038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	680	567	0
Sil1	267.460317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453	0	0	0	0	0	0	0	1472	107	3244	1135	3006	0	3622	1911	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	327	0	0	725	770	0
Foxk1	258.206349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	287	0	0	0	0	0	0	0	965	190	2823	3415	3287	0	3799	1336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0
Selenos	257.888889	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	984	0	0	0	0	0	0	0	1014	109	3127	1723	2311	0	3021	1982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	0	0	911	745	0
Mettl1	257.571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	608	0	0	0	0	0	0	0	918	0	3794	1785	2483	0	3551	1149	0	0	0	0	0	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304	0	0	644	812	0
Eef1akmt3	257.571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	608	0	0	0	0	0	0	0	918	0	3794	1785	2483	0	3551	1149	0	0	0	0	0	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304	0	0	644	812	0
Nktr	257.111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	331	0	0	0	0	0	0	0	1223	0	3255	873	3046	0	3266	1586	0	0	0	0	0	0	251	0	185	0	105	0	0	0	0	0	140	0	0	142	0	0	159	0	190	0	0	659	787	0
Slc30a5	257.015873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	358	0	0	0	0	0	0	0	710	116	3963	2302	2273	0	3554	1612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	541	638	0
Harbi1	255.15873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	465	0	0	0	0	0	0	0	1228	0	3702	1661	2653	0	3563	1869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	410	440	0
Atg13	255.15873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	465	0	0	0	0	0	0	0	1228	0	3702	1661	2653	0	3563	1869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	410	440	0
Arf1	254.285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	784	0	0	0	0	0	0	0	686	0	3958	1524	2009	0	3482	1757	0	0	0	0	0	0	140	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	665	734	0
Ufc1	253.047619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	952	101	3862	2398	2502	0	3505	1219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	480	589	0
P4hb	251.47619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	505	0	0	0	0	0	0	0	1825	120	2554	1656	2401	0	2539	1918	0	0	0	0	0	0	161	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	946	953	0
Tmed10	250.555556	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	449	0	0	0	0	0	0	0	1570	0	2833	1456	3117	0	3302	1917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277	0	0	370	372	0
Hdlbp	250.349206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	768	0	0	0	0	0	0	0	978	0	3544	2457	2183	0	3151	1644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	316	0	0	317	414	0
Chid1	250.142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	1183	0	3482	1048	2873	0	3315	1714	0	0	0	0	0	0	158	0	131	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	743	892	0
Setd5	246.111111	2047	1835	3108	2547	846	0	0	0	0	0	0	0	0	0	0	0	0	0	238	0	0	0	0	0	0	0	168	0	1819	329	441	0	962	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	365	414	0
Pitpnm1	245.761905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	0	0	0	0	0	0	0	1317	90	3127	1218	3032	0	3246	1860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	629	759	0
Cdk2ap2	245.761905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	0	0	0	0	0	0	0	1317	90	3127	1218	3032	0	3246	1860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	629	759	0
Trim46	245.460317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	550	0	0	0	0	0	0	0	509	0	3694	1723	2460	0	3734	1408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	0	0	522	598	0
Krtcap2	245.460317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	550	0	0	0	0	0	0	0	509	0	3694	1723	2460	0	3734	1408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	0	0	522	598	0
