Target_genes	Fosl2|Average	SRX515671|3T3-L1	SRX520195|3T3-L1	SRX17156736|Bone_Marrow_Cells	SRX17156737|Bone_Marrow_Cells	SRX17156738|Bone_Marrow_Cells	SRX17156739|Bone_Marrow_Cells	SRX216284|Embryonic_brains	SRX216285|Embryonic_brains	SRX22541704|Macrophages	SRX22541705|Macrophages	SRX22541706|Macrophages	SRX22541707|Macrophages	SRX1839221|MEF	SRX1839222|MEF	SRX1839223|MEF	SRX1839224|MEF	SRX187213|Th0	SRX187214|Th17_Cells	SRX187215|Th17_Cells	STRING
Srxn1	578.368421	0	0	0	0	453	401	1702	1969	0	163	0	317	949	649	342	738	539	1293	1474	0
Atp13a3	577.578947	1175	280	0	0	265	167	2166	2249	0	0	0	178	840	724	310	595	839	546	640	0
Kat2b	566.684211	1525	134	0	0	324	317	1783	1817	347	201	0	498	341	273	122	260	606	904	1315	0
Polm	566.105263	0	0	0	0	649	274	1263	1258	0	116	329	878	544	308	383	525	841	1581	1807	0
Vim	565.263158	1019	0	0	0	261	260	1672	1838	0	0	0	0	728	696	327	574	870	1009	1486	0
Slc25a45	561.473684	345	133	0	0	173	170	1273	958	0	128	0	186	614	586	194	780	1193	1820	2115	0
Frmd8	561.473684	345	133	0	0	173	170	1273	958	0	128	0	186	614	586	194	780	1193	1820	2115	0
Tnfaip3	560.263158	236	228	0	0	463	379	1146	1264	204	278	239	1091	522	533	241	582	740	1004	1495	0
Il31ra	558.157895	686	210	260	171	0	0	495	344	0	0	0	0	1035	678	1308	1353	1364	1282	1419	0
Dus2	556.473684	522	0	0	0	789	633	413	925	404	433	124	1052	0	0	0	379	1370	1617	1912	0
Ddx28	556.473684	522	0	0	0	789	633	413	925	404	433	124	1052	0	0	0	379	1370	1617	1912	0
Creb5	547.631579	1773	192	0	0	181	174	1748	1949	211	176	153	453	882	835	229	474	0	288	687	0
Clk4	542.684211	1584	214	0	0	0	0	1955	1955	0	0	0	153	759	651	237	514	646	720	923	0
BC049762	542.684211	1584	214	0	0	0	0	1955	1955	0	0	0	153	759	651	237	514	646	720	923	0
Brox	539.842105	309	829	0	0	128	0	733	674	110	0	0	253	704	600	1358	1422	1262	920	955	0
Aida	539.842105	309	829	0	0	128	0	733	674	110	0	0	253	704	600	1358	1422	1262	920	955	0
Sspn	538.842105	345	334	169	0	0	0	220	205	0	0	0	0	826	404	1614	1907	1236	1233	1745	0
Enthd1	537.947368	157	0	0	0	506	356	1509	1141	282	374	382	832	423	300	223	474	807	1099	1356	0
Tmcc3	533.631579	0	0	0	0	933	926	616	890	293	189	215	874	244	112	299	432	565	1672	1879	0
Olfr432	531.894737	0	0	0	0	976	1045	276	307	370	418	627	1860	151	0	149	340	442	1534	1611	0
Timmdc1	530.894737	486	0	0	0	285	252	1700	2287	0	173	0	410	637	498	238	565	733	838	985	0
Pcgf5	529.736842	0	0	0	0	395	379	1430	1788	180	137	137	330	869	635	303	746	463	1058	1215	0
Soat2	528.736842	735	234	0	0	228	168	2056	2233	419	482	0	306	887	616	372	893	0	159	258	0
Eif4e	523.105263	412	0	0	0	711	685	1314	1343	234	129	0	527	343	317	297	463	695	1013	1456	0
Nme1	520.736842	677	0	0	0	282	133	1059	1184	247	297	140	446	328	514	178	294	1281	1161	1673	0
Usp38	518.842105	357	135	0	0	146	0	1751	2052	0	125	0	230	657	628	299	544	710	954	1270	0
Cldn18	518.263158	207	0	0	0	458	444	1474	2283	0	0	0	0	1048	822	504	706	528	600	773	0
4930562C15Rik	517.947368	0	0	0	0	591	288	855	948	440	222	0	604	338	180	213	399	636	1962	2165	0
Ddr1	514.052632	1034	0	0	0	133	0	1979	1718	0	0	0	0	531	349	0	232	1050	1225	1516	0
Htatip2	513.894737	1178	266	0	0	336	250	2187	1977	172	193	0	304	1007	656	406	636	0	0	196	0
Pim1	511.052632	866	0	0	0	564	474	1129	869	393	472	281	1105	378	422	157	353	256	867	1124	0
Crcp	511.0	1046	0	0	0	339	300	1833	1757	0	0	0	270	523	653	0	243	513	1020	1212	0
Asl	511.0	1046	0	0	0	339	300	1833	1757	0	0	0	270	523	653	0	243	513	1020	1212	0
Fosl2	509.894737	1396	0	0	0	0	0	1773	1822	182	162	0	0	775	787	172	406	547	845	821	0
Man2a2	509.578947	407	194	0	0	293	415	1536	1366	295	354	170	613	702	571	361	598	394	648	765	0
Necap1	508.526316	1079	0	0	0	484	465	1302	1466	633	664	244	775	669	478	173	382	0	349	499	0
Fbxo4	506.789474	281	112	0	0	252	131	1890	2027	129	189	0	142	624	778	269	552	585	690	978	0
Raet1d	502.894737	0	0	0	0	444	353	956	2082	150	0	0	300	418	434	237	412	702	1313	1754	0
Furin	501.842105	505	0	0	0	697	643	708	431	481	482	128	765	349	251	0	457	892	1292	1454	0
Shisal1	499.0	0	0	0	0	0	0	1899	2197	0	0	0	0	1125	1020	260	801	654	648	877	0
Syne3	496.631579	220	0	0	0	835	833	433	515	712	514	107	563	355	178	0	116	1049	1164	1842	0
Flvcr1	493.421053	0	0	0	0	711	404	1674	1162	154	313	0	336	922	803	373	580	202	752	989	0
Guca2b	492.736842	217	224	0	0	1227	643	1014	1207	269	468	201	712	364	357	286	471	174	611	917	0
Zc3h12a	492.473684	1205	0	0	0	95	0	1483	2162	174	157	0	330	782	503	206	429	302	623	906	0
Acsl1	492.263158	1313	153	0	0	847	593	1214	1610	0	0	165	437	218	0	161	314	229	932	1167	0
Mapk6	491.578947	312	0	0	0	138	286	1048	1154	245	136	0	379	1247	885	327	558	547	860	1218	0
Mbd6	490.421053	0	0	0	0	184	0	1585	1728	265	231	0	269	592	520	181	502	617	1277	1367	0
Ddit3	490.421053	0	0	0	0	184	0	1585	1728	265	231	0	269	592	520	181	502	617	1277	1367	0
Raet1e	488.368421	0	0	0	0	564	468	729	1845	140	159	0	372	539	373	163	439	628	1212	1648	0
Raet1c	488.368421	0	0	0	0	564	468	729	1845	140	159	0	372	539	373	163	439	628	1212	1648	0
Raet1b	488.368421	0	0	0	0	564	468	729	1845	140	159	0	372	539	373	163	439	628	1212	1648	0
Fgf7	488.052632	522	0	0	0	0	0	1873	2077	0	0	0	0	775	520	286	410	227	1216	1367	0
Ndufa5	487.842105	227	257	0	0	150	0	926	1347	0	0	0	139	616	626	210	845	692	1441	1793	0
Asb15	487.842105	227	257	0	0	150	0	926	1347	0	0	0	139	616	626	210	845	692	1441	1793	0
Dnttip1	486.368421	286	0	0	0	526	311	1396	1330	0	0	292	893	540	392	499	687	518	755	816	0
Ubd	485.947368	1526	0	0	0	266	0	1824	1742	0	0	0	0	879	986	255	614	0	535	606	0
Olfr94	485.947368	1526	0	0	0	266	0	1824	1742	0	0	0	0	879	986	255	614	0	535	606	0
H1f8	482.684211	312	0	0	0	1393	1043	624	1064	116	124	0	745	122	0	106	178	959	1130	1255	0
Tbce	481.947368	281	0	0	0	295	218	1317	1044	0	0	0	0	561	367	152	574	1156	1316	1876	0
Rasl10a	481.894737	0	0	0	0	0	0	1372	1530	0	0	0	0	992	1029	266	664	631	1012	1660	0
Gas2l1	481.894737	0	0	0	0	0	0	1372	1530	0	0	0	0	992	1029	266	664	631	1012	1660	0
Mfn2	481.842105	856	186	0	0	865	478	1258	1621	0	0	0	0	703	431	421	798	251	671	616	0
Atp1a1	481.315789	644	0	0	0	218	240	1228	1768	0	232	0	166	653	611	156	253	811	1018	1147	0
Blnk	480.842105	0	0	0	0	466	550	2166	2038	276	433	174	229	371	183	292	538	138	671	611	0
Ankrd55	477.789474	0	0	0	0	562	665	1243	1741	0	0	0	0	0	0	226	293	596	1928	1824	0
Card19	477.684211	266	0	0	0	422	344	1684	1757	328	399	0	286	363	212	183	487	668	844	833	0
Rab7b	475.842105	320	0	0	0	829	585	1066	807	836	662	316	1174	351	131	226	448	0	780	510	0
Fhl2	474.210526	0	0	0	0	332	215	916	1826	0	0	0	0	512	229	231	590	960	1438	1761	0
Cnn1	472.947368	0	0	0	0	0	109	637	1099	174	241	0	192	937	693	415	723	756	1281	1729	0
Prpf39	469.947368	300	0	0	0	226	187	1418	1064	121	210	0	176	804	723	216	429	480	1219	1356	0
Kbtbd7	469.368421	0	0	0	0	419	396	976	974	260	285	0	614	528	287	0	405	870	1208	1696	0
Tet3	469.315789	370	0	0	0	538	482	917	1082	156	129	0	218	188	209	255	476	735	1359	1803	0
Zfp821	469.210526	238	179	0	0	0	179	1356	1093	194	282	377	1341	509	325	234	354	456	777	1021	0
Dyrk1a	467.210526	784	0	0	0	513	388	1177	1240	144	355	137	380	429	271	143	466	480	815	1155	0
Pvr	464.052632	682	0	0	0	367	256	903	880	177	194	138	356	678	586	280	515	663	892	1250	0
Atg9b	463.421053	731	0	0	0	345	270	1076	1024	452	245	157	487	346	270	167	394	703	1046	1092	0
Abcb8	463.421053	731	0	0	0	345	270	1076	1024	452	245	157	487	346	270	167	394	703	1046	1092	0
Flvcr2	462.842105	1216	247	0	0	104	0	954	1204	0	0	0	0	537	507	243	597	533	1151	1501	0
Rmc1	462.631579	349	0	0	0	486	403	685	953	225	262	227	591	185	215	195	402	752	1214	1646	0
Eno1	462.368421	844	216	0	0	0	189	1570	1624	0	0	0	225	478	497	273	448	402	790	1229	0
Lgals3	462.0	832	236	0	0	477	365	1530	1359	515	425	0	442	623	542	264	486	218	219	245	0
Pkm	461.157895	685	145	0	0	548	329	1604	1304	320	285	120	343	444	352	257	336	304	546	840	0
Mpp4	460.578947	320	0	0	0	521	438	1233	1100	0	0	0	0	444	450	259	695	334	1193	1764	0
Ist1	460.578947	238	179	0	0	0	179	1356	1093	136	176	377	1341	509	325	234	354	456	777	1021	0
Rbpj	460.157895	269	0	0	0	207	0	1155	1206	134	180	0	474	414	334	246	788	779	1035	1522	0
Pkp2	459.789474	266	0	0	0	321	185	1423	1346	0	0	0	0	868	457	299	672	549	1199	1151	0
Nop53	459.789474	1115	0	0	0	511	492	1014	1227	0	0	0	0	549	421	195	418	514	971	1309	0
Zkscan1	459.736842	1505	205	0	0	0	122	1065	963	194	185	0	212	236	252	0	387	694	1152	1563	0
Ccr9	459.631579	134	0	0	0	717	407	636	1123	155	169	0	521	0	0	124	296	1148	1549	1754	0
Prss46	459.473684	108	0	0	0	1303	1262	380	245	164	176	244	665	213	0	288	427	170	1367	1718	0
Tspo	457.842105	928	0	0	0	583	488	1793	1920	0	0	110	382	690	368	254	548	0	285	350	0
Wasf2	455.631579	574	0	0	0	205	149	1214	1224	223	239	0	232	312	332	200	395	730	1180	1448	0
Mnt	455.631579	275	0	0	0	451	488	1468	1312	96	185	0	112	644	735	149	300	628	793	1021	0
Igfbp6	452.947368	735	234	0	0	163	0	2056	2233	0	0	0	0	887	616	372	893	0	159	258	0
Sh3bp4	452.578947	1039	0	0	0	217	0	655	843	239	180	0	359	573	548	201	402	729	1187	1427	0
Myl12a	451.473684	365	0	0	0	0	0	912	941	179	289	0	456	850	755	301	543	500	1141	1346	0
Hp1bp3	451.421053	621	102	0	0	204	135	1214	1828	143	152	0	450	314	254	178	324	579	1002	1077	0
Cetn4	450.210526	246	0	0	0	232	205	1197	797	211	176	0	488	540	495	206	463	670	1185	1443	0
Bbs12	450.210526	246	0	0	0	232	205	1197	797	211	176	0	488	540	495	206	463	670	1185	1443	0
Atl3	446.736842	330	0	0	0	357	153	887	1056	0	0	0	120	449	300	144	224	1214	1442	1812	0
N4bp1	444.947368	155	0	0	0	675	604	755	1211	336	360	145	481	376	312	142	306	548	897	1151	0
Tubb6	444.263158	0	0	0	0	876	789	808	1120	182	0	0	203	585	519	182	568	577	832	1200	0
Arf1	441.421053	0	98	0	0	862	629	709	1073	0	232	0	144	186	0	189	208	818	1504	1735	0
Nek2	441.157895	794	0	0	0	227	0	1113	1166	0	0	0	273	895	598	216	556	507	954	1083	0
Olfr433	440.105263	306	0	0	0	709	708	325	527	258	296	460	1147	454	225	0	262	467	912	1306	0
Bcar1	438.157895	536	0	0	0	575	309	1489	1165	0	0	0	0	282	332	188	412	205	1271	1561	0
Micall1	437.684211	536	164	0	0	492	423	919	1131	127	0	0	222	625	490	343	607	322	709	1206	0
H2-DMa	437.315789	434	0	0	0	571	506	1014	1116	150	0	0	323	427	196	259	528	332	954	1499	0
Brd2	437.315789	434	0	0	0	571	506	1014	1116	150	0	0	323	427	196	259	528	332	954	1499	0
Slc30a4	437.210526	1066	0	0	0	0	159	1915	2329	0	0	0	0	1014	712	332	651	0	129	0	0
Ablim1	435.421053	676	0	0	0	1589	1394	1282	899	0	0	0	0	318	263	0	231	603	452	566	0
Socs5	435.263158	781	107	0	0	153	0	1334	946	122	169	0	0	576	519	166	355	621	1026	1395	0
Phyhd1	433.947368	790	0	0	0	196	271	1433	1550	231	305	0	162	736	848	158	313	159	518	575	0
Dclk1	432.684211	515	174	0	0	0	0	696	897	0	0	0	0	281	163	287	847	838	1644	1879	0
Itgav	431.894737	411	0	0	0	439	333	838	1131	169	275	157	340	442	289	93	257	492	1194	1346	0
Mast2	430.842105	510	0	0	0	399	407	1710	2149	137	154	0	263	763	562	186	401	0	258	287	0
Mknk2	430.684211	427	0	0	0	164	0	1453	1651	0	142	0	165	474	440	124	261	624	928	1330	0
Slfn10-ps	430.473684	0	0	0	0	491	457	292	876	319	207	280	810	516	437	237	455	586	1057	1159	0
Foxp1	430.210526	450	0	0	0	551	470	195	657	456	463	376	1741	0	0	0	220	487	981	1127	0
Ppp2ca	429.842105	138	0	0	0	612	529	317	1087	0	0	217	518	287	202	211	381	813	1183	1672	0
Mpv17	423.736842	1120	265	0	0	154	137	1777	2377	0	0	0	0	530	376	286	500	0	253	276	0
Snx27	423.684211	499	0	0	0	185	0	753	883	248	254	179	932	389	204	168	408	469	1111	1368	0
Wsb1	423.315789	273	0	0	0	0	126	1621	1611	178	130	0	175	651	723	280	333	434	574	934	0
Sap30bp	423.0	570	0	0	0	206	107	1118	1391	0	124	0	205	570	602	0	459	525	895	1265	0
Recql5	423.0	570	0	0	0	206	107	1118	1391	0	124	0	205	570	602	0	459	525	895	1265	0
Mylk2	422.526316	724	0	0	0	133	287	1130	929	100	191	0	274	452	475	139	312	464	1143	1275	0
Podxl2	421.105263	1121	190	0	0	489	239	1700	1957	0	0	0	0	311	309	0	392	297	435	561	0
Lpxn	421.0	389	0	0	0	181	211	1002	552	293	280	0	512	326	147	112	283	713	1346	1652	0
Slc9a5	420.631579	942	0	0	0	240	328	1080	757	275	314	113	422	409	188	153	252	566	895	1058	0
Fhod1	420.631579	942	0	0	0	240	328	1080	757	275	314	113	422	409	188	153	252	566	895	1058	0
Cirbp	419.578947	615	0	0	0	382	325	1525	1528	0	0	0	217	569	754	242	507	136	475	697	0
Med15	418.315789	261	0	0	0	414	249	886	890	0	161	114	383	541	383	258	543	404	1008	1453	0
Nr1d1	417.526316	261	0	0	0	462	442	793	623	420	181	182	435	281	209	0	371	878	1083	1312	0
Cfap126	417.315789	0	0	0	0	241	165	673	660	168	96	104	649	413	376	253	479	338	1616	1698	0
Sbno2	417.263158	693	0	0	0	120	176	1040	1054	283	271	202	944	409	330	153	322	261	724	946	0
Ubxn4	416.894737	1532	0	0	0	0	122	978	1052	156	0	0	269	517	382	164	299	484	724	1242	0
Tbkbp1	415.947368	702	0	0	0	366	361	491	770	170	132	0	0	335	219	307	525	759	1326	1440	0
Gm4861	415.947368	244	174	0	0	287	112	1391	1752	0	0	0	0	683	1010	359	555	0	462	874	0
Lsp1	415.736842	323	0	0	0	253	272	969	806	0	0	0	296	455	391	185	371	831	1113	1634	0
Cxcl17	415.684211	173	0	0	0	0	0	1284	1795	0	0	0	0	305	220	253	281	961	1349	1277	0
Per1	415.421053	618	0	0	0	334	250	1582	931	143	158	0	208	0	0	0	172	799	1297	1401	0
Mtus1	414.684211	98	0	0	0	1016	668	1087	1607	203	297	272	895	472	391	360	513	0	0	0	0
Ubc	414.421053	638	116	0	0	339	209	666	629	560	320	0	322	312	303	183	367	638	1061	1211	0
Rhoq	414.315789	288	235	0	0	188	134	644	555	233	125	0	477	187	167	243	363	639	1511	1883	0
Slc4a8	414.210526	234	0	0	0	487	669	1281	1883	0	0	0	0	416	322	143	325	454	648	1008	0
Blcap	413.736842	0	0	0	0	337	234	1068	1198	125	193	122	416	414	304	191	265	521	1092	1381	0
Gm29733	413.578947	0	0	0	0	284	297	765	1026	311	334	106	493	507	355	130	309	562	1011	1368	0
Prr5l	412.894737	0	0	0	0	743	665	242	213	0	242	150	861	201	170	220	627	651	1207	1653	0
Liph	410.421053	573	0	0	0	152	0	1858	1517	0	130	0	130	556	480	156	443	317	632	854	0
Cic	410.421053	293	134	0	0	351	312	805	813	317	314	0	367	388	376	148	405	475	1151	1149	0
Tbata	410.315789	0	0	0	0	0	0	1913	1433	71	0	0	0	599	445	0	431	548	1028	1328	0
Rcan1	410.0	301	0	0	0	619	405	598	575	113	168	207	765	0	143	182	400	334	1409	1571	0
Abhd12	408.789474	198	0	0	0	589	520	578	1292	408	486	0	420	441	342	200	312	179	718	1084	0
Elk3	408.368421	234	0	0	0	278	247	1046	1212	307	158	0	544	308	216	138	348	584	846	1293	0
Itga5	408.263158	0	147	0	0	842	536	727	709	316	439	604	1352	334	298	175	341	132	303	502	0
Lrp8	407.157895	203	0	0	0	306	179	1259	1346	0	0	0	0	421	274	214	444	482	1129	1479	0
Pacsin2	407.0	1056	0	0	0	228	0	1699	1596	296	173	126	405	403	586	0	322	232	221	390	0
Apon	406.526316	240	0	0	0	333	327	824	1998	0	147	0	145	212	204	221	464	606	839	1164	0
Adssl1	406.210526	0	0	0	0	932	685	325	347	449	435	167	667	125	0	181	349	431	1158	1467	0
Dthd1	405.0	0	0	0	0	682	712	557	815	0	0	0	252	0	0	0	0	1241	1517	1919	0
Zfp36	404.684211	282	0	0	0	216	221	629	883	258	310	87	341	402	344	225	395	633	1047	1416	0
Hcn3	404.526316	574	0	0	0	0	135	1388	1166	0	0	0	0	668	293	218	359	515	1087	1283	0
Gm45927	404.526316	574	0	0	0	0	135	1388	1166	0	0	0	0	668	293	218	359	515	1087	1283	0
Clk2	404.526316	574	0	0	0	0	135	1388	1166	0	0	0	0	668	293	218	359	515	1087	1283	0
Gm3448	404.421053	0	0	0	0	0	0	1402	1852	235	217	121	223	417	317	268	782	200	673	977	0
Gm3417	404.421053	0	0	0	0	0	0	1402	1852	235	217	121	223	417	317	268	782	200	673	977	0
Uckl1	402.684211	903	0	0	0	172	0	745	1257	168	270	0	391	253	303	0	317	377	1054	1441	0
Cacul1	402.473684	231	0	0	0	0	0	1696	1708	0	93	0	219	511	598	180	240	330	704	1137	0
Gtf2a1	401.157895	799	0	0	0	431	294	1103	964	0	143	134	554	346	228	190	274	535	690	937	0
Gal	401.105263	0	0	0	0	696	377	1328	874	0	0	0	0	728	400	593	784	322	613	906	0
Spata45	400.736842	0	0	0	0	157	0	1674	1162	0	0	0	0	922	803	373	580	202	752	989	0
Sema4a	400.736842	596	0	0	0	326	264	805	762	192	196	222	1012	0	0	0	0	421	1157	1661	0
Cdt1	400.210526	230	0	0	0	723	777	815	666	578	575	251	964	167	219	198	349	174	506	412	0
Zfp280d	400.0	585	0	0	0	193	181	717	1676	0	0	0	104	460	351	192	451	486	1003	1201	0
Zfp869	399.526316	348	0	0	0	120	150	453	550	124	0	202	166	612	571	270	481	745	1233	1566	0
Tnrc6b	399.105263	437	0	0	0	646	592	1515	1107	0	0	0	217	413	221	0	244	284	660	1247	0
Adgrg1	398.894737	175	0	0	0	315	137	1272	1441	0	0	0	0	459	391	237	487	378	1012	1275	0
Gpr152	398.263158	192	0	0	0	408	334	935	801	145	167	534	1696	0	0	0	167	394	599	1195	0
Cabp4	398.263158	192	0	0	0	408	334	935	801	145	167	534	1696	0	0	0	167	394	599	1195	0
1810058I24Rik	397.684211	701	0	0	0	229	192	1219	1078	161	199	0	148	325	329	201	319	428	856	1171	0
Cttn	397.526316	338	0	0	0	310	299	797	824	0	0	0	0	495	169	219	574	385	1524	1619	0
Irgc1	397.052632	175	203	0	0	167	189	669	375	506	522	201	626	513	141	244	511	253	992	1257	0
Lcmt1	396.894737	150	0	0	0	880	655	1487	1097	0	255	0	322	418	285	189	398	321	552	532	0
Amn1	396.263158	1811	0	0	0	202	87	835	1120	185	262	102	472	331	168	0	219	361	522	852	0
Smim3	394.421053	142	0	0	0	239	269	693	759	455	404	216	538	207	125	131	363	504	1026	1423	0
Hook2	394.210526	0	0	0	0	172	235	673	977	72	0	0	151	698	537	399	759	662	1038	1117	0
Ppp1r15b	393.736842	190	0	0	0	184	166	497	489	223	198	127	468	300	268	177	329	984	1294	1587	0
Zfp948	393.315789	864	0	0	0	156	0	953	778	207	111	0	148	539	559	305	520	330	826	1177	0
Capg	392.210526	196	0	0	0	589	445	682	963	253	308	108	391	389	350	0	441	543	669	1125	0
Numb	390.789474	546	0	0	0	247	253	1178	1111	0	0	0	108	400	413	149	482	0	1151	1387	0
Serpinb1a	390.315789	344	0	0	0	150	160	1543	1811	0	0	0	0	984	981	402	696	0	178	167	0
Agpat4	388.894737	156	0	0	0	400	311	1266	1126	113	189	0	207	493	562	0	447	402	769	948	0
Tpm2	388.736842	218	0	0	0	904	517	1342	1597	0	0	0	0	573	432	368	731	145	226	333	0
Zfp91	388.210526	285	0	0	0	181	211	1002	552	134	0	0	432	326	147	112	283	713	1346	1652	0
Rgs20	387.736842	243	0	0	0	582	434	2097	434	0	0	0	0	140	0	271	461	463	1022	1220	0
Hmces	387.736842	0	0	0	0	635	536	555	577	323	176	0	339	0	0	0	0	1095	1388	1743	0
Iqcn	386.842105	1429	180	0	0	0	0	1591	1872	0	146	0	150	315	473	195	379	190	172	258	0
Nek6	386.526316	1447	113	0	0	100	0	841	1092	162	178	0	325	818	625	230	682	0	302	429	0
Crk	386.315789	149	0	0	0	431	338	894	1000	245	161	0	528	287	189	0	425	369	1009	1315	0
1700011L22Rik	385.894737	0	0	0	0	915	784	193	206	527	595	336	762	0	0	116	283	331	1067	1217	0
Zc3h4	385.736842	791	0	0	0	229	216	1034	1008	197	0	0	146	243	241	0	297	543	1003	1381	0
Dusp28	385.736842	203	290	0	0	141	99	1241	1384	0	0	0	180	677	563	323	471	172	644	941	0
Ankmy1	385.736842	203	290	0	0	141	99	1241	1384	0	0	0	180	677	563	323	471	172	644	941	0
Tgfbr2	385.052632	0	0	0	0	253	210	959	1033	299	480	107	335	588	563	201	469	269	628	922	0
Gm4832	384.736842	0	0	0	0	663	528	264	223	406	339	311	829	0	196	0	269	441	1113	1728	0
Usp49	383.842105	800	0	0	0	156	0	1197	686	0	0	0	0	391	278	319	381	651	1033	1401	0
Il7r	383.526316	0	0	0	0	961	662	0	0	421	475	154	705	0	0	163	0	1019	1334	1393	0
Ahnak2	382.947368	163	0	0	0	176	214	1354	1114	324	349	0	333	427	280	162	422	515	610	833	0
