Unnamed: 0	source	target	weight	p_value
42	Androgen	Aff3	2.4800925	1.6895338999999999e-18
43	Androgen	Sgk1	12.816842	2.0550632e-18
44	Androgen	Stk39	6.9341245	2.0842887999999997e-18
45	Androgen	Malt1	6.669782	2.3631976999999996e-18
46	Androgen	Cdk8	-4.2908683	2.5141320999999998e-18
47	Androgen	Crot	4.358307	2.7247761999999998e-18
48	Androgen	Pgc	4.7496333	4.111454e-18
49	Androgen	Steap4	9.19434	6.5170391999999996e-18
50	Androgen	Nsmaf	3.2845445	6.959565e-18
51	Androgen	Gpr63	-3.2275932	1.3055475e-17
52	Androgen	Maf	5.8638716	1.8056603e-17
53	Androgen	Frk	4.7002487	2.9930220000000004e-17
54	Androgen	Cenpn	8.491016	3.502872e-17
55	Androgen	Sord	5.777566	3.587296e-17
56	Androgen	Iqgap2	5.1244836	5.2863690000000005e-17
57	Androgen	Mphosph9	5.106199	5.4726910000000005e-17
58	Androgen	Hoxc13	-3.634256	8.3011055e-17
59	Androgen	Chrna2	3.3317015	8.7228975e-17
60	Androgen	Klf15	2.832534	1.1234677e-16
61	Androgen	Acsl3	8.258214	1.1906092000000001e-16
62	Androgen	Spdef	3.7509513	3.4528427000000003e-16
63	Androgen	Fzd5	4.6866198	3.9533484e-16
64	Androgen	Csgalnact1	6.8460345	6.872221e-16
65	Androgen	Dnase2b	3.0113287	6.890441500000001e-16
66	Androgen	Phf8	1.8696449	1.2008573e-15
67	Androgen	Eci3	4.268102	2.0814583e-15
68	Androgen	Eci2	4.268102	2.0814583e-15
69	Androgen	Adprm	4.1334887	2.4499952e-15
70	Androgen	Grhl2	4.295725	3.2368742e-15
71	Androgen	Endod1	6.5161524	3.3774988e-15
72	Androgen	Azgp1	5.8183503	8.182884e-15
73	Androgen	Acp3	-3.014728	9.002913e-15
74	Androgen	Tspan3	-3.0469482	1.1254765e-14
75	Androgen	Igf1	2.6801176	1.2751416e-14
76	Androgen	Pde9a	2.9002094	1.5912171e-14
77	Androgen	Ppp2cb	2.352618	2.7706334e-14
78	Androgen	Mynn	-2.9188044	2.8020414e-14
79	Androgen	Rab3b	4.3931	3.3149864e-14
80	Androgen	Sec14l2	4.3885274	3.44313e-14
81	Androgen	Psmd8	3.6573284	3.631305e-14
82	Androgen	Ube2j1	3.760021	3.795808e-14
83	Androgen	Fut8	-4.4059534	7.248718e-14
84	Androgen	Pak1ip1	7.6919317	9.4615965e-14
85	Androgen	Manea	-4.0041466	1.1670115e-13
86	Androgen	Gcg	-2.171336	1.2516297e-13
87	Androgen	Selenop	6.3367805	1.2801464e-13
88	Androgen	Trpm8	3.8354187	1.4750217e-13
89	Androgen	Scap	2.929211	1.5947097e-13
90	Androgen	Mccc2	2.8080049	2.008381e-13
91	Androgen	Nnmt	6.090327	2.1658196e-13
92	Androgen	Greb1	5.5649567	2.4603277e-13
93	Androgen	Abhd2	5.2295184	2.7121122e-13
94	Androgen	Pnlip	2.4413633	3.39165e-13
95	Androgen	Mapk6	3.246535	3.751989e-13
96	Androgen	Tmem38b	-4.1328363	6.1110817e-13
97	Androgen	Kalrn	-1.1891885	6.4616194e-13
98	Androgen	Mpzl1	2.503404	7.3986775e-13
99	Androgen	Colec12	-3.875356	1.1393267e-12
100	Androgen	Dennd1b	-3.51973	1.3468853e-12
101	Androgen	Trim45	-2.4815292	1.4771178e-12
102	Androgen	Rab27a	4.1886587	1.6075943e-12
103	Androgen	Grb10	-4.8907585	1.6273016e-12
104	Androgen	Snrk	-2.2858937	2.5925308e-12
105	Androgen	Saysd1	-1.6102953	2.9157178e-12
106	Androgen	Trim36	3.3379312	3.1026e-12
107	Androgen	Orc5	3.2846985	3.6124194e-12
108	Androgen	Chka	3.7443159	3.7302735e-12
109	Androgen	Abcc1	3.4497247	6.5604328e-12
110	Androgen	Ppp1cb	3.3583555	7.7994364e-12
111	Androgen	Bard1	-4.809691	8.868711e-12
112	Androgen	Hebp2	2.8169453	9.404728e-12
113	Androgen	Ola1	2.337639	1.0033243e-11
114	Androgen	Tenm1	2.3795295	1.1422282e-11
115	Androgen	Galnt10	-2.9719958	1.3077163e-11
116	Androgen	Crebzf	-1.8409792	1.71054e-11
117	Androgen	Inpp4b	4.804519	1.7349115e-11
118	Androgen	Man1a1	-6.214564	1.8846348e-11
119	Androgen	Rarb	2.7037332	2.4173117e-11
120	Androgen	Slc43a1	4.035577	2.6367596e-11
121	Androgen	Pitx1	-2.6804025	3.208198e-11
122	Androgen	Irs2	6.853663	3.6871374e-11
123	Androgen	Myrip	-3.0154507	4.1478765e-11
124	Androgen	Fech	2.5699794	5.094838e-11
125	Androgen	Socs2	4.6614933	6.48113e-11
126	Androgen	Mycbp2	2.5376332	6.530272e-11
127	Androgen	Slc35f2	4.5373507	6.7532584e-11
128	Androgen	Mapre2	-1.9248115	6.9242265e-11
129	Androgen	Tulp4	-3.1907995	8.634125e-11
130	Androgen	Atp1a1	2.7792637	8.6498635e-11
131	Androgen	Kcnd2	2.7690914	9.170716e-11
132	Androgen	Ficd	3.2175245	1.2187633e-10
133	Androgen	Tiparp	8.332359	1.5252635e-10
134	Androgen	Efcab11	-1.6872497	1.7071033e-10
135	Androgen	Cngb3	1.0782435	1.838497e-10
136	Androgen	Slc16a6	6.4719386	2.4294972e-10
137	Androgen	Atmin	2.7445757	2.5532715e-10
138	Androgen	Spryd7	2.2790816	2.5944535e-10
139	Androgen	Insl5	-1.3848815	3.4251046e-10
140	Androgen	Dbi	5.254296	3.5247716e-10
141	Androgen	Map9	3.2198632	4.2383358e-10
142	Androgen	Dnajb9	4.901283	4.6276447e-10
143	Androgen	Lin7b	2.016175	4.719361e-10
144	Androgen	Mid1	-3.303559	4.8641585e-10
145	Androgen	Prkch	3.085523	5.6254756e-10
146	Androgen	Nt5dc3	3.0050728	7.390523e-10
147	Androgen	Ints8	-2.7727072	7.424426e-10
148	Androgen	Wnt7b	2.7215416	8.4774027e-10
149	Androgen	Fam110b	2.6925762	8.5396246e-10
150	Androgen	Hpgd	7.5389743	9.359649e-10
151	Androgen	Amigo2	-8.630805	9.777932e-10
152	Androgen	Tapt1	-1.4202766	1.2588457e-09
153	Androgen	Cartpt	1.1844867	1.2622534e-09
154	Androgen	Tgm3	-1.8027165	1.2895552e-09
155	Androgen	Zbbx	-1.6741104	1.3066126e-09
156	Androgen	Efhc2	-1.706121	1.312819e-09
157	Androgen	Tex2	3.2995381	1.4702797e-09
158	Androgen	Mtor	1.5902666	1.5400148e-09
159	Androgen	Acsm1	1.1669407	1.5453404e-09
160	Androgen	Dcaf6	2.6639667	1.9780284e-09
161	Androgen	Apof	-1.3079275	2.150787e-09
162	Androgen	Sptlc3	-2.8092163	2.2213968e-09
163	Androgen	Bbx	2.9698348	2.436339e-09
164	Androgen	Lcp1	3.6925628	3.970173e-09
165	Androgen	Slc19a2	5.2802634	4.4019965e-09
166	Androgen	Degs1	5.0940986	4.613992e-09
167	Androgen	Ltn1	-2.45146	4.9419433e-09
168	Androgen	Stk17b	3.6938622	7.36007e-09
169	Androgen	Acaca	2.2956004	1.1081368e-08
170	Androgen	Ssr1	2.219516	1.1204699e-08
171	Androgen	Gnai1	3.3350632	1.1395099e-08
172	Androgen	Pnma1	3.4647794	1.4531598e-08
173	Androgen	Gcfc2	3.1099865	1.5460763e-08
174	Androgen	Gucy1a1	2.6846805	1.6318975e-08
175	Androgen	Slc12a6	-2.6936479	1.8201687e-08
176	Androgen	Cnga1	-1.6209354	1.9130649e-08
177	Androgen	Bmerb1	-2.089859	2.0222593e-08
178	Androgen	Arhgap6	1.7856895	2.0249013e-08
179	Androgen	Appbp2	2.9838881	2.1144322e-08
180	Androgen	Mylk	-3.093419	2.135815e-08
181	Androgen	Fzd3	-2.983795	2.1647658e-08
182	Androgen	Micu1	-2.341111	2.5932458e-08
183	Androgen	Tnfrsf10b	2.904762	2.6082963e-08
184	Androgen	Bcap29	2.1245904	2.967161e-08
185	Androgen	Serp1	2.079451	3.5322433e-08
186	Androgen	Serpini1	-3.4972742	4.1709832e-08
187	Androgen	Ehf	3.1774063	4.1985704e-08
188	Androgen	Luzp2	-1.7283345	4.421802e-08
189	Androgen	Hoxb13	-2.196143	4.4316756e-08
190	Androgen	Cnksr2	1.8155291	4.911298e-08
191	Androgen	Chpt1	2.7074742	5.4853874e-08
192	Androgen	Bche	-3.774738	5.7177584e-08
193	Androgen	Ptbp2	-2.0173743	5.7582586e-08
194	Androgen	Mtmr2	2.1364675	5.9054162e-08
195	Androgen	Hsd17b11	3.3898127	6.313472e-08
196	Androgen	Prr15l	3.8148997	6.6542846e-08
197	Androgen	Gmppa	1.8142358	7.143957e-08
198	Androgen	Ankh	2.8727763	7.882765e-08
199	Androgen	Wdr44	1.6593353	7.90563e-08
200	Androgen	Ralb	-2.7136056	8.082484e-08
201	Androgen	Dgkh	-1.9898661	8.394152e-08
202	Androgen	Map7d1	2.5372524	8.64868e-08
203	Androgen	Erp44	1.2806253	8.890374e-08
204	Androgen	Ccdc93	-1.70367	1.067536e-07
205	Androgen	Rbfox2	-1.413645	1.13280734e-07
206	Androgen	Kdelr2	2.306635	1.1726793e-07
207	Androgen	Lyve1	5.5120015	1.2333521e-07
208	Androgen	Adam22	-1.0260388	1.2654148e-07
209	Androgen	Pkp4	-2.0471506	1.424196e-07
210	Androgen	Klf5	5.1602354	1.5065388e-07
211	Androgen	Ern1	2.629805	1.5636361e-07
212	Androgen	Lpcat4	-1.818006	1.5714832e-07
213	Androgen	Ndrg1	10.621981	1.778766e-07
214	Androgen	Atp11b	1.8264208	1.9167727e-07
215	Androgen	Creb3l2	2.1923342	1.9841214e-07
216	Androgen	Herpud1	3.3513677	2.0130881e-07
217	Androgen	Nat2	4.3676615	2.135004e-07
218	Androgen	Plppr1	-1.4643493	2.196248e-07
219	Androgen	Hipk2	2.872293	2.3374166e-07
220	Androgen	Taok3	2.0829341	2.499114e-07
221	Androgen	Nova1	-1.2730491	2.739655e-07
222	Androgen	Bmpr1a	2.3661907	2.8370368e-07
223	Androgen	Ddx42	-1.7999277	2.9817744e-07
224	Androgen	Abcg1	-2.792402	3.1000795e-07
225	Androgen	Npc1	2.1684098	3.336497e-07
226	Androgen	Gper1	-2.0719187	3.7007513e-07
227	Androgen	Il1r1	3.3964343	3.7064092e-07
228	Androgen	Pdss2	-0.97803086	4.2396914e-07
229	Androgen	Gorasp2	1.9264821	4.3530716e-07
230	Androgen	Gask1b	-5.3010287	4.3969845e-07
231	Androgen	Plpp2	-2.1713345	5.7278476e-07
232	Androgen	Slc20a2	-2.318736	5.7391344e-07
233	Androgen	Cobl	-2.2870455	5.923891e-07
234	Androgen	Tmem47	3.590323	7.169061e-07
235	Androgen	Cdc42ep3	4.797844	7.172722e-07
236	Androgen	Ergic2	1.8432499	7.357091e-07
237	Androgen	Ndufv1	-1.2954984	7.38466e-07
238	Androgen	Rnft2	-1.8674252	7.441669e-07
239	Androgen	Tspan5	-2.3840487	7.513396e-07
240	Androgen	Sema6a	-2.6114736	7.5258464e-07
241	Androgen	Sc5d	2.3750763	7.950218e-07
242	Androgen	Camk1d	-1.8526742	8.027234e-07
243	Androgen	Slc44a1	-2.283236	8.245199e-07
244	Androgen	Sap30	1.9199684	8.651703e-07
245	Androgen	Rreb1	0.9101651	8.834798e-07
246	Androgen	Lrch1	1.9541787	9.156526e-07
247	Androgen	Thrb	2.0465398	9.1579847e-07
248	Androgen	Stk3	-1.7472544	9.755004e-07
249	Androgen	Ptprr	-3.497998	9.9705e-07
250	Androgen	Smpd2	2.0089614	1.0083951e-06
251	Androgen	Uqcc1	-1.3936336	1.0446875e-06
252	Androgen	Clgn	3.6295445	1.0942923e-06
253	Androgen	Pgm3	2.424128	1.1173753e-06
254	Androgen	Nkx3-2	1.7640364	1.2201152e-06
255	Androgen	Ift57	1.9470038	1.2288855e-06
256	Androgen	Pknox2	-1.3258104	1.2918659e-06
257	Androgen	Abca12	-3.3448958	1.2956099e-06
258	Androgen	Kctd3	2.7547095	1.313325e-06
259	Androgen	Ptrh2	2.5817456	1.4021582e-06
260	Androgen	Ppfibp1	1.7948039	1.489196e-06
261	Androgen	Slco2a1	5.0161095	1.513298e-06
262	Androgen	Myt1	-0.8525773	1.5322574e-06
263	Androgen	Cyp11a1	1.3625941	1.6588189e-06
264	Androgen	Col5a2	-3.2604806	1.6969802e-06
265	Androgen	Sh3bgrl	2.9809952	1.9134502e-06
266	Androgen	Patz1	-1.3223495	1.9303143e-06
267	Androgen	Cmc2	3.9173088	1.9510326e-06
268	Androgen	Nfkbia	5.741803	2.0414632e-06
269	Androgen	Glrx2	3.392302	2.0569107e-06
270	Androgen	Tmem39a	1.5647758	2.2050667e-06
271	Androgen	Vcl	2.2936122	2.3422708e-06
272	Androgen	Rnf2	1.2664723	2.4010294e-06
273	Androgen	Elovl2	3.2576632	2.4079318e-06
274	Androgen	MACIR	-3.2453775	2.4082624e-06
275	Androgen	Garnl3	-0.8882748	2.4162662e-06
276	Androgen	Ube2e1	1.6745703	2.485876e-06
277	Androgen	Aldh1a3	4.4311433	2.510056e-06
278	Androgen	Ube2d1	1.9050342	2.5570105e-06
279	Androgen	Rnf34	-1.678681	2.7034266e-06
280	Androgen	Hspa1l	-1.2612516	2.9231162e-06
281	Androgen	Spata2	1.5131812	3.085577e-06
282	Androgen	Osr2	-4.5682793	3.0888586e-06
283	Androgen	Fads2	2.0687218	3.1029515e-06
284	Androgen	Htatsf1	-1.7934942	3.2427145e-06
285	Androgen	Abca1	-2.1765978	3.2540086e-06
286	Androgen	Lat2	1.3139793	3.4584455e-06
287	Androgen	Golga5	2.096354	3.4653149e-06
288	Androgen	Crisp1	2.1994812	3.573466e-06
289	Androgen	Mtrex	-1.6185575	3.882675e-06
290	Androgen	Adra2a	2.148151	3.897042e-06
291	Androgen	Pou2f3	-1.2046397	4.324706e-06
292	Androgen	St3gal1	-3.0719652	4.418713e-06
293	Androgen	Radx	-1.2951341	4.4750377e-06
294	Androgen	Rap1b	-2.166532	4.4891854e-06
295	Androgen	Ssr3	2.7378488	4.570441e-06
296	Androgen	Styk1	2.1628985	5.0658455e-06
297	Androgen	Dmrt1	-1.2150981	5.1988677e-06
298	Androgen	Arhgap1	1.1107888	5.243989e-06
299	Androgen	Slc25a37	2.2795348	5.4010916e-06
300	Androgen	Coq7	-1.3524213	5.4866427e-06
301	Androgen	Uso1	1.9186249	5.5401047e-06
302	Androgen	Osbp	1.1720234	5.800311e-06
303	Androgen	Dsc1	1.819176	6.0938937e-06
304	Androgen	Prpf6	-1.6368879	6.251013e-06
305	Androgen	Extl2	2.6385858	6.410147e-06
306	Androgen	Kif5b	-2.0280046	6.5365844e-06
307	Androgen	Fkbp11	2.0097015	6.7547653e-06
308	Androgen	Spcs3	2.3742542	6.7863357e-06
309	Androgen	Pik3r3	-2.7986174	6.8021354e-06
310	Androgen	Afg3l2	-1.294939	7.4823465e-06
311	Androgen	Nans	1.7482604	7.685148e-06
312	Androgen	Gle1	-1.0550445	7.721462e-06
313	Androgen	Rnf14	1.8407134	9.0618405e-06
314	Androgen	Wdr41	1.2957268	9.285469e-06
315	Androgen	Anp32e	-2.9700556	9.346049e-06
316	Androgen	Dnaaf11	-1.3437947	9.358642e-06
317	Androgen	Klhl36	1.3534133	9.4048755e-06
318	Androgen	Cand1	-1.1862606	9.5325395e-06
319	Androgen	Meaf6	1.5292594	9.5575615e-06
320	Androgen	Scyl3	-2.2339249	9.687641e-06
321	Androgen	Cab39l	1.8207515	1.0032618e-05
322	Androgen	Hus1	1.2915702	1.0510341e-05
323	Androgen	Klhl29	1.0116307	1.0637099e-05
324	Androgen	Enc1	-4.185109	1.0754661e-05
325	Androgen	Swap70	-1.8317858	1.0763026e-05
326	Androgen	Polr1f	2.0483603	1.0810724e-05
327	Androgen	Wls	-2.9595833	1.1010669e-05
328	Androgen	Derl1	1.2935003	1.1206922e-05
329	Androgen	Rnf41	1.670792	1.1336843e-05
330	Androgen	Angpt2	2.111561	1.1715338e-05
331	Androgen	Znf652	2.9051573	1.17298705e-05
332	Androgen	Atp2b1	-3.8598268	1.1868829e-05
333	Androgen	Sec24a	2.5085788	1.2527475e-05
334	Androgen	Maoa	3.4302032	1.2999821e-05
335	Androgen	Nek1	-1.5357494	1.3020285e-05
336	Androgen	Nsdhl	2.1706777	1.4226448e-05
337	Androgen	Hnrnph1	-1.5652968	1.4518766e-05
338	Androgen	Mogat2	0.8718032	1.45887125e-05
339	Androgen	Ssr2	1.6862595	1.4657548e-05
340	Androgen	Coq6	-1.2920396	1.4754598e-05
341	Androgen	Cd2ap	1.6193471	1.5258717e-05
342	Androgen	Cap2	2.1207063	1.5279766e-05
343	Androgen	Pds5b	1.2527244	1.5471194e-05
344	Androgen	Adgrb2	-1.3678726	1.5777681e-05
345	Androgen	Lasp1	-2.185298	1.650299e-05
346	Androgen	Flot2	-1.5301536	1.7030503e-05
347	Androgen	Itgav	2.942991	1.7618073e-05
348	Androgen	Ncbp2	-1.4286747	1.7624092e-05
349	Androgen	Dnajc10	1.9629048	1.8661764e-05
350	Androgen	Atp8a1	-1.6713903	1.8794482e-05
351	Androgen	Rgs10	-1.6670709	1.8934305e-05
352	Androgen	Ffar2	-2.3756468	1.9178464e-05
353	Androgen	Hfe	-1.0403962	1.9230938e-05
354	Androgen	Bbs4	1.8932494	2.002009e-05
355	Androgen	Zbtb1	1.9529985	2.1331794e-05
356	Androgen	Abitram	1.558156	2.16901e-05
357	Androgen	Evc	-0.9194009	2.2723902e-05
358	Androgen	Rexo2	-1.7913564	2.2788556e-05
359	Androgen	Tmem131l	-2.0129933	2.5488778e-05
360	Androgen	Wwp1	2.3533766	2.6095453e-05
361	Androgen	Copb1	1.3725905	2.9645757e-05
362	Androgen	Mcph1	1.0215952	2.991529e-05
363	Androgen	Il20ra	1.2555939	3.0263374e-05
364	Androgen	M6pr	-1.9436189	3.0644213e-05
365	Androgen	Pcnx2	1.0671029	3.148146e-05
366	Androgen	Zfyve16	1.6842297	3.190241e-05
367	Androgen	Bambi	-5.310862	3.202169e-05
368	Androgen	Pigh	1.5960752	3.2153308e-05
369	Androgen	Fdft1	2.5299194	3.2245414e-05
370	Androgen	Tmem106c	-2.0675967	3.3779943e-05
371	Androgen	Kcns3	-2.808475	3.441148e-05
372	Androgen	Kcnj3	-1.1802434	3.655293e-05
373	Androgen	Fam107a	0.9650378	3.7244423e-05
374	Androgen	Trim24	1.0804913	3.8174643e-05
375	Androgen	Rgs17	-2.460739	3.9852617e-05
376	Androgen	Thumpd1	1.8355827	4.1049767e-05
377	Androgen	Marchf5	1.5887327	4.1422285e-05
378	Androgen	Rap2b	-1.9442843	4.2509713e-05
379	Androgen	Baz1b	-0.9792907	4.2617958e-05
380	Androgen	Ctc1	-0.9971457	4.299812e-05
381	Androgen	Dpp4	2.0141373	4.4208835e-05
382	Androgen	Fasn	1.8743562	4.551333e-05
383	Androgen	Magi1	-0.8451748	4.6733323e-05
384	Androgen	Hdac1	-1.8162618	4.7193418e-05
385	Androgen	Net1	-3.0258284	4.8014277e-05
386	Androgen	Tmem132a	-1.1977042	5.0339684e-05
387	Androgen	Deptor	-2.706065	5.1799343e-05
388	Androgen	Tspan15	-1.889441	5.1802905e-05
389	Androgen	Hmgcr	3.8436224	5.2624513e-05
390	Androgen	Kdm5a	-1.514546	5.3057607e-05
391	Androgen	Atp6v1h	-1.086034	5.4123422e-05
392	Androgen	Dctn1	-1.2739602	5.4210854e-05
393	Androgen	Tspan9	-0.9318323	5.6590634e-05
394	Androgen	Spint2	-1.5735809	5.6650053e-05
395	Androgen	Tg	1.0074775	5.8394486e-05
396	Androgen	Ntaq1	2.021957	5.949784e-05
397	Androgen	Tnfrsf21	-4.0996118	6.062201e-05
398	Androgen	Nab1	-1.7757307	6.154405e-05
399	Androgen	Crym	1.5167749	6.288465e-05
400	Androgen	Tmed10	1.5726068	6.4468324e-05
401	Androgen	Nono	-1.4126083	7.023208e-05
402	Androgen	Hnrnpm	-1.2671179	7.09447e-05
403	Androgen	Ssx2ip	1.7380137	7.174975e-05
404	Androgen	Cebpd	3.5005994	7.3514515e-05
405	Androgen	Eps8	-2.6057813	7.461022e-05
406	Androgen	Thrap3	1.3305843	7.513479e-05
407	Androgen	Insig2	-5.003993	7.5724856e-05
408	Androgen	Gcnt1	3.0412517	7.683588e-05
409	Androgen	Smap1	1.8731141	7.7766184e-05
410	Androgen	Aida	-1.8509281	8.033962e-05
411	Androgen	Dnajc3	2.1186614	8.052058e-05
412	Androgen	Lama1	0.99915934	8.075148e-05
413	Androgen	Vav3	-2.8343494	8.0757905e-05
414	Androgen	Ago4	-1.5608882	8.221322e-05
415	Androgen	Dennd2b	-2.3189723	8.234622e-05
416	Androgen	Colec10	-1.4556715	8.2813756e-05
417	Androgen	Ppp2r2a	-1.8115599	8.3177e-05
418	Androgen	Map3k20	-1.6409483	8.558463e-05
419	Androgen	Sdc4	-4.2048273	8.560949e-05
420	Androgen	Ccdc81	1.212592	9.3814866e-05
421	Androgen	Klhl9	1.1865834	9.431252e-05
422	Androgen	Hadha	-1.1861105	9.6543576e-05
423	Androgen	Ergic3	-0.9605678	9.806577e-05
424	Androgen	Gtf2e1	-2.1289337	0.00010017169
425	Androgen	Stac	-1.3470689	0.00010023127
426	Androgen	Hopx	1.1579349	0.000102440186
427	Androgen	Nudt9	1.4196011	0.000102781836
428	Androgen	Ndufaf4	-2.8120477	0.00010370308
429	Androgen	Bicd2	1.7181424	0.000106468004
430	Androgen	Cbx6	-1.9989758	0.00010774954
431	Androgen	Ipo8	-1.2823019	0.00010924542
432	Androgen	Pik3ip1	-2.1750321	0.00010975361
433	Androgen	Casd1	1.387997	0.00011232563
434	Androgen	Prkab2	2.3111851	0.00011612312
435	Androgen	Golph3	2.2175283	0.000116833806
436	Androgen	Ralgps1	-0.7934742	0.00011935747
437	Androgen	Rfx3	-1.4142894	0.00012674586
438	Androgen	Ttc12	1.0621537	0.000128086
439	Androgen	Fbxw11	1.3361685	0.00012898608
440	Androgen	Crispld2	1.9937311	0.0001339091
441	Androgen	Fbxl7	-1.6467353	0.00014034106
442	Androgen	Fam111a	-1.779476	0.00014272655
443	Androgen	Reps1	1.0294517	0.00014316998
444	Androgen	Selenbp1	-3.399423	0.00014694296
445	Androgen	Rab27b	-2.2348053	0.00014818413
446	Androgen	Slc25a16	1.0065928	0.00014942816
447	Androgen	Phc1	-1.3809805	0.0001494441
448	Androgen	Kdm4d	-0.9276677	0.00014974397
449	Androgen	Rbm12b2	-1.0579991	0.0001514751
450	Androgen	Rbm12b1	-1.0579991	0.0001514751
451	Androgen	Twist1	2.618365	0.00015219806
452	Androgen	Pura	-1.0907439	0.00015518197
453	Androgen	Trim23	-1.6997588	0.00015819054
454	Androgen	Nts	-1.8607113	0.0001743057
455	Androgen	Lgals4	-0.9241432	0.00017455623
456	Androgen	Morc3	-2.0384512	0.00017493614
457	Androgen	Entpd2	0.791009	0.00017655599
458	Androgen	Gtf2a2	1.5646102	0.00018718095
459	Androgen	Ldaf1	-1.9536747	0.00019496687
460	Androgen	Parl	-1.2479916	0.00019690687
461	Androgen	Hsd17b4	1.2790555	0.00019816613
462	Androgen	Pla1a	2.0189555	0.00019878375
463	Androgen	Gabrb3	1.0999881	0.0002015033
464	Androgen	Sccpdh	-1.7000601	0.00020262465
465	Androgen	Prdm4	1.3261633	0.00020508427
466	Androgen	Tsku	2.4097555	0.00020757996
467	Androgen	Abhd3	2.2322054	0.0002094646
468	Androgen	Slc16a2	-1.565154	0.00021325971
469	Androgen	Kl	1.5488546	0.0002133412
470	Androgen	Stmn4	-0.7820428	0.00022761936
471	Androgen	Gls2	-1.4985194	0.0002381076
472	Androgen	Usp8	1.5120426	0.00023944062
473	Androgen	Wdr91	-1.517263	0.0002405103
474	Androgen	Lman1	1.7027442	0.0002447608
475	Androgen	Acsm3	1.4780279	0.00025060732
476	Androgen	Tspan8	-2.024454	0.0002533385
477	Androgen	Ddc	-1.7332578	0.00025809702
478	Androgen	Hspa4l	-2.540478	0.0002595364
479	Androgen	Sirt5	-0.77942014	0.00026021912
480	Androgen	Rab28	0.9756885	0.00026125793
481	Androgen	Dcaf15	-1.0639054	0.0002623874
482	Androgen	Ift27	-0.8319168	0.00026370105
483	Androgen	Map3k13	-1.0761377	0.0002689605
484	Androgen	Shc3	-1.0548688	0.00027015124
485	Androgen	Ppm1a	1.330707	0.00027065372
486	Androgen	Mertk	1.3339934	0.000271569
487	Androgen	Aip	-1.2836953	0.00027957794
488	Androgen	Epha1	-0.71240616	0.00028330483
489	Androgen	Slc6a13	-0.8934225	0.00028422612
490	Androgen	Dock4	1.9174478	0.00028564196
491	Androgen	Exph5	-1.4916096	0.0002907902
492	Androgen	Sugp1	-0.82261825	0.00029523467
493	Androgen	Etfdh	-1.4228449	0.00029707944
494	Androgen	Babam1	-1.2442945	0.00029882655
495	Androgen	Csrnp3	-0.9201541	0.00029940598
496	Androgen	Cbfa2t2	-1.1951578	0.00030154525
497	Androgen	Atg7	-1.0048872	0.00030386736
498	Androgen	Trim32	-1.2357568	0.00030560052
499	Androgen	Nup107	-2.4388938	0.0003087464
500	Androgen	Gpx7	1.6640844	0.0003124349
501	Androgen	Mrpl2	-1.3737048	0.0003156583
502	Androgen	Gusb	-1.1213449	0.00031679173
503	Androgen	Ndufb1	-1.1844336	0.0003242017
504	Androgen	Kansl1l	1.2861675	0.00032953784
