symbol	gene_id	transcript_id	length
4931408C20Rik	ENSMUSG00000073722	ENSMUST00000097801	4318
F13b	ENSMUSG00000026368	ENSMUST00000027615	2379
Slco6c1	ENSMUSG00000026331	ENSMUST00000027569	2747
Slco6c1	ENSMUSG00000026331	ENSMUST00000189547	2315
Qsox1	ENSMUSG00000033684	ENSMUST00000194632	2433
Qsox1	ENSMUSG00000033684	ENSMUST00000111764	2722
Qsox1	ENSMUSG00000033684	ENSMUST00000035325	3348
Spata3	ENSMUSG00000026226	ENSMUST00000130504	1100
Spata3	ENSMUSG00000026226	ENSMUST00000052854	1107
Spata3	ENSMUSG00000026226	ENSMUST00000159876	760
Spata3	ENSMUSG00000026226	ENSMUST00000113344	1047
Nvl	ENSMUSG00000026516	ENSMUST00000027797	9392
Nabp1	ENSMUSG00000026107	ENSMUST00000027279	2838
Kansl3	ENSMUSG00000010453	ENSMUST00000186470	2801
Nif3l1	ENSMUSG00000026036	ENSMUST00000087521	3769
Nif3l1	ENSMUSG00000026036	ENSMUST00000171597	2098
Fbxo28	ENSMUSG00000047539	ENSMUST00000051431	4925
Cdk18	ENSMUSG00000026437	ENSMUST00000027697	4355
Cdk18	ENSMUSG00000026437	ENSMUST00000112362	1705
Pik3c2b	ENSMUSG00000026447	ENSMUST00000077730	7928
Trp53bp2	ENSMUSG00000026510	ENSMUST00000117245	4361
Selp	ENSMUSG00000026580	ENSMUST00000162746	3438
Mab21l4	ENSMUSG00000034159	ENSMUST00000043718	2299
Mab21l4	ENSMUSG00000034159	ENSMUST00000143419	2074
Nppc	ENSMUSG00000026241	ENSMUST00000027449	1042
Mgst3	ENSMUSG00000026688	ENSMUST00000028005	1097
Rab3gap2	ENSMUSG00000039318	ENSMUST00000069652	7052
AA986860	ENSMUSG00000042510	ENSMUST00000039323	2909
Rgs8	ENSMUSG00000042671	ENSMUST00000111812	3625
Rgs8	ENSMUSG00000042671	ENSMUST00000041776	8474
Rgs8	ENSMUSG00000042671	ENSMUST00000111810	5614
Dnajb2	ENSMUSG00000026203	ENSMUST00000188346	1823
Dnajb2	ENSMUSG00000026203	ENSMUST00000082158	1253
Dnajb2	ENSMUSG00000026203	ENSMUST00000188931	3066
Dnajb2	ENSMUSG00000026203	ENSMUST00000188290	1855
Acsl3	ENSMUSG00000032883	ENSMUST00000035779	3950
Acsl3	ENSMUSG00000032883	ENSMUST00000142704	2976
Gm10188	ENSMUSG00000066936	ENSMUST00000086544	720
Tor1aip2	ENSMUSG00000050565	ENSMUST00000111757	6118
Tor1aip2	ENSMUSG00000050565	ENSMUST00000060404	5135
Kcnt2	ENSMUSG00000052726	ENSMUST00000120796	3540
Ppp1r12b	ENSMUSG00000073557	ENSMUST00000045665	8840
Fzd7	ENSMUSG00000041075	ENSMUST00000114246	4532
Mdh1b	ENSMUSG00000025963	ENSMUST00000114094	1719
Cryzl2	ENSMUSG00000033488	ENSMUST00000046743	1618
Zranb3	ENSMUSG00000036086	ENSMUST00000086614	4210
Zranb3	ENSMUSG00000036086	ENSMUST00000112538	4741
Teddm1a	ENSMUSG00000047053	ENSMUST00000050660	1317
Dst	ENSMUSG00000026131	ENSMUST00000097785	23251
Dst	ENSMUSG00000026131	ENSMUST00000115104	23279
Dst	ENSMUSG00000026131	ENSMUST00000183034	23201
Ncl	ENSMUSG00000026234	ENSMUST00000027438	8202
Mpz	ENSMUSG00000056569	ENSMUST00000238940	1993
Mpz	ENSMUSG00000056569	ENSMUST00000111334	1278
Mpz	ENSMUSG00000056569	ENSMUST00000238908	2002
Mpz	ENSMUSG00000056569	ENSMUST00000070758	2002
Zbtb37	ENSMUSG00000043467	ENSMUST00000162226	18814
Zbtb37	ENSMUSG00000043467	ENSMUST00000159250	2473
Zbtb37	ENSMUSG00000043467	ENSMUST00000172044	3883
Nav1	ENSMUSG00000009418	ENSMUST00000040599	12767
Nav1	ENSMUSG00000009418	ENSMUST00000067414	13117
Nav1	ENSMUSG00000009418	ENSMUST00000190298	9353
Olfr417	ENSMUSG00000066672	ENSMUST00000217962	5662
Olfr417	ENSMUSG00000066672	ENSMUST00000220394	6080
Olfr417	ENSMUSG00000066672	ENSMUST00000085862	930
Nck2	ENSMUSG00000066877	ENSMUST00000086421	2772
Ikzf2	ENSMUSG00000025997	ENSMUST00000027146	9278
Ikzf2	ENSMUSG00000025997	ENSMUST00000190771	2483
En1	ENSMUSG00000058665	ENSMUST00000079721	2624
Rnf149	ENSMUSG00000048234	ENSMUST00000062525	2492
Rab23	ENSMUSG00000004768	ENSMUST00000088287	4322
Rab23	ENSMUSG00000004768	ENSMUST00000115174	4218
Capn8	ENSMUSG00000038599	ENSMUST00000048941	2406
3110040M04Rik	ENSMUSG00000114582	ENSMUST00000224012	945
Slc30a1	ENSMUSG00000037434	ENSMUST00000044954	5244
Eif5b	ENSMUSG00000026083	ENSMUST00000027252	7797
Susd4	ENSMUSG00000038576	ENSMUST00000085724	2983
Susd4	ENSMUSG00000038576	ENSMUST00000153348	1898
Cdk15	ENSMUSG00000026023	ENSMUST00000114248	1477
Cdk15	ENSMUSG00000026023	ENSMUST00000160662	2108
Cnnm3	ENSMUSG00000001138	ENSMUST00000001166	5193
Cnnm3	ENSMUSG00000001138	ENSMUST00000097776	5292
Hspe1	ENSMUSG00000073676	ENSMUST00000075242	774
Il18r1	ENSMUSG00000026070	ENSMUST00000195684	2850
Il18r1	ENSMUSG00000026070	ENSMUST00000108044	4158
Il18r1	ENSMUSG00000026070	ENSMUST00000087983	2826
Kcnj13	ENSMUSG00000079436	ENSMUST00000113212	1270
Dnah7a	ENSMUSG00000096141	ENSMUST00000094964	12245
Ppfia4	ENSMUSG00000026458	ENSMUST00000189361	5238
Ppfia4	ENSMUSG00000026458	ENSMUST00000168515	6067
Aida	ENSMUSG00000042901	ENSMUST00000109166	4279
Slc26a9	ENSMUSG00000042268	ENSMUST00000049027	4739
D2hgdh	ENSMUSG00000073609	ENSMUST00000112881	3459
D2hgdh	ENSMUSG00000073609	ENSMUST00000097633	3232
Xkr4	ENSMUSG00000051951	ENSMUST00000070533	3634
Cdh19	ENSMUSG00000047216	ENSMUST00000094626	3914
Rnf25	ENSMUSG00000026171	ENSMUST00000113721	1451
Rnf25	ENSMUSG00000026171	ENSMUST00000027357	1479
Aqp12	ENSMUSG00000045091	ENSMUST00000059676	1088
A030005L19Rik	ENSMUSG00000113880	ENSMUST00000220768	806
Serpinb5	ENSMUSG00000067006	ENSMUST00000112729	2531
Serpinb5	ENSMUSG00000067006	ENSMUST00000112730	2672
Serpinb5	ENSMUSG00000067006	ENSMUST00000086701	2572
Adhfe1	ENSMUSG00000025911	ENSMUST00000144177	3239
4930523C07Rik	ENSMUSG00000090394	ENSMUST00000097513	300
4930523C07Rik	ENSMUSG00000090394	ENSMUST00000163892	5652
Tor3a	ENSMUSG00000060519	ENSMUST00000079625	3285
Tor3a	ENSMUSG00000060519	ENSMUST00000188964	1750
Lefty1	ENSMUSG00000038793	ENSMUST00000037361	1620
Igfbp2	ENSMUSG00000039323	ENSMUST00000047328	1307
Utp25	ENSMUSG00000016181	ENSMUST00000085555	5570
Fcrl6	ENSMUSG00000070504	ENSMUST00000094303	1912
Tsen15	ENSMUSG00000014980	ENSMUST00000015124	1133
Col5a2	ENSMUSG00000026042	ENSMUST00000086430	6625
Ptpn18	ENSMUSG00000026126	ENSMUST00000027302	1559
Csrp1	ENSMUSG00000026421	ENSMUST00000027677	1823
Csrp1	ENSMUSG00000026421	ENSMUST00000097561	1828
Utp14b	ENSMUSG00000079470	ENSMUST00000053760	7393
Utp14b	ENSMUSG00000079470	ENSMUST00000151622	3685
Nectin4	ENSMUSG00000006411	ENSMUST00000006578	3636
Nectin4	ENSMUSG00000006411	ENSMUST00000111286	3201
Il1rl1	ENSMUSG00000026069	ENSMUST00000097772	5302
Il1rl1	ENSMUSG00000026069	ENSMUST00000053043	5053
Serpinb3c	ENSMUSG00000073601	ENSMUST00000027565	1659
Sft2d2	ENSMUSG00000040848	ENSMUST00000043338	5535
Tbx19	ENSMUSG00000026572	ENSMUST00000027859	2660
Eif2d	ENSMUSG00000026427	ENSMUST00000068805	2009
Eif2d	ENSMUSG00000026427	ENSMUST00000112446	2153
Mettl18	ENSMUSG00000041396	ENSMUST00000111490	1419
Mettl18	ENSMUSG00000041396	ENSMUST00000045694	1513
B020011L13Rik	ENSMUSG00000101303	ENSMUST00000188801	2879
Sox17	ENSMUSG00000025902	ENSMUST00000027035	3127
Sox17	ENSMUSG00000025902	ENSMUST00000116652	1512
Grem2	ENSMUSG00000050069	ENSMUST00000055294	3745
Marco	ENSMUSG00000026390	ENSMUST00000027639	1925
Lbr	ENSMUSG00000004880	ENSMUST00000005003	3510
Kansl1l	ENSMUSG00000026004	ENSMUST00000068168	4459
Usp21	ENSMUSG00000053483	ENSMUST00000111305	2278
Usp21	ENSMUSG00000053483	ENSMUST00000065941	2219
Olfr231	ENSMUSG00000046486	ENSMUST00000063030	924
Olfr231	ENSMUSG00000046486	ENSMUST00000214446	5204
Msc	ENSMUSG00000025930	ENSMUST00000027062	1741
Gpr25	ENSMUSG00000052759	ENSMUST00000086395	1077
Ptma	ENSMUSG00000026238	ENSMUST00000045897	1216
Gm28360	ENSMUSG00000100305	ENSMUST00000187455	1491
Smyd3	ENSMUSG00000055067	ENSMUST00000128302	6871
Tnn	ENSMUSG00000026725	ENSMUST00000039178	5817
Mreg	ENSMUSG00000039395	ENSMUST00000048860	2284
Nckap5	ENSMUSG00000049690	ENSMUST00000161954	7090
Nckap5	ENSMUSG00000049690	ENSMUST00000112583	7212
Nckap5	ENSMUSG00000049690	ENSMUST00000057846	5334
Pex19	ENSMUSG00000003464	ENSMUST00000075895	1917
Gorab	ENSMUSG00000040124	ENSMUST00000045138	2538
Slc41a1	ENSMUSG00000013275	ENSMUST00000086559	4697
Cxcr1	ENSMUSG00000048480	ENSMUST00000190313	1451
Cxcr1	ENSMUSG00000048480	ENSMUST00000053389	1125
Nfasc	ENSMUSG00000026442	ENSMUST00000187861	4927
G0s2	ENSMUSG00000009633	ENSMUST00000009777	871
Kif21b	ENSMUSG00000041642	ENSMUST00000075164	9115
Npbwr1	ENSMUSG00000033774	ENSMUST00000044180	3692
Plekha6	ENSMUSG00000041757	ENSMUST00000187285	5040
Plekha6	ENSMUSG00000041757	ENSMUST00000038295	7388
Mr1	ENSMUSG00000026471	ENSMUST00000027744	2512
Colgalt2	ENSMUSG00000032649	ENSMUST00000044311	4093
Dbi	ENSMUSG00000026385	ENSMUST00000027634	569
Asnsd1	ENSMUSG00000026095	ENSMUST00000027264	2442
Stk17b	ENSMUSG00000026094	ENSMUST00000027263	3293
Dtl	ENSMUSG00000037474	ENSMUST00000027933	4212
Ilkap	ENSMUSG00000026309	ENSMUST00000027534	1368
Ttll4	ENSMUSG00000033257	ENSMUST00000042125	10019
Fhl2	ENSMUSG00000008136	ENSMUST00000185893	1421
Fhl2	ENSMUSG00000008136	ENSMUST00000008280	1563
Lyg1	ENSMUSG00000026085	ENSMUST00000114894	798
Lyg1	ENSMUSG00000026085	ENSMUST00000027254	800
Hhat	ENSMUSG00000037375	ENSMUST00000128619	1819
Hhat	ENSMUSG00000037375	ENSMUST00000044190	2839
Gm4788	ENSMUSG00000070594	ENSMUST00000111989	3187
Mff	ENSMUSG00000026150	ENSMUST00000078332	1894
Rcsd1	ENSMUSG00000040723	ENSMUST00000040357	2622
Rcsd1	ENSMUSG00000040723	ENSMUST00000097474	5001
Mcm3	ENSMUSG00000041859	ENSMUST00000053266	3031
F11r	ENSMUSG00000038235	ENSMUST00000043839	2518
Dnm3	ENSMUSG00000040265	ENSMUST00000070330	4601
Dnm3	ENSMUSG00000040265	ENSMUST00000086074	7523
Etnk2	ENSMUSG00000070644	ENSMUST00000135222	2297
Olfr1411	ENSMUSG00000062497	ENSMUST00000190844	1821
Olfr1411	ENSMUSG00000062497	ENSMUST00000216444	1901
Olfr1411	ENSMUSG00000062497	ENSMUST00000073748	972
Ccdc121	ENSMUSG00000050625	ENSMUST00000058825	1819
Rev1	ENSMUSG00000026082	ENSMUST00000027251	4262
Lefty2	ENSMUSG00000066652	ENSMUST00000085797	2473
Bok	ENSMUSG00000026278	ENSMUST00000201863	883
Bok	ENSMUSG00000026278	ENSMUST00000027499	1468
Gpr39	ENSMUSG00000026343	ENSMUST00000027581	2691
Septin2	ENSMUSG00000116048	ENSMUST00000179353	3219
Septin2	ENSMUSG00000116048	ENSMUST00000168776	3267
Slc40a1	ENSMUSG00000025993	ENSMUST00000027137	3370
Orc2	ENSMUSG00000026037	ENSMUST00000114325	1587
Orc2	ENSMUSG00000026037	ENSMUST00000027198	3561
Stat1	ENSMUSG00000026104	ENSMUST00000186857	4241
Stat1	ENSMUSG00000026104	ENSMUST00000070968	5151
Cab39	ENSMUSG00000036707	ENSMUST00000113360	3805
Cab39	ENSMUSG00000036707	ENSMUST00000097666	2369
Snorc	ENSMUSG00000026258	ENSMUST00000027476	478
Twist2	ENSMUSG00000007805	ENSMUST00000007949	1329
Twist2	ENSMUSG00000007805	ENSMUST00000186075	2525
Spta1	ENSMUSG00000026532	ENSMUST00000027817	8406
Ptp4a1	ENSMUSG00000026064	ENSMUST00000232841	4236
Pikfyve	ENSMUSG00000025949	ENSMUST00000097707	6641
Pikfyve	ENSMUSG00000025949	ENSMUST00000081154	11237
Wdr26	ENSMUSG00000038733	ENSMUST00000162819	7045
Wdr26	ENSMUSG00000038733	ENSMUST00000237749	7068
AC147806.1	ENSMUSG00000118591	ENSMUST00000239361	891
Brox	ENSMUSG00000046836	ENSMUST00000057062	3430
Brox	ENSMUSG00000046836	ENSMUST00000163528	3413
Kmo	ENSMUSG00000039783	ENSMUST00000040250	2695
Rufy4	ENSMUSG00000061815	ENSMUST00000127134	1841
Adora1	ENSMUSG00000042429	ENSMUST00000086465	4968
Adora1	ENSMUSG00000042429	ENSMUST00000169927	4581
Adora1	ENSMUSG00000042429	ENSMUST00000038191	3625
Bpnt1	ENSMUSG00000026617	ENSMUST00000027916	2200
Iars2	ENSMUSG00000026618	ENSMUST00000027921	5471
Prss56	ENSMUSG00000036480	ENSMUST00000044533	2180
Gm45261	ENSMUSG00000110100	ENSMUST00000211023	594
Pld5	ENSMUSG00000055214	ENSMUST00000111167	1861
Pld5	ENSMUSG00000055214	ENSMUST00000065967	3557
Lrrfip1	ENSMUSG00000026305	ENSMUST00000068116	2050
Parp1	ENSMUSG00000026496	ENSMUST00000027777	3873
Cntnap5b	ENSMUSG00000067028	ENSMUST00000086738	4027
Gal3st2	ENSMUSG00000094651	ENSMUST00000094663	2844
Tmem182	ENSMUSG00000079588	ENSMUST00000114765	2716
Gigyf2	ENSMUSG00000048000	ENSMUST00000027475	5724
Gigyf2	ENSMUSG00000048000	ENSMUST00000172794	4029
Gigyf2	ENSMUSG00000048000	ENSMUST00000174501	3876
Smg7	ENSMUSG00000042772	ENSMUST00000073441	5767
Smg7	ENSMUSG00000042772	ENSMUST00000111836	3928
Apoa2	ENSMUSG00000005681	ENSMUST00000111319	458
Apoa2	ENSMUSG00000005681	ENSMUST00000005824	492
Apoa2	ENSMUSG00000005681	ENSMUST00000111321	518
Apoa2	ENSMUSG00000005681	ENSMUST00000111320	470
Syt14	ENSMUSG00000016200	ENSMUST00000195354	7882
Rb1cc1	ENSMUSG00000025907	ENSMUST00000027040	7607
Sgk3	ENSMUSG00000025915	ENSMUST00000171265	3680
Sgk3	ENSMUSG00000025915	ENSMUST00000097826	2728
Sgk3	ENSMUSG00000025915	ENSMUST00000166384	3706
Sgk3	ENSMUSG00000025915	ENSMUST00000168907	3779
Nyap2	ENSMUSG00000054976	ENSMUST00000123285	7501
Alpi	ENSMUSG00000079440	ENSMUST00000113270	2337
Gpr1	ENSMUSG00000046856	ENSMUST00000050536	1940
Abi2	ENSMUSG00000026782	ENSMUST00000187709	1671
Abi2	ENSMUSG00000026782	ENSMUST00000052332	5768
Olfr427	ENSMUSG00000059371	ENSMUST00000080831	948
Olfr427	ENSMUSG00000059371	ENSMUST00000213832	3866
Plekhb2	ENSMUSG00000026123	ENSMUST00000027297	3279
Ndufs2	ENSMUSG00000013593	ENSMUST00000013737	1623
Snrpe	ENSMUSG00000090553	ENSMUST00000166915	503
Tcea1	ENSMUSG00000033813	ENSMUST00000081551	2547
Armc9	ENSMUSG00000062590	ENSMUST00000113309	3555
Armc9	ENSMUSG00000062590	ENSMUST00000027434	5127
Armc9	ENSMUSG00000062590	ENSMUST00000131412	2160
Prdm14	ENSMUSG00000042414	ENSMUST00000047577	2564
Olfr248	ENSMUSG00000059503	ENSMUST00000075329	1010
Dennd1b	ENSMUSG00000056268	ENSMUST00000168527	8206
Dusp10	ENSMUSG00000039384	ENSMUST00000048655	2792
Creg1	ENSMUSG00000040713	ENSMUST00000111432	2163
Ino80d	ENSMUSG00000040865	ENSMUST00000165066	13529
Mrpl44	ENSMUSG00000026248	ENSMUST00000027464	1424
B3galt2	ENSMUSG00000033849	ENSMUST00000038252	9288
Crygb	ENSMUSG00000073658	ENSMUST00000027090	634
Prrc2c	ENSMUSG00000040225	ENSMUST00000182149	11289
Prrc2c	ENSMUSG00000040225	ENSMUST00000182593	9022
Prrc2c	ENSMUSG00000040225	ENSMUST00000028016	8815
Prrc2c	ENSMUSG00000040225	ENSMUST00000182660	11502
Nek7	ENSMUSG00000026393	ENSMUST00000187407	4336
Nek7	ENSMUSG00000026393	ENSMUST00000186017	5258
Tex50	ENSMUSG00000049160	ENSMUST00000178511	954
Tex50	ENSMUSG00000049160	ENSMUST00000135643	1192
Aff3	ENSMUSG00000037138	ENSMUST00000039827	6010
Aff3	ENSMUSG00000037138	ENSMUST00000238906	5948
Aff3	ENSMUSG00000037138	ENSMUST00000095027	5857
Ifi205	ENSMUSG00000054203	ENSMUST00000059226	1613
Mpc2	ENSMUSG00000026568	ENSMUST00000027853	1025
Adgrb3	ENSMUSG00000033569	ENSMUST00000135518	5432
Adgrb3	ENSMUSG00000033569	ENSMUST00000041838	5059
Adgrb3	ENSMUSG00000033569	ENSMUST00000151309	5448
Adamts4	ENSMUSG00000006403	ENSMUST00000111315	4389
Adamts4	ENSMUSG00000006403	ENSMUST00000219033	4386
Cfc1	ENSMUSG00000026124	ENSMUST00000027298	1040
Lhx9	ENSMUSG00000019230	ENSMUST00000112026	2065
Brinp2	ENSMUSG00000004031	ENSMUST00000004133	4167
Mael	ENSMUSG00000040629	ENSMUST00000038782	1546
Dusp28	ENSMUSG00000047067	ENSMUST00000060913	1314
Gpr45	ENSMUSG00000041907	ENSMUST00000179766	3776
