ensembl_gene_id	external_gene_name	ensembl_transcript_id	transcript_biotype	transcript_length	transcript_is_canonical	is_canonical
ENSG00000198727	MT-CYB	ENST00000361789	protein_coding	1141	1	True
ENSG00000210195	MT-TT	ENST00000387460	Mt_tRNA	66	1	True
ENSG00000210196	MT-TP	ENST00000387461	Mt_tRNA	68	1	True
ENSG00000278625	U6	ENST00000616830	snRNA	106	1	True
ENSG00000276197		ENST00000619317	misc_RNA	90	1	True
ENSG00000278457	5S_rRNA	ENST00000620265	rRNA	119	1	True
ENSG00000277428	Y_RNA	ENST00000618679	misc_RNA	101	1	True
ENSG00000275661		ENST00000614351	misc_RNA	116	1	True
ENSG00000274202	U2	ENST00000611062	snRNA	113	1	True
ENSG00000278704		ENST00000618686	protein_coding	2237	1	True
ENSG00000273748		ENST00000612919	protein_coding	372	1	True
ENSG00000277400		ENST00000613230	protein_coding	2179	1	True
ENSG00000274917	RNA5-8SN5	ENST00000611446	rRNA	153	1	True
ENSG00000278573		ENST00000615362	pseudogene	603	1	True
ENSG00000278294	5_8S_rRNA	ENST00000611690	rRNA	152	1	True
ENSG00000276256		ENST00000612465	protein_coding	2195	1	True
ENSG00000276351		ENST00000617089	misc_RNA	69	1	True
ENSG00000273730	5_8S_rRNA	ENST00000619779	rRNA	153	1	True
ENSG00000274847	MAFIP	ENST00000400754	protein_coding	1599	1	True
ENSG00000273937		ENST00000614535	misc_RNA	90	1	True
ENSG00000276345		ENST00000612848	protein_coding	740	1	True
ENSG00000273532		ENST00000612801	misc_RNA	71	1	True
ENSG00000277630		ENST00000616049	protein_coding	2142	1	True
ENSG00000271254		ENST00000614336	protein_coding	3728		False
ENSG00000277630		ENST00000616157	protein_coding	1989		False
ENSG00000278793	U6	ENST00000616468	snRNA	107	1	True
ENSG00000277196		ENST00000621424	protein_coding	2405	1	True
ENSG00000271254		ENST00000612640	protein_coding	2116	1	True
ENSG00000277196		ENST00000615165	protein_coding	1990		False
ENSG00000276932	Y_RNA	ENST00000620032	misc_RNA	101	1	True
ENSG00000276711	U2	ENST00000621409	snRNA	113	1	True
ENSG00000278817		ENST00000613204	protein_coding	1213	1	True
ENSG00000276017		ENST00000617983	protein_coding	2404	1	True
ENSG00000278633		ENST00000619792	protein_coding	2404	1	True
ENSG00000278066		ENST00000620795	pseudogene	603	1	True
ENSG00000276312		ENST00000615130	misc_RNA	90	1	True
ENSG00000276700	RNA5-8SN4	ENST00000616292	rRNA	153	1	True
ENSG00000275757	5_8S_rRNA	ENST00000618998	rRNA	153	1	True
ENSG00000273739		ENST00000618675	misc_RNA	90	1	True
ENSG00000275063		ENST00000618003	protein_coding	351	1	True
ENSG00000277856		ENST00000619729	protein_coding	294	1	True
ENSG00000277374	U1	ENST00000612925	snRNA	176	1	True
ENSG00000291360	RPL23AP45	ENST00000707296	processed_pseudogene	468	1	True
ENSG00000278384		ENST00000612565	protein_coding	3027	1	True
ENSG00000275987	U1	ENST00000618083	snRNA	144	1	True
ENSG00000278673		ENST00000615005	pseudogene	1651	1	True
ENSG00000277890	U6	ENST00000516246	snRNA	107	1	True
ENSG00000268674		ENST00000601199	protein_coding	510	1	True
ENSG00000275249		ENST00000612882	protein_coding	1084	1	True
ENSG00000277475		ENST00000612315	protein_coding	831	1	True
ENSG00000275405	U1	ENST00000619109	snRNA	164	1	True
ENSG00000274792		ENST00000622674	protein_coding	1343	1	True
ENSG00000276872		ENST00000616048	pseudogene	921	1	True
ENSG00000276760		ENST00000614604	protein_coding	2132	1	True
ENSG00000276760		ENST00000620810	protein_coding	1988		False
ENSG00000277927	U6	ENST00000613373	snRNA	107	1	True
ENSG00000291371	Y_RNA	ENST00000707319	misc_RNA	98	1	True
ENSG00000291372	RNU6-409P	ENST00000707320	snRNA	104	1	True
ENSG00000291368	ACR	ENST00000707313	retained_intron	987		False
ENSG00000291368	ACR	ENST00000707314	protein_coding	1430	1	True
ENSG00000291368	ACR	ENST00000707315	protein_coding	708		False
ENSG00000291368	ACR	ENST00000707316	protein_coding_CDS_not_defined	428		False
ENSG00000291369		ENST00000707317	lncRNA	284	1	True
ENSG00000291370		ENST00000707318	processed_pseudogene	760	1	True
ENSG00000292254	SHANK3	ENST00000710353	protein_coding	7691	1	True
ENSG00000274175		ENST00000616638	protein_coding	1806	1	True
ENSG00000273554		ENST00000613216	protein_coding	3571	1	True
ENSG00000273554		ENST00000611339	protein_coding	3120		False
ENSG00000275869		ENST00000621028	protein_coding	1426	1	True
ENSG00000278510		ENST00000619806	processed_pseudogene	291	1	True
ENSG00000273843		ENST00000618201	processed_pseudogene	1338	1	True
ENSG00000277836		ENST00000611746	protein_coding	288	1	True
ENSG00000291410		ENST00000707451	lncRNA	665	1	True
ENSG00000291411		ENST00000707452	lncRNA	352	1	True
ENSG00000291412		ENST00000707453	lncRNA	1565	1	True
ENSG00000291412		ENST00000707454	lncRNA	414		False
ENSG00000291412		ENST00000707455	lncRNA	977		False
ENSG00000291413		ENST00000707456	TEC	1536	1	True
ENSG00000291414	MIR4740	ENST00000707457	miRNA	63	1	True
ENSG00000291415	MIR3186	ENST00000707458	miRNA	85	1	True
ENSG00000291416		ENST00000707459	lncRNA	424	1	True
ENSG00000291417	LINC01971	ENST00000707460	lncRNA	1048	1	True
ENSG00000291418		ENST00000707461	lncRNA	361	1	True
ENSG00000291418		ENST00000707462	lncRNA	783		False
ENSG00000291420	ACTG1	ENST00000707466	protein_coding	2491	1	True
ENSG00000291420	ACTG1	ENST00000707467	nonsense_mediated_decay	1880		False
ENSG00000291420	ACTG1	ENST00000707468	protein_coding	1919		False
ENSG00000291420	ACTG1	ENST00000707469	nonsense_mediated_decay	1859		False
ENSG00000291420	ACTG1	ENST00000707470	protein_coding	1919		False
ENSG00000291420	ACTG1	ENST00000707471	protein_coding	2052		False
ENSG00000291420	ACTG1	ENST00000707472	protein_coding	1895		False
ENSG00000291420	ACTG1	ENST00000707473	nonsense_mediated_decay	1842		False
ENSG00000291420	ACTG1	ENST00000707474	nonsense_mediated_decay	1860		False
ENSG00000291420	ACTG1	ENST00000707475	nonsense_mediated_decay	1749		False
ENSG00000291420	ACTG1	ENST00000707476	retained_intron	2241		False
ENSG00000291420	ACTG1	ENST00000707477	retained_intron	1993		False
ENSG00000291420	ACTG1	ENST00000707478	retained_intron	1895		False
ENSG00000291420	ACTG1	ENST00000707479	nonsense_mediated_decay	2185		False
ENSG00000291420	ACTG1	ENST00000707480	nonsense_mediated_decay	2005		False
ENSG00000291420	ACTG1	ENST00000707481	retained_intron	2141		False
ENSG00000288522		ENST00000671955	lncRNA	956	1	True
ENSG00000291420	ACTG1	ENST00000707482	protein_coding	2256		False
ENSG00000291420	ACTG1	ENST00000707483	retained_intron	1958		False
ENSG00000291420	ACTG1	ENST00000707484	retained_intron	1698		False
ENSG00000291420	ACTG1	ENST00000707485	protein_coding	2001		False
ENSG00000288204	HMX1	ENST00000672610	protein_coding	651		False
ENSG00000291420	ACTG1	ENST00000707486	protein_coding	1137		False
ENSG00000291420	ACTG1	ENST00000707487	protein_coding	1449		False
ENSG00000288204	HMX1	ENST00000673238	protein_coding	1917	1	True
ENSG00000291420	ACTG1	ENST00000707488	protein_coding	1128		False
ENSG00000288247		ENST00000673609	lncRNA	562	1	True
ENSG00000291420	ACTG1	ENST00000707489	protein_coding	1228		False
ENSG00000291420	ACTG1	ENST00000707490	protein_coding	1340		False
ENSG00000291421	BAHCC1	ENST00000707491	protein_coding	10726		False
ENSG00000291421	BAHCC1	ENST00000707492	protein_coding	10801	1	True
ENSG00000291421	BAHCC1	ENST00000707493	protein_coding_CDS_not_defined	591		False
ENSG00000291421	BAHCC1	ENST00000707494	TEC	1890		False
ENSG00000291421	BAHCC1	ENST00000707495	retained_intron	565		False
ENSG00000291421	BAHCC1	ENST00000707496	retained_intron	808		False
ENSG00000291421	BAHCC1	ENST00000707497	retained_intron	814		False
ENSG00000291421	BAHCC1	ENST00000707498	retained_intron	563		False
ENSG00000291422		ENST00000707499	lncRNA	1092	1	True
ENSG00000291423		ENST00000707500	lncRNA	1351	1	True
ENSG00000291424		ENST00000707501	lncRNA	1060	1	True
ENSG00000291425	LINC03048	ENST00000707502	lncRNA	1573	1	True
ENSG00000291425	LINC03048	ENST00000707503	lncRNA	1494		False
ENSG00000291425	LINC03048	ENST00000707504	lncRNA	1478		False
ENSG00000291425	LINC03048	ENST00000707505	lncRNA	1436		False
ENSG00000291425	LINC03048	ENST00000707506	lncRNA	1580		False
ENSG00000291425	LINC03048	ENST00000707507	lncRNA	1340		False
ENSG00000291425	LINC03048	ENST00000707508	lncRNA	1362		False
ENSG00000291425	LINC03048	ENST00000707509	lncRNA	1304		False
ENSG00000291425	LINC03048	ENST00000707510	lncRNA	2814		False
ENSG00000291425	LINC03048	ENST00000707511	lncRNA	357		False
ENSG00000291425	LINC03048	ENST00000707512	lncRNA	566		False
ENSG00000291425	LINC03048	ENST00000707513	lncRNA	559		False
ENSG00000291425	LINC03048	ENST00000707514	lncRNA	1221		False
ENSG00000291425	LINC03048	ENST00000707515	lncRNA	641		False
ENSG00000291425	LINC03048	ENST00000707516	lncRNA	1375		False
ENSG00000291425	LINC03048	ENST00000707517	lncRNA	1185		False
ENSG00000291425	LINC03048	ENST00000707518	lncRNA	752		False
ENSG00000288372		ENST00000672491	lncRNA	877	1	True
ENSG00000288288		ENST00000672000	lncRNA	1365	1	True
ENSG00000288129		ENST00000672472	lncRNA	1030	1	True
ENSG00000288472	LINC03015	ENST00000673100	lncRNA	738	1	True
ENSG00000288472	LINC03015	ENST00000673009	lncRNA	605		False
ENSG00000288472	LINC03015	ENST00000671859	lncRNA	691		False
ENSG00000288472	LINC03015	ENST00000673474	lncRNA	1201		False
ENSG00000288472	LINC03015	ENST00000671974	lncRNA	505		False
ENSG00000288472	LINC03015	ENST00000672211	lncRNA	811		False
ENSG00000288472	LINC03015	ENST00000671702	lncRNA	1127		False
ENSG00000288472	LINC03015	ENST00000672607	lncRNA	3031		False
ENSG00000288472	LINC03015	ENST00000671925	lncRNA	2091		False
ENSG00000288472	LINC03015	ENST00000673176	lncRNA	2789		False
ENSG00000288472	LINC03015	ENST00000673336	lncRNA	2785		False
ENSG00000288472	LINC03015	ENST00000673539	lncRNA	1122		False
ENSG00000288472	LINC03015	ENST00000672556	lncRNA	746		False
ENSG00000288472	LINC03015	ENST00000673355	lncRNA	593		False
ENSG00000288417	LINC03014	ENST00000671807	lncRNA	2273		False
ENSG00000288417	LINC03014	ENST00000672947	lncRNA	2577		False
ENSG00000288417	LINC03014	ENST00000672450	lncRNA	2350		False
ENSG00000288417	LINC03014	ENST00000673422	lncRNA	5008	1	True
ENSG00000288417	LINC03014	ENST00000672819	lncRNA	885		False
ENSG00000288417	LINC03014	ENST00000673131	lncRNA	553		False
ENSG00000288502		ENST00000673385	lncRNA	3208	1	True
ENSG00000288311		ENST00000672408	lncRNA	568	1	True
ENSG00000288449		ENST00000672289	lncRNA	574	1	True
ENSG00000288499	FAM20C	ENST00000672066	protein_coding	3176	1	True
ENSG00000288499	FAM20C	ENST00000673544	protein_coding_CDS_not_defined	344		False
ENSG00000288499	FAM20C	ENST00000672298	protein_coding_CDS_not_defined	554		False
ENSG00000288499	FAM20C	ENST00000672379	retained_intron	2177		False
ENSG00000288499	FAM20C	ENST00000673583	retained_intron	1018		False
ENSG00000288159		ENST00000672216	TEC	2004	1	True
ENSG00000288431		ENST00000672062	protein_coding	279	1	True
ENSG00000288431		ENST00000672432	protein_coding	279		False
ENSG00000281819	NAA50P1	ENST00000625975	processed_pseudogene	501	1	True
ENSG00000263150	OR8J2	ENST00000570683	protein_coding_LoF	948	1	True
ENSG00000262851	OR5T2	ENST00000573647	protein_coding	1080	1	True
ENSG00000261897	OR5T3	ENST00000575738	protein_coding	1023	1	True
ENSG00000262784	OR5T1	ENST00000576733	protein_coding	981	1	True
ENSG00000262611	OR8H1	ENST00000626711	protein_coding	1038	1	True
ENSG00000262611	OR8H1	ENST00000574192	protein_coding	927		False
ENSG00000280712	OR8I1P	ENST00000627820	unprocessed_pseudogene	931	1	True
ENSG00000262755	OR8K3	ENST00000573400	protein_coding_LoF	939	1	True
ENSG00000281773	FAM8A2P	ENST00000628449	unprocessed_pseudogene	1142	1	True
ENSG00000280617	OR8K2P	ENST00000628251	unprocessed_pseudogene	927	1	True
ENSG00000263328	OR8K1	ENST00000574800	protein_coding	960	1	True
ENSG00000281820	RPL5P29	ENST00000627504	processed_pseudogene	894	1	True
ENSG00000262796	OR8J1	ENST00000574644	protein_coding	1074	1	True
ENSG00000262315	OR8U8	ENST00000627176	protein_coding	960	1	True
ENSG00000281038	OR8U9	ENST00000626074	protein_coding	930	1	True
ENSG00000280577	OR8L1P	ENST00000625334	unprocessed_pseudogene	955	1	True
ENSG00000288269	GCGR	ENST00000673258	retained_intron	965		False
ENSG00000288269	GCGR	ENST00000672485	protein_coding	1872	1	True
ENSG00000288269	GCGR	ENST00000671794	protein_coding	2030		False
ENSG00000288269	GCGR	ENST00000671708	protein_coding	564		False
ENSG00000288269	GCGR	ENST00000672538	retained_intron	687		False
ENSG00000288269	GCGR	ENST00000672343	retained_intron	522		False
ENSG00000288319		ENST00000672259	protein_coding	774		False
ENSG00000288319		ENST00000671812	protein_coding	774	1	True
ENSG00000288521	U6	ENST00000672529	snRNA	106	1	True
ENSG00000288394	ABCD1P4	ENST00000672763	unprocessed_pseudogene	604	1	True
ENSG00000288228		ENST00000673179	processed_pseudogene	88	1	True
ENSG00000288213	MCRIP1	ENST00000672201	protein_coding	1282		False
ENSG00000288342	PABPC1P9	ENST00000673525	unprocessed_pseudogene	1612	1	True
ENSG00000288315	SLC9B1P4	ENST00000672109	unprocessed_pseudogene	1288	1	True
ENSG00000288272	ACTR3BP6	ENST00000672454	processed_pseudogene	1338	1	True
ENSG00000288213	MCRIP1	ENST00000672505	protein_coding	942		False
ENSG00000288213	MCRIP1	ENST00000673154	protein_coding	2979		False
ENSG00000288213	MCRIP1	ENST00000671931	protein_coding	1038	1	True
ENSG00000288213	MCRIP1	ENST00000673369	protein_coding	925		False
ENSG00000288213	MCRIP1	ENST00000672991	protein_coding	1123		False
ENSG00000288213	MCRIP1	ENST00000672501	protein_coding	2775		False
ENSG00000288213	MCRIP1	ENST00000672633	protein_coding	765		False
ENSG00000288213	MCRIP1	ENST00000672705	protein_coding_CDS_not_defined	752		False
ENSG00000288213	MCRIP1	ENST00000673585	protein_coding	751		False
ENSG00000288213	MCRIP1	ENST00000671977	protein_coding	577		False
ENSG00000288213	MCRIP1	ENST00000673364	protein_coding	618		False
ENSG00000288186	PPP1R27	ENST00000672496	protein_coding	799	1	True
ENSG00000288186	PPP1R27	ENST00000672655	protein_coding_CDS_not_defined	420		False
ENSG00000288186	PPP1R27	ENST00000672511	protein_coding	1443		False
ENSG00000282162	LINC01784	ENST00000632454	lncRNA	378	1	True
ENSG00000281934	PRAMEF11	ENST00000633392	protein_coding	1845	1	True
ENSG00000282116	PRAMEF30P	ENST00000632854	unprocessed_pseudogene	1417	1	True
ENSG00000282175	HNRNPCL1	ENST00000634171	protein_coding	1108	1	True
ENSG00000282817	PRAMEF2	ENST00000632257	protein_coding	1642	1	True
ENSG00000282584	PRAMEF4	ENST00000632563	protein_coding	1840	1	True
ENSG00000282663	PRAMEF10	ENST00000632873	protein_coding	1525	1	True
ENSG00000279195	PRAMEF7	ENST00000355096	protein_coding	1592	1	True
ENSG00000279195	PRAMEF7	ENST00000633146	protein_coding	1560		False
ENSG00000282338	RNU6-1072P	ENST00000631612	snRNA	107	1	True
ENSG00000282549	PRAMEF29P	ENST00000633303	unprocessed_pseudogene	1139	1	True
ENSG00000282119	PRAMEF6	ENST00000632388	protein_coding	1720		False
ENSG00000282119	PRAMEF6	ENST00000632295	protein_coding	1720	1	True
ENSG00000282791	PRAMEF28P	ENST00000634044	unprocessed_pseudogene	1450	1	True
ENSG00000282437	PRAMEF27	ENST00000631964	protein_coding	1863	1	True
ENSG00000282559	HNRNPCL3	ENST00000633863	protein_coding	1148	1	True
ENSG00000282566	PRAMEF25	ENST00000632559	protein_coding	1863	1	True
ENSG00000282566	PRAMEF25	ENST00000634012	protein_coding	1840		False
ENSG00000282258	PRAMEF34P	ENST00000632653	unprocessed_pseudogene	1447	1	True
ENSG00000282562	PRAMEF35P	ENST00000633746	unprocessed_pseudogene	891	1	True
ENSG00000282530	HNRNPCL2	ENST00000633810	protein_coding	1156	1	True
ENSG00000282468	PRAMEF36P	ENST00000632119	transcribed_unprocessed_pseudogene	1452	1	True
ENSG00000290624		ENST00000633830	lncRNA	667	1	True
ENSG00000282341		ENST00000634066	lncRNA	384	1	True
ENSG00000290500		ENST00000630494	lncRNA	163		False
ENSG00000281987	PRAMEF26	ENST00000633532	protein_coding	1863	1	True
ENSG00000290500		ENST00000572860	lncRNA	711		False
ENSG00000290500		ENST00000625370	lncRNA	621	1	True
ENSG00000282095	HNRNPCL4	ENST00000633805	protein_coding	882	1	True
ENSG00000261958	OR9G1	ENST00000573911	protein_coding	918	1	True
ENSG00000262191	OR9G9	ENST00000571130	protein_coding	918	1	True
ENSG00000282298	PRAMEF9	ENST00000633914	protein_coding	1863	1	True
ENSG00000281683		ENST00000625745	processed_pseudogene	147	1	True
ENSG00000282741	PRAMEF13	ENST00000632392	protein_coding	2163	1	True
ENSG00000262268	OR9G3P	ENST00000572137	unprocessed_pseudogene	918	1	True
ENSG00000282741	PRAMEF13	ENST00000639526	protein_coding	1331		False
ENSG00000262647	OR9G4	ENST00000575017	protein_coding	985	1	True
ENSG00000282212	PRAMEF18	ENST00000632307	protein_coding	2067	1	True
ENSG00000282289	PRAMEF31P	ENST00000632532	unprocessed_pseudogene	1371	1	True
ENSG00000281777	OR9G2P	ENST00000625734	unprocessed_pseudogene	880	1	True
ENSG00000281313	OR5G1P	ENST00000627632	unprocessed_pseudogene	946	1	True
ENSG00000282424	PRAMEF5	ENST00000633074	protein_coding	1720	1	True
ENSG00000282216	PRAMEF32P	ENST00000631567	unprocessed_pseudogene	1068	1	True
ENSG00000281279	OR5G4P	ENST00000627954	unprocessed_pseudogene	760	1	True
ENSG00000282288	RNU6-771P	ENST00000632886	snRNA	107	1	True
ENSG00000262535	OR5G5P	ENST00000630430	transcribed_unprocessed_pseudogene	939	1	True
ENSG00000281107	OR5G3	ENST00000631283	protein_coding_LoF	936	1	True
ENSG00000281839	LINC02735	ENST00000631340	lncRNA	209	1	True
ENSG00000282583	PRAMEF8	ENST00000632222	protein_coding	1844	1	True
ENSG00000282583	PRAMEF8	ENST00000632952	protein_coding	1706		False
ENSG00000282583	PRAMEF8	ENST00000631760	protein_coding	1592		False
ENSG00000282125	PRAMEF33	ENST00000632108	protein_coding	1518	1	True
ENSG00000293551	PRAMEF22	ENST00000713586	protein_coding	1446	1	True
ENSG00000291378	ARHGEF19-AS1	ENST00000707361	lncRNA	439	1	True
ENSG00000291381	ARHGEF19	ENST00000707384	protein_coding_CDS_not_defined	2035		False
ENSG00000291381	ARHGEF19	ENST00000707385	protein_coding	3322	1	True
ENSG00000291381	ARHGEF19	ENST00000707386	protein_coding	921		False
ENSG00000291381	ARHGEF19	ENST00000707387	protein_coding_CDS_not_defined	685		False
ENSG00000291381	ARHGEF19	ENST00000707388	protein_coding_CDS_not_defined	653		False
ENSG00000291381	ARHGEF19	ENST00000707389	protein_coding	582		False
ENSG00000291405		ENST00000707431	lncRNA	1002	1	True
ENSG00000291405		ENST00000707430	lncRNA	328		False
ENSG00000291404	ANO7L1	ENST00000707429	transcribed_unprocessed_pseudogene	1720	1	True
ENSG00000291376		ENST00000707359	lncRNA	2662	1	True
ENSG00000288263	GRK1	ENST00000672946	protein_coding	4233	1	True
ENSG00000291382	CPLANE2	ENST00000707390	protein_coding	1574	1	True
ENSG00000288263	GRK1	ENST00000672546	protein_coding_CDS_not_defined	548		False
ENSG00000291382	CPLANE2	ENST00000707391	protein_coding	336		False
ENSG00000288263	GRK1	ENST00000672964	retained_intron	3261		False
ENSG00000288305	LINC00552	ENST00000672977	TEC	2579	1	True
ENSG00000291377	MT1XP1	ENST00000707360	processed_pseudogene	186	1	True
ENSG00000291375	FBXO42	ENST00000707355	protein_coding	6227	1	True
ENSG00000291375	FBXO42	ENST00000707356	protein_coding	1153		False
ENSG00000291375	FBXO42	ENST00000707357	protein_coding	945		False
ENSG00000291375	FBXO42	ENST00000707358	protein_coding_CDS_not_defined	2920		False
ENSG00000291379	SZRD1	ENST00000707362	protein_coding_CDS_not_defined	490		False
ENSG00000291379	SZRD1	ENST00000707364	protein_coding	892		False
ENSG00000291379	SZRD1	ENST00000707365	protein_coding	3447		False
ENSG00000291379	SZRD1	ENST00000707366	protein_coding_CDS_not_defined	549		False
ENSG00000291379	SZRD1	ENST00000707363	protein_coding	3480	1	True
ENSG00000291379	SZRD1	ENST00000707367	nonsense_mediated_decay	567		False
ENSG00000291379	SZRD1	ENST00000707368	protein_coding_CDS_not_defined	583		False
ENSG00000291379	SZRD1	ENST00000707369	protein_coding_CDS_not_defined	791		False
ENSG00000291379	SZRD1	ENST00000707370	protein_coding	3401		False
ENSG00000291379	SZRD1	ENST00000707371	protein_coding_CDS_not_defined	843		False
ENSG00000291374	RPL22P3	ENST00000707354	processed_pseudogene	381	1	True
ENSG00000291401	SPATA21	ENST00000707421	protein_coding	661		False
ENSG00000291401	SPATA21	ENST00000707422	protein_coding_CDS_not_defined	3619		False
ENSG00000291401	SPATA21	ENST00000707423	protein_coding	2015	1	True
ENSG00000291401	SPATA21	ENST00000707425	protein_coding	1773		False
ENSG00000291401	SPATA21	ENST00000707424	protein_coding	1136		False
ENSG00000291401	SPATA21	ENST00000707426	protein_coding	603		False
ENSG00000291380	NECAP2	ENST00000707373	protein_coding	768		False
ENSG00000291380	NECAP2	ENST00000707374	protein_coding	935		False
ENSG00000291380	NECAP2	ENST00000707372	protein_coding	2018		False
ENSG00000291380	NECAP2	ENST00000707375	protein_coding_CDS_not_defined	572		False
ENSG00000291380	NECAP2	ENST00000707376	protein_coding	1929	1	True
ENSG00000291380	NECAP2	ENST00000707377	nonsense_mediated_decay	727		False
ENSG00000291380	NECAP2	ENST00000707378	protein_coding_CDS_not_defined	470		False
ENSG00000291380	NECAP2	ENST00000707379	nonsense_mediated_decay	1787		False
ENSG00000291380	NECAP2	ENST00000707380	nonsense_mediated_decay	981		False
ENSG00000291380	NECAP2	ENST00000707381	retained_intron	4619		False
ENSG00000291380	NECAP2	ENST00000707382	nonsense_mediated_decay	713		False
ENSG00000291380	NECAP2	ENST00000707383	retained_intron	550		False
ENSG00000291388	LINC01772	ENST00000707400	lncRNA	3245	1	True
ENSG00000291402	CROCCP3	ENST00000707427	transcribed_unprocessed_pseudogene	2039	1	True
ENSG00000291389	RNU1-1	ENST00000707401	snRNA	164	1	True
ENSG00000291390		ENST00000707402	lncRNA	1558	1	True
ENSG00000291391		ENST00000707403	lncRNA	327	1	True
ENSG00000291392	LINC01783	ENST00000707404	lncRNA	1548	1	True
ENSG00000291393	RNU1-6P	ENST00000707405	snRNA	144	1	True
ENSG00000291394	PDE4DIPP8	ENST00000707406	unprocessed_pseudogene	882	1	True
ENSG00000291386		ENST00000707395	lncRNA	438	1	True
ENSG00000291385	RNU1-2	ENST00000707394	snRNA	164	1	True
ENSG00000291408		ENST00000707441	lncRNA	1203		False
ENSG00000291408		ENST00000707445	lncRNA	391		False
ENSG00000291408		ENST00000707442	lncRNA	1304		False
ENSG00000291408		ENST00000707440	lncRNA	1666	1	True
ENSG00000291408		ENST00000707448	lncRNA	346		False
ENSG00000291408		ENST00000707443	lncRNA	723		False
ENSG00000291408		ENST00000707446	lncRNA	845		False
ENSG00000291408		ENST00000707447	lncRNA	817		False
ENSG00000291408		ENST00000707449	lncRNA	584		False
ENSG00000291408		ENST00000707444	lncRNA	406		False
ENSG00000291384		ENST00000707393	processed_pseudogene	508	1	True
ENSG00000291400		ENST00000707416	lncRNA	1193	1	True
ENSG00000291400		ENST00000707420	lncRNA	686		False
ENSG00000291400		ENST00000707419	lncRNA	475		False
ENSG00000291400		ENST00000707418	lncRNA	883		False
ENSG00000291400		ENST00000707412	lncRNA	2520		False
ENSG00000291400		ENST00000707414	lncRNA	1469		False
ENSG00000291400		ENST00000707417	lncRNA	1546		False
ENSG00000291400		ENST00000707415	lncRNA	434		False
ENSG00000291400		ENST00000707413	lncRNA	1220		False
ENSG00000291383	RNU1-5P	ENST00000707392	snRNA	144	1	True
ENSG00000291395		ENST00000707407	transcribed_unprocessed_pseudogene	166	1	True
ENSG00000291397		ENST00000707409	unprocessed_pseudogene	1351	1	True
ENSG00000291398	EIF1AXP1	ENST00000707410	processed_pseudogene	435	1	True
ENSG00000291396	RNU1-3	ENST00000707408	snRNA	164	1	True
ENSG00000291399	RNU1-4	ENST00000707411	snRNA	164	1	True
ENSG00000291387	PADI2	ENST00000707396	protein_coding	4361	1	True
ENSG00000291387	PADI2	ENST00000707397	protein_coding_CDS_not_defined	2389		False
ENSG00000291387	PADI2	ENST00000707398	protein_coding_CDS_not_defined	3612		False
