Target_genes	Rarg|Average	SRX087270|F9	SRX087271|F9	SRX087272|F9	SRX087273|F9	SRX087274|F9	STRING
H2ac11	37.200000	0	0	186	0	0	0
Hagh	36.000000	0	0	180	0	0	0
Fahd1	36.000000	0	0	180	0	0	0
Kcnip1	35.600000	0	0	178	0	0	0
Bcar1	35.600000	0	178	0	0	0	0
5031439G07Rik	35.000000	0	0	175	0	0	0
Kng2	34.800000	0	174	0	0	0	0
Hspb8	34.200000	0	171	0	0	0	0
Clvs1	34.200000	0	0	171	0	0	0
Slc15a1	33.800000	0	169	0	0	0	0
Eif4e	33.800000	0	169	0	0	0	0
Ankrd44	33.800000	0	169	0	0	0	0
H3f3b	33.200000	0	0	166	0	0	0
H1f2	33.200000	0	0	166	0	0	0
Tm7sf3	33.000000	0	165	0	0	0	0
Rdm1	32.600000	0	0	163	0	0	0
Txnip	32.400000	0	0	162	0	0	0
Ints3	32.400000	0	162	0	0	0	0
Sgk1	32.200000	0	161	0	0	0	0
H4f16	32.000000	0	0	160	0	0	0
H2aj	32.000000	0	0	160	0	0	0
H3c11	31.800000	0	0	159	0	0	0
H1f5	31.800000	0	0	159	0	0	0
Glra3	31.800000	159	0	0	0	0	0
Foxa1	31.600000	0	158	0	0	0	0
Grtp1	31.200000	0	156	0	0	0	0
Cplx3	31.200000	0	0	156	0	0	0
Ttk	31.000000	0	155	0	0	0	0
Riok2	31.000000	0	0	155	0	0	0
H4c8	31.000000	0	0	155	0	0	0
H3c8	31.000000	0	0	155	0	0	0
H2ac10	31.000000	0	0	155	0	0	0
Vmn2r102	30.800000	0	0	154	0	0	0
Cidea	30.400000	0	152	0	0	0	0
Nfyb	30.200000	0	151	0	0	0	0
Nanog	30.200000	0	151	0	0	0	0
H4c11	30.200000	0	0	151	0	0	0
Tmco2	30.000000	0	150	0	0	0	0
Ifitm7	30.000000	0	0	150	0	0	0
Bmerb1	30.000000	0	0	150	0	0	0
Mkrn1	29.800000	0	149	0	0	0	0
H3c13	29.600000	148	0	0	0	0	0
H2bc18	29.600000	148	0	0	0	0	0
H1f4	29.000000	0	0	145	0	0	0
Nr2f6	28.800000	0	144	0	0	0	0
Ect2	28.800000	0	144	0	0	0	0
Majin	28.600000	0	0	143	0	0	0
Washc2	28.400000	0	0	0	0	142	0
Vars	28.400000	0	142	0	0	0	0
D17H6S56E-5	28.400000	0	142	0	0	0	0
Tent5c	28.200000	0	0	0	0	141	0
Skp1	28.200000	0	0	141	0	0	0
Poldip3	28.200000	0	0	141	0	0	0
Phf5a	28.200000	0	141	0	0	0	0
Mreg	28.200000	0	141	0	0	0	0
Aco2	28.200000	0	141	0	0	0	0
Tmem181a	28.000000	0	140	0	0	0	0
Tmem107	27.800000	139	0	0	0	0	0
H3c7	27.800000	0	0	139	0	0	0
H2bc9	27.800000	0	0	139	0	0	0
Tctn1	27.600000	0	138	0	0	0	0
Brinp1	27.600000	138	0	0	0	0	0
Vwc2l	27.200000	0	0	136	0	0	0
Fgf14	27.200000	0	0	136	0	0	0
Cyp19a1	27.200000	0	0	136	0	0	0
Thrsp	26.600000	0	133	0	0	0	0
Gabrb3	26.600000	0	0	133	0	0	0
Aqp3	26.600000	0	133	0	0	0	0
8030462N17Rik	26.400000	0	132	0	0	0	0
Scnn1g	26.200000	131	0	0	0	0	0
Scg3	26.200000	0	0	0	0	131	0
Ppdpf	26.200000	0	131	0	0	0	0
Mbtps1	26.000000	0	0	130	0	0	0
Foxp1	26.000000	0	0	130	0	0	0
Ccdc102a	26.000000	0	130	0	0	0	0
Adgrg5	26.000000	0	130	0	0	0	0
Smarcd1	25.800000	0	0	129	0	0	0
Syt14	25.600000	0	0	128	0	0	0
H4c14	25.600000	0	0	128	0	0	0
Micall2	25.400000	0	127	0	0	0	0
Cldn34d	25.200000	0	0	0	126	0	0
Cyp26a1	25.000000	0	125	0	0	0	0
Syt4	24.800000	0	0	124	0	0	0
Cables2	24.400000	0	0	122	0	0	0
Tcp11	24.200000	0	121	0	0	0	0
H4c3	24.200000	0	0	121	0	0	0
H1f6	24.200000	0	0	121	0	0	0
Drd4	24.200000	0	121	0	0	0	0
Prdm14	24.000000	0	120	0	0	0	0
Cabp7	23.800000	0	0	119	0	0	0
Rarb	23.400000	0	0	117	0	0	0
Fbxo6	23.400000	0	117	0	0	0	0
Rnf13	23.200000	0	116	0	0	0	0
Icam1	23.200000	0	116	0	0	0	0
H3c3	22.600000	0	0	113	0	0	0
H2bc3	22.600000	0	0	113	0	0	0
Nrsn1	22.200000	0	0	111	0	0	0
Ndufa2	22.200000	0	111	0	0	0	0
Ik	22.200000	0	111	0	0	0	0
Prlhr	22.000000	0	0	110	0	0	0
Kat6a	21.800000	0	0	109	0	0	0
Smpd3	21.600000	108	0	0	0	0	0
Xylb	21.400000	0	107	0	0	0	0
H2ap	21.400000	0	107	0	0	0	0
H2al3	21.400000	0	107	0	0	0	0
Ksr1	21.200000	0	106	0	0	0	0
Htr5a	21.000000	0	0	105	0	0	0
H2-Bl	20.800000	0	104	0	0	0	0
Chrnb2	20.800000	0	0	104	0	0	0
Slc17a6	20.600000	0	0	103	0	0	0
Phc1	20.400000	0	102	0	0	0	0
Pou5f1	20.200000	0	101	0	0	0	0
Resf1	20.000000	0	100	0	0	0	0
Dedd	20.000000	0	100	0	0	0	0
Wsb2	19.800000	0	99	0	0	0	0
Ppp1r10	19.800000	0	0	99	0	0	0
Mrps18b	19.800000	0	0	99	0	0	0
Ankrd28	19.600000	0	98	0	0	0	0
Sirt4	19.400000	97	0	0	0	0	0
Rbks	19.400000	0	97	0	0	0	0
Lamp1	19.400000	0	0	0	0	97	0
Babam2	19.400000	0	97	0	0	0	0
Ttll3	19.200000	0	96	0	0	0	0
Oxnad1	19.200000	0	96	0	0	0	0
Dph3	19.200000	0	96	0	0	0	0
Kcnk5	19.000000	0	95	0	0	0	0
Clcn4	18.600000	0	0	93	0	0	0
Fstl3	18.400000	0	92	0	0	0	0
H2bc12	18.000000	0	0	90	0	0	0
H2ac12	18.000000	0	0	90	0	0	0
S1pr2	17.800000	0	89	0	0	0	0
Mllt6	16.400000	0	82	0	0	0	0
H3c2	15.800000	0	0	79	0	0	0
H2ac4	15.800000	0	0	79	0	0	0
Insm2	15.600000	0	0	0	0	78	0
Gse1	15.200000	0	0	0	76	0	0
Mafa	15.000000	0	75	0	0	0	0
H3c4	15.000000	0	0	75	0	0	0
H2bc8	15.000000	0	0	75	0	0	0
H2bc7	15.000000	0	0	75	0	0	0
H2ac8	15.000000	0	0	75	0	0	0
H2ac7	15.000000	0	0	75	0	0	0
Cacng2	14.600000	0	0	73	0	0	0
Xkr4	14.200000	0	0	71	0	0	0
Rnf213	14.000000	0	70	0	0	0	0
Erdr1	13.800000	0	0	69	0	0	0
Fam32a	13.200000	0	0	66	0	0	0
Top2b	0.000000	0	0	0	0	0	435
Cdh1	0.000000	0	0	0	0	0	401
