Target_genes	Nr4a1|Average	SRX6927319|CD4+_T_cells	SRX868176|ES_cells	SRX868179|ES_cells	SRX3075749|Macrophages	SRX3075750|Macrophages	SRX3075751|Macrophages	SRX1077593|Treg	STRING
Rhox3e	380.285714	0	1313	1349	0	0	0	0	0
Rhox3a	380.285714	0	1313	1349	0	0	0	0	0
Kyat1	379.142857	0	684	631	158	969	212	0	0
Smap2	378.571429	0	1235	1262	0	153	0	0	0
Vmn2r7	378.000000	0	1423	1223	0	0	0	0	0
Susd4	376.428571	0	1331	1304	0	0	0	0	0
Ube3b	375.714286	0	1233	1301	0	96	0	0	0
Kctd10	375.714286	0	1233	1301	0	96	0	0	0
Fblim1	375.285714	0	195	287	424	1118	603	0	0
Dgkz	374.857143	0	218	256	221	1659	270	0	0
Fhl1	372.285714	0	1340	1266	0	0	0	0	0
Col18a1	370.714286	0	1213	1124	0	258	0	0	0
Ndufa12	370.285714	0	1259	1177	0	156	0	0	0
Adamts3	369.000000	0	1330	1253	0	0	0	0	0
Nadk	367.857143	0	0	120	228	1869	358	0	0
Kcnip1	366.142857	0	252	270	227	1490	324	0	0
Atxn1	366.142857	0	1177	1010	0	376	0	0	0
Dcaf12	365.857143	0	101	0	275	1715	470	0	0
Esx1	364.571429	0	1336	1216	0	0	0	0	0
Timd2	364.428571	0	1272	1279	0	0	0	0	0
Olfr1037	363.714286	0	1362	1184	0	0	0	0	0
Olfr1136	358.714286	0	1257	1254	0	0	0	0	0
Csf2rb2	357.285714	0	795	900	0	713	93	0	0
Nifk	356.571429	0	1204	1138	0	154	0	0	0
Mpzl2	355.000000	0	1259	1226	0	0	0	0	0
Lilra5	354.857143	0	0	203	246	1857	178	0	0
Rgs3	353.857143	0	1297	1180	0	0	0	0	0
Tmem51	353.714286	0	442	342	263	1155	274	0	0
Olfr806	353.714286	208	1006	1076	0	0	0	186	0
Taar6	353.571429	0	1169	1181	0	125	0	0	0
Toporsl	352.142857	0	1294	1171	0	0	0	0	0
Pla2g4a	352.142857	0	921	804	0	582	158	0	0
Tmem125	351.714286	190	530	500	233	235	246	528	0
Dram1	351.714286	0	1233	1108	0	121	0	0	0
Cdsn	351.714286	0	1124	1221	0	117	0	0	0
Klhl22	351.000000	0	1171	1079	0	207	0	0	0
Igf1	350.428571	0	1239	1214	0	0	0	0	0
Asmt	350.428571	264	509	344	414	476	0	446	0
Apoa4	350.142857	0	1089	1180	0	182	0	0	0
Tjp2	348.571429	0	1168	1186	0	86	0	0	0
Piwil4	348.285714	0	1221	1217	0	0	0	0	0
Fgf21	347.428571	0	1240	1104	0	88	0	0	0
Mgst2	346.285714	0	1203	1221	0	0	0	0	0
Tlr6	345.000000	0	0	0	299	1646	470	0	0
Sorbs1	345.000000	0	844	688	173	550	0	160	0
Impa2	345.000000	0	1129	1208	0	78	0	0	0
Tlcd5	344.142857	0	1184	1225	0	0	0	0	0
Nr4a2	344.000000	0	1149	1106	0	153	0	0	0
Hdac7	343.571429	0	840	827	0	624	114	0	0
Gfra3	343.428571	0	1202	1202	0	0	0	0	0
Zcchc4	340.714286	0	0	0	208	1814	363	0	0
Atp1b4	340.428571	0	1151	1232	0	0	0	0	0
Defb40	340.285714	0	1193	1189	0	0	0	0	0
Kif2b	340.000000	0	1138	1242	0	0	0	0	0
Qrfpr	338.857143	0	1305	1067	0	0	0	0	0
Treml2	338.571429	0	1236	1134	0	0	0	0	0
Bglap2	337.857143	0	0	0	343	1528	494	0	0
Bglap	337.857143	0	0	0	343	1528	494	0	0
Tmem33	337.285714	0	1059	1038	0	264	0	0	0
Gm867	336.714286	0	528	644	0	962	223	0	0
Plec	336.428571	0	727	923	185	379	141	0	0
Gnat2	335.857143	0	284	384	0	1416	267	0	0
Taar7a	335.714286	0	1169	1181	0	0	0	0	0
Rpl32l	335.285714	0	1272	1075	0	0	0	0	0
Ctla2a	335.285714	0	1163	1184	0	0	0	0	0
Fut1	334.857143	0	1240	1104	0	0	0	0	0
Fcrl1	334.571429	0	570	682	121	844	125	0	0
S100a16	334.285714	0	1194	1146	0	0	0	0	0
Tdp1	333.857143	0	1046	1187	0	104	0	0	0
Efcab11	333.857143	0	1046	1187	0	104	0	0	0
Syne3	333.285714	0	0	0	564	1052	717	0	0
Zfp770	333.000000	0	0	0	176	1924	231	0	0
Ifi207	332.714286	0	743	835	0	591	160	0	0
P2ry14	332.571429	0	1144	1184	0	0	0	0	0
Kcnn4	332.285714	0	606	662	0	774	284	0	0
Olfr54	331.571429	0	1158	1163	0	0	0	0	0
Cldn34d	331.142857	472	143	0	718	552	0	433	0
Csf2rb	330.857143	0	399	713	108	933	163	0	0
Spef1l	330.285714	0	903	1038	0	371	0	0	0
Psmb5	330.142857	0	353	526	137	1144	151	0	0
Shld1	329.571429	0	552	476	170	861	248	0	0
Hnf1b	329.571429	0	1209	1098	0	0	0	0	0
Cpvl	329.571429	0	1133	1174	0	0	0	0	0
Stard10	327.142857	0	1131	1044	0	115	0	0	0
Htr2c	327.142857	0	1112	1178	0	0	0	0	0
Pmvk	326.857143	0	346	597	164	926	255	0	0
Sulf1	326.714286	0	1125	1162	0	0	0	0	0
Kbtbd7	325.428571	0	252	376	423	812	415	0	0
Gmnc	325.428571	0	1202	1076	0	0	0	0	0
Zfp451	324.714286	0	1094	1179	0	0	0	0	0
Amn1	324.142857	0	0	0	233	1433	603	0	0
Mylk3	323.285714	0	1079	1184	0	0	0	0	0
Tdrd9	323.142857	0	193	174	224	1301	370	0	0
F5	320.857143	0	665	783	0	611	187	0	0
Gm5148	319.714286	0	1074	1164	0	0	0	0	0
Cryba1	319.714286	0	1149	1089	0	0	0	0	0
Stau2	317.285714	0	1187	1034	0	0	0	0	0
Atp2b1	317.285714	0	0	0	422	1002	797	0	0
Flvcr2	317.142857	0	1154	1066	0	0	0	0	0
Gm17455	317.000000	0	0	0	322	1532	365	0	0
Ptpn3	316.285714	0	1068	1146	0	0	0	0	0
Tnrc6b	315.857143	0	288	333	214	998	378	0	0
Haao	315.571429	0	968	758	0	483	0	0	0
Lats2	315.285714	0	497	604	141	827	138	0	0
Ctcfl	315.285714	0	1185	1022	0	0	0	0	0
Hspb7	315.000000	0	790	764	0	408	243	0	0
Sarm1	314.714286	0	1049	1154	0	0	0	0	0
Cdh4	314.142857	0	1152	1047	0	0	0	0	0
Mrpl42	313.714286	0	1126	1070	0	0	0	0	0
Parm1	313.285714	0	984	1209	0	0	0	0	0
Nmnat1	312.857143	0	995	1053	0	142	0	0	0
Lzic	312.857143	0	995	1053	0	142	0	0	0
Lonrf1	312.571429	0	296	226	163	1308	195	0	0
Krtap13	312.428571	0	872	1315	0	0	0	0	0
Krt16	308.571429	0	1084	1076	0	0	0	0	0
Rbfa	305.857143	0	905	1106	0	130	0	0	0
Cfap74	305.714286	0	1110	1030	0	0	0	0	0
Sun1	303.857143	0	557	658	119	571	222	0	0
Aifm3	302.571429	0	1118	1000	0	0	0	0	0
Pfkfb2	301.714286	0	1057	938	0	117	0	0	0
Txnl4a	300.714286	0	905	1106	0	94	0	0	0
Gm16286	300.714286	0	905	1106	0	94	0	0	0
Cry2	300.714286	0	1043	933	0	129	0	0	0
Ap1m2	300.714286	0	287	271	94	1067	386	0	0
Ptger2	299.714286	0	843	949	0	306	0	0	0
Nudt7	299.571429	0	961	857	0	279	0	0	0
Vps13c	299.428571	0	348	375	113	1028	232	0	0
Ddb2	299.428571	0	1050	916	0	130	0	0	0
Lsp1	299.000000	0	888	950	0	143	112	0	0
Grem2	298.714286	0	1086	1005	0	0	0	0	0
Itgb3	298.000000	0	270	421	150	1027	218	0	0
Phyh	297.428571	0	175	198	170	1278	261	0	0
Cfap54	297.142857	0	173	376	239	1076	216	0	0
Rchy1	296.714286	0	0	111	200	1399	367	0	0
Gm6812	296.714286	0	1067	1010	0	0	0	0	0
Slc1a2	295.571429	0	789	723	0	557	0	0	0
Csk	295.571429	0	0	172	246	1327	324	0	0
Met	295.142857	0	1066	1000	0	0	0	0	0
2200002J24Rik	294.714286	0	164	194	151	1253	301	0	0
Gm20823	294.428571	0	985	1076	0	0	0	0	0
Gm20738	294.428571	0	985	1076	0	0	0	0	0
Olfml1	294.000000	0	990	1068	0	0	0	0	0
Foxn1	293.857143	0	1114	943	0	0	0	0	0
Emcn	293.285714	0	1086	967	0	0	0	0	0
Myo1g	293.000000	0	0	0	262	1454	335	0	0
Ghrl	292.857143	0	766	977	0	307	0	0	0
Nr4a1	292.714286	0	201	0	668	559	621	0	0
Tmem274	292.571429	0	995	1053	0	0	0	0	0
Slc26a6	292.428571	0	0	0	160	1614	273	0	0
Prph2	292.428571	0	1021	796	0	230	0	0	0
Vat1l	292.285714	0	1039	1007	0	0	0	0	0
Olfr1226	292.142857	0	0	0	202	1461	382	0	0
Soga3	291.571429	0	956	1085	0	0	0	0	0
F7	290.857143	0	0	0	216	1493	327	0	0
Naip2	290.571429	0	388	304	155	1011	176	0	0
Katnal2	290.571429	0	961	935	0	138	0	0	0
Olfr1221	290.285714	0	863	928	0	241	0	0	0
Tmem196	290.142857	0	1024	1007	0	0	0	0	0
Nkiras2	289.857143	0	0	0	215	1536	278	0	0
Mettl17	289.000000	0	883	991	0	149	0	0	0
Cox14	288.857143	0	373	444	111	936	158	0	0
Cntrl	288.428571	0	959	908	0	152	0	0	0
Olfr486	288.285714	0	1006	1012	0	0	0	0	0
Zfp617	287.571429	0	220	203	233	1139	218	0	0
Pcdhb22	287.428571	0	1032	980	0	0	0	0	0
Lcn10	287.285714	0	1171	840	0	0	0	0	0
Nup160	286.857143	0	0	140	281	1236	351	0	0
Cep104	286.142857	0	938	950	0	115	0	0	0
C5ar1	285.571429	0	0	0	178	1496	325	0	0
Cmah	285.285714	0	1122	875	0	0	0	0	0
Tlcd3b	285.142857	0	179	135	126	1201	355	0	0
Tecpr1	284.428571	0	0	0	152	1420	419	0	0
Rp1l1	284.428571	0	905	870	0	216	0	0	0
Appl2	283.857143	0	796	821	0	370	0	0	0
Chst10	283.142857	0	957	875	0	150	0	0	0
Gm21308	282.428571	0	965	1012	0	0	0	0	0
Gm20867	282.428571	0	965	1012	0	0	0	0	0
Gm20816	282.428571	0	965	1012	0	0	0	0	0
Pja1	282.285714	0	931	1045	0	0	0	0	0
Gm11213	282.285714	0	1020	956	0	0	0	0	0
Rab19	282.000000	0	606	757	0	500	111	0	0
Fmnl3	282.000000	0	1040	826	0	108	0	0	0
Nkap	281.857143	0	1003	970	0	0	0	0	0
Dtd1	281.571429	0	955	893	0	123	0	0	0
Nrbf2	280.428571	0	340	285	0	1009	329	0	0
Tmem52b	280.285714	0	627	564	0	771	0	0	0
Cd36	279.714286	0	570	564	0	824	0	0	0
Ly6a2	279.571429	0	876	875	0	206	0	0	0
Herc4	279.571429	0	173	203	190	1211	180	0	0
Ptprj	279.428571	0	0	0	186	1535	235	0	0
Tmem107	279.000000	0	482	638	149	461	223	0	0
Ndnf	278.428571	0	968	893	0	88	0	0	0
Gpr33	278.428571	0	665	934	0	350	0	0	0
Defb8	278.428571	0	883	1066	0	0	0	0	0
Foxi3	278.142857	0	1046	901	0	0	0	0	0
Dffb	277.428571	0	938	889	0	115	0	0	0
Jag1	277.285714	0	858	992	0	91	0	0	0
Gsta4	277.285714	0	937	1004	0	0	0	0	0
Ier3ip1	277.142857	0	920	845	0	175	0	0	0
Rxfp4	277.000000	0	0	157	175	1312	295	0	0
Serpina1d	276.142857	0	946	987	0	0	0	0	0
6430548M08Rik	276.142857	0	0	222	186	1274	251	0	0
Rrp12	275.428571	0	236	236	148	1308	0	0	0
Lhx6	275.285714	0	1013	914	0	0	0	0	0
Hoxd4	275.285714	0	863	805	0	259	0	0	0
Fam149b	275.142857	0	819	1009	0	98	0	0	0
Ecd	275.142857	0	819	1009	0	98	0	0	0
Spaca9	275.000000	0	871	905	0	149	0	0	0
Ak8	275.000000	0	871	905	0	149	0	0	0
Prx	274.857143	0	947	977	0	0	0	0	0
Rbpms	274.571429	0	0	0	309	1315	298	0	0
Denr	274.571429	0	416	588	0	692	226	0	0
Tmem163	274.428571	0	965	956	0	0	0	0	0
Nckap1	273.857143	0	285	217	115	1095	205	0	0
Ccnd3	273.857143	0	792	846	0	279	0	0	0
Lmbrd1	273.428571	0	0	187	204	1056	467	0	0
Cytl1	273.428571	0	1094	820	0	0	0	0	0
Zfp36	272.857143	0	490	716	0	501	203	0	0
Aebp2	272.857143	0	617	618	0	675	0	0	0
Gabrb2	272.714286	0	975	934	0	0	0	0	0
Tgm2	272.142857	0	988	917	0	0	0	0	0
Pibf1	272.142857	0	959	946	0	0	0	0	0
Dis3	272.142857	0	959	946	0	0	0	0	0
Txk	271.857143	0	865	1038	0	0	0	0	0
Prodh	271.857143	0	1011	892	0	0	0	0	0
Klf2	271.428571	0	0	213	130	1347	210	0	0
Ins1	271.428571	0	963	937	0	0	0	0	0
Car8	271.285714	0	955	944	0	0	0	0	0
Uhrf1bp1	271.000000	0	0	0	0	1897	0	0	0
Atp5mpl	270.714286	0	0	0	224	1301	370	0	0
Copg1	270.571429	0	599	680	0	447	168	0	0
Dot1l	270.428571	0	0	0	178	1373	342	0	0
Igsf23	270.285714	0	596	719	0	577	0	0	0
Akap10	269.857143	0	793	828	0	268	0	0	0
Cyp2j13	269.714286	0	879	1009	0	0	0	0	0
Ppp1r12b	269.285714	0	896	911	0	78	0	0	0
Lypla2	269.285714	0	0	0	151	1436	298	0	0
Znrf3	269.142857	0	981	790	0	113	0	0	0
Usp12	269.000000	0	779	1003	0	101	0	0	0
Dlgap1	269.000000	0	921	962	0	0	0	0	0
Bcl2l14	268.857143	0	658	619	0	519	86	0	0
Olfr433	268.428571	0	388	662	82	586	161	0	0
Cntnap3	268.428571	0	883	996	0	0	0	0	0
Hpdl	268.142857	0	778	863	0	236	0	0	0
Nob1	267.571429	0	857	891	0	125	0	0	0
Dcaf8l	267.571429	0	962	911	0	0	0	0	0
Olfr1057	266.714286	0	920	947	0	0	0	0	0
Olfr57	266.285714	0	885	979	0	0	0	0	0
Anp32e	265.857143	0	861	906	0	94	0	0	0
Aldh3b3	265.571429	0	914	945	0	0	0	0	0
Ufsp2	265.142857	0	787	799	0	270	0	0	0
1700029J07Rik	265.142857	0	787	799	0	270	0	0	0
Mllt11	265.000000	0	0	0	164	1512	179	0	0
Cdc42se1	265.000000	0	0	0	164	1512	179	0	0
Pak1	264.571429	0	814	926	0	112	0	0	0
Glt6d1	264.571429	0	954	898	0	0	0	0	0
Itgb1	264.142857	0	452	631	0	766	0	0	0
Msgn1	263.285714	0	301	358	81	853	250	0	0
Adat1	263.285714	0	929	914	0	0	0	0	0
Slc6a6	263.142857	0	462	518	0	705	157	0	0
Defb20	262.571429	0	845	774	0	219	0	0	0
Snai1	262.285714	0	331	361	157	878	109	0	0
Htr2a	262.285714	0	957	879	0	0	0	0	0
H1f8	262.000000	0	0	0	183	1281	370	0	0
Gal3st4	262.000000	0	1023	811	0	0	0	0	0
Atxn7l1	261.857143	0	712	656	0	373	92	0	0
Vstm4	261.571429	0	970	861	0	0	0	0	0
Slc25a32	261.571429	0	833	832	0	166	0	0	0
Dcaf13	261.571429	0	833	832	0	166	0	0	0
Stmn4	261.285714	0	532	488	0	809	0	0	0
Eif4ebp2	261.000000	0	901	808	0	118	0	0	0
Mrtfa	260.142857	0	517	566	0	738	0	0	0
Tmem40	259.857143	0	726	887	0	206	0	0	0
Fabp4	259.857143	0	700	845	0	274	0	0	0
Wfdc13	259.428571	0	671	749	0	396	0	0	0
Ctxn2	259.428571	0	906	910	0	0	0	0	0
Slc12a5	259.285714	0	256	339	279	724	217	0	0
Gas1	259.000000	0	916	897	0	0	0	0	0
Cd5	259.000000	0	754	760	0	299	0	0	0
Olfr788	258.428571	0	0	0	144	1474	191	0	0
Fbxw7	258.428571	0	681	754	0	220	154	0	0
Dcstamp	258.142857	0	719	735	0	353	0	0	0
Ttc39b	257.857143	0	0	0	176	1399	230	0	0
Ak9	257.571429	0	207	189	79	1069	259	0	0
Rnase4	257.428571	0	685	949	0	168	0	0	0
Ang	257.428571	0	685	949	0	168	0	0	0
Capn11	257.000000	0	783	1016	0	0	0	0	0
Cd300lf	256.714286	0	205	319	159	922	192	0	0
Bcl2a1a	256.714286	0	0	0	144	1396	257	0	0
Cyth1	256.000000	0	441	695	0	518	138	0	0
Dhrs3	255.428571	0	791	845	0	152	0	0	0
Pdzd7	255.000000	0	796	857	0	132	0	0	0
Map3k14	254.428571	0	0	0	124	1365	292	0	0
Akna	254.142857	0	889	890	0	0	0	0	0
Gm21677	253.857143	0	828	949	0	0	0	0	0
Gm21704	253.714286	0	827	949	0	0	0	0	0
Gm21693	253.714286	0	827	949	0	0	0	0	0
Tfpi	253.142857	0	911	861	0	0	0	0	0
Mstn	253.000000	0	843	928	0	0	0	0	0
Gmfg	252.714286	0	458	563	0	663	85	0	0
Wdtc1	252.571429	0	875	893	0	0	0	0	0
Slc12a6	252.571429	0	231	424	0	902	211	0	0
Bin1	252.428571	0	670	541	0	556	0	0	0
Asb2	252.428571	0	636	785	0	346	0	0	0
Nol6	251.571429	0	821	857	0	83	0	0	0
Rangrf	251.142857	0	740	928	0	90	0	0	0
Brd7	251.142857	0	615	731	133	185	94	0	0
Btg1	250.571429	0	682	881	0	191	0	0	0
Pnrc2	250.428571	0	783	970	0	0	0	0	0
Pcsk2	250.428571	0	911	842	0	0	0	0	0
Slfn2	250.285714	0	372	552	0	648	180	0	0
Kctd6	250.285714	0	772	980	0	0	0	0	0
Emp1	250.285714	0	421	702	0	629	0	0	0
Dctn1	250.285714	0	861	773	0	118	0	0	0
Mmp24	249.857143	0	912	837	0	0	0	0	0
Gm21316	249.714286	0	903	845	0	0	0	0	0
Gm20924	249.714286	0	903	845	0	0	0	0	0
Agps	249.714286	0	760	886	0	102	0	0	0
Abhd6	249.714286	179	646	648	0	0	0	275	0
Rbm31y	249.571429	0	859	888	0	0	0	0	0
Gm21379	249.571429	0	859	888	0	0	0	0	0
Dner	249.428571	0	954	792	0	0	0	0	0
Eif4e	249.285714	0	0	0	157	1392	196	0	0
Sprr1a	248.857143	0	860	882	0	0	0	0	0
Lrrc25	248.571429	0	0	0	165	1321	254	0	0
Slc36a3	248.285714	0	430	476	0	687	145	0	0
Ptk2b	248.285714	0	531	712	0	495	0	0	0
Eml4	248.142857	0	664	545	0	222	0	306	0
Arsi	248.142857	0	906	831	0	0	0	0	0
Spop	248.000000	0	885	737	0	114	0	0	0
Rab43	247.714286	0	368	433	0	774	159	0	0
Ank2	247.714286	0	496	682	0	556	0	0	0
Arl13a	247.571429	0	763	970	0	0	0	0	0
Rhoj	247.428571	0	704	841	0	187	0	0	0
Mmp2	247.428571	0	829	791	0	112	0	0	0
Ccnt2	247.428571	0	285	413	0	861	173	0	0
Bco1	247.428571	0	878	854	0	0	0	0	0
Plek	247.285714	0	613	519	0	474	125	0	0
Tnks1bp1	246.571429	0	692	748	0	286	0	0	0
Cacna2d4	246.571429	0	943	783	0	0	0	0	0
Rps29	246.428571	0	679	662	0	281	103	0	0
Il31ra	246.285714	193	828	464	0	239	0	0	0
H1f2	245.714286	0	335	507	0	713	165	0	0
Zzz3	245.142857	0	742	860	0	114	0	0	0
Xirp1	244.857143	0	740	854	0	120	0	0	0
Flacc1	244.857143	0	894	820	0	0	0	0	0
Tmem260	244.714286	0	802	780	0	131	0	0	0
Oas1d	244.571429	0	813	899	0	0	0	0	0
Itgax	244.571429	0	682	686	0	344	0	0	0
Gda	244.571429	0	0	0	296	1416	0	0	0
Hrh4	244.285714	0	780	930	0	0	0	0	0
Mdga2	244.142857	0	879	830	0	0	0	0	0
Fut9	244.142857	0	950	759	0	0	0	0	0
Ankrd34a	244.142857	0	766	794	0	149	0	0	0
Zbtb45	244.000000	0	754	846	0	108	0	0	0
Stk40	244.000000	0	401	411	0	701	195	0	0
Kctd16	244.000000	0	918	790	0	0	0	0	0
Senp1	243.428571	0	570	682	0	352	100	0	0
Pfkm	243.428571	0	570	682	0	352	100	0	0
Zfp804b	243.285714	0	823	880	0	0	0	0	0
Tmigd1	243.285714	0	0	236	199	1046	222	0	0
Olfr527	243.285714	0	912	791	0	0	0	0	0
Abhd16a	243.142857	0	806	785	0	111	0	0	0
Cln3	242.714286	0	117	0	234	1091	257	0	0
Apobr	242.714286	0	117	0	234	1091	257	0	0
Mei4	242.428571	0	934	763	0	0	0	0	0
Tcf12	241.857143	0	158	187	318	737	293	0	0
Mideas	241.857143	0	503	647	0	344	199	0	0
Mapkapk2	241.714286	0	0	160	132	1110	290	0	0
Gm4868	241.428571	0	783	907	0	0	0	0	0
Lamc1	241.142857	0	766	743	0	179	0	0	0
Flt3	241.000000	0	931	756	0	0	0	0	0
Qser1	240.857143	0	143	287	120	950	186	0	0
Gas7	240.714286	0	295	388	0	828	174	0	0
Eapp	240.714286	0	0	0	261	912	512	0	0
Tmem219	240.571429	0	815	599	0	270	0	0	0
Atp6v1b1	240.428571	0	854	829	0	0	0	0	0
Phf21a	240.000000	0	845	835	0	0	0	0	0
Gm31186	240.000000	0	803	877	0	0	0	0	0
Gm21763	240.000000	0	803	877	0	0	0	0	0
Prkacb	239.428571	0	687	882	0	107	0	0	0
Psmg4	239.285714	0	638	854	0	183	0	0	0
Cd300e	239.285714	0	661	719	0	185	110	0	0
Stat5b	239.142857	0	373	325	0	717	259	0	0
Faah	238.714286	0	859	812	0	0	0	0	0
Necap1	238.571429	0	181	234	155	814	113	173	0
Gm7954	238.571429	0	808	862	0	0	0	0	0
Gm29317	238.571429	0	763	907	0	0	0	0	0
Gm28459	238.571429	0	763	907	0	0	0	0	0
Gm28093	238.571429	0	763	907	0	0	0	0	0
Gm21918	238.571429	0	763	907	0	0	0	0	0
Gm21908	238.571429	0	763	907	0	0	0	0	0
Gm21843	238.571429	0	763	907	0	0	0	0	0
Gm21810	238.571429	0	763	907	0	0	0	0	0
Gm21805	238.571429	0	763	907	0	0	0	0	0
Gm21753	238.571429	0	763	907	0	0	0	0	0
Gm21751	238.571429	0	763	907	0	0	0	0	0
Gm21745	238.571429	0	763	907	0	0	0	0	0
Gm21724	238.571429	0	763	907	0	0	0	0	0
Cdc42bpb	238.571429	0	0	0	141	1314	215	0	0
C8a	238.571429	0	911	759	0	0	0	0	0
Acaa2	238.142857	0	664	618	0	385	0	0	0
Akap3	238.000000	0	753	762	0	151	0	0	0
Wwox	237.714286	0	434	448	114	354	110	204	0
Wrap53	237.714286	0	681	855	0	128	0	0	0
Trp53	237.714286	0	681	855	0	128	0	0	0
Pdss1	237.714286	0	0	0	199	1177	288	0	0
Tubal3	237.571429	0	854	809	0	0	0	0	0
Ubr2	237.428571	0	0	0	225	1437	0	0	0
Otulin	237.285714	0	225	171	0	1009	256	0	0
Cxcl5	237.000000	0	937	722	0	0	0	0	0
Raet1d	236.857143	0	605	674	0	379	0	0	0
Adora3	236.857143	0	868	790	0	0	0	0	0
Zfp677	236.571429	0	665	991	0	0	0	0	0
Tctex1d2	236.428571	0	625	745	0	285	0	0	0
Polr3gl	236.428571	0	766	794	0	95	0	0	0
Nhsl1	236.428571	0	811	844	0	0	0	0	0
Cfap65	236.285714	0	768	886	0	0	0	0	0
Mrgpre	236.142857	0	875	778	0	0	0	0	0
Cp	236.000000	0	115	220	0	1076	241	0	0
Prss56	235.857143	0	259	238	162	805	187	0	0
Gm9376	235.571429	0	816	833	0	0	0	0	0
Cfap58	235.571429	0	665	678	0	306	0	0	0
Syn2	235.428571	0	731	917	0	0	0	0	0
Evl	235.428571	0	671	776	0	201	0	0	0
Ddx5	235.428571	0	412	900	74	186	76	0	0
Cep95	235.428571	0	412	900	74	186	76	0	0
Pik3cd	235.285714	0	466	587	0	485	109	0	0
Olfr16	235.000000	0	899	746	0	0	0	0	0
Hcfc2	235.000000	0	0	187	136	1053	269	0	0
Gpr34	235.000000	0	631	866	0	148	0	0	0
Ttc17	234.857143	0	741	763	0	140	0	0	0
