Target_genes	Rarb|Average	SRX993450|Caudate_putamen	STRING
Iqcm	451.000000	451	0
Gm1979	448.000000	448	0
Syt3	447.000000	447	0
Tg	444.000000	444	0
Iigp1	444.000000	444	0
Dlgap1	444.000000	444	0
Lrrtm1	443.000000	443	0
Tgfb2	441.000000	441	0
Gm7592	440.000000	440	0
Cse1l	440.000000	440	0
Trpm1	439.000000	439	0
Il31ra	438.000000	438	0
Fam71f1	438.000000	438	0
Scgb2b1	435.000000	435	0
Olfr677	435.000000	435	0
Mrgprh	435.000000	435	0
Mas1	435.000000	435	0
Ttf1	434.000000	434	0
Olfr1022	434.000000	434	0
Hlx	433.000000	433	0
Gtpbp8	433.000000	433	0
Gm3376	432.000000	432	0
Actrt2	432.000000	432	0
Spdye4b	431.000000	431	0
Rbak	431.000000	431	0
Gchfr	429.000000	429	0
Smg9	428.000000	428	0
Megf6	428.000000	428	0
Map4k4	428.000000	428	0
Carm1	428.000000	428	0
Rasal3	427.000000	427	0
Rpl11	426.000000	426	0
Eif4ebp2	426.000000	426	0
Dcpp1	426.000000	426	0
Pabpc5	425.000000	425	0
Eif2s3y	425.000000	425	0
Trim58	422.000000	422	0
Tex48	421.000000	421	0
Gm21704	421.000000	421	0
Gm21693	421.000000	421	0
Mup16	420.000000	420	0
Ciita	420.000000	420	0
Amotl1	420.000000	420	0
Pnma1	418.000000	418	0
Gpr33	418.000000	418	0
Prl3c1	417.000000	417	0
Pnp2	417.000000	417	0
Olfr292	417.000000	417	0
Accsl	417.000000	417	0
Snorc	416.000000	416	0
0610010F05Rik	416.000000	416	0
Cnga1	414.000000	414	0
Olfr761	412.000000	412	0
Ifna6	412.000000	412	0
Galnt2	412.000000	412	0
Acap1	412.000000	412	0
Phgr1	406.000000	406	0
Nop58	405.000000	405	0
Kcna3	405.000000	405	0
Gfpt2	404.000000	404	0
Fgf2	404.000000	404	0
Stra6	402.000000	402	0
Rnase4	402.000000	402	0
Klhl40	402.000000	402	0
Havcr2	402.000000	402	0
H2-Eb2	402.000000	402	0
Coro6	402.000000	402	0
Ang	402.000000	402	0
Sec22b	401.000000	401	0
Sbp	401.000000	401	0
Dcpp3	401.000000	401	0
Atp4a	399.000000	399	0
Pimreg	398.000000	398	0
Aipl1	398.000000	398	0
Gtf2a1l	397.000000	397	0
Ly6g2	396.000000	396	0
Fcrls	395.000000	395	0
Rxrg	392.000000	392	0
Ostn	392.000000	392	0
Tafa5	390.000000	390	0
Relt	390.000000	390	0
Retnla	389.000000	389	0
Meikin	389.000000	389	0
Hk1	389.000000	389	0
Cd22	389.000000	389	0
Nr3c1	388.000000	388	0
Pros1	387.000000	387	0
Pde4a	385.000000	385	0
Alx4	385.000000	385	0
Zbtb46	384.000000	384	0
S100a9	384.000000	384	0
Btrc	384.000000	384	0
Osbpl10	380.000000	380	0
Fmc1	379.000000	379	0
Cgn	379.000000	379	0
Olfr847	377.000000	377	0
Il1b	377.000000	377	0
Samd4	374.000000	374	0
Olfr1282	374.000000	374	0
Gm21308	374.000000	374	0
Gm20867	374.000000	374	0
Gm20816	374.000000	374	0
Adra1d	374.000000	374	0
Wipf2	372.000000	372	0
Mkrn2os	372.000000	372	0
Rftn2	371.000000	371	0
Otub2	371.000000	371	0
Olfr1168	371.000000	371	0
Gramd1b	370.000000	370	0
Btbd11	370.000000	370	0
Zfp846	369.000000	369	0
Gpr142	369.000000	369	0
Gm20823	369.000000	369	0
Gm20738	369.000000	369	0
Dytn	369.000000	369	0
Ripor3	368.000000	368	0
Echdc2	368.000000	368	0
Mnat1	367.000000	367	0
Gm3500	365.000000	365	0
Hsf3	364.000000	364	0
Heph	364.000000	364	0
Rasgef1a	363.000000	363	0
Cul7	363.000000	363	0
B3gat1	363.000000	363	0
Zfp692	362.000000	362	0
Olfr577	362.000000	362	0
Runx2	361.000000	361	0
Olig1	361.000000	361	0
Nps	361.000000	361	0
Gsta4	359.000000	359	0
Ascl3	359.000000	359	0
Abhd17c	359.000000	359	0
Cldn34a	357.000000	357	0
Tor1b	356.000000	356	0
Tmem52b	356.000000	356	0
Olr1	356.000000	356	0
Chpf2	356.000000	356	0
Cdh20	356.000000	356	0
Svs5	355.000000	355	0
Olfr1247	355.000000	355	0
Evc2	354.000000	354	0
Evc	354.000000	354	0
P2ry4	353.000000	353	0
Il20ra	353.000000	353	0
Gm17768	352.000000	352	0
Sorbs1	351.000000	351	0
Hpgds	351.000000	351	0
Olfr1338	349.000000	349	0
Olfr1129	349.000000	349	0
Fcrlb	348.000000	348	0
Alppl2	347.000000	347	0
Hoxb1	346.000000	346	0
Fam163a	344.000000	344	0
Pcm1	343.000000	343	0
Gm13547	343.000000	343	0
Chdh	343.000000	343	0
Ablim1	342.000000	342	0
Grip1	341.000000	341	0
Pon1	339.000000	339	0
Olfr902	339.000000	339	0
Oxtr	338.000000	338	0
Cbr3	338.000000	338	0
Klk1b3	336.000000	336	0
Olfr1061	334.000000	334	0
Dapp1	334.000000	334	0
Ifna13	333.000000	333	0
Toporsl	332.000000	332	0
Prss29	332.000000	332	0
Slc14a1	331.000000	331	0
Pnp	331.000000	331	0
Olfr222	331.000000	331	0
Sall3	328.000000	328	0
Rilpl2	328.000000	328	0
Ostf1	328.000000	328	0
Nmrk1	328.000000	328	0
Asb12	328.000000	328	0
Rbfox1	327.000000	327	0
Mmp24	327.000000	327	0
Trp53inp2	326.000000	326	0
Nol6	326.000000	326	0
Ly6l	326.000000	326	0
Lamp5	326.000000	326	0
Vit	325.000000	325	0
Srsf3	325.000000	325	0
Olfr1181	325.000000	325	0
Brinp1	324.000000	324	0
Ttc39c	323.000000	323	0
Veph1	322.000000	322	0
Ptf1a	322.000000	322	0
Mctp1	322.000000	322	0
Il12rb2	321.000000	321	0
Emcn	321.000000	321	0
Apol8	321.000000	321	0
Plek	320.000000	320	0
Cib4	320.000000	320	0
Stbd1	319.000000	319	0
Shisa6	319.000000	319	0
Cped1	319.000000	319	0
Ak5	319.000000	319	0
Afp	319.000000	319	0
Adrb1	319.000000	319	0
Tmem64	317.000000	317	0
Nfia	317.000000	317	0
Cdh26	317.000000	317	0
Rpl37rt	316.000000	316	0
Vmn1r198	315.000000	315	0
Ppp6r3	315.000000	315	0
Herc6	315.000000	315	0
Suclg2	314.000000	314	0
Dcaf12l2	314.000000	314	0
Slc29a3	313.000000	313	0
Olfr877	313.000000	313	0
Mocs1	313.000000	313	0
Kng1	313.000000	313	0
Klk1b9	313.000000	313	0
Klhl1	313.000000	313	0
Alox12b	313.000000	313	0
4932438A13Rik	313.000000	313	0
2210407C18Rik	313.000000	313	0
Vat1l	312.000000	312	0
Fbxo31	312.000000	312	0
Dnmt1	312.000000	312	0
Cer1	312.000000	312	0
Tlr3	310.000000	310	0
Ctnna3	309.000000	309	0
Xlr4a	307.000000	307	0
Vmn1r188	307.000000	307	0
Dmbt1	307.000000	307	0
Rassf9	306.000000	306	0
Ms4a20	306.000000	306	0
Dclk3	306.000000	306	0
Olfr1451	305.000000	305	0
Gm7356	305.000000	305	0
Crebzf	304.000000	304	0
Fut8	302.000000	302	0
Olfr967	301.000000	301	0
Mfsd9	301.000000	301	0
Intu	301.000000	301	0
Haus7	301.000000	301	0
Gm20868	301.000000	301	0
Ces2a	301.000000	301	0
Sele	299.000000	299	0
Rp1	299.000000	299	0
Insm1	299.000000	299	0
Fam107b	298.000000	298	0
Begain	298.000000	298	0
Stc2	293.000000	293	0
Mapk9	293.000000	293	0
Arpp21	293.000000	293	0
Znhit1	292.000000	292	0
Svep1	292.000000	292	0
Plod3	292.000000	292	0
Lmo3	292.000000	292	0
Ces1f	292.000000	292	0
Olfr749	291.000000	291	0
Grem1	291.000000	291	0
Cep295nl	291.000000	291	0
Poldip3	290.000000	290	0
Zfp108	289.000000	289	0
Vmn1r171	289.000000	289	0
Rtn4rl2	289.000000	289	0
Snx6	288.000000	288	0
Olfr552	288.000000	288	0
Mgat4c	288.000000	288	0
Gpr3	288.000000	288	0
Defb3	288.000000	288	0
Cd164l2	288.000000	288	0
Olfr547	287.000000	287	0
Ccdc170	287.000000	287	0
Rusc2	284.000000	284	0
Ly6a2	284.000000	284	0
Gm38510	284.000000	284	0
Fancd2os	283.000000	283	0
Brk1	283.000000	283	0
Tceal8	282.000000	282	0
Gfra2	282.000000	282	0
Cyp3a16	282.000000	282	0
Rad51d	279.000000	279	0
Knl1	279.000000	279	0
Fndc8	279.000000	279	0
Crisp1	279.000000	279	0
Adamts16	279.000000	279	0
Pgf	278.000000	278	0
Pcare	278.000000	278	0
Jsrp1	278.000000	278	0
Fam136a	278.000000	278	0
Paip1	277.000000	277	0
Esr1	277.000000	277	0
Timd2	275.000000	275	0
Olfr195	275.000000	275	0
Olfr1193	275.000000	275	0
Vmn2r1	274.000000	274	0
Synpr	274.000000	274	0
Olfr671	274.000000	274	0
Gsdmc2	274.000000	274	0
Gm20822	274.000000	274	0
Ccr5	274.000000	274	0
Cmah	272.000000	272	0
Nectin2	271.000000	271	0
Gm21316	270.000000	270	0
Gm20924	270.000000	270	0
Frmpd3	270.000000	270	0
Chgb	270.000000	270	0
Skint6	269.000000	269	0
Kcnf1	269.000000	269	0
Hnrnpul1	269.000000	269	0
Gm5795	269.000000	269	0
C1s2	269.000000	269	0
Sla2	268.000000	268	0
Gpn1	268.000000	268	0
Cdc23	268.000000	268	0
Siah2	267.000000	267	0
Olfr1246	267.000000	267	0
Fthl17f	267.000000	267	0
Nfix	266.000000	266	0
Mark4	266.000000	266	0
Exoc3l2	266.000000	266	0
Cbx4	265.000000	265	0
Mtus2	264.000000	264	0
Kif12	264.000000	264	0
Gria3	264.000000	264	0
Golga4	264.000000	264	0
Dsg1a	264.000000	264	0
Dgat2	264.000000	264	0
Strip1	262.000000	262	0
Ston2	261.000000	261	0
Sprr1a	261.000000	261	0
Smim23	261.000000	261	0
Scgb2b3	261.000000	261	0
Prr27	261.000000	261	0
Glo1	261.000000	261	0
Gcgr	261.000000	261	0
Foxl1	261.000000	261	0
Kif2b	260.000000	260	0
Phactr3	259.000000	259	0
Esyt1	259.000000	259	0
Zp1	258.000000	258	0
Tnfrsf18	257.000000	257	0
Hpd	257.000000	257	0
Kcnn1	255.000000	255	0
Gtf3c3	255.000000	255	0
Gm6588	255.000000	255	0
Sfi1	254.000000	254	0
Olfr1130	254.000000	254	0
Gm29317	254.000000	254	0
Gm28459	254.000000	254	0
Gm28093	254.000000	254	0
Gm21918	254.000000	254	0
Gm21908	254.000000	254	0
Gm21843	254.000000	254	0
Gm21810	254.000000	254	0
Gm21805	254.000000	254	0
Gm21753	254.000000	254	0
Gm21751	254.000000	254	0
Gm21745	254.000000	254	0
Gm21724	254.000000	254	0
Eif4enif1	254.000000	254	0
Actrt1	254.000000	254	0
Srpx2	253.000000	253	0
Slamf6	253.000000	253	0
Olfr1402	253.000000	253	0
Elavl2	253.000000	253	0
Asph	253.000000	253	0
Spata16	252.000000	252	0
Trarg1	251.000000	251	0
Rdh8	251.000000	251	0
Ppp4r3a	251.000000	251	0
Col5a3	251.000000	251	0
Sspn	250.000000	250	0
Zfp184	249.000000	249	0
Olfr315	249.000000	249	0
Gcm2	249.000000	249	0
Sema4a	248.000000	248	0
Prdx3	248.000000	248	0
Hnrnpa1l2-ps2	248.000000	248	0
Katna1	247.000000	247	0
Numb	246.000000	246	0
Musk	246.000000	246	0
Cd226	246.000000	246	0
Cd200r4	246.000000	246	0
9330159F19Rik	246.000000	246	0
Vnn1	244.000000	244	0
Irak3	244.000000	244	0
Cpvl	244.000000	244	0
Pqlc3	243.000000	243	0
Osmr	243.000000	243	0
Dctn3	243.000000	243	0
Cd14	243.000000	243	0
Zfp385b	242.000000	242	0
C8b	242.000000	242	0
Arhgdib	242.000000	242	0
D830030K20Rik	241.000000	241	0
Scaper	240.000000	240	0
Pdgfra	240.000000	240	0
Olfr971	240.000000	240	0
Klra4	240.000000	240	0
Klra18	240.000000	240	0
Klk1b16	240.000000	240	0
Gm21680	240.000000	240	0
Celf2	240.000000	240	0
Ap3s2	240.000000	240	0
Teddm2	239.000000	239	0
Rgsl1	239.000000	239	0
4930474N05Rik	239.000000	239	0
Tfpi	238.000000	238	0
Sema3g	238.000000	238	0
Pck2	238.000000	238	0
Olfr371	238.000000	238	0
Nos1	238.000000	238	0
Iqcf3	238.000000	238	0
Ddr2	238.000000	238	0
4930583I09Rik	238.000000	238	0
Srpk2	237.000000	237	0
Papln	237.000000	237	0
Zdhhc25	235.000000	235	0
Zcchc17	235.000000	235	0
Snrnp40	235.000000	235	0
Paqr5	235.000000	235	0
Nus1	235.000000	235	0
Mb	235.000000	235	0
Klra23	235.000000	235	0
Klra12	235.000000	235	0
Hsd3b3	235.000000	235	0
F11	235.000000	235	0
Cstdc6	235.000000	235	0
Cstdc4	235.000000	235	0
Rnf183	233.000000	233	0
Hpse2	233.000000	233	0
Gm45337	233.000000	233	0
Epb41l3	233.000000	233	0
Dennd1c	233.000000	233	0
Cyp2d9	233.000000	233	0
Zmynd11	232.000000	232	0
Rtl9	232.000000	232	0
Pomgnt2	232.000000	232	0
Olfr905	232.000000	232	0
Olfr1480	232.000000	232	0
Olfr1295	232.000000	232	0
Olfr1208	232.000000	232	0
Nrk	232.000000	232	0
Itm2a	232.000000	232	0
Hnrnpc	232.000000	232	0
Cep85	232.000000	232	0
Ott	231.000000	231	0
Olfr119	231.000000	231	0
Gm15107	231.000000	231	0
Gm15085	231.000000	231	0
9530002B09Rik	231.000000	231	0
Crebl2	229.000000	229	0
Shox2	228.000000	228	0
Cntnap5b	228.000000	228	0
Adamtsl1	228.000000	228	0
Tmc3	226.000000	226	0
Syp	226.000000	226	0
Nfe2	226.000000	226	0
Gm5820	226.000000	226	0
Gm5591	226.000000	226	0
Cacna1g	226.000000	226	0
Aars2	226.000000	226	0
Vmn1r175	225.000000	225	0
Nipsnap3a	225.000000	225	0
Il1rl1	225.000000	225	0
Ppp5c	224.000000	224	0
Hook1	224.000000	224	0
Gsdma	224.000000	224	0
Gpr176	224.000000	224	0
Pde6b	223.000000	223	0
Gm21469	223.000000	223	0
Gm20917	223.000000	223	0
Fzd9	223.000000	223	0
Dcpp2	223.000000	223	0
Dcaf7	223.000000	223	0
4921524J17Rik	223.000000	223	0
Orai1	222.000000	222	0
Cfap126	222.000000	222	0
Scn2a	221.000000	221	0
Psmd3	221.000000	221	0
Slc4a7	220.000000	220	0
Rtkn	220.000000	220	0
Oas1d	220.000000	220	0
Npr3	220.000000	220	0
Mad2l2	220.000000	220	0
Draxin	220.000000	220	0
Cyp2f2	220.000000	220	0
Ct55	220.000000	220	0
Camk1	220.000000	220	0
Bcat1	220.000000	220	0
Dux	219.000000	219	0
Aebp2	219.000000	219	0
Efna3	218.000000	218	0
Sult2a7	217.000000	217	0
Proca1	217.000000	217	0
Oaf	217.000000	217	0
Gpr174	217.000000	217	0
Zp3r	216.000000	216	0
Myl10	216.000000	216	0
Ms4a6b	216.000000	216	0
Mrpl21	216.000000	216	0
Ighmbp2	216.000000	216	0
Flrt2	216.000000	216	0
Zfp575	215.000000	215	0
Tnfsf8	215.000000	215	0
Rhou	215.000000	215	0
Pcdh8	215.000000	215	0
Olfr722	215.000000	215	0
Olfr575	215.000000	215	0
Ethe1	215.000000	215	0
Robo3	214.000000	214	0
En2	214.000000	214	0
Zfp759	213.000000	213	0
Ube2dnl2	213.000000	213	0
Ube2dnl1	213.000000	213	0
Slc34a2	213.000000	213	0
Olfr869	213.000000	213	0
Olfr1510	213.000000	213	0
Hemgn	213.000000	213	0
Cd300ld5	213.000000	213	0
Cd300ld4	213.000000	213	0
Cldn34d	212.000000	212	0
Xirp1	211.000000	211	0
Sntb1	211.000000	211	0
Slc39a12	211.000000	211	0
Ptgdr2	211.000000	211	0
Olfr558	211.000000	211	0
Olfr557	211.000000	211	0
Olfr1093	211.000000	211	0
Nxf3	211.000000	211	0
Mup3	211.000000	211	0
Mtrf1	211.000000	211	0
Magea3	211.000000	211	0
Il13ra2	211.000000	211	0
Hcrt	211.000000	211	0
Gm21671	211.000000	211	0
Ghdc	211.000000	211	0
C130073F10Rik	211.000000	211	0
Alox5ap	211.000000	211	0
Ces2b	210.000000	210	0
Atp2a1	210.000000	210	0
Apela	210.000000	210	0
Lcn10	209.000000	209	0
Frmd4a	209.000000	209	0
Cyp7a1	209.000000	209	0
P2ry1	207.000000	207	0
Ier2	207.000000	207	0
Fhl1	207.000000	207	0
Fabp12	207.000000	207	0
Eif4e1b	207.000000	207	0
Ifitm2	206.000000	206	0
Zfp791	205.000000	205	0
Tctex1d2	205.000000	205	0
Psg17	205.000000	205	0
Myl1	205.000000	205	0
Mrgprx1	205.000000	205	0
Lypd3	205.000000	205	0
Cibar2	205.000000	205	0
Avpi1	205.000000	205	0
Shank1	204.000000	204	0
Sema4b	204.000000	204	0
Clec11a	204.000000	204	0
Arf2	204.000000	204	0
Zfp710	203.000000	203	0
S100a11	203.000000	203	0
Myo18a	203.000000	203	0
Ankrd55	203.000000	203	0
Rpl34-ps1	202.000000	202	0
Rpl34	202.000000	202	0
Ifna7	202.000000	202	0
Arhgap15	202.000000	202	0
Sprr2f	201.000000	201	0
Smarca1	201.000000	201	0
Pdcd1lg2	201.000000	201	0
Cdc73	201.000000	201	0
Pla2g4f	200.000000	200	0
Slc4a4	199.000000	199	0
Fbxw8	199.000000	199	0
Fam53c	199.000000	199	0
Crybb1	199.000000	199	0
Cdc25c	199.000000	199	0
Rln3	198.000000	198	0
Pigz	198.000000	198	0
Il27ra	198.000000	198	0
Aurkb	198.000000	198	0
Vmn2r55	197.000000	197	0
Upb1	197.000000	197	0
Rab5if	197.000000	197	0
Pdlim2	197.000000	197	0
Olfr482	197.000000	197	0
Itgbl1	197.000000	197	0
Il17rc	197.000000	197	0
Hoxb3	197.000000	197	0
Foxg1	196.000000	196	0
Ucn3	195.000000	195	0
Slc41a3	195.000000	195	0
Sacm1l	195.000000	195	0
Parp4	195.000000	195	0
Olfr1431	195.000000	195	0
Cox7a1	195.000000	195	0
Coro2a	195.000000	195	0
Cenpj	195.000000	195	0
Ccdc65	195.000000	195	0
C1qtnf2	195.000000	195	0
Saa4	194.000000	194	0
Zcchc9	193.000000	193	0
Prelp	193.000000	193	0
Mars2	193.000000	193	0
Fam71a	193.000000	193	0
Entpd3	193.000000	193	0
Chic1	193.000000	193	0
Cat	193.000000	193	0
Nabp1	192.000000	192	0
Ston1	191.000000	191	0
Rasl11a	191.000000	191	0
Pdzd7	191.000000	191	0
Mrpl4	191.000000	191	0
Lpxn	191.000000	191	0
Ints8	191.000000	191	0
Homer3	191.000000	191	0
Epcam	191.000000	191	0
Cgrrf1	191.000000	191	0
Zfp119a	190.000000	190	0
Prr30	190.000000	190	0
Pbld1	190.000000	190	0
Olfr1337	190.000000	190	0
Olfr1098	190.000000	190	0
Olah	190.000000	190	0
Il22ra2	190.000000	190	0
Hsd3b2	190.000000	190	0
Chst5	190.000000	190	0
Cenpf	190.000000	190	0
Ccdc172	190.000000	190	0
Alms1	190.000000	190	0
Aldh1a7	190.000000	190	0
Scgb1b12	189.000000	189	0
Pdgfc	189.000000	189	0
Pcyt1a	189.000000	189	0
Parp10	189.000000	189	0
Lck	189.000000	189	0
Gm7347	189.000000	189	0
Cnrip1	189.000000	189	0
Cfap44	189.000000	189	0
Calcb	189.000000	189	0
4930438A08Rik	189.000000	189	0
Fam207a	188.000000	188	0
Zfp57	187.000000	187	0
Vdr	187.000000	187	0
Tmem237	187.000000	187	0
Slc2a2	187.000000	187	0
Lce3f	187.000000	187	0
Gnai3	187.000000	187	0
Gal3st2b	187.000000	187	0
Scn3a	186.000000	186	0
Rpl36al	186.000000	186	0
Ndufs7	186.000000	186	0
Mgat2	186.000000	186	0
H4f16	186.000000	186	0
H2aj	186.000000	186	0
Grem2	186.000000	186	0
Fam3c	186.000000	186	0
Emp2	186.000000	186	0
Clptm1l	186.000000	186	0
Tm7sf3	185.000000	185	0
Gm31186	185.000000	185	0
Gm21763	185.000000	185	0
Cadm1	185.000000	185	0
Cabp2	185.000000	185	0
Zfyve19	184.000000	184	0
Sry	184.000000	184	0
Sorl1	184.000000	184	0
Sbspon	184.000000	184	0
Mgrn1	184.000000	184	0
Gm11541	184.000000	184	0
Dnajc17	184.000000	184	0
Cuedc2	184.000000	184	0
Cel	184.000000	184	0
Ndufs5	183.000000	183	0
Upk1b	182.000000	182	0
Sytl2	182.000000	182	0
Slc7a7	182.000000	182	0
Sh3pxd2a	182.000000	182	0
Rttn	182.000000	182	0
Rffl	182.000000	182	0
Pcsk1	182.000000	182	0
Pax6	182.000000	182	0
Olfr658	182.000000	182	0
Npas1	182.000000	182	0
Mrpl52	182.000000	182	0
LOC102633783	182.000000	182	0
Ifi44l	182.000000	182	0
H2-Eb1	182.000000	182	0
Gmip	182.000000	182	0
Etv2	182.000000	182	0
Csn3	182.000000	182	0
Cav1	182.000000	182	0
A530021J07Rik	182.000000	182	0
Tmem125	180.000000	180	0
Slc4a5	180.000000	180	0
Slc22a1	180.000000	180	0
Sbno2	180.000000	180	0
Lsm6	180.000000	180	0
LOC100041593	180.000000	180	0
LOC100041504	180.000000	180	0
Gm13304	180.000000	180	0
Gm11213	180.000000	180	0
