Target_genes	Bach2|Average	SRX264235|CD4+_T_cells	SRX761324|CD4+_T_cells	SRX761325|CD4+_T_cells	SRX5396196|Lymph_Nodes	SRX5396197|Lymph_Nodes	SRX1629385|M1	SRX2200545|Pro-B_cells	SRX2200546|Pro-B_cells	STRING
Glrx	595.250000	370	0	0	0	0	209	2230	1953	0
Zfand5	593.875000	1514	1733	500	0	145	0	540	319	0
Tubb4b	592.750000	1475	1422	504	0	0	138	755	448	0
Lrrfip1	591.875000	766	742	155	330	443	143	1244	912	0
Pdpk1	591.375000	1792	148	152	0	0	448	1320	871	0
Atxn7l1	589.125000	301	306	132	121	131	741	1721	1260	0
Rab5if	587.375000	520	207	204	0	0	111	1854	1803	0
Ppp1r16b	585.625000	777	119	177	0	0	265	1837	1510	0
Amn1	582.875000	1190	250	0	394	688	331	1015	795	0
Unkl	582.500000	1623	919	0	0	0	0	1105	1013	0
Klc1	580.875000	1053	1448	235	0	0	161	1052	698	0
Rabggta	580.000000	1543	479	210	243	410	554	792	409	0
S100a3	579.500000	932	498	0	0	0	0	1655	1551	0
S100a2	579.500000	932	498	0	0	0	0	1655	1551	0
Clec9a	576.500000	0	0	0	0	0	220	2403	1989	0
Tubb5	574.875000	1662	0	0	220	126	263	1336	992	0
Mdc1	574.875000	1662	0	0	220	126	263	1336	992	0
Surf4	572.125000	1292	278	100	0	0	146	1615	1146	0
Stkld1	572.125000	1292	278	100	0	0	146	1615	1146	0
Akna	571.625000	706	0	0	0	0	258	1971	1638	0
Tmem125	563.250000	769	517	433	0	163	477	978	1169	0
AI413582	556.500000	924	181	188	0	0	0	1682	1477	0
Kmt2d	554.875000	2459	580	168	0	0	95	713	424	0
Acot7	553.500000	225	173	93	0	0	183	1996	1758	0
Mad1l1	551.125000	0	0	0	0	0	0	2309	2100	0
Rps6ka5	550.375000	303	113	119	0	0	325	2177	1366	0
Ptpn12	548.500000	529	0	142	0	0	479	1867	1371	0
Txn1	547.625000	1177	227	140	242	208	294	1112	981	0
F2rl2	540.875000	1003	343	0	0	180	0	1616	1185	0
Trpv4	540.750000	0	0	0	0	0	440	2066	1820	0
Srpk1	539.500000	327	98	233	0	0	303	1898	1457	0
Moxd2	538.375000	1748	172	0	143	206	110	1101	827	0
Ptpn18	535.875000	181	0	0	0	0	365	2068	1673	0
Znrf1	532.125000	290	0	0	0	0	0	2208	1759	0
Tmem79	531.125000	881	530	228	0	113	145	1340	1012	0
Smg5	531.125000	881	530	228	0	113	145	1340	1012	0
Fam110a	530.125000	1635	185	0	301	266	0	1059	795	0
H3c6	528.750000	421	1181	787	0	0	695	746	400	0
Snx18	522.750000	0	444	236	0	0	0	2169	1333	0
Eno1	520.875000	1656	175	180	0	0	177	1092	887	0
H2bc6	520.625000	416	1304	1357	0	0	544	347	197	0
Slc15a3	516.625000	0	0	0	0	0	0	2304	1829	0
Ctla2b	516.250000	924	257	0	0	0	194	1371	1384	0
G3bp1	514.375000	655	145	145	190	212	195	1401	1172	0
Cyb5a	513.750000	435	0	0	0	0	589	1693	1393	0
Kansl2	513.250000	282	157	146	0	0	354	1773	1394	0
Mxd3	512.250000	1518	221	150	0	0	175	1379	655	0
Cmip	511.750000	444	0	119	0	0	570	1598	1363	0
Tgif1	510.750000	790	1210	267	0	0	159	977	683	0
H1f6	509.875000	605	443	312	0	0	482	1311	926	0
Hspb7	509.125000	738	0	0	0	91	0	1933	1311	0
Tnip3	506.625000	571	278	0	0	174	160	1519	1351	0
Nup153	506.250000	1233	808	80	0	185	150	1050	544	0
St6gal1	501.875000	731	0	92	0	0	0	1781	1411	0
Cd28	498.750000	758	239	0	0	0	190	1499	1304	0
Clcnkb	497.750000	738	0	0	0	0	0	1933	1311	0
Nlrp1b	496.625000	506	0	0	0	0	0	2057	1410	0
Rbms1	495.125000	605	0	174	0	0	165	1819	1198	0
Itgb3	494.625000	566	169	148	0	0	612	1338	1124	0
Ccser2	493.500000	1111	478	114	131	116	192	1175	631	0
Mapk6	492.375000	450	182	109	0	138	151	1634	1275	0
Nqo1	492.125000	825	195	0	0	129	0	1510	1278	0
Zwint	490.250000	1187	150	0	167	216	214	1151	837	0
Ptgir	489.875000	0	0	0	0	0	359	1896	1664	0
Abcc4	483.750000	1175	193	151	0	0	837	778	736	0
Gdf15	481.500000	91	267	432	0	0	225	1610	1227	0
Foxb1	481.375000	1477	0	127	0	0	0	1192	1055	0
Mllt11	480.125000	1833	149	118	0	0	141	991	609	0
Cdc42se1	480.125000	1833	149	118	0	0	141	991	609	0
Trim80	476.500000	688	162	0	0	0	377	1557	1028	0
Mcoln2	473.000000	547	452	0	0	0	0	1485	1300	0
Trim69	472.875000	1610	0	0	0	0	350	1149	674	0
Fbxw8	472.250000	0	105	205	0	0	0	1997	1471	0
H1f4	467.500000	189	1304	1357	0	0	544	197	149	0
Zfp36	466.250000	475	513	204	0	127	0	1374	1037	0
Kcnab2	466.250000	1934	222	365	0	0	100	722	387	0
Il2	466.125000	294	0	0	0	0	236	1908	1291	459
H4c6	461.500000	191	1311	1364	0	0	438	246	142	0
H1f3	461.500000	191	1311	1364	0	0	438	246	142	0
Ctla2a	458.375000	911	377	0	0	0	0	1303	1076	0
Socs3	457.250000	1402	695	182	144	118	0	586	531	0
Gvin1	452.875000	1129	143	0	0	106	0	1356	889	0
Gm45915	452.875000	195	0	189	0	0	0	1907	1332	0
Gm4070	452.875000	1129	143	0	0	106	0	1356	889	0
Vcp	452.125000	886	1130	243	0	0	0	859	499	0
Tmem140	449.250000	1313	546	0	0	0	193	985	557	0
Coro6	447.875000	1138	425	132	0	0	107	1089	692	0
Mief1	445.250000	1534	289	192	370	560	0	423	194	0
Ino80	444.875000	1274	556	364	123	285	0	581	376	0
Marchf6	444.625000	0	0	0	0	0	0	1900	1657	0
Klrb1c	441.625000	0	0	0	0	0	0	2140	1393	0
Sirt7	439.750000	0	236	279	0	0	0	1593	1410	0
Pgd	438.125000	0	0	128	0	0	510	1715	1152	0
Traf2	437.750000	1321	188	116	342	454	0	656	425	0
Rab18	437.000000	138	269	68	0	0	979	1196	846	0
Rtel1	436.625000	1117	93	0	270	224	259	786	744	0
Kbtbd12	435.500000	167	145	0	0	0	376	1341	1455	0
Tbcel	435.375000	369	0	0	0	0	0	1704	1410	0
Adar	435.000000	1708	87	109	0	264	0	712	600	0
Glrp1	434.750000	186	0	0	0	0	0	1734	1558	0
Slc19a2	434.375000	384	0	95	0	0	0	1784	1212	0
Plaa	434.375000	1518	728	246	157	117	0	329	380	0
Arrb2	434.250000	190	202	104	0	0	0	1539	1439	0
Uba52	433.750000	1825	755	343	0	0	162	220	165	0
Rex1bd	433.750000	1825	755	343	0	0	162	220	165	0
Psmc2	432.500000	1247	694	313	0	0	0	749	457	0
Dnajc2	432.500000	1247	694	313	0	0	0	749	457	0
Angpt1	431.750000	725	0	0	0	0	341	1449	939	0
Nfe2l2	430.500000	1428	918	303	0	0	0	471	324	0
Pusl1	430.375000	429	121	173	0	0	300	1245	1175	0
Acap3	430.375000	429	121	173	0	0	300	1245	1175	0
H1f2	429.875000	216	1174	1246	0	0	387	224	192	0
Bspry	429.750000	393	141	156	0	0	0	1515	1233	0
Pde4b	429.375000	1177	94	0	0	0	231	1233	700	0
Sqstm1	429.250000	319	210	222	0	184	299	1165	1035	0
Cd82	423.625000	2375	248	0	0	174	0	332	260	0
Hsp90aa1	423.500000	0	117	263	0	0	0	1485	1523	0
Zfp91	423.000000	1128	164	132	202	413	0	857	488	0
Lpxn	423.000000	1128	164	132	202	413	0	857	488	0
Cmah	422.500000	210	0	0	0	0	283	1583	1304	0
Rab8b	422.000000	764	408	0	0	0	0	1402	802	0
Rbbp7	421.250000	668	0	0	0	0	0	1466	1236	0
Slc37a3	419.000000	833	175	172	166	0	0	1179	827	0
Rab19	419.000000	833	175	172	166	0	0	1179	827	0
Fam169a	419.000000	0	0	0	0	0	562	1726	1064	0
Mlec	418.250000	327	175	164	0	0	140	1396	1144	0
Pcyt1a	417.875000	842	852	228	0	0	162	741	518	0
St3gal2	417.375000	395	0	0	0	0	330	1620	994	0
Sspn	416.125000	462	725	764	0	0	0	691	687	0
Bank1	414.375000	453	104	0	0	0	173	1390	1195	0
Setd1b	413.875000	1079	372	0	0	0	233	856	771	0
Cdkn1a	413.250000	1029	855	144	0	0	117	550	611	0
Spef1l	412.875000	302	122	0	0	0	0	1516	1363	0
Stard3nl	411.500000	1238	547	156	0	0	0	837	514	0
Angptl6	411.500000	1128	571	311	0	0	0	691	591	0
Maco1	408.250000	692	581	234	0	0	0	969	790	0
Aqp9	403.125000	140	0	0	0	0	132	1747	1206	0
Oxsm	402.500000	756	319	138	0	0	153	1091	763	0
Wdyhv1	402.000000	190	89	0	0	0	481	1376	1080	0
Sp3	401.250000	503	222	263	0	0	0	1274	948	0
Vars	401.125000	187	158	269	0	0	0	1366	1229	0
D17H6S56E-5	401.125000	187	158	269	0	0	0	1366	1229	0
Eif3d	400.250000	620	228	156	342	640	103	564	549	0
Aox1	398.000000	947	305	0	0	0	413	661	858	0
Ndufa5	397.500000	1847	230	0	0	115	0	533	455	0
Asb15	397.500000	1847	230	0	0	115	0	533	455	0
Gjb5	396.125000	0	0	0	0	0	0	1520	1649	0
Gjb4	396.125000	0	0	0	0	0	0	1520	1649	0
Socs1	393.625000	207	120	175	0	0	347	1261	1039	0
D630003M21Rik	393.500000	131	0	0	0	0	0	1631	1386	0
Preb	391.000000	1277	490	250	167	0	0	562	382	0
Arhgdib	390.500000	602	308	0	0	0	0	1308	906	0
Notch1	387.375000	1410	100	0	0	0	142	943	504	0
Fam89b	386.875000	391	87	90	0	0	110	1384	1033	0
Ehbp1l1	386.875000	391	87	90	0	0	110	1384	1033	0
Psmc1	386.250000	556	476	237	0	0	0	1180	641	0
Rsad2	382.625000	286	0	0	0	0	238	1486	1051	0
Litaf	382.375000	0	0	100	0	0	0	1628	1331	0
Zswim7	379.500000	802	207	90	0	0	0	1037	900	0
Ttc19	379.500000	802	207	90	0	0	0	1037	900	0
Naa16	379.500000	889	179	130	0	0	263	931	644	0
Slc35e2	379.375000	0	218	99	0	0	222	1399	1097	0
Cisd2	377.625000	156	0	0	0	0	0	1652	1213	0
H4bc24	377.250000	376	591	546	0	146	445	480	434	0
H2bc23	377.250000	376	591	546	0	146	445	480	434	0
H2ac24	377.250000	376	591	546	0	146	445	480	434	0
H2ac23	377.250000	376	591	546	0	146	445	480	434	0
Rnf183	377.125000	398	0	0	0	0	174	1500	945	0
St7	376.000000	1583	0	0	0	0	0	914	511	0
Eif4ebp1	375.750000	581	148	134	0	0	279	1209	655	0
Pdlim7	374.000000	311	100	168	0	0	141	1218	1054	0
Numbl	372.125000	753	144	108	0	146	238	888	700	0
Secisbp2	372.000000	720	997	511	0	0	100	380	268	0
Zmynd8	371.625000	941	86	0	0	0	421	795	730	0
Rapgef1	368.750000	0	189	164	0	0	0	1285	1312	0
Osm	368.750000	542	0	0	0	0	0	1253	1155	0
Dgkg	366.250000	902	91	0	0	0	430	945	562	0
Gimap5	366.125000	873	212	0	503	624	0	330	387	0
Mtrf1	363.250000	889	179	0	0	0	263	931	644	0
Pim1	362.000000	642	102	155	462	714	0	512	309	0
H4c18	360.875000	376	591	415	0	146	445	480	434	0
Lmna	360.750000	617	189	191	0	0	132	960	797	0
Kpnb1	360.125000	0	184	129	0	0	0	1436	1132	0
Psmg1	359.875000	554	280	321	0	0	0	1130	594	0
Itprip	359.875000	1131	506	144	161	192	0	438	307	0
Psmd5	359.375000	241	266	130	0	0	0	1365	873	0
Cutal	359.375000	241	266	130	0	0	0	1365	873	0
Ptch1	359.125000	466	168	124	0	150	181	1078	706	0
Phf11c	358.125000	583	0	0	0	0	0	1350	932	0
Havcr2	356.875000	480	0	0	0	0	284	1277	814	0
Serpinb9g	356.625000	0	0	0	0	0	0	1606	1247	0
Pitpnm2	356.500000	299	0	0	0	0	0	1189	1364	0
Nrd1	355.875000	615	186	208	0	0	0	1007	831	0
Il31ra	355.875000	1092	517	735	0	0	0	211	292	0
Ppm1f	355.125000	677	284	133	0	0	464	939	344	0
Entpd4b	354.500000	1644	136	211	0	0	0	455	390	0
Entpd4	354.500000	1644	136	211	0	0	0	455	390	0
Tgm5	353.875000	0	0	0	0	0	0	1789	1042	0
Tctex1d4	353.750000	899	241	0	419	365	0	421	485	0
Btbd19	353.750000	899	241	0	419	365	0	421	485	0
Ldlrad4	353.500000	1270	0	0	0	0	104	837	617	0
Rhog	353.375000	760	283	0	614	752	0	248	170	0
H3c13	353.250000	364	663	555	0	0	555	376	313	0
H2bc18	353.250000	364	663	555	0	0	555	376	313	0
Phykpl	351.125000	408	0	186	0	0	0	1280	935	0
Ubxn8	350.000000	288	223	220	0	0	538	898	633	0
Rab7	349.125000	1519	84	107	0	0	127	527	429	0
Fbxo40	347.375000	494	0	0	0	0	363	1156	766	0
Dhrs9	347.000000	166	0	0	0	0	0	1426	1184	0
Asmt	346.125000	900	130	0	0	0	401	706	632	0
Fbxo30	344.750000	370	163	118	0	0	286	1267	554	0
Tbxas1	343.500000	0	0	0	0	0	123	1415	1210	0
Dthd1	343.375000	586	0	0	0	125	0	1210	826	0
Zp3	343.000000	316	0	0	0	0	0	1496	932	0
Ssc4d	343.000000	316	0	0	0	0	0	1496	932	0
Slc25a45	341.875000	1404	132	0	0	0	0	811	388	0
Oaf	341.875000	147	0	0	0	0	0	1536	1052	0
Frmd8	341.875000	1404	132	0	0	0	0	811	388	0
Pdss2	339.500000	0	106	0	0	0	0	1446	1164	0
Pik3cd	337.500000	471	173	0	0	0	0	1293	763	0
Srgn	337.250000	594	224	0	116	222	159	843	540	0
Cpsf1	336.875000	337	1009	848	0	0	0	296	205	0
Wdfy2	336.625000	1337	157	97	0	0	0	529	573	0
Vps18	335.875000	679	877	340	0	0	0	463	328	0
Emp1	335.750000	906	0	0	0	0	0	1098	682	0
H4c17	335.500000	359	553	546	0	0	403	448	375	0
Hrob	335.375000	816	0	0	0	0	139	927	801	0
Asf1a	334.375000	828	248	0	0	0	0	1025	574	0
Tial1	334.250000	1154	0	0	0	0	98	711	711	0
Nox1	334.250000	0	0	0	0	0	257	1362	1055	0
Kansl1l	334.250000	151	0	0	0	0	0	1327	1196	0
Gadd45g	334.000000	546	993	218	0	0	0	569	346	0
F2r	334.000000	507	412	197	0	0	0	855	701	0
Trpm2	333.000000	0	0	0	0	0	0	1419	1245	0
Tnfrsf26	332.625000	1332	355	0	0	0	0	513	461	0
Tfdp1	332.500000	0	74	0	0	0	199	1407	980	0
Zfp532	332.250000	0	0	0	0	0	0	1568	1090	0
C5ar1	331.125000	270	0	0	0	0	0	1364	1015	0
H3c8	330.750000	477	635	400	0	0	339	493	302	0
H2ac10	330.750000	477	635	400	0	0	339	493	302	0
H4c4	329.750000	416	690	571	0	0	417	347	197	0
Ldlrap1	329.625000	445	126	145	0	0	0	1253	668	0
Dennd2c	328.875000	214	103	120	0	0	0	1091	1103	0
Afmid	327.375000	1049	0	0	0	0	0	711	859	0
Atmin	327.250000	951	0	140	379	579	0	369	200	0
Gadd45a	326.125000	765	275	137	0	0	0	943	489	0
Taf7	325.500000	762	194	0	286	400	0	561	401	0
Lpin1	325.375000	825	198	0	0	0	0	873	707	0
Rock2	325.125000	629	900	203	0	0	0	536	333	0
Ngly1	324.875000	756	319	138	0	0	153	1091	142	0
Creld1	324.875000	297	115	109	0	0	0	1075	1003	0
Pgrmc2	324.250000	629	300	90	0	0	141	851	583	0
Tnrc6a	324.000000	561	137	195	0	0	170	930	599	0
Sertad2	323.875000	755	179	148	0	0	98	1008	403	0
Serpinb9	321.500000	279	244	93	0	0	150	1115	691	0
Smg9	321.125000	1157	178	170	0	0	0	714	350	0
Usp14	320.125000	473	997	446	0	0	0	402	243	0
Nfkbid	320.000000	438	195	224	0	0	367	799	537	0
Hcst	320.000000	438	195	224	0	0	367	799	537	0
Cers2	319.000000	0	120	118	0	0	0	1355	959	0
Anxa9	319.000000	0	120	118	0	0	0	1355	959	0
Gimap4	318.875000	252	0	0	0	0	0	1134	1165	0
Oas3	318.250000	937	84	0	0	87	0	884	554	0
Pafah2	316.875000	1025	0	0	0	0	165	847	498	0
H2bc12	316.750000	315	686	522	0	0	350	417	244	0
H2ac12	316.750000	315	686	522	0	0	350	417	244	0
Guk1	316.750000	1776	159	177	0	0	0	210	212	0
H6pd	316.375000	864	163	107	0	0	0	868	529	0
Scamp4	316.125000	1204	883	222	0	0	0	120	100	0
Mylk2	316.125000	404	0	0	0	0	0	1249	876	0
Adat3	316.125000	1204	883	222	0	0	0	120	100	0
H2bc4	315.875000	333	699	454	0	0	300	450	291	0
H2ac6	315.875000	333	699	454	0	0	300	450	291	0
H3c2	315.750000	312	628	631	0	0	380	395	180	0
H2ac4	315.750000	312	628	631	0	0	380	395	180	0
Adgrg1	315.750000	1305	0	0	0	0	0	632	589	0
Evi2a	315.625000	534	0	0	0	0	0	1052	939	0
Evi2	315.625000	534	0	0	0	0	0	1052	939	0
Bnip3	314.375000	314	0	144	0	0	0	1286	771	0
Chpf2	314.000000	167	190	137	0	0	0	1182	836	0
Armc3	313.750000	0	0	0	0	0	273	1169	1068	0
Nploc4	312.750000	697	651	304	0	111	155	373	211	0
H3c7	312.750000	172	746	638	0	0	482	276	188	0
H2bc9	312.750000	172	746	638	0	0	482	276	188	0
Dot1l	312.250000	151	130	135	142	359	0	841	740	0
Rph3al	311.875000	511	0	0	0	0	225	1135	624	0
Ccl3	311.250000	0	0	0	0	0	0	1327	1163	0
Psmd11	310.875000	720	680	386	0	0	0	423	278	0
Olfm2	310.500000	551	541	203	0	0	0	599	590	0
Oser1	310.375000	741	593	170	299	230	0	186	264	0
Mtf2	309.000000	374	468	361	0	0	0	695	574	0
Cd7	308.875000	1145	0	0	0	0	151	774	401	0
Dsn1	308.375000	461	133	169	0	0	0	1170	534	0
Dgkh	308.250000	546	137	0	0	0	256	998	529	0
Atf6	307.375000	340	0	0	0	0	0	1166	953	0
B4galnt4	306.125000	936	0	0	0	0	260	791	462	0
Bcl2l1	304.875000	980	128	139	256	201	0	383	352	0
Tram1	304.250000	1092	202	193	0	0	0	658	289	0
Ubb	303.500000	927	251	0	0	0	0	766	484	0
Ttc41	303.250000	416	0	0	202	279	0	860	669	0
Meig1	303.250000	0	0	0	0	0	221	1365	840	0
Hsp90b1	303.250000	416	0	0	202	279	0	860	669	0
Dclre1c	303.250000	0	0	0	0	0	221	1365	840	0
Kpna2	302.750000	259	130	74	0	0	0	1178	781	0
Xpot	301.500000	440	521	236	138	0	0	556	521	0
Gadd45b	301.250000	513	175	0	474	604	153	332	159	0
H3c15	301.125000	259	557	522	0	0	393	420	258	0
