Target_genes	Hoxa9|Average	SRX7135172|Acute_myeloid_leukemia	SRX7416185|Embryoid_Bodies	SRX7416186|Embryoid_Bodies	SRX110439|Myeloblastic_cell_lines	SRX110442|Myeloblastic_cell_lines	SRX11174682|Unclassified	SRX11174683|Unclassified	SRX11174684|Unclassified	SRX11174686|Unclassified	SRX11174687|Unclassified	STRING
Ccn1	369.400000	0	2127	1567	0	0	0	0	0	0	0	0
Gpnmb	366.500000	0	100	0	0	0	1586	647	530	802	0	0
Ppp1r12a	365.400000	0	226	116	0	0	2270	0	0	1042	0	0
Hoxa2	365.100000	0	2011	1640	0	0	0	0	0	0	0	0
Hoxa1	365.100000	0	2011	1640	0	0	0	0	0	0	0	0
Glb1l3	364.900000	0	0	0	0	0	2655	0	0	994	0	0
Abca13	364.600000	96	0	0	0	0	2343	117	209	881	0	0
St7	364.300000	131	697	929	0	0	1365	0	0	521	0	0
Icmt	364.200000	0	1880	1762	0	0	0	0	0	0	0	0
Hes3	364.200000	0	1880	1762	0	0	0	0	0	0	0	0
4430402I18Rik	361.800000	136	2161	1211	0	0	110	0	0	0	0	0
Nkx2-2	360.900000	0	1768	1841	0	0	0	0	0	0	0	0
Cdk2ap2	360.100000	0	0	72	0	0	2274	327	0	928	0	0
Cdca8	358.900000	106	2260	1223	0	0	0	0	0	0	0	0
9930104L06Rik	358.900000	106	2260	1223	0	0	0	0	0	0	0	0
Trio	358.600000	0	1808	1561	0	0	217	0	0	0	0	0
Birc6	357.100000	59	0	0	0	0	2353	0	213	946	0	0
Cd53	356.400000	1155	0	0	0	0	1469	281	0	659	0	0
Ube2r2	353.300000	0	241	316	0	494	1564	0	0	918	0	0
Hoxa6	352.900000	0	1607	1549	0	0	199	0	0	174	0	0
Hsdl2	351.400000	142	1832	1540	0	0	0	0	0	0	0	0
Wdr18	350.000000	0	1600	1783	0	0	117	0	0	0	0	0
Fam181a	347.600000	0	1497	1979	0	0	0	0	0	0	0	0
Ccdc182	346.700000	0	1685	1782	0	0	0	0	0	0	0	0
Gfra3	345.500000	0	2015	1440	0	0	0	0	0	0	0	0
G2e3	345.500000	0	1800	1509	0	0	146	0	0	0	0	0
Cacna1c	344.900000	192	2280	977	0	0	0	0	0	0	0	0
Gabpb1	343.800000	0	0	0	0	0	2022	603	0	813	0	0
Clasp2	343.800000	0	1590	1762	0	0	0	0	0	86	0	0
Dip2b	343.500000	0	1533	469	0	0	1066	0	0	367	0	0
Il33	341.000000	0	211	132	0	0	2154	0	0	913	0	0
Msh5	340.600000	164	336	1254	0	0	738	0	0	914	0	0
Clic1	340.600000	164	336	1254	0	0	738	0	0	914	0	0
Epc1	340.400000	0	734	478	0	0	1525	0	0	667	0	0
Rab27a	338.300000	0	1259	1845	0	0	279	0	0	0	0	0
Clec5a	338.000000	0	0	0	0	101	2191	550	0	538	0	0
Elmo2	336.600000	0	1280	1395	0	0	423	0	0	268	0	0
Fam174a	336.500000	0	2427	938	0	0	0	0	0	0	0	0
Cd28	336.000000	0	0	0	0	0	2237	211	0	912	0	0
Rnf4	334.400000	269	402	966	0	0	1023	0	0	684	0	0
Pdcd4	334.300000	173	135	0	0	0	1664	494	180	697	0	0
Map4	334.200000	0	1947	1395	0	0	0	0	0	0	0	0
Olfr646	333.100000	0	1868	1463	0	0	0	0	0	0	0	0
Dcaf11	332.500000	0	287	1014	0	0	1034	0	0	990	0	0
Rhobtb1	332.000000	118	0	258	0	0	1940	0	0	1004	0	0
Csrnp3	332.000000	0	1714	1606	0	0	0	0	0	0	0	0
A930033H14Rik	332.000000	118	0	258	0	0	1940	0	0	1004	0	0
Crlf2	331.900000	0	718	1256	0	0	601	0	0	744	0	0
Ttr	331.300000	0	2532	781	0	0	0	0	0	0	0	0
Vapb	331.000000	0	1688	1622	0	0	0	0	0	0	0	0
Fbxw7	330.100000	101	1408	1449	0	0	174	0	0	169	0	0
Tbp	330.000000	207	196	633	0	0	1311	0	0	953	0	0
Psmb1	330.000000	207	196	633	0	0	1311	0	0	953	0	0
Wt1	329.800000	0	1610	1688	0	0	0	0	0	0	0	0
Hdx	328.900000	0	3289	0	0	0	0	0	0	0	0	0
Sbf2	328.500000	0	0	0	0	0	2220	160	0	905	0	0
Gm14092	328.200000	0	2012	1270	0	0	0	0	0	0	0	0
Rara	327.500000	0	1280	1579	0	0	243	0	0	173	0	0
Atp6ap2	327.400000	0	0	351	0	0	1658	0	0	1265	0	0
Cntnap2	326.400000	0	2203	1061	0	0	0	0	0	0	0	0
Hoxb8	326.300000	0	1858	565	0	0	398	0	0	442	0	0
Hoxb7	326.300000	0	1858	565	0	0	398	0	0	442	0	0
Bend4	326.300000	0	2475	788	0	0	0	0	0	0	0	0
Ntn4	326.200000	0	180	264	0	0	2125	0	0	693	0	0
Ptger2	325.600000	0	1389	1435	0	0	300	0	0	132	0	0
Emp3	325.300000	165	761	592	0	0	864	138	0	733	0	0
Atic	325.300000	0	1955	1151	0	0	147	0	0	0	0	0
Rnf165	325.200000	0	1407	1845	0	0	0	0	0	0	0	0
Ubxn4	324.600000	148	329	235	0	0	1579	0	153	802	0	0
Dennd1a	323.700000	0	0	128	0	0	2279	106	0	724	0	0
Ss18l2	320.800000	136	329	1058	0	0	882	0	0	803	0	0
Zbtb5	320.100000	0	294	468	0	0	1500	247	0	568	124	0
Blnk	319.700000	0	0	0	0	0	2000	0	134	1063	0	0
Scn1a	319.500000	0	1305	1890	0	0	0	0	0	0	0	0
Ndnf	319.500000	0	2133	1062	0	0	0	0	0	0	0	0
Myo10	317.800000	0	1558	1620	0	0	0	0	0	0	0	0
Olfr1044	317.700000	279	0	0	0	0	2123	0	169	606	0	0
Maml3	317.500000	0	1559	1391	0	0	137	0	0	88	0	0
Mmp27	317.300000	557	0	0	0	0	1258	501	358	410	89	0
Crb1	316.400000	0	1023	2141	0	0	0	0	0	0	0	0
Poglut3	316.200000	0	846	2316	0	0	0	0	0	0	0	0
Lrrc18	315.900000	0	2026	1133	0	0	0	0	0	0	0	0
Hoxa5	315.600000	0	1607	1549	0	0	0	0	0	0	0	0
C77080	315.600000	0	0	0	0	0	2125	316	0	715	0	0
Baalc	314.500000	0	1065	2080	0	0	0	0	0	0	0	0
Galr3	311.400000	0	1439	1502	0	0	173	0	0	0	0	0
Kmt5a	309.700000	186	1543	1368	0	0	0	0	0	0	0	0
Acot4	309.000000	1034	189	0	0	116	1070	315	0	366	0	0
Ntn1	308.900000	0	1824	1265	0	0	0	0	0	0	0	0
Hhip	306.000000	0	1499	1561	0	0	0	0	0	0	0	0
Cbfa2t3	304.900000	172	1110	1096	0	0	304	192	0	175	0	0
Sqor	304.600000	238	877	1931	0	0	0	0	0	0	0	0
Krt222	304.100000	0	1948	1093	0	0	0	0	0	0	0	0
Cyrib	303.500000	277	155	0	0	0	1429	0	773	401	0	0
Adipor2	303.500000	0	1007	963	0	0	898	0	0	167	0	0
Hand1	302.900000	0	1543	1486	0	0	0	0	0	0	0	0
Angpt1	302.400000	0	345	531	0	0	1414	322	0	412	0	0
H6pd	302.000000	0	1140	1111	0	112	464	0	0	193	0	0
Ttc21a	301.700000	0	0	0	0	106	2063	151	0	697	0	0
Gorasp1	301.700000	0	0	0	0	106	2063	151	0	697	0	0
Mecom	301.300000	0	1603	1410	0	0	0	0	0	0	0	0
LTO1	300.500000	316	995	1542	0	0	152	0	0	0	0	0
Hoxa3	300.400000	0	1555	1076	0	0	199	0	0	174	0	0
Phox2b	300.200000	0	1241	1761	0	0	0	0	0	0	0	0
Dennd1b	299.600000	282	194	255	0	0	1247	455	182	381	0	0
Skil	298.300000	212	904	1867	0	0	0	0	0	0	0	0
Gm15517	296.900000	0	1325	1094	0	0	134	416	0	0	0	0
Tbc1d10b	295.800000	1028	884	653	0	0	251	0	0	142	0	0
Slc27a4	295.800000	0	2229	729	0	0	0	0	0	0	0	0
Mylpf	295.800000	1028	884	653	0	0	251	0	0	142	0	0
Mbp	295.200000	0	1721	994	0	0	237	0	0	0	0	0
Ankrd22	294.400000	0	0	0	0	0	1870	226	119	729	0	0
Itk	293.500000	0	0	0	0	0	2143	0	0	792	0	0
Zfp143	293.300000	148	1392	1020	0	0	266	0	0	107	0	0
Zdhhc17	292.200000	0	243	0	0	0	1970	0	0	709	0	0
Tekt3	291.000000	0	0	0	0	0	1950	425	0	535	0	0
Wipi1	290.200000	0	87	209	0	0	1886	0	0	720	0	0
Art3	290.200000	0	1512	1390	0	0	0	0	0	0	0	0
Tnfaip8	289.500000	514	166	0	0	0	1497	176	0	542	0	0
Slc25a29	287.800000	124	0	0	0	116	1689	198	135	616	0	0
Nebl	287.400000	0	1450	1424	0	0	0	0	0	0	0	0
Atp6v0d1	287.300000	295	0	224	0	125	1170	388	152	519	0	0
Agrp	287.300000	295	0	224	0	125	1170	388	152	519	0	0
Zfp1	286.500000	0	242	184	0	0	1384	586	0	469	0	0
Mcidas	286.000000	0	0	0	0	0	1969	0	356	535	0	0
Pou2f1	285.300000	209	1562	627	0	0	455	0	0	0	0	0
Wipf1	285.200000	213	1368	879	0	0	279	0	0	113	0	0
Snx5	283.800000	154	84	506	0	0	1434	0	190	470	0	0
Mgme1	283.800000	154	84	506	0	0	1434	0	190	470	0	0
Eps8	283.100000	0	2079	752	0	0	0	0	0	0	0	0
Sstr2	282.300000	0	1815	1008	0	0	0	0	0	0	0	0
Oxr1	280.800000	0	1238	829	0	0	517	0	0	224	0	0
Acot7	280.700000	0	588	512	0	0	769	527	310	101	0	0
Abca16	280.600000	0	2094	712	0	0	0	0	0	0	0	0
Rnase11	280.000000	0	986	1690	0	0	124	0	0	0	0	0
Ppp1ccb	279.900000	0	1321	1478	0	0	0	0	0	0	0	0
Parl	279.400000	804	0	0	0	0	1568	0	0	422	0	0
Trcg1	277.800000	0	0	0	0	0	1863	0	232	683	0	0
P4ha3	277.800000	0	1776	1002	0	0	0	0	0	0	0	0
Crp	277.700000	0	1369	1408	0	0	0	0	0	0	0	0
Sytl3	276.500000	596	743	306	0	0	956	0	0	164	0	0
Gm4791	276.500000	0	1333	1432	0	0	0	0	0	0	0	0
Ccbe1	276.200000	0	1642	1120	0	0	0	0	0	0	0	0
Dhrs7c	275.300000	0	179	449	0	0	1419	200	0	506	0	0
Dnah5	275.200000	0	1792	960	0	0	0	0	0	0	0	0
Fzd8	273.300000	0	1018	1715	0	0	0	0	0	0	0	0
Txndc11	272.900000	99	1120	1169	0	0	203	0	0	138	0	0
Nup107	272.500000	157	976	915	0	0	402	0	0	275	0	0
Yaf2	272.100000	137	159	0	0	129	1618	0	323	355	0	0
Foxp2	271.600000	0	1328	1388	0	0	0	0	0	0	0	0
Rgs18	271.300000	118	0	0	0	0	1611	605	0	379	0	0
Grpel2	270.400000	0	1605	941	0	0	158	0	0	0	0	0
Vmn2r23	270.000000	0	938	1762	0	0	0	0	0	0	0	0
Ptn	270.000000	0	1667	1033	0	0	0	0	0	0	0	0
Sspn	269.900000	363	0	0	0	0	626	418	380	631	281	0
Ptprr	269.300000	0	245	160	0	0	1817	0	0	471	0	0
Oxnad1	269.100000	0	1167	1154	0	0	263	0	0	107	0	0
Mad2l1	269.100000	229	980	656	0	0	511	0	0	315	0	0
Elfn2	269.100000	0	148	156	0	0	1524	346	0	517	0	0
Dph3	269.100000	0	1167	1154	0	0	263	0	0	107	0	0
Lsamp	268.500000	0	2121	564	0	0	0	0	0	0	0	0
Dbx2	268.300000	0	1268	1415	0	0	0	0	0	0	0	0
Nap1l4	267.900000	0	739	782	0	0	694	0	0	464	0	0
Rnase12	267.600000	0	986	1690	0	0	0	0	0	0	0	0
Slc39a11	266.800000	0	1209	1076	0	0	383	0	0	0	0	0
Abcc4	266.800000	0	1640	395	0	0	497	0	0	136	0	0
Pdia5	266.700000	0	1105	1562	0	0	0	0	0	0	0	0
Pira7	265.200000	161	0	0	0	89	1288	281	596	237	0	0
Pira6	265.200000	161	0	0	0	89	1288	281	596	237	0	0
Pira4	265.200000	161	0	0	0	89	1288	281	596	237	0	0
Pira11	265.200000	161	0	0	0	89	1288	281	596	237	0	0
Gm14548	265.200000	161	0	0	0	89	1288	281	596	237	0	0
Angptl7	265.100000	0	1704	947	0	0	0	0	0	0	0	0
Nedd9	264.900000	121	1081	811	0	0	462	0	0	174	0	0
Psd3	264.400000	0	1178	1125	0	0	341	0	0	0	0	0
Skida1	263.700000	0	1461	1176	0	0	0	0	0	0	0	0
Fyb	263.400000	0	0	0	0	0	1161	669	0	562	242	0
Muc6	262.900000	0	1270	1359	0	0	0	0	0	0	0	0
Hoxb6	262.600000	0	1302	1155	0	0	169	0	0	0	0	0
Abr	262.300000	0	688	1317	0	0	489	129	0	0	0	0
Sox6	262.100000	0	1425	1196	0	0	0	0	0	0	0	0
Phactr3	261.600000	0	1503	1113	0	0	0	0	0	0	0	0
Zfp945	261.400000	0	554	1030	0	160	495	0	0	375	0	0
Lysmd3	260.400000	0	1335	1269	0	0	0	0	0	0	0	0
Hnrnpa1l2-ps2	259.900000	0	1302	1297	0	0	0	0	0	0	0	0
Hjurp	259.500000	559	0	106	0	0	1162	0	0	768	0	0
A730008H23Rik	259.500000	559	0	106	0	0	1162	0	0	768	0	0
Hibadh	259.400000	126	1452	773	0	0	122	0	0	121	0	0
9430069I07Rik	258.000000	0	0	0	0	0	1749	244	195	392	0	0
Olfr298	257.200000	0	1097	1475	0	0	0	0	0	0	0	0
Copz1	256.600000	0	1662	904	0	0	0	0	0	0	0	0
Pbx1	256.300000	0	1766	797	0	0	0	0	0	0	0	0
Olfr593	255.900000	0	0	0	0	0	2004	0	0	555	0	0
Sem1	255.600000	0	218	0	0	0	1724	0	0	614	0	0
Ubqln2	255.400000	0	1431	1123	0	0	0	0	0	0	0	0
Zfp91	255.300000	0	135	0	0	0	1664	187	0	567	0	0
Lpxn	255.300000	0	135	0	0	0	1664	187	0	567	0	0
Nin	255.100000	797	791	497	0	0	466	0	0	0	0	0
Tex14	254.800000	767	788	379	0	118	354	0	0	142	0	0
Rnf213	254.000000	0	0	0	0	0	1899	0	196	445	0	0
Ndc1	253.000000	0	0	124	0	0	1539	199	0	668	0	0
Atg2a	252.600000	773	417	1336	0	0	0	0	0	0	0	0
Tshz3	251.800000	0	1121	1397	0	0	0	0	0	0	0	0
Gpr155	251.600000	0	0	0	0	0	1988	0	0	528	0	0
Zfand3	251.400000	0	1250	1166	0	0	0	0	0	98	0	0
Ccr2	250.800000	134	0	0	0	128	937	658	0	352	299	0
Shc1	250.700000	68	129	553	0	0	1354	0	0	403	0	0
Cks1b	250.700000	68	129	553	0	0	1354	0	0	403	0	0
Atg4c	250.700000	0	1331	1176	0	0	0	0	0	0	0	0
Ermn	250.500000	0	1221	1284	0	0	0	0	0	0	0	0
Col4a2	250.500000	0	1043	1462	0	0	0	0	0	0	0	0
Col4a1	250.500000	0	1043	1462	0	0	0	0	0	0	0	0
Fam160a2	250.100000	152	0	0	0	0	1814	0	0	535	0	0
Asic4	250.000000	0	1251	1249	0	0	0	0	0	0	0	0
Mad2l2	249.500000	0	1379	1116	0	0	0	0	0	0	0	0
Draxin	249.500000	0	1379	1116	0	0	0	0	0	0	0	0
Drd2	249.400000	0	889	1605	0	0	0	0	0	0	0	0
Meis3	249.300000	0	1052	1441	0	0	0	0	0	0	0	0
Arx	249.200000	0	0	0	0	0	1940	0	0	552	0	0
Tcim	248.600000	0	1225	1261	0	0	0	0	0	0	0	0
Rtn4	248.100000	399	144	284	0	0	724	0	0	930	0	0
Actn4	247.000000	112	1103	1255	0	0	0	0	0	0	0	0
Urm1	246.700000	1539	338	334	0	0	177	0	0	79	0	0
Foxp1	246.400000	166	587	817	0	0	571	138	0	185	0	0
Shisa3	246.200000	0	1179	1283	0	0	0	0	0	0	0	0
Lrrfip1	246.200000	211	280	1096	0	0	466	0	0	409	0	0
Gopc	246.200000	0	0	0	0	0	1902	0	0	560	0	0
Atp5g2	245.500000	0	1540	636	0	0	279	0	0	0	0	0
Fer	245.400000	156	1256	1042	0	0	0	0	0	0	0	0
Tgif1	245.300000	752	524	984	0	0	193	0	0	0	0	0
Oasl1	245.000000	0	0	0	295	341	310	396	544	325	239	0
Nkx2-9	245.000000	0	955	1495	0	0	0	0	0	0	0	0
Chchd5	244.900000	125	859	706	0	0	623	0	0	136	0	0
Zfp426	244.800000	0	0	0	0	0	1881	0	0	567	0	0
Ptpre	244.600000	310	796	948	0	0	307	0	0	85	0	0
Ccdc174	244.500000	117	648	1510	0	0	170	0	0	0	0	0
Srf	244.200000	459	0	127	0	0	918	252	268	418	0	0
Arhgap15	244.000000	1010	418	207	0	0	676	0	0	129	0	0
Inpp4a	243.900000	0	171	0	0	0	1526	151	0	591	0	0
Atg12	243.900000	175	0	0	0	0	1288	422	355	199	0	0
Ap3s1	243.900000	175	0	0	0	0	1288	422	355	199	0	0
Stox2	242.800000	0	907	1521	0	0	0	0	0	0	0	0
Flad1	242.600000	197	74	507	0	0	1024	0	0	624	0	0
0610009B22Rik	242.200000	0	782	1140	0	0	327	0	0	173	0	0
Mnx1	242.100000	0	1485	936	0	0	0	0	0	0	0	0
Kmt5c	241.800000	0	911	1158	0	0	199	0	0	150	0	0
Slc9b2	241.300000	0	1644	769	0	0	0	0	0	0	0	0
Crisp2	241.300000	0	0	0	0	0	1974	0	0	439	0	0
Radil	240.100000	0	1704	697	0	0	0	0	0	0	0	0
Vamp9	239.700000	0	1162	1235	0	0	0	0	0	0	0	0
Pik3r4	239.200000	0	1334	1058	0	0	0	0	0	0	0	0
Tlk1	238.800000	0	1455	933	0	0	0	0	0	0	0	0
Gm19774	238.600000	0	0	0	0	0	1795	0	117	474	0	0
Krtap19-1	238.200000	0	1733	649	0	0	0	0	0	0	0	0
Mtif3	238.100000	335	1147	899	0	0	0	0	0	0	0	0
Pex2	238.000000	0	1109	933	0	0	194	0	0	144	0	0
Sgpp1	237.300000	0	1056	756	0	0	417	0	0	144	0	0
Cux1	237.200000	0	824	1548	0	0	0	0	0	0	0	0
Slc27a3	236.900000	0	0	0	0	0	1831	0	0	538	0	0
Crybg3	236.400000	0	1082	1102	0	0	180	0	0	0	0	0
Spata17	236.300000	0	164	0	0	0	1717	0	0	482	0	0
Gpatch2	236.300000	0	164	0	0	0	1717	0	0	482	0	0
Ift46	236.200000	351	623	1063	0	0	241	0	0	84	0	0
Mycl	235.700000	0	1222	1135	0	0	0	0	0	0	0	0
Slc9a9	235.600000	0	1292	936	0	0	128	0	0	0	0	0
Osbp	235.600000	114	473	476	0	0	937	0	0	356	0	0
Aktip	235.100000	100	1061	965	0	0	117	0	0	108	0	0
Atp8a1	234.700000	0	1531	519	0	0	297	0	0	0	0	0
Lyrm9	234.300000	0	1114	1229	0	0	0	0	0	0	0	0
Slc22a4	234.100000	1022	0	0	0	230	845	0	0	244	0	0
Ctu1	233.300000	0	0	0	0	0	1707	0	95	531	0	0
Retnlb	232.900000	0	0	0	0	0	1820	0	0	509	0	0
Hspa9	232.400000	0	269	706	0	0	310	608	280	151	0	0
Megf10	232.300000	0	1131	1192	0	0	0	0	0	0	0	0
Trib2	232.000000	0	1091	1229	0	0	0	0	0	0	0	0
Oxct2b	232.000000	0	0	0	0	0	1787	0	0	533	0	0
A630001G21Rik	231.700000	185	0	0	0	89	892	461	166	433	91	0
Exoc1	231.400000	212	139	687	0	0	712	0	0	564	0	0
Aff3	231.300000	0	1441	872	0	0	0	0	0	0	0	0
Asmt	230.400000	167	109	0	0	101	478	266	243	653	287	0
Egr2	230.300000	0	712	1591	0	0	0	0	0	0	0	0
Slc34a1	230.100000	0	0	0	0	0	1370	0	282	649	0	0
Klrc1	230.100000	0	0	0	0	0	1724	0	0	577	0	0
Fbp2	230.100000	0	332	337	0	0	1200	159	0	273	0	0
Srrt	229.900000	0	1399	771	0	129	0	0	0	0	0	0
Nol4l	229.900000	0	1158	1141	0	0	0	0	0	0	0	0
Actg1	229.800000	0	814	1484	0	0	0	0	0	0	0	0
Smad1	229.700000	0	1234	1063	0	0	0	0	0	0	0	0
Evi5l	229.100000	0	714	1194	0	0	210	0	0	173	0	0
Vps13c	229.000000	530	0	0	0	0	1044	277	88	351	0	0
Zkscan1	228.700000	0	849	746	0	0	510	0	0	182	0	0
