Target_genes	Rara|Average	SRX018669|ES_cells	SRX10562781|ES_cells	SRX208055|ES_cells	SRX208062|ES_cells	SRX520462|F9	SRX520468|F9	SRX520474|F9	SRX520479|F9	SRX3301664|Forelimb	SRX3301665|Forelimb	SRX4369776|Germline_stem_cells	SRX4369779|Germline_stem_cells	SRX4369782|Germline_stem_cells	SRX4369785|Germline_stem_cells	SRX337439|Liver	SRX018670|mESC_derived_neural_cells	SRX118692|mESC_derived_neural_cells	SRX118693|mESC_derived_neural_cells	SRX675957|Th1_Cells	STRING
Kat7	139.157895	0	249	195	144	0	1154	83	139	0	0	0	0	0	0	268	0	412	0	0	0
H4c1	137.105263	0	0	715	629	0	230	0	0	0	0	0	0	0	0	817	0	0	214	0	0
Abl1	136.842105	0	141	0	0	0	1225	123	127	0	0	88	0	0	0	258	171	467	0	0	0
H3c11	136.473684	0	131	967	835	0	273	0	0	0	0	0	0	0	0	387	0	0	0	0	0
H2bc22	136.473684	0	131	967	835	0	273	0	0	0	0	0	0	0	0	387	0	0	0	0	0
H2ac22	136.473684	0	131	967	835	0	273	0	0	0	0	0	0	0	0	387	0	0	0	0	0
Ifna13	135.684211	289	0	257	135	238	0	183	168	0	0	149	0	0	0	427	254	161	0	317	0
Klf2	134.210526	0	186	174	187	90	1125	99	111	0	0	0	0	0	0	578	0	0	0	0	0
Mycn	133.684211	0	0	118	0	494	151	421	610	0	0	0	0	0	0	390	0	0	356	0	0
Slc43a1	133.157895	0	382	0	0	100	1189	81	100	0	0	0	0	0	0	0	0	678	0	0	0
Ier5	133.052632	0	0	258	191	426	0	513	269	0	0	0	0	0	0	871	0	0	0	0	0
Baz1b	132.368421	85	341	93	0	87	838	0	159	0	0	0	0	0	0	321	0	591	0	0	0
H3c3	132.105263	0	0	964	1009	0	209	0	0	0	0	0	0	0	0	207	0	121	0	0	0
H2bc3	132.105263	0	0	964	1009	0	209	0	0	0	0	0	0	0	0	207	0	121	0	0	0
Cd44	131.421053	0	0	0	0	619	206	592	763	0	0	0	0	0	0	0	0	0	317	0	0
Ect2	131.368421	0	153	102	107	0	1082	145	156	0	0	0	0	0	0	0	0	751	0	0	0
Poldip3	131.052632	0	165	441	525	260	0	97	379	0	150	0	0	0	0	473	0	0	0	0	0
H4bc24	130.947368	0	130	650	701	0	0	0	0	0	0	0	0	0	0	1007	0	0	0	0	0
H2bc23	130.947368	0	130	650	701	0	0	0	0	0	0	0	0	0	0	1007	0	0	0	0	0
H2ac24	130.947368	0	130	650	701	0	0	0	0	0	0	0	0	0	0	1007	0	0	0	0	0
H2ac23	130.947368	0	130	650	701	0	0	0	0	0	0	0	0	0	0	1007	0	0	0	0	0
Pmepa1	130.631579	0	453	0	0	0	1347	62	0	0	0	0	0	0	0	0	0	620	0	0	0
H3c8	130.631579	0	0	764	700	0	210	0	0	0	0	0	0	0	0	808	0	0	0	0	0
Nek2	130.210526	0	191	139	155	0	528	0	126	278	73	120	0	0	0	433	95	336	0	0	0
Ier2	129.736842	0	118	219	270	0	454	103	114	0	0	0	0	0	0	1034	0	153	0	0	0
Rhobtb1	129.684211	0	255	0	0	0	1681	130	112	0	0	0	0	0	0	286	0	0	0	0	0
A930033H14Rik	129.684211	0	255	0	0	0	1681	130	112	0	0	0	0	0	0	286	0	0	0	0	0
H1f5	129.578947	0	0	967	835	0	273	0	0	0	0	0	0	0	0	387	0	0	0	0	0
Mreg	129.368421	0	240	148	0	0	810	102	99	0	0	0	0	0	0	253	0	806	0	0	0
H4c18	129.263158	0	130	618	701	0	0	0	0	0	0	0	0	0	0	1007	0	0	0	0	0
Taf12	128.947368	0	196	503	535	0	0	0	0	108	340	0	0	0	0	768	0	0	0	0	0
Vgll2	128.052632	0	0	0	0	733	202	498	735	0	0	0	0	0	0	0	0	0	265	0	0
Adam5	127.315789	0	0	0	0	528	0	607	826	0	0	0	0	0	0	160	0	0	298	0	0
P4ha3	126.631579	0	0	0	0	792	0	528	643	0	0	0	0	0	0	0	0	0	443	0	0
Ncmap	126.578947	91	390	0	0	130	805	121	132	0	0	0	0	0	0	0	0	736	0	0	0
Taf4	126.421053	0	0	422	471	0	340	0	0	0	0	0	0	0	0	1010	0	159	0	0	0
Ttpal	126.315789	0	353	167	0	0	816	0	121	0	0	0	0	0	0	429	0	514	0	0	0
Dppa2	125.894737	0	448	0	0	0	1187	139	132	0	0	0	0	0	0	0	0	486	0	0	0
H3c15	125.263158	0	0	613	456	0	0	0	0	0	0	0	0	0	0	1311	0	0	0	0	0
H3c14	125.263158	0	0	613	456	0	0	0	0	0	0	0	0	0	0	1311	0	0	0	0	0
H2ac19	125.263158	0	0	613	456	0	0	0	0	0	0	0	0	0	0	1311	0	0	0	0	0
H2ac18	125.263158	0	0	613	456	0	0	0	0	0	0	0	0	0	0	1311	0	0	0	0	0
H4f16	125.052632	0	82	676	470	0	0	169	0	0	0	0	0	0	0	873	0	0	106	0	0
H2aj	125.052632	0	82	676	470	0	0	169	0	0	0	0	0	0	0	873	0	0	106	0	0
Hspa5	124.736842	0	130	367	272	0	228	0	0	84	152	79	0	0	0	1058	0	0	0	0	0
Dchs2	124.631579	320	0	498	256	0	0	88	0	0	0	208	0	0	0	397	422	0	0	179	0
H4c11	124.578947	0	0	843	883	0	0	0	0	0	0	0	0	0	0	641	0	0	0	0	0
Sub1	123.368421	0	0	364	245	0	614	0	0	0	0	0	0	0	0	936	0	185	0	0	0
Cyth4	123.210526	0	0	0	0	742	0	582	802	0	0	0	0	0	0	0	0	0	215	0	0
Dusp9	122.684211	0	509	0	0	0	1207	93	119	0	0	0	0	0	0	0	0	403	0	0	0
Rnf19b	121.789474	0	0	385	170	64	456	0	0	0	0	0	0	0	0	921	0	318	0	0	0
Ing1	121.631579	0	0	428	360	0	175	0	0	0	0	0	0	0	0	1348	0	0	0	0	0
Jund	121.157895	0	0	504	334	0	141	0	0	0	0	0	0	0	0	1323	0	0	0	0	0
Iqcn	121.157895	0	0	504	334	0	141	0	0	0	0	0	0	0	0	1323	0	0	0	0	0
Itga5	120.368421	0	226	86	0	0	815	96	119	0	0	0	0	0	0	265	0	680	0	0	0
Adgre5	120.368421	0	204	0	0	77	691	84	108	0	0	0	0	0	0	166	0	957	0	0	0
Fam24b	120.210526	0	0	0	0	633	119	629	667	0	0	0	0	0	0	0	0	0	236	0	0
Phf5a	119.315789	0	306	91	0	0	1138	79	100	0	0	0	0	0	0	265	0	288	0	0	0
Aco2	119.315789	0	306	91	0	0	1138	79	100	0	0	0	0	0	0	265	0	288	0	0	0
H2ac4	118.631579	0	0	1108	931	0	0	0	0	0	0	0	0	0	0	215	0	0	0	0	0
Malt1	118.526316	249	0	0	0	521	246	262	245	0	0	0	0	0	0	212	0	0	517	0	0
Nodal	118.368421	0	272	77	0	111	1210	106	0	0	0	0	0	0	0	0	0	473	0	0	0
Gtpbp4	117.947368	0	149	183	105	72	705	113	73	0	0	0	0	0	0	322	0	519	0	0	0
Mettl14	117.842105	0	0	96	147	497	209	476	421	0	0	0	0	0	0	208	0	0	185	0	0
Ifitm7	117.684211	0	390	151	0	0	1113	0	0	0	0	0	0	0	0	0	0	582	0	0	0
Bmerb1	117.684211	0	390	151	0	0	1113	0	0	0	0	0	0	0	0	0	0	582	0	0	0
Sgf29	117.526316	0	165	403	290	0	846	121	0	0	0	0	0	0	0	278	0	130	0	0	0
Crebzf	117.526316	307	0	238	226	181	0	151	204	0	0	0	0	0	0	404	326	0	196	0	0
Rnf13	117.000000	0	0	122	0	165	975	104	294	0	0	0	0	0	0	282	0	281	0	0	0
Prkdc	116.631579	176	0	131	117	485	178	231	300	0	0	0	0	0	0	249	0	0	349	0	0
Ap3s2	116.000000	0	135	120	0	457	308	365	374	0	0	0	0	0	0	264	0	181	0	0	0
Trib3	115.421053	0	0	119	0	630	0	560	564	0	0	0	0	0	0	0	0	125	195	0	0
H4c9	115.421053	0	0	634	642	0	0	0	0	0	0	0	0	0	0	917	0	0	0	0	0
H2bc11	115.421053	0	0	634	642	0	0	0	0	0	0	0	0	0	0	917	0	0	0	0	0
H2ac11	115.421053	0	0	634	642	0	0	0	0	0	0	0	0	0	0	917	0	0	0	0	0
Nabp1	114.894737	0	0	365	296	0	219	0	0	0	0	0	0	0	0	1303	0	0	0	0	0
Nfyb	114.842105	0	168	173	136	0	914	0	0	0	0	0	0	0	0	535	0	256	0	0	0
Srsf3	114.000000	0	0	344	272	200	0	222	355	0	0	0	0	0	0	773	0	0	0	0	0
Fbxo6	113.684211	0	313	0	0	77	876	94	0	0	0	0	0	0	0	187	0	613	0	0	0
H1f2	113.263158	0	93	513	495	0	209	0	0	0	0	0	0	0	0	721	0	121	0	0	0
Rusc1	113.210526	91	326	0	0	0	436	0	90	267	226	0	0	0	0	170	0	545	0	0	0
Foxp1	113.052632	0	251	0	0	0	956	0	80	297	145	86	0	0	0	123	0	210	0	0	0
Gm20594	113.000000	173	0	0	0	0	0	0	0	0	0	518	587	0	164	480	225	0	0	0	0
H3c13	112.631579	0	0	846	608	0	0	0	0	0	0	0	0	0	0	686	0	0	0	0	0
H2bc18	112.631579	0	0	846	608	0	0	0	0	0	0	0	0	0	0	686	0	0	0	0	0
Galnt2	112.578947	0	0	0	0	241	901	286	305	0	0	0	0	0	0	0	0	406	0	0	0
Tm7sf3	112.157895	0	208	0	0	123	894	140	152	0	0	0	0	0	0	0	0	614	0	0	0
H2bc21	112.105263	0	0	509	543	0	0	0	0	0	0	0	0	0	0	1078	0	0	0	0	0
H2ac21	112.105263	0	0	509	543	0	0	0	0	0	0	0	0	0	0	1078	0	0	0	0	0
H2ac20	112.105263	0	0	509	543	0	0	0	0	0	0	0	0	0	0	1078	0	0	0	0	0
H3c1	112.000000	0	0	715	629	0	230	0	0	0	0	0	0	0	0	340	0	0	214	0	0
H1f1	112.000000	0	0	715	629	0	230	0	0	0	0	0	0	0	0	340	0	0	214	0	0
H2bc4	111.947368	0	0	874	714	0	0	0	0	0	0	0	0	0	0	539	0	0	0	0	0
H2ac6	111.947368	0	0	874	714	0	0	0	0	0	0	0	0	0	0	539	0	0	0	0	0
Dlg4	111.631579	0	0	0	0	545	0	490	435	0	0	0	0	0	0	388	0	0	263	0	0
H2ax	111.421053	0	0	557	503	0	0	0	0	0	0	0	0	0	0	1057	0	0	0	0	0
Sfi1	111.368421	0	287	950	507	0	0	180	192	0	0	0	0	0	0	0	0	0	0	0	0
C1qbp	111.210526	0	197	117	0	117	1444	67	0	0	0	0	0	0	0	171	0	0	0	0	0
Zdhhc18	111.157895	0	349	0	0	106	823	0	107	0	0	0	0	0	0	0	0	727	0	0	0
Abr	110.947368	137	0	0	0	263	762	193	159	0	0	0	0	0	0	0	154	440	0	0	0
Zfp827	110.631579	0	412	0	0	79	1134	93	0	0	0	0	0	0	0	0	0	384	0	0	0
Gja4	110.631579	0	0	0	0	505	268	470	528	0	0	0	0	0	0	140	0	0	191	0	0
Ttk	110.421053	0	302	136	0	130	1096	160	137	0	0	0	0	0	0	0	0	137	0	0	0
Ccin	110.105263	0	0	0	0	445	0	507	458	0	0	0	0	0	0	524	0	0	158	0	0
Icam1	109.526316	0	222	185	0	0	580	0	0	0	0	0	0	0	0	540	0	554	0	0	0
Evi5	109.105263	0	0	100	84	0	829	64	108	0	0	0	0	0	0	533	0	355	0	0	0
H4c12	109.052632	0	194	697	648	0	0	0	0	0	0	0	0	0	0	533	0	0	0	0	0
H2bc15	109.052632	0	194	697	648	0	0	0	0	0	0	0	0	0	0	533	0	0	0	0	0
H2ac15	109.052632	0	194	697	648	0	0	0	0	0	0	0	0	0	0	533	0	0	0	0	0
Hnrnpab	108.368421	0	0	415	356	0	220	0	0	0	0	0	0	0	0	989	0	79	0	0	0
H4c17	108.368421	0	0	650	543	0	0	0	0	0	0	0	0	0	0	866	0	0	0	0	0
Bmt2	108.315789	0	0	80	0	0	605	81	0	216	161	86	0	0	0	487	0	342	0	0	0
H2bc12	107.421053	0	0	872	909	0	0	0	0	0	0	0	0	0	0	260	0	0	0	0	0
H2ac12	107.421053	0	0	872	909	0	0	0	0	0	0	0	0	0	0	260	0	0	0	0	0
Foxo3	107.263158	0	0	0	0	0	1071	171	70	0	0	0	0	0	0	726	0	0	0	0	0
Klf4	107.052632	0	0	0	0	413	206	537	477	0	0	0	0	0	0	139	0	0	262	0	0
Rgs18	106.631579	0	0	0	0	535	0	682	657	0	0	0	0	0	0	0	0	0	152	0	0
H4c6	106.578947	0	0	518	521	175	0	124	236	0	0	0	0	0	0	451	0	0	0	0	0
Ppdpf	106.263158	0	332	127	0	0	470	0	124	87	0	0	0	0	0	548	0	331	0	0	0
Gtf2a1	106.052632	0	0	700	487	0	0	0	0	0	0	0	0	0	0	828	0	0	0	0	0
Gstp2	105.473684	0	0	0	0	0	628	127	81	0	0	0	0	0	0	570	0	598	0	0	0
Nudt4	105.421053	0	0	174	0	59	495	0	123	0	0	0	0	0	0	842	0	310	0	0	0
Dedd	105.421053	0	609	104	0	0	603	76	99	0	77	0	0	0	0	67	0	368	0	0	0
Aadacl2fm1	105.421053	0	0	307	346	0	252	0	0	0	0	0	0	0	0	607	0	491	0	0	0
Rarg	105.000000	0	214	0	0	0	976	0	119	178	0	0	0	0	0	0	0	508	0	0	0
H1f4	104.894737	0	0	475	532	0	0	0	0	0	0	0	0	0	0	986	0	0	0	0	0
Fam53c	104.842105	0	114	466	346	0	0	0	0	0	0	0	0	113	0	953	0	0	0	0	0
Arrdc2	104.684211	0	0	341	327	0	0	0	0	0	0	0	0	0	0	1321	0	0	0	0	0
Hspb8	104.631579	0	166	0	0	0	645	0	0	0	0	0	0	0	0	812	0	365	0	0	0
Creld1	104.473684	0	0	179	0	0	915	0	0	0	0	0	0	0	0	698	0	193	0	0	0
Gm3448	104.263158	0	160	826	665	0	0	0	0	0	0	0	0	0	0	330	0	0	0	0	0
Gm3417	104.263158	0	160	826	665	0	0	0	0	0	0	0	0	0	0	330	0	0	0	0	0
Plk3	103.894737	0	0	96	0	0	643	80	196	0	0	0	0	0	0	818	0	141	0	0	0
H3c4	103.421053	0	85	843	763	0	0	0	0	0	0	0	0	0	0	274	0	0	0	0	0
H2bc8	103.421053	0	85	843	763	0	0	0	0	0	0	0	0	0	0	274	0	0	0	0	0
H2bc7	103.421053	0	85	843	763	0	0	0	0	0	0	0	0	0	0	274	0	0	0	0	0
H2ac8	103.421053	0	85	843	763	0	0	0	0	0	0	0	0	0	0	274	0	0	0	0	0
H2ac7	103.421053	0	85	843	763	0	0	0	0	0	0	0	0	0	0	274	0	0	0	0	0
Dcaf4	103.421053	0	391	0	0	0	1041	0	0	0	0	0	0	0	0	0	0	533	0	0	0
Rsrp1	103.157895	0	0	297	349	0	128	0	0	0	0	0	0	0	0	1186	0	0	0	0	0
Slc29a1	103.000000	0	557	118	0	0	690	129	66	0	0	0	0	0	0	126	0	271	0	0	0
Mymx	103.000000	0	557	118	0	0	690	129	66	0	0	0	0	0	0	126	0	271	0	0	0
H3c10	102.368421	0	0	824	857	0	0	0	0	0	0	0	0	0	0	264	0	0	0	0	0
H2bc14	102.368421	0	0	824	857	0	0	0	0	0	0	0	0	0	0	264	0	0	0	0	0
H2bc13	102.368421	0	0	824	857	0	0	0	0	0	0	0	0	0	0	264	0	0	0	0	0
H2ac13	102.368421	0	0	824	857	0	0	0	0	0	0	0	0	0	0	264	0	0	0	0	0
Smc3	102.315789	0	0	361	327	0	410	0	0	0	0	0	0	0	0	727	0	119	0	0	0
Btg2	102.210526	0	0	411	245	0	0	0	0	0	0	0	0	0	0	1286	0	0	0	0	0
Cited2	102.000000	0	0	338	187	0	329	0	0	0	0	0	0	0	0	968	0	116	0	0	0
Mphosph9	101.947368	0	0	548	349	0	0	0	0	0	0	0	0	0	0	1040	0	0	0	0	0
2810006K23Rik	101.947368	0	0	548	349	0	0	0	0	0	0	0	0	0	0	1040	0	0	0	0	0
Fbxo31	101.210526	0	396	85	0	171	106	356	176	0	0	0	0	0	0	363	0	0	270	0	0
Ubb	101.157895	0	0	506	468	0	0	0	0	0	0	0	0	0	0	948	0	0	0	0	0
Sumo1	101.000000	0	0	182	103	236	262	294	460	0	0	0	0	0	0	382	0	0	0	0	0
Asph	100.736842	0	0	194	72	346	0	412	421	0	0	0	0	0	0	469	0	0	0	0	0
