Target_genes	Tal1|Average	SRX1056345|416B	SRX209469|Bone_Marrow_Cells	SRX079889|Embryonic_erythroblasts	SRX079890|Embryonic_erythroblasts	SRX145062|Embryonic_erythroblasts	SRX3889815|Embryonic_erythroblasts	SRX3889816|Embryonic_erythroblasts	SRX181747|Embryonic_megakaryocytes	SRX757571|ES_cells	SRX757572|ES_cells	SRX079861|G1E	SRX079862|G1E	SRX1030248|G1E	SRX1030249|G1E	SRX1030250|G1E	SRX145059|G1E	SRX1030252|G1E-ER4+E2	SRX1030253|G1E-ER4+E2	SRX1030254|G1E-ER4+E2	SRX1030255|G1E-ER4+E2	SRX1030256|G1E-ER4+E2	SRX1030257|G1E-ER4+E2	SRX1030258|G1E-ER4+E2	SRX1030259|G1E-ER4+E2	SRX1030260|G1E-ER4+E2	SRX1030261|G1E-ER4+E2	SRX145056|G1E-ER4+E2	SRX9290341|G1E-ER4+E2	SRX9290342|G1E-ER4+E2	SRX9290343|G1E-ER4+E2	SRX9290344|G1E-ER4+E2	SRX9290345|G1E-ER4+E2	SRX9290346|G1E-ER4+E2	SRX9290347|G1E-ER4+E2	SRX9290348|G1E-ER4+E2	SRX9290349|G1E-ER4+E2	SRX9290350|G1E-ER4+E2	SRX9290355|G1E-ER4+E2	SRX9290356|G1E-ER4+E2	SRX9290357|G1E-ER4+E2	SRX9290358|G1E-ER4+E2	SRX9290359|G1E-ER4+E2	SRX9290360|G1E-ER4+E2	SRX9290361|G1E-ER4+E2	SRX9290362|G1E-ER4+E2	SRX035991|Hematopoietic_progenitors	SRX7821060|Hematopoietic_progenitors	SRX180160|Hematopoietic_Stem_Cells	SRX180161|Hematopoietic_Stem_Cells	SRX1939449|Lymphoid-primed_multipotent_progenitors	SRX310207|Mast_Cells	SRX145058|MEL	SRX282674|MEL	SRX006799|mESC_derived_haematopoietic_progenitor	SRX006800|mESC_derived_haematopoietic_progenitor	SRX1035385|mESC_derived_haematopoietic_progenitor	SRX1035390|mESC_derived_haematopoietic_progenitor	SRX1035400|mESC_derived_haematopoietic_progenitor	SRX1035406|mESC_derived_macrophages	SRX282665|mESC_derived_mesodermal_cells	SRX282666|mESC_derived_mesodermal_cells	SRX282670|mESC_derived_mesodermal_cells	SRX2911513|mESC_derived_mesodermal_cells	SRX2911514|mESC_derived_mesodermal_cells	SRX757574|mESC_derived_mesodermal_cells	STRING
Isca1	871.400000	2216	653	1251	1780	2188	3157	3131	744	0	0	436	2358	374	440	471	2467	260	230	95	171	466	230	265	247	463	333	583	0	720	1362	2171	2214	1241	1163	1058	0	0	0	1962	0	0	579	312	238	853	900	484	1095	1651	484	2564	2966	727	241	0	0	314	304	0	2510	1568	919	566	253	213	0
Rpp25	823.384615	2640	466	1159	1675	2047	3151	3304	205	0	0	1113	2720	208	315	308	2939	0	0	0	228	0	141	94	0	198	0	539	0	399	611	1411	1429	642	581	649	0	0	0	1312	0	0	321	137	0	372	986	0	1309	2046	0	2838	3017	1185	299	241	221	803	419	0	2814	2526	1126	1342	365	669	0
Tmcc2	817.538462	175	843	1839	2345	2208	3062	3219	399	0	0	1946	2704	193	384	445	2913	0	0	129	213	169	175	160	228	306	475	1110	0	1196	1990	2638	2674	1667	1827	1513	179	0	176	2932	0	0	1479	661	440	1113	1333	0	0	0	0	0	2834	1308	0	0	0	0	297	0	761	332	150	0	0	0	0
Zmynd8	810.446154	2018	1117	1564	2187	2379	3240	3223	847	0	0	342	1387	0	0	0	1519	0	0	111	225	96	0	122	129	303	209	1306	0	801	1276	2071	1978	1639	1491	1179	142	0	0	2209	0	0	657	402	219	1121	1660	417	1540	1540	419	841	2938	633	0	0	0	515	350	0	2028	1029	339	699	0	222	0
Cldn34d	809.692308	289	226	1583	2140	2005	2431	2483	938	338	436	703	868	0	0	0	1229	0	0	0	60	0	0	0	0	0	147	728	786	1298	1251	1303	1136	1504	1223	1455	759	576	352	1474	830	918	1132	1426	1062	1225	519	1946	216	1046	1900	899	2001	196	174	148	238	594	761	713	2087	1218	636	159	226	639	0
Smdt1	803.107692	2158	928	418	1382	1807	2957	3051	191	0	0	1358	2593	146	218	342	2845	102	0	0	192	244	166	123	116	201	100	804	0	1127	1457	2398	2089	1363	1594	986	165	0	0	2459	0	0	776	508	393	740	1256	0	0	1387	0	1503	2689	1338	0	0	0	280	451	0	1940	1332	675	462	131	261	0
Pheta2	803.107692	2158	928	418	1382	1807	2957	3051	191	0	0	1358	2593	146	218	342	2845	102	0	0	192	244	166	123	116	201	100	804	0	1127	1457	2398	2089	1363	1594	986	165	0	0	2459	0	0	776	508	393	740	1256	0	0	1387	0	1503	2689	1338	0	0	0	280	451	0	1940	1332	675	462	131	261	0
Naga	803.107692	2158	928	418	1382	1807	2957	3051	191	0	0	1358	2593	146	218	342	2845	102	0	0	192	244	166	123	116	201	100	804	0	1127	1457	2398	2089	1363	1594	986	165	0	0	2459	0	0	776	508	393	740	1256	0	0	1387	0	1503	2689	1338	0	0	0	280	451	0	1940	1332	675	462	131	261	0
Gse1	780.030769	1724	336	345	824	1383	2851	2612	716	0	0	379	1770	219	200	244	1897	0	0	0	165	243	144	135	143	243	243	672	0	814	1299	2338	2063	1407	1025	989	107	0	0	2176	0	0	1009	332	296	904	1179	746	195	1591	748	1743	2849	947	0	0	199	416	551	0	2541	2606	830	862	0	452	0
Snca	761.953846	0	1005	2003	2492	2344	3205	3400	525	0	0	1175	2026	211	206	214	2416	0	0	141	156	214	219	194	173	290	246	1354	0	862	1304	2428	2378	1370	1352	1034	103	0	0	2468	0	0	910	280	290	587	1354	0	0	0	0	0	3142	1162	0	0	0	0	198	0	1973	1128	514	313	0	168	0
Frmd4a	754.984615	301	882	2069	2525	2256	3121	3191	580	0	0	1018	2453	260	188	215	2699	0	0	0	183	162	272	257	218	268	344	851	0	972	1515	2349	2009	1551	1337	1316	122	0	0	2309	0	0	992	522	215	1099	1049	0	125	242	0	1513	2634	896	0	0	0	0	326	0	1079	367	0	222	0	0	0
Ifngr2	745.338462	2854	556	975	1939	2325	1298	3082	236	0	0	677	2262	427	527	593	2521	363	0	0	196	526	290	410	334	495	227	310	0	210	302	677	511	270	286	159	0	0	0	642	0	0	173	0	0	234	1138	2290	1043	910	2284	1922	2922	466	226	0	0	477	171	0	2753	2118	1374	616	512	338	0
Tnfaip8	741.123077	2561	529	1469	1915	1992	2560	2865	765	0	0	1290	2247	140	263	235	2531	0	0	0	208	175	0	134	0	194	156	574	0	492	970	1174	1637	998	909	793	0	0	0	1526	0	0	497	348	142	684	1337	2154	469	1843	2156	1518	2332	712	315	195	0	217	301	0	999	469	0	183	0	0	0
Art4	733.030769	1668	1244	1864	2473	2318	3253	3300	92	0	0	1453	2425	0	242	188	2712	0	0	0	230	97	0	168	0	181	0	1269	0	468	746	1532	1672	891	851	743	63	0	0	1858	0	0	580	266	0	335	1546	0	737	1266	0	267	2756	504	0	0	0	558	427	0	2222	1075	540	290	0	277	0
Gypa	725.307692	0	451	1882	2522	2328	3207	3375	0	0	0	1567	2685	152	212	284	2891	0	0	0	216	0	0	0	0	221	199	947	0	1185	1684	2636	2595	1496	1419	1169	114	0	0	2705	0	0	1122	458	428	1016	897	0	0	0	0	0	3006	769	0	0	0	0	204	0	841	262	0	0	0	0	0
Trim15	698.907692	0	1126	2031	2520	2342	3173	3308	0	0	0	851	1568	0	132	105	2054	0	0	0	240	121	126	133	142	332	151	1362	0	912	1470	2495	2443	1277	1515	1462	199	0	125	2622	0	0	987	464	412	956	1480	0	0	0	0	0	3038	777	0	0	0	0	297	0	473	208	0	0	0	0	0
Trim10	698.907692	0	1126	2031	2520	2342	3173	3308	0	0	0	851	1568	0	132	105	2054	0	0	0	240	121	126	133	142	332	151	1362	0	912	1470	2495	2443	1277	1515	1462	199	0	125	2622	0	0	987	464	412	956	1480	0	0	0	0	0	3038	777	0	0	0	0	297	0	473	208	0	0	0	0	0
Nadk2	696.569231	340	984	1499	2126	2348	3013	3172	176	0	0	1084	2538	93	221	268	2847	0	0	0	180	131	138	155	0	229	280	782	0	445	807	1409	1435	905	751	849	0	0	0	1281	0	0	310	182	138	598	1079	0	341	534	0	1197	2636	830	0	0	0	398	354	0	2335	1555	935	774	342	253	0
Mob3a	695.061538	394	399	973	1927	2230	2956	2898	679	0	0	1106	2807	226	272	276	2957	138	0	0	204	201	248	129	98	214	270	942	0	583	1228	2066	2098	1376	1260	1042	124	0	0	2117	0	0	952	463	294	822	998	205	0	0	205	1342	2746	762	272	0	0	0	388	0	818	308	0	166	0	0	0
Izumo4	695.061538	394	399	973	1927	2230	2956	2898	679	0	0	1106	2807	226	272	276	2957	138	0	0	204	201	248	129	98	214	270	942	0	583	1228	2066	2098	1376	1260	1042	124	0	0	2117	0	0	952	463	294	822	998	205	0	0	205	1342	2746	762	272	0	0	0	388	0	818	308	0	166	0	0	0
Samd14	681.923077	0	430	1059	2071	2299	2840	2838	736	0	0	752	1551	152	179	167	1990	0	0	0	223	254	242	347	176	360	335	666	0	1222	1876	2549	2355	1653	1484	1173	115	0	206	2472	0	0	1281	596	410	928	1061	0	0	0	0	779	2814	679	0	0	0	0	239	0	558	208	0	0	0	0	0
Spta1	678.076923	258	1185	1390	2256	2395	3049	3211	276	0	0	994	1578	0	211	162	2058	0	0	0	198	155	141	161	109	303	260	1178	0	1140	1444	2286	2328	1101	1213	1195	148	0	0	2493	0	0	1083	407	383	771	1316	0	0	0	0	0	2800	724	0	0	0	0	135	0	1021	379	0	180	0	0	0
Vamp8	671.384615	2293	234	187	947	1283	1807	2942	142	0	0	685	2273	305	359	445	2413	198	192	0	213	371	396	340	289	404	298	448	0	664	901	1879	1916	1357	1148	1116	74	0	0	2196	0	0	776	220	175	525	791	2463	0	103	2469	1912	2876	494	121	0	0	0	0	0	0	0	0	0	0	0	0
Zfpm1	667.400000	1371	864	1248	2031	1872	2552	2532	122	0	0	591	2272	166	143	128	2414	0	0	0	233	140	0	0	0	232	155	816	0	615	921	1803	1692	1060	966	778	0	0	0	1933	0	0	640	330	208	550	937	764	220	151	764	2222	2236	286	250	0	0	158	0	0	1683	1266	303	520	0	243	0
Gpx1	643.261538	0	349	1517	2101	2170	2891	2727	0	0	0	1404	2200	0	179	113	2612	0	0	0	206	0	159	179	226	253	241	541	0	904	1429	2228	2487	1278	1205	1306	77	0	137	2731	0	0	987	603	257	986	728	111	0	0	114	476	2704	798	0	0	0	0	198	0	0	0	0	0	0	0	0
Depdc1b	640.661538	2680	558	1113	1601	2095	2882	2716	368	0	0	1384	1866	118	345	282	2386	102	0	0	181	144	0	134	0	168	0	647	0	355	891	1284	1173	637	608	521	0	0	0	1392	0	0	530	229	0	283	963	1296	246	566	1314	847	3060	670	124	0	0	341	254	0	1392	615	0	0	0	282	0
Prkab1	627.076923	1921	570	1235	1811	2054	2422	2745	665	0	0	808	1793	0	134	213	2102	0	0	0	186	145	0	103	0	221	229	755	0	337	741	1404	1358	873	749	518	0	0	0	1601	0	0	416	242	161	500	991	1242	258	1244	1244	1183	2426	357	0	0	0	348	180	0	1342	564	235	0	0	134	0
Itga2b	618.600000	2569	172	332	373	967	2683	1744	865	0	0	451	1353	0	0	0	1596	0	0	0	169	0	0	0	0	0	0	287	0	244	546	966	837	686	474	506	0	0	0	1058	0	0	228	0	0	343	977	1754	1450	2337	1752	2753	2944	499	309	0	0	343	263	0	2249	1603	801	510	0	216	0
Cenpu	616.092308	1889	0	1225	1979	2261	3036	3353	767	0	0	1144	2220	0	180	170	2522	0	0	0	0	0	0	0	0	0	202	465	0	509	764	1785	1803	970	823	786	0	0	0	1858	0	0	471	0	0	657	892	1837	0	0	1843	99	3046	490	0	0	0	0	0	0	0	0	0	0	0	0	0
Ankrd9	607.246154	1111	755	1578	2112	2129	2975	3075	225	0	0	661	1910	96	151	125	2212	0	0	0	206	153	170	135	0	327	182	829	0	618	1108	1600	1692	1240	1053	800	0	0	0	1838	0	0	575	317	126	552	1282	256	0	0	255	1364	2789	889	0	0	0	0	0	0	0	0	0	0	0	0	0
C330018D20Rik	606.984615	1439	278	1593	2286	2468	2700	3047	351	0	0	1598	2593	250	308	303	2948	0	0	0	234	138	87	137	0	180	144	306	0	222	537	1150	1103	482	446	364	0	0	0	1247	0	0	430	190	0	246	951	1336	397	643	1333	178	2790	793	0	0	0	173	279	0	578	198	0	0	0	0	0
Tmem86b	598.492308	1384	470	944	1577	2125	2417	2847	142	0	0	692	2650	170	162	176	2757	0	0	0	245	0	156	0	0	203	167	639	0	325	602	1172	1147	557	543	598	0	0	0	1554	0	0	344	101	0	415	790	0	0	968	0	2505	3117	582	187	0	0	158	0	0	1467	805	586	313	0	143	0
Bsg	596.430769	529	894	1583	2247	2142	2834	2979	586	0	0	1059	2577	0	0	0	2878	0	0	0	206	0	0	0	0	141	132	819	0	439	761	1684	1851	901	657	827	0	0	0	1853	0	0	383	241	0	595	955	0	0	0	0	699	2910	451	0	0	0	0	0	0	1018	306	210	274	0	147	0
Nrtn	592.384615	678	603	562	1036	1757	2819	2773	0	0	0	313	2617	183	206	256	2577	0	0	0	182	151	185	0	0	139	158	477	0	256	469	1159	1220	776	539	554	0	0	0	1134	0	0	0	0	0	440	1280	0	455	1212	0	386	2738	355	0	0	108	443	198	0	2413	1964	830	962	355	587	0
Dus3l	592.384615	678	603	562	1036	1757	2819	2773	0	0	0	313	2617	183	206	256	2577	0	0	0	182	151	185	0	0	139	158	477	0	256	469	1159	1220	776	539	554	0	0	0	1134	0	0	0	0	0	440	1280	0	455	1212	0	386	2738	355	0	0	108	443	198	0	2413	1964	830	962	355	587	0
Alad	590.923077	0	596	1528	1813	1658	2484	2855	207	0	0	588	1649	0	76	0	1827	0	0	0	163	0	156	0	192	372	257	997	0	967	1507	2222	2333	1425	1405	1413	115	0	0	2271	0	0	1243	571	314	1112	771	0	0	0	0	196	2162	641	0	0	0	0	145	0	0	0	0	179	0	0	0
Ccrl2	581.276923	257	514	1070	1648	2098	2581	2884	0	0	0	927	1900	0	114	199	2252	0	0	0	208	202	208	150	84	177	263	749	0	699	1259	1801	1954	1197	953	955	117	0	0	2027	0	0	658	351	301	666	693	0	162	502	0	404	2249	502	0	0	0	0	171	0	991	370	135	181	0	0	0
Hhex	579.230769	2555	0	0	0	0	0	0	882	0	0	252	730	115	130	236	932	103	0	0	181	0	130	143	137	155	194	216	0	707	1188	2031	1805	897	945	854	103	0	0	1669	0	0	557	335	173	685	809	3192	1293	1937	3189	1425	129	0	175	179	0	949	618	0	2499	1612	406	0	0	198	0
Micall2	575.492308	2450	525	1245	1753	1945	2261	2525	191	0	0	941	2204	0	214	229	2225	0	0	0	156	99	147	0	0	0	191	847	0	406	821	1356	1442	726	771	667	65	0	0	1607	0	0	487	294	211	451	1185	536	104	393	535	1228	2183	667	0	0	0	128	341	0	500	155	0	0	0	0	0
Ufsp1	572.600000	422	595	1044	1793	2175	2538	2555	129	0	0	1367	2191	230	313	265	2586	0	0	0	168	230	136	237	136	265	330	1022	0	524	1041	1377	1792	1106	1028	879	62	0	124	2108	0	0	561	159	0	613	1207	0	0	0	0	0	2886	616	0	0	0	0	225	0	184	0	0	0	0	0	0
Ache	572.600000	422	595	1044	1793	2175	2538	2555	129	0	0	1367	2191	230	313	265	2586	0	0	0	168	230	136	237	136	265	330	1022	0	524	1041	1377	1792	1106	1028	879	62	0	124	2108	0	0	561	159	0	613	1207	0	0	0	0	0	2886	616	0	0	0	0	225	0	184	0	0	0	0	0	0
Ube2v1	571.600000	278	520	1876	2385	2227	2870	3076	429	0	0	520	898	0	0	0	1240	0	0	0	218	0	0	0	0	215	246	870	0	732	1245	2126	2151	1279	1200	1065	146	0	0	2345	0	0	841	464	232	1006	1147	0	0	0	0	0	2677	630	0	0	0	0	0	0	0	0	0	0	0	0	0
Gata1	566.738462	281	576	864	1725	2222	2645	2991	603	0	0	384	2093	0	203	0	2226	0	0	0	141	111	0	102	0	159	186	742	0	393	1018	1512	1740	786	732	913	0	0	0	1806	0	0	702	254	188	771	785	0	0	0	0	1414	2598	764	0	0	0	0	0	0	1044	665	0	499	0	0	0
Tal1	563.846154	2189	768	551	1247	2061	3122	3146	220	0	0	0	2279	74	226	142	2267	0	0	0	180	0	101	0	0	224	0	120	0	0	190	1113	1481	558	279	228	0	0	0	1124	0	0	0	0	0	246	802	404	186	205	404	1825	2718	795	0	0	89	309	0	0	1989	1841	947	0	0	0	0
Aqp9	561.353846	0	782	1538	2179	2229	1983	3236	169	0	0	284	1079	0	0	0	1218	104	0	0	153	116	180	197	108	189	259	960	0	888	1276	2108	2230	1342	1187	861	0	0	0	2335	0	0	735	410	303	699	1205	0	0	0	0	0	2878	1068	0	0	0	0	0	0	0	0	0	0	0	0	0
Pigq	561.061538	0	1213	1625	2216	2167	2516	2714	0	0	0	348	1097	0	139	0	1276	0	0	0	121	0	0	0	166	168	259	890	0	745	1200	2116	2096	1203	1311	1183	115	0	169	2307	0	0	844	524	369	766	906	0	0	0	0	229	2765	706	0	0	0	0	0	0	0	0	0	0	0	0	0
Nhlrc4	561.061538	0	1213	1625	2216	2167	2516	2714	0	0	0	348	1097	0	139	0	1276	0	0	0	121	0	0	0	166	168	259	890	0	745	1200	2116	2096	1203	1311	1183	115	0	169	2307	0	0	844	524	369	766	906	0	0	0	0	229	2765	706	0	0	0	0	0	0	0	0	0	0	0	0	0
Hectd4	560.923077	0	1002	1169	1986	2297	2284	3037	0	0	0	378	1334	0	104	103	1605	0	0	0	133	175	139	143	135	195	237	1230	0	753	1175	2046	1908	1275	1013	809	138	0	0	2176	0	0	830	529	197	704	1389	758	0	0	757	147	1862	308	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhag	557.784615	1219	544	1151	1856	2252	2656	2971	0	0	0	1237	2276	174	192	299	2559	0	0	0	102	137	146	212	0	239	0	715	0	362	710	1225	1371	516	535	446	0	0	0	1471	0	0	615	182	60	476	706	304	231	434	304	0	2423	691	153	0	0	0	0	0	1174	531	399	0	0	0	0
Ncoa4	551.169231	1303	320	1100	1867	2183	2547	2853	377	0	0	747	1936	0	193	217	2140	0	0	0	167	0	128	0	0	0	0	338	0	304	552	1154	1373	516	522	365	0	0	0	1411	0	0	310	170	0	332	753	402	329	797	398	404	2837	427	0	0	0	303	186	0	1614	935	655	218	0	143	0
Extl3	551.153846	1994	313	686	1119	1590	2561	2226	116	0	0	1274	2143	127	258	216	2517	0	0	0	228	243	142	124	168	321	191	482	0	361	776	1277	1417	560	567	586	0	0	0	1564	0	0	338	182	0	440	992	0	0	1258	0	786	2857	658	0	0	0	150	0	0	1169	445	174	229	0	0	0
Alas2	548.969231	0	629	1276	2016	2408	2926	3050	0	0	0	1167	2159	0	244	216	2564	0	0	0	144	0	0	0	0	124	178	404	0	304	772	998	946	539	538	277	0	0	0	1214	0	0	405	116	114	222	840	0	0	0	0	147	2821	884	0	0	0	143	132	0	2364	1127	549	481	0	245	0
Hemgn	545.969231	2163	592	956	1480	1830	2469	2667	252	0	0	745	2110	95	183	253	2328	0	0	0	184	0	109	0	0	133	167	464	0	549	981	1850	1757	811	762	731	0	0	0	1882	0	0	469	434	163	483	758	0	0	596	0	288	2868	643	0	0	0	0	0	0	283	0	0	0	0	0	0
Fzr1	542.338462	2411	538	1322	1917	2161	1172	2785	487	0	0	303	1139	0	0	0	1395	0	0	0	162	0	174	102	0	152	186	419	0	405	706	1407	1526	972	674	760	0	0	0	1778	0	0	603	159	0	385	987	367	289	591	368	1545	2846	740	188	0	0	162	120	0	651	198	0	0	0	0	0
Dohh	542.338462	2411	538	1322	1917	2161	1172	2785	487	0	0	303	1139	0	0	0	1395	0	0	0	162	0	174	102	0	152	186	419	0	405	706	1407	1526	972	674	760	0	0	0	1778	0	0	603	159	0	385	987	367	289	591	368	1545	2846	740	188	0	0	162	120	0	651	198	0	0	0	0	0
Senp7	538.938462	0	1064	1643	2249	2339	2964	3226	0	0	0	743	2399	0	107	112	2538	0	0	0	161	0	0	0	0	0	0	801	0	235	540	1014	1100	587	365	497	0	0	0	1268	0	0	0	85	0	381	1636	222	0	0	217	0	3093	502	0	0	0	0	0	0	1605	615	386	205	0	132	0
Epb41	536.692308	2124	714	582	1147	1616	1589	1852	660	0	0	315	1302	168	202	179	1408	0	0	0	173	0	172	0	0	202	224	599	0	346	467	1169	1167	507	548	462	0	0	0	1040	0	0	330	227	177	336	751	524	864	1150	525	1668	2256	260	0	0	0	230	265	0	2009	1123	695	437	0	124	0
Slfn14	534.692308	2233	391	1071	1890	2180	2169	2874	228	0	0	1031	1901	0	168	232	2238	0	0	0	148	0	0	0	0	129	0	183	0	333	569	852	984	327	321	441	0	0	0	1233	0	0	199	0	0	176	747	0	194	170	0	243	2984	764	0	0	66	337	385	0	2232	1255	211	405	0	261	0
Bola3	534.215385	0	1024	1715	2183	2235	2812	3047	0	0	0	985	2335	138	139	121	2659	0	0	0	197	0	0	0	0	0	0	1109	0	391	631	1399	1448	800	692	542	0	0	0	1596	0	0	423	279	175	388	1114	0	0	0	0	255	3144	748	0	0	0	0	0	0	0	0	0	0	0	0	0
Epor	532.492308	584	1020	802	1416	1827	2500	2932	300	0	0	111	1355	157	0	114	1404	0	0	0	157	107	153	0	113	224	136	775	0	641	869	2139	1663	1072	1066	805	126	0	0	1927	0	0	410	254	92	713	1331	0	147	169	0	952	1935	949	0	0	0	0	131	0	619	246	0	169	0	0	0
Cnppd1	532.230769	0	398	776	1829	2024	2700	2785	0	0	0	1709	1787	0	188	265	2424	0	0	0	257	170	232	161	0	262	154	769	0	393	930	1687	1413	1012	607	722	0	0	101	1904	0	0	481	209	0	448	1002	0	0	0	0	154	3141	591	0	0	0	0	0	0	517	188	0	205	0	0	0
Slc23a3	529.861538	0	398	776	1829	2024	2700	2785	0	0	0	1709	1787	0	188	265	2424	0	0	0	257	170	232	161	0	262	154	769	0	393	930	1687	1413	1012	607	722	0	0	101	1904	0	0	481	209	0	448	1002	0	0	0	0	0	3141	591	0	0	0	0	0	0	517	188	0	205	0	0	0
