Target_genes	Klf5|Average	SRX520198|3T3-L1	SRX10299739|embryonic_skin	SRX10157942|Esophageal_organoids	SRX10157943|Esophageal_organoids	SRX10157944|Esophageal_organoids	SRX10157945|Esophageal_organoids	SRX10157946|Esophageal_organoids	SRX10157947|Esophageal_organoids	SRX10157948|Esophageal_organoids	SRX10157949|Esophageal_organoids	SRX10157960|Esophageal_organoids	SRX10157961|Esophageal_organoids	SRX334975|ES_cells	SRX3585307|ES_cells	SRX468970|ES_cells	SRX6437851|Pancreatic_adenocarcinoma	SRX6437852|Pancreatic_adenocarcinoma	SRX8026860|Pancreatic_adenocarcinoma	SRX8026861|Pancreatic_adenocarcinoma	SRX8026862|Pancreatic_adenocarcinoma	SRX8026863|Pancreatic_adenocarcinoma	SRX1149716|Pancreatic_cancer_cell_lines	SRX3585311|Trophoblast_stem_cells	SRX18304307|Unclassified	STRING
Fam83h	380.125000	0	0	309	0	0	0	128	159	1220	945	0	0	921	0	633	249	310	303	595	641	817	1526	0	367	0
Ltbp4	379.750000	0	0	0	0	0	0	0	0	629	573	0	0	360	0	242	421	367	1581	1395	1323	1742	316	0	165	0
Fbxw7	378.833333	908	0	146	0	0	0	0	0	442	181	0	0	887	0	756	392	339	1011	1022	1058	1139	531	0	280	0
2200002D01Rik	378.791667	0	0	234	0	0	0	109	0	869	526	0	0	172	0	157	424	397	1223	1294	1179	1452	631	0	424	0
Smndc1	378.458333	195	0	0	0	0	0	0	0	123	0	0	0	1935	0	1824	428	370	816	990	722	1020	316	0	344	0
Mbd2	378.416667	119	0	207	0	0	0	0	0	667	260	0	0	465	0	504	637	523	915	1009	1250	1043	968	0	515	0
Sphk2	368.083333	1830	0	0	0	0	0	0	0	112	0	0	0	1747	0	1613	228	222	755	593	620	643	343	0	128	0
Rpl18	368.083333	1830	0	0	0	0	0	0	0	112	0	0	0	1747	0	1613	228	222	755	593	620	643	343	0	128	0
Ranbp2	366.750000	898	0	0	0	0	0	0	0	299	94	0	0	1677	0	1570	395	151	861	693	725	955	269	0	215	0
Zfp41	366.583333	0	89	137	0	0	0	0	0	362	212	0	0	555	0	308	351	424	1173	1192	1391	1695	577	0	332	0
Perp	366.333333	0	0	270	0	0	0	149	0	912	758	0	0	440	0	172	354	543	951	745	1177	1149	843	0	329	0
E2f2	364.791667	325	0	0	0	0	0	0	0	96	0	0	0	443	0	375	686	817	1192	1155	1168	1053	1310	0	135	0
Usp12	361.625000	0	0	181	0	0	0	144	0	548	309	0	0	755	0	595	490	332	1252	658	1329	925	735	0	426	0
Plec	359.958333	222	0	197	0	0	0	0	0	453	282	0	0	574	0	342	464	604	833	1260	1117	1207	758	0	326	0
Immt	359.041667	0	0	0	0	0	0	0	0	191	157	0	0	680	0	546	765	692	958	1221	920	1113	1084	0	290	0
Olfr1342	358.541667	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	1129	1153	880	1426	784	1589	1165	0	325	0
Fam83e	358.083333	1830	0	0	0	0	0	0	0	0	0	0	0	1747	0	1613	228	222	755	593	620	643	343	0	0	0
Ssna1	357.750000	633	0	0	0	0	0	0	0	244	206	0	0	1745	0	1626	379	278	606	590	695	833	570	0	181	0
Anapc2	357.750000	633	0	0	0	0	0	0	0	244	206	0	0	1745	0	1626	379	278	606	590	695	833	570	0	181	0
S100a5	353.375000	246	0	262	0	0	0	91	0	883	493	135	0	489	0	260	303	267	910	997	976	1247	647	0	275	0
Emc7	352.000000	1593	0	0	0	0	0	0	0	0	0	0	0	2112	0	1802	178	253	426	608	407	658	222	0	189	0
Cx3cl1	349.208333	0	0	192	0	0	0	0	0	912	574	0	0	202	0	98	249	165	1194	1504	1241	1454	596	0	0	0
Gpr84	349.083333	275	0	0	0	0	0	0	0	217	93	0	0	332	0	0	374	406	1743	1586	1215	1845	292	0	0	0
Fbxl18	349.000000	538	0	0	0	0	0	0	0	168	0	0	0	2195	0	2002	349	248	712	463	483	625	593	0	0	0
Muc1	348.541667	0	0	0	0	0	0	0	0	217	0	0	0	170	0	0	832	669	1462	1411	1088	1550	823	0	143	0
Taf9	348.291667	957	0	0	0	0	0	0	0	243	99	0	0	1787	0	1703	384	341	486	560	498	640	301	0	360	0
Rad17	348.291667	957	0	0	0	0	0	0	0	243	99	0	0	1787	0	1703	384	341	486	560	498	640	301	0	360	0
Ak6	348.291667	957	0	0	0	0	0	0	0	243	99	0	0	1787	0	1703	384	341	486	560	498	640	301	0	360	0
Sh3gl1	348.083333	0	0	176	0	0	0	125	127	803	325	0	0	419	0	279	608	377	989	1032	957	1348	519	0	270	0
Chaf1a	348.083333	0	0	176	0	0	0	125	127	803	325	0	0	419	0	279	608	377	989	1032	957	1348	519	0	270	0
Ankrd1	347.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	745	499	1507	1370	1557	1746	904	0	0	0
Med11	342.166667	168	0	0	0	0	0	64	108	319	214	0	0	679	0	638	736	639	781	764	809	1176	806	0	311	0
Zfpl1	340.208333	1784	0	0	0	0	0	0	0	129	136	0	0	1598	0	1215	298	242	587	709	441	645	183	0	198	0
Cdca5	340.208333	1784	0	0	0	0	0	0	0	129	136	0	0	1598	0	1215	298	242	587	709	441	645	183	0	198	0
Ajuba	339.958333	0	71	304	0	0	0	0	0	844	646	0	0	552	0	696	602	511	803	568	705	741	883	0	233	0
Prkab2	339.875000	184	0	109	0	0	0	0	0	478	314	0	0	416	0	321	484	534	1037	932	1158	1366	567	0	257	0
Rlf	337.875000	1355	0	0	0	0	0	0	0	154	137	0	0	2270	0	2276	106	0	378	398	292	494	115	0	134	0
Pgk1	337.250000	183	0	0	0	0	0	0	0	125	98	0	0	111	0	211	858	691	1461	1486	1305	1422	143	0	0	0
Man1b1	336.291667	1117	0	0	0	0	0	0	0	102	157	0	0	1713	0	1454	292	218	637	491	557	775	287	0	271	0
Kif2c	335.916667	2338	0	0	0	0	0	0	0	0	0	0	0	1927	0	1810	102	0	269	414	315	469	184	0	234	0
Arhgap8	335.916667	343	0	0	0	0	0	0	0	0	0	0	0	504	0	219	451	398	1228	938	1331	1416	745	0	489	0
Cdh13	335.166667	249	0	0	0	0	0	0	0	789	441	0	0	187	0	115	693	495	1068	1063	1034	959	682	0	269	0
Rsrc2	333.083333	196	0	0	0	0	0	0	0	630	282	0	0	432	0	357	315	271	1131	1154	1098	1541	302	0	285	0
Kntc1	333.083333	196	0	0	0	0	0	0	0	630	282	0	0	432	0	357	315	271	1131	1154	1098	1541	302	0	285	0
Zc3h3	331.916667	642	0	0	0	0	0	0	0	0	0	0	0	1181	0	712	350	450	805	1074	759	1091	736	0	166	0
Zfp821	331.500000	239	0	188	0	0	0	0	0	665	248	0	0	333	0	165	337	316	1091	1206	1400	1185	402	0	181	0
Ist1	331.500000	239	0	188	0	0	0	0	0	665	248	0	0	333	0	165	337	316	1091	1206	1400	1185	402	0	181	0
Snrpc	330.916667	1257	0	0	0	0	0	0	0	163	0	0	0	2120	0	1985	170	130	360	519	338	501	262	0	137	0
Upk1a	327.958333	0	0	0	0	0	0	0	0	174	0	0	0	629	0	393	879	1064	997	929	765	896	1145	0	0	0
Ddx20	327.916667	224	0	132	0	0	0	0	0	576	164	0	0	227	0	245	257	161	1233	1409	1386	1584	272	0	0	0
Traf4	327.875000	0	0	179	0	0	0	0	0	383	182	0	0	184	0	113	340	212	1469	1283	1345	1602	330	0	247	0
Tcf3	327.666667	245	0	0	0	0	0	0	0	556	453	0	0	279	0	173	632	734	823	846	989	1008	436	0	690	0
Tmie	327.541667	0	0	314	0	0	0	0	86	835	414	0	0	143	0	0	621	480	820	1115	821	1317	499	0	396	0
Als2cl	327.541667	0	0	314	0	0	0	0	86	835	414	0	0	143	0	0	621	480	820	1115	821	1317	499	0	396	0
S100a6	327.041667	161	0	262	0	0	0	0	0	883	493	0	0	489	0	260	257	267	910	963	976	1247	406	0	275	0
Lamp1	326.875000	265	0	0	0	0	0	0	0	560	0	0	0	1414	0	1234	345	224	680	584	682	718	901	0	238	0
Otud1	326.833333	0	61	193	0	0	0	0	136	854	374	0	0	332	0	282	397	363	959	850	1094	1207	473	0	269	0
9930021J03Rik	325.250000	1814	0	0	0	0	0	0	0	115	0	0	0	1563	0	1269	166	0	736	565	435	771	131	0	241	0
Ephb4	322.875000	0	0	0	0	0	0	0	0	0	0	0	0	322	0	123	755	449	922	1730	838	1767	725	0	118	0
Nup214	321.750000	2126	0	0	0	0	0	0	0	119	0	0	0	2060	0	1600	0	100	430	509	314	376	0	0	88	0
Ncbp2	321.458333	1427	0	0	0	0	0	0	0	262	0	0	0	1478	0	1237	383	266	557	477	454	739	331	0	104	0
0610012G03Rik	321.458333	1427	0	0	0	0	0	0	0	262	0	0	0	1478	0	1237	383	266	557	477	454	739	331	0	104	0
Ywhaz	321.291667	155	0	0	0	0	0	0	0	371	123	0	0	601	0	412	445	423	826	1161	1110	1278	655	0	151	0
Psph	321.125000	101	0	0	0	0	0	0	0	213	0	0	0	427	0	281	707	783	1005	985	1184	1248	502	0	271	0
Cct6a	321.125000	101	0	0	0	0	0	0	0	213	0	0	0	427	0	281	707	783	1005	985	1184	1248	502	0	271	0
Ccdc88a	318.916667	191	0	0	0	0	0	0	0	394	260	0	0	555	0	487	631	481	883	729	1163	1158	722	0	0	0
Nelfa	317.416667	2068	0	0	0	0	0	0	0	175	0	0	0	1833	0	1562	160	0	382	373	384	422	69	0	190	0
Ube4a	317.125000	1972	0	0	0	0	0	0	0	107	0	0	0	2109	0	1682	97	150	215	328	160	274	265	0	252	0
Tsga10	314.500000	0	0	0	0	0	0	0	0	505	316	0	0	145	0	200	171	276	1119	1128	1217	1558	435	0	478	0
Cenpu	313.625000	138	0	144	0	0	0	0	0	387	287	0	0	354	0	155	671	298	929	1274	1089	1161	497	0	143	0
Erbb2	312.708333	0	0	156	0	0	0	0	0	661	321	0	0	454	0	442	443	388	1003	733	932	1165	595	0	212	0
Gpx4	311.916667	0	0	0	0	0	0	0	0	129	0	0	0	431	0	229	431	333	1018	1265	1145	1518	749	0	238	0
Tead4	311.875000	590	0	0	0	0	0	0	0	640	335	0	0	702	0	398	399	508	776	718	687	680	882	0	170	0
Tom1l2	309.083333	0	0	0	0	0	0	0	0	439	233	0	0	426	0	198	632	380	1134	985	1092	1244	471	0	184	0
Drc3	309.083333	0	0	0	0	0	0	0	0	439	233	0	0	426	0	198	632	380	1134	985	1092	1244	471	0	184	0
1700092M07Rik	308.625000	2046	0	0	0	0	0	0	0	0	0	0	0	2143	0	1836	107	0	231	353	186	392	0	0	113	0
Hsp90ab1	307.125000	0	0	0	0	0	0	0	0	371	0	0	0	714	0	600	442	437	837	844	751	995	938	0	442	0
Add1	307.125000	0	0	0	0	0	0	0	0	360	211	0	0	692	0	371	418	412	1097	893	790	932	771	0	424	0
Bcas1	306.833333	0	0	0	0	0	0	0	0	221	0	0	0	0	0	0	576	758	879	1086	1447	1403	559	0	435	0
Ppil4	305.250000	1007	0	0	0	0	0	0	0	0	0	0	0	2332	0	2113	113	0	506	312	409	414	0	0	120	0
Fbxw8	304.750000	208	0	0	0	0	0	0	0	360	193	0	0	769	0	669	388	389	711	968	631	1164	681	0	183	0
Cops8	304.750000	1380	0	0	0	0	0	0	0	276	116	0	0	1362	0	1481	114	107	340	627	467	553	333	0	158	0
Mrpl19	304.375000	319	0	0	0	0	0	0	0	370	121	0	0	784	0	495	425	379	742	868	661	1075	734	0	332	0
Wdr74	303.541667	2046	0	0	0	0	0	0	0	0	0	0	0	2143	0	1836	107	0	231	353	177	392	0	0	0	0
Trap1	303.541667	983	0	0	0	0	0	0	0	127	0	0	0	2447	0	2010	178	99	298	326	274	340	203	0	0	0
Ido2	302.875000	364	0	0	0	0	0	0	0	0	0	0	0	296	0	126	496	766	937	1019	974	1246	729	0	316	0
Tbrg4	302.208333	501	0	0	0	0	0	0	0	187	0	0	0	1601	0	1354	344	162	560	543	679	647	454	0	221	0
Mtf2	302.000000	163	0	0	0	0	0	0	0	453	202	951	452	655	0	305	239	137	755	680	987	815	289	0	165	0
Calcoco1	301.541667	172	0	0	0	0	0	0	0	359	168	0	0	666	0	609	340	306	888	829	989	970	444	0	497	0
Vpreb1	300.333333	310	0	242	0	0	0	277	174	1082	589	0	0	596	0	571	438	154	892	506	459	520	307	0	91	0
Top3b	300.333333	310	0	242	0	0	0	277	174	1082	589	0	0	596	0	571	438	154	892	506	459	520	307	0	91	0
Lfng	299.583333	151	0	86	0	0	0	0	0	650	389	468	312	533	0	532	351	242	844	657	609	745	447	0	174	0
Nme1	299.333333	275	0	0	0	0	0	0	0	342	180	0	0	289	0	141	329	514	968	1155	944	1174	719	0	154	0
Pik3cb	298.625000	0	0	0	0	0	0	0	0	0	0	0	0	70	0	193	832	648	994	1383	1070	1559	418	0	0	0
Denr	298.208333	380	0	0	0	0	0	0	0	407	228	0	0	1312	0	1018	0	81	862	1065	638	692	204	0	270	0
Med6	297.458333	1875	0	0	0	0	0	0	0	177	154	0	0	1312	0	1152	131	0	473	477	536	506	134	0	212	0
Etfa	297.416667	0	0	232	0	0	0	0	0	387	254	0	0	257	0	156	395	220	1097	1112	1108	1445	321	0	154	0
Med20	297.166667	1195	0	0	0	0	0	0	0	191	0	0	0	1263	0	1079	219	97	492	558	546	920	422	0	150	0
Gm20517	297.166667	1195	0	0	0	0	0	0	0	191	0	0	0	1263	0	1079	219	97	492	558	546	920	422	0	150	0
