Target_genes	Zbtb17|Average	SRX543056|70Z/3	SRX3113700|B_cells	SRX821473|Medulloblastoma	SRX821476|Medulloblastoma	SRX821479|Medulloblastoma	SRX3113698|MEF	SRX543048|P6D4	STRING
Zfp143	985.000000	0	3954	1450	427	768	296	0	0
Zfp607b	981.000000	238	3265	375	1326	1254	409	0	0
Zfp821	971.857143	0	4500	1621	247	209	226	0	0
Ist1	971.857143	0	4500	1621	247	209	226	0	0
Kdm3a	971.142857	0	3824	1023	638	963	350	0	0
Calm3	966.142857	0	3863	1422	509	718	251	0	0
Psmg4	954.714286	0	2769	1603	538	550	167	1056	0
Tsr2	948.571429	0	2810	1792	613	859	566	0	0
Kmt5b	938.428571	0	3854	1319	341	285	770	0	0
Gapvd1	937.285714	0	3363	544	1473	976	205	0	0
Wipf2	922.285714	257	2326	862	1437	1299	102	173	0
Ogfod3	916.714286	0	1958	1636	743	1064	491	525	0
Hexdc	916.714286	0	1958	1636	743	1064	491	525	0
Zwilch	910.857143	0	3514	846	468	770	778	0	0
Rpl4	910.857143	0	3514	846	468	770	778	0	0
Pafah2	891.571429	0	3702	1471	363	255	450	0	0
Ubc	881.714286	0	3874	899	311	518	570	0	0
Tcf3	878.285714	0	3321	1439	415	477	496	0	0
Fem1c	872.142857	205	2656	1486	599	685	0	474	0
Rps26	866.000000	0	3873	940	159	252	838	0	0
Morc2a	864.571429	0	1526	1779	841	1052	0	854	0
Dcaf5	855.428571	0	1550	1650	654	922	0	1212	0
Poc1b	850.142857	0	1722	1656	782	1056	434	301	0
Galnt4	850.142857	0	1722	1656	782	1056	434	301	0
Zadh2	844.857143	0	1881	1595	1079	1105	254	0	0
Tshz1	844.857143	0	1881	1595	1079	1105	254	0	0
Tfdp2	842.285714	0	2506	1656	804	930	0	0	0
Mvd	815.428571	0	1947	1561	914	803	483	0	0
Arap1	812.285714	0	2746	1148	852	940	0	0	0
Atxn2l	807.428571	0	3764	1257	0	259	372	0	0
Trip12	804.857143	0	4236	864	0	320	214	0	0
Fbxo36	804.857143	0	4236	864	0	320	214	0	0
Tcf12	796.285714	0	3415	986	607	566	0	0	0
Ccni	794.000000	0	4071	805	151	149	382	0	0
2010109A12Rik	794.000000	0	4071	805	151	149	382	0	0
Mef2a	783.428571	0	3838	1012	158	164	312	0	0
Gphn	783.000000	0	2161	1437	397	949	0	537	0
Srsf1	781.571429	0	3668	1080	124	301	298	0	0
Ubb	781.000000	0	3073	1188	181	306	719	0	0
Calm2	779.000000	0	3448	1217	201	396	191	0	0
Snrnp70	773.285714	0	3157	1475	160	328	293	0	0
Zc3h6	770.571429	0	3842	835	163	293	261	0	0
Sec16a	760.285714	0	1208	1613	549	779	649	524	0
Hes7	755.285714	0	2707	478	747	612	743	0	0
Aloxe3	755.285714	0	2707	478	747	612	743	0	0
Kras	752.714286	0	0	1614	478	1983	0	1194	0
Slc4a2	751.000000	0	3031	1407	463	356	0	0	0
Cdk5	751.000000	0	3031	1407	463	356	0	0	0
D10Wsu102e	750.714286	0	3618	784	211	345	297	0	0
Tnrc6b	733.428571	0	2387	602	1136	1009	0	0	0
Hexim2	721.714286	0	3468	962	192	237	193	0	0
Srsf7	717.285714	0	3152	1289	132	284	164	0	0
Brox	712.285714	0	1760	608	222	341	1207	848	0
Aida	712.285714	0	1760	608	222	341	1207	848	0
Zfp36l1	710.000000	0	2881	174	1183	528	204	0	0
Atad2	704.142857	0	3028	1040	117	288	456	0	0
Rbl1	703.857143	0	3668	584	137	285	253	0	0
Tmem62	697.428571	432	2425	538	721	677	89	0	0
1810010H24Rik	697.000000	0	2288	433	1167	683	308	0	0
Adnp	696.714286	0	3414	913	190	360	0	0	0
L3hypdh	694.000000	0	2701	740	759	658	0	0	0
Jkamp	694.000000	0	2701	740	759	658	0	0	0
Gbe1	693.857143	180	175	1825	491	867	0	1319	0
Kpnb1	691.000000	0	3078	1059	151	408	141	0	0
Parp1	689.000000	0	1142	1626	463	740	255	597	0
Dync2h1	688.285714	0	1239	1803	487	1289	0	0	0
Dcun1d5	688.285714	0	1239	1803	487	1289	0	0	0
Fam219a	685.428571	0	3379	1283	0	136	0	0	0
Dnaic1	685.428571	0	3379	1283	0	136	0	0	0
Kdm5c	682.428571	0	3225	621	290	0	641	0	0
Nfia	677.285714	0	2679	496	851	489	226	0	0
Gabpb2	675.714286	0	2022	1115	542	522	529	0	0
Atf4	675.142857	0	3230	847	149	236	264	0	0
Rufy3	673.428571	0	0	1649	892	2173	0	0	0
Wdr88	671.142857	0	2471	1398	250	579	0	0	0
Fnip2	671.142857	0	492	1299	1208	1699	0	0	0
Aacs	665.142857	0	3391	1067	198	0	0	0	0
Ranbp9	661.714286	0	1776	1601	384	372	133	366	0
Gprasp1	654.000000	0	3170	848	139	221	200	0	0
Armcx5	654.000000	0	3170	848	139	221	200	0	0
Ube2b	644.428571	0	2437	1371	137	271	295	0	0
Cdkl3	644.428571	0	2437	1371	137	271	295	0	0
Urb2	641.857143	0	1190	1715	469	489	346	284	0
Taf5l	641.857143	0	1190	1715	469	489	346	284	0
Efcab2	641.000000	0	1422	971	961	1018	115	0	0
Mcm7	634.142857	0	3268	701	0	179	291	0	0
Ap4m1	634.142857	0	3268	701	0	179	291	0	0
Cdk8	630.285714	0	1112	1333	789	1178	0	0	0
Rcor1	626.285714	0	2832	946	163	314	129	0	0
Cdk11b	623.142857	0	1752	1135	768	707	0	0	0
Sap30bp	617.571429	0	4323	0	0	0	0	0	0
Recql5	617.571429	0	4323	0	0	0	0	0	0
Uqcc1	611.142857	0	0	1737	1341	1200	0	0	0
Runx3	606.428571	0	3946	0	299	0	0	0	0
Tshz3	604.428571	0	0	1583	545	943	0	1160	0
Spred1	600.000000	0	2514	1092	138	192	264	0	0
Cenpu	597.428571	0	927	1764	151	478	862	0	0
Hsp90ab1	596.571429	0	2530	1200	0	161	285	0	0
Usp15	593.428571	0	2309	612	834	399	0	0	0
Cldn34d	592.857143	0	1658	830	229	409	1024	0	0
Maml3	592.714286	0	2594	955	199	401	0	0	0
Tsc22d4	580.285714	0	1646	1056	311	1049	0	0	0
Nyap1	580.285714	0	1646	1056	311	1049	0	0	0
Ahdc1	576.571429	0	1668	793	603	972	0	0	0
Kdm5a	576.285714	0	2802	1023	0	209	0	0	0
Hspe1	576.285714	0	664	1590	559	829	392	0	0
Hspd1	576.285714	0	664	1590	559	829	392	0	0
Ube3c	571.000000	0	735	1667	277	904	0	414	0
Fadd	570.142857	0	1992	633	708	658	0	0	0
Zfp710	566.714286	0	1854	722	613	502	276	0	0
Vstm5	564.428571	238	2469	320	216	523	0	185	0
Pcbp1	562.285714	0	1938	1416	166	416	0	0	0
Kifc5b	561.285714	0	2915	941	0	73	0	0	0
Phip	560.857143	0	2300	1113	0	388	125	0	0
Trappc9	554.000000	0	1540	1010	516	812	0	0	0
4932438H23Rik	550.428571	0	1183	343	1355	972	0	0	0
Prr14l	545.857143	0	3021	380	88	182	150	0	0
Hipk2	544.428571	0	0	1762	541	1508	0	0	0
Suox	544.142857	0	656	1519	452	844	133	205	0
Wdr13	543.571429	0	845	1135	323	929	120	453	0
Aff1	539.714286	0	1460	940	527	851	0	0	0
Sema4d	527.571429	0	3693	0	0	0	0	0	0
Kctd9	527.000000	0	2819	330	135	196	209	0	0
Cdca2	527.000000	0	2819	330	135	196	209	0	0
Pten	516.142857	0	1840	1340	232	201	0	0	0
Hnrnpa2b1	515.142857	0	2059	741	267	539	0	0	0
Cbx3	515.142857	0	2059	741	267	539	0	0	0
Ctse	514.142857	0	3599	0	0	0	0	0	0
Zdhhc15	513.571429	0	0	1352	454	1119	0	670	0
Ttc36	513.428571	0	756	1489	271	499	0	579	0
Tmem25	513.428571	0	756	1489	271	499	0	579	0
Mkx	512.428571	0	0	1541	990	187	869	0	0
Yipf6	511.428571	0	1532	1172	323	373	180	0	0
Fli1	507.285714	0	3246	95	210	0	0	0	0
Cyp51	506.285714	0	2355	979	0	210	0	0	0
Peak1	505.571429	0	1989	718	234	417	181	0	0
Hmg20a	505.571429	0	1989	718	234	417	181	0	0
Rmnd5b	504.142857	0	730	1144	349	1022	0	284	0
Sox5	500.000000	0	0	721	891	1888	0	0	0
Siah2	499.142857	0	1419	420	874	488	293	0	0
Tgfb1	497.857143	0	1231	821	855	578	0	0	0
Aebp2	496.571429	0	2587	148	357	384	0	0	0
Plau	496.000000	0	1713	239	900	227	393	0	0
Zfp84	492.714286	0	1670	265	615	741	158	0	0
Btbd2	492.571429	0	256	1330	647	1215	0	0	0
Dnajb1	489.714286	0	2264	1164	0	0	0	0	0
Eif2s3y	488.142857	0	1169	289	1157	802	0	0	0
Zcchc9	487.285714	0	1618	443	828	368	154	0	0
Hes5	484.428571	0	2616	569	0	206	0	0	0
Atxn7l1	484.428571	0	1984	287	809	311	0	0	0
Unc45a	483.714286	202	1486	357	744	401	196	0	0
Hddc3	483.714286	202	1486	357	744	401	196	0	0
Gdi1	479.571429	0	2327	917	113	0	0	0	0
Cand2	476.000000	464	1646	358	225	437	202	0	0
Brwd3	474.857143	0	2100	368	270	446	140	0	0
Cfap20	474.714286	0	2634	590	0	99	0	0	0
Arhgdib	473.571429	0	3174	0	141	0	0	0	0
Anapc4	473.000000	0	464	1534	533	780	0	0	0
Uspl1	471.714286	0	1610	1327	124	241	0	0	0
Gbp5	471.428571	0	3049	0	251	0	0	0	0
Nr3c1	471.285714	0	3299	0	0	0	0	0	0
Nvl	470.857143	0	2013	806	216	261	0	0	0
Phf12	469.571429	0	2388	283	251	365	0	0	0
Fubp3	469.142857	0	570	1233	753	728	0	0	0
Etnk1	468.714286	0	2758	224	0	299	0	0	0
Stau2	468.571429	235	1473	566	653	353	0	0	0
Mesd	467.714286	0	1536	1036	349	353	0	0	0
2510009E07Rik	467.571429	0	0	707	781	1785	0	0	0
Klrb1c	464.142857	0	2697	0	0	552	0	0	0
Zhx1	461.285714	0	706	711	160	928	0	724	0
Slc2a9	460.142857	0	1489	534	455	743	0	0	0
Urod	458.142857	0	730	1700	163	442	172	0	0
Hectd3	458.142857	0	730	1700	163	442	172	0	0
Gdf11	456.000000	0	816	647	782	947	0	0	0
Tnni3	454.000000	0	1850	896	291	141	0	0	0
Zfp608	453.000000	0	1536	797	332	506	0	0	0
Abca13	452.857143	0	1039	516	643	972	0	0	0
Heca	452.428571	0	2214	220	571	162	0	0	0
Pan2	451.571429	0	1519	1314	228	100	0	0	0
Phf21a	451.428571	0	1058	829	692	581	0	0	0
Kcnj1	449.285714	0	3145	0	0	0	0	0	0
Spty2d1	446.857143	0	2496	185	142	164	141	0	0
Hbb-bt	445.714286	181	2939	0	0	0	0	0	0
Hbb-b2	445.714286	181	2939	0	0	0	0	0	0
Ddx5	444.571429	0	1901	906	119	186	0	0	0
Cep95	444.571429	0	1901	906	119	186	0	0	0
Mzf1	442.285714	0	598	1409	336	549	204	0	0
Adam10	433.428571	0	682	1447	185	720	0	0	0
Ptprs	431.714286	0	217	1621	151	892	141	0	0
Atp13a3	431.428571	0	3020	0	0	0	0	0	0
Skida1	430.857143	0	829	663	774	487	263	0	0
Tuba1b	429.285714	0	1632	555	240	413	165	0	0
Gramd1b	429.142857	0	550	607	711	1136	0	0	0
Bbx	428.142857	0	1235	207	896	659	0	0	0
Olfml2a	427.428571	0	1036	359	766	831	0	0	0
Nr6a1	427.428571	0	1036	359	766	831	0	0	0
Crybb3	426.285714	0	0	1440	428	1116	0	0	0
Kat7	426.000000	0	2806	0	0	0	176	0	0
Shcbp1l	425.714286	0	2902	0	0	78	0	0	0
Diaph2	423.857143	0	2447	134	225	161	0	0	0
Il16	423.428571	0	1243	453	699	569	0	0	0
H2az1	422.285714	0	1238	812	430	476	0	0	0
Dnajb14	422.285714	0	1238	812	430	476	0	0	0
Tshz2	421.857143	0	0	273	1507	1173	0	0	0
Mrgpre	421.571429	0	1639	596	169	316	231	0	0
Kifc1	420.285714	0	2433	509	0	0	0	0	0
Ap1g1	418.714286	0	2124	807	0	0	0	0	0
Psd	418.142857	0	203	1436	324	564	400	0	0
Notch2	418.142857	0	1653	874	162	238	0	0	0
Fbxl15	418.142857	0	203	1436	324	564	400	0	0
Tfap4	417.571429	0	1341	678	305	414	185	0	0
Slc12a5	416.428571	0	1025	954	439	497	0	0	0
Zfat	414.857143	0	1443	927	0	230	304	0	0
Frg2f1	414.571429	0	1175	1382	142	203	0	0	0
Foxj3	414.571429	0	1175	1382	142	203	0	0	0
Spata5	411.714286	0	836	1261	359	426	0	0	0
Nudt6	411.714286	0	836	1261	359	426	0	0	0
Kcnn1	411.428571	0	2027	350	192	168	143	0	0
Zbtb20	411.285714	0	1241	87	893	658	0	0	0
Rrp1	410.285714	0	1556	415	343	389	169	0	0
0610009B22Rik	409.428571	0	2326	390	0	150	0	0	0
Fbxw10	409.285714	0	353	1485	316	711	0	0	0
Ctnnd1	407.857143	0	0	726	821	1035	273	0	0
Zfp518a	407.142857	0	2185	665	0	0	0	0	0
Tcf4	407.142857	0	1122	515	644	462	107	0	0
Casq1	405.857143	0	1004	1136	271	430	0	0	0
Fbrsl1	405.571429	0	312	1700	420	407	0	0	0
Fbxo47	405.285714	0	2524	147	0	166	0	0	0
Hemk1	405.142857	0	1232	1087	147	370	0	0	0
6430571L13Rik	405.142857	0	1232	1087	147	370	0	0	0
Msra	404.714286	0	130	850	140	1713	0	0	0
Wtap	404.428571	0	1298	1250	0	163	120	0	0
Calm1	404.285714	0	1065	1596	0	169	0	0	0
Pkm	403.142857	0	1248	1159	177	238	0	0	0
Mlec	403.142857	0	1726	541	329	226	0	0	0
Wdr54	403.000000	0	1212	553	435	621	0	0	0
1700003E16Rik	403.000000	0	1212	553	435	621	0	0	0
Tmem125	401.000000	167	1264	0	166	197	489	524	0
Zfp523	400.428571	0	0	1658	256	721	168	0	0
Atp6v0e	400.142857	0	470	1009	546	776	0	0	0
Etfdh	400.000000	0	721	1172	338	569	0	0	0
4930579G24Rik	400.000000	0	721	1172	338	569	0	0	0
Zfp52	396.000000	0	1797	108	603	264	0	0	0
Cd19	395.857143	0	2015	0	529	227	0	0	0
Cln6	394.428571	0	224	763	706	1068	0	0	0
Cfap126	394.285714	0	1219	339	536	666	0	0	0
Mroh5	394.000000	0	1385	380	287	706	0	0	0
Uros	393.285714	0	1312	407	358	676	0	0	0
Bccip	393.285714	0	1312	407	358	676	0	0	0
0610010F05Rik	393.142857	0	218	1788	219	527	0	0	0
Arhgef12	393.000000	0	563	1473	148	177	390	0	0
Wars2	392.857143	0	537	998	597	618	0	0	0
Pyurf	392.285714	0	1716	137	522	371	0	0	0
D5Ertd579e	392.142857	0	1352	1138	255	0	0	0	0
Pdlim1	391.857143	0	2743	0	0	0	0	0	0
Rasl10a	390.714286	0	2327	288	120	0	0	0	0
Mcl1	390.714286	0	2339	396	0	0	0	0	0
Nop53	389.857143	0	2210	130	176	213	0	0	0
Paip1	388.857143	0	624	338	1124	487	149	0	0
Ube2i	385.142857	0	1006	954	136	293	307	0	0
Strn3	383.428571	0	1891	294	148	351	0	0	0
Ap4s1	383.428571	0	1891	294	148	351	0	0	0
Rab6a	382.142857	0	2316	0	215	144	0	0	0
Shroom4	381.857143	0	1490	331	328	524	0	0	0
Dynlrb1	381.857143	0	0	1584	315	774	0	0	0
Crebrf	380.428571	0	2432	0	0	231	0	0	0
Plcb1	380.285714	0	0	1150	718	794	0	0	0
Slc10a7	379.571429	0	791	1359	312	195	0	0	0
Rbmxl1	379.571429	0	791	1359	312	195	0	0	0
Golga1	378.428571	0	0	1561	279	394	0	415	0
Tram1l1	377.142857	0	0	1470	375	795	0	0	0
Hexim1	376.714286	0	1252	363	213	414	395	0	0
Lpin3	376.285714	0	1146	745	444	299	0	0	0
Phf23	376.142857	0	1615	483	92	280	163	0	0
Gabarap	376.142857	0	1615	483	92	280	163	0	0
Rilpl2	375.857143	0	1984	295	352	0	0	0	0
Mfsd12	374.428571	0	503	1400	264	254	200	0	0
Drg2	374.428571	0	1314	249	321	737	0	0	0
4930404N11Rik	374.428571	0	503	1400	264	254	200	0	0
Zmynd8	374.285714	0	1668	663	0	289	0	0	0
Myh10	374.285714	0	0	1371	522	727	0	0	0
Ifrd1	374.142857	0	2619	0	0	0	0	0	0
Pank4	373.714286	0	2616	0	0	0	0	0	0
Tut4	373.000000	0	465	698	617	831	0	0	0
Rfx7	372.857143	0	628	444	557	981	0	0	0
Dgat2	372.000000	0	451	388	1115	650	0	0	0
Gpn3	371.857143	0	1467	904	158	74	0	0	0
Fam216a	371.857143	0	1467	904	158	74	0	0	0
Ywhab	371.000000	0	263	925	518	891	0	0	0
Vdac1	370.428571	0	0	563	287	297	1446	0	0
Mapk14	368.857143	0	2238	103	241	0	0	0	0
Notch1	368.714286	0	2113	372	0	96	0	0	0
Fbxo7	368.571429	0	682	725	158	666	0	349	0
Kcnmb3	365.714286	0	2011	354	0	195	0	0	0
Kdm5b	364.000000	0	1703	845	0	0	0	0	0
Tlr3	363.571429	0	2199	0	161	185	0	0	0
Nadk	363.142857	0	355	1575	186	426	0	0	0
Ptma	361.285714	0	1159	296	485	589	0	0	0
Insr	361.285714	0	656	1110	192	354	217	0	0
Cd3d	361.142857	0	2369	0	159	0	0	0	0
Ep300	360.000000	0	1180	466	350	524	0	0	0
Ap1ar	359.571429	0	712	1128	394	283	0	0	0
Nfix	358.714286	0	0	724	782	750	255	0	0
Asrgl1	358.285714	0	939	1320	154	95	0	0	0
Parp11	358.000000	0	264	932	276	1034	0	0	0
Gpm6b	358.000000	0	0	396	979	1131	0	0	0
Nbeal2	357.857143	0	1019	1022	302	162	0	0	0
Ccdc12	357.857143	0	1019	1022	302	162	0	0	0
Mrpl45	357.714286	0	463	1184	205	403	0	249	0
Zfp148	356.857143	0	757	378	431	932	0	0	0
Zkscan2	356.714286	0	0	1257	449	791	0	0	0
Tmem11	353.428571	0	503	1572	196	203	0	0	0
9130401M01Rik	352.142857	0	1380	389	276	420	0	0	0
Ralgps2	351.714286	0	2135	203	124	0	0	0	0
Ywhaz	351.142857	0	1456	785	78	139	0	0	0
Tram1	350.571429	0	2337	117	0	0	0	0	0
Ube2cbp	350.142857	0	563	1423	252	213	0	0	0
Tjp3	350.142857	0	1125	1126	0	200	0	0	0
Pip5k1c	350.142857	0	1125	1126	0	200	0	0	0
Dop1a	350.142857	0	563	1423	252	213	0	0	0
Lcmt1	349.571429	0	2184	0	0	263	0	0	0
Ints10	349.571429	0	660	1277	0	257	253	0	0
Msl2	348.714286	0	691	1046	335	369	0	0	0
Tnfrsf12a	348.571429	0	1556	533	153	198	0	0	0
Thoc6	348.571429	0	1556	533	153	198	0	0	0
Hcfc1r1	348.571429	0	1556	533	153	198	0	0	0
H2-DMa	347.000000	0	1504	535	98	172	120	0	0
Edaradd	346.571429	0	158	891	725	652	0	0	0
Cdc20	346.428571	0	1451	290	396	288	0	0	0
Ptprv	346.285714	0	1463	789	0	172	0	0	0
Ptpn7	346.285714	0	1463	789	0	172	0	0	0
Gipc1	346.142857	0	1959	464	0	0	0	0	0
Spaca6	345.857143	0	0	720	655	1046	0	0	0
Alcam	344.428571	0	210	832	706	663	0	0	0
Ccdc38	344.142857	0	1650	484	275	0	0	0	0
