Target_genes	Foxo1|Average	SRX17501247|Cardiomyocytes	SRX17501248|Cardiomyocytes	SRX17501249|Cardiomyocytes	SRX17501250|Cardiomyocytes	SRX272969|CD4+_T_cells	SRX682273|CD4+_T_cells	SRX682274|CD4+_T_cells	SRX682276|CD4+_T_cells	SRX278097|CD8+_T_cells	SRX9719157|CD8+_T_cells	SRX9719159|CD8+_T_cells	SRX23264960|ES_cells	SRX23264961|ES_cells	SRX23264962|ES_cells	SRX23264963|ES_cells	SRX23264964|ES_cells	SRX23264965|ES_cells	SRX23264966|ES_cells	SRX23264967|ES_cells	SRX1117087|HAFTL	SRX7586623|Heart	SRX7586624|Heart	SRX7586625|Heart	SRX9951857|Liver	SRX9951858|Liver	SRX9951859|Liver	SRX9951860|Liver	SRX9951861|Liver	SRX9951862|Liver	SRX9951863|Liver	SRX9951864|Liver	SRX9951865|Liver	SRX9951866|Liver	SRX9951867|Liver	SRX9951868|Liver	SRX9951869|Liver	SRX9951870|Liver	SRX9951871|Liver	SRX9951872|Liver	SRX9951873|Liver	SRX9951874|Liver	SRX183787|nTreg	SRX183788|nTreg	SRX021879|Pro-B_cells	SRX2136458|Pro-B_cells	SRX1219538|Uterus	STRING
Prcc	221.891304	1075	2057	1427	1431	144	113	0	0	0	224	151	0	0	0	0	0	0	0	0	0	1192	1159	717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	517	0
Oasl1	221.478261	0	0	0	0	173	283	191	144	0	239	165	0	0	0	0	0	0	0	0	392	0	0	0	578	400	426	443	638	437	435	348	615	484	336	335	270	305	386	285	354	307	0	365	361	493	0	0
Erdr1	218.630435	1158	2192	1421	1715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1633	1101	631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	0
Pnkd	217.478261	1439	1937	1299	753	0	205	0	0	0	145	171	0	0	0	0	0	0	0	0	0	1632	1194	937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292	0
Aamp	217.478261	1439	1937	1299	753	0	205	0	0	0	145	171	0	0	0	0	0	0	0	0	0	1632	1194	937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292	0
Tmem115	216.282609	1653	2007	1111	1052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	1362	1569	535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	387	0
Arrdc3	213.239130	397	276	185	112	1129	1508	236	0	838	1417	1348	0	0	0	0	142	0	179	0	0	72	0	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	956	180	337	0	254	0
Map1lc3b	210.956522	1104	1049	992	578	537	532	114	0	258	902	472	0	0	0	0	0	0	0	0	0	649	720	622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	326	85	242	0	522	0
Nop14	208.000000	916	1925	957	991	213	299	0	0	0	424	172	0	0	0	0	0	0	0	0	0	1261	1216	610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	450	0
Grk4	208.000000	916	1925	957	991	213	299	0	0	0	424	172	0	0	0	0	0	0	0	0	0	1261	1216	610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	450	0
Cnnm3	207.739130	881	677	592	264	629	807	199	0	667	1126	867	0	0	0	0	0	0	163	0	0	642	521	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1018	182	0	0	169	0
Pot1a	206.543478	1045	773	628	403	564	1082	143	0	322	1289	838	0	0	0	0	0	0	0	0	0	413	616	465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	580	84	0	0	256	0
Pik3ip1	206.347826	1015	939	737	550	397	903	119	0	566	880	818	0	0	0	0	0	0	0	0	0	765	506	404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	558	105	0	0	230	0
Asmt	199.978261	444	641	462	344	293	411	315	0	234	369	250	0	0	0	0	0	0	0	0	343	141	295	391	382	248	359	371	0	216	268	313	208	315	0	0	0	0	0	0	0	0	217	262	223	317	567	0
Calcoco1	199.826087	1110	1998	1436	951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1400	1198	849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0
Mrpl34	199.130435	968	2149	1269	1221	0	0	0	0	0	144	154	0	0	0	0	0	0	0	0	0	1113	1256	573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	313	0
Abhd8	199.130435	968	2149	1269	1221	0	0	0	0	0	144	154	0	0	0	0	0	0	0	0	0	1113	1256	573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	313	0
Il31ra	197.717391	285	374	167	394	196	665	414	116	728	289	455	0	0	0	0	0	0	0	0	156	511	378	382	353	172	364	295	244	261	193	191	221	212	0	0	158	0	0	0	0	0	378	262	196	85	0	0
Sympk	196.891304	1768	1860	1076	930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1606	734	804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279	0
Foxa3	196.891304	1768	1860	1076	930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1606	734	804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279	0
Dda1	195.782609	968	2149	1269	1221	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	1113	1256	573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	313	0
Ccpg1os	195.586957	1302	1458	906	723	140	232	0	0	122	258	133	0	0	0	0	0	0	0	0	0	1198	984	906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	486	0
Ccpg1	195.586957	1302	1458	906	723	140	232	0	0	122	258	133	0	0	0	0	0	0	0	0	0	1198	984	906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	486	0
Tbc1d17	194.695652	483	1014	539	443	373	1355	0	0	634	911	902	0	0	0	0	0	0	0	0	0	450	484	337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	649	0	106	0	276	0
Akt1s1	194.695652	483	1014	539	443	373	1355	0	0	634	911	902	0	0	0	0	0	0	0	0	0	450	484	337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	649	0	106	0	276	0
9430015G10Rik	193.913043	1144	1780	1164	1009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1221	1423	802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	377	0
Zfp607b	193.369565	712	1415	1075	826	201	320	0	0	155	147	136	0	0	0	0	0	0	0	0	0	1305	1312	652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	477	0
Fam168a	192.500000	1156	1545	1083	716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1492	1526	950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	387	0
Mknk2	192.152174	468	458	313	188	1084	1214	298	0	620	981	891	0	0	0	0	0	0	0	0	0	200	515	296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	774	170	106	0	263	0
Gid4	191.652174	1358	1796	915	733	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1438	1178	961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294	0
Ube2b	188.282609	1077	827	700	282	406	908	169	0	342	954	581	0	0	0	0	0	0	0	0	0	463	570	397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	608	143	0	0	234	0
Cdkl3	188.282609	1077	827	700	282	406	908	169	0	342	954	581	0	0	0	0	0	0	0	0	0	463	570	397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	608	143	0	0	234	0
Btrc	187.195652	1157	1744	1165	925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	981	1271	1032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	336	0
Tpp2	186.434783	684	784	671	562	491	892	0	0	439	725	778	0	0	0	0	0	0	0	0	0	713	623	455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	422	0	0	0	337	0
Hexim2	186.282609	1356	1558	1498	753	212	174	0	0	0	429	228	0	0	0	0	0	0	0	0	0	784	799	610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0
Il16	186.108696	514	742	514	451	667	875	279	0	539	795	680	0	0	0	0	0	0	0	0	0	420	622	432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	529	135	159	0	208	0
Frg1	185.565217	677	1149	784	366	372	867	162	0	468	585	524	0	0	0	0	0	0	0	0	0	676	627	418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	330	140	142	0	249	0
Rmnd5a	185.347826	1171	1096	834	441	334	852	0	0	451	734	429	0	0	0	0	0	0	0	0	0	679	395	405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	492	0	0	0	213	0
Wwox	185.239130	350	560	463	440	179	372	450	1065	229	256	237	0	0	0	0	0	0	0	0	683	441	307	295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	587	638	706	0	0
Maf1	184.521739	1123	1468	721	543	0	224	0	0	177	204	131	0	0	0	0	0	0	0	0	0	1215	1163	790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	560	471
Sharpin	184.521739	1123	1468	721	543	0	224	0	0	177	204	131	0	0	0	0	0	0	0	0	0	1215	1163	790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	560	0
Gm35339	184.521739	1123	1468	721	543	0	224	0	0	177	204	131	0	0	0	0	0	0	0	0	0	1215	1163	790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	560	0
Sidt2	183.152174	437	306	220	131	537	1298	151	0	949	1476	867	0	0	0	0	0	0	0	0	0	155	274	287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1213	124	0	0	0	0
Ap2m1	182.478261	1033	1993	1029	908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1227	1132	703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369	0
Ypel3	180.739130	1168	555	775	449	423	735	299	0	416	737	605	0	0	0	0	0	0	0	0	0	462	422	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	473	160	165	0	309	0
Tbx6	180.739130	1168	555	775	449	423	735	299	0	416	737	605	0	0	0	0	0	0	0	0	0	462	422	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	473	160	165	0	309	0
Aak1	178.391304	1195	1304	869	813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1522	1168	833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	502	0
Nup153	177.108696	1225	1617	1023	696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1286	1221	762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	317	0
Ralbp1	176.956522	1422	1573	923	625	0	200	0	0	0	448	288	0	0	0	0	0	0	0	0	0	1090	651	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	218	0
Map3k10	175.608696	712	1415	1075	826	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1305	1312	652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	477	0
Zbtb7a	175.391304	1336	1822	1045	1010	0	0	0	0	0	143	132	0	0	0	0	0	0	0	0	0	798	992	585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	0
Tmem258	175.391304	824	1509	1079	618	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1490	1170	643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	533	0
Fen1	175.391304	824	1509	1079	618	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1490	1170	643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	533	0
Ddx17	175.304348	985	1170	1104	951	0	215	0	0	80	99	129	0	0	0	0	0	0	0	0	0	1075	1087	774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0	257	0
Desi2	174.413043	1070	1670	957	752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1333	1044	777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	420	0
Tprgl	170.782609	936	884	1012	477	444	218	128	0	255	709	652	0	0	0	0	0	0	0	0	0	605	672	505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	0	0	0	93	0
Rpgrip1l	170.717391	1107	1454	1035	732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1384	1038	802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301	0
Fto	170.717391	1107	1454	1035	732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1384	1038	802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301	0
Nr1d2	169.152174	800	713	418	184	283	899	174	0	514	824	641	0	0	0	0	0	0	0	0	0	569	362	294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	654	86	0	0	366	0
Tmem203	168.456522	817	787	466	329	276	842	346	0	374	1025	602	0	0	0	0	0	0	0	0	0	300	315	340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	399	127	228	0	176	0
Ndor1	168.456522	817	787	466	329	276	842	346	0	374	1025	602	0	0	0	0	0	0	0	0	0	300	315	340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	399	127	228	0	176	0
Plaa	167.369565	1089	1455	839	505	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1245	977	1013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	455	0
S1pr4	166.521739	940	1505	946	784	0	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	1299	952	792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252	0
Ncln	166.521739	940	1505	946	784	0	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	1299	952	792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252	0
Slc39a10	165.565217	1172	743	809	402	394	482	151	0	303	633	492	0	0	0	0	0	0	249	0	0	598	343	393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	309	0	0	0	143	0
Ndrg3	165.565217	1329	1114	1127	471	160	232	119	0	189	471	548	0	0	0	0	0	0	0	0	0	452	564	323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247	0	0	0	270	0
Usp5	164.239130	920	1677	911	836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1210	889	725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	387	0
Cdca3	164.239130	920	1677	911	836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1210	889	725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	387	0
Kiz	164.021739	406	389	261	119	434	1146	270	0	636	1075	898	0	0	0	0	0	0	0	0	0	197	152	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	803	150	120	0	318	0
Stag2	164.000000	1159	597	354	245	178	900	109	0	672	825	833	0	0	0	0	0	0	0	0	0	302	184	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	892	140	0	0	98	0
M6pr	163.956522	722	1805	1022	815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1127	1135	599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	317	0
Pdk4	163.065217	1474	1729	1138	948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	794	926	339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0
Timm22	162.760870	892	1379	1077	759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1117	1345	445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	473	0
Zer1	159.369565	1301	871	674	418	231	539	158	0	432	488	353	0	0	0	0	0	0	0	0	0	528	369	411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	395	0	0	0	163	0
1110004F10Rik	159.260870	788	1464	998	649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1161	1099	827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	340	0
Katnal1	158.869565	1224	1406	869	667	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1234	870	595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	353	0
Zcchc8	158.152174	737	1589	827	789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	988	1443	666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	0
Smpd3	157.347826	957	1397	1128	591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1117	946	592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	510	0
Pxk	156.913043	196	133	140	0	415	1584	828	0	966	827	589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1038	350	152	0	0	0
Tmem88	156.021739	1159	1192	629	636	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1227	1038	818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	368	0
Stk11	155.739130	427	596	223	180	515	1061	171	0	560	827	628	0	0	0	0	0	0	0	0	0	307	212	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	747	103	191	0	187	0
Smarcal1	154.326087	617	1617	1138	645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1107	1032	665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278	0
Banp	153.739130	766	1413	890	855	0	154	91	0	0	0	0	0	0	0	0	0	0	0	0	0	767	847	623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	514	0
Naa38	153.630435	1159	1192	629	636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1227	1038	818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	368	0
Cyb5d1	153.630435	1159	1192	629	636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1227	1038	818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	368	0
Cbll1	153.000000	787	775	510	408	255	476	0	0	329	613	295	0	0	0	0	0	0	0	0	0	789	533	611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	342	0	0	0	315	0
Nudcd1	152.130435	765	1525	885	759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1057	1088	677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	0
Eny2	152.130435	765	1525	885	759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1057	1088	677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	0
Tial1	152.043478	959	1331	971	733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1022	843	814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	321	0
Phf13	152.021739	1337	1375	828	527	0	225	0	0	0	242	181	0	0	0	0	0	0	0	0	0	782	694	657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0
Etv5	151.391304	696	933	789	453	109	753	86	0	291	275	226	0	0	0	0	0	0	0	0	0	526	520	407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	430	0	166	0	304	0
Olfr806	151.260870	0	0	0	0	209	470	710	1139	307	481	466	0	0	0	0	0	0	0	0	663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	329	691	679	814	0	0
Pemt	151.065217	1035	1487	984	735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	934	823	637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	314	0
Mynn	150.673913	906	1424	843	593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1075	1057	743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	290	0
Actrt3	150.673913	906	1424	843	593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1075	1057	743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	290	0
