Target_genes	Maff|Average	SRX122436|Dendritic_Cells	SRX122437|Dendritic_Cells	SRX122438|Dendritic_Cells	SRX122439|Dendritic_Cells	SRX3730247|Trophoblast_stem_cells	SRX3730248|Trophoblast_stem_cells	SRX3730279|Trophoblast_stem_cells	STRING
Slc39a13	230.571429	0	0	0	0	491	232	891	0
Trim80	229.857143	0	0	0	0	438	143	1028	0
Ccl1	229.857143	0	0	0	0	855	339	415	0
Secisbp2	229.285714	0	0	0	0	522	0	1083	0
Rasal1	229.142857	105	0	118	0	703	167	511	0
Slc38a7	228.857143	279	0	226	0	157	0	940	0
Cdk19	228.142857	0	0	0	0	531	112	954	0
Pcyox1l	227.571429	0	0	0	0	725	158	710	0
Gclm	227.428571	0	0	0	0	587	105	900	0
Cops6	227.285714	0	0	0	0	674	185	732	0
Abcf3	227.285714	0	0	0	0	720	0	871	0
Shkbp1	226.000000	128	0	0	0	410	0	1044	0
Rb1cc1	226.000000	0	0	0	0	520	174	888	0
Ppp1r1a	225.428571	124	95	207	67	545	0	540	0
Irf2bp2	225.142857	0	0	0	0	459	171	946	0
Cmbl	224.571429	187	0	107	200	571	0	507	0
Alkbh5	223.857143	0	0	0	0	688	0	879	0
Rreb1	223.714286	198	81	0	0	670	0	617	0
Wwox	222.000000	309	322	417	350	0	0	156	0
Haspin	220.857143	0	0	0	0	871	135	540	0
Susd2	220.285714	0	0	0	0	591	237	714	0
Park7	218.428571	0	0	0	0	558	133	838	0
Plekhg2	218.000000	0	0	0	0	792	156	578	0
Tube1	217.714286	0	0	0	0	476	101	947	0
Fam229b	217.714286	0	0	0	0	476	101	947	0
Echs1	217.285714	0	0	0	0	441	168	912	0
Ube2e3	216.428571	0	0	0	0	403	123	989	0
Numbl	215.285714	123	0	0	119	439	152	674	0
Txnrd1	214.857143	0	0	0	0	548	148	808	0
Capn1	214.571429	175	0	0	0	532	167	628	0
Serpinb9c	214.428571	152	0	0	160	386	0	803	0
Mrc1	214.142857	158	233	225	148	379	0	356	0
Aox2	214.142857	0	0	0	0	652	163	684	0
Xpo7	214.000000	0	0	0	0	716	217	565	0
Mapk8ip2	213.857143	0	0	0	0	664	122	711	0
Gid4	213.857143	149	124	0	0	636	112	476	0
Nynrin	213.714286	0	0	0	0	911	141	444	0
Samd11	213.428571	255	270	168	275	343	0	183	0
Nup153	213.428571	163	0	0	0	415	0	916	0
Gpi1	213.000000	0	0	0	0	553	197	741	0
Clasp2	211.000000	0	0	0	0	615	223	639	0
Irf2bpl	209.857143	100	89	0	133	425	161	561	0
Psmg2	209.428571	93	0	0	0	408	246	719	0
Cep76	209.428571	93	0	0	0	408	246	719	0
Me1	208.428571	0	0	0	0	380	205	874	0
Cdc42bpb	208.142857	0	0	0	0	300	171	986	0
Akirin2	208.142857	138	0	142	193	403	0	581	0
Dnaja1	207.857143	0	0	0	0	429	98	928	0
3110082I17Rik	207.714286	0	0	0	0	584	70	800	0
Zfand6	207.142857	0	0	0	0	432	117	901	0
Adssl1	206.571429	0	0	0	0	583	135	728	0
Jarid2	205.714286	0	124	0	0	689	0	627	0
Rnf183	205.571429	0	0	0	0	501	164	774	0
Dagla	205.285714	0	0	0	0	1136	106	195	0
Smo	205.142857	0	0	0	0	833	239	364	0
Arrb2	204.142857	243	126	127	290	373	0	270	0
Otulinl	204.000000	0	0	0	0	566	231	631	0
Ahr	203.571429	134	166	128	134	522	0	341	0
Znhit3	202.571429	0	0	0	0	517	149	752	0
Grsf1	202.285714	0	0	0	0	732	158	526	0
Wdyhv1	202.000000	208	157	109	109	296	0	535	0
Tmem125	201.714286	282	343	291	241	0	0	255	0
Strbp	201.714286	0	0	0	0	706	143	563	0
Gclc	201.571429	0	0	0	0	790	0	621	0
Olfr806	200.714286	303	281	431	390	0	0	0	0
Cltc	200.714286	0	0	0	0	539	220	646	0
Nsf	199.857143	0	0	0	0	256	178	965	0
H2-DMa	199.857143	0	0	0	0	519	113	767	0
Brd2	199.857143	0	0	0	0	519	113	767	0
Rpgrip1l	199.714286	173	0	0	0	409	182	634	0
Fto	199.714286	173	0	0	0	409	182	634	0
Ncoa4	199.571429	0	0	0	0	635	0	762	0
Tbc1d16	199.428571	0	0	0	0	197	0	1199	0
Ccdc40	199.428571	0	0	0	0	197	0	1199	0
Mbl2	199.285714	0	0	0	0	499	253	643	0
Prss57	199.000000	0	0	0	0	338	0	1055	0
Palm	199.000000	0	0	0	0	338	0	1055	0
Pxmp4	198.714286	182	0	0	0	461	77	671	0
Ren2	197.857143	0	0	0	165	561	0	659	0
Ren1	197.857143	0	0	0	165	561	0	659	0
Gnao1	197.428571	0	0	0	0	372	252	758	0
Abhd6	197.142857	266	243	444	326	0	0	101	0
Trim11	196.857143	0	0	0	0	432	0	946	0
Szrd1	196.428571	0	0	0	0	577	0	798	0
Spef1l	196.428571	97	0	0	173	277	169	659	0
Npas4	196.000000	0	0	0	0	588	0	784	0
Timm10	195.714286	0	0	0	0	416	236	718	0
Smtnl1	195.714286	0	0	0	0	416	236	718	0
Pgrmc2	195.285714	0	0	0	0	533	142	692	0
Aunip	195.285714	0	0	0	0	450	125	792	0
Trim30b	195.000000	0	0	0	0	484	0	881	0
Trim12c	195.000000	0	0	0	0	484	0	881	0
Tada2a	194.714286	0	0	0	0	423	242	698	0
Chmp6	194.571429	0	0	0	0	246	0	1116	0
Tmem256	193.857143	0	0	0	0	493	0	864	0
Sdc1	193.857143	0	0	0	0	395	0	962	0
Nlgn2	193.857143	0	0	0	0	493	0	864	0
Creld1	193.714286	0	0	0	0	586	186	584	0
Engase	193.142857	0	0	0	0	437	129	786	0
Tspan4	193.000000	0	0	0	0	377	188	786	0
Zbtb8b	192.857143	0	0	0	0	735	221	394	0
Gm2004	192.857143	0	0	0	0	372	428	550	0
Septin9	192.571429	0	0	0	0	0	0	1348	0
Zcwpw1	191.714286	0	0	0	0	456	0	886	0
Mepce	191.714286	0	0	0	0	456	0	886	0
Gm6710	191.714286	0	0	0	0	390	317	635	0
Gm14391	191.714286	0	0	0	0	390	317	635	0
Bin1	191.714286	0	0	0	0	554	0	788	0
Slc25a25	191.428571	0	0	0	0	720	0	620	0
Naif1	191.428571	0	0	0	0	720	0	620	0
Ryk	191.142857	0	0	0	0	354	241	743	0
Ago3	191.000000	0	0	0	0	513	0	824	0
Tpcn1	190.428571	0	0	0	0	483	253	597	0
Iqcd	190.428571	0	0	0	0	483	253	597	0
Pak6	190.142857	154	0	0	0	534	134	509	0
Metrnl	189.857143	0	0	0	0	533	136	660	0
Dnaja3	189.571429	0	0	0	0	414	197	716	0
Coro7	189.571429	0	0	0	0	414	197	716	0
Enpp7	189.142857	0	0	0	0	234	0	1090	0
Eepd1	188.571429	179	0	128	135	474	0	404	0
Rhbdd3	188.285714	0	0	0	0	372	140	806	0
Ewsr1	188.285714	0	0	0	0	372	140	806	0
Mmp9	188.142857	169	0	102	185	348	149	364	0
Ubap1	187.857143	0	0	0	0	222	0	1093	0
Fnbp1	187.571429	0	0	0	0	273	0	1040	0
Gm14295	187.285714	0	0	0	0	340	411	560	0
Zfp397	187.000000	0	113	0	105	526	0	565	0
Hacd4	186.857143	301	158	261	297	0	0	291	0
Tomm20	186.714286	0	0	0	0	543	0	764	0
Rhobtb1	186.571429	0	0	0	0	512	121	673	0
Fos	186.571429	0	0	0	0	410	173	723	0
A930033H14Rik	186.571429	0	0	0	0	512	121	673	0
Kcnrg	186.000000	0	0	0	0	708	0	594	0
Pcdh7	185.857143	0	0	0	0	545	173	583	0
Olfr1341	185.857143	0	0	0	0	660	0	641	0
Gm33989	185.857143	0	0	0	0	666	0	635	0
Lrrk1	183.428571	0	0	0	0	632	227	425	0
Kifc1	182.714286	0	0	0	0	294	182	803	0
Tubb5	182.142857	0	0	0	0	562	126	587	0
Mdc1	182.142857	0	0	0	0	562	126	587	0
Crcp	182.000000	0	0	0	0	354	157	763	0
Lgr4	181.857143	0	0	0	0	598	109	566	0
Lratd1	181.428571	0	0	0	0	595	220	455	0
Gm13285	181.428571	0	0	0	0	330	452	488	0
Top1mt	181.285714	0	0	0	0	438	167	664	0
Tcte3	180.857143	0	0	0	0	403	169	694	0
Gm3448	180.857143	0	0	0	0	403	169	694	0
Gm3417	180.857143	0	0	0	0	403	169	694	0
Eif4e2	180.714286	0	0	0	0	326	119	820	0
Caskin1	180.714286	0	0	0	0	506	193	566	0
Gm14326	180.571429	0	0	0	0	357	192	715	0
Ptpn3	180.428571	0	0	0	0	507	127	629	0
Mef2d	180.428571	0	0	0	0	407	0	856	0
Psmc2	180.142857	0	0	0	0	452	158	651	0
Dnajc2	180.142857	0	0	0	0	452	158	651	0
Gm14440	180.000000	0	0	0	0	285	194	781	0
Gm14288	180.000000	0	0	0	0	285	194	781	0
Calm3	180.000000	0	0	0	0	502	222	536	0
Sumo2	179.714286	0	0	0	0	424	178	656	0
Ei24	179.428571	154	0	144	0	539	0	419	0
Snx3	179.142857	0	0	0	0	489	0	765	0
Timm13	178.428571	0	0	0	0	352	135	762	0
Clpx	178.428571	0	0	0	0	444	0	805	0
Lrrc8b	178.142857	0	0	0	0	299	152	796	0
Cyb5a	178.000000	0	0	0	0	424	136	686	0
Blcap	178.000000	0	0	0	0	419	149	678	0
Zfp267	177.857143	166	0	0	162	547	0	370	0
Snd1	177.714286	0	0	0	0	490	99	655	0
Sord	177.142857	0	0	0	0	541	311	388	0
Slc2a7	176.000000	0	0	0	0	516	90	626	0
Cep55	176.000000	0	0	0	0	608	86	538	0
Gm3435	175.857143	0	0	0	0	403	159	669	0
Unkl	175.714286	0	0	0	0	482	198	550	0
Rubcn	175.571429	0	0	0	0	642	0	587	0
Rai1	175.285714	0	0	0	0	556	176	495	0
Msi2	175.285714	0	0	0	0	640	105	482	0
Prrg4	175.142857	0	0	0	0	279	0	947	0
Wsb1	175.000000	0	0	0	85	549	143	448	0
Wdr78	174.857143	0	0	0	0	455	135	634	0
Nkx6-3	174.857143	0	0	0	0	614	124	486	0
Mier1	174.857143	0	0	0	0	455	135	634	0
Camk2g	174.857143	0	0	0	0	336	160	728	0
Slc25a40	174.142857	84	0	0	0	387	0	748	0
Pola2	174.142857	0	0	0	0	204	0	1015	0
Dbf4	174.142857	84	0	0	0	387	0	748	0
Gm13287	173.714286	0	0	0	0	276	452	488	0
Gm13275	173.714286	0	0	0	0	276	452	488	0
Ky	173.571429	0	0	0	0	754	221	240	0
Gdpd1	173.428571	0	0	0	0	460	0	754	0
Plekha2	173.142857	0	0	0	0	430	139	643	0
Gm13272	173.142857	0	0	0	0	330	426	456	0
Gm13290	172.714286	0	0	0	0	330	391	488	0
Gm13289	172.714286	0	0	0	0	330	391	488	0
Atrnl1	172.714286	96	131	0	0	405	174	403	0
Aprt	172.714286	0	0	0	0	420	106	683	0
Zfand5	172.428571	0	0	0	0	436	154	617	0
Zc3h11a	172.285714	0	0	0	0	472	0	734	0
Zbed6	172.285714	0	0	0	0	472	0	734	0
Far1	172.285714	136	0	150	341	303	0	276	0
Tox4	171.285714	0	0	0	0	443	200	556	0
Rab2b	171.285714	0	0	0	0	443	200	556	0
Tjap1	171.142857	0	0	0	0	667	0	531	0
2210418O10Rik	170.714286	0	0	0	0	274	453	468	0
Tmem219	170.571429	0	0	0	0	560	105	529	0
Rmnd5a	170.571429	262	151	217	308	0	0	256	0
Dynlt1f	170.571429	0	0	0	0	562	181	451	0
Dynlt1c	170.571429	0	0	0	0	562	181	451	0
Trim35	170.428571	0	0	0	0	236	0	957	0
Cnot2	170.142857	125	0	0	0	512	0	554	0
Sbk1	169.857143	202	0	0	0	422	130	435	0
Pick1	169.714286	0	0	0	0	521	124	543	0
Lsp1	169.428571	190	111	141	0	378	0	366	0
Il31ra	169.428571	0	0	0	0	596	180	410	0
Adrm1	169.428571	0	0	0	0	449	127	610	0
Tdrd7	169.142857	0	0	0	0	271	0	913	0
Mtss1	168.571429	0	0	0	0	249	182	749	0
Calml4	168.285714	0	0	0	0	547	337	294	0
Mt3	167.714286	0	0	0	0	264	0	910	0
Fbxl3	167.714286	0	0	0	0	354	168	652	0
Abcc4	167.428571	128	0	0	0	358	0	686	0
Flvcr1	167.285714	0	0	0	0	397	176	598	0
Fbxo5	167.285714	0	0	0	0	375	0	796	0
Prrx2	166.857143	0	0	0	0	153	0	1015	0
Cbl	166.142857	0	0	0	0	392	160	611	0
Slc4a5	166.000000	0	0	0	116	665	0	381	0
Aff1	165.857143	120	0	172	0	364	152	353	0
Rit1	165.714286	0	0	0	0	395	0	765	0
Htatip2	165.571429	0	0	0	0	235	0	924	0
Twf2	165.428571	0	0	0	0	721	114	323	0
Ppm1m	165.428571	0	0	0	0	721	114	323	0
Hagh	165.285714	0	0	0	0	330	0	827	0
Fahd1	165.285714	0	0	0	0	330	0	827	0
Erdr1	165.142857	0	0	0	0	379	291	486	0
Mrpl45	165.000000	0	0	0	0	368	150	637	0
Gm13288	164.857143	0	0	0	0	275	391	488	0
Dock9	164.857143	0	0	0	0	304	105	745	0
Lyplal1	164.571429	0	0	0	0	582	0	570	0
Gm45521	164.285714	0	0	0	0	423	71	656	0
Eif4e	164.285714	0	0	0	0	359	0	791	0
C1qtnf1	164.285714	0	0	0	0	517	134	499	0
Krt18	164.142857	0	0	0	0	164	0	985	0
Ifnz	164.142857	0	0	0	0	300	426	423	0
Cd276	164.142857	0	0	96	156	567	96	234	0
Tmcc1	164.000000	0	0	0	0	290	127	731	0
Dus1l	164.000000	0	0	0	0	439	146	563	0
Plec	163.857143	0	0	0	101	487	0	559	0
Nudt3	163.428571	0	0	0	0	525	0	619	0
Csnk2a1	163.428571	0	0	0	0	356	172	616	0
Rad9a	163.142857	0	0	0	0	511	0	631	0
Flacc1	162.571429	0	0	0	0	609	198	331	0
1810010H24Rik	162.571429	0	0	0	0	292	184	662	0
Csnk1g3	162.428571	0	0	0	0	432	0	705	0
Lancl1	162.285714	0	0	0	0	464	164	508	0
Cxcl10	162.000000	0	0	0	0	406	0	728	0
Pnpla8	161.857143	0	0	0	0	466	0	667	0
Fbxo7	161.428571	0	0	0	0	380	145	605	0
Cyrib	161.428571	0	0	139	156	330	0	505	0
Pitrm1	160.714286	0	0	0	0	145	0	980	0
Dcun1d4	159.857143	0	0	0	0	608	193	318	0
Mrnip	159.285714	0	0	0	0	357	171	587	0
Sumo3	158.857143	0	0	0	0	443	181	488	0
Obsl1	158.857143	0	0	0	0	221	0	891	0
Inha	158.857143	0	0	0	0	221	0	891	0
Ifi204	158.857143	141	0	166	180	290	0	335	0
Nt5c1a	158.714286	0	0	0	0	487	92	532	0
Ccdc130	158.714286	0	0	0	0	405	127	579	0
Cldn5	158.571429	0	0	0	0	200	0	910	0
Ermard	158.428571	0	0	0	0	246	169	694	0
Atp5g1	158.428571	0	0	0	0	196	0	913	0
Gtf2a2	158.142857	0	0	0	0	301	0	806	0
Ubxn2a	157.571429	0	0	0	0	389	127	587	0
Fgf9	157.571429	0	0	121	0	427	0	555	0
Ankrd55	157.571429	0	0	0	0	303	0	800	0
Rptor	157.428571	0	0	0	0	363	121	618	0
Tef	157.285714	0	0	0	0	229	106	766	0
Cnksr3	157.285714	0	0	0	0	247	0	854	0
Tnfrsf9	157.142857	0	0	0	0	290	0	810	0
Ptov1	157.142857	0	0	0	0	505	239	356	0
