Target_genes	Cbfb|Average	SRX184870|CD4+_T_cells	SRX5780109|CD4+_T_cells	SRX2527476|CD8+_T_cells	SRX2527477|CD8+_T_cells	SRX2527478|CD8+_T_cells	SRX5780111|CD8+_T_cells	SRX2389669|Embryonic_liver	SRX2389670|Embryonic_liver	SRX2389671|Embryonic_liver	SRX4676998|Innate_lymphoid_cells	SRX4676999|Innate_lymphoid_cells	SRX4677003|Innate_lymphoid_cells	SRX4677004|Innate_lymphoid_cells	SRX105447|L8057	SRX105451|L8057	SRX105457|Thymocytes	SRX105461|Thymocytes	SRX2389672|Thymocytes	SRX2389673|Thymocytes	SRX2389674|Thymocytes	SRX184869|Treg	STRING
Sfr1	686.333333	0	1231	230	0	297	1239	453	662	1283	425	398	158	141	398	443	394	0	2215	2241	2205	0	0
Clptm1	685.238095	0	1701	212	0	361	2140	593	485	1672	290	258	167	185	633	473	262	107	1575	1573	1703	0	0
Ggt5	684.666667	0	2034	129	0	222	2192	186	244	1117	340	328	86	119	298	152	128	0	2394	2402	2007	0	0
Eif3g	683.190476	0	1630	0	0	143	1595	234	247	982	506	588	405	316	1333	1109	338	0	1698	1707	1516	0	0
Atr	677.380952	0	2173	114	0	180	1833	411	369	1346	287	266	0	118	1020	830	388	0	1586	1623	1681	0	0
1700065D16Rik	677.380952	0	2173	114	0	180	1833	411	369	1346	287	266	0	118	1020	830	388	0	1586	1623	1681	0	0
Sypl	676.571429	0	1816	147	0	310	2133	581	881	1633	303	323	0	124	1340	684	0	0	1303	1237	1393	0	0
Cenpw	675.190476	0	1499	135	0	362	1485	281	453	1226	345	339	358	244	1404	1315	166	0	1759	1284	1524	0	0
Hdac10	671.714286	0	2250	176	0	242	2958	490	775	1350	328	375	139	177	602	241	0	0	1480	1350	1173	0	0
Gpr146	662.666667	0	1830	0	0	135	1952	383	454	1158	389	492	206	294	498	616	272	0	1780	1984	1473	0	0
Dhx16	656.047619	0	1459	226	0	238	1560	592	998	2047	272	239	80	134	668	417	206	0	1628	1250	1763	0	0
Rwdd1	654.714286	0	1061	0	0	265	1393	409	455	1515	301	414	220	168	965	700	147	0	2071	1827	1838	0	0
Mmp9	653.476190	0	1930	120	0	0	2226	377	849	1141	0	0	0	0	829	0	370	0	2090	2074	1717	0	0
Slc2a3	650.761905	0	1283	0	0	196	1286	301	588	1296	726	625	298	184	1389	865	209	0	1504	1486	1430	0	0
Scaf8	644.428571	0	1464	217	0	538	1848	498	761	1265	505	636	393	135	767	574	144	0	1298	1074	1416	0	0
Egr2	640.380952	0	1572	111	0	326	1572	0	99	611	510	574	152	267	1008	464	125	0	2005	2142	1910	0	0
Polr2j	638.523810	0	1659	0	0	238	1400	385	360	1131	399	419	159	205	958	800	155	0	1764	1631	1746	0	0
Runx3	638.190476	0	1194	142	0	320	2249	558	777	1309	569	782	232	216	1161	1040	0	0	1020	877	956	0	0
Arpc3	632.666667	0	1684	0	0	132	1626	220	243	1085	380	373	195	206	1013	649	175	0	1911	1647	1747	0	0
Gclm	632.428571	0	1195	150	0	155	1795	670	867	1539	326	220	217	163	1352	959	193	0	1389	1009	1082	0	0
Metrnl	632.285714	0	1442	0	0	256	2188	0	0	176	239	125	0	0	913	776	299	0	2267	2406	2191	0	0
Med7	629.380952	0	1845	290	0	348	1858	174	331	827	495	375	163	274	630	289	231	0	1856	1492	1739	0	0
Orc5	626.952381	0	1383	77	0	268	1329	386	375	1305	369	461	224	187	1338	919	148	0	1546	1246	1605	0	0
Nfkb2	625.333333	0	988	178	0	167	1247	458	333	1022	337	478	249	277	1504	1175	182	0	1612	1480	1445	0	0
Zfp1	625.095238	0	1132	0	0	95	1310	627	953	1691	230	257	0	174	1165	915	264	0	1446	1541	1327	0	0
Pcyt1a	617.095238	0	575	0	0	208	1121	514	623	1589	253	253	346	252	838	486	143	0	1980	2024	1754	0	0
Rap1gap2	615.761905	0	1615	79	0	397	1730	309	410	858	0	107	0	0	781	552	186	0	1889	2179	1839	0	0
Fhit	614.857143	0	1340	166	0	136	1303	241	257	977	277	234	114	164	1187	904	170	0	2007	1566	1869	0	0
Ccnd3	613.809524	0	1723	0	0	238	1981	424	740	1333	300	432	0	173	889	578	340	103	1206	1452	978	0	0
Card6	606.285714	0	1778	0	0	0	1805	180	155	426	312	240	169	0	420	370	0	0	2338	2323	2216	0	0
Lamtor5	602.809524	0	1525	157	0	135	1408	536	629	1621	299	281	204	103	1100	717	253	0	1124	1096	1471	0	0
Il17ra	602.428571	0	1622	136	0	117	1794	231	569	1003	246	319	156	195	767	610	298	0	1484	1812	1292	0	0
Camsap2	594.333333	0	920	185	0	258	1222	733	1069	1672	580	396	133	243	585	320	187	0	1410	1267	1301	0	0
Erich1	593.190476	0	917	0	0	0	1024	942	1150	1862	350	230	141	115	708	383	241	0	1619	1408	1367	0	0
Slc39a13	590.952381	0	894	254	0	309	1875	332	357	1086	327	253	0	152	725	645	127	0	1906	1504	1664	0	0
Naa25	585.619048	0	603	0	0	160	1342	583	1078	1799	229	161	98	191	1270	1214	149	0	1148	1232	1041	0	0
Kri1	584.523810	0	1343	135	0	471	1582	545	685	1441	361	312	174	172	634	613	173	0	1329	1135	1170	0	0
Cdkn2d	584.523810	0	1343	135	0	471	1582	545	685	1441	361	312	174	172	634	613	173	0	1329	1135	1170	0	0
Tmem125	584.095238	0	232	2034	416	809	231	725	906	908	539	592	406	412	472	292	152	134	864	896	1037	209	0
Get4	577.095238	0	2230	97	0	312	1829	300	409	1665	285	316	153	143	410	296	291	0	1012	1108	1263	0	0
Serping1	575.428571	0	1755	0	0	190	2074	0	0	0	144	0	0	0	0	0	142	0	2863	2614	2302	0	0
Podnl1	574.380952	0	1827	113	0	436	2139	0	0	101	273	274	294	264	1397	667	214	0	1453	1387	1223	0	0
Chd8	569.000000	0	1166	130	0	247	1556	213	456	1075	346	436	169	0	712	659	180	0	1510	1399	1695	0	0
Csnk1g2	568.476190	0	941	0	0	438	1426	403	502	1617	549	575	216	197	479	341	247	0	1320	1386	1301	0	0
Ncbp3	568.333333	0	1355	0	0	359	1363	174	294	677	176	410	209	158	800	493	277	0	1812	1506	1872	0	0
Ssh2	567.380952	0	1585	0	0	0	1878	0	0	377	159	246	0	159	296	191	164	0	2311	2477	2072	0	0
Dhrs11	566.095238	0	721	153	0	101	1135	572	823	1775	433	346	144	92	1490	929	134	0	1185	861	994	0	0
Runx1	563.571429	0	956	0	0	290	763	330	665	1081	409	386	117	129	1137	1121	223	0	1522	1521	1185	0	0
Ptpre	560.380952	0	1343	0	0	162	1372	141	176	524	0	0	127	162	659	663	190	0	2293	2141	1815	0	0
Otud6b	558.523810	0	1121	102	0	196	1411	345	475	1441	349	322	158	252	687	521	135	0	1469	1241	1504	0	0
Setx	558.428571	0	1483	120	0	468	1556	396	668	1208	349	331	125	128	524	622	278	0	1285	1004	1182	0	0
Lat	557.857143	0	1443	70	0	179	1252	174	203	752	242	0	0	0	1150	848	228	0	1716	1739	1719	0	0
Lysmd3	556.619048	0	1587	249	0	349	1996	332	443	1247	286	467	227	135	550	404	190	0	1086	1090	1051	0	0
Tjp1	551.952381	0	952	0	0	0	964	565	785	1140	0	0	0	0	847	556	0	0	2109	1945	1728	0	0
Pikfyve	550.857143	0	1278	0	0	310	1357	235	459	1087	275	373	126	116	1193	598	0	0	1540	1311	1310	0	0
Idh1	550.857143	0	1278	0	0	310	1357	235	459	1087	275	373	126	116	1193	598	0	0	1540	1311	1310	0	0
Tut7	550.476190	0	1543	149	0	338	1344	257	420	1094	316	423	217	131	681	557	159	0	1443	989	1499	0	0
Rbm15b	547.904762	0	1649	271	0	321	2144	334	393	965	241	174	91	135	434	348	0	0	1412	1365	1229	0	0
Manf	547.904762	0	1649	271	0	321	2144	334	393	965	241	174	91	135	434	348	0	0	1412	1365	1229	0	0
Nop2	546.476190	0	1003	247	0	288	1471	348	458	1188	436	302	162	171	945	479	75	0	1402	1355	1146	0	0
Asmt	545.714286	0	224	1038	682	545	285	801	630	733	491	361	554	417	752	517	149	103	1125	783	993	277	0
Dzip1	544.761905	0	2229	0	0	118	2087	0	0	204	311	148	163	0	225	226	173	0	1869	2135	1552	0	0
Prkag1	544.571429	0	1082	102	0	357	1570	203	389	1138	368	443	154	129	1045	677	210	0	1084	1268	1217	0	0
Sdc4	543.809524	0	641	0	0	0	1524	164	608	992	322	268	164	269	532	113	190	0	2002	1955	1676	0	0
Stat1	543.000000	0	1215	102	0	201	1110	219	413	1051	298	235	112	127	1283	673	295	0	1558	1346	1165	0	0
Dock10	542.904762	0	1181	0	0	115	1604	0	261	637	245	278	0	146	389	263	0	0	2186	1916	2180	0	0
Atp6v0a1	542.380952	0	1667	99	0	0	1659	231	293	752	240	233	173	176	292	196	140	0	1824	1805	1610	0	0
Limd2	541.571429	0	1611	167	0	316	1396	226	401	651	0	0	0	0	892	365	451	0	1472	2039	1386	0	0
Calu	540.333333	0	1064	110	0	311	1022	247	323	1116	319	340	226	0	773	623	127	0	1752	1465	1529	0	0
Hemgn	538.523810	0	981	66	0	0	1654	107	120	481	0	0	0	0	713	429	125	0	2378	2288	1967	0	0
Pcx	535.047619	0	1037	0	0	115	995	306	529	1490	214	265	127	88	742	499	139	0	1832	1364	1494	0	0
Nme1	534.714286	0	850	87	0	341	1140	204	200	765	325	241	153	106	963	765	129	0	1915	1387	1658	0	0
Tmem229b	533.857143	0	979	77	0	201	972	156	474	860	265	267	277	224	736	502	194	0	1784	1708	1535	0	0
Sphk2	533.238095	0	1319	0	0	158	1457	163	114	833	404	457	188	222	880	604	0	0	1446	1574	1379	0	0
Rpl18	533.238095	0	1319	0	0	158	1457	163	114	833	404	457	188	222	880	604	0	0	1446	1574	1379	0	0
Fam83e	533.238095	0	1319	0	0	158	1457	163	114	833	404	457	188	222	880	604	0	0	1446	1574	1379	0	0
Gpn2	531.857143	0	1131	90	0	161	1345	193	290	967	403	409	277	249	1001	714	194	0	1289	1259	1197	0	0
Trap1	531.571429	0	942	194	0	336	854	347	395	965	200	347	112	241	796	781	223	0	1711	1208	1511	0	0
Slc37a3	530.523810	0	1291	0	0	152	1227	260	389	941	241	231	196	126	831	457	172	0	1616	1617	1394	0	0
Pcnp	529.523810	0	1223	138	0	361	1584	158	0	853	332	225	180	174	871	596	181	0	1335	1376	1533	0	0
Rab19	528.666667	0	1291	0	0	152	1227	260	385	906	241	231	196	126	831	457	172	0	1616	1617	1394	0	0
Eif4a1	528.238095	0	891	201	0	314	1307	362	360	1041	295	225	0	142	1236	826	187	0	1317	1248	1141	0	0
Snrnp70	527.571429	0	723	101	0	312	1154	360	271	1003	296	212	272	195	1285	768	0	0	1382	1373	1372	0	0
Grap2	526.619048	0	1516	0	0	341	1610	216	214	750	168	146	84	131	487	356	274	0	1618	1823	1325	0	0
Arid5a	526.571429	0	764	159	0	179	838	420	744	1458	185	173	0	119	672	522	123	0	1702	1411	1589	0	0
Harbi1	524.761905	0	772	107	0	143	1491	202	127	622	408	291	0	0	360	389	78	0	2141	1832	2057	0	0
Atg13	524.761905	0	772	107	0	143	1491	202	127	622	408	291	0	0	360	389	78	0	2141	1832	2057	0	0
Calm3	524.428571	0	1100	99	0	322	1300	214	164	825	490	420	178	149	653	346	140	0	1650	1475	1488	0	0
Atp13a2	524.428571	0	656	0	0	0	1144	256	964	1528	307	108	0	0	1905	1841	0	0	830	839	635	0	0
Lnpep	523.190476	0	794	100	0	289	894	270	517	1156	375	321	231	184	1233	814	221	0	1218	1173	1197	0	0
Kdm3a	522.333333	0	489	159	0	301	952	169	207	887	347	309	108	167	929	660	278	0	1746	1552	1709	0	0
Slc25a4	521.761905	0	520	156	0	0	939	316	351	1117	292	360	175	323	1495	1059	180	0	1134	1342	1198	0	0
Sema4d	520.857143	0	1366	150	0	131	1863	345	289	876	144	161	0	0	1367	1070	137	0	1067	923	1049	0	0
Rpl22	516.809524	0	872	295	0	163	1238	350	317	928	459	340	185	148	1023	870	0	0	1422	1045	1198	0	0
Rps12	514.857143	0	1705	54	0	240	1669	167	107	657	332	238	115	0	539	484	328	0	1263	1423	1491	0	0
Arhgap30	512.904762	0	1324	89	0	278	1571	0	160	827	408	317	168	148	283	383	211	0	1613	1542	1449	0	0
Yipf2	512.095238	0	686	74	0	0	843	180	169	650	325	364	156	215	1448	1215	189	0	1415	1159	1666	0	0
Timm29	512.095238	0	686	74	0	0	843	180	169	650	325	364	156	215	1448	1215	189	0	1415	1159	1666	0	0
Cdkn2aipnl	511.809524	0	1742	118	0	272	1501	255	358	1139	263	138	127	0	549	319	269	0	1273	1123	1302	0	0
Limk2	509.190476	0	1319	102	0	296	1142	211	214	945	283	285	99	188	760	624	149	0	1568	1107	1401	0	0
Iqgap2	508.571429	0	1080	121	0	392	1277	220	404	1019	118	0	81	0	403	155	350	0	1737	1780	1543	0	0
Usp33	507.809524	0	1931	186	0	183	1760	173	482	753	189	326	0	0	771	326	0	0	1288	1197	1099	0	0
Ift46	507.571429	0	1067	0	0	216	1263	225	150	953	206	281	0	0	748	506	224	0	1807	1420	1593	0	0
Mief2	506.285714	0	745	171	0	105	1191	291	388	1212	489	323	176	268	834	636	199	0	1257	1238	1109	0	0
Flii	506.285714	0	745	171	0	105	1191	291	388	1212	489	323	176	268	834	636	199	0	1257	1238	1109	0	0
Prdm4	504.095238	0	1175	0	0	133	1244	301	279	1389	349	189	0	145	589	379	159	0	1622	1318	1315	0	0
Mterf1a	503.904762	0	987	0	0	166	1244	122	120	623	546	460	270	140	1055	588	138	0	1575	990	1558	0	0
Tnrc6b	503.380952	0	967	107	0	135	1025	363	354	1194	268	351	185	171	698	683	219	0	1326	1282	1243	0	0
Sf3a2	503.380952	0	1277	206	0	263	1027	366	305	1438	241	242	139	143	396	290	189	0	1240	1251	1558	0	0
Plekhj1	503.380952	0	1277	206	0	263	1027	366	305	1438	241	242	139	143	396	290	189	0	1240	1251	1558	0	0
Zfp408	503.000000	0	1242	0	0	276	1147	260	274	1346	424	376	242	165	653	475	203	0	1132	1160	1188	0	0
Arhgap1	503.000000	0	1242	0	0	276	1147	260	274	1346	424	376	242	165	653	475	203	0	1132	1160	1188	0	0
Flna	501.714286	0	1336	114	0	175	1494	284	153	707	165	116	0	115	687	796	126	0	1284	1651	1333	0	0
B4galt1	501.285714	0	934	240	0	526	1358	481	714	1295	288	337	97	0	1136	628	158	0	734	698	903	0	0
Aip	500.952381	0	823	0	0	700	933	0	0	284	185	147	67	0	1165	758	0	0	2120	1666	1672	0	0
Cox5a	499.904762	0	1668	88	0	253	1285	328	397	1620	283	230	116	127	559	241	0	0	1365	911	1027	0	0
Wdr13	498.619048	0	1015	0	0	0	1313	503	566	1852	407	340	221	112	768	731	157	0	882	866	738	0	0
Rbx1	498.333333	0	1005	0	0	154	911	253	244	859	330	250	171	162	839	754	123	0	1661	1456	1293	0	0
Adipoq	496.714286	0	1697	114	0	92	2468	116	471	507	0	0	0	0	0	0	0	0	1787	1574	1605	0	0
Uba3	496.190476	0	966	0	0	120	1543	411	215	1134	312	369	170	161	891	572	0	0	1257	1221	1078	0	0
Arl6ip5	496.190476	0	966	0	0	120	1543	411	215	1134	312	369	170	161	891	572	0	0	1257	1221	1078	0	0
Aldh3a2	495.142857	0	806	192	0	325	1199	392	593	1419	268	317	199	169	703	666	151	0	1120	737	1142	0	0
Cd163l1	494.000000	0	1614	135	0	273	2167	0	0	0	0	0	0	0	0	0	0	0	2426	1904	1855	0	0
Klhl18	493.476190	0	1050	107	0	223	1140	312	186	1335	167	296	0	141	703	426	129	0	1418	1272	1458	0	0
Kif9	493.476190	0	1050	107	0	223	1140	312	186	1335	167	296	0	141	703	426	129	0	1418	1272	1458	0	0
Zfp512	493.095238	0	1008	0	0	238	1192	115	343	925	228	166	224	149	628	473	217	0	1662	1355	1432	0	0
Tes	492.285714	0	1380	204	0	445	1720	98	169	397	109	194	111	0	0	0	297	0	1898	1649	1667	0	0
Mex3b	491.809524	0	1052	516	0	271	1417	320	463	1219	319	360	189	182	559	553	203	0	915	886	904	0	0
Sde2	490.142857	0	442	228	0	254	842	505	957	1547	232	194	111	0	937	864	113	0	995	932	1140	0	0
Arcn1	489.714286	0	1067	0	0	216	1263	0	0	953	206	281	0	0	748	506	224	0	1807	1420	1593	0	0
Faf2	489.285714	0	1015	0	0	118	1093	201	234	1160	216	187	157	0	1008	712	107	0	1443	1389	1235	0	0
Magoh	488.761905	0	758	246	0	240	1097	161	225	864	359	320	255	187	802	677	0	0	1467	1208	1398	0	0
Bard1	487.761905	0	1187	0	0	420	1686	424	560	984	106	270	124	0	614	746	175	0	1110	898	939	0	0
E2f2	487.666667	0	945	161	0	0	1112	330	619	718	0	0	0	0	1387	986	334	0	1176	1512	961	0	0
Sertad3	486.857143	0	636	131	0	189	782	308	209	970	261	285	169	166	952	906	148	0	1448	1366	1298	0	0
Ddx21	486.714286	0	937	120	0	306	1442	157	201	945	267	280	213	151	608	375	0	0	1593	1239	1387	0	0
Hes2	486.666667	0	975	0	0	146	1104	138	160	611	165	229	0	149	1175	757	0	0	1587	1593	1431	0	0
Espn	486.666667	0	975	0	0	146	1104	138	160	611	165	229	0	149	1175	757	0	0	1587	1593	1431	0	0
Creld2	486.333333	0	1195	0	0	216	1160	0	116	655	379	387	141	150	703	540	190	0	1653	1378	1350	0	0
Alg12	486.333333	0	1195	0	0	216	1160	0	116	655	379	387	141	150	703	540	190	0	1653	1378	1350	0	0
Tnfaip8l2	485.571429	0	1408	0	0	216	1564	142	282	714	107	107	85	0	0	0	156	0	1766	2032	1618	0	0
Aspscr1	485.285714	0	842	291	0	319	1145	254	430	1018	285	354	152	237	703	408	120	0	1332	957	1344	0	0
Bcl3	483.952381	0	1738	0	0	495	2277	0	564	927	162	0	0	0	0	0	140	0	1445	1178	1237	0	0
Rabl6	483.809524	0	1710	0	0	0	959	469	217	1423	187	231	0	159	653	445	173	0	1333	973	1228	0	0
Mterf1b	482.619048	0	1033	0	0	230	1076	159	105	818	537	412	260	178	617	501	123	0	1544	1008	1534	0	0
Mtmr14	481.666667	0	933	0	0	201	1109	254	290	653	300	225	153	0	553	409	0	0	1597	1685	1753	0	0
Notch2	481.333333	0	1093	147	0	246	1115	436	318	902	204	237	111	99	693	515	175	0	1205	1086	1526	0	0
Rasgrp2	481.047619	0	1333	247	0	523	1528	241	305	647	0	0	0	0	922	585	379	0	988	1251	1153	0	0
Cep152	480.619048	0	1015	146	0	192	1586	414	504	1010	97	202	143	0	480	278	151	0	1348	1290	1237	0	0
Wdr5	480.571429	0	943	0	0	0	777	389	400	1290	144	114	0	125	1643	870	106	0	1234	961	1096	0	0
Ublcp1	480.523810	0	1257	189	0	271	1458	262	279	929	298	121	130	0	651	480	269	0	1327	887	1283	0	0
Hnrnpa0	479.619048	0	851	369	0	262	986	260	296	819	609	485	300	235	831	522	0	0	1110	1015	1122	0	0
Itgb3bp	479.190476	0	650	132	0	232	823	174	154	1221	438	260	176	160	959	842	166	0	1261	1134	1281	0	0
Efcab7	479.190476	0	650	132	0	232	823	174	154	1221	438	260	176	160	959	842	166	0	1261	1134	1281	0	0
Vps37b	478.761905	0	1344	0	0	244	1459	153	110	570	0	0	0	0	327	357	248	0	1763	2013	1466	0	0
Itk	477.904762	0	1634	0	0	214	1776	0	0	0	257	185	0	130	0	133	273	0	1928	1995	1511	0	0
Ccnt1	477.000000	0	1710	148	0	132	1496	132	338	900	331	349	124	92	513	381	207	0	915	1065	1184	0	0
4930415O20Rik	477.000000	0	1710	148	0	132	1496	132	338	900	331	349	124	92	513	381	207	0	915	1065	1184	0	0
Alkbh3	476.571429	0	1059	130	0	298	1156	122	180	923	400	432	219	126	647	578	185	0	1132	1016	1405	0	0
Klhl21	476.190476	0	1242	256	0	357	937	203	397	931	268	242	0	247	996	769	0	0	1064	965	1126	0	0
Dnajc11	476.142857	0	1239	0	0	354	1021	260	158	930	413	220	142	0	846	613	0	0	1218	980	1605	0	0
Srd5a1	475.190476	0	1055	161	0	185	852	306	318	1105	194	229	204	127	685	453	297	0	1505	977	1326	0	0
Nsun2	475.190476	0	1055	161	0	185	852	306	318	1105	194	229	204	127	685	453	297	0	1505	977	1326	0	0
Usp36	475.142857	0	1037	0	0	191	1252	164	356	1118	338	245	192	124	687	733	0	0	1092	1272	1177	0	0
Dap3	474.619048	0	749	170	0	135	1329	190	299	783	189	151	0	0	743	495	278	0	1454	1530	1472	0	0
Cstf2t	474.047619	0	638	66	0	181	945	183	277	773	284	376	187	143	270	254	180	0	1751	1713	1734	0	0
Nfxl1	472.380952	0	1219	0	0	280	1653	0	0	676	275	313	244	179	762	713	0	0	1122	1166	1318	0	0
Mtmr4	470.904762	0	732	130	0	341	1444	305	691	1151	361	405	151	191	769	554	169	0	961	802	732	0	0
Pet117	470.380952	0	839	239	0	242	1122	301	515	984	219	264	105	135	585	390	0	0	1436	1060	1442	0	0
Kat14	470.380952	0	839	239	0	242	1122	301	515	984	219	264	105	135	585	390	0	0	1436	1060	1442	0	0
Ddx5	469.904762	0	656	244	0	196	1226	321	811	1074	237	359	226	205	854	456	0	0	989	989	1025	0	0
Cep95	469.904762	0	656	244	0	196	1226	321	811	1074	237	359	226	205	854	456	0	0	989	989	1025	0	0
