Target_genes	Klf6|Average	SRX467209|Carcinoma,_Hepatocellular	SRX1632693|Oligodendrocytes	SRX1632694|Oligodendrocytes	SRX1632697|Oligodendrocytes	SRX1632698|Oligodendrocytes	STRING
Plod3	98.600000	0	282	0	211	0	0
H4c4	98.000000	490	0	0	0	0	0
H2bc6	98.000000	490	0	0	0	0	0
Klf4	97.200000	486	0	0	0	0	0
Zfp692	95.200000	476	0	0	0	0	0
Vat1l	95.200000	476	0	0	0	0	0
Srgn	95.200000	476	0	0	0	0	0
Olfr180	95.200000	476	0	0	0	0	0
Gm21704	95.200000	476	0	0	0	0	0
Gm21693	95.200000	476	0	0	0	0	0
Gm21677	95.200000	476	0	0	0	0	0
Ctnna3	95.200000	476	0	0	0	0	0
Prkcb	92.400000	462	0	0	0	0	0
Trim29	89.600000	448	0	0	0	0	0
Tpm2	89.600000	448	0	0	0	0	0
Grap	89.600000	448	0	0	0	0	0
Zfp143	88.400000	0	0	185	0	257	0
Serac1	86.800000	434	0	0	0	0	0
Olfr1168	86.800000	434	0	0	0	0	0
Gtf2h5	86.800000	434	0	0	0	0	0
Lypd11	86.200000	0	0	0	211	220	0
Trim50	84.400000	176	0	105	0	141	0
Ilf2	84.000000	420	0	0	0	0	0
Pdcd1lg2	83.000000	415	0	0	0	0	0
Hbb-bt	80.400000	402	0	0	0	0	0
Hbb-b2	80.400000	402	0	0	0	0	0
Trib3	78.400000	392	0	0	0	0	0
Olfr761	78.400000	392	0	0	0	0	0
Olfr646	78.400000	392	0	0	0	0	0
Csf2ra	76.600000	0	149	0	0	234	0
Dcpp2	75.800000	379	0	0	0	0	0
Cyth4	75.800000	379	0	0	0	0	0
Slc33a1	73.000000	365	0	0	0	0	0
Ly6a2	73.000000	365	0	0	0	0	0
Mettl14	72.000000	0	149	0	211	0	0
Mynn	70.400000	352	0	0	0	0	0
Etv3l	70.400000	352	0	0	0	0	0
Actrt3	70.400000	352	0	0	0	0	0
Hes7	67.600000	338	0	0	0	0	0
H4c2	67.600000	338	0	0	0	0	0
H4c1	67.600000	338	0	0	0	0	0
H3c1	67.600000	338	0	0	0	0	0
H1f1	67.600000	338	0	0	0	0	0
Fbxo31	67.600000	338	0	0	0	0	0
Aloxe3	67.600000	338	0	0	0	0	0
Ier5	67.400000	188	149	0	0	0	0
Tmem33	65.000000	325	0	0	0	0	0
Stra6	65.000000	325	0	0	0	0	0
Npbwr1	65.000000	325	0	0	0	0	0
Ly6g6f	65.000000	325	0	0	0	0	0
Creb3l3	65.000000	325	0	0	0	0	0
Abhd16a	65.000000	325	0	0	0	0	0
Cxcl15	63.400000	317	0	0	0	0	0
9230019H11Rik	62.800000	114	0	0	77	123	0
Trim41	62.400000	312	0	0	0	0	0
Rnase4	62.400000	312	0	0	0	0	0
Polr3e	62.400000	312	0	0	0	0	0
Pik3cd	62.400000	312	0	0	0	0	0
Nr1d1	62.400000	312	0	0	0	0	0
Gas1	62.400000	312	0	0	0	0	0
Ang	62.400000	312	0	0	0	0	0
Aurkb	61.000000	305	0	0	0	0	0
Tnfsf9	57.200000	286	0	0	0	0	0
Tg	57.200000	286	0	0	0	0	0
Olfr243	57.200000	286	0	0	0	0	0
Fmc1	57.200000	286	0	0	0	0	0
Tpcn2	54.600000	273	0	0	0	0	0
Tecrl	54.600000	273	0	0	0	0	0
Sbk2	54.600000	273	0	0	0	0	0
Sacm1l	54.600000	273	0	0	0	0	0
Camta1	54.600000	273	0	0	0	0	0
Agbl5	54.600000	273	0	0	0	0	0
Hdx	52.800000	0	264	0	0	0	0
Ticrr	52.200000	261	0	0	0	0	0
Gucy1a2	52.200000	261	0	0	0	0	0
Ehd4	52.200000	261	0	0	0	0	0
Clptm1l	52.200000	261	0	0	0	0	0
Best2	52.200000	261	0	0	0	0	0
Osmr	50.400000	252	0	0	0	0	0
Tmem229a	49.600000	248	0	0	0	0	0
Ndufs7	49.600000	248	0	0	0	0	0
Mdga2	49.600000	248	0	0	0	0	0
Eif4ebp2	49.600000	248	0	0	0	0	0
Arntl2	49.600000	248	0	0	0	0	0
Vgll4	47.200000	236	0	0	0	0	0
Ppp1r14c	47.200000	236	0	0	0	0	0
Il22	45.000000	225	0	0	0	0	0
Vgll2	44.800000	224	0	0	0	0	0
Plxdc1	44.800000	224	0	0	0	0	0
H4c8	44.800000	224	0	0	0	0	0
H3c8	44.800000	224	0	0	0	0	0
H2ac10	44.800000	224	0	0	0	0	0
Acp6	44.800000	224	0	0	0	0	0
Wtip	42.200000	211	0	0	0	0	0
Tuba1b	42.200000	211	0	0	0	0	0
Otub2	42.200000	211	0	0	0	0	0
Olfm5	42.200000	211	0	0	0	0	0
Mmp24	42.200000	211	0	0	0	0	0
Ghrhr	42.200000	211	0	0	0	0	0
Cela1	42.200000	211	0	0	0	0	0
Cct2	42.200000	211	0	0	0	0	0
Apol8	42.200000	211	0	0	0	0	0
Olfr18	41.600000	0	0	208	0	0	0
Plek	41.400000	207	0	0	0	0	0
Slc25a32	40.000000	200	0	0	0	0	0
S100a11	40.000000	200	0	0	0	0	0
Rgs18	40.000000	200	0	0	0	0	0
Mrps22	40.000000	200	0	0	0	0	0
Lmnb2	40.000000	200	0	0	0	0	0
Knl1	40.000000	200	0	0	0	0	0
Il13ra2	40.000000	200	0	0	0	0	0
Fgl2	40.000000	200	0	0	0	0	0
Dcaf13	40.000000	200	0	0	0	0	0
Chmp4c	40.000000	200	0	0	0	0	0
Aebp2	40.000000	200	0	0	0	0	0
Slc24a3	39.200000	0	196	0	0	0	0
Ugt1a8	37.600000	188	0	0	0	0	0
Slc38a5	37.600000	188	0	0	0	0	0
Sema4f	37.600000	188	0	0	0	0	0
Rasgef1a	37.600000	188	0	0	0	0	0
Qpct	36.800000	0	0	0	184	0	0
Rtkn	36.200000	0	181	0	0	0	0
Olfr773	36.000000	0	180	0	0	0	0
Trim58	35.200000	176	0	0	0	0	0
Sumo1	35.200000	176	0	0	0	0	0
Rbmy	35.200000	176	0	0	0	0	0
Olfr1129	35.200000	176	0	0	0	0	0
Lyg1	35.200000	176	0	0	0	0	0
Gm21708	35.200000	176	0	0	0	0	0
Gabrb3	35.200000	176	0	0	0	0	0
Caprin2	35.200000	176	0	0	0	0	0
Zfp317	33.000000	165	0	0	0	0	0
Rrn3	33.000000	165	0	0	0	0	0
Rad51d	33.000000	165	0	0	0	0	0
Pak3	33.000000	165	0	0	0	0	0
Nat8f5	33.000000	165	0	0	0	0	0
Fndc8	33.000000	165	0	0	0	0	0
Cmas	33.000000	165	0	0	0	0	0
Olfr503	31.200000	0	0	0	156	0	0
Stau2	30.600000	153	0	0	0	0	0
Saa4	30.600000	153	0	0	0	0	0
Plagl1	30.600000	153	0	0	0	0	0
Lrrtm1	30.600000	153	0	0	0	0	0
Pot1a	30.200000	151	0	0	0	0	0
Alb	30.000000	150	0	0	0	0	0
Rnf38	29.800000	0	149	0	0	0	0
Nemf	29.800000	0	149	0	0	0	0
Ccn3	29.600000	148	0	0	0	0	0
Prph2	28.400000	142	0	0	0	0	0
P2rx6	28.400000	142	0	0	0	0	0
Lrrc74b	28.400000	142	0	0	0	0	0
Gm7356	28.400000	142	0	0	0	0	0
Etv4	28.400000	142	0	0	0	0	0
Cyp4b1	28.400000	142	0	0	0	0	0
Tcp10c	27.000000	135	0	0	0	0	0
Mboat1	26.200000	131	0	0	0	0	0
Aatk	26.200000	131	0	0	0	0	0
Asah1	25.200000	126	0	0	0	0	0
Gcnt1	23.600000	118	0	0	0	0	0
Slc9b1	22.000000	110	0	0	0	0	0
Clcn4	22.000000	110	0	0	0	0	0
Gm10471	18.600000	93	0	0	0	0	0
Sftpb	18.000000	90	0	0	0	0	0
Olfr677	18.000000	90	0	0	0	0	0
Olfr449	16.800000	84	0	0	0	0	0
Slc7a13	14.000000	70	0	0	0	0	0
Cep85l	12.200000	61	0	0	0	0	0
AY761185	12.200000	61	0	0	0	0	0
Zfp710	10.400000	52	0	0	0	0	0
Nfkbia	0.000000	0	0	0	0	0	441
Pttg1	0.000000	0	0	0	0	0	426
Il6	0.000000	0	0	0	0	0	415
Mmp14	0.000000	0	0	0	0	0	177
