Target_genes	Sox4|Average	SRX337568|B_cells	SRX2974918|EML_	SRX4791025|Keratinocytes	SRX4791026|Keratinocytes	SRX4802721|Neural_Stem_Cells	SRX1149735|Pancreatic_cancer_cell_lines	SRX14296655|Synoviocytes	SRX14296656|Synoviocytes	STRING
Phykpl	270.500000	116	0	0	680	1288	80	0	0	0
Marchf5	265.500000	316	0	0	481	1220	107	0	0	0
Cpeb3	265.500000	316	0	0	481	1220	107	0	0	0
Clcn4	261.250000	175	0	183	804	584	344	0	0	0
Fubp1	260.750000	331	0	0	593	904	258	0	0	0
Dnajb4	260.750000	331	0	0	593	904	258	0	0	0
Lfng	258.750000	0	0	230	1227	181	432	0	0	0
Srsf7	256.000000	288	0	0	925	518	317	0	0	0
Ivns1abp	255.750000	401	0	0	386	980	279	0	0	0
Zkscan1	254.250000	159	0	0	375	1372	128	0	0	0
Sinhcaf	253.625000	240	0	0	404	1157	228	0	0	0
Gabpb1	253.375000	0	0	0	401	1626	0	0	0	0
Chd2	250.000000	491	0	0	434	911	164	0	0	0
Lypd11	249.875000	0	0	0	1266	0	226	257	250	0
Zfp143	249.000000	313	0	371	0	479	304	261	264	0
Nras	247.750000	148	0	0	291	1373	170	0	0	0
Mbd3	247.125000	214	0	0	208	1356	199	0	0	0
Insm2	246.875000	0	0	0	1975	0	0	0	0	0
Klhl24	245.625000	147	0	0	783	1035	0	0	0	0
Sf3a1	245.500000	0	0	0	0	1964	0	0	0	0
Ccdc157	245.500000	0	0	0	0	1964	0	0	0	0
Tgfbr1	244.375000	0	0	0	0	1955	0	0	0	0
E130309D02Rik	244.125000	209	0	0	245	1360	139	0	0	0
Iqsec3	243.375000	0	0	0	1947	0	0	0	0	0
Usp22	242.125000	248	0	0	301	1270	118	0	0	0
Knop1	241.875000	0	0	162	1272	0	501	0	0	0
Iqck	241.875000	0	0	162	1272	0	501	0	0	0
Prorp	241.500000	97	0	0	202	1633	0	0	0	0
Zscan2	239.125000	185	0	150	991	460	127	0	0	0
Bclaf1	239.125000	0	0	0	172	1629	112	0	0	0
Eif4g2	238.750000	359	0	0	684	742	125	0	0	0
Rnf157	238.250000	122	0	0	0	1784	0	0	0	0
Taf4	235.125000	132	0	0	254	1495	0	0	0	0
Klf7	233.875000	389	0	125	549	629	179	0	0	0
Marcksl1	233.750000	354	0	0	369	1074	73	0	0	0
Rpl10	233.250000	0	0	0	239	1627	0	0	0	0
Skap2	232.750000	104	0	0	529	1152	77	0	0	0
Hsph1	231.875000	164	0	0	601	970	120	0	0	0
Ccng2	231.875000	200	0	185	796	554	120	0	0	0
Plcg1	231.125000	156	0	142	540	929	82	0	0	0
Oga	230.000000	0	0	0	134	1706	0	0	0	0
Baz1b	229.125000	157	0	0	581	912	183	0	0	0
Tdg	227.375000	0	0	0	189	1555	75	0	0	0
Ttc21b	227.000000	93	0	0	342	1236	145	0	0	0
Ing1	225.375000	0	0	0	152	1651	0	0	0	0
Cars2	225.375000	0	0	0	152	1651	0	0	0	0
Plxnb1	222.750000	60	0	173	782	576	191	0	0	0
Lrrc58	222.750000	350	0	0	418	846	168	0	0	0
H4c8	222.000000	229	0	0	256	1162	129	0	0	0
H3c8	222.000000	229	0	0	256	1162	129	0	0	0
H2ac10	222.000000	229	0	0	256	1162	129	0	0	0
Tuba1a	221.625000	203	0	0	592	831	147	0	0	0
Pdia3	221.375000	133	0	0	474	1080	84	0	0	0
Catsper2	221.375000	133	0	0	474	1080	84	0	0	0
Prkd3	221.000000	266	0	0	148	1147	207	0	0	0
Megf9	220.875000	93	0	67	212	1246	149	0	0	0
Ntmt1	219.250000	93	0	0	142	1519	0	0	0	0
0610009B22Rik	218.750000	0	0	0	84	1666	0	0	0	0
Zfp821	216.750000	82	0	0	435	1006	211	0	0	0
Abl1	216.250000	211	0	81	998	190	250	0	0	0
Tnpo1	215.375000	313	0	0	470	687	253	0	0	0
Smarcad1	215.250000	195	0	0	474	846	207	0	0	0
Dyrk1b	215.125000	0	0	0	147	1574	0	0	0	0
Celsr3	214.000000	0	0	102	1610	0	0	0	0	0
Itgb8	213.125000	0	0	0	0	1705	0	0	0	0
Creb1	212.750000	346	0	0	285	892	179	0	0	0
2610008E11Rik	211.500000	0	0	0	407	1285	0	0	0	0
Ppia	211.125000	189	0	0	406	745	349	0	0	0
Csnk1e	210.750000	74	0	0	103	1299	210	0	0	0
Zfp810	210.375000	176	0	0	609	898	0	0	0	0
Hyal2	210.250000	0	0	0	192	1382	108	0	0	0
Cdk2ap1	209.875000	203	0	108	812	364	192	0	0	0
Sf3b1	209.125000	128	0	0	185	1250	110	0	0	0
Ctxn1	208.000000	126	0	0	559	565	414	0	0	0
Cwc22	207.625000	0	0	0	287	1374	0	0	0	0
Wwox	206.625000	520	0	269	0	0	254	319	291	0
Fasn	205.250000	183	0	0	477	644	338	0	0	0
Cnpy2	204.375000	202	0	0	503	853	77	0	0	0
Cfl1	203.000000	95	0	0	662	442	425	0	0	0
Mex3d	201.375000	0	0	0	400	848	363	0	0	0
Ppil1	200.500000	174	0	114	897	251	168	0	0	0
BC004004	200.500000	174	0	114	897	251	168	0	0	0
Dync1li2	200.375000	0	0	0	94	1449	60	0	0	0
Pdia4	199.125000	292	0	0	830	374	97	0	0	0
Mboat2	198.875000	0	0	149	382	977	83	0	0	0
Rfc3	198.000000	166	0	0	994	424	0	0	0	0
Csde1	198.000000	0	0	0	347	1237	0	0	0	0
Rap1b	197.875000	0	0	0	0	1583	0	0	0	0
Amn1	196.125000	74	0	0	199	1070	226	0	0	0
Fus	195.000000	0	0	0	115	1445	0	0	0	0
Gpsm1	194.500000	319	0	0	147	1007	83	0	0	0
Zfp428	194.375000	396	0	0	536	512	111	0	0	0
Ppdpf	194.375000	0	0	0	545	904	106	0	0	0
Itgb1	194.000000	0	0	0	618	729	205	0	0	0
Pcgf3	193.125000	0	0	0	203	1175	167	0	0	0
Zfp668	189.625000	263	0	0	450	569	235	0	0	0
Zfp646	189.625000	263	0	0	450	569	235	0	0	0
Tmem139	189.625000	240	0	0	277	931	69	0	0	0
Casp2	189.625000	240	0	0	277	931	69	0	0	0
Syncrip	188.500000	195	0	0	368	776	169	0	0	0
D5Ertd579e	188.000000	0	0	0	128	1376	0	0	0	0
Yeats2	187.750000	0	0	0	204	1298	0	0	0	0
Nme4	187.625000	177	0	0	163	1161	0	0	0	0
Ubald2	187.500000	0	0	0	138	1362	0	0	0	0
Rbm4b	187.250000	0	0	0	0	1498	0	0	0	0
Ube2i	186.750000	201	0	0	312	803	178	0	0	0
Nrde2	185.750000	0	0	0	182	1304	0	0	0	0
Snap25	185.250000	0	0	0	1399	83	0	0	0	0
Smarcc1	184.500000	153	0	0	466	739	118	0	0	0
Znhit1	184.125000	99	0	0	212	1162	0	0	0	0
Plod3	184.125000	99	0	0	212	1162	0	0	0	0
Adnp	184.000000	94	0	0	111	1267	0	0	0	0
Midn	182.125000	340	0	0	350	488	279	0	0	0
Rnaseh2a	181.625000	0	0	0	152	1301	0	0	0	0
Prdx2	181.625000	0	0	0	152	1301	0	0	0	0
Hmgb1	180.625000	95	0	85	589	578	98	0	0	0
Zbtb25	180.375000	310	0	0	595	204	334	0	0	0
Zbtb1	180.375000	310	0	0	595	204	334	0	0	0
Crebzf	180.375000	0	0	253	144	799	247	0	0	0
Ctcf	179.500000	88	0	0	189	1159	0	0	0	0
Ywhaq	178.875000	240	0	0	362	670	159	0	0	0
Pum2	178.750000	147	0	0	182	1101	0	0	0	0
Tra2b	178.125000	100	0	0	309	892	124	0	0	0
Rnf38	178.125000	224	0	0	570	496	135	0	0	0
Xrcc5	177.500000	292	0	0	643	485	0	0	0	0
Ercc6	176.250000	260	0	0	372	612	166	0	0	0
Lin28a	175.625000	0	0	0	1405	0	0	0	0	0
Gprin1	175.125000	0	0	0	1073	328	0	0	0	0
Hnrnpa1	174.750000	81	0	0	185	1059	73	0	0	0
Cbx5	174.750000	81	0	0	185	1059	73	0	0	0
Gtf3c6	174.375000	0	0	0	0	1263	132	0	0	0
Luc7l	173.250000	137	0	0	149	1100	0	0	0	0
B4galnt4	172.625000	0	0	0	121	1260	0	0	0	0
Hnrnpa2b1	171.000000	243	0	0	336	707	82	0	0	0
Cbx3	171.000000	243	0	0	336	707	82	0	0	0
Osbpl9	170.625000	0	0	0	192	1173	0	0	0	0
Srsf6	169.375000	0	0	0	124	1231	0	0	0	0
Vash2	169.125000	254	0	0	125	712	262	0	0	0
Dlg1	167.750000	153	0	0	202	987	0	0	0	0
Tet3	167.625000	191	0	0	559	463	128	0	0	0
Dync1i2	167.500000	93	0	0	333	773	141	0	0	0
Cdk5r1	167.375000	387	0	0	566	386	0	0	0	0
Dnaja1	167.250000	0	0	0	191	1147	0	0	0	0
Fam168b	166.375000	125	0	0	283	651	272	0	0	0
Cirbp	166.125000	248	0	0	516	433	132	0	0	0
Top1	165.750000	153	0	0	282	800	91	0	0	0
Actb	165.750000	133	0	0	606	480	107	0	0	0
Bnip2	165.500000	196	0	0	632	496	0	0	0	0
Ube2a	165.125000	0	0	0	0	1321	0	0	0	0
Limd2	164.375000	126	0	0	354	718	117	0	0	0
Pbld2	163.750000	270	0	0	216	824	0	0	0	0
Hnrnph3	163.750000	270	0	0	216	824	0	0	0	0
Edrf1	163.375000	0	0	0	296	1011	0	0	0	0
Bola1	163.375000	0	0	0	0	1307	0	0	0	0
Patz1	162.500000	0	0	0	117	1081	102	0	0	0
Pcbp1	162.375000	0	0	0	169	1012	118	0	0	0
Tmem140	161.625000	0	0	101	1192	0	0	0	0	0
Ran	161.625000	179	0	0	216	731	167	0	0	0
Camsap1	161.500000	134	0	0	261	774	123	0	0	0
Rab11b	161.125000	84	0	0	217	988	0	0	0	0
Cnot6	161.125000	186	0	0	330	695	78	0	0	0
Smchd1	160.375000	0	0	0	0	1283	0	0	0	0
Zfp184	159.875000	315	0	0	0	867	97	0	0	0
Cnot2	159.750000	0	0	0	0	1278	0	0	0	0
Txndc12	159.375000	82	0	0	114	1079	0	0	0	0
Btf3l4	159.375000	82	0	0	114	1079	0	0	0	0
Fnbp4	159.250000	107	0	0	258	909	0	0	0	0
Gm1096	158.875000	0	0	0	1271	0	0	0	0	0
Pcif1	158.750000	103	0	0	220	947	0	0	0	0
Zfp637	158.250000	0	0	0	292	694	280	0	0	0
Cep68	157.375000	0	0	0	138	1121	0	0	0	0
Gpcpd1	157.000000	190	0	0	284	782	0	0	0	0
Srsf2	156.625000	88	0	0	180	985	0	0	0	0
Mfsd11	156.625000	88	0	0	180	985	0	0	0	0
Elmod2	156.500000	496	0	0	137	440	179	0	0	0
Ftl1	156.250000	132	0	0	0	1118	0	0	0	0
Vgf	155.500000	0	0	0	1244	0	0	0	0	0
Stap2	155.375000	233	0	0	558	303	149	0	0	0
Mpnd	155.375000	233	0	0	558	303	149	0	0	0
Fktn	155.375000	134	0	0	128	821	160	0	0	0
Barhl1	155.250000	0	0	0	1242	0	0	0	0	0
Xrn2	155.125000	310	0	0	513	310	108	0	0	0
Taf12	154.875000	0	0	0	0	1136	103	0	0	0
Dgcr8	154.500000	265	0	0	383	386	202	0	0	0
Kctd20	153.625000	0	0	0	0	1229	0	0	0	0
Snx5	153.125000	68	0	0	487	670	0	0	0	0
Mgme1	153.125000	68	0	0	487	670	0	0	0	0
Efna4	152.375000	127	0	0	504	407	181	0	0	0
Spin1	152.250000	313	0	0	188	546	171	0	0	0
Klhdc2	151.750000	126	0	0	242	846	0	0	0	0
Oard1	151.500000	196	0	0	604	308	104	0	0	0
Nfya	151.500000	196	0	0	604	308	104	0	0	0
Kmt5b	150.750000	103	0	0	228	794	81	0	0	0
H4c11	149.625000	291	0	0	379	356	171	0	0	0
Ttyh3	149.125000	162	0	0	447	438	146	0	0	0
Actl6a	149.000000	87	0	0	128	977	0	0	0	0
Stt3b	148.875000	0	0	0	0	1191	0	0	0	0
Ing3	148.375000	0	0	0	0	1187	0	0	0	0
Arih1	148.375000	195	0	0	319	511	162	0	0	0
Nkx1-1	147.625000	0	0	0	1181	0	0	0	0	0
Accs	147.250000	0	0	0	0	1178	0	0	0	0
Ywhag	146.500000	0	0	0	797	264	111	0	0	0
Plscr3	146.000000	127	0	0	416	470	155	0	0	0
Rmi1	145.500000	151	0	0	225	568	220	0	0	0
Hnrnpk	145.500000	151	0	0	225	568	220	0	0	0
Decr2	145.125000	0	0	0	0	1161	0	0	0	0
Sst	144.250000	0	0	0	1154	0	0	0	0	0
Ctc1	144.250000	110	0	0	314	635	95	0	0	0
Zc3h6	144.000000	208	0	0	319	625	0	0	0	0
Homer3	144.000000	83	0	0	381	553	135	0	0	0
Znrd2	143.875000	0	0	0	174	977	0	0	0	0
Fam89b	143.875000	0	0	0	174	977	0	0	0	0
Ehbp1l1	143.875000	0	0	0	174	977	0	0	0	0
Cyth2	142.750000	90	0	0	246	620	186	0	0	0
Gadd45a	141.625000	191	0	96	501	253	92	0	0	0
Tbc1d17	141.500000	0	0	0	112	1020	0	0	0	0
Akt1s1	141.500000	0	0	0	112	1020	0	0	0	0
Calm2	141.375000	191	0	0	346	478	116	0	0	0
Gtf2ird1	140.875000	0	0	0	458	481	188	0	0	0
Cd93	140.500000	0	0	132	992	0	0	0	0	0
Pbrm1	140.250000	266	0	0	227	499	130	0	0	0
Nupr1l	140.250000	186	0	0	428	389	119	0	0	0
Ubtd2	140.125000	147	0	0	148	826	0	0	0	0
Epc2	140.000000	0	0	0	109	1011	0	0	0	0
Ypel1	139.000000	101	0	0	160	851	0	0	0	0
Klf3	139.000000	117	0	85	584	120	206	0	0	0
Capn10	139.000000	0	0	0	0	1112	0	0	0	0
Ndc1	138.500000	0	0	0	120	988	0	0	0	0
Ddx42	138.500000	0	0	0	0	1108	0	0	0	0
Ccdc47	138.500000	0	0	0	0	1108	0	0	0	0
Cnih4	137.375000	123	0	0	424	300	252	0	0	0
Mark4	136.875000	0	0	0	0	1095	0	0	0	0
Exoc3l2	136.875000	0	0	0	0	1095	0	0	0	0
Smarca4	136.750000	0	0	0	148	946	0	0	0	0
Ppp4r1	136.750000	183	0	0	189	605	117	0	0	0
Hnrnpm	136.750000	113	0	0	109	872	0	0	0	0
Sufu	136.000000	0	0	0	106	982	0	0	0	0
Actr1a	136.000000	0	0	0	106	982	0	0	0	0
Ncaph	135.625000	0	0	88	912	85	0	0	0	0
Nfyc	135.375000	0	0	0	0	1083	0	0	0	0
Atf7ip	135.375000	0	0	0	0	1083	0	0	0	0
Slc25a29	135.000000	200	0	0	0	643	237	0	0	0
Klhdc10	135.000000	0	0	0	126	954	0	0	0	0
Mapk6	134.875000	84	0	0	98	897	0	0	0	0
Fam32a	134.625000	0	0	0	136	941	0	0	0	0
Brd3	133.750000	0	0	0	247	823	0	0	0	0
Ccar2	133.500000	121	0	0	111	836	0	0	0	0
Cct2	133.375000	340	0	0	450	277	0	0	0	0
Psma6	133.250000	89	0	0	130	847	0	0	0	0
4931428F04Rik	133.250000	0	0	0	112	954	0	0	0	0
Rtn4	132.875000	164	0	0	461	372	66	0	0	0
Zfp358	132.500000	204	0	0	225	466	165	0	0	0
Siah1a	132.500000	0	0	0	153	826	81	0	0	0
Gtpbp3	132.500000	60	0	0	108	892	0	0	0	0
Fcho2	132.500000	470	0	0	0	438	152	0	0	0
Ano8	132.500000	60	0	0	108	892	0	0	0	0
Csnk1a1	132.250000	0	0	0	195	863	0	0	0	0
Afap1	131.750000	184	0	0	490	142	238	0	0	0
Nsun6	131.125000	137	0	0	399	513	0	0	0	0
Arl5b	131.125000	137	0	0	399	513	0	0	0	0
Psmg3	130.875000	0	0	0	0	946	101	0	0	0
Ifna13	130.750000	351	0	201	195	0	299	0	0	0
Mapk8ip2	130.625000	0	0	0	941	104	0	0	0	0
Trim50	130.500000	0	0	110	160	0	250	205	319	0
Trib1	130.500000	123	0	0	375	334	212	0	0	0
Gemin4	130.500000	0	0	0	758	286	0	0	0	0
Dbil5	130.500000	0	0	0	758	286	0	0	0	0
2410002F23Rik	129.625000	0	0	0	186	851	0	0	0	0
Sema4c	129.500000	0	0	0	184	755	97	0	0	0
Tceanc	129.000000	0	0	0	0	946	86	0	0	0
Syt11	128.750000	0	0	0	89	941	0	0	0	0
Vmn2r102	128.000000	407	0	0	0	0	421	0	196	0
Zfp68	127.375000	0	0	0	225	677	117	0	0	0
A430033K04Rik	127.375000	0	0	0	225	677	117	0	0	0
Ptov1	127.250000	0	0	0	304	625	89	0	0	0
Rbm4	127.000000	0	0	0	0	1016	0	0	0	0
Neurl4	126.625000	0	0	0	179	834	0	0	0	0
Chmp1b	126.625000	0	0	0	263	750	0	0	0	0
2810408A11Rik	126.625000	0	0	0	179	834	0	0	0	0
Atrnl1	126.250000	0	0	0	0	1010	0	0	0	0
Klf11	126.125000	0	0	0	118	891	0	0	0	0
Srsf4	125.500000	200	0	0	128	553	123	0	0	0
Rad51	125.250000	0	0	0	787	215	0	0	0	0
Kif20a	125.125000	66	0	0	324	611	0	0	0	0
Brd8	125.125000	66	0	0	324	611	0	0	0	0
Ier2	124.875000	111	0	0	557	232	99	0	0	0
Ythdf2	124.500000	96	0	0	94	709	97	0	0	0
Ttc3	124.125000	0	0	0	180	660	153	0	0	0
Pigp	124.125000	0	0	0	180	660	153	0	0	0
Mrpl54	123.500000	0	0	0	0	988	0	0	0	0
Apba3	123.500000	0	0	0	0	988	0	0	0	0
Tpk1	123.250000	0	0	0	320	398	268	0	0	0
Ppil3	123.250000	84	0	0	294	608	0	0	0	0
Nif3l1	123.250000	84	0	0	294	608	0	0	0	0
Ftsj1	123.125000	0	0	0	598	387	0	0	0	0
Dlgap4	123.000000	0	0	0	181	803	0	0	0	0
Harbi1	122.875000	0	0	0	773	210	0	0	0	0
Atg13	122.875000	0	0	0	773	210	0	0	0	0
Aff4	122.750000	0	0	0	237	745	0	0	0	0
Parp16	122.250000	0	0	0	595	124	259	0	0	0
Zcchc14	122.000000	0	0	0	361	426	189	0	0	0
Zfp60	121.875000	0	0	0	129	846	0	0	0	0
H3c6	121.750000	0	0	0	0	974	0	0	0	0
Morc2a	121.625000	0	0	0	166	807	0	0	0	0
Nr1d1	121.375000	0	0	0	737	0	234	0	0	0
Fbxl19	121.125000	0	0	0	476	493	0	0	0	0
Smdt1	120.625000	0	0	0	0	965	0	0	0	0
Rps9	120.625000	0	0	0	99	744	122	0	0	0
Rab30	120.625000	0	0	0	0	965	0	0	0	0
Pheta2	120.625000	0	0	0	0	965	0	0	0	0
Zfp566	119.875000	0	0	0	88	871	0	0	0	0
Zfp260	119.875000	0	0	0	88	871	0	0	0	0
Tra2a	119.625000	0	0	0	112	845	0	0	0	0
Rbm6	119.500000	0	0	0	235	721	0	0	0	0
Ncapd2	119.500000	94	0	0	166	696	0	0	0	0
Mrpl51	119.500000	94	0	0	166	696	0	0	0	0
Prkra	119.375000	0	0	0	496	345	114	0	0	0
Pjvk	119.375000	0	0	0	496	345	114	0	0	0
Hsd17b7	119.375000	115	0	0	256	453	131	0	0	0
Gdpd1	119.375000	0	0	0	230	566	159	0	0	0
Prss8	119.250000	0	0	85	869	0	0	0	0	0
Hcfc1	119.250000	119	0	0	0	770	65	0	0	0
Ezh2	119.125000	168	0	0	341	444	0	0	0	0
Cacnb3	119.125000	0	0	0	562	308	83	0	0	0
Eif4a1	118.250000	100	0	0	125	721	0	0	0	0
Gdpd5	117.875000	0	0	0	0	943	0	0	0	0
Vps72	117.625000	0	0	0	195	746	0	0	0	0
Pip5k1a	117.625000	0	0	0	195	746	0	0	0	0
Zfp81	117.500000	0	0	0	0	940	0	0	0	0
Ptprs	117.500000	0	0	0	0	940	0	0	0	0
Lrrc8a	117.500000	0	0	0	409	463	68	0	0	0
Bri3	117.250000	0	0	0	150	788	0	0	0	0
Gramd4	117.125000	167	0	0	190	457	123	0	0	0
Lin9	117.000000	0	0	0	0	936	0	0	0	0
Marchf6	116.750000	95	0	0	166	673	0	0	0	0
Caprin1	116.750000	123	0	0	246	565	0	0	0	0
Mthfd2l	116.250000	92	0	0	232	606	0	0	0	0
Kif3c	116.250000	0	0	0	96	834	0	0	0	0
Tmem132a	116.125000	0	0	0	389	450	90	0	0	0
Asf1a	116.000000	224	0	0	358	263	83	0	0	0
Zfp282	115.875000	0	0	0	795	132	0	0	0	0
Gm9222	115.750000	184	0	0	234	330	178	0	0	0
Smim3	115.625000	0	0	0	802	0	123	0	0	0
Sh2b1	115.625000	0	0	0	0	925	0	0	0	0
Zfp422	115.500000	198	0	0	0	726	0	0	0	0
Zfp775	115.250000	263	0	0	246	413	0	0	0	0
Iars	115.250000	0	0	0	0	922	0	0	0	0
Gon4l	115.250000	0	0	0	0	922	0	0	0	0
Tcf3	114.875000	0	0	0	436	483	0	0	0	0
Ccar1	114.875000	78	0	0	141	700	0	0	0	0
Arid2	114.500000	230	0	95	382	134	75	0	0	0
Rnf4	114.375000	113	0	0	301	501	0	0	0	0
Tsg101	114.250000	0	0	0	115	729	70	0	0	0
Rgs12	114.250000	125	0	0	137	541	111	0	0	0
Gsk3b	114.125000	0	0	0	171	742	0	0	0	0
Zfp560	114.000000	104	0	91	395	190	132	0	0	0
Trmt2a	113.875000	191	0	0	417	137	166	0	0	0
Ranbp1	113.875000	191	0	0	417	137	166	0	0	0
Rcn2	113.625000	0	0	0	129	780	0	0	0	0
Nfe2l1	113.500000	0	0	0	0	908	0	0	0	0
Mybbp1a	113.500000	0	0	0	0	908	0	0	0	0
Tmem65	113.375000	0	0	0	0	742	165	0	0	0
Slc29a4	113.000000	0	0	0	0	904	0	0	0	0
Ndufs2	113.000000	0	0	175	387	131	211	0	0	0
Adamts4	113.000000	0	0	175	387	131	211	0	0	0
Itsn1	112.875000	0	0	0	0	903	0	0	0	0
Cryzl1	112.875000	0	0	0	0	903	0	0	0	0
Bcl2l1	112.750000	0	0	0	112	790	0	0	0	0
Septin9	112.375000	104	0	0	119	676	0	0	0	0
Snrpe	112.250000	0	0	0	0	898	0	0	0	0
Smurf2	112.125000	0	0	0	114	783	0	0	0	0
Nuak1	111.625000	0	0	0	261	482	150	0	0	0
Dars2	111.625000	110	0	0	206	577	0	0	0	0
Ylpm1	111.375000	217	0	0	430	158	86	0	0	0
Hnrnpa3	111.375000	0	0	0	125	766	0	0	0	0
Fhl3	111.375000	0	0	0	626	0	265	0	0	0
Ccnj	111.250000	0	0	0	199	691	0	0	0	0
Slc38a2	111.000000	103	0	0	132	512	141	0	0	0
Prg4	110.375000	0	0	0	0	0	0	305	578	0
Lrrc8d	110.375000	0	0	0	0	883	0	0	0	0
Foxp1	110.375000	0	0	0	352	531	0	0	0	0
Katnal1	110.000000	0	0	0	183	697	0	0	0	0
Ube2cbp	109.625000	104	0	0	93	589	91	0	0	0
Kmt2e	109.625000	0	0	0	0	877	0	0	0	0
Dop1a	109.625000	104	0	0	93	589	91	0	0	0
Mmp11	109.500000	246	0	0	447	0	183	0	0	0
Chchd10	109.500000	246	0	0	447	0	183	0	0	0
Flna	108.750000	149	0	0	268	453	0	0	0	0
Zfp292	108.250000	0	0	0	214	576	76	0	0	0
