Target_genes	Atf4|Average	SRX6061887|Bone_Marrow_Cells	SRX122493|Dendritic_Cells	SRX122494|Dendritic_Cells	SRX247303|Dermal_fibroblasts	SRX7584820|G1E-ER4+E2	SRX7584821|G1E-ER4+E2	SRX7584823|G1E-ER4+E2	SRX7584824|G1E-ER4+E2	SRX10073412|MEF	SRX10073413|MEF	SRX10073414|MEF	SRX10073415|MEF	SRX119352|MEF	SRX119353|MEF	SRX1437953|MEF	SRX18171659|Neurons	SRX18171663|Neurons	SRX18171667|Neurons	SRX18171669|Neurons	SRX18171671|Neurons	SRX18171673|Neurons	SRX7106909|Unclassified	SRX7106910|Unclassified	SRX7106911|Unclassified	SRX7106913|Unclassified	SRX7106914|Unclassified	SRX7106915|Unclassified	STRING
Sars	282.407407	0	0	473	0	1061	681	532	612	188	504	0	0	1712	0	0	662	492	158	0	293	0	0	0	0	0	257	0	0
Il31ra	274.629630	0	0	0	421	957	908	599	1049	0	0	0	0	586	631	0	0	0	0	0	0	0	193	532	450	262	478	349	0
Mthfd2	274.555556	0	0	0	124	712	502	188	369	669	1008	120	118	1556	0	0	541	479	174	0	216	0	0	0	0	87	295	255	0
Arl14ep	273.629630	0	0	433	132	483	358	171	185	307	998	180	0	1655	0	0	853	565	212	0	326	0	0	0	0	90	236	204	0
Eif1	263.222222	0	0	260	185	981	657	501	628	153	224	0	0	1338	0	0	748	529	197	0	305	0	0	0	0	0	186	215	0
Psat1	262.629630	0	0	0	222	941	579	191	296	279	851	122	0	1638	0	0	771	636	180	0	385	0	0	0	0	0	0	0	0
H4c14	252.222222	0	0	95	0	1258	710	476	657	0	0	0	0	1487	0	0	643	574	167	0	424	0	0	0	0	0	189	130	0
Herpud1	241.925926	0	0	598	231	999	523	406	425	0	455	0	0	958	0	0	604	518	159	0	336	0	0	0	0	0	171	149	0
Knl1	241.703704	0	0	622	0	1339	1019	361	665	0	0	0	0	1740	0	0	363	264	0	0	153	0	0	0	0	0	0	0	0
Rcc2	229.259259	0	0	246	0	705	525	257	234	144	427	0	0	1722	0	0	745	609	144	0	322	0	0	0	0	0	110	0	0
Hspa9	223.592593	0	0	178	0	898	629	373	433	0	806	122	0	1274	0	0	514	443	125	0	242	0	0	0	0	0	0	0	0
Tcstv3	221.333333	0	772	0	919	0	0	0	0	0	0	0	0	1306	674	839	0	0	170	0	183	309	328	0	0	476	0	0	0
Slc3a2	220.629630	0	0	251	0	723	488	125	279	0	310	0	0	1517	0	0	653	689	174	0	349	0	0	0	0	0	198	201	0
Soat2	215.851852	0	0	360	0	1029	922	450	461	0	673	0	0	1676	0	0	257	0	0	0	0	0	0	0	0	0	0	0	0
Gars	212.666667	0	0	133	347	849	748	351	436	0	436	0	0	1443	0	0	391	232	162	0	0	0	0	0	0	0	134	80	0
Eif4ebp1	208.407407	0	0	232	0	705	485	238	129	176	511	109	0	1587	0	0	536	458	144	0	317	0	0	0	0	0	0	0	0
Txndc12	207.962963	0	0	382	0	1282	660	349	359	143	957	0	0	1362	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0
Btf3l4	207.962963	0	0	382	0	1282	660	349	359	143	957	0	0	1362	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0
Taco1	196.370370	0	0	450	0	1336	740	443	432	0	244	0	0	1311	0	0	263	0	0	0	83	0	0	0	0	0	0	0	0
Cars	192.740741	0	0	349	77	552	276	185	246	158	111	0	0	1205	0	0	627	419	136	0	196	0	0	150	0	0	293	224	0
Mars1	190.518519	0	0	447	146	488	356	158	233	262	365	0	0	1473	0	0	412	416	113	0	156	0	0	0	0	0	0	119	0
Sesn2	190.222222	0	0	183	0	981	547	225	302	0	462	0	0	1385	0	0	474	269	140	0	168	0	0	0	0	0	0	0	0
Trib3	188.111111	0	0	226	320	562	320	0	170	148	488	0	0	1287	0	0	632	368	203	0	255	0	0	0	0	0	100	0	0
Nars	184.481481	0	0	435	0	426	286	154	178	0	199	0	0	1555	0	0	679	450	116	0	199	0	0	0	0	0	175	129	0
Nfe2l1	183.962963	0	0	373	0	568	381	150	162	0	871	0	0	1435	0	0	389	270	0	0	149	0	0	0	0	0	142	77	0
Rin1	183.111111	0	0	176	0	1058	768	200	352	0	461	0	0	1625	0	0	207	97	0	0	0	0	0	0	0	0	0	0	0
Cebpb	182.962963	0	0	164	90	1100	551	465	567	0	0	0	0	1556	0	0	270	177	0	0	0	0	0	0	0	0	0	0	0
Slc1a4	176.000000	0	0	513	96	592	273	172	278	0	139	0	0	1383	0	0	524	438	69	0	189	0	0	0	0	0	0	86	0
Pck2	171.222222	0	0	0	0	329	98	0	0	286	326	0	0	1577	0	0	638	454	221	0	302	0	0	0	0	113	142	137	0
Mbd6	170.629630	0	0	246	140	524	309	344	407	0	550	0	0	1115	0	0	376	270	0	0	120	0	0	0	0	0	110	96	0
Ddit3	170.629630	0	0	246	140	524	309	344	407	0	550	0	0	1115	0	0	376	270	0	0	120	0	0	0	0	0	110	96	0
Tsc22d3	170.407407	0	0	177	0	556	450	0	173	0	0	0	0	1653	0	104	550	442	189	0	307	0	0	0	0	0	0	0	0
Pycr1	169.666667	0	0	644	0	527	299	124	128	0	0	0	0	1528	0	0	504	390	191	0	246	0	0	0	0	0	0	0	0
Myadml2	169.666667	0	0	644	0	527	299	124	128	0	0	0	0	1528	0	0	504	390	191	0	246	0	0	0	0	0	0	0	0
Stk40	168.703704	0	0	533	0	619	386	319	412	0	163	0	0	1508	0	0	342	192	0	0	81	0	0	0	0	0	0	0	0
Tmem125	168.074074	0	278	0	519	0	0	0	0	0	0	0	0	145	173	264	294	288	194	212	346	449	238	242	285	166	301	144	0
Xpot	168.037037	0	0	0	111	1153	725	521	458	0	286	0	0	1105	0	0	108	70	0	0	0	0	0	0	0	0	0	0	0
Kdm6b	166.370370	0	0	0	0	815	375	223	267	107	972	0	0	1448	0	0	184	101	0	0	0	0	0	0	0	0	0	0	0
Sel1l	164.296296	0	0	196	0	642	290	234	77	0	507	0	0	1627	0	0	326	326	0	0	211	0	0	0	0	0	0	0	0
Ank2	160.444444	0	0	205	0	352	233	0	0	0	244	0	0	1637	0	0	655	455	281	0	270	0	0	0	0	0	0	0	0
Lars	159.518519	0	0	279	0	276	160	0	0	0	185	0	0	1411	0	0	731	624	266	0	375	0	0	0	0	0	0	0	0
Pdap1	159.000000	0	0	403	0	363	294	0	194	0	0	0	0	1501	0	0	629	449	181	0	199	0	0	0	0	0	80	0	0
Bud31	159.000000	0	0	403	0	363	294	0	194	0	0	0	0	1501	0	0	629	449	181	0	199	0	0	0	0	0	80	0	0
Clic4	155.296296	0	0	0	0	955	538	243	263	182	357	0	0	1390	0	0	154	111	0	0	0	0	0	0	0	0	0	0	0
Got1	152.777778	0	0	430	0	577	479	182	261	0	0	0	0	1516	0	0	367	180	0	0	133	0	0	0	0	0	0	0	0
Tars	151.925926	0	0	141	0	362	348	130	154	0	170	0	0	1258	0	0	562	518	108	0	245	0	0	0	0	0	0	106	0
Slc7a11	150.851852	0	0	442	0	0	0	0	0	0	0	0	0	1598	0	0	735	655	250	0	393	0	0	0	0	0	0	0	0
Taf15	150.740741	0	0	0	0	340	356	0	0	0	356	0	0	1507	0	0	733	386	155	0	237	0	0	0	0	0	0	0	0
Vmn2r102	148.481481	0	0	0	505	184	319	198	344	0	0	0	0	281	236	238	0	0	0	0	0	0	247	334	303	204	306	310	0
Csf2ra	144.888889	92	0	201	381	460	621	369	509	0	0	0	0	437	623	0	0	0	0	0	0	0	219	0	0	0	0	0	0
Eif2s2	144.333333	0	0	335	0	470	211	161	330	0	0	0	0	1295	0	0	350	349	158	0	238	0	0	0	0	0	0	0	0
Asmt	141.000000	0	261	0	272	0	225	0	0	0	0	0	0	556	401	393	0	0	0	0	0	0	371	299	329	192	209	299	0
Gpt2	140.740741	0	0	0	0	0	0	0	0	185	353	0	0	1300	0	0	665	676	279	0	342	0	0	0	0	0	0	0	434
Paqr3	139.814815	0	0	453	0	239	0	0	0	0	908	0	0	1720	0	0	212	144	0	0	99	0	0	0	0	0	0	0	0
Slc19a2	137.703704	0	0	0	0	717	377	351	306	0	415	0	0	1552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nfil3	137.185185	0	0	441	0	0	0	0	0	0	600	0	0	1368	0	0	529	347	145	0	274	0	0	0	0	0	0	0	0
Heatr4	135.962963	0	0	0	0	0	0	0	0	171	1238	0	0	1753	0	133	255	121	0	0	0	0	0	0	0	0	0	0	0
Acot2	135.962963	0	0	0	0	0	0	0	0	171	1238	0	0	1753	0	133	255	121	0	0	0	0	0	0	0	0	0	0	0
Uhrf1bp1	134.074074	0	0	261	0	977	500	146	316	0	145	0	0	1109	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0
Irf2bp2	132.703704	0	0	544	0	288	98	0	0	0	301	0	0	1570	0	0	457	244	0	0	81	0	0	0	0	0	0	0	0
Cebpg	129.037037	0	0	0	131	540	359	213	158	0	502	0	0	1113	0	0	249	219	0	0	0	0	0	0	0	0	0	0	0
Rhbdd1	128.851852	0	0	163	0	375	257	108	168	0	283	0	0	1562	0	0	337	226	0	0	0	0	0	0	0	0	0	0	0
Ywhag	128.740741	0	0	261	0	537	245	214	257	0	168	0	0	1527	0	0	267	0	0	0	0	0	0	0	0	0	0	0	0
Zfp672	128.592593	0	0	171	0	755	609	275	426	0	0	0	0	908	0	0	178	150	0	0	0	0	0	0	0	0	0	0	0
Sh3bp5l	128.592593	0	0	171	0	755	609	275	426	0	0	0	0	908	0	0	178	150	0	0	0	0	0	0	0	0	0	0	0
Aldh18a1	128.444444	0	0	214	106	538	192	0	188	0	112	0	0	1066	0	0	386	384	100	0	182	0	0	0	0	0	0	0	0
Psmc6	127.962963	0	0	565	0	0	0	0	0	0	367	0	0	1251	0	0	413	205	147	0	176	0	0	0	0	141	0	190	0
Slc7a1	126.703704	0	0	0	149	557	263	277	174	0	301	0	0	762	0	0	357	266	146	0	169	0	0	0	0	0	0	0	0
Clcn3	125.629630	0	0	213	0	185	130	0	0	0	369	0	0	1669	0	0	445	243	0	0	138	0	0	0	0	0	0	0	0
Kifc5b	125.259259	0	0	642	84	239	190	0	0	0	0	0	0	1417	0	0	306	375	0	0	129	0	0	0	0	0	0	0	0
Ttc9c	124.333333	0	0	291	0	672	319	232	190	0	0	0	0	1207	0	0	209	237	0	0	0	0	0	0	0	0	0	0	0
Hnrnpul2	124.333333	0	0	291	0	672	319	232	190	0	0	0	0	1207	0	0	209	237	0	0	0	0	0	0	0	0	0	0	0
Slc38a2	120.592593	0	0	280	104	514	317	166	282	0	135	0	0	1068	0	0	286	104	0	0	0	0	0	0	0	0	0	0	0
Ppp2r5a	116.925926	0	0	401	0	402	139	99	234	0	0	0	0	1033	0	0	310	294	87	0	158	0	0	0	0	0	0	0	0
Pbld2	116.370370	0	0	326	0	413	185	0	0	0	141	0	0	1479	0	0	283	217	0	0	98	0	0	0	0	0	0	0	0
Hnrnph3	116.370370	0	0	326	0	413	185	0	0	0	141	0	0	1479	0	0	283	217	0	0	98	0	0	0	0	0	0	0	0
Ogfod1	116.111111	0	0	384	0	664	316	195	330	0	0	0	0	922	0	0	167	157	0	0	0	0	0	0	0	0	0	0	0
Nudt21	116.111111	0	0	384	0	664	316	195	330	0	0	0	0	922	0	0	167	157	0	0	0	0	0	0	0	0	0	0	0
Vldlr	114.925926	0	0	0	0	0	0	0	0	0	372	0	0	1428	0	0	516	397	148	0	242	0	0	0	0	0	0	0	0
Olfr806	114.000000	0	375	0	1035	0	0	0	0	0	0	0	0	400	519	749	0	0	0	0	0	0	0	0	0	0	0	0	0
Abhd6	113.407407	0	479	0	967	0	0	0	0	0	0	0	0	395	465	756	0	0	0	0	0	0	0	0	0	0	0	0	0
Fbxo11	113.333333	0	0	0	0	197	104	0	185	0	0	0	0	1542	0	0	465	322	107	0	138	0	0	0	0	0	0	0	0
Cyb5r1	111.777778	0	0	0	0	395	313	0	0	0	492	0	0	1639	0	0	179	0	0	0	0	0	0	0	0	0	0	0	0
Lmo1	111.740741	1685	0	0	0	0	0	0	0	0	0	0	0	1061	0	0	163	108	0	0	0	0	0	0	0	0	0	0	0
Rbm4	109.666667	0	0	217	0	322	153	98	156	0	251	0	0	1201	0	0	251	176	0	0	0	0	0	0	0	0	0	136	0
Lexm	109.518519	0	0	293	0	637	291	0	156	0	0	0	0	1374	0	0	206	0	0	0	0	0	0	0	0	0	0	0	0
Sspn	108.370370	0	0	0	277	632	464	315	563	0	0	0	0	355	320	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2az1	108.074074	0	0	184	0	737	342	138	229	0	0	0	0	949	0	0	247	92	0	0	0	0	0	0	0	0	0	0	0
Gadd45a	108.074074	0	0	431	0	436	214	0	65	0	211	0	0	1350	0	0	211	0	0	0	0	0	0	0	0	0	0	0	0
Dnajb14	108.074074	0	0	184	0	737	342	138	229	0	0	0	0	949	0	0	247	92	0	0	0	0	0	0	0	0	0	0	0
Cnpy2	108.037037	0	0	0	0	0	0	0	0	0	0	0	0	1549	0	0	608	436	90	0	234	0	0	0	0	0	0	0	0
Arhgap12	107.925926	0	0	296	0	0	0	0	0	0	258	0	0	1705	0	0	262	233	0	0	160	0	0	0	0	0	0	0	0
Nupr1	107.111111	0	0	520	0	110	0	0	0	0	274	0	0	1341	0	0	261	87	0	0	0	0	0	0	0	0	131	168	401
Phf10	105.592593	0	0	0	0	0	0	0	0	0	0	0	0	1440	0	0	612	462	130	0	207	0	0	0	0	0	0	0	0
Mbnl2	105.592593	0	0	197	0	178	183	0	0	0	406	0	0	1486	0	0	215	186	0	0	0	0	0	0	0	0	0	0	0
Gramd1b	105.444444	0	0	353	0	0	0	0	0	0	732	0	0	1559	0	0	203	0	0	0	0	0	0	0	0	0	0	0	0
Wwox	105.296296	0	226	0	883	0	0	0	0	0	0	0	0	359	564	811	0	0	0	0	0	0	0	0	0	0	0	0	0
Eif3c	104.814815	0	0	282	0	195	0	0	0	0	416	0	0	1723	0	0	214	0	0	0	0	0	0	0	0	0	0	0	0
Rbm39	102.518519	0	0	779	0	128	0	0	0	0	0	0	0	1263	0	0	275	196	0	0	127	0	0	0	0	0	0	0	0
Vdac3	102.148148	0	0	0	0	0	0	0	0	0	155	0	0	1606	0	0	477	357	0	0	163	0	0	0	0	0	0	0	0
Rabepk	101.777778	0	0	156	0	164	161	0	0	0	0	0	0	1285	0	0	403	334	0	0	245	0	0	0	0	0	0	0	0
Kdm7a	101.777778	0	0	0	0	504	133	0	148	0	0	0	0	1701	0	0	262	0	0	0	0	0	0	0	0	0	0	0	0
Hax1	101.592593	0	0	139	0	485	375	138	0	0	139	0	0	1137	0	0	189	141	0	0	0	0	0	0	0	0	0	0	0
Cabp1	101.148148	0	0	333	0	142	0	0	0	0	174	0	0	1629	0	0	223	128	0	0	102	0	0	0	0	0	0	0	0
Eif3a	100.814815	0	0	236	0	0	0	0	0	161	462	0	0	1706	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0
Kifc1	100.518519	222	0	426	0	230	0	0	0	0	0	0	0	1199	0	0	356	165	0	0	116	0	0	0	0	0	0	0	0
Ddit4	99.962963	0	0	0	0	0	0	0	0	192	253	0	0	837	0	0	552	403	148	0	314	0	0	0	0	0	0	0	0
Hspa5	99.740741	0	0	349	0	142	0	0	0	0	0	0	0	1520	94	0	470	118	0	0	0	0	0	0	0	0	0	0	0
Snx33	99.074074	0	0	146	0	364	266	0	0	0	364	0	0	1535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mideas	96.925926	0	0	665	0	206	0	0	0	0	180	0	0	1439	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0
Plekhh3	96.777778	0	0	320	0	335	283	0	0	0	0	0	0	890	0	0	351	209	0	0	225	0	0	0	0	0	0	0	0
Cntnap1	96.777778	0	0	320	0	335	283	0	0	0	0	0	0	890	0	0	351	209	0	0	225	0	0	0	0	0	0	0	0
Ccr10	96.777778	0	0	320	0	335	283	0	0	0	0	0	0	890	0	0	351	209	0	0	225	0	0	0	0	0	0	0	0
Pemt	96.703704	2450	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leprotl1	96.666667	0	0	0	0	213	160	0	102	0	0	0	0	1552	0	0	360	147	0	0	76	0	0	0	0	0	0	0	0
Tnks1bp1	95.851852	0	0	193	0	196	121	0	0	0	0	0	0	1306	0	0	317	277	0	0	178	0	0	0	0	0	0	0	0
Iah1	95.740741	0	0	682	0	303	146	0	0	0	0	0	0	688	0	0	388	244	0	0	134	0	0	0	0	0	0	0	0
Abraxas1	94.666667	0	0	656	0	0	0	0	0	0	248	0	0	1652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tenm4	93.666667	0	0	0	0	0	0	0	0	0	544	0	0	1549	0	0	263	173	0	0	0	0	0	0	0	0	0	0	0
Mb	93.444444	0	0	0	0	0	0	0	0	0	0	0	0	1733	0	0	387	244	0	0	159	0	0	0	0	0	0	0	0
Ran	93.296296	0	0	0	112	135	83	0	0	0	0	0	0	1156	0	0	435	385	0	0	213	0	0	0	0	0	0	0	0
Ppp1r15a	92.111111	0	0	0	191	128	0	0	0	0	780	0	0	1388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	502
Plekha4	92.111111	0	0	0	191	128	0	0	0	0	780	0	0	1388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kif21b	91.703704	0	0	222	0	0	0	0	0	0	0	0	0	1474	0	0	441	232	0	0	107	0	0	0	0	0	0	0	0
Trim66	91.444444	0	0	0	0	0	0	0	0	0	129	0	0	950	0	0	559	445	151	0	235	0	0	0	0	0	0	0	0
Lsm14a	91.444444	0	0	257	0	190	0	0	0	0	343	0	0	1534	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0
Echs1	91.370370	0	0	255	0	303	142	0	0	0	190	0	0	1428	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0
Aldh1l2	91.222222	0	0	315	0	0	0	0	0	0	76	0	0	1154	0	0	376	330	0	0	212	0	0	0	0	0	0	0	0
Tbl1x	91.000000	0	0	0	0	0	0	0	0	0	0	0	0	1293	0	0	519	348	74	0	223	0	0	0	0	0	0	0	0
Atf3	90.370370	0	0	601	0	0	0	0	0	0	0	0	0	1222	0	0	369	148	100	0	0	0	0	0	0	0	0	0	441
Nfu1	90.333333	0	0	0	0	546	375	116	176	0	0	0	0	1226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arhgef2	89.740741	0	0	218	0	0	0	0	0	0	382	0	0	1455	0	0	255	113	0	0	0	0	0	0	0	0	0	0	0
Gm32856	88.703704	0	0	0	0	383	170	0	161	0	0	0	0	1567	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0
Slc38a7	88.074074	0	0	618	0	95	0	0	0	0	0	0	0	1561	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0
Ormdl3	87.925926	0	0	0	0	473	158	0	130	0	0	0	0	1319	0	0	114	180	0	0	0	0	0	0	0	0	0	0	0
Armc5	87.703704	0	0	127	94	318	188	171	227	0	0	0	0	1039	0	0	122	82	0	0	0	0	0	0	0	0	0	0	0
9130023H24Rik	87.703704	0	0	127	94	318	188	171	227	0	0	0	0	1039	0	0	122	82	0	0	0	0	0	0	0	0	0	0	0
Tas2r143	87.555556	0	0	346	0	0	0	0	0	0	357	0	0	1577	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0
Klf4	85.518519	899	0	249	0	0	0	0	0	0	0	0	0	926	0	0	235	0	0	0	0	0	0	0	0	0	0	0	0
Marchf6	84.888889	0	0	177	0	0	98	0	0	0	0	0	0	1277	0	0	338	264	0	0	138	0	0	0	0	0	0	0	0
Tnfaip2	84.703704	0	0	0	0	431	248	167	0	0	0	0	0	1441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spty2d1	84.185185	0	0	731	0	0	0	0	0	0	0	0	0	1116	0	0	174	118	0	0	134	0	0	0	0	0	0	0	0
Dusp13	84.185185	0	0	764	0	255	181	0	0	0	0	0	0	778	0	0	140	155	0	0	0	0	0	0	0	0	0	0	0
Trim46	83.481481	0	0	0	0	421	169	0	0	0	0	0	0	1560	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0
Krtcap2	83.481481	0	0	0	0	421	169	0	0	0	0	0	0	1560	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0
Klhl33	83.444444	0	0	712	0	0	0	0	0	0	0	0	0	1404	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0
Bnipl	83.074074	0	0	200	0	215	172	0	0	0	0	0	0	1656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Setd5	82.851852	0	0	377	0	165	0	0	0	0	0	0	0	566	0	0	607	355	167	0	0	0	0	0	0	0	0	0	0
Eprs	82.814815	0	0	177	99	288	115	0	0	0	0	0	0	1378	0	0	179	0	0	0	0	0	0	0	0	0	0	0	0
Ier2	82.037037	0	0	910	0	207	161	0	0	0	0	0	0	937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wdr25	81.740741	0	0	270	0	194	0	0	0	0	250	0	0	1321	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0
Wars	81.740741	0	0	270	0	194	0	0	0	0	250	0	0	1321	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0
Bcat1	81.148148	0	0	0	107	0	0	0	0	0	0	0	0	1052	0	0	446	381	87	0	118	0	0	0	0	0	0	0	0
B9d2	80.814815	0	0	228	0	383	169	0	0	0	0	0	0	1402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cxadr	80.703704	0	0	0	0	0	0	0	0	0	416	0	0	1638	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0
Sqstm1	80.185185	0	0	0	0	221	124	0	0	0	429	0	0	1391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atf6	79.444444	0	0	170	0	146	0	0	0	0	0	0	0	1530	0	0	190	109	0	0	0	0	0	0	0	0	0	0	0
Gm34653	78.851852	582	0	666	0	0	0	0	0	0	0	0	0	881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdh12	78.666667	0	0	0	253	0	185	0	0	0	0	0	0	268	283	292	0	0	0	0	0	0	415	0	0	428	0	0	0
Tet3	78.444444	0	0	0	0	0	0	0	0	0	0	0	0	1360	0	0	365	227	0	0	166	0	0	0	0	0	0	0	0
Smim10l1	78.185185	0	0	140	0	0	0	0	0	0	0	0	0	1539	0	0	260	172	0	0	0	0	0	0	0	0	0	0	0
Clu	77.740741	2099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dnaja3	77.555556	0	0	0	0	257	138	0	0	0	289	0	0	1410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coro7	77.555556	0	0	0	0	257	138	0	0	0	289	0	0	1410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B4galnt2	77.111111	0	0	0	0	0	0	0	0	0	218	0	0	1649	0	0	215	0	0	0	0	0	0	0	0	0	0	0	0
Cluh	77.000000	0	0	647	0	0	0	0	0	0	0	0	0	1432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trim50	75.592593	0	0	0	0	171	0	0	0	0	0	0	0	207	0	0	0	0	0	0	0	0	156	299	436	179	319	274	0
Htatip2	75.444444	0	0	181	0	112	154	0	0	0	0	0	0	1499	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0
Eps15	75.444444	0	0	0	0	0	0	0	0	0	0	0	0	730	0	0	556	393	139	0	219	0	0	0	0	0	0	0	0
Larp1	75.370370	0	0	417	63	262	147	0	102	0	0	0	0	741	0	0	140	163	0	0	0	0	0	0	0	0	0	0	0
Rpia	75.333333	0	0	879	0	0	0	0	0	0	0	0	0	1155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bdnf	75.111111	0	0	0	0	0	0	0	0	0	0	0	0	1349	0	0	347	206	0	0	126	0	0	0	0	0	0	0	0
Cbx4	75.000000	0	0	585	0	0	0	0	0	0	144	0	0	753	0	0	318	120	0	0	105	0	0	0	0	0	0	0	0
Tbpl1	74.962963	0	0	0	0	277	0	0	0	0	0	0	0	1359	0	0	269	119	0	0	0	0	0	0	0	0	0	0	0
Fut1	74.777778	0	0	0	0	0	0	0	0	0	156	0	0	1322	0	0	397	144	0	0	0	0	0	0	0	0	0	0	0
Fgf21	74.777778	0	0	0	0	0	0	0	0	0	156	0	0	1322	0	0	397	144	0	0	0	0	0	0	0	0	0	0	0
