Target_genes	Foxa3|Average	SRX2379276|Hepatocytes	SRX1564901|Liver	SRX1564902|Liver	SRX2379237|MEF	SRX2379247|MEF	SRX2379266|MEF	SRX2379270|MEF	SRX4405399|MEF	SRX4405401|MEF	SRX4405405|MEF	SRX4405406|MEF	SRX7540355|MEF	SRX7540363|MEF	SRX7569431|MEF	SRX8130872|Tail_fibroblast	SRX8130873|Tail_fibroblast	SRX8130874|Tail_fibroblast	SRX8130875|Tail_fibroblast	SRX8130876|Tail_fibroblast	STRING
Mrpl22	139.157895	0	0	0	0	0	0	0	0	403	149	182	0	0	0	0	285	727	453	445	0
Gemin5	139.157895	0	0	0	0	0	0	0	0	403	149	182	0	0	0	0	285	727	453	445	0
Bmper	138.052632	0	0	0	0	0	0	0	0	0	137	176	0	0	0	0	620	494	671	525	0
Ninj2	137.578947	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	997	1050	309	132	0
U2surp	137.157895	0	0	0	0	0	0	0	0	191	144	148	0	0	0	0	520	1213	259	131	0
Arel1	136.947368	0	0	159	0	0	0	0	119	248	586	326	0	0	0	0	0	608	352	204	0
Wwp1	136.578947	0	0	0	0	0	0	0	0	0	312	261	0	0	0	0	238	1571	213	0	0
Txnip	136.263158	0	111	220	404	123	0	0	0	288	217	170	0	231	0	0	439	0	242	144	0
Vps36	136.052632	0	0	0	137	117	0	0	0	0	0	0	0	0	0	0	1174	547	467	143	0
Hagh	135.315789	0	188	905	0	141	0	0	0	0	0	0	0	0	0	0	471	0	516	350	0
Fahd1	135.315789	0	188	905	0	141	0	0	0	0	0	0	0	0	0	0	471	0	516	350	0
Olfr1382	134.631579	0	0	0	0	0	0	0	0	370	390	281	0	0	0	0	1071	277	169	0	0
Slc39a10	134.578947	0	0	0	494	166	0	0	0	0	230	228	0	72	0	0	418	617	199	133	0
Ccdc25	134.368421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	405	1466	430	252	0
Palmd	134.315789	0	0	0	0	0	0	0	185	423	237	161	0	0	0	0	260	1151	135	0	0
Lysmd2	134.315789	0	0	513	0	0	0	0	0	0	236	180	0	0	0	0	817	0	470	336	0
Tpst2	134.210526	0	0	0	153	207	0	0	0	0	257	0	0	0	0	0	463	806	456	208	0
Exoc4	134.157895	0	0	0	0	0	0	0	252	499	229	0	0	0	0	0	690	677	202	0	0
Rnf19a	133.526316	0	0	199	180	134	0	0	0	551	381	226	0	0	0	0	165	378	159	164	0
Stag2	133.421053	0	0	116	0	0	0	0	0	274	553	174	0	0	0	0	399	631	224	164	0
Ptpra	133.315789	0	0	0	190	0	0	0	0	150	106	131	0	0	0	0	433	650	500	373	0
Zfp395	133.105263	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	857	517	603	408	0
Nme8	133.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	258	1136	562	573	0
Rit1	132.684211	0	0	0	0	0	0	0	0	189	188	159	0	0	0	0	359	1236	390	0	0
Hykk	131.684211	0	0	273	0	0	0	0	0	536	758	455	0	0	0	0	0	325	155	0	0
Strit1	131.368421	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0	644	1514	177	0	0
Ube2h	130.473684	0	0	0	110	0	0	0	0	347	163	187	0	0	0	0	771	298	358	245	0
H3f3b	130.368421	0	0	0	1002	417	116	0	0	0	349	235	0	142	117	0	0	0	99	0	0
Lnx1	130.210526	0	0	0	0	0	0	0	0	191	189	196	0	0	0	0	512	766	357	263	0
Irx5	130.052632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	865	827	557	222	0
Abhd6	129.894737	0	231	554	182	188	176	0	0	0	0	0	0	0	207	229	0	188	213	300	0
Ropn1l	129.421053	0	0	0	185	0	0	0	0	0	0	0	0	0	0	0	387	1460	297	130	0
Plrg1	129.000000	0	0	311	0	0	0	0	0	394	377	157	0	0	0	0	266	593	172	181	0
Fez2	128.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	682	1616	151	0	0
Nars2	128.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	738	1260	336	110	0
Taf4	128.421053	0	0	367	453	287	0	0	0	107	0	0	0	0	0	0	465	90	428	243	0
H2-T24	128.157895	0	0	801	0	0	0	0	0	0	0	0	0	0	0	0	648	215	487	284	0
Dlec1	128.105263	0	0	0	0	0	0	0	133	195	478	239	0	0	0	0	197	1079	113	0	0
Tti2	127.842105	0	0	0	1163	0	0	0	105	246	465	173	0	130	0	0	147	0	0	0	0
Hdac11	127.789474	0	0	0	0	0	0	0	230	633	362	196	0	0	0	0	144	568	200	95	0
Dennd2c	127.736842	0	0	0	0	186	0	0	0	123	0	127	0	0	0	0	767	504	470	250	0
Tmco1	127.421053	0	0	0	143	105	0	0	0	0	0	0	0	0	0	0	500	824	485	364	0
Foxa2	127.421053	0	0	384	0	0	0	0	0	119	0	95	0	0	0	0	392	600	521	310	0
Stx17	127.263158	0	0	0	0	216	0	0	0	246	167	186	0	0	0	0	93	868	361	281	0
Pyroxd1	127.263158	0	0	0	0	0	0	0	0	179	261	116	0	0	0	0	339	933	302	288	0
Bcl3	127.210526	0	0	329	0	0	0	0	0	293	317	218	0	0	0	0	263	510	248	239	0
Shmt1	127.052632	0	0	0	0	0	0	0	168	263	214	152	0	0	0	0	372	525	488	232	0
Herpud1	126.526316	0	105	330	218	229	0	0	146	256	0	0	0	108	0	0	438	133	234	207	0
Smim15	126.263158	0	0	185	132	178	0	0	0	0	143	0	0	0	0	0	544	577	349	291	0
Tmem140	125.842105	0	0	151	0	0	0	0	161	285	294	202	0	0	0	0	475	283	310	230	0
R3hcc1	125.789474	0	0	0	0	0	0	0	0	0	153	128	0	0	0	0	211	1898	0	0	0
Rbm24	125.684211	0	0	0	0	0	0	0	0	389	608	201	0	0	0	0	269	921	0	0	0
Acnat1	125.421053	0	0	0	0	0	0	0	0	261	396	0	0	0	0	0	296	878	280	272	0
Trf	125.263158	0	206	507	0	0	0	0	0	327	226	147	0	0	0	0	0	276	363	328	0
Ric8a	125.157895	0	182	548	0	0	0	0	0	170	0	113	0	138	0	0	573	69	443	142	0
Bet1l	125.157895	0	182	548	0	0	0	0	0	170	0	113	0	138	0	0	573	69	443	142	0
Pls1	125.105263	0	0	0	0	176	0	0	196	443	591	345	0	0	0	0	97	201	136	192	0
Nfya	125.052632	0	0	0	252	134	0	0	113	263	233	220	0	0	0	0	472	353	196	140	0
Net1	124.947368	0	0	407	0	184	0	0	0	0	0	0	0	0	0	0	280	763	479	261	0
Abca9	124.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	650	1029	445	248	0
Nuak1	124.736842	0	0	0	165	189	0	0	0	0	0	0	0	0	0	0	318	660	494	544	0
Tgfb2	124.315789	0	0	0	0	0	0	0	333	352	504	191	0	0	0	0	278	529	96	79	0
Vopp1	124.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	627	1403	329	0	0
Apol7a	123.842105	0	0	0	0	0	0	0	0	137	123	123	0	0	0	0	563	286	606	515	0
Arsg	123.684211	0	240	1005	0	0	0	0	0	255	126	0	0	0	0	0	106	111	246	261	0
Bptf	123.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241	1505	412	189	0
Vdac2	123.315789	0	0	0	131	0	0	0	0	0	195	0	0	0	0	0	447	1192	217	161	0
Ppa1	123.052632	0	0	0	101	120	0	0	0	0	0	0	0	0	0	0	640	1311	166	0	0
Nsun6	123.000000	0	0	153	154	152	0	0	0	0	0	0	0	0	0	0	718	648	363	149	0
Mro	123.000000	0	0	0	0	0	0	0	0	229	349	0	0	0	0	0	497	440	516	306	0
Amfr	122.684211	0	0	580	0	0	0	0	197	381	186	141	0	0	0	0	165	319	216	146	0
Spty2d1	122.631579	0	0	0	0	198	0	0	0	0	0	0	0	0	0	0	484	512	591	545	0
Acsm1	122.631579	0	0	0	0	0	0	0	252	764	471	440	0	0	0	0	0	0	224	179	0
Zfp282	122.473684	0	0	435	0	164	0	0	0	0	0	0	0	0	108	0	390	164	536	530	0
Pag1	122.315789	0	0	292	0	0	0	0	0	342	502	231	0	0	0	0	163	165	237	392	0
Rps6ka2	122.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	656	553	703	408	0
Ubqlnl	121.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	358	893	498	563	0
Ubqln3	121.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	358	893	498	563	0
Nnt	121.631579	0	0	0	0	0	0	0	124	224	138	138	0	0	0	0	274	1030	246	137	0
Fbln7	121.473684	0	0	0	0	0	0	0	0	241	204	211	0	0	0	0	0	1652	0	0	0
Wdr48	121.368421	0	82	426	0	0	0	0	0	0	0	0	0	151	0	0	587	157	385	518	0
Kmt2e	121.263158	0	0	0	360	0	0	0	198	488	263	0	0	0	0	0	247	515	233	0	0
Idh1	121.210526	0	140	571	186	0	0	0	0	0	85	0	0	0	0	0	352	439	270	260	0
Nemf	121.157895	0	878	1106	0	0	0	0	0	0	0	0	0	0	0	0	181	0	137	0	0
Cdh12	120.894737	533	231	0	0	0	385	216	195	158	0	0	396	0	183	0	0	0	0	0	0
Rnase4	120.421053	0	0	0	0	0	0	0	0	443	242	0	0	0	0	0	426	305	442	430	0
Ang	120.421053	0	0	0	0	0	0	0	0	443	242	0	0	0	0	0	426	305	442	430	0
Raph1	120.052632	0	400	1501	0	166	0	0	0	0	0	0	0	0	0	0	214	0	0	0	0
Cox20	119.894737	0	151	488	232	0	0	0	0	0	0	0	0	0	0	0	540	328	320	219	0
Acot7	119.789474	0	0	0	0	174	0	0	0	0	0	0	0	0	0	0	722	685	495	200	0
Ibtk	119.578947	0	0	0	119	108	0	0	0	135	161	103	0	0	0	0	622	536	327	161	0
Olfr985	119.421053	0	0	0	0	0	0	0	0	0	325	0	0	0	0	0	582	937	255	170	0
Lifr	119.368421	0	0	275	0	161	0	0	0	0	0	0	0	0	0	0	329	549	550	404	0
