Target_genes	Mnt|Average	SRX9514748|Lung_cancer	SRX9514749|Lung_cancer	SRX7849445|Lung_tumors	SRX7849446|Lung_tumors	SRX7849455|Lung_tumors	SRX7849456|Lung_tumors	STRING
Rexo1	248.833333	0	85	0	757	0	651	0
Cstf1	248.333333	0	1336	0	154	0	0	0
Aurka	248.333333	0	1336	0	154	0	0	0
Sf3b3	245.333333	0	996	0	264	0	212	0
Cog4	245.333333	0	996	0	264	0	212	0
Timm9	244.333333	0	1346	0	120	0	0	0
2700049A03Rik	244.333333	0	1346	0	120	0	0	0
Kctd9	242.833333	0	1157	0	300	0	0	0
Cdca2	242.833333	0	1157	0	300	0	0	0
Nme6	241.000000	0	211	0	806	0	429	0
Larp1	237.666667	0	1426	0	0	0	0	0
Mtg1	237.333333	0	1213	0	211	0	0	0
Rorc	235.333333	0	0	0	1039	0	373	0
Trmt61a	235.166667	0	1267	0	144	0	0	0
Mkx	235.166667	0	0	0	832	0	579	0
Cdk7	234.666667	0	1232	0	176	0	0	0
Npm1	234.500000	0	1407	0	0	0	0	0
Mybbp1a	234.000000	0	1330	0	74	0	0	0
Wrap53	233.333333	0	897	0	334	0	169	0
Trp53	233.333333	0	897	0	334	0	169	0
Nolc1	231.666667	0	1245	0	145	0	0	0
Nop2	230.666667	0	1225	0	159	0	0	0
Rpl35a	228.500000	0	887	0	198	0	286	0
Iqcg	228.500000	0	887	0	198	0	286	0
Nop58	227.833333	0	1164	0	203	0	0	0
Rabl2	227.666667	0	0	0	731	0	635	0
Telo2	224.666667	0	1211	0	137	0	0	0
Ptx4	224.666667	0	1211	0	137	0	0	0
Nme2	224.166667	0	1345	0	0	0	0	0
Polr3f	223.166667	0	141	0	804	0	394	0
Dzank1	223.166667	0	141	0	804	0	394	0
Caprin1	223.000000	0	709	0	449	0	180	0
Slc3a2	220.500000	0	1323	0	0	0	0	0
Pradc1	219.500000	0	788	0	320	0	209	0
Cct7	219.500000	0	788	0	320	0	209	0
Yars	219.000000	0	984	0	123	0	207	0
S100pbp	219.000000	0	984	0	123	0	207	0
Hspe1	217.666667	0	494	0	498	0	314	0
Hspd1	217.666667	0	494	0	498	0	314	0
Top1	214.500000	0	1041	0	246	0	0	0
Ddx42	212.833333	0	526	0	493	0	258	0
Ccdc47	212.833333	0	526	0	493	0	258	0
Nol12	211.333333	0	1142	0	126	0	0	0
Ap3m1	207.166667	0	401	0	533	0	309	0
Adk	207.166667	0	401	0	533	0	309	0
Gorab	205.166667	0	0	0	741	0	490	0
Eif1ad	204.666667	0	857	0	205	0	166	0
Banf1	204.666667	0	857	0	205	0	166	0
Rnf44	203.166667	0	1219	0	0	0	0	0
Vps52	200.000000	0	869	0	204	0	127	0
Rps18	200.000000	0	869	0	204	0	127	0
B3galt4	200.000000	0	869	0	204	0	127	0
Sart3	199.833333	0	257	0	577	0	365	0
Iscu	199.833333	0	257	0	577	0	365	0
Mapkapk5	197.666667	0	137	0	639	0	410	0
Kmt2d	197.166667	0	1061	0	122	0	0	0
Asmt	195.000000	0	308	119	276	220	247	0
Ino80	194.500000	0	1167	0	0	0	0	0
Rpl5	192.500000	0	1155	0	0	0	0	0
Ddx21	192.166667	0	1056	0	97	0	0	0
Aldh18a1	192.166667	0	1153	0	0	0	0	0
Thg1l	191.833333	0	1017	0	134	0	0	0
Srd5a1	191.333333	0	361	0	478	0	309	0
Nsun2	191.333333	0	361	0	478	0	309	0
Usp16	190.166667	0	1141	0	0	0	0	0
Eif2s3x	190.000000	0	463	0	460	0	217	0
Pcbp1	189.666667	0	648	0	310	0	180	0
Eif3e	189.333333	0	1136	0	0	0	0	0
Rtn4rl1	189.166667	0	968	0	167	0	0	0
Pes1	189.166667	0	674	0	284	0	177	0
Dph1	189.166667	0	968	0	167	0	0	0
Cacybp	187.833333	0	328	0	530	0	269	0
Vti1b	186.333333	0	0	0	597	0	521	0
Fosl1	185.000000	0	1110	0	0	0	0	0
Tbck	184.666667	0	137	0	538	0	433	0
Aimp1	184.666667	0	137	0	538	0	433	0
Fam160b1	180.833333	0	1085	0	0	0	0	0
Med11	180.500000	0	814	0	269	0	0	0
Psph	180.333333	0	685	0	245	0	152	0
Cct6a	180.333333	0	685	0	245	0	152	0
Gtpbp4	179.500000	0	968	0	109	0	0	0
Adh5	177.666667	0	861	0	205	0	0	0
Mphosph10	176.833333	0	950	0	111	0	0	0
Mcee	176.833333	0	950	0	111	0	0	0
Ncl	176.000000	0	1056	0	0	0	0	0
Wdr92	173.833333	0	284	0	578	0	181	0
Pno1	173.833333	0	284	0	578	0	181	0
Cnpy2	172.833333	0	709	0	171	0	157	0
Ybx3	172.500000	0	1035	0	0	0	0	0
Rabggtb	172.166667	0	350	0	427	0	256	0
Mettl1	171.666667	0	886	0	144	0	0	0
Eef1akmt3	171.666667	0	886	0	144	0	0	0
Blcap	171.166667	0	166	0	534	0	327	0
Exosc5	171.000000	0	407	0	425	0	194	0
Bckdha	171.000000	0	407	0	425	0	194	0
Polr1b	169.500000	0	1017	0	0	0	0	0
Polr2e	169.000000	0	125	0	433	0	456	0
Slc25a29	168.333333	0	1010	0	0	0	0	0
Rps26	168.333333	0	1010	0	0	0	0	0
Ube2f	168.166667	0	264	0	343	0	402	0
Uqcc3	167.500000	0	758	0	247	0	0	0
Lbhd1	167.500000	0	758	0	247	0	0	0
Rpl24	166.666667	0	1000	0	0	0	0	0
Iars	166.666667	0	1000	0	0	0	0	0
Rrs1	165.833333	0	995	0	0	0	0	0
Adhfe1	165.833333	0	995	0	0	0	0	0
Anp32b	165.500000	0	993	0	0	0	0	0
Taco1	165.333333	0	864	0	128	0	0	0
Tbrg4	165.000000	0	990	0	0	0	0	0
Mrpl12	164.833333	0	743	0	246	0	0	0
Rpl23	164.166667	0	985	0	0	0	0	0
Hsp90aa1	164.166667	0	985	0	0	0	0	0
Cand1	163.833333	0	868	0	115	0	0	0
Khdrbs1	163.000000	0	792	0	186	0	0	0
Rpl37	162.666667	0	976	0	0	0	0	0
Eif2s2	161.666667	0	970	0	0	0	0	0
Tmem132a	161.333333	0	968	0	0	0	0	0
Tsr1	160.833333	0	965	0	0	0	0	0
Sgsm2	160.833333	0	965	0	0	0	0	0
Rack1	160.500000	0	963	0	0	0	0	0
Lrr1	159.833333	0	167	0	470	0	322	0
Zc3h6	158.666667	0	877	0	75	0	0	0
Ppan	158.166667	0	818	0	131	0	0	0
Cdca7	157.833333	0	508	0	249	0	190	0
Hadhb	157.666667	0	161	0	562	0	223	0
Hadha	157.666667	0	161	0	562	0	223	0
Ccni	157.666667	0	684	0	262	0	0	0
2010109A12Rik	157.666667	0	684	0	262	0	0	0
Hjurp	157.333333	0	584	0	360	0	0	0
A730008H23Rik	157.333333	0	584	0	360	0	0	0
Psmd1	156.833333	0	159	0	511	0	271	0
Set	156.500000	0	939	0	0	0	0	0
Cct4	155.833333	0	483	0	296	0	156	0
Rplp1	155.500000	0	933	0	0	0	0	0
Tm9sf1	155.333333	0	0	0	569	0	363	0
Hnrnpa1	155.333333	0	932	0	0	0	0	0
Cbx5	155.333333	0	932	0	0	0	0	0
Anapc10	154.666667	0	928	0	0	0	0	0
Abce1	154.666667	0	928	0	0	0	0	0
Suclg1	154.500000	0	174	0	425	0	328	0
Xpnpep3	154.333333	0	347	0	340	0	239	0
St13	154.333333	0	347	0	340	0	239	0
Rps7	154.333333	0	926	0	0	0	0	0
Dph5	153.500000	0	921	0	0	0	0	0
Pus1	153.166667	0	919	0	0	0	0	0
Ppp1r15b	153.000000	0	918	0	0	0	0	0
Rpl12	152.500000	0	915	0	0	0	0	0
Lrsam1	152.500000	0	915	0	0	0	0	0
Cltc	152.333333	0	530	0	215	0	169	0
Kmt5b	152.000000	0	802	0	110	0	0	0
Mrto4	151.833333	0	699	0	212	0	0	0
Emc1	151.833333	0	699	0	212	0	0	0
Lyrm4	151.500000	0	183	0	404	0	322	0
Fars2	151.500000	0	183	0	404	0	322	0
Rps2	151.000000	0	906	0	0	0	0	0
Rnf151	151.000000	0	906	0	0	0	0	0
Ndufb10	151.000000	0	906	0	0	0	0	0
Dhx33	150.666667	0	646	0	258	0	0	0
Acsl5	150.666667	0	904	0	0	0	0	0
Eif4a1	150.166667	0	657	0	244	0	0	0
Trub1	150.000000	0	900	0	0	0	0	0
Ankle2	149.666667	0	0	0	504	0	394	0
Proser1	149.500000	0	333	0	344	0	220	0
Nhlrc3	149.500000	0	333	0	344	0	220	0
Utp25	149.000000	0	779	0	115	0	0	0
Tmed1	149.000000	0	486	0	219	0	189	0
Mcph1	149.000000	0	800	0	94	0	0	0
Cactin	148.500000	0	130	0	468	0	293	0
Eef1g	148.333333	0	890	0	0	0	0	0
Rpl8	148.000000	0	888	0	0	0	0	0
Rpl13	148.000000	0	888	0	0	0	0	0
Commd5	148.000000	0	888	0	0	0	0	0
2410002F23Rik	147.666667	0	363	0	293	0	230	0
Rpl7	146.833333	0	614	0	147	0	120	0
Rdh10	146.833333	0	614	0	147	0	120	0
Dph6	146.500000	0	488	0	262	0	129	0
Aatf	146.166667	0	877	0	0	0	0	0
Tmem125	146.000000	164	551	0	0	161	0	0
Ipo7	146.000000	0	876	0	0	0	0	0
Wdr77	145.666667	0	874	0	0	0	0	0
Atp5pb	145.666667	0	874	0	0	0	0	0
Vars	145.333333	0	397	0	277	0	198	0
Rsl1d1	145.333333	0	872	0	0	0	0	0
Klf16	145.333333	0	800	0	72	0	0	0
Gpatch4	145.333333	0	872	0	0	0	0	0
D17H6S56E-5	145.333333	0	397	0	277	0	198	0
Phf14	143.500000	0	189	0	417	0	255	0
Ndufa4	143.500000	0	189	0	417	0	255	0
Nr4a2	143.166667	0	859	0	0	0	0	0
Naca	142.833333	0	728	0	129	0	0	0
Kdm3a	142.666667	0	856	0	0	0	0	0
Tlcd1	142.500000	0	855	0	0	0	0	0
Rpl23a	142.500000	0	855	0	0	0	0	0
Rab34	142.500000	0	855	0	0	0	0	0
Ddx18	142.333333	0	854	0	0	0	0	0
Rps10	142.000000	0	852	0	0	0	0	0
Per2	142.000000	0	0	0	695	0	157	0
Wdr36	141.833333	0	722	0	129	0	0	0
Ntmt1	141.833333	0	851	0	0	0	0	0
Mrpl44	141.666667	0	682	0	168	0	0	0
Tars	141.333333	0	848	0	0	0	0	0
Gosr2	140.833333	0	135	0	499	0	211	0
Gtf3c6	140.000000	0	840	0	0	0	0	0
Gsto1	139.833333	0	839	0	0	0	0	0
Ufm1	139.500000	0	158	0	435	0	244	0
Rnf187	139.500000	0	0	0	350	0	487	0
Eif3b	139.333333	0	836	0	0	0	0	0
Cops7a	139.166667	0	835	0	0	0	0	0
Birc6	139.000000	0	477	0	175	0	182	0
Laptm4a	138.833333	0	833	0	0	0	0	0
Psmd3	138.500000	0	345	0	266	0	220	0
Cnbp	138.333333	0	830	0	0	0	0	0
Tcp1	137.666667	0	724	0	102	0	0	0
Mrpl18	137.666667	0	724	0	102	0	0	0
Taf9	137.166667	0	196	0	383	0	244	0
Smarca2	137.166667	0	823	0	0	0	0	0
Rad17	137.166667	0	196	0	383	0	244	0
Ak6	137.166667	0	196	0	383	0	244	0
Zfp146	136.666667	0	820	0	0	0	0	0
Eif5a	136.666667	0	435	0	385	0	0	0
Trib1	136.000000	0	816	0	0	0	0	0
Mrpl11	136.000000	0	559	0	108	0	149	0
Hk2	136.000000	0	816	0	0	0	0	0
Fam185a	135.500000	0	813	0	0	0	0	0
Ccdc146	135.500000	0	813	0	0	0	0	0
Snrpd3	135.000000	0	642	0	168	0	0	0
Gucd1	135.000000	0	642	0	168	0	0	0
Gar1	135.000000	0	702	0	108	0	0	0
Yae1d1	134.833333	0	809	0	0	0	0	0
Rnps1	134.833333	0	809	0	0	0	0	0
Atf7	134.833333	0	714	0	95	0	0	0
Mtbp	134.666667	0	695	0	113	0	0	0
Mrpl13	134.666667	0	695	0	113	0	0	0
Mettl16	134.666667	0	231	0	328	0	249	0
Klhdc4	134.333333	0	806	0	0	0	0	0
Rps5	134.166667	0	700	0	105	0	0	0
Eif4b	134.166667	0	805	0	0	0	0	0
Rpl36	133.500000	0	801	0	0	0	0	0
Micos13	133.500000	0	801	0	0	0	0	0
Rps15a	133.333333	0	800	0	0	0	0	0
Dhrs13	133.000000	0	589	0	209	0	0	0
Dctd	133.000000	0	798	0	0	0	0	0
Xpot	132.833333	0	552	0	245	0	0	0
Qtrt1	132.833333	0	797	0	0	0	0	0
Pms2	132.833333	0	797	0	0	0	0	0
Aimp2	132.833333	0	797	0	0	0	0	0
Fbxo32	132.666667	0	472	0	324	0	0	0
Pprc1	132.333333	0	794	0	0	0	0	0
Zfp143	132.000000	0	212	0	333	0	247	0
Igsf8	131.666667	0	790	0	0	0	0	0
Alg8	131.666667	0	790	0	0	0	0	0
Max	131.500000	0	668	0	121	0	0	0
Unc45b	131.333333	0	788	0	0	0	0	0
Rpl9	131.333333	0	788	0	0	0	0	0
Nle1	131.333333	0	788	0	0	0	0	0
Lias	131.333333	0	788	0	0	0	0	0
Clns1a	131.333333	0	788	0	0	0	0	0
Rps11	131.166667	0	560	0	227	0	0	0
Rpl13a	131.166667	0	560	0	227	0	0	0
Taf12	131.000000	0	503	0	204	0	79	0
Rps3	131.000000	0	786	0	0	0	0	0
Tfap4	130.666667	0	784	0	0	0	0	0
Rida	129.833333	0	779	0	0	0	0	0
Pop1	129.833333	0	779	0	0	0	0	0
Taok3	129.000000	0	230	0	297	0	247	0
Rpp38	128.833333	0	640	0	133	0	0	0
Mak16	128.833333	0	773	0	0	0	0	0
Acbd7	128.833333	0	640	0	133	0	0	0
Ube2c	128.166667	0	657	0	112	0	0	0
Nras	128.166667	0	769	0	0	0	0	0
Ndufs1	128.166667	0	769	0	0	0	0	0
Eef1b2	128.166667	0	769	0	0	0	0	0
Zdhhc16	128.000000	0	768	0	0	0	0	0
Stat3	128.000000	0	388	0	193	0	187	0
Hnrnpr	128.000000	0	768	0	0	0	0	0
Exosc1	128.000000	0	768	0	0	0	0	0
Tspan4	127.833333	0	767	0	0	0	0	0
Polr2l	127.833333	0	767	0	0	0	0	0
Fam187a	127.833333	0	133	0	435	0	199	0
Eftud2	127.833333	0	133	0	435	0	199	0
Ccdc103	127.833333	0	133	0	435	0	199	0
Zar1l	127.666667	0	766	0	0	0	0	0
Psat1	127.666667	0	766	0	0	0	0	0
Brca2	127.666667	0	766	0	0	0	0	0
Ttc25	126.833333	0	761	0	0	0	0	0
Nudcd2	126.833333	0	761	0	0	0	0	0
Hmmr	126.833333	0	761	0	0	0	0	0
Atic	126.833333	0	761	0	0	0	0	0
Rrp15	126.333333	0	758	0	0	0	0	0
Cct2	126.333333	0	758	0	0	0	0	0
Utp20	126.166667	0	757	0	0	0	0	0
Ubqln4	126.000000	0	756	0	0	0	0	0
Tasor2	126.000000	0	608	0	148	0	0	0
Rab25	126.000000	0	756	0	0	0	0	0
Lamtor2	126.000000	0	756	0	0	0	0	0
Wasf1	124.500000	0	93	0	395	0	259	0
Cdc40	124.500000	0	93	0	395	0	259	0
Utp23	124.333333	0	746	0	0	0	0	0
Tsacc	124.333333	0	607	0	139	0	0	0
Cct3	124.333333	0	607	0	139	0	0	0
Mrps7	124.166667	0	0	0	392	0	353	0
Metap2	124.166667	0	745	0	0	0	0	0
Gga3	124.166667	0	0	0	392	0	353	0
Cdc42ep1	124.000000	0	744	0	0	0	0	0
Pbld2	123.666667	0	742	0	0	0	0	0
Hnrnph3	123.666667	0	742	0	0	0	0	0
Heatr1	123.166667	0	739	0	0	0	0	0
Nifk	123.000000	0	650	0	88	0	0	0
Txn2	122.833333	0	568	0	169	0	0	0
Kpnb1	122.666667	0	736	0	0	0	0	0
Nat10	122.333333	0	629	0	105	0	0	0
Prpf8	121.833333	0	100	0	408	0	223	0
Mif	121.833333	0	731	0	0	0	0	0
Stam	121.166667	0	103	0	352	0	272	0
Polr3b	120.833333	0	577	0	148	0	0	0
Sdad1	120.333333	0	722	0	0	0	0	0
Hsph1	120.333333	0	193	0	312	0	217	0
Nob1	120.000000	0	720	0	0	0	0	0
Gnpat	120.000000	0	720	0	0	0	0	0
2810004N23Rik	120.000000	0	720	0	0	0	0	0
Noc3l	119.833333	0	719	0	0	0	0	0
Rad1	119.500000	0	586	0	131	0	0	0
Brix1	119.500000	0	586	0	131	0	0	0
Rpl30	119.333333	0	716	0	0	0	0	0
Ercc6	119.333333	0	716	0	0	0	0	0
Slc33a1	119.166667	0	534	0	181	0	0	0
Eif3a	119.166667	0	715	0	0	0	0	0
Wdr74	118.833333	0	713	0	0	0	0	0
Ice1	118.833333	0	216	0	229	0	268	0
1700092M07Rik	118.833333	0	713	0	0	0	0	0
Fbxw2	118.500000	0	711	0	0	0	0	0
Shmt2	118.333333	0	710	0	0	0	0	0
Cox7a2l	118.000000	0	148	0	381	0	179	0
Nr1d1	117.833333	0	476	0	231	0	0	0
Wdr25	117.666667	0	525	0	181	0	0	0
Wars	117.666667	0	525	0	181	0	0	0
Rrp12	117.333333	0	581	0	123	0	0	0
Mrpl20	117.166667	0	703	0	0	0	0	0
Znhit6	117.000000	0	702	0	0	0	0	0
Rplp0	117.000000	0	702	0	0	0	0	0
Ebna1bp2	117.000000	0	702	0	0	0	0	0
Cfap57	117.000000	0	702	0	0	0	0	0
Rnf225	116.666667	0	700	0	0	0	0	0
Saysd1	116.500000	0	699	0	0	0	0	0
Ppp1r14b	116.500000	0	699	0	0	0	0	0
Plcb3	116.500000	0	699	0	0	0	0	0
Fkbp2	116.500000	0	699	0	0	0	0	0
Srm	115.666667	0	694	0	0	0	0	0
Kpna2	115.666667	0	694	0	0	0	0	0
Ptbp1	115.333333	0	692	0	0	0	0	0
Pfas	115.166667	0	691	0	0	0	0	0
Bag6	115.000000	0	172	0	314	0	204	0
Apom	115.000000	0	172	0	314	0	204	0
Rps28	114.666667	0	688	0	0	0	0	0
Ndufa7	114.666667	0	688	0	0	0	0	0
Eef1e1	114.500000	0	687	0	0	0	0	0
Rita1	114.333333	0	686	0	0	0	0	0
Mre11a	114.333333	0	686	0	0	0	0	0
Ddx54	114.333333	0	686	0	0	0	0	0
Ankrd49	114.333333	0	686	0	0	0	0	0
Ubc	113.666667	0	682	0	0	0	0	0
Wipf2	113.500000	0	462	0	219	0	0	0
Shc1	113.500000	0	491	0	190	0	0	0
Cks1b	113.500000	0	491	0	190	0	0	0
Gtf2ird2	113.333333	0	680	0	0	0	0	0
Smc2	113.166667	0	100	0	413	0	166	0
Snx5	112.500000	0	675	0	0	0	0	0
Mgme1	112.500000	0	675	0	0	0	0	0
Cmss1	112.333333	0	511	0	163	0	0	0
Rfc1	112.000000	0	672	0	0	0	0	0
Stx16	111.833333	0	424	0	247	0	0	0
Rpl15	111.666667	0	670	0	0	0	0	0
Nkiras1	111.666667	0	670	0	0	0	0	0
Drg2	111.666667	0	670	0	0	0	0	0
Mri1	111.500000	0	546	0	123	0	0	0
Cry2	111.500000	0	301	0	368	0	0	0
Eif2s1	111.333333	0	668	0	0	0	0	0
Atp6v1d	111.333333	0	668	0	0	0	0	0
Phgdh	111.166667	0	667	0	0	0	0	0
Ccdc86	110.833333	0	665	0	0	0	0	0
Utp3	110.500000	0	300	0	244	0	119	0
Ydjc	110.333333	0	662	0	0	0	0	0
Ccdc116	110.333333	0	662	0	0	0	0	0
Wars2	110.166667	0	527	0	134	0	0	0
Rnf145	110.166667	0	661	0	0	0	0	0
Usp15	110.000000	0	660	0	0	0	0	0
Fnbp4	110.000000	0	660	0	0	0	0	0
Zfp729a	109.833333	0	186	0	264	0	209	0
Tomm5	109.833333	0	659	0	0	0	0	0
Zbtb12	109.666667	0	658	0	0	0	0	0
Ehmt2	109.666667	0	658	0	0	0	0	0
Atf6	109.666667	0	658	0	0	0	0	0
Tkfc	109.500000	0	657	0	0	0	0	0
Ddb1	109.500000	0	657	0	0	0	0	0
Ccdc57	109.333333	0	346	0	113	0	197	0
Arid1a	109.166667	0	655	0	0	0	0	0
Ube2b	108.833333	0	653	0	0	0	0	0
Mrpl23	108.833333	0	653	0	0	0	0	0
Cdkl3	108.833333	0	653	0	0	0	0	0
Thoc1	108.666667	0	652	0	0	0	0	0
Mrpl1	108.666667	0	652	0	0	0	0	0
Ppip5k2	108.500000	0	651	0	0	0	0	0
Gin1	108.500000	0	651	0	0	0	0	0
Eef1a1	108.000000	0	648	0	0	0	0	0
Xrn2	107.666667	0	646	0	0	0	0	0
Tfdp1	107.666667	0	646	0	0	0	0	0
Wiz	107.500000	0	645	0	0	0	0	0
Foxp4	107.500000	0	645	0	0	0	0	0
Surf2	107.333333	0	644	0	0	0	0	0
Rpl7a	107.333333	0	644	0	0	0	0	0
Med22	107.333333	0	644	0	0	0	0	0
Avpi1	107.000000	0	642	0	0	0	0	0
Pus7l	106.833333	0	641	0	0	0	0	0
Irak4	106.833333	0	641	0	0	0	0	0
Frat2	106.833333	0	509	0	132	0	0	0
Tnks2	106.666667	0	640	0	0	0	0	0
Slc25a26	106.666667	0	403	0	237	0	0	0
Nup205	106.666667	0	220	0	281	0	139	0
Zfp341	106.333333	0	638	0	0	0	0	0
Tmem185b	106.333333	0	638	0	0	0	0	0
Slc29a2	106.333333	0	638	0	0	0	0	0
Atp5l	106.333333	0	133	0	361	0	144	0
Rpl38	106.166667	0	637	0	0	0	0	0
Trim28	105.833333	0	635	0	0	0	0	0
Rbm25	105.833333	0	491	0	144	0	0	0
Sugp2	105.666667	0	566	0	68	0	0	0
Rps3a1	105.666667	0	634	0	0	0	0	0
Armc6	105.666667	0	566	0	68	0	0	0
Ddost	105.500000	0	633	0	0	0	0	0
Naa15	105.333333	0	632	0	0	0	0	0
Macrod1	105.333333	0	480	0	152	0	0	0
Mrm1	105.166667	0	631	0	0	0	0	0
Hdgf	105.166667	0	631	0	0	0	0	0
Rpl26	105.000000	0	630	0	0	0	0	0
Spout1	104.833333	0	466	0	163	0	0	0
Rpl6	104.333333	0	626	0	0	0	0	0
Chordc1	104.166667	0	401	0	98	0	126	0
Xrcc5	104.000000	0	624	0	0	0	0	0
Tcof1	103.833333	0	623	0	0	0	0	0
Nol10	103.666667	0	467	0	155	0	0	0
3110082I17Rik	103.500000	0	506	0	115	0	0	0
Ppid	103.333333	0	620	0	0	0	0	0
Cfap298	103.166667	0	414	0	205	0	0	0
Stam2	102.833333	0	234	0	194	0	189	0
Mdn1	102.833333	0	617	0	0	0	0	0
Cenpu	102.833333	0	442	0	175	0	0	0
Cmtr2	102.500000	0	615	0	0	0	0	0
Wdr4	102.166667	0	613	0	0	0	0	0
Ran	102.000000	0	612	0	0	0	0	0
Zfp36l2	101.833333	0	611	0	0	0	0	0
Ttc13	101.666667	0	610	0	0	0	0	0
Mtf2	101.666667	0	452	0	158	0	0	0
Mga	101.666667	0	610	0	0	0	0	0
Cct5	101.666667	0	610	0	0	0	0	0
Atpsckmt	101.666667	0	610	0	0	0	0	0
Arv1	101.666667	0	610	0	0	0	0	0
Rnf4	101.500000	0	609	0	0	0	0	0
Prpf19	101.333333	0	608	0	0	0	0	0
Atp6v1g2	101.333333	0	190	0	279	0	139	0
Srsf1	101.166667	0	462	0	145	0	0	0
Eef1akmt4-ece2	101.166667	0	607	0	0	0	0	0
Eef1akmt4	101.166667	0	607	0	0	0	0	0
Alg3	101.166667	0	607	0	0	0	0	0
Rbm3	101.000000	0	606	0	0	0	0	0
Btbd19	100.833333	0	605	0	0	0	0	0
Slc35e4	100.666667	0	604	0	0	0	0	0
Nup153	100.666667	0	604	0	0	0	0	0
Mfsd10	100.666667	0	604	0	0	0	0	0
Kcmf1	100.500000	0	603	0	0	0	0	0
Hspa8	100.500000	0	603	0	0	0	0	0
Net1	100.333333	0	602	0	0	0	0	0
Lrrc24	100.333333	0	446	0	156	0	0	0
C030006K11Rik	100.333333	0	446	0	156	0	0	0
Zfp148	100.166667	0	500	0	101	0	0	0
Icam4	99.833333	0	599	0	0	0	0	0
Fam104a	99.666667	0	184	0	209	0	205	0
D11Wsu47e	99.666667	0	184	0	209	0	205	0
Tuba1c	99.500000	0	597	0	0	0	0	0
Prepl	99.500000	0	131	0	309	0	157	0
Gid4	99.500000	0	446	0	151	0	0	0
Camkmt	99.500000	0	131	0	309	0	157	0
Hbp1	99.333333	0	168	0	315	0	113	0
Mrpl30	99.166667	0	473	0	122	0	0	0
Mitd1	99.166667	0	473	0	122	0	0	0
Thumpd3	99.000000	0	314	0	280	0	0	0
Tnpo3	98.666667	0	492	0	100	0	0	0
Pim3	98.333333	0	590	0	0	0	0	0
Jag1	98.333333	0	590	0	0	0	0	0
Eprs	98.333333	0	417	0	173	0	0	0
Suz12	98.166667	0	589	0	0	0	0	0
Spata5	98.166667	0	515	0	74	0	0	0
Nudt6	98.166667	0	515	0	74	0	0	0
Dlg1	98.166667	0	589	0	0	0	0	0
Btf3	98.166667	0	589	0	0	0	0	0
