Target_genes	Meis1|Average	SRX1056342|416B	SRX10065381|Choroid_Plexus	SRX9090997|Embryoid_Bodies	SRX9090998|Embryoid_Bodies	SRX9090999|Embryoid_Bodies	SRX170714|Embryonic_trunk	SRX20233053|Ganglionic_eminence	SRX21310614|Heart	SRX21310615|Heart	SRX21310621|Heart	SRX21310622|Heart	SRX7299483|Heart	SRX7299484|Heart	SRX7299485|Heart	SRX7821061|Hematopoietic_progenitors	SRX1939446|Lymphoid-primed_multipotent_progenitors	SRX310204|Mast_Cells	SRX442881|MEF	SRX442882|MEF	SRX442883|MEF	SRX625488|MEF	SRX625490|MEF	SRX1035389|mESC_derived_haematopoietic_progenitor	SRX475272|MLL-AF9_leukemic_cell	SRX475273|MLL-AF9_leukemic_cell	SRX475274|MLL-AF9_leukemic_cell	SRX475275|MLL-AF9_leukemic_cell	SRX110438|Myeloblastic_cell_lines	SRX110441|Myeloblastic_cell_lines	SRX319739|Myeloid_leukemia	SRX745813|Optic_cups	SRX101594|P19	SRX1824745|P19	SRX1824746|P19	SRX1824747|P19	SRX1824748|P19	SRX1824749|P19	SRX1824750|P19	SRX435084|Superior_Cervical_Ganglion	SRX3730254|Trophoblast_stem_cells	SRX3730281|Trophoblast_stem_cells	SRX10012093|VOT-E36	STRING
Ube2r2	424.047619	0	0	0	204	345	0	0	0	0	0	0	0	0	0	2328	2326	0	0	1207	286	159	123	0	1025	2510	1388	2491	882	0	1116	0	624	0	0	0	0	0	117	0	679	0	0	0
Mbnl1	421.523810	0	0	127	1061	597	99	0	0	0	0	0	0	0	0	944	944	181	882	2014	800	624	291	0	960	2192	1232	2189	138	0	1733	0	310	0	0	0	0	0	132	0	254	0	0	0
Gm5544	420.333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2571	2560	238	596	1796	926	270	1038	0	1178	2069	1090	1902	199	0	1221	0	0	0	0	0	0	0	0	0	0	0	0	0
P2rx3	418.357143	0	0	0	408	168	0	0	0	0	0	0	0	0	0	1329	1336	0	0	317	0	193	0	0	2412	2582	2478	2387	220	132	1748	0	958	0	0	0	0	205	411	0	287	0	0	0
Fyb	406.619048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3026	3026	0	1226	2441	747	0	0	0	0	2171	1106	2017	0	0	1318	0	0	0	0	0	0	0	0	0	0	0	0	0
Asmt	403.833333	585	272	875	454	659	588	881	419	417	468	582	0	187	169	788	731	499	717	846	901	797	840	421	297	952	560	811	0	0	0	779	158	0	0	0	0	0	0	132	0	0	176	0
Il31ra	402.857143	322	703	0	0	0	381	952	546	854	619	573	1047	1093	979	360	399	199	274	423	339	538	508	299	437	1038	847	1026	0	0	166	605	186	197	95	115	0	0	0	0	655	145	0	0
Setd4	400.285714	0	165	375	896	1054	0	0	0	0	0	0	0	0	0	199	198	1295	0	962	0	289	0	0	903	2608	1303	2573	0	0	950	0	1715	0	0	0	0	143	284	0	900	0	0	0
Cbr1	400.285714	0	165	375	896	1054	0	0	0	0	0	0	0	0	0	199	198	1295	0	962	0	289	0	0	903	2608	1303	2573	0	0	950	0	1715	0	0	0	0	143	284	0	900	0	0	0
Lat2	393.928571	163	0	0	0	0	0	0	0	0	0	0	0	0	0	2810	2817	902	0	954	110	0	0	0	1345	2264	1289	2385	155	0	1351	0	0	0	0	0	0	0	0	0	0	0	0	0
Dcaf11	388.166667	434	338	321	663	603	0	108	163	0	0	0	0	0	100	695	695	468	395	1248	0	216	0	0	1069	2362	1094	2375	0	0	917	0	828	0	0	0	0	0	239	0	972	0	0	0
Tmem125	384.142857	590	528	138	0	146	435	779	417	377	443	353	320	295	252	958	943	633	320	468	516	553	400	179	409	860	689	860	0	0	111	494	640	353	300	309	295	293	291	0	0	187	0	0
Oasl1	382.190476	0	300	441	259	420	669	682	596	641	550	611	514	529	520	476	523	313	635	500	438	615	667	495	0	262	226	231	314	152	0	934	452	451	240	194	243	339	257	0	159	0	204	0
Coq7	376.023810	0	216	626	1149	897	138	0	0	0	0	0	0	0	0	392	393	307	215	1005	0	0	0	0	1331	2674	1470	2548	0	0	1245	0	213	0	0	0	0	0	0	0	974	0	0	0
Gsn	375.190476	0	163	217	308	355	137	0	269	120	281	168	614	799	715	1544	1544	0	717	1597	218	363	0	0	413	1232	460	1398	0	0	324	0	359	0	0	0	0	0	0	0	1443	0	0	0
Atp6v0e2	374.619048	0	0	0	341	201	0	0	0	0	0	0	0	0	0	853	853	0	1131	1981	812	423	395	0	1219	2427	1225	2359	302	0	1063	0	149	0	0	0	0	0	0	0	0	0	0	0
Ttc1	374.404762	0	236	677	1241	1140	0	0	0	0	0	0	104	213	157	537	533	0	147	993	231	170	0	0	904	2351	1042	2297	0	0	596	0	418	0	0	0	0	290	336	0	1112	0	0	0
Lcorl	367.214286	966	578	488	476	222	0	132	0	0	0	0	0	151	218	271	270	1329	282	1098	355	261	0	0	615	2653	570	2339	0	0	0	0	330	0	0	0	0	0	170	0	1649	0	0	0
Ssbp2	365.642857	172	748	180	377	187	0	161	124	0	0	0	539	580	391	0	0	1818	0	301	174	0	0	0	1100	2267	1372	2282	0	0	220	0	1637	0	0	0	0	0	0	0	727	0	0	0
Tle4	361.452381	571	376	294	168	203	143	139	108	0	0	0	488	306	207	486	486	1000	192	561	0	0	0	0	1141	2348	1040	2373	0	0	333	0	517	0	0	0	0	118	118	0	1465	0	0	0
Osbpl9	360.595238	347	0	217	395	166	87	0	0	0	0	0	0	0	0	973	972	253	324	941	178	194	0	0	999	2269	1380	2105	0	0	885	0	431	0	0	0	0	0	276	0	1753	0	0	0
Ccdc170	360.404762	0	0	175	201	202	0	0	0	0	0	0	0	0	0	1723	1735	0	0	0	0	0	0	0	1653	2863	1713	2862	250	0	1545	0	0	0	0	0	0	0	0	0	215	0	0	0
Khdc4	355.523810	0	187	151	442	180	0	0	0	0	0	0	137	187	219	794	779	93	321	1824	185	0	0	0	1158	2589	1284	2484	0	0	580	0	126	0	0	0	0	0	129	0	1083	0	0	0
Tbp	355.238095	0	135	173	317	211	0	0	0	0	0	0	0	0	0	1399	1399	157	218	833	287	186	0	0	1166	2549	1084	2465	173	0	1031	0	221	0	0	0	0	0	109	0	807	0	0	0
Psmb1	355.238095	0	135	173	317	211	0	0	0	0	0	0	0	0	0	1399	1399	157	218	833	287	186	0	0	1166	2549	1084	2465	173	0	1031	0	221	0	0	0	0	0	109	0	807	0	0	0
Zadh2	355.000000	0	0	1640	1930	1676	298	0	0	0	0	0	0	0	0	0	0	0	427	1166	312	542	126	0	248	862	399	813	0	0	0	0	650	0	0	69	302	634	813	0	2003	0	0	0
Tshz1	355.000000	0	0	1640	1930	1676	298	0	0	0	0	0	0	0	0	0	0	0	427	1166	312	542	126	0	248	862	399	813	0	0	0	0	650	0	0	69	302	634	813	0	2003	0	0	0
Ssrp1	354.904762	0	0	0	408	168	0	0	0	0	0	0	0	0	0	0	0	0	0	317	0	193	0	0	2412	2582	2478	2387	220	132	1748	0	958	0	0	0	0	205	411	0	287	0	0	0
Frmd4b	353.119048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2002	2002	0	0	0	0	0	0	0	1356	2744	1507	2449	351	0	1768	0	169	0	0	0	0	0	0	0	483	0	0	0
Hoxa6	347.785714	0	0	422	1330	1245	95	0	0	0	0	0	0	0	0	880	880	0	344	1335	490	519	195	0	621	2092	777	1860	0	0	531	0	237	0	0	0	0	157	195	0	402	0	0	0
Klhl7	346.595238	0	117	752	699	919	59	0	0	0	0	0	0	0	0	312	312	0	154	1306	302	193	0	0	836	2459	855	2557	0	0	565	0	597	0	0	0	86	241	184	0	1052	0	0	0
Pira2	344.142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1424	1523	0	0	0	0	0	0	0	2315	2949	2422	2750	0	0	822	0	0	0	0	0	0	0	0	0	249	0	0	0
Pira1	342.357143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1529	1525	117	0	0	0	0	0	0	2364	2883	2377	2722	0	0	862	0	0	0	0	0	0	0	0	0	0	0	0	0
Hoxb3	341.904762	0	0	473	1706	1234	394	0	0	0	0	0	0	0	0	0	0	0	1215	2169	1033	705	669	0	0	200	0	140	142	0	559	0	691	0	0	0	0	310	247	0	2473	0	0	0
Mrpl33	334.952381	0	0	0	663	246	0	0	0	0	0	0	0	0	0	914	906	0	330	1447	339	460	0	0	886	2419	1079	2128	0	0	700	0	217	0	0	0	0	0	183	0	1151	0	0	0
Sort1	328.642857	0	113	1122	1668	1360	309	0	0	0	0	0	0	0	0	146	147	0	236	1396	544	535	202	0	266	1287	299	1436	0	0	0	0	173	0	0	0	395	703	589	0	877	0	0	0
Tle2	327.142857	681	205	222	443	284	212	129	0	0	0	0	368	717	502	483	483	414	192	868	0	0	0	0	511	2130	679	2384	0	0	248	0	358	0	0	0	0	0	0	0	1227	0	0	0
Cyfip2	326.761905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2249	2259	133	0	0	0	0	0	0	1340	2154	1346	2152	395	0	1496	0	0	0	0	0	0	0	0	0	200	0	0	0
Pirb	326.523810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1728	1844	0	0	0	0	0	0	0	2055	2582	2018	2428	134	0	925	0	0	0	0	0	0	0	0	0	0	0	0	0
Hrob	319.166667	0	0	0	595	201	0	0	0	0	0	0	0	0	0	1274	1260	304	0	616	306	321	0	0	961	2547	1187	2186	0	0	669	0	364	0	0	0	0	0	0	0	614	0	0	0
Hoxb6	314.785714	0	0	283	792	324	109	0	0	0	0	0	0	0	0	565	568	0	613	2015	694	504	0	0	358	1808	515	1753	0	0	544	0	224	0	0	0	0	0	235	0	1317	0	0	0
Aktip	314.142857	172	370	345	376	225	0	180	88	0	139	0	126	213	0	264	266	223	116	1202	0	163	0	0	777	2277	929	2245	0	0	225	0	730	0	0	0	0	212	308	0	1023	0	0	0
Rara	313.690476	161	0	1619	1976	1385	205	0	0	0	0	0	0	0	0	0	0	157	0	198	0	0	0	0	637	1627	575	1348	0	0	0	0	1687	0	0	0	155	400	683	0	362	0	0	0
Bcas3	313.404762	431	653	128	639	472	99	228	0	0	0	0	196	150	219	0	0	514	0	894	0	0	0	0	1069	2568	958	2319	0	0	0	0	376	0	0	0	0	0	0	0	1250	0	0	0
Wnt9b	312.333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1089	1079	0	0	0	0	0	0	0	1695	2612	1866	2476	576	0	1725	0	0	0	0	0	0	0	0	0	0	0	0	0
Clic1	311.261905	0	169	378	467	404	0	0	0	0	0	0	0	0	0	396	396	519	472	1505	121	302	0	0	813	1908	1103	1854	0	0	514	0	244	0	0	0	0	219	202	0	1087	0	0	0
Zfp503	309.666667	0	163	1066	1360	1041	230	102	0	0	0	0	0	0	0	302	302	0	0	874	244	386	0	0	0	964	0	918	0	0	239	0	883	0	0	0	417	904	1043	0	1568	0	0	0
Txndc2	308.809524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2525	2516	0	0	0	0	123	0	0	677	2194	1230	2297	296	0	1013	0	0	0	0	0	0	0	0	0	99	0	0	0
Arhgef18	307.690476	0	0	0	230	197	0	0	0	0	0	0	0	0	0	1870	1874	0	0	0	0	0	0	0	988	2341	1119	2327	230	0	1388	0	0	0	0	0	0	0	0	0	359	0	0	0
Meis1	307.309524	0	797	871	536	702	230	0	175	0	139	0	263	343	194	939	939	0	226	919	410	230	242	0	217	1063	247	1172	0	0	0	0	1166	0	0	0	0	195	302	0	390	0	0	0
Msh5	307.095238	0	169	378	403	293	0	0	0	0	0	0	0	0	0	396	396	519	472	1505	121	302	0	0	813	1908	1103	1854	0	0	514	0	244	0	0	0	0	219	202	0	1087	0	0	0
Nxpe3	306.952381	109	280	186	381	382	0	0	0	0	0	0	0	0	0	0	0	781	0	1069	0	158	0	0	1112	2566	1093	2416	0	0	206	0	859	0	0	0	0	0	0	0	1294	0	0	0
Nup107	306.190476	0	0	0	219	155	0	0	0	0	0	0	0	0	0	3119	3121	0	0	558	0	0	0	0	828	1955	582	1271	278	0	645	0	0	0	0	0	0	0	0	0	129	0	0	0
Ska2	305.761905	0	1031	0	407	268	0	162	141	97	189	0	234	378	341	0	0	173	0	381	178	137	0	0	741	2758	876	2267	0	0	0	0	469	0	0	0	0	180	118	0	1316	0	0	0
Prr11	305.761905	0	1031	0	407	268	0	162	141	97	189	0	234	378	341	0	0	173	0	381	178	137	0	0	741	2758	876	2267	0	0	0	0	469	0	0	0	0	180	118	0	1316	0	0	0
E4f1	305.404762	0	290	0	543	517	0	0	0	0	0	0	0	266	278	236	226	570	0	548	0	0	0	0	1189	2438	1154	2187	0	0	291	0	971	0	0	0	0	0	241	0	882	0	0	0
Ap1m1	304.309524	0	233	174	259	210	0	0	130	0	0	0	234	542	369	271	274	711	0	629	133	143	0	0	670	2160	784	1747	0	0	166	0	770	0	0	0	0	155	260	0	1757	0	0	0
Rbfox2	304.214286	0	371	335	452	368	0	0	0	0	0	0	0	0	122	139	139	0	309	1241	523	285	166	0	1237	2170	1145	1993	0	0	0	0	1057	0	0	0	0	0	259	0	466	0	0	0
A630001G21Rik	303.976190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1974	1970	0	0	0	0	0	0	0	1044	2170	1442	2015	286	0	1425	0	0	0	0	0	0	0	0	0	441	0	0	0
Hmox1	302.500000	0	0	186	347	0	0	0	0	0	0	0	0	0	0	841	818	0	407	1496	305	492	0	0	713	2175	838	2111	0	0	405	0	213	0	0	0	0	0	0	0	1358	0	0	0
Crlf2	301.452381	0	0	487	881	735	0	0	79	0	0	0	136	0	134	974	970	376	0	468	0	316	0	0	583	1601	1027	1583	0	0	1013	0	325	0	0	0	0	132	290	0	551	0	0	0
Fbn1	296.428571	0	643	1669	1147	1308	290	418	0	0	0	0	0	0	0	0	0	440	0	762	245	192	0	116	0	515	122	489	0	0	0	377	1103	0	0	0	294	766	606	0	846	0	102	0
Wdr75	296.023810	0	965	263	405	243	0	250	127	0	259	0	259	458	409	202	202	0	0	596	0	159	0	0	210	1719	581	1936	0	0	114	0	323	0	0	0	164	250	487	0	1852	0	0	0
Cox5b	295.976190	0	537	406	911	720	0	108	0	0	0	0	0	187	169	0	0	811	0	121	0	0	0	0	817	2363	783	2194	0	0	129	0	987	0	0	0	0	0	287	0	901	0	0	0
Pbx3	295.523810	0	947	0	267	242	0	130	0	0	0	0	172	307	207	0	0	1560	0	219	0	0	0	0	895	2269	1145	2255	0	0	0	0	739	0	0	0	0	0	194	0	864	0	0	0
Poc5	294.309524	0	210	0	379	189	0	0	0	0	0	0	0	0	0	772	772	0	0	685	0	0	0	0	970	2667	1195	2567	0	0	1324	0	0	0	0	0	0	0	0	0	631	0	0	0
Ubb	292.904762	0	0	0	302	206	0	0	0	0	0	0	0	0	0	0	0	0	1755	2244	1484	573	1260	0	298	1664	343	1460	0	0	148	0	0	0	0	0	0	0	0	0	565	0	0	0
Cops7a	290.904762	0	0	0	139	140	0	0	0	0	0	0	0	0	0	741	738	0	0	422	195	0	0	0	1081	2612	1134	2284	0	0	657	0	181	0	0	0	0	143	0	0	1751	0	0	0
Rhob	286.928571	94	247	0	300	196	0	0	0	0	0	0	0	0	232	378	371	741	169	822	0	0	0	0	927	2144	948	1998	0	0	794	0	318	0	0	0	0	0	204	0	1168	0	0	0
Col18a1	286.642857	0	0	0	197	263	0	0	0	0	0	0	0	0	0	147	148	0	313	1369	210	0	0	0	1039	2286	1254	2381	0	0	211	0	588	0	0	0	0	139	126	0	1368	0	0	0
Sumf1	283.928571	0	0	189	874	452	69	0	0	0	0	0	0	0	0	459	456	0	273	1549	582	371	230	0	528	1662	791	1357	0	0	772	0	386	0	0	0	0	0	165	0	760	0	0	0
Rab3gap2	283.642857	0	248	0	0	0	0	0	0	0	0	0	0	0	0	866	870	390	288	1269	161	181	0	0	747	1928	1067	1928	0	0	1049	0	462	0	0	0	0	0	0	0	459	0	0	0
Tle1	277.809524	0	270	0	191	246	109	52	0	0	0	0	172	239	194	496	496	418	158	530	0	0	0	0	687	2319	954	2310	0	0	291	0	462	0	0	0	0	0	0	0	1074	0	0	0
Ttll11	277.714286	0	108	304	603	578	0	0	0	0	0	0	0	127	0	218	218	283	0	841	274	148	0	0	707	2196	695	1624	0	0	673	0	683	0	0	0	0	0	246	0	1138	0	0	0
Ss18l2	277.547619	0	95	324	490	462	111	0	0	0	0	0	0	0	0	803	807	184	196	1084	0	0	0	0	427	1916	769	1701	0	0	808	0	307	0	0	0	0	0	211	0	962	0	0	0
Pira6	277.214286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1034	1059	107	0	0	0	0	0	0	1321	2767	1524	2463	0	0	1187	0	0	0	0	0	0	0	0	0	181	0	0	0
Aph1b	275.809524	0	534	0	0	0	0	0	517	0	297	101	769	832	820	0	0	0	0	676	321	0	183	0	355	2083	380	1934	0	0	107	0	185	0	0	0	0	0	0	0	1490	0	0	0
Ten1	274.833333	0	347	0	130	0	0	0	163	0	117	0	519	661	413	0	0	475	0	1325	465	0	0	0	373	1837	358	1760	0	0	0	0	355	0	0	0	0	0	0	0	2245	0	0	0
Acox1	274.833333	0	347	0	130	0	0	0	163	0	117	0	519	661	413	0	0	475	0	1325	465	0	0	0	373	1837	358	1760	0	0	0	0	355	0	0	0	0	0	0	0	2245	0	0	0
Dock2	273.880952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2223	2212	0	0	0	0	0	0	0	907	2150	911	2015	393	0	692	0	0	0	0	0	0	0	0	0	0	0	0	0
Cgrrf1	273.357143	0	353	198	169	278	0	0	0	0	0	0	137	389	0	0	0	881	0	259	0	0	0	0	933	2586	952	2382	0	0	0	0	915	0	0	0	0	0	177	0	872	0	0	0
Foxp1	273.000000	0	0	704	396	489	0	0	0	0	0	0	0	0	0	1033	1031	0	119	592	172	0	219	0	470	1747	679	1798	202	0	535	0	430	0	0	0	0	159	196	0	495	0	0	0
Gbx2	272.119048	0	0	0	180	0	0	0	0	0	0	0	0	0	0	538	537	0	0	0	0	0	0	0	1437	2717	1370	2439	0	0	1264	0	298	0	0	0	140	0	114	0	395	0	0	0
Bahcc1	271.166667	283	762	0	0	0	109	180	219	134	260	208	434	496	322	343	343	396	0	881	0	0	0	0	478	2074	546	1925	0	0	0	0	175	0	0	0	0	0	0	0	821	0	0	0
Slc22a4	270.095238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1512	1507	0	0	0	0	0	0	0	1355	2298	1150	2170	290	0	1062	0	0	0	0	0	0	0	0	0	0	0	0	0
Taldo1	269.904762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1019	1020	270	0	0	0	0	0	0	1193	2468	1557	2075	189	0	1420	0	125	0	0	0	0	0	0	0	0	0	0	0
Jarid2	269.000000	320	350	0	274	146	0	181	170	0	151	0	181	266	245	199	199	272	0	473	0	0	0	0	709	2251	1028	2241	0	0	0	0	520	0	0	0	0	121	252	0	749	0	0	0
Sun2	268.738095	320	181	211	198	154	98	0	0	0	0	0	153	327	169	164	163	834	159	798	0	0	0	0	877	1868	960	1862	0	0	267	0	546	0	0	0	0	0	0	0	978	0	0	0
Lix1l	268.547619	0	379	0	199	253	0	0	152	0	0	0	196	239	0	0	0	176	0	585	0	0	0	0	1117	2420	1104	2405	0	0	0	0	1032	0	0	0	0	0	147	0	875	0	0	0
Ankrd34a	268.547619	0	379	0	199	253	0	0	152	0	0	0	196	239	0	0	0	176	0	585	0	0	0	0	1117	2420	1104	2405	0	0	0	0	1032	0	0	0	0	0	147	0	875	0	0	0
Spa17	267.738095	0	0	2148	2288	2472	0	0	0	0	0	0	0	0	0	0	0	0	0	467	0	0	0	0	0	498	132	477	0	0	0	0	2251	0	0	0	0	154	244	0	114	0	0	0
Siae	267.738095	0	0	2148	2288	2472	0	0	0	0	0	0	0	0	0	0	0	0	0	467	0	0	0	0	0	498	132	477	0	0	0	0	2251	0	0	0	0	154	244	0	114	0	0	0
Stat5b	266.785714	0	0	0	179	0	0	0	0	0	0	0	286	333	134	1617	1617	0	0	0	0	0	0	0	935	1946	908	1763	0	0	1162	0	187	0	0	0	0	0	0	0	138	0	0	0
Mmp13	266.333333	0	0	0	0	0	0	0	617	208	716	328	1473	1268	1555	0	0	0	0	603	450	0	144	0	215	427	147	682	0	0	0	0	0	0	0	0	0	0	0	0	2096	0	257	0
Hoxa3	266.333333	0	0	222	346	141	95	0	0	0	0	0	0	0	0	880	880	0	167	769	404	410	0	0	621	2092	777	1860	0	0	531	0	237	0	0	0	0	157	195	0	402	0	0	0
Tex33	263.976190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1598	1598	0	0	0	0	0	0	0	859	2300	1152	2177	351	0	1052	0	0	0	0	0	0	0	0	0	0	0	0	0
Rev1	263.785714	0	0	0	244	188	0	0	0	0	0	0	0	0	0	0	0	0	158	537	0	0	0	0	1393	2611	1540	2383	0	0	0	0	385	0	0	0	107	279	266	0	988	0	0	0
1700017B05Rik	263.690476	0	0	237	463	415	0	0	0	0	0	0	0	0	0	193	202	0	501	1422	582	536	316	0	378	1284	564	1367	0	0	403	0	925	0	0	0	0	218	152	0	917	0	0	0
Ndufs2	263.523810	0	0	0	148	0	0	0	0	0	0	0	0	0	0	881	878	0	0	765	132	107	0	0	1428	2522	1066	2479	0	0	562	0	0	0	0	0	0	0	0	0	100	0	0	0
Adamts4	263.523810	0	0	0	148	0	0	0	0	0	0	0	0	0	0	881	878	0	0	765	132	107	0	0	1428	2522	1066	2479	0	0	562	0	0	0	0	0	0	0	0	0	100	0	0	0
Abhd6	260.452381	0	0	849	799	800	675	330	0	0	0	0	0	0	0	0	0	527	276	455	330	369	290	869	0	0	185	0	128	0	195	300	534	394	376	526	331	239	202	489	471	0	0	0
Slc25a29	259.095238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1344	1344	0	0	0	0	0	0	0	1110	2424	1387	2293	142	0	752	0	86	0	0	0	0	0	0	0	0	0	0	0
Zfp622	258.595238	0	174	128	214	169	0	0	0	0	0	0	0	213	272	231	231	358	187	1081	0	143	0	0	537	2129	900	2312	0	0	85	0	697	0	0	0	0	0	0	0	800	0	0	0
Pira7	258.571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	909	877	107	0	0	0	0	0	0	1205	2579	1524	2454	0	0	1060	0	0	0	0	0	0	0	0	0	145	0	0	0
