Target_genes	Prrx1|Average	SRX10457217|Dermal_fibroblasts	SRX10457200|MEF	SRX10457210|Myofibroblastic_cancer-associated_fibroblasts	STRING
Zfp983	158.333333	475	0	0	0
Cyp2b10	158.333333	206	269	0	0
Arid5a	153.666667	0	461	0	0
Rbm47	151.666667	0	284	171	0
Nfe2l3	151.333333	0	454	0	0
Slc6a5	149.333333	0	448	0	0
Il11ra1	146.333333	0	256	183	0
Hexim2	145.333333	0	436	0	0
Cped1	145.000000	0	209	226	0
Snx17	142.666667	0	182	246	0
Eif2b4	142.666667	0	182	246	0
Epb41l3	141.666667	0	260	165	0
Slc35e1	139.666667	0	419	0	0
Mrps10	139.666667	0	144	275	0
Apobec2	139.000000	0	417	0	0
Prrx1	137.666667	0	184	229	0
Gm21149	137.666667	126	143	144	0
Snx12	137.333333	0	241	171	0
Tmem167b	136.333333	0	257	152	0
Sharpin	136.000000	0	164	244	0
Maf1	136.000000	0	164	244	0
Gm35339	136.000000	0	164	244	0
Creb3l1	133.000000	0	399	0	0
Gm7592	130.000000	0	390	0	0
Bach1	129.666667	0	171	218	0
Zfp991	125.666667	188	189	0	0
Adora2b	125.666667	0	203	174	0
Samd9l	121.333333	0	230	134	0
Pbx2	120.333333	0	205	156	0
Gpsm3	120.333333	0	205	156	0
Il1rl1	119.000000	0	150	207	0
Hyal2	118.666667	0	356	0	0
Hyal1	118.666667	0	356	0	0
Gm51573	118.666667	186	170	0	0
Rnf115	117.333333	0	189	163	0
Polr3c	117.333333	0	189	163	0
Cldn14	116.000000	0	348	0	0
Septin11	114.666667	0	344	0	0
Sin3a	114.333333	0	188	155	0
H2-T-ps	114.333333	0	343	0	0
Eva1b	112.666667	0	169	169	0
Alkbh5	108.666667	0	206	120	0
Slc25a12	108.000000	0	324	0	0
Poc5	107.000000	0	214	107	0
Nckap5	107.000000	0	138	183	0
Bcl9l	107.000000	0	321	0	0
Kpna1	106.333333	0	0	319	0
Gm10354	104.000000	0	0	312	0
Speer4c	103.666667	0	142	169	0
Synpo	101.666667	0	128	177	0
Zfp987	100.000000	0	300	0	0
Gm21083	99.666667	143	0	156	0
Stam2	99.333333	0	298	0	0
Rcor1	99.333333	0	183	115	0
Bpifa6	97.666667	0	293	0	0
Tmem106c	94.333333	0	283	0	0
Ppm1b	93.333333	0	166	114	0
Alpl	93.333333	0	280	0	0
4931408C20Rik	93.333333	123	0	157	0
Lmcd1	92.666667	0	278	0	0
Sp1	92.333333	0	120	157	0
Dclk2	90.000000	0	270	0	0
Pacrgl	89.666667	0	269	0	0
Ccz1	87.666667	0	132	131	0
Itgb2	87.333333	0	262	0	0
Otud6a	86.666667	0	260	0	0
Mmp27	86.333333	0	0	259	0
Mmp8	85.666667	0	0	257	0
Nfatc4	85.000000	0	255	0	0
Tppp3	83.333333	0	250	0	0
Ncald	82.333333	0	247	0	0
Cdca8	82.333333	0	0	247	0
Cd53	82.333333	0	0	247	0
9930104L06Rik	82.333333	0	0	247	0
1600014C10Rik	80.666667	0	242	0	0
Dhx16	80.333333	0	0	241	0
Zfp984	79.666667	0	239	0	0
Thy1	78.666667	0	236	0	0
Ido1	78.666667	0	236	0	0
Ucn	77.333333	0	232	0	0
Tet1	77.333333	0	232	0	0
Pls3	77.333333	0	232	0	0
Cfap300	77.333333	0	0	232	0
Prorp	77.000000	0	114	117	0
Sertad4	76.666667	0	230	0	0
Gm51598	76.333333	0	0	229	0
Dnm2	76.333333	0	0	229	0
Zfp960	75.666667	0	126	101	0
Vmn1r2	75.000000	225	0	0	0
Pias1	75.000000	0	225	0	0
Tnfrsf26	74.333333	0	223	0	0
Oaz1	74.333333	0	223	0	0
Knl1	73.333333	0	124	96	0
Rab3il1	72.333333	0	217	0	0
Luc7l2	72.333333	0	0	217	0
Ralgds	72.000000	0	216	0	0
Myo10	71.000000	0	0	213	0
Tmem259	70.333333	0	108	103	0
Cnn2	70.333333	0	108	103	0
Yap1	69.333333	0	0	208	0
Tcte3	68.333333	0	205	0	0
Stmn4	68.333333	0	205	0	0
Nfix	68.333333	0	205	0	0
Gm3448	68.333333	0	205	0	0
Gm3435	68.333333	0	205	0	0
Gm3417	68.333333	0	205	0	0
Gm17019	68.000000	204	0	0	0
St3gal2	67.666667	0	203	0	0
Prkab1	67.333333	0	202	0	0
Dusp7	67.333333	0	202	0	0
Phax	66.666667	0	200	0	0
Aldh7a1	66.666667	0	200	0	0
Gm4312	66.333333	0	0	199	0
Gm4301	66.333333	0	0	199	0
Ubqln4	65.000000	0	195	0	0
Lamtor2	65.000000	0	195	0	0
Slc35f6	64.666667	0	194	0	0
St3gal4	64.333333	0	0	193	0
Slc48a1	64.000000	0	192	0	0
Acp6	63.666667	0	191	0	0
Gm3667	63.333333	0	190	0	0
Dll4	63.333333	0	190	0	0
Dnaja2	63.000000	0	0	189	0
Kbtbd11	62.000000	0	186	0	0
Dlc1	62.000000	0	186	0	0
Timm10	61.333333	0	184	0	0
Smtnl1	61.333333	0	184	0	0
Ott	61.000000	0	0	183	0
Gm15085	61.000000	0	0	183	0
Gm15080	61.000000	0	0	183	0
Efemp2	61.000000	0	183	0	0
Osbp	60.000000	0	0	180	0
Tbc1d23	59.666667	0	0	179	0
Ppp6r3	59.333333	0	178	0	0
Mtpn	59.333333	0	0	178	0
Cstf2t	59.000000	0	177	0	0
Prim2	58.666667	0	176	0	0
Ccdc107	58.333333	0	175	0	0
Tuba1b	58.000000	0	174	0	0
Mcrs1	58.000000	0	174	0	0
Hnrnpc	58.000000	0	0	174	0
Gm9758	58.000000	95	0	79	0
Fbxw2	58.000000	0	174	0	0
Crybg1	57.666667	0	173	0	0
Ppa1	57.000000	0	171	0	0
Atp6v0e2	57.000000	0	171	0	0
Fat4	56.333333	0	169	0	0
Clcn3	56.333333	0	169	0	0
Sh3gl1	55.666667	0	167	0	0
Chaf1a	55.666667	0	167	0	0
Rex2	54.666667	0	164	0	0
9030025P20Rik	54.666667	0	164	0	0
Hps5	54.333333	0	163	0	0
Gtf2h1	54.333333	0	163	0	0
Sprr2e	54.000000	0	162	0	0
BC107364	54.000000	0	162	0	0
Arhgef40	54.000000	0	162	0	0
AY761185	54.000000	162	0	0	0
Hjurp	53.333333	0	160	0	0
A730008H23Rik	53.333333	0	160	0	0
Tmprss9	53.000000	0	159	0	0
Fgfr2	53.000000	0	159	0	0
Ptpn9	52.666667	0	158	0	0
Pate1	52.666667	0	158	0	0
Gm13290	52.666667	0	158	0	0
Gm13289	52.666667	0	158	0	0
Gm13285	52.666667	0	158	0	0
Anxa5	52.666667	0	158	0	0
1810062G17Rik	52.666667	0	158	0	0
Tgfbrap1	52.333333	0	157	0	0
Arhgef12	52.333333	0	157	0	0
AI597479	52.333333	0	157	0	0
Sertad2	52.000000	0	156	0	0
Pikfyve	52.000000	0	156	0	0
Isy1	52.000000	0	156	0	0
Idh1	52.000000	0	156	0	0
Josd1	51.666667	0	155	0	0
Gtpbp1	51.666667	0	155	0	0
Gm21190	51.333333	0	154	0	0
Atp5b	51.333333	0	154	0	0
Gsto1	51.000000	0	153	0	0
Pik3r3	50.000000	0	150	0	0
Pkd1	49.666667	0	149	0	0
Itgb3	49.666667	0	0	149	0
Flad1	49.666667	0	0	149	0
Rbbp5	49.000000	0	147	0	0
Jag1	49.000000	0	147	0	0
Fam53a	49.000000	0	147	0	0
Syne1	48.666667	0	0	146	0
Fgf7	47.666667	0	143	0	0
Slc39a13	47.000000	0	0	141	0
Pknox2	47.000000	0	0	141	0
Palm3	47.000000	0	141	0	0
Defb2	47.000000	0	141	0	0
Tbc1d10b	46.666667	0	0	140	0
Mylpf	46.666667	0	0	140	0
H2-T23	46.666667	0	0	140	0
Srpk2	46.333333	0	139	0	0
Hmg20b	46.333333	0	139	0	0
Zc3h6	46.000000	0	138	0	0
Tle6	46.000000	0	138	0	0
Styx	46.000000	0	138	0	0
Slc25a19	46.000000	0	138	0	0
Ranbp9	46.000000	0	138	0	0
Fam98c	46.000000	0	138	0	0
1700034E13Rik	46.000000	0	0	138	0
Pef1	45.666667	0	0	137	0
Cabyr	45.333333	0	136	0	0
Bsdc1	45.333333	0	136	0	0
Gm7827	45.000000	0	135	0	0
Gm3776	45.000000	0	0	135	0
Sp2	44.666667	0	0	134	0
Tcerg1	44.000000	0	132	0	0
Rps5	44.000000	0	132	0	0
Mapre2	44.000000	0	132	0	0
Csrp1	44.000000	132	0	0	0
Wwox	43.666667	0	131	0	0
Stt3a	43.666667	0	131	0	0
Pgm5	43.666667	0	0	131	0
Tdrkh	43.333333	0	130	0	0
Prpf18	43.333333	0	130	0	0
Obi1	43.333333	0	130	0	0
Miip	43.333333	0	130	0	0
Med6	43.333333	0	130	0	0
Fv1	43.333333	0	130	0	0
Foxn2	43.333333	0	130	0	0
Vgll4	43.000000	0	129	0	0
Traf7	43.000000	0	129	0	0
Brd3	43.000000	0	129	0	0
Prlhr	42.666667	0	128	0	0
Zfp36l2	42.333333	0	127	0	0
Ppm1k	42.333333	0	0	127	0
Cuedc2	42.333333	0	127	0	0
Nub1	42.000000	0	126	0	0
4933402D24Rik	42.000000	0	126	0	0
Prpf40b	41.666667	0	125	0	0
Vnn1	40.666667	0	122	0	0
Serpinf1	40.666667	0	122	0	0
Sbk3	40.666667	0	122	0	0
Pla2g15	40.666667	0	122	0	0
Hdac4	40.666667	0	122	0	0
Calml4	40.666667	0	122	0	0
Acvr2b	40.666667	0	122	0	0
Dab2	40.333333	0	121	0	0
Zfp952	39.333333	0	0	118	0
Nhlrc2	39.333333	0	118	0	0
Dclre1a	39.333333	0	118	0	0
Creb3l2	39.333333	0	0	118	0
Zfp869	39.000000	0	0	117	0
Ssbp4	39.000000	0	117	0	0
Lrrc25	39.000000	0	117	0	0
Gpr84	39.000000	0	117	0	0
Ephb2	39.000000	0	117	0	0
Tpm4	38.666667	0	116	0	0
Pdgfrb	38.666667	0	116	0	0
Mrc2	38.666667	0	116	0	0
Ttc26	38.000000	0	114	0	0
Smad1	38.000000	0	114	0	0
Ogt	38.000000	0	114	0	0
Zc3h4	37.666667	0	113	0	0
2610042L04Rik	37.666667	0	113	0	0
Mbnl1	37.333333	0	112	0	0
Dcun1d5	37.333333	0	0	112	0
Zfyve26	35.666667	0	107	0	0
Rad51b	35.666667	0	107	0	0
Osgin2	35.666667	0	107	0	0
Anapc15	35.666667	0	107	0	0
Ushbp1	35.000000	0	105	0	0
Speer4d	35.000000	0	0	105	0
Babam1	35.000000	0	105	0	0
Gm14137	33.666667	0	101	0	0
B3gnt9	33.666667	0	101	0	0
Rell1	33.333333	0	100	0	0
Secisbp2l	33.000000	0	0	99	0
Slc16a10	32.333333	0	97	0	0
Mtbp	32.333333	0	97	0	0
Mrpl13	32.333333	0	97	0	0
Ifnz	32.000000	0	96	0	0
Gm13277	32.000000	0	96	0	0
Gm13276	32.000000	0	96	0	0
Cstdc2	31.333333	0	0	94	0
Agfg2	31.000000	0	93	0	0
Rab5b	30.666667	0	0	92	0
Nlk	30.666667	0	92	0	0
Gm21671	30.666667	0	92	0	0
Dcaf15	30.666667	0	92	0	0
Mars1	29.666667	0	89	0	0
Usp1	29.000000	0	87	0	0
Birc2	28.666667	0	0	86	0
Aplp2	28.666667	0	86	0	0
Map3k3	28.333333	0	85	0	0
Lmnb2	28.333333	0	85	0	0
Kdm1a	28.000000	0	84	0	0
Irs2	27.333333	0	82	0	0
Cops4	27.333333	0	82	0	0
Zfp600	26.333333	0	79	0	0
Mospd3	26.000000	0	78	0	0
Rsu1	25.666667	0	77	0	0
Pex5	24.666667	0	74	0	0
