Target_genes	Lmx1b|Average	SRX14595106|Embryoid_Bodies	SRX14595114|Embryoid_Bodies	SRX1898873|Embryonic_limb	SRX2432177|Embryonic_limb	STRING
Zfp174	72.750000	159	132	0	0	0
Olfr15	72.750000	159	132	0	0	0
Chrna4	71.750000	287	0	0	0	0
Fgd5	68.000000	171	101	0	0	0
Palld	67.250000	269	0	0	0	0
Ankar	67.250000	0	0	269	0	0
St8sia4	64.750000	151	108	0	0	0
F2rl2	64.500000	258	0	0	0	0
Xpnpep3	63.500000	254	0	0	0	0
St13	63.500000	254	0	0	0	0
Cldn5	62.750000	251	0	0	0	0
Phc2	61.750000	247	0	0	0	0
Gm2a	61.750000	247	0	0	0	0
Rragd	61.000000	88	156	0	0	0
Gm4791	61.000000	117	127	0	0	0
Nkap	60.750000	0	0	243	0	0
Esr1	58.750000	235	0	0	0	0
Gm20594	58.250000	0	0	0	233	0
Tle4	57.500000	230	0	0	0	0
Zfpm1	56.000000	224	0	0	0	0
Cd6	56.000000	224	0	0	0	0
Vta1	55.750000	223	0	0	0	0
Rgs13	55.500000	222	0	0	0	0
Foxa2	55.250000	221	0	0	0	0
Fmn2	54.000000	106	110	0	0	0
Csnk1d	53.750000	0	0	215	0	0
Stk33	53.250000	213	0	0	0	0
Evpl	52.500000	80	130	0	0	0
Tcf7l2	52.000000	208	0	0	0	0
Bahcc1	51.500000	206	0	0	0	0
Lrrtm1	51.250000	205	0	0	0	0
Wwox	51.000000	0	204	0	0	0
Gabrr3	51.000000	204	0	0	0	0
Prkar2a	50.500000	202	0	0	0	0
Cldn3	50.500000	202	0	0	0	0
Tagln3	48.750000	195	0	0	0	0
Rxrg	48.000000	192	0	0	0	0
Prl3d1	48.000000	192	0	0	0	0
Gcgr	48.000000	192	0	0	0	0
Csf2ra	48.000000	0	192	0	0	0
9230019H11Rik	45.750000	0	0	183	0	0
Mobp	45.250000	181	0	0	0	0
Kcng4	45.250000	181	0	0	0	0
Olfr142	45.000000	0	0	180	0	0
Syt13	44.500000	178	0	0	0	0
4921517D22Rik	44.500000	178	0	0	0	0
Sec11c	44.000000	176	0	0	0	0
Zfp608	43.750000	175	0	0	0	0
Vmn1r2	42.500000	0	0	170	0	0
Elavl4	42.250000	169	0	0	0	0
BC048403	42.250000	169	0	0	0	0
Vmn2r4	41.750000	167	0	0	0	0
Tnfrsf19	41.750000	167	0	0	0	0
Rps7	41.750000	0	0	167	0	0
Commd3	41.500000	166	0	0	0	0
Bmi1	41.500000	166	0	0	0	0
Aqp9	40.750000	0	163	0	0	0
Sox14	40.000000	160	0	0	0	0
Cyp7a1	40.000000	160	0	0	0	0
Pcbp4	39.750000	0	159	0	0	0
Jam2	39.750000	159	0	0	0	0
Abhd14b	39.750000	0	159	0	0	0
Dusp6	39.000000	156	0	0	0	0
Notch1	38.750000	155	0	0	0	0
Map4	38.500000	154	0	0	0	0
Spsb4	38.000000	152	0	0	0	0
St6gal1	37.750000	151	0	0	0	0
Unc13c	37.500000	150	0	0	0	0
Parm1	37.500000	150	0	0	0	0
Cibar2	37.500000	150	0	0	0	0
Chd7	37.250000	149	0	0	0	0
Hecw2	37.000000	148	0	0	0	0
Onecut2	36.750000	0	147	0	0	0
Tcea2	36.250000	145	0	0	0	0
Sox18	36.250000	145	0	0	0	0
Necab1	36.250000	145	0	0	0	0
Klhl1	35.250000	141	0	0	0	0
Rpl27	35.000000	0	0	140	0	0
Pou3f1	35.000000	140	0	0	0	0
Mn1	35.000000	140	0	0	0	0
Gm4981	35.000000	0	140	0	0	0
Calr4	35.000000	140	0	0	0	0
Hspa8	34.500000	138	0	0	0	0
Slc1a4	34.250000	137	0	0	0	0
Rnps1	33.250000	0	0	133	0	0
Hes3	32.750000	0	0	131	0	0
Zfp451	32.500000	130	0	0	0	0
Tmem47	32.500000	130	0	0	0	0
Srl	32.500000	130	0	0	0	0
Lhx2	32.000000	128	0	0	0	0
Exoc6b	32.000000	128	0	0	0	0
Cbx5	31.750000	127	0	0	0	0
Sulf2	31.500000	126	0	0	0	0
Crybg3	30.750000	123	0	0	0	0
Lix1	30.250000	121	0	0	0	0
Psmc6	29.250000	117	0	0	0	0
Mkrn3	29.000000	116	0	0	0	0
Clnk	29.000000	116	0	0	0	0
Scgb2a2	28.750000	115	0	0	0	0
Ccn2	28.750000	115	0	0	0	0
Msantd4	28.500000	114	0	0	0	0
Foxp2	28.000000	112	0	0	0	0
Wnt2	27.750000	111	0	0	0	0
Tmem115	27.750000	0	111	0	0	0
Irx1	27.750000	111	0	0	0	0
Ifna9	27.750000	0	111	0	0	0
Gja5	27.750000	111	0	0	0	0
Col4a2	27.750000	111	0	0	0	0
Col4a1	27.750000	111	0	0	0	0
Tmem268	27.500000	0	110	0	0	0
Dll4	27.500000	110	0	0	0	0
Rapgef6	27.000000	108	0	0	0	0
Tafa1	26.750000	107	0	0	0	0
Igfbpl1	26.500000	106	0	0	0	0
Rps6	25.250000	0	0	101	0	0
Tmcc1	25.000000	100	0	0	0	0
Rpl5	24.750000	0	0	99	0	0
Syt2	24.500000	98	0	0	0	0
Rpl13	24.000000	0	0	96	0	0
Rpl11	24.000000	0	0	96	0	0
Timp3	23.250000	93	0	0	0	0
Dusp23	22.250000	0	0	0	89	0
Rcan2	21.000000	84	0	0	0	0
Fzd8	21.000000	84	0	0	0	0
4930558K02Rik	21.000000	0	0	0	84	0
Rpl7a	20.000000	0	0	80	0	0
Med22	20.000000	0	0	80	0	0
Kcnc1	19.000000	76	0	0	0	0
BC048507	19.000000	76	0	0	0	0
Tmem176b	17.500000	0	0	70	0	0
Tmem176a	17.500000	0	0	70	0	0
Plxnc1	0.000000	0	0	0	0	426
En1	0.000000	0	0	0	0	426
Wt1	0.000000	0	0	0	0	416
Slc17a6	0.000000	0	0	0	0	401
