Target_genes	Six1|Average	SRX1462976|C3H/10T1/2	SRX3473280|Cochlea	SRX9671583|Cochlea	SRX9671584|Cochlea	SRX3473281|E10.5_embryos	SRX10070638|Otic_vesicle	SRX15441802|Thymic_epithelial_cells	STRING
Csf2ra	121.285714	0	453	0	0	396	0	0	0
Trpv2	121.142857	0	0	351	323	0	174	0	0
Pi4kb	120.857143	0	0	231	615	0	0	0	0
Gm4981	117.714286	0	169	0	174	115	130	236	0
Olfr806	117.571429	0	503	0	0	320	0	0	0
Slc30a10	116.428571	0	0	397	348	0	70	0	0
Snrpf	116.142857	0	0	316	497	0	0	0	0
Zmiz1	114.857143	101	0	427	177	0	99	0	0
Pdgfrl	114.428571	0	0	199	602	0	0	0	0
Klk10	114.428571	0	0	413	295	0	93	0	0
Cyth1	113.428571	0	0	329	345	0	120	0	0
Tob1	113.285714	0	0	319	330	0	144	0	0
Sema6d	112.571429	206	0	164	310	0	108	0	0
Etv6	110.857143	141	0	257	272	0	106	0	0
Cad	110.714286	0	0	187	504	0	84	0	0
Zkscan17	110.428571	0	0	324	368	0	81	0	0
Pcnp	108.142857	0	0	295	383	0	79	0	0
Xrcc1	106.714286	0	0	308	291	0	148	0	0
Pinlyp	106.714286	0	0	308	291	0	148	0	0
Rab11fip3	105.571429	0	0	243	319	0	177	0	0
Malt1	104.857143	734	0	0	0	0	0	0	0
Rfx1	103.857143	0	0	216	329	0	182	0	0
Cfl1	103.571429	0	0	285	440	0	0	0	0
Tsr3	102.142857	0	0	263	452	0	0	0	0
Gnptg	102.142857	0	0	263	452	0	0	0	0
Nudt13	101.857143	0	0	713	0	0	0	0	0
AW209491	101.714286	0	0	214	498	0	0	0	0
Vps28	99.285714	0	0	324	371	0	0	0	0
Setbp1	98.714286	0	0	201	384	0	106	0	0
Lrig2	98.000000	0	0	393	293	0	0	0	0
Tcim	97.857143	0	0	329	235	0	121	0	0
Syngr1	97.857143	0	0	355	207	0	123	0	0
Sema3c	97.000000	0	0	315	364	0	0	0	0
Rab27b	96.428571	0	0	238	437	0	0	0	0
Cdh12	95.571429	0	349	0	0	320	0	0	0
Zfp11	95.285714	0	0	261	406	0	0	0	0
Ogdhl	95.285714	0	0	177	386	0	104	0	0
Rpl3	93.857143	0	0	403	254	0	0	0	0
Cxcl12	93.714286	0	0	357	299	0	0	0	0
Grcc10	93.428571	0	0	246	408	0	0	0	0
Car13	93.428571	0	0	161	493	0	0	0	0
Cnih2	93.142857	0	0	313	134	0	205	0	0
Golga7b	92.857143	0	0	339	311	0	0	0	0
Col2a1	92.714286	0	0	266	269	0	114	0	0
Actn1	91.428571	78	0	244	318	0	0	0	0
Wbp1	91.142857	0	0	284	354	0	0	0	0
Ino80b	91.142857	0	0	284	354	0	0	0	0
Wars2	90.428571	0	0	146	390	0	97	0	0
Cldn9	89.714286	0	0	349	279	0	0	0	0
Sik3	88.714286	0	0	234	218	0	169	0	0
Pafah1b2	88.714286	0	0	234	218	0	169	0	0
Pou3f3	88.285714	0	0	426	192	0	0	0	0
Gse1	88.285714	89	0	146	290	0	93	0	0
Azin1	87.285714	0	0	204	407	0	0	0	0
Artn	86.857143	0	0	313	295	0	0	0	0
Cs	86.285714	0	0	241	363	0	0	0	0
Htr3a	85.714286	0	0	189	411	0	0	0	0
Six4	85.571429	0	0	375	224	0	0	0	0
Mgp	85.285714	0	0	223	374	0	0	0	0
Def6	85.285714	0	0	227	370	0	0	0	0
Pfn2	84.428571	0	0	155	324	0	112	0	0
Polr3f	83.857143	0	0	194	393	0	0	0	0
Dzank1	83.857143	0	0	194	393	0	0	0	0
Zbtb26	83.714286	0	0	178	408	0	0	0	0
Rabgap1	83.714286	0	0	178	408	0	0	0	0
Abcc9	83.285714	0	0	212	269	0	102	0	0
H4c14	82.857143	0	0	371	209	0	0	0	0
Fbxw7	82.714286	0	0	285	153	0	141	0	0
Stag2	82.428571	0	0	199	378	0	0	0	0
Eef1a1	82.428571	453	0	0	124	0	0	0	0
Eml6	82.285714	0	0	194	382	0	0	0	0
Clip1	81.714286	0	0	228	344	0	0	0	0
Mtss2	81.571429	0	0	243	328	0	0	0	0
Spg11	81.142857	0	0	137	431	0	0	0	0
Pofut2	81.142857	0	0	267	183	0	118	0	0
Galk2	80.857143	0	0	247	319	0	0	0	0
Cops2	80.857143	0	0	247	319	0	0	0	0
Spry1	80.714286	0	0	168	397	0	0	0	0
Cdk11b	80.714286	0	0	203	362	0	0	0	0
Gli3	80.428571	0	0	154	210	0	199	0	0
Fam78a	80.428571	0	0	319	244	0	0	0	0
Tctn2	80.000000	0	0	365	0	0	195	0	0
Pin1	79.714286	0	0	345	0	0	213	0	0
Nme1	79.714286	0	0	213	345	0	0	0	0
Lgi4	79.714286	0	0	164	394	0	0	0	0
Fxyd7	79.714286	0	0	164	394	0	0	0	0
Fxyd1	79.714286	0	0	164	394	0	0	0	0
Vmn2r4	79.571429	0	207	0	0	350	0	0	0
Rpl22l1	79.285714	0	0	182	373	0	0	0	0
Six5	79.000000	0	0	285	268	0	0	0	0
Msto1	78.857143	0	0	157	395	0	0	0	0
Rbsn	78.428571	0	0	377	172	0	0	0	0
Myl12b	78.285714	0	0	199	349	0	0	0	0
Zcchc3	78.000000	0	0	210	336	0	0	0	0
6820408C15Rik	78.000000	0	0	210	336	0	0	0	0
Plekhm3	77.714286	0	0	223	321	0	0	0	0
Vstm4	77.285714	183	0	141	217	0	0	0	0
Vps8	77.285714	0	0	283	258	0	0	0	0
Rap2b	77.000000	0	0	243	296	0	0	0	0
Wnt9a	76.857143	0	0	199	339	0	0	0	0
Mycn	76.571429	0	0	309	227	0	0	0	0
Calr	76.571429	0	0	231	305	0	0	0	0
Alpk1	76.428571	0	0	184	216	0	135	0	0
Rabl3	76.142857	0	0	0	533	0	0	0	0
Gtf2e1	76.142857	0	0	0	533	0	0	0	0
Cpz	76.142857	0	0	172	361	0	0	0	0
Dnm2	76.000000	0	0	125	277	0	130	0	0
Aaas	76.000000	0	0	203	329	0	0	0	0
Dyrk1a	75.714286	0	0	136	192	0	202	0	0
Cfap20	75.714286	0	0	286	163	0	81	0	0
Rrp36	75.571429	0	0	339	190	0	0	0	0
Ltbp4	75.571429	0	0	139	240	0	150	0	0
P4ha3	75.428571	0	0	380	148	0	0	0	0
Pard3b	75.000000	0	0	182	343	0	0	0	0
Zfp143	74.857143	0	319	0	0	205	0	0	0
Wwox	74.714286	0	262	0	0	261	0	0	0
Caprin1	74.428571	0	0	0	521	0	0	0	0
Six1	74.142857	0	0	250	269	0	0	0	0
Snx17	74.000000	0	0	279	239	0	0	0	0
Eif2b4	74.000000	0	0	279	239	0	0	0	0
Jade1	73.571429	91	0	77	347	0	0	0	0
Cpxm1	73.428571	0	0	232	282	0	0	0	0
Smad6	73.142857	0	0	248	93	0	171	0	0
Apobec2	73.000000	0	0	241	270	0	0	0	0
Gpd2	72.857143	0	0	214	296	0	0	0	0
Amotl2	72.857143	0	0	271	239	0	0	0	0
Mkx	72.428571	0	0	190	220	0	97	0	0
Zscan21	72.142857	0	0	271	234	0	0	0	0
Gm4791	72.000000	0	0	205	163	0	136	0	0
Ssbp3	71.857143	0	0	284	219	0	0	0	0
Sstr1	71.714286	0	0	168	334	0	0	0	0
Tm7sf2	71.285714	0	0	205	294	0	0	0	0
Tedc1	71.285714	0	0	136	252	0	111	0	0
Crip1	71.285714	0	0	136	252	0	111	0	0
Cc2d1b	71.142857	0	0	202	296	0	0	0	0
Ust	71.000000	0	0	143	354	0	0	0	0
Zfp354c	70.857143	0	0	274	222	0	0	0	0
Nnt	70.571429	0	0	347	147	0	0	0	0
Lrrc56	70.571429	0	0	226	133	0	135	0	0
Ibtk	70.571429	0	0	135	288	0	71	0	0
Hras	70.571429	0	0	226	133	0	135	0	0
Col18a1	70.285714	0	0	116	268	0	108	0	0
Hipk3	69.857143	0	0	163	326	0	0	0	0
Zbed4	69.714286	0	0	244	244	0	0	0	0
Tcam1	69.571429	0	0	196	291	0	0	0	0
Smarcd2	69.571429	0	0	196	291	0	0	0	0
Rara	69.571429	0	0	173	314	0	0	0	0
Prkdc	69.571429	363	0	0	124	0	0	0	0
Ppp1r9b	69.571429	0	0	182	305	0	0	0	0
Grk5	69.428571	0	0	125	361	0	0	0	0
Bmf	69.428571	0	0	217	269	0	0	0	0
H2-Oa	69.142857	0	0	219	167	0	98	0	0
Amotl1	68.000000	0	0	122	250	0	104	0	0
Rassf10	67.857143	0	0	195	280	0	0	0	0
Mex3a	67.714286	0	0	283	191	0	0	0	0
Itpr1	67.714286	0	0	118	356	0	0	0	0
Vta1	67.571429	0	0	273	200	0	0	0	0
Nuak1	67.428571	0	0	197	275	0	0	0	0
Cwc25	67.428571	0	0	263	209	0	0	0	0
Septin9	67.142857	0	0	273	197	0	0	0	0
Btnl9	67.142857	0	0	331	0	0	139	0	0
Cfap54	67.000000	0	0	130	200	0	139	0	0
Wfikkn2	66.571429	0	0	246	220	0	0	0	0
Tha1	66.571429	0	0	206	260	0	0	0	0
Pacs1	66.428571	0	0	126	339	0	0	0	0
Trim33	66.142857	0	0	209	254	0	0	0	0
Arhgap24	66.142857	0	0	218	245	0	0	0	0
Phf23	66.000000	0	0	273	189	0	0	0	0
Gabarap	66.000000	0	0	273	189	0	0	0	0
Fntb	65.714286	0	0	246	214	0	0	0	0
Slc2a12	65.571429	0	0	191	268	0	0	0	0
Calu	65.571429	0	0	79	380	0	0	0	0
Cdh10	65.428571	0	0	294	164	0	0	0	0
H1f0	65.142857	0	0	210	246	0	0	0	0
Gcat	65.142857	0	0	210	246	0	0	0	0
Minpp1	65.000000	0	0	154	301	0	0	0	0
Ldhb	64.857143	0	0	307	147	0	0	0	0
Col27a1	64.857143	0	0	263	191	0	0	0	0
Btg1	64.714286	0	0	196	257	0	0	0	0
Dnmt3a	64.571429	0	0	199	253	0	0	0	0
Pou2af1	64.285714	68	0	150	232	0	0	0	0
Galnt5	64.000000	0	0	227	221	0	0	0	0
Rab34	63.857143	0	0	151	296	0	0	0	0
Proca1	63.857143	0	0	151	296	0	0	0	0
Zc3h12c	63.714286	0	0	152	294	0	0	0	0
Foxj1	63.714286	0	0	208	0	0	238	0	0
Nrgn	63.428571	0	0	273	171	0	0	0	0
Kctd9	63.428571	0	0	166	278	0	0	0	0
Cdca2	63.428571	0	0	166	278	0	0	0	0
Ccdc177	63.428571	0	0	214	230	0	0	0	0
B4galt1	63.428571	0	0	139	305	0	0	0	0
Yipf1	63.285714	0	0	261	182	0	0	0	0
Riok3	63.285714	0	0	142	301	0	0	0	0
Camp	63.285714	443	0	0	0	0	0	0	0
Mapk8ip1	63.142857	0	0	276	166	0	0	0	0
Phox2a	63.000000	0	0	248	193	0	0	0	0
Nkap	63.000000	0	0	0	0	0	200	241	0
Fpgs	62.714286	100	0	124	215	0	0	0	0
Hps5	62.571429	0	0	134	304	0	0	0	0
Gtf2h1	62.571429	0	0	134	304	0	0	0	0
Zfp219	62.428571	0	0	217	220	0	0	0	0
Rel	62.285714	111	0	139	186	0	0	0	0
Rasip1	62.285714	436	0	0	0	0	0	0	0
Izumo1	62.285714	436	0	0	0	0	0	0	0
Arhgap27	62.000000	0	0	259	175	0	0	0	0
Slc2a4	61.857143	0	0	200	233	0	0	0	0
Tmem239	61.714286	0	0	260	172	0	0	0	0
1700020A23Rik	61.714286	0	0	260	172	0	0	0	0
Gm266	61.571429	0	0	209	132	0	90	0	0
Wdr36	61.285714	0	0	129	300	0	0	0	0
Aurkaip1	61.285714	0	0	170	259	0	0	0	0
Mri1	61.000000	0	0	169	258	0	0	0	0
Emsy	60.857143	0	0	228	198	0	0	0	0
Epn3	60.714286	0	0	157	268	0	0	0	0
Gan	60.571429	0	0	151	273	0	0	0	0
Tgfb3	60.285714	0	0	288	134	0	0	0	0
Ift43	60.285714	0	0	288	134	0	0	0	0
Gsn	60.285714	0	0	264	158	0	0	0	0
Ift22	60.142857	0	0	203	0	0	218	0	0
Tnc	59.857143	0	0	109	310	0	0	0	0
Ino80c	59.571429	0	0	133	284	0	0	0	0
Ube2j2	59.428571	0	0	206	210	0	0	0	0
Nck2	59.285714	0	0	129	286	0	0	0	0
Erbin	59.285714	0	0	105	310	0	0	0	0
Taf13	59.000000	0	0	164	249	0	0	0	0
Glt8d2	59.000000	0	0	120	293	0	0	0	0
Elf3	59.000000	0	0	250	163	0	0	0	0
Med23	58.857143	0	0	195	217	0	0	0	0
Casq1	58.571429	0	0	211	199	0	0	0	0
4930430F08Rik	58.428571	0	0	110	299	0	0	0	0
1700017N19Rik	58.428571	0	0	110	299	0	0	0	0
Tyw1	58.142857	0	0	210	197	0	0	0	0
Sbds	58.142857	0	0	210	197	0	0	0	0
Lcmt2	58.142857	0	0	128	279	0	0	0	0
Adal	58.142857	0	0	128	279	0	0	0	0
Zmym2	58.000000	0	0	209	197	0	0	0	0
Olfr30	57.857143	0	0	212	193	0	0	0	0
Lypd9	57.857143	0	0	212	193	0	0	0	0
Kctd5	57.857143	0	0	216	189	0	0	0	0
Rexo2	57.714286	0	0	139	265	0	0	0	0
Atg4c	57.571429	0	0	253	150	0	0	0	0
Adamts14	57.571429	0	0	240	163	0	0	0	0
Ndufa5	57.428571	0	0	191	211	0	0	0	0
Gas2	57.428571	0	0	266	136	0	0	0	0
Asb15	57.428571	0	0	191	211	0	0	0	0
Megf8	57.285714	0	0	189	212	0	0	0	0
Mapre3	57.285714	0	0	99	138	0	164	0	0
Kctd20	57.285714	0	0	193	208	0	0	0	0
Ckmt1	57.285714	0	0	225	176	0	0	0	0
Gbp7	57.142857	0	0	151	249	0	0	0	0
Dchs1	57.142857	0	0	187	213	0	0	0	0
Sptbn1	57.000000	0	0	152	247	0	0	0	0
Rabep2	56.857143	0	0	153	245	0	0	0	0
Armcx4	56.857143	0	0	160	238	0	0	0	0
Trerf1	56.714286	0	0	182	215	0	0	0	0
Tbc1d8	56.714286	0	0	94	303	0	0	0	0
Sema3f	56.714286	0	0	164	233	0	0	0	0
Sdhc	56.714286	0	0	122	275	0	0	0	0
Nars2	56.714286	0	0	228	169	0	0	0	0
Mpz	56.714286	0	0	122	275	0	0	0	0
Ccdc13	56.714286	0	0	202	0	0	195	0	0
Adck1	56.714286	0	0	0	397	0	0	0	0
Pole2	56.571429	0	0	139	257	0	0	0	0
Odf2	56.571429	0	0	214	182	0	0	0	0
Igfbp5	56.571429	0	0	121	275	0	0	0	0
Zfp433	56.428571	0	0	130	265	0	0	0	0
Rai1	56.428571	0	0	245	150	0	0	0	0
Gm32687	56.428571	0	0	130	265	0	0	0	0
Trim50	56.285714	0	0	0	0	126	268	0	0
Thnsl1	56.285714	0	0	134	0	0	260	0	0
Rcn1	56.285714	0	0	164	230	0	0	0	0
Enkur	56.285714	0	0	134	0	0	260	0	0
Dtwd2	56.142857	0	0	144	249	0	0	0	0
Lypd6	56.000000	0	0	135	257	0	0	0	0
Jmjd1c	56.000000	0	0	231	161	0	0	0	0
Atp6v0a4	55.857143	0	0	187	204	0	0	0	0
Derl1	55.714286	0	0	183	207	0	0	0	0
Hjurp	55.571429	0	0	174	215	0	0	0	0
Gtf2f1	55.571429	0	0	188	201	0	0	0	0
Eloc	55.571429	0	0	201	188	0	0	0	0
A730008H23Rik	55.571429	0	0	174	215	0	0	0	0
Tmem209	55.428571	0	0	157	231	0	0	0	0
Ssmem1	55.428571	0	0	157	231	0	0	0	0
Lpar6	55.428571	0	0	388	0	0	0	0	0
Sema4b	55.285714	0	0	172	115	0	100	0	0
Qars	55.285714	0	0	114	273	0	0	0	0
Radil	55.142857	0	0	126	260	0	0	0	0
Josd1	55.142857	0	0	237	149	0	0	0	0
Gtpbp1	55.142857	0	0	237	149	0	0	0	0
Gm3448	55.000000	0	0	203	182	0	0	0	0
Gm3417	55.000000	0	0	203	182	0	0	0	0
Btaf1	55.000000	0	0	118	267	0	0	0	0
Atxn2l	55.000000	0	0	0	385	0	0	0	0
Wdr60	54.857143	0	0	105	279	0	0	0	0
Rassf8	54.857143	0	0	144	240	0	0	0	0
Vill	54.714286	0	0	170	213	0	0	0	0
Slc16a10	54.714286	0	0	185	198	0	0	0	0
Col13a1	54.714286	0	0	169	214	0	0	0	0
Tubgcp6	54.428571	0	0	85	296	0	0	0	0
Sugp2	54.285714	0	0	201	179	0	0	0	0
Ndufs4	54.285714	0	0	150	230	0	0	0	0
Hspa1l	54.285714	0	0	190	190	0	0	0	0
Hspa1a	54.285714	0	0	190	190	0	0	0	0
Armc6	54.285714	0	0	201	179	0	0	0	0
Tlcd4	54.142857	0	0	135	244	0	0	0	0
Npc1	54.000000	0	0	208	170	0	0	0	0
Sh3bp5	53.857143	0	0	247	130	0	0	0	0
Spidr	53.714286	0	0	0	376	0	0	0	0
Mettl22	53.714286	0	0	182	194	0	0	0	0
Tcf25	53.571429	0	0	115	260	0	0	0	0
Rest	53.571429	0	0	130	245	0	0	0	0
Espn	53.571429	0	0	141	234	0	0	0	0
Arhgap17	53.571429	0	0	141	234	0	0	0	0
Zpr1	53.428571	0	0	374	0	0	0	0	0
Tra2b	53.428571	0	0	204	170	0	0	0	0
Ptn	53.428571	0	0	180	194	0	0	0	0
Cldnd2	53.428571	0	0	132	242	0	0	0	0
Apoa5	53.428571	0	0	374	0	0	0	0	0
Slc16a4	53.285714	0	0	210	163	0	0	0	0
Myof	53.285714	0	0	124	249	0	0	0	0
Plekhg1	53.000000	0	0	281	90	0	0	0	0
C2cd4a	53.000000	0	0	221	150	0	0	0	0
Usp6nl	52.857143	0	0	217	153	0	0	0	0
Sik1	52.857143	0	0	176	194	0	0	0	0
Lrrc18	52.857143	0	0	159	211	0	0	0	0
Jph1	52.857143	0	0	152	218	0	0	0	0
Wee1	52.714286	0	0	139	230	0	0	0	0
Muc1	52.571429	0	0	200	0	0	168	0	0
Ank3	52.571429	232	0	0	136	0	0	0	0
Wasf1	52.285714	0	0	222	144	0	0	0	0
Cdc40	52.285714	0	0	222	144	0	0	0	0
Rnf122	52.142857	0	0	179	186	0	0	0	0
Btbd19	52.142857	0	0	365	0	0	0	0	0
Cenpu	52.000000	0	0	185	179	0	0	0	0
Dnttip2	51.857143	0	0	117	246	0	0	0	0
Hint1	51.714286	0	0	96	266	0	0	0	0
Smim5	51.571429	0	0	188	173	0	0	0	0
Flywch1	51.571429	0	0	207	154	0	0	0	0
Sirt1	51.428571	360	0	0	0	0	0	0	0
Pappa2	51.285714	0	0	180	179	0	0	0	0
Gm12258	51.285714	0	0	260	0	0	99	0	0
Wnt5a	51.142857	0	0	234	124	0	0	0	0
Fgfr2	51.142857	0	0	202	156	0	0	0	0
B230307C23Rik	51.142857	0	0	99	259	0	0	0	0
Rnf125	51.000000	117	0	0	240	0	0	0	0
Dusp6	51.000000	0	0	259	0	0	98	0	0
Rpl35a	50.571429	0	0	179	175	0	0	0	0
Iqcg	50.571429	0	0	179	175	0	0	0	0
Ccser2	50.571429	0	0	150	204	0	0	0	0
Utp3	50.428571	0	0	198	155	0	0	0	0
Tcte3	50.428571	0	0	203	150	0	0	0	0
Spsb4	50.428571	0	0	109	244	0	0	0	0
Serf1	50.428571	0	0	180	173	0	0	0	0
Bdp1	50.428571	0	0	180	173	0	0	0	0
Adamtsl1	50.428571	0	0	0	353	0	0	0	0
Trps1	50.285714	193	0	0	159	0	0	0	0
Triobp	50.285714	0	0	133	219	0	0	0	0
Trio	50.285714	0	0	162	190	0	0	0	0
Masp1	50.285714	0	0	96	256	0	0	0	0
Fam177a2	50.285714	0	0	127	225	0	0	0	0
Fam177a	50.285714	0	0	127	225	0	0	0	0
B4galt4	50.285714	0	0	68	284	0	0	0	0
Znhit1	50.142857	0	0	145	206	0	0	0	0
Plod3	50.142857	0	0	145	206	0	0	0	0
Tfdp2	50.000000	0	0	247	0	0	103	0	0
Synm	50.000000	0	0	221	129	0	0	0	0
Dnaja3	50.000000	0	0	225	125	0	0	0	0
Coro7	50.000000	0	0	225	125	0	0	0	0
Yipf6	49.857143	0	0	155	194	0	0	0	0
Hydin	49.857143	0	0	168	0	0	181	0	0
Ctf1	49.714286	0	0	0	348	0	0	0	0
Bcl7c	49.714286	0	0	0	348	0	0	0	0
Aqr	49.714286	0	0	145	203	0	0	0	0
Zfp759	49.571429	0	0	133	214	0	0	0	0
Ddx20	49.428571	0	0	177	169	0	0	0	0
Traf3ip1	49.285714	0	0	110	235	0	0	0	0
Pafah2	49.000000	0	0	343	0	0	0	0	0
Vps18	48.857143	0	0	111	231	0	0	0	0
Tex52	48.857143	0	0	85	257	0	0	0	0
Tcf7l1	48.857143	0	0	0	342	0	0	0	0
Pold3	48.714286	0	0	178	163	0	0	0	0
Slx4ip	48.571429	0	0	166	174	0	0	0	0
Slc12a2	48.571429	0	0	155	185	0	0	0	0
Mkks	48.571429	0	0	166	174	0	0	0	0
Ermard	48.571429	0	0	190	150	0	0	0	0
Ctdsp1	48.571429	0	0	0	340	0	0	0	0
Cops4	48.571429	0	0	143	197	0	0	0	0
Ccdc88a	48.571429	0	0	0	185	0	0	155	0
Ssx2ip	48.428571	0	0	0	140	0	199	0	0
Mettl25	48.428571	0	0	0	339	0	0	0	0
Megf10	48.428571	0	0	113	226	0	0	0	0
Lef1	48.428571	0	0	126	213	0	0	0	0
Igsf11	48.428571	0	0	157	182	0	0	0	0
Fign	48.428571	0	0	139	200	0	0	0	0
Ccdc59	48.428571	0	0	0	339	0	0	0	0
Zfp788	48.285714	0	0	125	213	0	0	0	0
Nid2	48.285714	0	0	143	195	0	0	0	0
Epha7	48.285714	0	0	0	338	0	0	0	0
Arid4a	48.285714	0	0	107	163	0	68	0	0
Cic	48.142857	0	0	141	196	0	0	0	0
Trim26	48.000000	0	0	113	223	0	0	0	0
Dusp4	48.000000	0	0	193	143	0	0	0	0
Mrps16	47.857143	0	0	196	139	0	0	0	0
Kmt2d	47.857143	0	0	98	237	0	0	0	0
Dnajc9	47.857143	0	0	196	139	0	0	0	0
Dact1	47.857143	0	0	163	172	0	0	0	0
Txnl4b	47.714286	0	0	249	85	0	0	0	0
Ints1	47.714286	0	0	194	140	0	0	0	0
Etv5	47.714286	0	0	0	259	0	75	0	0
Dhx38	47.714286	0	0	249	85	0	0	0	0
Cxxc4	47.714286	0	0	101	233	0	0	0	0
Antxr1	47.714286	0	0	133	201	0	0	0	0
Ube2v2	47.571429	0	0	175	158	0	0	0	0
Rrm2	47.571429	0	0	333	0	0	0	0	0
Rbms1	47.571429	0	0	123	210	0	0	0	0
Hspa9	47.571429	0	0	0	333	0	0	0	0
Eaf2	47.571429	0	0	181	152	0	0	0	0
Cnpy3	47.571429	0	0	139	130	0	64	0	0
Slc4a2	47.428571	0	0	136	196	0	0	0	0
Poc1b	47.428571	0	0	95	237	0	0	0	0
Ints10	47.428571	0	0	159	173	0	0	0	0
Ift57	47.428571	0	0	70	120	0	142	0	0
Homer1	47.428571	0	0	124	208	0	0	0	0
Galnt4	47.428571	0	0	95	237	0	0	0	0
Cdk5	47.428571	0	0	136	196	0	0	0	0
Txndc17	47.285714	0	0	156	175	0	0	0	0
Mlh3	47.285714	0	0	177	97	0	57	0	0
Hes6	47.285714	0	0	128	203	0	0	0	0
Dusp18	47.285714	0	0	135	196	0	0	0	0
4933427D14Rik	47.285714	0	0	156	175	0	0	0	0
4921536K21Rik	47.285714	0	0	135	196	0	0	0	0
Cryab	47.142857	0	0	129	201	0	0	0	0
Arid5b	47.142857	144	0	0	186	0	0	0	0
2310030G06Rik	47.142857	0	0	129	201	0	0	0	0
Sec23ip	47.000000	0	0	0	329	0	0	0	0
Mcmbp	47.000000	0	0	0	329	0	0	0	0
Tpsab1	46.857143	0	0	117	0	0	211	0	0
Timm17a	46.857143	0	0	0	328	0	0	0	0
Nrp2	46.857143	0	0	180	148	0	0	0	0
Spr	46.714286	0	0	186	141	0	0	0	0
Tyw3	46.571429	0	0	136	190	0	0	0	0
Ppp2r3a	46.571429	0	0	126	200	0	0	0	0
Pmp22	46.571429	0	0	326	0	0	0	0	0
Gm3435	46.571429	0	0	203	123	0	0	0	0
Cryz	46.571429	0	0	136	190	0	0	0	0
Copz1	46.571429	0	0	133	0	193	0	0	0
Lmo1	46.428571	0	0	153	172	0	0	0	0
Klf13	46.428571	0	0	144	181	0	0	0	0
Pcdh15	46.285714	0	0	122	202	0	0	0	0
Ifitm2	46.285714	0	0	182	142	0	0	0	0
Dctn4	46.285714	0	0	0	324	0	0	0	0
Zfp661	46.142857	0	0	140	183	0	0	0	0
Trpm3	46.142857	0	0	138	185	0	0	0	0
Mrps5	46.142857	0	0	140	183	0	0	0	0
H2-DMa	46.142857	0	0	134	189	0	0	0	0
Brd2	46.142857	0	0	134	189	0	0	0	0
Atp6v0d1	46.000000	0	0	137	185	0	0	0	0
Agrp	46.000000	0	0	137	185	0	0	0	0
Iws1	45.857143	0	0	170	151	0	0	0	0
