Target_genes	Egr1|Average	SRX12298591|B_cells	SRX10616114|Cerebellum	SRX10616115|Cerebellum	SRX122510|Dendritic_Cells	SRX122511|Dendritic_Cells	SRX122512|Dendritic_Cells	SRX122513|Dendritic_Cells	SRX9754949|Dendritic_Cells	SRX204724|Liver	SRX10616110|Prefrontal_Cortex	SRX10616111|Prefrontal_Cortex	STRING
Eif5a	362.090909	1487	223	382	0	0	0	398	0	1137	124	232	0
Nbeal2	361.636364	739	876	1145	0	0	0	0	0	0	554	664	0
Ccdc12	361.636364	739	876	1145	0	0	0	0	0	0	554	664	0
Bag6	361.545455	949	939	277	0	0	0	145	0	459	656	552	0
Apom	361.545455	949	939	277	0	0	0	145	0	459	656	552	0
Zwilch	361.272727	2129	625	672	0	0	0	0	0	0	219	329	0
Rpl4	361.272727	2129	625	672	0	0	0	0	0	0	219	329	0
Rpl12	360.545455	2357	300	444	0	0	0	0	0	558	307	0	0
Rpl10a	359.545455	2833	349	267	0	0	0	0	0	0	258	248	0
Cog6	355.454545	1671	729	674	0	0	0	0	0	0	405	431	0
Ints7	352.909091	1218	812	906	0	0	0	0	0	0	385	561	0
Dtl	352.909091	1218	812	906	0	0	0	0	0	0	385	561	0
Pbld2	349.363636	2451	300	277	0	0	0	0	0	486	195	134	0
Hnrnph3	349.363636	2451	300	277	0	0	0	0	0	486	195	134	0
Rraga	347.454545	3094	233	231	0	0	0	0	0	0	133	131	0
Cltc	345.909091	419	463	564	0	0	0	289	0	1439	354	277	0
Nudcd2	345.090909	457	1159	1087	0	0	0	0	0	0	499	594	0
Hmmr	345.090909	457	1159	1087	0	0	0	0	0	0	499	594	0
Clec11a	343.000000	2503	184	450	0	0	0	152	0	0	177	307	0
Taf7	340.000000	1224	795	966	0	0	0	0	0	0	379	376	0
Cul5	339.090909	2407	236	0	0	0	0	149	0	605	194	139	0
Spdl1	334.090909	3290	183	202	0	0	0	0	0	0	0	0	0
Slx4	333.636364	1658	628	614	0	0	0	0	0	129	351	290	0
Micos10	333.545455	3041	171	258	0	0	0	0	0	0	108	91	0
Rpl7a	333.000000	2707	263	355	0	0	0	0	0	217	0	121	0
Med22	333.000000	2707	263	355	0	0	0	0	0	217	0	121	0
Lrsam1	332.636364	2357	300	444	0	0	0	0	0	558	0	0	0
Oasl1	332.545455	0	150	241	353	337	386	160	1248	609	0	174	0
Tuba1b	332.454545	759	299	429	0	0	0	228	0	1580	152	210	0
Zbtb40	331.000000	2635	336	365	0	0	0	0	0	0	168	137	0
Rnpc3	331.000000	3087	146	315	0	0	0	0	0	0	0	93	0
Rbm39	331.000000	2740	209	291	0	0	0	0	0	151	134	116	0
Mrpl45	330.636364	2348	397	403	0	0	0	0	0	0	243	246	0
Ncapg2	330.181818	2139	0	0	0	0	0	386	0	1107	0	0	0
Yipf3	328.090909	2539	405	345	0	0	0	0	0	0	179	141	0
Polr1c	328.090909	2539	405	345	0	0	0	0	0	0	179	141	0
Cdc7	327.909091	1189	703	842	0	0	0	0	0	0	438	435	0
Arf3	327.181818	3328	0	0	0	0	0	151	0	120	0	0	0
Rfesd	326.818182	2559	397	322	0	0	0	0	0	0	144	173	0
Poldip3	325.181818	1538	603	754	0	0	0	0	0	218	269	195	0
Gid8	323.636364	2245	375	497	0	0	0	0	0	0	231	212	0
Smg9	321.272727	1099	513	962	0	0	0	0	0	304	286	370	0
Smndc1	321.090909	1730	513	753	0	0	0	0	0	0	243	293	0
Nop53	320.727273	178	381	418	0	0	0	175	0	1934	204	238	0
Zbtb21	320.545455	1030	678	693	0	0	0	0	0	433	307	385	0
Ercc6l2	320.454545	2854	170	352	0	0	0	0	0	0	149	0	0
Fubp1	319.818182	2944	139	199	0	0	0	0	0	236	0	0	0
Dnajb4	319.818182	2944	139	199	0	0	0	0	0	236	0	0	0
Fam71e1	317.636364	847	797	767	0	0	0	0	0	0	544	539	0
Emc10	317.636364	847	797	767	0	0	0	0	0	0	544	539	0
Rps19	315.909091	3081	176	0	0	0	0	0	0	0	0	218	0
Wdr27	315.545455	2300	381	424	0	0	0	0	0	0	141	225	0
1600012H06Rik	315.545455	2300	381	424	0	0	0	0	0	0	141	225	0
Rab3gap2	315.272727	1371	638	691	0	0	0	0	0	0	358	410	0
Smdt1	314.636364	2848	175	198	0	0	0	0	0	0	124	116	0
Pheta2	314.636364	2848	175	198	0	0	0	0	0	0	124	116	0
Pcmtd1	313.909091	2394	250	186	0	0	0	0	0	395	114	114	0
0610009B22Rik	313.363636	257	359	532	0	0	0	353	0	1384	225	337	0
Phf12	312.909091	2029	378	575	0	0	0	0	0	175	141	144	0
Rc3h2	312.636364	2935	126	103	0	0	0	163	0	112	0	0	0
Zzz3	312.272727	3117	318	0	0	0	0	0	0	0	0	0	0
Nsun3	311.545455	2975	169	177	0	0	0	0	0	0	0	106	0
P4hb	310.363636	1204	353	227	0	0	0	170	0	872	297	291	0
Mak16	309.000000	1745	503	646	0	0	0	0	0	0	179	326	0
Wdr77	308.272727	3027	195	169	0	0	0	0	0	0	0	0	0
Atp5pb	308.272727	3027	195	169	0	0	0	0	0	0	0	0	0
Hspa9	307.909091	1042	359	355	0	0	0	140	0	1096	201	194	0
Herc1	307.909091	3172	78	137	0	0	0	0	0	0	0	0	0
Cnot1	307.636364	1192	568	578	0	0	0	0	0	433	390	223	0
Ttc32	307.000000	1832	386	319	0	0	0	103	0	308	206	223	0
Edrf1	306.909091	2767	128	276	0	0	0	0	0	205	0	0	0
Tasor2	306.363636	2825	191	247	0	0	0	0	0	0	0	107	0
Stxbp4	305.545455	3089	125	147	0	0	0	0	0	0	0	0	0
Cox11	305.545455	3089	125	147	0	0	0	0	0	0	0	0	0
Ccdc62	305.545455	1884	481	315	0	0	0	0	0	0	309	372	0
Naa35	305.363636	3273	0	0	0	0	0	0	0	86	0	0	0
Npm1	304.454545	2115	351	455	0	0	0	0	0	0	212	216	0
Nat10	304.272727	181	1039	1088	0	0	0	0	0	152	372	515	0
Ncoa4	303.818182	3113	0	123	0	0	0	0	0	106	0	0	0
Puf60	302.909091	3056	151	0	0	0	0	0	0	0	0	125	0
Scamp5	302.727273	3330	0	0	0	0	0	0	0	0	0	0	0
Supt5	302.636364	3207	0	0	0	0	0	0	0	122	0	0	0
Styxl1	302.272727	3109	0	216	0	0	0	0	0	0	0	0	0
Mdh2	302.272727	3109	0	216	0	0	0	0	0	0	0	0	0
Atf2	301.545455	2243	126	0	0	0	0	0	0	948	0	0	0
Nprl3	301.363636	2336	353	155	0	0	0	0	0	0	242	229	0
Stk38l	301.000000	2453	411	330	0	0	0	0	0	0	117	0	0
Slc26a8	300.909091	3131	179	0	0	0	0	0	0	0	0	0	0
Mapk14	300.909091	3131	179	0	0	0	0	0	0	0	0	0	0
Actn4	300.454545	2057	476	0	0	0	0	0	0	233	203	336	0
Tbcb	300.000000	612	794	1055	0	0	0	0	0	0	437	402	0
Polr2i	300.000000	612	794	1055	0	0	0	0	0	0	437	402	0
Ovol3	300.000000	612	794	1055	0	0	0	0	0	0	437	402	0
Tpr	299.454545	868	670	894	0	0	0	0	0	268	267	327	0
Odr4	299.454545	868	670	894	0	0	0	0	0	268	267	327	0
Tmem88	299.000000	2712	165	317	0	0	0	0	0	0	0	95	0
Qrich1	298.363636	3004	122	156	0	0	0	0	0	0	0	0	0
Mrpl4	298.090909	163	899	1070	0	0	0	0	0	0	583	564	0
Naa38	296.727273	2712	140	317	0	0	0	0	0	0	0	95	0
Cyb5d1	296.727273	2712	140	317	0	0	0	0	0	0	0	95	0
Ddhd2	296.454545	2943	158	0	0	0	0	0	0	0	88	72	0
Mef2a	296.090909	562	784	867	0	0	0	0	0	204	369	471	0
Sap18b	295.636364	2624	212	318	0	0	0	0	0	0	98	0	0
Sap18	295.636364	2624	212	318	0	0	0	0	0	0	98	0	0
Gdi2	295.636364	2803	266	183	0	0	0	0	0	0	0	0	0
Baz1b	294.818182	152	930	1121	0	0	0	0	0	0	457	583	0
Cdk12	294.545455	2944	105	87	0	0	0	0	0	0	104	0	0
Dolpp1	294.272727	1734	290	524	0	0	0	0	0	0	284	405	0
Copb2	293.818182	2532	302	288	0	0	0	0	0	0	0	110	0
Ppp4r3b	293.000000	2693	187	198	0	0	0	0	0	0	0	145	0
Nanp	292.272727	2316	415	204	0	0	0	0	0	0	145	135	0
Rfc4	292.090909	0	968	1046	0	0	0	0	0	0	568	631	0
Tmem18	291.818182	2842	176	192	0	0	0	0	0	0	0	0	0
Mettl16	291.818182	2943	120	147	0	0	0	0	0	0	0	0	0
Ppil4	290.909091	130	996	871	0	0	0	0	0	143	460	600	0
Luc7l2	290.545455	2600	199	271	0	0	0	0	0	126	0	0	0
Map2k2	290.272727	2430	185	248	0	0	0	0	0	0	122	208	0
Tmem209	290.181818	2723	143	250	0	0	0	0	0	0	76	0	0
Ssmem1	290.181818	2723	143	250	0	0	0	0	0	0	76	0	0
Ppm1d	289.636364	1299	0	0	0	0	0	313	0	1574	0	0	0
Upf3a	289.454545	2531	280	0	0	0	0	0	0	0	166	207	0
Smg7	289.454545	1372	472	0	0	0	0	0	0	867	266	207	0
Rpl26	289.272727	2186	322	358	0	0	0	0	0	0	139	177	0
Park7	289.272727	922	425	389	0	0	0	161	0	796	208	281	0
Drg1	289.272727	2948	110	124	0	0	0	0	0	0	0	0	0
Denr	287.181818	3159	0	0	0	0	0	0	0	0	0	0	0
Tmem129	287.090909	2222	151	217	0	0	0	0	0	443	125	0	0
Tacc3	287.090909	2222	151	217	0	0	0	0	0	443	125	0	0
Ctbp1	287.000000	1579	359	652	0	0	0	0	0	0	328	239	0
Btbd10	286.000000	3146	0	0	0	0	0	0	0	0	0	0	0
Cand1	285.454545	2268	243	181	0	0	0	0	0	378	0	70	0
Xpo5	284.818182	1470	647	0	0	0	0	119	0	345	196	356	0
Polh	284.818182	1470	647	0	0	0	0	119	0	345	196	356	0
Adnp	284.636364	1961	327	445	0	0	0	0	0	0	186	212	0
Tcf25	284.090909	2674	145	210	0	0	0	0	0	0	96	0	0
Mrtfb	283.636364	2160	209	219	0	0	0	177	0	355	0	0	0
Rab33b	283.454545	2112	444	129	0	0	0	0	0	0	239	194	0
Tfpt	283.272727	0	992	1051	0	0	0	0	0	0	476	597	0
Prpf31	283.272727	0	992	1051	0	0	0	0	0	0	476	597	0
Nup50	283.272727	1323	564	505	0	0	0	0	0	0	369	355	0
Nudt1	283.000000	3113	0	0	0	0	0	0	0	0	0	0	0
Rap2a	282.272727	802	233	359	0	0	0	145	0	1220	180	166	0
Ccdc107	281.909091	210	951	961	0	0	0	0	0	0	466	513	0
Icmt	281.545455	2859	238	0	0	0	0	0	0	0	0	0	0
Dbr1	280.818182	2162	251	419	0	0	0	0	0	0	113	144	0
Crtc1	280.636364	1921	524	0	0	0	0	0	0	119	229	294	0
Ankfy1	280.636364	3087	0	0	0	0	0	0	0	0	0	0	0
Sf3a2	280.363636	1759	475	449	0	0	0	0	0	0	207	194	0
Plekhj1	280.363636	1759	475	449	0	0	0	0	0	0	207	194	0
Fam76a	280.181818	2572	0	236	0	0	0	0	0	177	0	97	0
Kcnn1	279.454545	1630	383	495	0	0	0	128	0	259	0	179	0
Tex14	279.363636	210	597	652	0	0	0	0	0	902	351	361	0
Mcrs1	279.000000	679	769	693	0	0	0	0	0	0	516	412	0
Eapp	278.909091	155	525	602	0	0	0	0	0	911	418	457	0
Zfp655	278.818182	98	1016	1126	0	0	0	0	0	0	405	422	0
Tmem116	278.818182	2458	332	0	0	0	0	0	0	0	143	134	0
Erp29	278.818182	2458	332	0	0	0	0	0	0	0	143	134	0
Sdha	278.545455	887	737	698	0	0	0	0	0	0	285	457	0
Ccdc127	278.545455	887	737	698	0	0	0	0	0	0	285	457	0
Nptn	278.000000	3058	0	0	0	0	0	0	0	0	0	0	0
Txnl4a	277.818182	1843	404	193	0	0	0	0	0	0	296	320	0
Gm16286	277.818182	1843	404	193	0	0	0	0	0	0	296	320	0
Cabin1	277.272727	1451	495	569	0	0	0	0	0	0	292	243	0
Banp	277.090909	3048	0	0	0	0	0	0	0	0	0	0	0
Rpp38	276.909091	2140	206	352	0	0	0	0	0	0	138	210	0
Acbd7	276.909091	2140	206	352	0	0	0	0	0	0	138	210	0
Trappc2	275.000000	3025	0	0	0	0	0	0	0	0	0	0	0
Ofd1	275.000000	3025	0	0	0	0	0	0	0	0	0	0	0
Zmym6	274.545455	246	435	492	0	0	0	229	0	1146	224	248	0
Smim10l1	274.090909	1831	388	0	0	0	0	0	0	437	101	258	0
Cdk11b	273.545455	181	830	946	0	0	0	0	0	0	553	499	0
Rps28	273.272727	2295	192	361	0	0	0	0	0	0	0	158	0
Ndufa7	273.272727	2295	192	361	0	0	0	0	0	0	0	158	0
Srrm1	273.181818	1723	566	101	0	0	0	0	0	0	266	349	0
Ube2d3	273.090909	2856	0	0	0	0	0	0	0	148	0	0	0
Creld2	272.909091	3002	0	0	0	0	0	0	0	0	0	0	0
Alg12	272.909091	3002	0	0	0	0	0	0	0	0	0	0	0
Rbm26	272.545455	2479	149	239	0	0	0	0	0	0	0	131	0
2310033P09Rik	272.454545	1145	456	443	0	0	0	0	0	413	317	223	0
Yeats4	272.363636	1522	549	206	0	0	0	0	0	137	263	319	0
Exosc10	272.363636	2600	161	142	0	0	0	0	0	0	93	0	0
Prkrip1	271.909091	278	954	920	0	0	0	0	0	0	438	401	0
Mpp7	271.636364	1550	492	597	0	0	0	0	0	0	237	112	0
Glyctk	271.000000	0	1029	1034	0	0	0	0	0	0	392	526	0
Zfp91	270.363636	1993	231	381	0	0	0	0	79	150	0	140	0
Lpxn	270.363636	1993	231	381	0	0	0	0	79	150	0	140	0
Ttc14	269.727273	2102	262	331	0	0	0	0	0	0	126	146	0
Fadd	269.545455	2672	138	155	0	0	0	0	0	0	0	0	0
Thada	269.363636	1871	380	262	0	0	0	0	0	0	188	262	0
Man1b1	269.363636	1061	480	515	0	0	0	0	0	356	286	265	0
Il31ra	269.181818	0	342	253	0	133	0	0	337	794	430	672	0
Kin	268.181818	2019	323	258	0	0	0	0	0	0	130	220	0
Atp5c1	268.181818	2019	323	258	0	0	0	0	0	0	130	220	0
Polr2e	268.000000	2105	281	247	0	0	0	0	0	0	134	181	0
Arid4a	267.909091	1332	392	509	0	0	0	0	0	262	248	204	0
Sec23ip	267.181818	2369	217	212	0	0	0	0	0	0	0	141	0
Safb2	267.181818	1705	383	178	0	0	0	0	0	169	201	303	0
Safb	267.181818	1705	383	178	0	0	0	0	0	169	201	303	0
Mcmbp	267.181818	2369	217	212	0	0	0	0	0	0	0	141	0
Trap1	266.636364	295	582	719	0	0	0	0	0	711	268	358	0
Shprh	266.545455	1678	432	334	0	0	0	0	0	0	188	300	0
Utp15	266.181818	225	827	900	0	0	0	0	0	0	424	552	0
Ankra2	266.181818	225	827	900	0	0	0	0	0	0	424	552	0
Prdx1	266.000000	2435	176	138	0	0	0	0	0	0	0	177	0
Slc35b4	265.909091	1926	0	125	0	0	0	0	0	874	0	0	0
Eif3d	265.090909	99	884	933	0	0	0	0	0	0	504	496	0
Ska3	264.727273	2102	227	281	0	0	0	0	0	0	165	137	0
Mrpl57	264.727273	2102	227	281	0	0	0	0	0	0	165	137	0
Snrpg	264.363636	1633	356	455	0	0	0	0	0	0	248	216	0
4833439L19Rik	264.272727	2676	75	156	0	0	0	0	0	0	0	0	0
Yod1	264.181818	2409	0	0	0	0	0	0	0	497	0	0	0
Pfkfb2	264.181818	2409	0	0	0	0	0	0	0	497	0	0	0
Ercc6	264.000000	251	927	898	0	0	0	0	0	0	350	478	0
Kif5a	263.363636	2570	0	0	0	0	0	0	0	327	0	0	0
Dctn2	263.363636	2570	0	0	0	0	0	0	0	327	0	0	0
Zfp433	263.090909	470	703	934	0	0	0	0	0	0	394	393	0
Gm32687	263.090909	470	703	934	0	0	0	0	0	0	394	393	0
Gga1	262.727273	2081	322	170	0	0	0	0	0	0	168	149	0
Slc35b1	262.636364	343	798	940	0	0	0	0	0	0	405	403	0
Ostc	261.727273	550	697	764	0	0	0	0	0	0	429	439	0
Mfsd8	261.181818	2141	226	306	0	0	0	0	0	0	0	200	0
Abhd18	261.181818	2076	228	293	0	0	0	0	0	0	116	160	0
Tubgcp5	260.636364	2604	178	85	0	0	0	0	0	0	0	0	0
Spty2d1	260.545455	317	320	365	0	0	0	298	0	1214	197	155	0
Atp5g1	260.090909	1687	196	202	0	0	0	0	0	776	0	0	0
Cop1	259.454545	716	534	847	0	0	0	0	0	0	360	397	0
Pibf1	259.363636	2490	136	144	0	0	0	0	0	0	83	0	0
Dis3	259.363636	2490	136	144	0	0	0	0	0	0	83	0	0
Pigg	259.272727	78	637	1040	0	0	0	0	0	0	563	534	0
Thoc1	259.181818	293	742	915	0	0	0	0	0	0	400	501	0
Rps15a	258.818182	1789	246	404	0	0	0	0	0	0	223	185	0
Ehmt1	258.090909	2455	227	157	0	0	0	0	0	0	0	0	0
Egf	257.545455	357	864	843	0	0	0	0	0	0	359	410	0
Grb2	257.272727	2386	0	132	0	0	0	0	0	312	0	0	0
Tbl3	257.181818	0	811	1027	0	0	0	0	0	0	564	427	0
Tfip11	256.181818	256	696	802	0	0	0	0	0	0	449	615	0
Mbtps1	255.909091	2620	195	0	0	0	0	0	0	0	0	0	0
Akap1	255.909091	2201	286	0	0	0	0	0	0	239	0	89	0
Septin7	255.636364	2104	289	215	0	0	0	0	0	0	92	112	0
Csde1	255.636364	2106	234	284	0	0	0	0	0	0	0	188	0
Lsm8	254.909091	1918	308	347	0	0	0	0	0	231	0	0	0
Elp6	254.909091	431	726	837	0	0	0	0	0	0	343	467	0
Hspa12a	254.727273	1360	430	549	0	0	0	0	0	0	244	219	0
Eno4	254.727273	1360	430	549	0	0	0	0	0	0	244	219	0
Faf1	253.818182	309	637	460	0	0	0	247	0	573	263	303	0
Tmem250-ps	253.727273	914	604	365	0	0	0	0	0	0	413	495	0
Naa25	253.454545	2273	177	191	0	0	0	0	0	0	147	0	0
Golm2	253.363636	2787	0	0	0	0	0	0	0	0	0	0	0
Pcgf1	253.272727	1200	519	484	0	0	0	0	0	0	297	286	0
Cd2bp2	253.000000	1670	292	386	0	0	0	129	0	0	131	175	0
Srsf10	252.727273	2780	0	0	0	0	0	0	0	0	0	0	0
Exo5	252.000000	2139	0	0	0	0	0	195	0	438	0	0	0
Slc39a7	251.818182	2212	212	214	0	0	0	0	0	0	0	132	0
Rxrb	251.818182	2212	212	214	0	0	0	0	0	0	0	132	0
H2-Ke6	251.818182	2212	212	214	0	0	0	0	0	0	0	132	0
Unkl	251.636364	236	730	961	0	0	0	0	0	0	422	419	0
Vars2	251.000000	911	384	558	0	0	0	77	0	526	127	178	0
Phf5a	251.000000	1803	259	340	0	0	0	0	0	0	126	233	0
Aco2	251.000000	1803	259	340	0	0	0	0	0	0	126	233	0
Nup133	250.727273	288	775	760	0	0	0	0	0	0	433	502	0
Tspyl1	250.454545	2444	114	197	0	0	0	0	0	0	0	0	0
Kat7	249.818182	275	344	431	0	0	0	199	0	1106	206	187	0
Tti1	249.727273	197	646	748	0	0	0	0	0	133	445	578	0
Rps2	249.727273	1710	228	341	0	0	0	0	0	145	124	199	0
Rprd1b	249.727273	197	646	748	0	0	0	0	0	133	445	578	0
Rnf151	249.727273	1710	228	341	0	0	0	0	0	145	124	199	0
Ndufb10	249.727273	1710	228	341	0	0	0	0	0	145	124	199	0
Lsm14a	249.363636	2298	0	170	0	0	0	0	0	275	0	0	0
Nudt15	249.272727	179	788	1016	0	0	0	0	0	0	399	360	0
Rnf20	249.181818	127	843	1012	0	0	0	0	0	0	310	449	0
Rps3a1	248.909091	2424	133	181	0	0	0	0	0	0	0	0	0
Anapc15	248.727273	110	825	906	0	0	0	0	0	0	384	511	0
Shcbp1l	248.454545	246	0	0	0	0	0	348	0	2139	0	0	0
Nudt2	248.272727	2731	0	0	0	0	0	0	0	0	0	0	0
Kif24	248.272727	2731	0	0	0	0	0	0	0	0	0	0	0
Lamtor3	248.181818	926	488	704	0	0	0	0	0	0	307	305	0
Eif3a	247.818182	481	710	378	0	0	0	0	0	435	266	456	0
Eef1akmt1	247.454545	353	207	237	0	0	0	158	0	1445	189	133	0
Nadk	247.363636	1652	419	0	0	0	0	0	0	105	243	302	0
BC003965	247.363636	189	730	961	0	0	0	0	0	0	422	419	0
Glce	247.090909	1989	134	120	0	0	0	0	0	475	0	0	0
Ttll5	246.727273	332	726	686	0	0	0	0	0	142	424	404	0
Erg28	246.727273	332	726	686	0	0	0	0	0	142	424	404	0
Spag1	246.636364	97	954	968	0	0	0	0	0	0	260	434	0
Polr2k	246.636364	97	954	968	0	0	0	0	0	0	260	434	0
Saysd1	246.363636	1311	432	355	0	0	0	0	0	0	364	248	0
Coq9	245.909091	2398	108	0	0	0	0	0	0	199	0	0	0
Ciapin1	245.909091	2398	108	0	0	0	0	0	0	199	0	0	0
Rgl1	245.545455	1183	213	0	0	0	0	332	0	973	0	0	0
Arpc5	245.545455	1183	213	0	0	0	0	332	0	973	0	0	0
Dynlt1b	245.090909	375	256	272	0	0	0	208	0	1585	0	0	0
Dnajc27	245.000000	2097	325	0	0	0	0	0	0	0	169	104	0
Gm3448	244.909091	252	866	673	0	0	0	0	0	0	454	449	0
Gm3417	244.909091	252	866	673	0	0	0	0	0	0	454	449	0
Ptpn4	244.818182	2693	0	0	0	0	0	0	0	0	0	0	0
Tcte3	244.363636	252	866	673	0	0	0	0	0	0	448	449	0
Fam122a	243.818182	776	885	0	0	0	0	0	0	0	437	584	0
Nop58	243.181818	1326	320	532	0	0	0	0	0	0	254	243	0
Wdr45b	242.727273	186	709	706	0	0	0	0	0	228	484	357	0
Pcnt	242.727273	2366	129	175	0	0	0	0	0	0	0	0	0
Ddx49	241.818182	0	772	916	0	0	0	0	0	0	566	406	0
Cope	241.818182	0	772	916	0	0	0	0	0	0	566	406	0
Ggnbp2	241.727273	2659	0	0	0	0	0	0	0	0	0	0	0
Gm3435	241.636364	252	866	673	0	0	0	0	0	0	437	430	0
Marchf7	241.545455	2657	0	0	0	0	0	0	0	0	0	0	0
Shank1	241.363636	2503	0	0	0	0	0	152	0	0	0	0	0
Oxnad1	241.000000	166	603	841	0	0	0	0	0	140	438	463	0
Dph3	241.000000	166	603	841	0	0	0	0	0	140	438	463	0
Gtf2h3	240.727273	127	576	702	0	0	0	168	0	107	467	501	0
Eif2b1	240.727273	127	576	702	0	0	0	168	0	107	467	501	0
Cwf19l1	240.727273	0	809	887	0	0	0	0	0	0	454	498	0
Stx12	240.363636	987	534	500	0	0	0	0	0	0	257	366	0
Tmco3	240.272727	721	564	623	0	0	0	0	0	0	325	410	0
Dcun1d2	240.272727	721	564	623	0	0	0	0	0	0	325	410	0
Gtpbp10	240.090909	0	765	927	0	0	0	0	0	0	468	481	0
Csnk1g2	239.909091	117	356	512	0	0	0	0	0	1090	266	298	0
Cct8	239.818182	2127	160	218	0	0	0	0	0	0	133	0	0
Usp53	239.545455	2188	163	0	0	0	0	0	0	284	0	0	0
Ankrd13c	239.545455	1330	401	459	0	0	0	0	0	0	146	299	0
Kazald1	239.363636	2313	0	167	0	0	0	0	0	0	0	153	0
Mob1a	239.272727	2498	0	134	0	0	0	0	0	0	0	0	0
Arntl	238.818182	1378	352	474	0	0	0	0	0	0	248	175	0
