Target_genes	Mafg|Average	SRX5664988|Astrocytes	SRX5664989|Astrocytes	SRX5664990|Astrocytes	SRX5664991|Astrocytes	SRX5664992|Astrocytes	SRX5664993|Astrocytes	SRX13135334|MEF	SRX13135335|MEF	SRX13135337|MEF	SRX13135338|MEF	SRX6451575|MEF	SRX6451576|MEF	STRING
Dipk2a	176.000000	0	0	0	0	0	0	0	388	244	712	314	454	0
Gstp2	175.916667	0	0	0	0	0	0	0	328	167	787	133	696	0
Rab18	174.333333	0	0	0	0	0	0	0	594	291	750	98	359	0
Prdx1	172.750000	0	0	0	0	0	0	0	299	441	719	190	424	0
Msantd3	170.500000	0	0	0	0	0	0	0	596	270	793	0	387	0
Dynlt1f	169.416667	0	0	0	0	0	0	0	537	296	907	0	293	0
Dynlt1c	169.416667	0	0	0	0	0	0	0	537	296	907	0	293	0
Tfe3	166.666667	0	0	0	0	0	0	0	311	344	717	88	540	0
Lexm	162.833333	0	0	0	0	0	0	0	276	144	746	0	788	0
H2-T10	159.000000	0	0	0	0	0	0	0	396	168	816	0	528	0
Abca8b	154.500000	0	0	0	0	0	0	0	443	178	803	0	430	0
Tanc1	149.416667	0	0	0	0	0	0	0	324	332	587	117	433	0
Trim80	147.250000	0	0	0	0	0	0	0	482	144	678	0	463	0
Nqo1	146.083333	0	0	0	0	0	0	0	285	149	726	0	593	0
Msh6	145.583333	0	0	0	0	0	0	0	449	204	699	0	395	0
Itpripl2	145.083333	0	0	0	0	0	0	0	539	143	753	0	306	0
Gm7030	145.000000	0	0	0	0	0	0	0	396	0	816	0	528	0
Mcoln2	139.916667	0	0	0	0	0	0	0	415	205	724	0	335	0
Sqstm1	138.750000	0	0	0	0	0	0	0	221	222	648	0	574	0
Mafg	135.916667	0	0	0	0	0	0	173	142	81	306	443	486	0
Oasl1	135.166667	0	0	0	0	0	0	320	224	304	323	256	195	0
Psmd5	134.500000	0	0	0	0	0	0	0	492	96	707	0	319	0
Cutal	134.500000	0	0	0	0	0	0	0	492	96	707	0	319	0
Olfr1359	133.666667	0	0	0	0	0	0	0	568	226	647	0	163	0
Ogdh	133.666667	0	0	0	0	0	0	0	564	0	888	0	152	0
Txn1	131.833333	0	0	0	0	0	0	0	111	182	526	132	631	0
Psmg2	130.750000	0	0	0	0	0	0	0	469	248	541	0	311	0
Cep76	130.750000	0	0	0	0	0	0	0	469	248	541	0	311	0
Atf1	129.916667	0	0	0	0	0	0	0	166	326	672	0	395	0
Gstm4	125.166667	0	0	0	0	0	0	0	458	0	776	0	268	0
Xbp1	124.916667	0	153	182	323	594	247	0	0	0	0	0	0	0
Aox1	124.750000	0	0	0	0	0	0	0	245	244	688	0	320	0
Ly6a	124.666667	0	0	0	0	0	0	0	317	88	598	0	493	0
Txnrd1	124.583333	0	0	0	0	0	0	0	279	144	503	0	569	0
Folr2	124.416667	0	0	0	0	0	0	0	515	178	681	0	119	0
Gclm	123.583333	0	0	0	0	0	0	0	276	183	518	0	506	0
Adam10	120.166667	0	0	0	0	0	0	0	554	176	543	0	169	0
Tnpo2	119.416667	0	0	0	0	0	0	0	438	182	707	0	106	0
Sod1	118.500000	0	0	0	0	0	0	0	166	144	860	0	252	0
Nup93	118.166667	0	0	0	0	0	0	0	226	208	579	0	405	0
Bet1	114.916667	0	0	0	0	0	0	0	231	0	589	0	559	0
Tll1	113.916667	0	0	0	0	0	0	0	357	122	685	0	203	0
Sertad2	113.833333	0	0	0	0	0	0	0	487	0	707	0	172	0
Ring1	112.583333	0	0	0	0	0	0	0	495	107	749	0	0	0
Gm11213	112.416667	175	168	189	0	154	202	257	0	0	0	204	0	0
Bnipl	111.083333	0	0	0	0	0	0	0	219	319	520	0	275	0
Clpx	111.000000	0	0	0	0	0	0	0	444	0	782	0	106	0
Sirt7	110.250000	0	0	0	0	0	0	173	142	81	147	443	337	0
Chpf2	107.250000	0	0	0	0	0	0	0	244	106	751	0	186	0
Kansl2	106.416667	0	0	0	0	0	0	0	230	144	715	0	188	0
Psmd7	104.166667	0	0	0	0	0	0	0	122	273	855	0	0	0
Pgd	103.500000	0	0	0	0	0	0	0	0	144	429	0	669	0
Chchd3	103.166667	0	0	0	0	0	0	0	415	98	725	0	0	0
Csnk2a1	102.833333	0	0	0	0	0	0	0	271	122	607	0	234	0
Fgfbp1	102.583333	0	0	0	0	0	0	0	323	144	623	0	141	0
Gpi1	101.583333	0	0	0	0	0	0	0	136	232	518	0	333	0
Srpk2	98.750000	0	0	0	0	0	0	0	472	101	612	0	0	0
Nfe2l1	98.083333	0	0	0	0	0	0	136	443	168	430	0	0	0
Ecpas	97.833333	0	0	0	0	0	0	0	276	156	381	0	361	0
Pus10	97.000000	0	0	0	0	0	0	0	212	150	612	0	190	0
Arpc1a	96.083333	0	0	0	0	0	0	0	360	226	567	0	0	0
Gm4981	94.750000	0	127	0	0	0	0	277	166	111	244	0	212	0
Me1	94.083333	0	0	0	0	0	0	0	172	213	503	0	241	0
Vcp	91.333333	0	0	0	0	0	0	0	110	164	822	0	0	0
9230019H11Rik	91.000000	222	177	159	211	156	167	0	0	0	0	0	0	0
Mt3	90.333333	0	0	0	0	0	0	0	286	0	459	0	339	0
Nup153	90.166667	0	0	0	0	0	0	0	471	0	611	0	0	0
Csf3	90.166667	0	0	0	0	0	0	0	0	0	0	468	614	0
Prdx6	89.500000	0	0	0	0	0	0	0	241	182	314	0	337	0
Mmadhc	87.083333	0	0	0	0	0	0	0	491	168	386	0	0	0
Htatip2	86.833333	0	0	0	0	0	0	0	192	0	570	0	280	0
Tmem134	85.083333	0	0	0	0	0	0	0	271	0	577	0	173	0
Aip	85.083333	0	0	0	0	0	0	0	271	0	577	0	173	0
Psmd1	84.666667	0	0	0	0	0	0	0	130	145	741	0	0	0
Abcf3	84.500000	0	0	0	0	0	0	0	241	106	525	0	142	0
Numa1	84.250000	0	0	0	0	0	0	0	225	77	556	0	153	0
Ch25h	84.166667	0	0	0	0	0	0	0	243	0	582	0	185	0
Abcb6	83.916667	0	0	0	0	0	0	0	299	111	424	0	173	0
Fbxo28	83.583333	0	0	0	0	0	0	0	241	0	589	0	173	0
Setd1b	82.583333	0	0	0	0	0	0	0	0	225	513	0	253	0
Gpx6	82.166667	0	0	0	0	0	0	0	384	0	602	0	0	0
Gstm6	81.000000	0	0	0	0	0	0	0	0	166	483	0	323	0
Gstm3	80.416667	0	0	0	0	0	0	0	299	122	404	0	140	0
Dynlt1a	80.250000	0	0	0	0	0	0	0	296	0	419	0	248	0
Slc14a2	78.833333	0	0	0	0	0	0	0	241	0	562	0	143	0
Arih2	78.500000	0	0	0	0	0	0	0	338	133	471	0	0	0
Marchf7	78.166667	0	0	0	0	0	0	0	198	119	478	0	143	0
Pkm	77.333333	0	0	0	0	0	0	0	243	120	435	0	130	0
Ppard	77.250000	0	0	0	0	0	0	0	0	0	364	0	563	0
AI413582	77.083333	0	0	0	0	0	0	0	156	0	502	0	267	0
Adrm1	76.166667	0	0	0	0	0	0	0	142	155	617	0	0	0
Rph3a	73.916667	0	0	0	0	0	0	0	390	0	497	0	0	0
Gsta4	73.083333	0	0	0	0	0	0	0	204	0	486	0	187	0
Frs2	71.500000	0	0	0	0	0	0	0	231	0	448	0	179	0
Srxn1	71.416667	0	0	0	0	0	0	0	0	0	466	0	391	0
Srprb	71.416667	0	0	0	0	0	0	0	395	0	462	0	0	0
Ptges3	71.333333	0	0	0	0	0	0	0	187	122	407	0	140	0
Srrt	71.166667	0	0	0	0	0	0	0	288	0	566	0	0	0
Lrrfip2	70.833333	0	0	0	0	0	0	0	136	89	491	0	134	0
Pxt1	70.416667	0	0	0	0	0	0	0	337	0	508	0	0	0
Shroom3	70.333333	0	0	0	0	0	0	0	398	0	324	0	122	0
Mtf2	70.000000	0	0	0	0	0	0	0	181	90	425	0	144	0
Dhx35	69.416667	0	0	0	0	0	0	0	305	0	528	0	0	0
Dync1h1	68.500000	0	0	0	0	0	0	0	287	145	390	0	0	0
Slc3a2	67.666667	0	0	0	0	0	0	0	146	0	495	0	171	0
Sfxn4	65.750000	0	0	0	0	0	0	0	335	0	454	0	0	0
Taf1a	65.666667	0	0	0	0	0	0	0	348	0	440	0	0	0
Fam111a	65.250000	0	0	0	0	0	0	0	232	0	551	0	0	0
Abhd2	63.750000	0	0	0	0	0	0	0	287	0	297	0	181	0
Cxcl2	63.583333	0	0	0	0	0	0	0	338	0	425	0	0	0
Ccl24	63.083333	0	0	0	0	0	0	0	253	0	504	0	0	0
Xkr8	63.000000	0	0	0	0	0	0	0	299	0	457	0	0	0
Maz	62.583333	0	0	0	0	0	0	0	262	0	327	0	162	0
Fam13a	62.250000	0	0	0	0	0	0	0	313	0	434	0	0	0
Esd	62.083333	0	0	0	0	0	0	0	0	0	207	0	538	0
Cst6	61.500000	0	0	0	0	0	0	0	132	0	371	0	235	0
Lrp8	59.916667	0	0	0	0	0	0	0	0	111	468	0	140	0
Becn1	59.833333	0	0	0	0	0	0	0	299	0	419	0	0	0
Trim25	59.583333	0	0	0	0	0	0	0	253	116	346	0	0	0
Ube4a	59.000000	0	0	0	0	0	0	0	257	0	451	0	0	0
Vstm4	58.333333	0	0	0	0	0	0	0	0	0	320	0	380	0
Cyb5a	58.333333	0	0	0	0	0	0	0	105	0	321	0	274	0
Tspo	57.916667	0	0	0	0	0	0	0	422	0	273	0	0	0
Sspn	56.916667	0	0	0	0	0	0	0	0	290	176	0	217	0
Olfr955	56.583333	0	0	0	0	0	0	0	354	0	325	0	0	0
Fmn1	56.166667	0	0	0	0	0	0	0	0	115	274	0	285	0
Zfp689	55.666667	0	0	0	0	0	0	0	176	0	492	0	0	0
Upf3a	55.500000	0	0	0	0	0	0	0	288	0	378	0	0	0
Olfr314	55.500000	0	0	0	0	0	0	0	287	0	379	0	0	0
Gsr	55.250000	0	0	0	0	0	0	0	0	0	319	0	344	0
Snrnp70	55.083333	0	0	0	0	0	0	0	230	0	431	0	0	0
Zfp36	54.500000	0	0	0	0	0	0	0	176	0	363	0	115	0
Mest	54.166667	0	0	0	0	0	0	0	0	122	396	0	132	0
Rnf223	53.916667	0	0	0	0	0	0	0	176	0	471	0	0	0
Uba52	53.833333	0	0	0	0	0	0	0	0	0	646	0	0	0
Rex1bd	53.833333	0	0	0	0	0	0	0	0	0	646	0	0	0
Psma3	53.750000	0	0	0	0	0	0	0	108	0	537	0	0	0
Keap1	53.750000	0	0	0	0	0	0	0	0	0	454	0	191	0
Mrvi1	53.666667	0	0	0	0	0	0	0	126	0	518	0	0	0
Hsp90ab1	53.416667	0	0	0	0	0	0	0	136	153	352	0	0	0
Gzmm	53.333333	0	0	0	0	0	0	0	166	0	474	0	0	0
Cdc34	53.333333	0	0	0	0	0	0	0	166	0	474	0	0	0
Renbp	52.833333	0	0	0	0	0	0	0	166	0	468	0	0	0
Zfp382	52.333333	0	0	0	0	0	0	0	241	0	387	0	0	0
Psmd11	50.750000	0	0	0	0	0	0	0	238	0	371	0	0	0
Psma2	50.333333	0	0	0	0	0	0	0	0	115	489	0	0	0
Mrpl32	50.333333	0	0	0	0	0	0	0	0	115	489	0	0	0
Olfr545	49.750000	0	0	0	0	0	0	0	253	0	344	0	0	0
Alg13	49.750000	0	0	0	0	0	0	0	187	0	410	0	0	0
Agl	49.666667	0	0	0	0	0	0	0	187	0	409	0	0	0
Zfp566	49.583333	0	0	0	0	0	0	0	219	0	376	0	0	0
Zfp260	49.583333	0	0	0	0	0	0	0	219	0	376	0	0	0
Ifi204	49.500000	0	0	0	0	0	0	0	176	0	418	0	0	0
Rusc2	49.166667	0	0	0	0	0	0	0	248	0	342	0	0	0
Csf2ra	48.750000	0	0	0	0	0	0	220	166	0	0	0	199	0
Trmt13	48.666667	0	0	0	0	0	0	0	219	0	365	0	0	0
Slc22a12	48.500000	0	0	0	0	0	0	0	0	0	219	0	363	0
Tmtc1	48.250000	0	0	0	0	0	0	0	372	0	207	0	0	0
Gm3776	47.500000	0	0	0	0	0	0	0	113	0	293	0	164	0
H2-T9	47.083333	0	0	0	0	0	0	0	109	0	292	0	164	0
H2-T22	47.083333	0	0	0	0	0	0	0	109	0	292	0	164	0
Gm6034	47.083333	0	0	0	0	0	0	0	109	0	292	0	164	0
Gm2a	46.833333	0	0	0	0	0	0	0	230	0	332	0	0	0
Cox20	46.833333	0	0	0	0	0	0	0	0	176	386	0	0	0
Mmp19	46.750000	0	0	0	0	0	0	0	241	0	320	0	0	0
Fam47e	46.500000	0	0	0	0	0	0	0	323	0	235	0	0	0
Inka1	46.416667	0	0	0	0	0	0	0	136	0	248	0	173	0
Cdhr4	46.416667	0	0	0	0	0	0	0	136	0	248	0	173	0
Snrpc	46.250000	0	0	0	0	0	0	0	146	0	409	0	0	0
Focad	46.166667	0	0	0	0	0	0	0	189	0	365	0	0	0
Slc25a48	45.750000	0	0	0	0	0	0	0	287	0	262	0	0	0
Agfg1	45.500000	0	0	0	0	0	0	0	0	0	269	0	277	0
Spata45	44.916667	0	0	0	0	0	0	0	145	0	394	0	0	0
Sord	44.833333	0	0	0	0	0	0	0	176	0	362	0	0	0
Arhgef12	44.833333	0	0	0	0	0	0	0	166	0	372	0	0	0
Bach1	44.750000	0	0	0	0	0	0	0	241	0	296	0	0	0
Fzd2	44.416667	0	0	0	0	0	0	0	198	0	335	0	0	0
Gsta1	44.333333	0	0	0	0	0	0	0	117	0	285	0	130	0
H6pd	44.166667	0	0	0	0	0	0	0	0	0	336	0	194	0
Birc2	44.083333	0	0	0	0	0	0	0	211	0	318	0	0	0
Setd1a	43.750000	0	0	0	0	0	0	0	156	149	220	0	0	0
Krtap21-1	43.750000	0	0	0	0	0	0	0	276	0	249	0	0	0
Tomm5	43.500000	0	0	0	0	0	0	0	205	0	317	0	0	0
Psme4	43.166667	0	0	0	0	0	0	0	146	0	372	0	0	0
Olfr952	43.166667	0	0	0	0	0	0	0	209	0	309	0	0	0
Ap1g1	42.750000	0	0	0	0	0	0	0	0	0	513	0	0	0
Agrp	42.666667	0	0	0	0	0	0	0	163	0	349	0	0	0
Gsn	42.583333	0	0	0	0	0	0	0	123	0	264	0	124	0
Clip1	42.583333	0	0	0	0	0	0	0	99	0	412	0	0	0
Numbl	42.250000	0	0	0	0	0	0	0	0	0	345	0	162	0
Fosl1	42.250000	0	0	0	0	0	0	0	136	0	371	0	0	0
Tlr9	42.000000	0	0	0	0	0	0	0	208	0	296	0	0	0
Tmem209	41.250000	0	0	0	0	0	0	0	100	96	299	0	0	0
Ssmem1	41.250000	0	0	0	0	0	0	0	100	96	299	0	0	0
Olfr25	41.166667	0	0	0	0	0	0	0	303	0	191	0	0	0
Notch3	41.166667	0	0	0	0	0	0	0	0	0	276	0	218	0
Ift46	41.166667	0	0	0	0	0	0	0	202	0	292	0	0	0
Fam219a	41.166667	0	0	0	0	0	0	0	229	0	265	0	0	0
Dnaic1	41.166667	0	0	0	0	0	0	0	229	0	265	0	0	0
Arcn1	41.166667	0	0	0	0	0	0	0	202	0	292	0	0	0
Spats2	40.833333	0	0	0	0	0	0	0	156	0	334	0	0	0
Snrpg	40.166667	0	0	0	0	0	0	0	0	0	482	0	0	0
Ikbkg	40.166667	0	0	0	0	0	0	0	0	0	150	0	332	0
G6pdx	40.166667	0	0	0	0	0	0	0	0	0	150	0	332	0
Fam136a	40.166667	0	0	0	0	0	0	0	0	0	482	0	0	0
Amn1	40.083333	0	0	0	0	0	0	0	0	0	309	0	172	0
Tsen2	39.750000	0	0	0	0	0	0	0	235	0	242	0	0	0
Mtus2	39.166667	0	0	0	0	0	0	0	122	0	348	0	0	0
Rab14	39.083333	0	0	0	0	0	0	0	151	0	318	0	0	0
Plaur	38.666667	0	0	0	0	0	0	0	0	0	255	0	209	0
Cxcl10	38.666667	0	0	0	0	0	0	0	167	0	297	0	0	0
Dzip1l	38.333333	0	0	0	0	0	0	0	149	0	311	0	0	0
Tmem174	38.166667	0	0	0	0	0	0	0	89	0	369	0	0	0
Birc6	38.166667	0	0	0	0	0	0	0	173	0	285	0	0	0
Lypd11	38.083333	0	0	0	0	0	0	251	0	0	0	0	206	0
Zfp446	37.583333	0	0	0	0	0	0	0	166	0	285	0	0	0
Batf2	37.416667	0	0	0	0	0	0	0	197	0	252	0	0	0
Gtf2a2	36.916667	0	0	0	0	0	0	0	150	0	293	0	0	0
Treml4	36.833333	0	0	0	0	0	0	0	215	0	227	0	0	0
Acyp2	36.666667	0	0	0	0	0	0	0	0	0	355	0	85	0
Tnfrsf1a	36.583333	0	0	0	0	0	0	0	98	0	341	0	0	0
Tctn2	36.250000	0	0	0	0	0	0	0	167	0	268	0	0	0
Flvcr1	36.250000	0	0	0	0	0	0	0	122	0	313	0	0	0
Cemip	36.083333	0	0	0	0	0	0	0	0	0	244	0	189	0
Zfp703	36.000000	0	0	0	0	0	0	0	156	0	276	0	0	0
Ermp1	35.916667	0	0	0	0	0	0	0	240	0	191	0	0	0
Smim40	35.750000	0	0	0	0	0	0	0	230	0	199	0	0	0
Il6	35.666667	0	0	0	0	0	0	0	172	0	256	0	0	0
Gm13286	35.583333	0	0	0	0	0	0	184	0	0	0	0	243	0
Gm13283	35.583333	0	0	0	0	0	0	184	0	0	0	0	243	0
Gm13271	35.583333	0	0	0	0	0	0	184	0	0	0	0	243	0
Prss57	35.166667	0	0	0	0	0	0	0	191	0	231	0	0	0
Sh3rf2	35.083333	0	0	0	0	0	0	0	126	0	295	0	0	0
Ubap1	35.000000	0	0	0	0	0	0	0	158	0	262	0	0	0
Pola2	35.000000	0	0	0	0	0	0	0	150	0	270	0	0	0
Nudt13	35.000000	0	0	0	0	0	0	0	108	0	312	0	0	0
Tctex1d4	34.750000	0	0	0	0	0	0	0	0	0	417	0	0	0
Btbd19	34.750000	0	0	0	0	0	0	0	0	0	417	0	0	0
Gm10354	34.666667	0	0	0	0	0	0	176	0	154	0	86	0	0
Steap2	34.583333	0	0	0	0	0	0	0	235	0	180	0	0	0
Psmd4	34.333333	0	0	0	0	0	0	0	0	0	412	0	0	0
Slc46a3	34.250000	0	0	0	0	0	0	0	166	0	245	0	0	0
Plk3	33.916667	0	0	0	0	0	0	0	156	0	251	0	0	0
Pdhb	33.916667	0	0	0	0	0	0	0	0	0	407	0	0	0
Snx15	33.750000	0	0	0	0	0	0	0	158	0	247	0	0	0
Rasgef1b	33.750000	0	0	0	0	0	0	0	178	0	227	0	0	0
Pick1	33.750000	0	0	0	0	0	0	0	0	0	176	0	229	0
Tmem243	33.250000	0	0	0	0	0	0	0	166	0	233	0	0	0
Sdr16c6	33.000000	0	0	0	0	0	0	0	150	0	246	0	0	0
Srgn	32.833333	0	0	0	0	0	0	0	173	0	221	0	0	0
Igdcc4	32.833333	0	0	0	0	0	0	0	187	0	207	0	0	0
Prmt7	32.500000	0	0	0	0	0	0	0	140	0	250	0	0	0
Cd151	32.500000	0	0	0	0	0	0	0	0	0	250	0	140	0
Elmo3	32.416667	0	0	0	0	0	0	0	0	0	389	0	0	0
Nsfl1c	32.333333	0	0	0	0	0	0	0	0	0	388	0	0	0
Zfand5	32.250000	0	0	0	0	0	0	0	0	0	387	0	0	0
Aspg	32.083333	0	0	0	0	0	0	0	89	0	296	0	0	0
Prr7	31.916667	0	0	0	0	0	0	0	0	0	176	0	207	0
Arhgef4	31.833333	0	0	0	0	0	0	0	136	0	246	0	0	0
Slco2a1	31.750000	0	0	0	0	0	0	0	204	0	177	0	0	0
Abcc4	31.666667	0	0	0	0	0	0	0	108	0	272	0	0	0
Rrm2	31.583333	0	0	0	0	0	0	0	146	0	233	0	0	0
Msrb2	31.583333	0	0	0	0	0	0	0	253	0	126	0	0	0
Cbr3	31.500000	0	0	0	0	0	0	0	0	0	199	0	179	0
Cdc45	31.333333	0	0	0	0	0	0	0	0	0	376	0	0	0
Ggnbp2	31.250000	0	0	0	0	0	0	0	189	0	186	0	0	0
Olfr150	31.166667	0	0	0	0	0	0	0	192	0	182	0	0	0
Bnip3	31.166667	0	0	0	0	0	0	0	156	0	218	0	0	0
Sptbn4	31.083333	0	0	0	0	0	0	0	136	0	237	0	0	0
Tedc2	30.916667	0	0	0	0	0	0	0	0	0	220	0	151	0
Mocos	30.833333	0	0	0	0	0	0	0	166	0	204	0	0	0
Cpsf6	30.833333	0	0	0	0	0	0	0	149	0	221	0	0	0
Tmem33	30.666667	0	0	0	0	0	0	0	0	0	255	0	113	0
Ppip5k2	30.583333	0	0	0	0	0	0	0	0	0	367	0	0	0
Gin1	30.583333	0	0	0	0	0	0	0	0	0	367	0	0	0
Sema5b	30.416667	0	0	0	0	0	0	0	142	0	223	0	0	0
Zc3h15	30.333333	0	0	0	0	0	0	0	146	0	218	0	0	0
Ulk1	30.083333	0	0	0	0	0	0	0	0	0	361	0	0	0
Abcd4	29.833333	0	0	0	0	0	0	0	156	0	202	0	0	0
Trim12a	29.666667	0	0	0	0	0	0	0	0	0	356	0	0	0
Zfp791	29.500000	0	0	0	0	0	0	0	186	0	168	0	0	0
Mthfd1l	29.500000	0	0	0	0	0	0	0	161	0	193	0	0	0
Fbrsl1	29.250000	0	0	0	0	0	0	0	138	0	213	0	0	0
Sel1l	29.166667	0	0	0	0	0	0	0	0	0	350	0	0	0
Prr13	29.166667	0	0	0	0	0	0	0	0	0	350	0	0	0
Psmd3	29.083333	0	0	0	0	0	0	0	0	0	349	0	0	0
D630003M21Rik	29.083333	0	0	0	0	0	0	0	0	0	349	0	0	0
Tkfc	28.750000	0	0	0	0	0	0	0	158	0	187	0	0	0
Cyp2t4	28.500000	0	0	0	0	0	0	0	146	0	196	0	0	0
Dync2h1	28.333333	0	0	0	0	0	0	0	145	0	195	0	0	0
Dcun1d5	28.333333	0	0	0	0	0	0	0	145	0	195	0	0	0
Dpf2	28.250000	0	0	0	0	0	0	0	0	0	339	0	0	0
Lrguk	27.833333	0	0	0	0	0	0	0	108	0	226	0	0	0
Gpc6	27.833333	0	0	0	0	0	0	0	208	0	126	0	0	0
Abcc1	27.833333	0	0	0	0	0	0	0	208	0	126	0	0	0
Psma5	27.750000	0	0	0	0	0	0	0	0	0	333	0	0	0
Psma1	27.666667	0	0	0	0	0	0	0	0	0	332	0	0	0
Psmd6	27.583333	0	0	0	0	0	0	0	0	0	331	0	0	0
Usp14	27.416667	0	0	0	0	0	0	0	0	64	265	0	0	0
Rheb	27.083333	0	0	0	0	0	0	0	0	0	325	0	0	0
Zc3h4	26.916667	0	0	0	0	0	0	0	0	0	323	0	0	0
Klra10	26.916667	0	0	0	0	0	0	131	101	0	91	0	0	0
Atp5o	26.750000	0	0	0	0	0	0	0	0	0	321	0	0	0
Clcf1	26.583333	0	0	0	0	0	0	0	0	0	319	0	0	0
Psmb7	26.500000	0	0	0	0	0	0	0	0	0	318	0	0	0
Srp19	26.416667	0	0	0	0	0	0	0	0	0	317	0	0	0
Zwint	26.000000	0	0	0	0	0	0	0	129	0	183	0	0	0
Snap29	26.000000	0	0	0	0	0	0	0	136	0	176	0	0	0
Psmd14	26.000000	0	0	0	0	0	0	0	0	0	312	0	0	0
Pi4ka	26.000000	0	0	0	0	0	0	0	136	0	176	0	0	0
Ifnz	25.916667	0	0	0	0	0	0	0	136	175	0	0	0	0
Gm13290	25.916667	0	0	0	0	0	0	0	136	175	0	0	0	0
Gm13289	25.916667	0	0	0	0	0	0	0	136	175	0	0	0	0
Gm13285	25.916667	0	0	0	0	0	0	0	136	175	0	0	0	0
Gm13276	25.916667	0	0	0	0	0	0	0	136	175	0	0	0	0
Gm13272	25.916667	0	0	0	0	0	0	0	136	175	0	0	0	0
Ggt1	25.916667	0	0	0	0	0	0	0	156	0	155	0	0	0
Plaa	25.750000	0	0	0	0	0	0	0	0	0	309	0	0	0
Cebpb	25.750000	0	0	0	0	0	0	0	0	0	309	0	0	0
Ubxn4	25.666667	0	0	0	0	0	0	0	0	0	308	0	0	0
C77080	25.666667	0	0	0	0	0	0	0	0	0	308	0	0	0
Tmigd1	25.583333	0	0	0	0	0	0	0	136	0	171	0	0	0
Mdn1	25.583333	0	0	0	0	0	0	0	0	0	307	0	0	0
Kcnmb4	25.583333	0	0	0	0	0	0	0	153	0	154	0	0	0
Notch1	25.500000	0	0	0	0	0	0	0	0	0	306	0	0	0
Dst	25.250000	0	0	0	0	0	0	0	0	0	303	0	0	0
Bend6	25.250000	0	0	0	0	0	0	0	0	0	303	0	0	0
Tspan10	24.833333	0	0	0	0	0	0	0	0	0	298	0	0	0
Nploc4	24.833333	0	0	0	0	0	0	0	0	0	298	0	0	0
Wdr91	24.500000	0	0	0	0	0	0	0	117	0	177	0	0	0
