Target_genes	Klf1|Average	SRX2530433|Embryonic_liver	STRING
Arl4a	402.000000	402	0
Oaf	399.000000	399	0
Cd2bp2	385.000000	385	0
Upf1	378.000000	378	0
Metap1	378.000000	378	0
Adh5	378.000000	378	0
Tmem123	376.000000	376	0
Tuba1c	374.000000	374	0
Usp31	367.000000	367	0
Tsga10	361.000000	361	0
Serinc3	358.000000	358	0
Atxn2l	351.000000	351	0
Phf23	350.000000	350	0
Klf13	350.000000	350	0
Gabarap	350.000000	350	0
Donson	349.000000	349	0
4931408C20Rik	348.000000	348	0
Myh7b	344.000000	344	0
Rab1a	339.000000	339	0
9430038I01Rik	336.000000	336	0
Parp16	325.000000	325	0
Rsrc2	323.000000	323	0
Kntc1	323.000000	323	0
Smarcb1	321.000000	321	0
Amdhd2	321.000000	321	0
Zfp106	319.000000	319	0
Snap23	319.000000	319	0
Ucp2	313.000000	313	0
Trim23	313.000000	313	0
Trappc13	313.000000	313	0
Shld3	313.000000	313	0
Tmem129	312.000000	312	0
Tacc3	312.000000	312	0
Pcmt1	311.000000	311	0
Nup43	311.000000	311	0
Pramel12	308.000000	308	0
Bsg	296.000000	296	0
Tbc1d13	290.000000	290	0
Abca7	287.000000	287	0
E4f1	286.000000	286	0
Xpo1	285.000000	285	0
Ermap	278.000000	278	0
Vps26c	277.000000	277	0
Srp19	276.000000	276	0
Mt1	272.000000	272	0
Dnaja1	272.000000	272	0
Selenoi	271.000000	271	0
Btbd8	270.000000	270	0
Noct	269.000000	269	0
Kpna1	269.000000	269	0
Tbc1d24	267.000000	267	0
Ntn3	267.000000	267	0
Nfe2	267.000000	267	0
Mettl9	267.000000	267	0
Mt2	266.000000	266	0
Ep400	266.000000	266	0
Tmpo	265.000000	265	0
Miip	259.000000	259	0
Fv1	259.000000	259	0
Stx17	255.000000	255	0
Gm4981	254.000000	254	0
Kmt5a	251.000000	251	0
Urod	249.000000	249	0
Lyl1	249.000000	249	0
Hectd3	249.000000	249	0
Itpripl1	248.000000	248	0
Cyb5r3	247.000000	247	0
Anapc11	246.000000	246	0
Alyref	246.000000	246	0
Washc5	245.000000	245	0
Utp25	245.000000	245	0
Nsmce2	245.000000	245	0
Crip1	245.000000	245	0
Hsp90aa1	243.000000	243	0
Gnat2	241.000000	241	0
Atxn7l1	240.000000	240	0
Lpcat1	238.000000	238	0
Shoc2	237.000000	237	0
Bbip1	237.000000	237	0
Rcl1	236.000000	236	0
Phkg2	236.000000	236	0
Oaz2	234.000000	234	0
Nkapl	234.000000	234	0
Tex14	232.000000	232	0
Neurl4	232.000000	232	0
2810408A11Rik	232.000000	232	0
Eef1e1	229.000000	229	0
Slc3a2	228.000000	228	0
Coa4	227.000000	227	0
Rnf19a	225.000000	225	0
Rhebl1	224.000000	224	0
Mkln1	224.000000	224	0
Rdm1	218.000000	218	0
Crebrf	216.000000	216	0
Hnrnpa1	215.000000	215	0
Cbx5	215.000000	215	0
Xrcc6	214.000000	214	0
Utp4	214.000000	214	0
Tbp	214.000000	214	0
Psmb1	214.000000	214	0
Mthfd1l	214.000000	214	0
Desi1	214.000000	214	0
Derpc	214.000000	214	0
Chtf8	214.000000	214	0
Cdk1	214.000000	214	0
Ank1	211.000000	211	0
Uchl5	210.000000	210	0
Ro60	210.000000	210	0
Azin1	210.000000	210	0
Pprc1	209.000000	209	0
Zfp41	208.000000	208	0
Rad23a	207.000000	207	0
Icam5	207.000000	207	0
Icam4	207.000000	207	0
Slc39a7	205.000000	205	0
Rxrb	205.000000	205	0
H2-Ke6	205.000000	205	0
Ahctf1	205.000000	205	0
Tmem53	204.000000	204	0
Tbrg4	204.000000	204	0
Syn2	204.000000	204	0
Sfxn3	204.000000	204	0
Senp8	204.000000	204	0
Pdzd7	204.000000	204	0
Nabp1	204.000000	204	0
Myo9a	204.000000	204	0
Mon2	204.000000	204	0
Armh1	204.000000	204	0
Mocs1	203.000000	203	0
Hspa9	202.000000	202	0
1700017B05Rik	200.000000	200	0
Tmem210	199.000000	199	0
Mphosph8	199.000000	199	0
Lrrc26	199.000000	199	0
Fkbp3	198.000000	198	0
Fancm	198.000000	198	0
Bcl10	198.000000	198	0
Slc39a11	197.000000	197	0
Cog1	197.000000	197	0
Pck2	195.000000	195	0
Wars2	194.000000	194	0
Tef	194.000000	194	0
Tbc1d31	194.000000	194	0
Sod1	194.000000	194	0
Slc35g3	194.000000	194	0
Rybp	194.000000	194	0
Ppme1	194.000000	194	0
Polr2a	194.000000	194	0
Kdm8	194.000000	194	0
Igf2bp3	194.000000	194	0
Dcaf1	194.000000	194	0
C2cd3	194.000000	194	0
Actr2	194.000000	194	0
Gpx1	190.000000	190	0
Exoc3l	190.000000	190	0
E2f4	190.000000	190	0
Ska2	189.000000	189	0
Prr11	189.000000	189	0
Kbtbd7	189.000000	189	0
Lin52	188.000000	188	0
Aldh6a1	188.000000	188	0
Zfp324	185.000000	185	0
Sugt1	185.000000	185	0
Pak1ip1	185.000000	185	0
Olfr806	185.000000	185	0
Nxt1	185.000000	185	0
Tmem94	184.000000	184	0
Cyb5a	183.000000	183	0
Rab11a	181.000000	181	0
Srsf10	179.000000	179	0
Dck	179.000000	179	0
Srebf2	178.000000	178	0
Aldh9a1	178.000000	178	0
Tiprl	175.000000	175	0
Tatdn2	175.000000	175	0
Srp54a	175.000000	175	0
Polg2	175.000000	175	0
Pias4	175.000000	175	0
Pcif1	175.000000	175	0
Mzt1	175.000000	175	0
Cdkl1	175.000000	175	0
Bora	175.000000	175	0
Arl6ip1	175.000000	175	0
6030468B19Rik	174.000000	174	0
Wee1	173.000000	173	0
Mmut	172.000000	172	0
Cenpq	172.000000	172	0
Opa3	171.000000	171	0
Sun1	170.000000	170	0
Stxbp3	170.000000	170	0
Rc3h1	170.000000	170	0
Rpusd1	168.000000	168	0
Rab1b	168.000000	168	0
Osbpl1a	168.000000	168	0
Chtf18	168.000000	168	0
Rbm38	167.000000	167	0
Pnpo	167.000000	167	0
Unc93b1	166.000000	166	0
Pou2f1	166.000000	166	0
Mospd2	166.000000	166	0
Ldlrap1	166.000000	166	0
Ilf2	166.000000	166	0
Gucy2g	166.000000	166	0
Fancb	166.000000	166	0
Ankrd54	166.000000	166	0
Tal1	165.000000	165	0
Sars	165.000000	165	0
Rnf14	165.000000	165	0
Cdc42ep2	165.000000	165	0
Rsrp1	164.000000	164	0
Rbm15	164.000000	164	0
Prph	164.000000	164	0
Pqlc3	164.000000	164	0
Gtf2a1	164.000000	164	0
Znrd2	163.000000	163	0
Ppox	163.000000	163	0
Fam89b	163.000000	163	0
Ehbp1l1	163.000000	163	0
Cpt1a	163.000000	163	0
Eif4b	162.000000	162	0
Dynll1	162.000000	162	0
D2hgdh	162.000000	162	0
Poldip3	160.000000	160	0
Inka1	160.000000	160	0
Kbtbd2	159.000000	159	0
Gan	158.000000	158	0
Pacsin2	157.000000	157	0
Uap1	156.000000	156	0
Stx12	156.000000	156	0
Kif14	156.000000	156	0
Ggct	156.000000	156	0
Clcn3	156.000000	156	0
Cdkl2	156.000000	156	0
Atl3	156.000000	156	0
Med11	155.000000	155	0
1110008P14Rik	155.000000	155	0
Fn3k	153.000000	153	0
Zfp688	152.000000	152	0
Gale	152.000000	152	0
Cblb	151.000000	151	0
Tcte3	148.000000	148	0
Gm3448	148.000000	148	0
Gm3435	148.000000	148	0
Gm3417	148.000000	148	0
Alad	148.000000	148	0
Zfat	147.000000	147	0
Ttbk2	147.000000	147	0
Serinc1	147.000000	147	0
Ppp2r1a	147.000000	147	0
Ppp1cb	147.000000	147	0
Micu1	147.000000	147	0
Mat2b	147.000000	147	0
Isca1	147.000000	147	0
Fbxw7	147.000000	147	0
Eapp	147.000000	147	0
Ube2v1	145.000000	145	0
Fus	145.000000	145	0
Nmt2	144.000000	144	0
Ndufv3	144.000000	144	0
Klhl21	143.000000	143	0
Gm51598	141.000000	141	0
Dnajb1	141.000000	141	0
Vkorc1l1	140.000000	140	0
Rcan1	140.000000	140	0
Ncoa4	140.000000	140	0
Zfpm1	139.000000	139	0
Wdr73	138.000000	138	0
Tyw1	138.000000	138	0
Tmem41b	138.000000	138	0
Srebf1	138.000000	138	0
Sbds	138.000000	138	0
Nmb	138.000000	138	0
Mtrf1l	138.000000	138	0
Mrpl17	138.000000	138	0
Ikzf5	138.000000	138	0
Hdac11	138.000000	138	0
Gpr19	138.000000	138	0
Ergic3	138.000000	138	0
Coq10b	138.000000	138	0
Cdan1	138.000000	138	0
Acadsb	138.000000	138	0
AW549877	138.000000	138	0
6430550D23Rik	138.000000	138	0
Wtap	137.000000	137	0
Ermard	137.000000	137	0
Cbarp	137.000000	137	0
Atp5d	137.000000	137	0
Slc25a23	136.000000	136	0
Herc1	136.000000	136	0
Crb3	136.000000	136	0
Calr	136.000000	136	0
Tomm40	135.000000	135	0
Ost4	135.000000	135	0
Ces2g	135.000000	135	0
Gins2	134.000000	134	0
Tonsl	132.000000	132	0
Cd82	132.000000	132	0
A930018P22Rik	132.000000	132	0
Umad1	131.000000	131	0
Rpa3	131.000000	131	0
Cfl1	131.000000	131	0
Tmem131	130.000000	130	0
Zdhhc20	129.000000	129	0
Tle4	129.000000	129	0
Taf1d	129.000000	129	0
Stard4	129.000000	129	0
Snx14	129.000000	129	0
Smad6	129.000000	129	0
Samhd1	129.000000	129	0
Rsbn1	129.000000	129	0
Pias1	129.000000	129	0
Mybl1	129.000000	129	0
Gatd3a	129.000000	129	0
Exd1	129.000000	129	0
Chp1	129.000000	129	0
Cdkn3	129.000000	129	0
Atxn7l3	129.000000	129	0
4931406C07Rik	129.000000	129	0
Zfp687	128.000000	128	0
Ncapg	128.000000	128	0
B3galnt2	128.000000	128	0
Stt3b	127.000000	127	0
Dux	127.000000	127	0
Ankrd37	127.000000	127	0
Mpc2	126.000000	126	0
Dcaf6	126.000000	126	0
Sp4	125.000000	125	0
Sipa1	125.000000	125	0
Ube3a	124.000000	124	0
Setd1b	124.000000	124	0
9030025P20Rik	124.000000	124	0
Rassf7	123.000000	123	0
Lmntd2	123.000000	123	0
Sh3gl1	121.000000	121	0
Rtn4	121.000000	121	0
Rpia	121.000000	121	0
Rab5c	121.000000	121	0
Rab30	121.000000	121	0
Epg5	121.000000	121	0
Chaf1a	121.000000	121	0
Atl2	121.000000	121	0
Gpr155	120.000000	120	0
Aspscr1	120.000000	120	0
Me2	119.000000	119	0
Fam78a	118.000000	118	0
Cln8	118.000000	118	0
Smdt1	117.000000	117	0
Pheta2	117.000000	117	0
Rhbdf2	116.000000	116	0
Kri1	115.000000	115	0
Cdkn2d	115.000000	115	0
Castor1	115.000000	115	0
Unc45a	112.000000	112	0
Tom1l2	112.000000	112	0
Slc35a5	112.000000	112	0
Myo9b	112.000000	112	0
Megf9	112.000000	112	0
Hddc3	112.000000	112	0
Haus8	112.000000	112	0
Epc1	112.000000	112	0
Drc3	112.000000	112	0
Bloc1s5	112.000000	112	0
Atg3	112.000000	112	0
Armc5	112.000000	112	0
9130023H24Rik	112.000000	112	0
Mafk	110.000000	110	0
Sfi1	107.000000	107	0
Rgcc	107.000000	107	0
Add1	107.000000	107	0
Zbtb5	106.000000	106	0
Rpl35	106.000000	106	0
Arpc5l	106.000000	106	0
Actb	106.000000	106	0
Csnk1g2	105.000000	105	0
Wdr20	104.000000	104	0
Slc37a4	104.000000	104	0
Rwdd3	104.000000	104	0
Pml	104.000000	104	0
Pak4	104.000000	104	0
Kbtbd3	104.000000	104	0
B4galt1	104.000000	104	0
Aasdhppt	104.000000	104	0
Anxa7	103.000000	103	0
H2bc4	102.000000	102	0
H2ac6	102.000000	102	0
Atg2a	102.000000	102	0
Mynn	101.000000	101	0
Actrt3	101.000000	101	0
Zfp628	100.000000	100	0
Tmc8	100.000000	100	0
Tmc6	100.000000	100	0
Lancl2	100.000000	100	0
Dnpep	96.000000	96	0
Tfg	95.000000	95	0
Setd3	95.000000	95	0
Marchf3	95.000000	95	0
Kat7	95.000000	95	0
Gnpda1	95.000000	95	0
Dnajc3	95.000000	95	0
Ccnk	95.000000	95	0
Caprin2	95.000000	95	0
Zfp39	87.000000	87	0
Lrrc20	87.000000	87	0
Atf4	87.000000	87	0
1700037H04Rik	87.000000	87	0
Lnpep	86.000000	86	0
H4f16	84.000000	84	0
H2aj	84.000000	84	0
Eif4enif1	84.000000	84	0
Spc25	79.000000	79	0
Ncapg2	79.000000	79	0
Mettl23	79.000000	79	0
G6pc2	79.000000	79	0
Pkd1	72.000000	72	0
H4c4	70.000000	70	0
H2bc6	70.000000	70	0
Bcl11a	0.000000	0	611
