Target_genes	Elk4|Average	SRX1035408|mESC_derived_mesodermal_cells	SRX262797|NIH/3T3	SRX262798|NIH/3T3	SRX262799|NIH/3T3	SRX262800|NIH/3T3	STRING
Gm3448	34.600000	173	0	0	0	0	0
Gm3417	34.600000	173	0	0	0	0	0
Ermard	34.600000	173	0	0	0	0	0
Lyrm7	34.400000	172	0	0	0	0	0
Wdr34	34.200000	171	0	0	0	0	0
Trim50	34.200000	171	0	0	0	0	0
Ccr4	34.200000	171	0	0	0	0	0
Aen	34.200000	171	0	0	0	0	0
Tmem134	34.000000	170	0	0	0	0	0
Aip	34.000000	170	0	0	0	0	0
Tada3	33.800000	169	0	0	0	0	0
Muc1	33.800000	169	0	0	0	0	0
Arpc4	33.800000	169	0	0	0	0	0
Kptn	33.400000	167	0	0	0	0	0
Gm18905	33.400000	167	0	0	0	0	0
Rps9	33.200000	0	166	0	0	0	0
Fam167a	33.200000	0	166	0	0	0	0
Zfp335	33.000000	165	0	0	0	0	0
Ppp1r12b	33.000000	165	0	0	0	0	0
Nup35	33.000000	165	0	0	0	0	0
Dync2h1	33.000000	165	0	0	0	0	0
Dcun1d5	33.000000	165	0	0	0	0	0
Zfp868	32.800000	164	0	0	0	0	0
Wdr53	32.800000	164	0	0	0	0	0
Unc45b	32.800000	0	164	0	0	0	0
Nle1	32.800000	0	164	0	0	0	0
Map2k5	32.800000	164	0	0	0	0	0
Fbxo45	32.800000	164	0	0	0	0	0
Vmn1r88	32.600000	163	0	0	0	0	0
Copz1	32.600000	0	0	0	163	0	0
Shld1	32.200000	161	0	0	0	0	0
Ndufs2	32.200000	161	0	0	0	0	0
Agmat	32.200000	161	0	0	0	0	0
Adamts4	32.200000	161	0	0	0	0	0
Zfp384	31.400000	157	0	0	0	0	0
Eapp	31.400000	157	0	0	0	0	0
B4galt3	31.400000	157	0	0	0	0	0
Csnk1e	31.000000	0	0	0	155	0	0
Dlgap3	30.800000	154	0	0	0	0	0
Wdr75	30.600000	153	0	0	0	0	0
Septin7	30.600000	153	0	0	0	0	0
Rpl23a	30.600000	0	0	153	0	0	0
Rab34	30.600000	0	0	153	0	0	0
Naa20	30.600000	153	0	0	0	0	0
H1f7	30.600000	153	0	0	0	0	0
Bfsp2	30.600000	153	0	0	0	0	0
Rabl2	30.400000	152	0	0	0	0	0
Ptgdr2	30.400000	152	0	0	0	0	0
Pnisr	30.400000	152	0	0	0	0	0
Neu1	30.200000	0	0	0	0	151	0
Mtmr7	30.200000	0	0	151	0	0	0
Tyrp1	30.000000	0	0	150	0	0	0
Traf4	30.000000	150	0	0	0	0	0
Fam193b	30.000000	150	0	0	0	0	0
Zfp408	29.800000	149	0	0	0	0	0
Rtbdn	29.800000	149	0	0	0	0	0
Gm3435	29.800000	149	0	0	0	0	0
Arhgap1	29.800000	149	0	0	0	0	0
Gm4981	29.600000	148	0	0	0	0	0
Kng2	29.400000	147	0	0	0	0	0
Zfp617	29.200000	146	0	0	0	0	0
Sspn	29.200000	146	0	0	0	0	0
Slc25a24	29.200000	0	146	0	0	0	0
Ncoa7	29.000000	145	0	0	0	0	0
Zswim6	28.600000	143	0	0	0	0	0
Tor1a	28.600000	143	0	0	0	0	0
Pex12	28.600000	143	0	0	0	0	0
Cd163l1	28.600000	0	0	0	0	143	0
Ap2b1	28.600000	143	0	0	0	0	0
Slc43a1	28.400000	142	0	0	0	0	0
Polr2e	28.400000	142	0	0	0	0	0
Trip6	28.200000	0	0	141	0	0	0
Hoatz	28.200000	141	0	0	0	0	0
Fxn	28.200000	0	141	0	0	0	0
Eda2r	28.200000	141	0	0	0	0	0
Mettl3	28.000000	140	0	0	0	0	0
Rnf24	27.800000	139	0	0	0	0	0
H2-T-ps	27.800000	139	0	0	0	0	0
Tm9sf4	27.600000	138	0	0	0	0	0
Ndufs1	27.600000	138	0	0	0	0	0
Eef1b2	27.600000	138	0	0	0	0	0
AW209491	27.400000	137	0	0	0	0	0
Wrap53	27.200000	136	0	0	0	0	0
Trp53	27.200000	136	0	0	0	0	0
Thnsl1	27.200000	136	0	0	0	0	0
Rps27a	27.200000	136	0	0	0	0	0
Mapkapk5	27.200000	136	0	0	0	0	0
Enkur	27.200000	136	0	0	0	0	0
Clhc1	27.200000	136	0	0	0	0	0
Rlf	27.000000	135	0	0	0	0	0
Prr14	27.000000	135	0	0	0	0	0
Rpl27	26.800000	134	0	0	0	0	0
Kifbp	26.800000	134	0	0	0	0	0
Sys1	26.200000	131	0	0	0	0	0
Slc39a9	26.200000	131	0	0	0	0	0
Fbrs	26.200000	131	0	0	0	0	0
Erh	26.200000	131	0	0	0	0	0
Zfp715	25.800000	129	0	0	0	0	0
Rad54l	25.800000	129	0	0	0	0	0
Prcp	25.800000	129	0	0	0	0	0
Mbd3l1	25.800000	129	0	0	0	0	0
Ddias	25.800000	129	0	0	0	0	0
Dad1	25.800000	129	0	0	0	0	0
Cacng2	25.800000	129	0	0	0	0	0
Abhd4	25.800000	129	0	0	0	0	0
Cfl1	25.600000	128	0	0	0	0	0
Hic1	25.400000	127	0	0	0	0	0
Snap29	25.000000	125	0	0	0	0	0
Pi4ka	25.000000	125	0	0	0	0	0
Per1	25.000000	125	0	0	0	0	0
Ccdc13	25.000000	125	0	0	0	0	0
Tyk2	24.800000	124	0	0	0	0	0
Mob3a	24.800000	124	0	0	0	0	0
Izumo4	24.800000	124	0	0	0	0	0
S1pr4	24.600000	123	0	0	0	0	0
Nudcd2	24.600000	123	0	0	0	0	0
Ncln	24.600000	123	0	0	0	0	0
Hmmr	24.600000	123	0	0	0	0	0
Rpl36	24.400000	122	0	0	0	0	0
Micos13	24.400000	122	0	0	0	0	0
Zbtb11	24.200000	121	0	0	0	0	0
Ing4	24.200000	121	0	0	0	0	0
Ahcyl1	24.200000	121	0	0	0	0	0
Zfp952	24.000000	120	0	0	0	0	0
Zfp882	24.000000	120	0	0	0	0	0
Vars	24.000000	120	0	0	0	0	0
D17H6S56E-5	24.000000	120	0	0	0	0	0
Tmx4	23.600000	118	0	0	0	0	0
Zfp524	23.400000	117	0	0	0	0	0
Fiz1	23.400000	117	0	0	0	0	0
Dhrs7	23.400000	117	0	0	0	0	0
Nagk	23.200000	116	0	0	0	0	0
Dnajb6	23.200000	116	0	0	0	0	0
Shprh	22.600000	113	0	0	0	0	0
Mtr	22.600000	113	0	0	0	0	0
Bahcc1	22.600000	113	0	0	0	0	0
Phb2	22.400000	112	0	0	0	0	0
Khdc4	22.400000	112	0	0	0	0	0
Fam131a	22.400000	112	0	0	0	0	0
Emg1	22.400000	112	0	0	0	0	0
Ckap2	22.200000	111	0	0	0	0	0
Cox6b2	22.000000	110	0	0	0	0	0
Olfr913	21.400000	107	0	0	0	0	0
Pnliprp2	21.200000	106	0	0	0	0	0
Catsperg1	21.200000	106	0	0	0	0	0
Zc3h11a	21.000000	105	0	0	0	0	0
Zbed6	21.000000	105	0	0	0	0	0
Txnip	21.000000	105	0	0	0	0	0
Slc25a44	21.000000	105	0	0	0	0	0
Tomt	20.400000	102	0	0	0	0	0
Rpa2	20.400000	102	0	0	0	0	0
Lamtor1	20.400000	102	0	0	0	0	0
Tfb2m	20.200000	101	0	0	0	0	0
Mthfr	20.200000	101	0	0	0	0	0
Cnst	20.200000	101	0	0	0	0	0
Clcn6	20.200000	101	0	0	0	0	0
Nfe2l1	20.000000	100	0	0	0	0	0
1700013G24Rik	20.000000	100	0	0	0	0	0
Ptbp1	19.600000	98	0	0	0	0	0
Hsp90aa1	19.400000	97	0	0	0	0	0
Cdc45	19.400000	97	0	0	0	0	0
Tab3	19.200000	96	0	0	0	0	0
Smc1a	19.200000	96	0	0	0	0	0
Shkbp1	19.200000	96	0	0	0	0	0
Ribc1	19.200000	96	0	0	0	0	0
Plk2	19.200000	96	0	0	0	0	0
Nefm	19.200000	96	0	0	0	0	0
Mast3	19.200000	96	0	0	0	0	0
Skap2	19.000000	95	0	0	0	0	0
Tgfbr3l	18.800000	94	0	0	0	0	0
Snapc2	18.800000	94	0	0	0	0	0
Kansl1	18.800000	94	0	0	0	0	0
Sfi1	18.600000	93	0	0	0	0	0
Rsu1	18.400000	92	0	0	0	0	0
Rps27l	18.400000	92	0	0	0	0	0
E430018J23Rik	18.400000	92	0	0	0	0	0
Sf3a1	17.800000	89	0	0	0	0	0
Ccdc157	17.800000	89	0	0	0	0	0
Srf	17.200000	86	0	0	0	0	0
Lypd11	17.000000	85	0	0	0	0	0
C9orf72	17.000000	85	0	0	0	0	0
Msh2	16.800000	84	0	0	0	0	0
Gtf3c4	16.400000	82	0	0	0	0	0
Ddx31	16.400000	82	0	0	0	0	0
Ak1	15.800000	79	0	0	0	0	0
Rabggtb	15.000000	75	0	0	0	0	0
9030025P20Rik	15.000000	75	0	0	0	0	0
