Target_genes	Smad4|Average	SRX3014617|CD4+_T_cells	SRX3014618|CD4+_T_cells	SRX3014619|CD4+_T_cells	SRX3014620|CD4+_T_cells	SRX13508245|CD8+_T_cells	SRX5023289|Duodenum	SRX5023290|Duodenum	SRX3101083|Embryoid_Bodies	SRX3101084|Embryoid_Bodies	SRX5251395|Embryoid_Bodies	SRX5251396|Embryoid_Bodies	SRX5251388|ES_cells	SRX4046280|Forelimb	SRX4061017|Forelimb	SRX4061018|Forelimb	SRX4061019|Forelimb	SRX4061020|Forelimb	SRX529265|Lung	SRX19498660|Microglia	SRX19498661|Microglia	SRX19498663|Microglia	SRX19498664|Microglia	SRX1094554|Neural_Stem_Cells	SRX5551007|Unclassified	SRX5551008|Unclassified	SRX5551011|Unclassified	SRX5551012|Unclassified	STRING
Ski	321.962963	153	0	0	0	0	0	0	97	0	0	97	0	0	0	0	0	0	484	1430	1062	1062	1501	135	1130	354	560	628	0
Id1	306.703704	0	0	0	0	0	624	654	821	0	166	829	258	0	107	0	844	1087	849	0	0	0	0	310	1095	248	229	160	0
Nfkbia	294.888889	479	373	0	0	0	259	298	430	0	0	428	0	0	0	0	178	188	631	771	207	474	796	153	1305	587	232	173	0
Hnrnpul1	291.370370	923	591	0	0	0	0	142	223	0	0	221	0	0	0	0	130	201	481	808	542	536	917	106	574	392	649	431	0
Ypel3	279.148148	664	537	0	0	0	124	138	236	0	0	235	0	0	0	0	114	221	659	562	235	377	603	144	1111	514	581	482	0
Tbx6	279.148148	664	537	0	0	0	124	138	236	0	0	235	0	0	0	0	114	221	659	562	235	377	603	144	1111	514	581	482	0
Brpf1	278.851852	762	937	0	0	0	227	256	285	0	0	283	105	0	0	0	285	143	493	468	260	212	533	353	1131	423	262	111	0
Kmt2a	274.592593	1070	963	154	0	0	375	661	544	0	53	558	304	0	0	0	236	451	314	0	0	0	0	640	733	358	0	0	0
Tmem125	274.444444	688	750	561	511	198	223	192	175	146	77	175	134	299	824	812	519	477	0	114	96	0	0	113	326	0	0	0	0
Kbtbd7	272.555556	1314	978	0	0	0	524	546	80	0	0	79	0	0	0	0	361	262	437	0	0	179	244	263	1061	415	338	278	0
Pmepa1	272.518519	506	526	0	0	0	190	217	554	178	0	552	0	0	0	0	295	506	461	773	358	555	1141	427	119	0	0	0	0
Mtf2	272.259259	853	854	0	0	0	277	450	548	126	0	550	228	0	116	0	443	602	788	0	174	0	0	307	682	263	0	90	0
Spaca6	269.407407	363	164	0	0	0	0	0	850	352	167	846	171	0	300	167	1647	1790	173	0	0	0	0	284	0	0	0	0	0
Ncbp3	264.296296	1331	1185	189	0	0	161	163	329	131	0	327	120	0	0	0	519	334	438	0	207	109	205	356	646	386	0	0	0
Olfml3	262.703704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	1444	942	1269	1674	0	505	138	598	451	0
Ttll13	258.481481	152	220	0	0	0	647	615	228	0	0	225	0	0	0	0	357	364	1045	203	219	215	132	432	1049	276	346	254	0
Gtf2h2	254.814815	179	186	0	0	0	0	0	0	0	0	0	0	0	0	0	90	95	512	1022	1035	879	1118	138	425	213	601	387	0
Ccdc88a	254.296296	455	436	0	0	0	124	190	365	177	0	364	241	0	0	0	394	443	748	0	0	0	0	611	1230	863	115	110	0
Btbd19	248.740741	413	395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	411	1011	1060	735	937	154	833	318	293	156	0
Gnb2	248.703704	778	712	0	0	0	326	435	405	150	0	402	94	0	0	0	184	316	786	152	202	0	263	143	951	416	0	0	0
Egr1	239.185185	874	599	0	0	0	117	100	179	0	0	179	0	0	0	0	204	260	317	891	438	352	664	175	406	116	346	241	0
Tctex1d4	235.000000	413	395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	1011	1060	735	937	0	833	318	293	156	0
Usp2	233.814815	242	221	0	0	0	0	104	119	0	0	119	0	0	0	0	0	0	275	741	682	782	892	0	1296	282	347	211	0
Tmx4	232.296296	163	277	0	0	0	689	598	217	0	0	217	0	0	0	0	205	344	607	536	175	256	375	463	370	130	429	221	0
Cyp51	232.111111	614	831	0	0	0	712	700	433	0	0	446	110	0	0	0	401	513	296	183	0	0	156	301	394	177	0	0	0
Ubn2	232.074074	637	579	0	0	0	610	606	343	0	0	342	0	0	71	0	168	315	527	310	0	232	227	220	311	124	415	229	0
Tmem86a	230.370370	251	257	0	0	0	335	475	178	0	0	179	0	0	0	0	99	118	97	476	305	600	736	168	1002	460	277	207	0
Gna15	226.259259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	1052	1034	790	1074	0	1091	374	316	211	0
Dcaf10	225.037037	740	738	0	0	0	284	423	303	0	0	300	0	0	0	0	358	342	905	192	0	0	168	303	683	337	0	0	0
Gatad2b	224.370370	522	477	0	0	0	300	294	170	0	0	169	0	0	0	0	633	834	468	225	0	141	261	363	708	207	134	152	0
Mob4	217.370370	584	591	0	0	0	259	369	431	0	0	429	134	0	0	0	401	364	515	128	0	0	162	304	819	379	0	0	0
Sumo2	217.074074	584	426	0	0	0	371	563	100	0	0	99	0	0	0	0	210	148	531	443	0	181	277	418	1075	292	143	0	0
Ssbp4	215.296296	123	158	0	0	0	0	0	494	0	0	503	0	0	0	0	0	0	311	719	331	357	587	385	1009	501	196	139	0
Tut7	214.925926	703	671	0	0	0	165	208	154	0	0	153	123	0	0	0	240	269	915	114	0	0	319	195	1033	541	0	0	0
Gabpb1	214.888889	820	681	137	0	0	653	530	281	0	0	291	0	0	0	0	274	344	629	0	0	0	155	232	519	256	0	0	0
Bmpr2	210.814815	269	226	0	0	0	257	267	315	0	0	316	0	0	87	0	708	867	303	277	200	192	387	265	563	79	0	114	0
Mcur1	210.074074	179	133	0	0	0	337	402	322	0	0	321	0	0	0	0	249	156	387	192	143	125	216	197	1325	633	259	96	0
Alkbh3	206.814815	338	347	0	0	0	1266	1405	0	0	0	0	0	0	102	0	455	579	455	0	0	0	0	232	201	204	0	0	0
Gcnt2	206.444444	0	0	0	0	0	0	0	152	0	0	152	0	0	0	0	101	122	875	578	590	579	888	0	666	277	445	149	0
Gnai2	205.629630	179	190	0	0	0	0	0	1285	0	0	1305	387	0	0	0	69	93	204	235	195	226	330	122	368	201	163	0	0
Chd9	205.481481	462	458	0	0	0	324	333	593	0	0	589	229	0	0	0	403	358	845	123	0	0	0	99	605	127	0	0	0
Scaf11	205.148148	497	551	0	0	0	0	168	274	0	0	269	105	0	0	0	151	244	299	294	273	261	576	483	666	277	0	151	0
Prickle1	203.592593	171	234	0	0	0	0	0	1946	126	115	1965	208	0	0	0	122	278	214	0	0	0	0	118	0	0	0	0	0
Seh1l	203.407407	669	923	0	0	0	384	470	318	0	0	315	0	0	0	0	291	297	167	98	0	99	114	280	597	276	194	0	0
Dnajc18	201.592593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	123	1553	844	719	520	811	0	461	0	173	130	0
Sh3glb1	200.518519	405	468	0	0	0	349	257	194	0	0	193	0	0	0	0	234	316	356	259	202	143	460	286	894	269	129	0	0
Hoxb13	199.703704	0	0	0	0	0	0	0	2127	136	158	2150	712	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0
Ctss	199.444444	214	154	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	212	377	379	654	1314	0	716	391	532	300	0
Cpt1a	199.111111	370	322	0	0	0	66	208	836	0	0	830	0	0	144	0	0	123	280	103	0	0	168	328	699	382	279	238	0
Sik2	199.037037	657	585	0	0	0	231	412	498	172	0	507	390	0	0	0	298	170	339	0	0	0	123	445	323	151	0	73	0
Kdm6b	198.629630	1188	745	0	139	0	540	524	0	0	0	0	0	0	0	0	118	182	330	127	0	0	0	300	524	260	231	155	0
Golga5	198.111111	384	489	0	0	0	162	188	123	0	0	125	0	0	0	0	241	261	707	287	0	0	304	286	1080	424	181	107	0
Spata1	195.370370	225	231	0	0	0	255	419	120	0	0	120	93	0	0	0	221	374	411	0	0	0	143	231	1613	495	93	231	0
Gng5	195.370370	225	231	0	0	0	255	419	120	0	0	120	93	0	0	0	221	374	411	0	0	0	143	231	1613	495	93	231	0
Tbpl1	194.888889	543	592	0	0	0	232	268	134	0	0	138	0	0	0	0	297	408	753	118	118	117	191	153	716	484	0	0	0
Tnfaip3	194.518519	1383	1146	182	312	0	0	76	187	0	0	186	0	0	0	0	109	0	541	271	135	0	0	168	256	209	0	91	0
Abhd6	193.740741	212	214	223	0	0	0	0	484	385	865	461	285	770	0	0	65	88	525	0	0	0	0	654	0	0	0	0	0
Sfi1	192.666667	142	111	0	0	0	180	179	541	0	85	539	442	0	247	180	1090	1187	142	0	0	0	0	137	0	0	0	0	0
Odc1	192.111111	424	493	0	0	0	331	518	377	0	0	383	110	0	0	0	208	175	462	0	0	184	0	474	754	294	0	0	0
Hjurp	191.296296	391	404	0	0	0	359	364	233	0	0	233	0	0	0	0	273	289	704	0	0	0	0	386	678	474	198	179	0
A730008H23Rik	191.296296	391	404	0	0	0	359	364	233	0	0	233	0	0	0	0	273	289	704	0	0	0	0	386	678	474	198	179	0
Nme1	190.703704	950	816	0	0	0	0	142	109	0	0	107	0	0	0	0	101	171	1233	0	0	0	0	341	403	267	293	216	0
Atp6v0a1	189.925926	789	735	0	0	0	0	0	119	0	0	118	0	0	176	196	86	104	214	409	227	228	630	194	207	0	393	303	0
Trip12	189.333333	613	745	0	0	0	502	436	257	0	0	257	0	0	0	0	244	327	279	0	0	0	0	596	617	239	0	0	0
Fbxo36	189.333333	613	745	0	0	0	502	436	257	0	0	257	0	0	0	0	244	327	279	0	0	0	0	596	617	239	0	0	0
Tubb5	188.814815	534	306	0	0	0	0	0	204	0	0	204	0	0	0	0	231	262	676	253	0	0	287	0	1181	598	209	153	0
Mdc1	188.814815	534	306	0	0	0	0	0	204	0	0	204	0	0	0	0	231	262	676	253	0	0	287	0	1181	598	209	153	0
Klf3	188.148148	187	172	0	0	0	70	157	438	0	0	436	209	0	0	0	223	416	438	282	225	128	153	142	993	256	0	155	0
Smim15	186.888889	320	219	0	0	0	0	193	0	0	0	0	0	0	0	0	506	637	339	392	291	291	563	146	787	247	0	115	0
Slc44a1	186.592593	463	303	0	0	0	236	239	327	0	0	323	0	0	0	0	136	226	418	93	0	0	170	519	1005	580	0	0	0
Tdp1	186.185185	413	491	0	0	0	226	302	368	0	0	361	0	0	0	0	368	520	281	232	0	140	165	206	515	141	184	114	0
Efcab11	186.185185	413	491	0	0	0	226	302	368	0	0	361	0	0	0	0	368	520	281	232	0	140	165	206	515	141	184	114	0
Cdkn2aipnl	185.259259	580	669	0	0	0	254	177	367	0	0	367	116	0	0	0	148	212	402	189	123	0	0	199	487	382	192	138	0
Map4	183.925926	408	478	0	0	0	207	196	0	0	0	0	0	0	0	0	240	307	485	412	265	244	279	304	616	290	142	93	0
Smurf2	183.444444	264	470	0	0	0	263	401	182	0	0	181	98	0	0	0	230	341	341	268	131	108	190	364	634	243	139	105	0
Gpx1	182.740741	209	194	0	0	0	128	138	313	0	0	310	146	0	0	0	194	118	894	233	0	0	272	0	1006	284	335	160	0
Arrdc3	181.037037	144	152	0	0	0	125	212	81	0	0	81	0	0	0	0	146	132	569	315	182	690	845	267	473	262	111	101	0
P2ry12	180.851852	100	0	0	0	0	0	0	237	0	0	236	0	0	0	0	133	0	0	862	941	902	1249	0	140	83	0	0	0
Csnk1g2	180.555556	593	525	0	0	0	335	415	195	0	0	195	0	0	0	0	0	0	259	159	168	139	425	188	334	161	517	267	0
Tmco1	179.222222	496	364	0	0	0	297	390	145	0	0	142	0	0	0	0	298	353	582	155	0	288	307	226	283	192	194	127	0
Saraf	178.962963	402	395	0	0	0	224	295	248	0	0	259	93	0	0	0	323	182	537	280	124	0	299	108	612	0	316	135	0
Zfp719	178.888889	463	451	0	0	0	306	294	225	0	0	224	143	0	0	0	200	189	310	160	0	96	142	719	641	147	120	0	0
Gpr84	178.666667	190	192	0	0	0	185	325	197	0	0	196	0	0	0	0	223	408	675	174	100	102	95	540	779	341	102	0	0
Ubxn2a	178.333333	384	433	0	0	0	425	558	112	0	0	108	0	0	0	0	142	181	347	224	0	84	159	711	613	223	111	0	0
Nol8	178.333333	823	729	0	0	0	143	166	186	0	0	186	0	0	0	0	205	279	870	210	0	0	169	183	382	180	104	0	0
Cenpp	178.333333	823	729	0	0	0	143	166	186	0	0	186	0	0	0	0	205	279	870	210	0	0	169	183	382	180	104	0	0
Rara	177.074074	650	361	0	0	0	81	195	807	0	0	814	178	0	0	0	0	146	328	242	0	0	157	228	261	0	173	160	0
Ankrd24	176.629630	1186	990	223	0	0	453	454	100	0	0	102	0	0	0	0	0	0	566	0	0	0	0	131	412	152	0	0	0
Srebf1	176.518519	267	214	0	0	0	398	322	754	0	0	752	94	0	0	0	0	151	0	0	0	0	0	207	945	292	279	91	0
Sirt6	176.407407	1186	990	223	0	0	453	454	94	0	0	102	0	0	0	0	0	0	566	0	0	0	0	131	412	152	0	0	0
Tomm34	175.814815	250	229	0	0	0	290	178	183	0	0	191	0	0	0	0	118	97	438	324	204	159	314	202	840	235	315	180	0
Stk4	175.814815	250	229	0	0	0	290	178	183	0	0	191	0	0	0	0	118	97	438	324	204	159	314	202	840	235	315	180	0
Hnrnph1	175.703704	651	484	0	0	0	238	275	182	0	0	180	0	0	0	0	119	128	306	0	0	163	323	247	842	308	142	156	0
Klf10	175.222222	494	470	0	0	0	236	423	294	0	0	302	0	0	0	0	95	94	451	144	0	0	156	296	797	397	0	82	0
Serinc3	174.925926	164	126	0	0	0	210	219	136	0	0	142	0	0	0	0	139	131	239	671	340	409	645	143	512	326	171	0	0
Cdkn2aip	173.814815	297	354	0	0	0	118	252	291	0	0	288	109	0	0	0	126	166	306	150	0	0	148	484	1122	482	0	0	0
Zfp654	173.518519	233	216	0	0	0	532	753	127	0	0	135	0	0	93	0	567	730	299	237	0	0	91	168	343	161	0	0	0
Cggbp1	173.518519	233	216	0	0	0	532	753	127	0	0	135	0	0	93	0	567	730	299	237	0	0	91	168	343	161	0	0	0
D3Ertd751e	173.481481	415	278	0	0	0	394	359	136	0	0	136	0	0	64	0	344	431	871	0	0	0	0	267	701	288	0	0	0
Tbl1xr1	173.000000	623	312	0	0	0	0	126	346	0	0	355	0	0	0	0	64	94	529	190	173	109	310	279	524	210	266	161	0
Slc39a13	172.777778	434	400	0	0	0	136	260	0	0	0	0	0	0	0	0	71	111	1106	151	135	240	178	735	465	129	114	0	0
Ublcp1	172.555556	419	659	96	0	0	107	208	115	0	0	114	0	0	0	0	142	123	673	183	205	213	258	267	384	363	130	0	0
Nsun6	172.037037	532	435	0	0	0	77	188	346	0	0	357	0	0	0	0	142	233	563	170	0	0	172	100	700	383	101	146	0
Arl5b	172.037037	532	435	0	0	0	77	188	346	0	0	357	0	0	0	0	142	233	563	170	0	0	172	100	700	383	101	146	0
Adnp	172.037037	840	794	0	0	0	124	146	205	0	0	205	0	0	0	0	192	167	644	0	148	0	0	201	704	275	0	0	0
Usf2	171.740741	124	163	0	0	0	150	134	0	0	0	0	0	0	0	0	0	0	132	660	489	320	524	91	931	327	447	145	0
Znrd1as	171.703704	574	462	0	0	0	98	145	450	0	0	443	0	0	0	0	239	107	397	0	0	0	0	184	873	664	0	0	0
Znrd1	171.703704	574	462	0	0	0	98	145	450	0	0	443	0	0	0	0	239	107	397	0	0	0	0	184	873	664	0	0	0
Nfat5	170.925926	603	560	0	0	0	216	267	263	0	0	262	0	0	0	0	213	168	926	0	0	0	86	239	649	163	0	0	0
Bambi	170.629630	507	251	0	0	0	114	186	479	0	0	474	0	0	106	0	263	427	619	0	0	0	118	317	540	206	0	0	0
Timm10	170.333333	872	826	0	0	0	155	189	195	0	0	194	0	0	0	0	244	246	475	0	0	0	0	270	389	287	0	257	0
Smtnl1	170.333333	872	826	0	0	0	155	189	195	0	0	194	0	0	0	0	244	246	475	0	0	0	0	270	389	287	0	257	0
Rbpj	170.111111	1223	996	0	0	0	137	192	244	0	0	261	0	0	0	0	162	97	372	0	0	0	113	325	233	147	0	91	0
Fbxl3	169.666667	279	294	0	0	0	219	274	565	0	0	564	174	0	0	0	130	132	374	0	0	0	220	185	616	134	300	121	0
Bod1l	169.444444	696	551	0	0	0	229	146	265	0	0	264	0	0	0	0	168	173	746	135	0	116	116	270	330	370	0	0	0
Zfp335	168.666667	490	618	0	0	0	309	374	220	0	0	217	181	0	0	0	145	126	416	107	117	220	206	187	287	334	0	0	0
Il21r	168.259259	156	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	816	848	590	952	0	260	0	380	392	0
Calm3	167.962963	776	754	0	0	0	291	213	393	0	0	393	212	0	0	0	0	96	549	0	0	0	0	300	294	264	0	0	0
Stat1	167.777778	727	670	0	0	0	109	116	224	0	0	223	0	0	0	0	93	95	286	113	0	154	127	133	751	486	123	100	0
Tsg101	167.592593	412	313	0	0	0	485	513	207	0	0	205	0	0	0	0	378	302	301	0	0	148	0	155	922	184	0	0	0
Agps	167.296296	180	0	0	0	0	175	255	99	0	0	108	0	0	0	0	213	296	0	460	335	381	615	154	426	175	443	202	0
Gm4832	167.185185	1623	1154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	183	302	0	288	209	511	140	0
Mex3b	167.074074	310	328	0	0	0	0	0	141	0	0	148	0	0	0	0	198	291	402	275	168	217	371	329	847	279	132	75	0
Zfp819	166.518519	0	0	0	0	0	0	0	1290	0	0	1302	227	0	0	0	0	0	0	0	0	0	225	0	652	375	244	181	0
Vars	165.925926	471	357	0	0	0	62	118	93	0	0	93	0	0	0	0	97	240	269	704	157	367	543	436	368	105	0	0	0
D17H6S56E-5	165.925926	471	357	0	0	0	62	118	93	0	0	93	0	0	0	0	97	240	269	704	157	367	543	436	368	105	0	0	0
Apol9b	165.555556	2076	2082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	312	0	0	0	0	0	0	0	0	0	0
Casq2	165.222222	0	0	0	0	0	0	0	1829	238	78	1852	371	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0
Cnot2	165.074074	203	120	0	0	0	186	187	0	0	0	0	0	0	0	0	135	133	234	660	519	638	668	130	481	163	0	0	0
Tpst2	164.666667	160	151	0	0	0	228	347	203	0	0	202	0	0	0	0	77	155	604	335	221	192	289	98	739	220	73	152	0
Urgcp	164.407407	284	305	0	0	0	361	411	621	0	0	620	136	0	0	0	200	134	240	0	0	0	0	238	724	165	0	0	0
Smc6	164.296296	289	299	0	0	0	359	408	337	0	0	339	0	0	0	0	386	475	415	66	0	0	0	382	530	151	0	0	0
Gen1	164.296296	289	299	0	0	0	359	408	337	0	0	339	0	0	0	0	386	475	415	66	0	0	0	382	530	151	0	0	0
1700067K01Rik	163.777778	351	205	0	0	0	84	101	315	0	0	312	129	0	0	0	100	261	183	0	0	170	264	618	787	195	190	157	0
Elf2	163.740741	520	485	0	0	0	235	339	155	0	0	154	0	0	0	0	281	422	344	281	0	0	215	316	493	181	0	0	0
Ywhae	163.296296	206	185	0	0	0	113	179	624	0	0	621	0	0	0	0	303	480	283	157	0	115	283	326	534	0	0	0	0
Ccnd3	163.222222	189	201	0	0	0	0	0	184	0	0	181	0	0	0	0	0	0	479	720	461	417	649	74	400	134	174	144	0
Dact3	162.592593	0	0	0	0	0	0	0	410	0	0	408	134	0	182	94	974	1135	194	0	134	0	0	592	133	0	0	0	0
Vdac3	162.000000	96	83	0	0	0	476	487	233	0	0	232	0	0	0	0	236	284	270	192	0	133	198	289	720	322	0	123	0
Srd5a3	161.370370	656	645	0	0	0	320	430	224	0	0	222	0	0	0	0	145	208	509	0	0	0	0	167	632	199	0	0	0
Fech	161.259259	155	137	0	0	0	270	288	0	0	0	0	0	0	0	0	185	415	608	94	0	0	127	193	1208	358	121	195	0
Olfr806	160.074074	0	0	0	0	0	0	0	477	499	759	401	240	797	0	0	0	0	504	0	0	0	0	645	0	0	0	0	0
Rnf115	159.962963	666	371	0	0	0	162	231	208	0	0	207	0	0	0	0	155	252	253	166	0	76	159	241	704	329	139	0	0
Polr3c	159.962963	666	371	0	0	0	162	231	208	0	0	207	0	0	0	0	155	252	253	166	0	76	159	241	704	329	139	0	0
Gtf2a1	159.888889	509	376	0	0	0	294	305	136	0	0	134	127	0	0	0	369	281	197	298	112	90	138	302	339	125	185	0	0
Vdac2	159.370370	474	527	0	0	0	367	468	191	0	0	189	0	0	0	0	145	151	288	131	0	0	0	250	482	300	234	106	0
Tjp1	159.111111	177	226	0	0	0	249	224	111	0	0	111	0	0	0	0	156	149	525	716	469	477	495	0	0	0	211	0	0
Ndst1	158.222222	124	0	0	0	0	295	243	212	0	0	209	0	0	0	0	0	0	303	401	217	204	211	0	1010	350	321	172	0
Ssbp2	157.814815	370	260	0	0	0	220	246	274	0	0	273	89	0	0	0	292	468	258	193	0	147	159	253	521	238	0	0	0
Spen	157.703704	137	127	0	0	0	160	88	309	0	0	307	0	0	0	0	119	104	270	161	0	148	117	242	1089	397	230	253	0
Il6ra	156.370370	554	409	0	0	0	93	140	169	0	0	168	0	0	0	0	140	104	153	352	172	141	349	0	613	274	273	118	0
Dync1h1	154.666667	251	249	0	0	0	209	298	103	0	0	113	0	0	0	0	216	204	367	256	0	249	385	189	528	0	405	154	0
Usp12	154.444444	316	310	0	0	0	215	188	193	0	0	202	0	0	0	0	167	177	378	79	0	203	877	207	552	106	0	0	0
Pygo2	154.222222	301	247	0	0	0	194	158	181	0	0	181	0	0	0	0	0	99	484	284	139	246	266	198	511	367	153	155	0
Cnpy1	154.037037	0	0	0	0	0	332	349	1275	0	194	1270	314	0	0	0	142	134	0	0	0	0	0	0	149	0	0	0	0
Phc2	153.814815	0	0	0	0	0	108	186	1299	0	0	1298	0	0	0	0	101	127	0	0	0	220	243	0	313	0	179	79	0
Kat7	153.740741	265	361	0	0	0	180	254	524	0	0	529	0	0	0	0	214	198	774	133	133	140	132	151	163	0	0	0	0
Clptm1l	153.296296	500	572	0	0	0	182	205	160	0	0	159	0	0	0	0	79	0	413	118	0	0	0	486	607	537	121	0	0
Ddi2	152.037037	305	293	0	0	0	305	200	188	0	0	189	0	0	0	0	97	147	284	152	0	178	205	406	558	485	0	113	0
Dgkz	151.555556	282	364	0	0	0	0	0	172	0	0	175	0	0	0	0	0	0	564	184	0	255	516	177	473	239	443	248	0
Ythdf2	151.481481	447	439	0	0	0	0	121	203	0	0	202	0	0	0	0	136	187	178	187	190	401	419	286	357	133	204	0	0
Clcn4	151.444444	648	946	0	0	0	270	276	271	0	0	249	114	0	0	0	116	97	359	0	0	0	0	435	308	0	0	0	0
Lrp6	151.296296	282	159	0	0	0	495	563	236	0	0	245	247	0	0	0	217	318	215	0	0	0	0	384	483	241	0	0	0
Epha2	151.296296	0	0	0	0	0	0	0	152	0	0	152	0	0	0	0	0	0	168	866	831	597	950	0	261	0	108	0	0
Rpl7a	150.814815	113	108	0	0	0	0	96	0	0	0	0	0	0	0	0	0	71	111	494	582	577	996	0	493	130	129	172	0
Med22	150.814815	113	108	0	0	0	0	96	0	0	0	0	0	0	0	0	0	71	111	494	582	577	996	0	493	130	129	172	0
Plekha1	150.259259	327	427	0	0	0	385	452	0	0	0	0	0	0	0	0	216	236	383	171	153	213	238	120	544	192	0	0	0
Nup54	150.000000	485	287	0	0	0	184	238	0	0	0	0	0	0	0	0	110	165	977	0	0	0	0	318	729	466	91	0	0
Klf11	149.888889	314	573	0	0	0	309	262	446	0	0	454	200	0	0	0	158	103	186	0	0	0	0	381	509	152	0	0	0
Mbd3	149.111111	113	240	0	0	0	515	514	498	0	0	496	112	0	0	0	0	100	198	0	0	0	0	113	684	350	0	93	0
Prkag1	149.037037	292	300	0	0	0	115	108	146	0	0	145	0	0	0	0	0	125	797	215	161	208	152	0	484	228	386	162	0
