Target_genes	Tfap4|Average	SRX554972|CD8+_T_cells	SRX1726746|Germinal_Center	SRX1726747|Germinal_Center	STRING
Rab43	198.000000	253	169	172	0
Luc7l	198.000000	342	0	252	0
Hdac5	198.000000	148	212	234	0
Fto	198.000000	173	156	265	0
Frat1	198.000000	248	139	207	0
Dusp13	198.000000	222	151	221	0
Dph6	198.000000	280	138	176	0
Ap2s1	198.000000	154	116	324	0
Agpat4	198.000000	594	0	0	0
Uba52	197.666667	172	205	216	0
Txnrd3	197.666667	183	204	206	0
Stn1	197.666667	131	175	287	0
Sptlc2	197.666667	195	221	177	0
Rex1bd	197.666667	172	205	216	0
Rdm1	197.666667	405	0	188	0
Pnn	197.666667	242	199	152	0
Pdcl3	197.666667	186	183	224	0
Nek9	197.666667	292	0	301	0
Larp4b	197.666667	140	160	293	0
Fcho2	197.666667	181	181	231	0
Diaph2	197.666667	509	0	84	0
Arhgap26	197.666667	232	131	230	0
Zbtb45	197.333333	418	64	110	0
Pik3cb	197.333333	144	169	279	0
Mrps30	197.333333	171	178	243	0
Hlcs	197.333333	172	120	300	0
Fam83g	197.333333	252	144	196	0
Dohh	197.333333	299	177	116	0
Cdk19	197.333333	174	205	213	0
Asap2	197.333333	137	209	246	0
2310011J03Rik	197.333333	221	96	275	0
Smndc1	197.000000	181	138	272	0
Sccpdh	197.000000	129	276	186	0
Rfx5	197.000000	373	0	218	0
Rasgrp1	197.000000	591	0	0	0
Ppp1r8	197.000000	224	196	171	0
Ppm1f	197.000000	288	0	303	0
Plekhb2	197.000000	591	0	0	0
Nmnat3	197.000000	277	189	125	0
Mbd6	197.000000	207	99	285	0
Hnrnpa0	197.000000	182	180	229	0
Ddit3	197.000000	207	99	285	0
Dbi	197.000000	425	0	166	0
Cdk12	197.000000	242	154	195	0
3110009E18Rik	197.000000	425	0	166	0
Zfp516	196.666667	0	81	509	0
Xrcc5	196.666667	590	0	0	0
Tmem135	196.666667	247	174	169	0
Tbc1d10c	196.666667	133	228	229	0
Stard9	196.666667	189	253	148	0
Ppp1ca	196.666667	133	228	229	0
Phf21b	196.666667	157	119	314	0
Mroh1	196.666667	154	230	206	0
Hk2	196.666667	491	0	99	0
Fnip1	196.666667	299	116	175	0
Ttc9c	196.333333	230	121	238	0
Tmx4	196.333333	324	101	164	0
Ndufa2	196.333333	505	0	84	0
Ndst1	196.333333	494	0	95	0
Mthfsl	196.333333	239	155	195	0
Ik	196.333333	505	0	84	0
Hnrnpul2	196.333333	230	121	238	0
Ctla4	196.333333	589	0	0	0
Cd81	196.333333	117	294	178	0
Atad1	196.333333	262	127	200	0
2610524H06Rik	196.333333	325	151	113	0
Zfp46	196.000000	103	201	284	0
Pou2f2	196.000000	295	157	136	0
Pdp2	196.000000	317	137	134	0
Map1s	196.000000	217	117	254	0
Frat2	196.000000	229	108	251	0
Tmem33	195.666667	166	276	145	0
Taf13	195.666667	327	99	161	0
Snf8	195.666667	130	261	196	0
Slc22a5	195.666667	0	258	329	0
Rdh13	195.666667	439	0	148	0
Percc1	195.666667	152	150	285	0
Mcrs1	195.666667	192	208	187	0
Lyrm4	195.666667	321	90	176	0
Ifi27	195.666667	587	0	0	0
Fars2	195.666667	321	90	176	0
Bin3	195.666667	171	139	277	0
BC003965	195.666667	152	150	285	0
Arfgap2	195.666667	161	193	233	0
Rpl32	195.333333	278	93	215	0
Rassf7	195.333333	188	222	176	0
Pi4kb	195.333333	227	109	250	0
Lmntd2	195.333333	188	222	176	0
Adamts10	195.333333	209	110	267	0
Usp25	195.000000	0	286	299	0
Srbd1	195.000000	0	227	358	0
Spata18	195.000000	409	0	176	0
Slc25a3	195.000000	388	93	104	0
Sgcb	195.000000	409	0	176	0
Prdm11	195.000000	114	242	229	0
Peli1	195.000000	286	126	173	0
Lbx1	195.000000	585	0	0	0
Capn1	195.000000	411	0	174	0
Camk2d	195.000000	273	168	144	0
Appbp2	195.000000	203	146	236	0
Ywhab	194.666667	289	100	195	0
Wsb1	194.666667	511	73	0	0
Vps13b	194.666667	299	97	188	0
Tspan3	194.666667	442	0	142	0
Spred1	194.666667	201	124	259	0
Pkn1	194.666667	209	179	196	0
Mettl15	194.666667	422	162	0	0
Melk	194.666667	244	142	198	0
Kif18a	194.666667	422	162	0	0
Ece1	194.666667	384	200	0	0
Ctsc	194.666667	278	85	221	0
Camk2g	194.666667	183	152	249	0
Atat1	194.666667	500	0	84	0
Aen	194.666667	348	98	138	0
Zranb3	194.333333	392	62	129	0
Zar1l	194.333333	237	163	183	0
Sdhaf3	194.333333	196	140	247	0
Rhbdd2	194.333333	236	109	238	0
Rbm12b1	194.333333	312	119	152	0
R3hdm1	194.333333	392	62	129	0
Prox1	194.333333	583	0	0	0
Phlpp1	194.333333	195	135	253	0
Litaf	194.333333	276	172	135	0
Hilpda	194.333333	283	129	171	0
Gm21885	194.333333	583	0	0	0
Eif4g1	194.333333	265	147	171	0
Egr2	194.333333	450	0	133	0
Brca2	194.333333	237	163	183	0
Vps28	194.000000	175	79	328	0
Slc4a8	194.000000	387	0	195	0
Selenoi	194.000000	209	150	223	0
Pyurf	194.000000	249	201	132	0
Nol10	194.000000	194	156	232	0
Nip7	194.000000	188	154	240	0
Lypla1	194.000000	212	129	241	0
Gnpat	194.000000	159	108	315	0
Fam204a	194.000000	342	122	118	0
Dnajc3	194.000000	187	154	241	0
Cog8	194.000000	188	154	240	0
Cars	194.000000	177	240	165	0
2810004N23Rik	194.000000	159	108	315	0
Wdr89	193.666667	280	125	176	0
Wdr74	193.666667	436	0	145	0
Tmem52	193.666667	581	0	0	0
Rcc2	193.666667	237	86	258	0
P4hb	193.666667	245	149	187	0
Hspa9	193.666667	262	88	231	0
Csnk1a1	193.666667	181	192	208	0
Bdh1	193.666667	433	0	148	0
Vapb	193.333333	195	138	247	0
Slc37a3	193.333333	359	138	83	0
Slc19a1	193.333333	240	198	142	0
Sec22c	193.333333	420	0	160	0
Rps27a	193.333333	223	100	257	0
Rbck1	193.333333	243	139	198	0
Rab19	193.333333	359	138	83	0
Ptch1	193.333333	473	107	0	0
Gm5617	193.333333	214	143	223	0
Clhc1	193.333333	223	100	257	0
Bicdl1	193.333333	187	237	156	0
Zfp568	193.000000	371	0	208	0
Sfmbt1	193.000000	283	149	147	0
Nudt4	193.000000	262	145	172	0
Mrm1	193.000000	365	0	214	0
Kcnh4	193.000000	579	0	0	0
Hcrt	193.000000	579	0	0	0
Fubp1	193.000000	315	115	149	0
Dnajb4	193.000000	315	115	149	0
Arhgef19	193.000000	416	0	163	0
Trib1	192.666667	423	0	155	0
Tent5c	192.666667	303	96	179	0
Slc4a7	192.666667	236	139	203	0
Slc25a14	192.666667	578	0	0	0
Saxo2	192.666667	144	150	284	0
Plpp1	192.666667	179	129	270	0
Mrps11	192.666667	119	248	211	0
Mrpl46	192.666667	119	248	211	0
Lyrm9	192.666667	130	250	198	0
Itpr2	192.666667	245	165	168	0
Il10rb	192.666667	366	0	212	0
Grsf1	192.666667	134	127	317	0
Efl1	192.666667	144	150	284	0
Csrnp2	192.666667	214	159	205	0
Atrip	192.666667	453	125	0	0
Atp7a	192.666667	326	99	153	0
Ptbp1	192.333333	278	136	163	0
Fmc1	192.333333	239	120	218	0
Fam221a	192.333333	207	186	184	0
Bms1	192.333333	215	111	251	0
Ap5z1	192.333333	193	152	232	0
Xab2	192.000000	147	200	229	0
Sbno2	192.000000	415	0	161	0
Pet100	192.000000	147	200	229	0
Pcp2	192.000000	147	200	229	0
Endou	192.000000	576	0	0	0
Cops4	192.000000	147	200	229	0
Timm8a2	191.666667	575	0	0	0
Thada	191.666667	313	121	141	0
Rab3gap2	191.666667	301	136	138	0
Ppp2r1a	191.666667	165	189	221	0
Ppia	191.666667	301	103	171	0
Ints7	191.666667	452	0	123	0
Dtl	191.666667	452	0	123	0
Bcl2	191.666667	575	0	0	0
Ammecr1l	191.666667	279	146	150	0
Tti2	191.333333	367	0	207	0
Rnaseh1	191.333333	295	146	133	0
Rcor2	191.333333	255	0	319	0
Mmp28	191.333333	574	0	0	0
Mgst3	191.333333	190	192	192	0
Fam207a	191.333333	193	156	225	0
Crem	191.333333	250	142	182	0
Cdv3	191.333333	135	153	286	0
Adi1	191.333333	382	0	192	0
Adck2	191.333333	385	0	189	0
Zpbp2	191.000000	258	131	184	0
Slc25a12	191.000000	169	282	122	0
Rabep2	191.000000	253	121	199	0
Med10	191.000000	119	186	268	0
Lpin2	191.000000	394	0	179	0
Ikzf3	191.000000	258	131	184	0
Crot	191.000000	236	147	190	0
Brpf3	191.000000	288	149	136	0
Zfp771	190.666667	143	189	240	0
Zfp39	190.666667	355	77	140	0
Sfxn2	190.666667	240	151	181	0
Rbm5	190.666667	225	141	206	0
Nupr1	190.666667	572	0	0	0
Nr4a1	190.666667	253	116	203	0
Kdm4b	190.666667	144	202	226	0
Ipo11	190.666667	143	199	230	0
Chst12	190.666667	264	132	176	0
Arl3	190.666667	240	151	181	0
Alms1	190.666667	334	0	238	0
Strada	190.333333	172	207	192	0
Pard6g	190.333333	0	319	252	0
Lig3	190.333333	274	137	160	0
Elovl1	190.333333	248	188	135	0
Dcp2	190.333333	164	194	213	0
Smim20	190.000000	117	241	212	0
Sik1	190.000000	139	212	219	0
Rnf113a1	190.000000	157	125	288	0
Rgs11	190.000000	570	0	0	0
Prpf40a	190.000000	224	159	187	0
Ppm1b	190.000000	189	130	251	0
Pdia2	190.000000	570	0	0	0
Ndufa1	190.000000	157	125	288	0
Hmbs	190.000000	373	0	197	0
Chst15	190.000000	377	0	193	0
Arl6ip6	190.000000	224	159	187	0
Arhgdig	190.000000	570	0	0	0
Adcy7	190.000000	418	0	152	0
Zfp24	189.666667	245	134	190	0
Treml2	189.666667	255	167	147	0
Tigit	189.666667	569	0	0	0
Smyd5	189.666667	253	173	143	0
Smim15	189.666667	97	285	187	0
Rpl21	189.666667	178	92	299	0
Rapgef1	189.666667	0	186	383	0
Ndrg1	189.666667	256	114	199	0
Dynlt1a	189.666667	0	288	281	0
C330007P06Rik	189.666667	473	0	96	0
Xrcc4	189.333333	194	166	208	0
Usp6nl	189.333333	220	128	220	0
Tmem167	189.333333	194	166	208	0
Mrpl16	189.333333	376	0	192	0
Marchf6	189.333333	215	123	230	0
Map4	189.333333	229	81	258	0
Ccdc15	189.333333	198	172	198	0
Bcl2l1	189.333333	237	171	160	0
Tfe3	189.000000	435	0	132	0
Pum1	189.000000	157	192	218	0
Ppp2r5e	189.000000	133	191	243	0
Msh5	189.000000	385	0	182	0
Mrm3	189.000000	256	131	180	0
Mat2a	189.000000	229	146	192	0
Ly6g6f	189.000000	256	112	199	0
Jpt2	189.000000	323	124	120	0
Glod4	189.000000	256	131	180	0
Efhd2	189.000000	120	154	293	0
Dpy30	189.000000	260	127	180	0
Clic1	189.000000	385	0	182	0
Cers2	189.000000	145	135	287	0
Anxa9	189.000000	145	135	287	0
Abhd16a	189.000000	256	112	199	0
Wdr73	188.666667	346	0	220	0
Ugdh	188.666667	204	167	195	0
Tnk2	188.666667	0	242	324	0
Sppl3	188.666667	243	170	153	0
Scnm1	188.666667	0	235	331	0
Nmb	188.666667	346	0	220	0
Mmgt2	188.666667	117	151	298	0
Lysmd1	188.666667	0	235	331	0
Lrrc75a	188.666667	117	151	298	0
Ddx6	188.666667	327	105	134	0
Celf1	188.666667	202	159	205	0
Arid1b	188.666667	182	142	242	0
Acox3	188.666667	192	184	190	0
1110004F10Rik	188.666667	220	152	194	0
Tnfrsf10b	188.333333	565	0	0	0
Slfn14	188.333333	180	183	202	0
Rpl22l1	188.333333	259	141	165	0
Rap1gap	188.333333	127	142	296	0
Map3k5	188.333333	294	111	160	0
Grm4	188.333333	565	0	0	0
Eif2ak3	188.333333	474	91	0	0
Ddx43	188.333333	565	0	0	0
Celf6	188.333333	367	86	112	0
Sp3	188.000000	272	130	162	0
Ppp1r14b	188.000000	429	0	135	0
Ntmt1	188.000000	134	208	222	0
Ndufa5	188.000000	176	152	236	0
Ncor2	188.000000	0	255	309	0
Inpp4a	188.000000	159	223	182	0
Dnajc27	188.000000	214	143	207	0
Asb15	188.000000	176	152	236	0
Adck5	188.000000	207	130	227	0
Tpm3	187.666667	222	154	187	0
Ssx2ip	187.666667	563	0	0	0
Smtn	187.666667	563	0	0	0
Rpl10a	187.666667	237	0	326	0
Rbm27	187.666667	286	149	128	0
Map4k2	187.666667	150	125	288	0
Knl1	187.666667	563	0	0	0
Btbd7	187.666667	0	277	286	0
Vmo1	187.333333	562	0	0	0
Prmt6	187.333333	413	0	149	0
Klf7	187.333333	298	173	91	0
Cox7a2l	187.333333	130	189	243	0
Traf5	187.000000	187	112	262	0
Stk3	187.000000	209	161	191	0
Ptov1	187.000000	561	0	0	0
Mthfd1	187.000000	303	136	122	0
Mtfp1	187.000000	148	119	294	0
Il2rb	187.000000	561	0	0	0
Ankrd35	187.000000	458	103	0	0
Acadm	187.000000	145	256	160	0
Txndc11	186.666667	228	119	213	0
Selenow	186.666667	202	152	206	0
Prkrip1	186.666667	186	149	225	0
Mrpl3	186.666667	255	0	305	0
Kptn	186.666667	291	128	141	0
Reep4	186.333333	269	105	185	0
Mrpl21	186.333333	461	0	98	0
Ighmbp2	186.333333	461	0	98	0
Hic1	186.333333	443	116	0	0
Gusb	186.333333	426	0	133	0
Gtf3c1	186.333333	234	94	231	0
D430042O09Rik	186.333333	234	94	231	0
Chpf2	186.333333	393	0	166	0
Rrs1	186.000000	313	112	133	0
Mzt1	186.000000	159	146	253	0
Mea1	186.000000	162	197	199	0
Klhdc3	186.000000	162	197	199	0
Klf9	186.000000	452	0	106	0
Dstn	186.000000	157	143	258	0
Chst10	186.000000	249	111	198	0
Camkk1	186.000000	239	94	225	0
Bora	186.000000	159	146	253	0
Arid2	186.000000	263	112	183	0
Adhfe1	186.000000	313	112	133	0
Usp18	185.666667	298	125	134	0
Supt20	185.666667	344	126	87	0
Smarcc2	185.666667	401	0	156	0
Slc38a10	185.666667	81	337	139	0
Sergef	185.666667	247	182	128	0
Isyna1	185.666667	247	169	141	0
Zfp78	185.333333	174	136	246	0
Nyx	185.333333	260	175	121	0
Gps2	185.333333	281	81	194	0
Gatad2b	185.333333	328	114	114	0
Ap3s2	185.333333	345	0	211	0
Zfp605	185.000000	224	157	174	0
Timm44	185.000000	360	0	195	0
Rpp38	185.000000	330	0	225	0
Prelid3b	185.000000	240	138	177	0
Gtpbp6	185.000000	224	157	174	0
Exoc3	185.000000	324	80	151	0
Cep170b	185.000000	175	150	230	0
Acbd7	185.000000	330	0	225	0
Zfp384	184.666667	233	127	194	0
Whamm	184.666667	221	80	253	0
Tmem53	184.666667	189	171	194	0
Tada1	184.666667	110	151	293	0
Sh3bgrl2	184.666667	258	0	296	0
Nab1	184.666667	276	0	278	0
Fsd2	184.666667	221	80	253	0
Eif3b	184.666667	150	125	279	0
Armh1	184.666667	189	171	194	0
1810055G02Rik	184.666667	213	158	183	0
Stk24	184.333333	135	197	221	0
Sephs2	184.333333	324	78	151	0
Rmi2	184.333333	291	0	262	0
Map11	184.333333	359	0	194	0
Brsk1	184.333333	553	0	0	0
Znrf2	184.000000	178	163	211	0
Tubg2	184.000000	352	0	200	0
Tnrc6c	184.000000	174	108	270	0
Tnnc1	184.000000	141	211	200	0
Rbm42	184.000000	131	227	194	0
Psmg2	184.000000	214	173	165	0
Plekhg2	184.000000	150	198	204	0
Pdcd2	184.000000	306	104	142	0
Nudt13	184.000000	171	178	203	0
Nisch	184.000000	141	211	200	0
Mphosph8	184.000000	172	211	169	0
Gaa	184.000000	241	151	160	0
Chd1l	184.000000	98	205	249	0
Cep76	184.000000	214	173	165	0
BC031181	184.000000	163	200	189	0
Rad50	183.666667	303	131	117	0
Oard1	183.666667	153	133	265	0
Nfya	183.666667	153	133	265	0
Cep55	183.666667	133	177	241	0
Cep128	183.666667	212	0	339	0
Zfr	183.333333	223	157	170	0
Sult2b1	183.333333	550	0	0	0
Shfl	183.333333	308	135	107	0
S1pr2	183.333333	395	0	155	0
Rmdn2	183.333333	332	109	109	0
Parp2	183.333333	284	98	168	0
Nae1	183.333333	211	151	188	0
Map3k20	183.333333	436	0	114	0
Lacc1	183.333333	197	133	220	0
Isoc1	183.333333	149	204	197	0
Grk5	183.333333	322	0	228	0
G2e3	183.333333	299	124	127	0
Ehmt1	183.333333	164	226	160	0
Ddx39b	183.333333	186	133	231	0
Ccdc122	183.333333	197	133	220	0
Car7	183.333333	211	151	188	0
Slc10a3	183.000000	307	112	130	0
Rprd1a	183.000000	123	161	265	0
Gm44504	183.000000	307	112	130	0
Atg16l1	183.000000	214	182	153	0
Ap5b1	183.000000	411	0	138	0
Ahr	183.000000	188	158	203	0
Sec24b	182.666667	97	221	230	0
Popdc2	182.666667	548	0	0	0
Hgh1	182.666667	212	161	175	0
Grrp1	182.666667	548	0	0	0
E2f8	182.666667	190	125	233	0
Cst3	182.666667	441	0	107	0
Bclaf1	182.666667	203	106	239	0
Whrn	182.333333	320	76	151	0
Stx6	182.333333	291	118	138	0
Sdf4	182.333333	262	153	132	0
Rpp30	182.333333	146	0	401	0
Nhlrc2	182.333333	368	0	179	0
Klc1	182.333333	140	137	270	0
Eif3d	182.333333	286	104	157	0
Ect2	182.333333	425	0	122	0
Dclre1a	182.333333	368	0	179	0
Coq7	182.333333	210	131	206	0
B3galt6	182.333333	262	153	132	0
Scamp5	182.000000	256	0	290	0
Nol6	182.000000	0	258	288	0
Ints5	182.000000	122	136	288	0
Ganab	182.000000	122	136	288	0
Fgfr3	182.000000	546	0	0	0
Cibar2	182.000000	546	0	0	0
6430571L13Rik	182.000000	380	0	166	0
Suz12	181.666667	208	138	199	0
Sf3a2	181.666667	154	149	242	0
Rhot2	181.666667	221	190	134	0
Rars	181.666667	232	168	145	0
Prkab1	181.666667	161	130	254	0
Plekhj1	181.666667	154	149	242	0
Ndufb4	181.666667	122	266	157	0
Nav2	181.666667	170	206	169	0
Grhpr	181.666667	214	159	172	0
Cox10	181.666667	183	124	238	0
Syce2	181.333333	160	152	232	0
Derl3	181.333333	309	109	126	0
Zc3hav1	181.000000	234	134	175	0
Slc1a5	181.000000	292	130	121	0
Ripor1	181.000000	224	117	202	0
Klhl20	181.000000	339	0	204	0
Kansl1l	181.000000	133	184	226	0
Gm5741	181.000000	185	177	181	0
Ei24	181.000000	156	154	233	0
Dhps	181.000000	185	177	181	0
Ajm1	181.000000	543	0	0	0
Zbtb44	180.666667	228	172	142	0
Ttc17	180.666667	262	116	164	0
Necap1	180.666667	118	204	220	0
Metap2	180.666667	236	142	164	0
Irs2	180.666667	249	109	184	0
Gdi1	180.666667	296	0	246	0
Dusp10	180.666667	261	149	132	0
Dck	180.666667	195	149	198	0
1700056E22Rik	180.666667	261	149	132	0
Tuba1b	180.333333	272	0	269	0
Sinhcaf	180.333333	106	267	168	0
Shf	180.333333	0	261	280	0
Nubpl	180.333333	340	0	201	0
Mis18a	180.333333	248	122	171	0
Kif15	180.333333	170	190	181	0
Eif2b3	180.333333	293	0	248	0
Dipk1a	180.333333	132	202	207	0
1110059G10Rik	180.333333	170	190	181	0
Zfp963	180.000000	225	136	179	0
Vezt	180.000000	217	154	169	0
Ubtf	180.000000	143	237	160	0
Tuba8	180.000000	540	0	0	0
Tspan13	180.000000	149	182	209	0
Son	180.000000	138	107	295	0
Phykpl	180.000000	268	166	106	0
Myh9	180.000000	140	155	245	0
Impact	180.000000	445	0	95	0
Gm36712	180.000000	138	107	295	0
Gart	180.000000	138	107	295	0
Fgd6	180.000000	217	154	169	0
Acy1	180.000000	227	176	137	0
Ulk1	179.666667	303	109	127	0
Srsf7	179.666667	375	0	164	0
Pex7	179.666667	89	180	270	0
Pak4	179.666667	225	209	105	0
Nek11	179.666667	311	97	131	0
Marchf2	179.666667	227	169	143	0
Lima1	179.666667	0	251	288	0
Gng12	179.666667	310	0	229	0
Aste1	179.666667	311	97	131	0
Sel1l	179.333333	237	163	138	0
Rbl1	179.333333	259	120	159	0
Helb	179.333333	187	137	214	0
Dtd1	179.333333	189	129	220	0
Cobll1	179.333333	538	0	0	0
Cflar	179.333333	538	0	0	0
Zfp799	179.000000	537	0	0	0
Tmem41a	179.000000	206	106	225	0
Spg20	179.000000	149	237	151	0
Phtf1	179.000000	340	0	197	0
Kin	179.000000	161	177	199	0
Ipmk	179.000000	262	126	149	0
Herc4	179.000000	166	105	266	0
Hcls1	179.000000	361	0	176	0
Elac2	179.000000	271	107	159	0
Crebzf	179.000000	147	236	154	0
Cisd1	179.000000	262	126	149	0
Chrdl2	179.000000	537	0	0	0
Btbd9	179.000000	219	140	178	0
Atp5c1	179.000000	161	177	199	0
Rab5a	178.666667	161	252	123	0
Nsun3	178.666667	324	0	212	0
Fyn	178.666667	248	113	175	0
Asap3	178.666667	299	128	109	0
Ahcyl2	178.666667	197	163	176	0
Tppp	178.333333	184	188	163	0
Prr12	178.333333	125	169	241	0
Nfatc1	178.333333	129	160	246	0
Gkap1	178.333333	141	211	183	0
Eif2b2	178.333333	209	178	148	0
Dock6	178.333333	206	73	256	0
Srpk2	178.000000	534	0	0	0
Rexo1	178.000000	116	131	287	0
Rab3ip	178.000000	0	239	295	0
Mxd1	178.000000	224	170	140	0
Krtcap2	178.000000	354	0	180	0
Klhl26	178.000000	137	189	208	0
Ints3	178.000000	338	0	196	0
Hsdl1	178.000000	355	0	179	0
Dnaaf1	178.000000	355	0	179	0
Dedd	178.000000	173	99	262	0
Tbccd1	177.666667	291	109	133	0
Plcd1	177.666667	533	0	0	0
Pgm2	177.666667	328	111	94	0
Oasl1	177.666667	188	184	161	0
Fhit	177.666667	533	0	0	0
Dnajb11	177.666667	291	109	133	0
Ap1m1	177.666667	310	0	223	0
Anapc1	177.666667	265	0	268	0
Spag7	177.333333	453	0	79	0
Patz1	177.333333	289	0	243	0
Ephx1	177.333333	300	0	232	0
Eno1	177.333333	175	162	195	0
Zcchc17	177.000000	131	151	249	0
Sra1	177.000000	407	0	124	0
Snrnp40	177.000000	131	151	249	0
Rccd1	177.000000	450	0	81	0
Polr2b	177.000000	185	117	229	0
Noa1	177.000000	185	117	229	0
Mrtfb	177.000000	414	0	117	0
Meiob	177.000000	149	210	172	0
Mapk3	177.000000	108	153	270	0
Il15	177.000000	531	0	0	0
Cdca7	177.000000	153	157	221	0
Usp44	176.666667	236	151	143	0
Trmo	176.666667	415	0	115	0
Polr2e	176.666667	237	120	173	0
Mkln1	176.666667	161	114	255	0
Keap1	176.666667	292	94	144	0
Fbxo42	176.666667	166	155	209	0
Ctso	176.666667	470	0	60	0
Adgrg5	176.666667	530	0	0	0
Abtb2	176.666667	530	0	0	0
Stom	176.333333	281	112	136	0
Smc3	176.333333	194	91	244	0
Slc27a4	176.333333	303	0	226	0
Prkcsh	176.333333	148	177	204	0
Foxk2	176.333333	199	136	194	0
Cstad	176.333333	315	0	214	0
Ccdc151	176.333333	148	177	204	0
2310057M21Rik	176.333333	288	120	121	0
Zdhhc17	176.000000	164	139	225	0
Slc35b3	176.000000	259	108	161	0
Plpbp	176.000000	202	119	207	0
Mrpl38	176.000000	0	277	251	0
Galnt11	176.000000	235	113	180	0
Def6	176.000000	437	0	91	0
Cdca7l	176.000000	177	97	254	0
B3gnt6	176.000000	528	0	0	0
Asf1a	176.000000	183	158	187	0
Aldh9a1	176.000000	405	0	123	0
Ppm1h	175.666667	527	0	0	0
Btaf1	175.666667	226	155	146	0
Zfp566	175.333333	135	142	249	0
Zfp260	175.333333	135	142	249	0
Uhrf1bp1l	175.333333	120	186	220	0
Ube2c	175.333333	526	0	0	0
Tmco4	175.333333	271	94	161	0
Prps1l3	175.333333	217	145	164	0
Prkar2b	175.333333	211	162	153	0
Mipol1	175.333333	217	145	164	0
Fancc	175.333333	222	116	188	0
Copg1	175.333333	121	127	278	0
Cebpzos	175.333333	249	126	151	0
Blvra	175.333333	213	140	173	0
Bcl7b	175.333333	191	122	213	0
Arhgef40	175.333333	526	0	0	0
4930402H24Rik	175.333333	216	137	173	0
Rps2	175.000000	225	114	186	0
Rnf151	175.000000	225	114	186	0
Ric1	175.000000	204	149	172	0
Ndufb10	175.000000	225	114	186	0
Naaa	175.000000	249	0	276	0
Mrpl36	175.000000	388	0	137	0
Gsto2	175.000000	165	135	225	0
Gabpa	175.000000	197	107	221	0
Atp5j	175.000000	197	107	221	0
Ptpn11	174.666667	154	175	195	0
Pear1	174.666667	125	180	219	0
Otub1	174.666667	338	96	90	0
Ice2	174.666667	145	115	264	0
Topors	174.333333	208	153	162	0
Smim27	174.333333	208	153	162	0
Rnf146	174.333333	95	217	211	0
Ptp4a3	174.333333	380	0	143	0
Mrpl9	174.333333	220	128	175	0
Mphosph9	174.333333	286	126	111	0
Mfsd12	174.333333	119	261	143	0
Ccdc86	174.333333	226	130	167	0
Arhgap12	174.333333	236	112	175	0
2810006K23Rik	174.333333	286	126	111	0
Sipa1l2	174.000000	0	275	247	0
Sec14l1	174.000000	193	120	209	0
Pdhb	174.000000	144	159	219	0
Mief2	174.000000	200	103	219	0
Katnb1	174.000000	522	0	0	0
Flii	174.000000	200	103	219	0
Crtap	174.000000	221	121	180	0
Vinac1	173.666667	112	153	256	0
Ubald1	173.666667	143	112	266	0
Ttl	173.666667	112	153	256	0
Tra2b	173.666667	150	178	193	0
Snx14	173.666667	264	111	146	0
Serpine2	173.666667	521	0	0	0
Serhl	173.666667	102	252	167	0
Rtcb	173.666667	199	0	322	0
Med25	173.666667	295	0	226	0
Fuz	173.666667	295	0	226	0
Fam102a	173.666667	319	0	202	0
E2f7	173.666667	180	134	207	0
Camta2	173.666667	282	0	239	0
Zfp709	173.333333	520	0	0	0
Sys1	173.333333	235	79	206	0
Rheb	173.333333	180	137	203	0
Pmepa1	173.333333	520	0	0	0
Klhl8	173.333333	370	150	0	0
Elovl5	173.333333	231	138	151	0
Efr3a	173.333333	209	143	168	0
Ak3	173.333333	401	0	119	0
Telo2	173.000000	519	0	0	0
Srsf9	173.000000	0	163	356	0
Sh3tc1	173.000000	303	0	216	0
Ptx4	173.000000	519	0	0	0
Mllt11	173.000000	132	128	259	0
Memo1	173.000000	211	134	174	0
Ldb1	173.000000	187	190	142	0
Iqgap2	173.000000	519	0	0	0
Enho	173.000000	118	192	209	0
Cdc42se1	173.000000	132	128	259	0
Yes1	172.666667	167	211	140	0
Wdpcp	172.666667	195	137	186	0
Rbm45	172.666667	156	172	190	0
Mdh1	172.666667	195	137	186	0
Laptm4b	172.666667	518	0	0	0
Gsdmd	172.666667	518	0	0	0
Creb3l1	172.666667	277	0	241	0
Aff4	172.666667	262	0	256	0
Vps13c	172.333333	187	157	173	0
Sec31b	172.333333	373	0	144	0
Pdf	172.333333	246	0	271	0
Mad2l1	172.333333	263	113	141	0
Hdac4	172.333333	173	169	175	0
Acadl	172.333333	186	119	212	0
Zfp809	172.000000	302	92	122	0
Mrpl27	172.000000	204	91	221	0
Mocos	172.000000	516	0	0	0
Mdn1	172.000000	198	111	207	0
Irf2bpl	172.000000	346	80	90	0
Gpr142	172.000000	516	0	0	0
Eme1	172.000000	204	91	221	0
Arhgap17	172.000000	149	230	137	0
Vmac	171.666667	182	158	175	0
Usp7	171.666667	81	176	258	0
Uhrf1bp1	171.666667	229	131	155	0
Tctn1	171.666667	123	215	177	0
Strap	171.666667	164	143	208	0
Sirt2	171.666667	198	190	127	0
Sem1	171.666667	174	132	209	0
Ruvbl1	171.666667	367	0	148	0
Prr5l	171.666667	220	120	175	0
Pcyox1	171.666667	515	0	0	0
Nfkbib	171.666667	198	190	127	0
Ndufa11	171.666667	182	158	175	0
Gdpd1	171.666667	515	0	0	0
Comp	171.666667	86	233	196	0
Commd9	171.666667	220	120	175	0
Zfand4	171.333333	174	127	213	0
Pmaip1	171.333333	142	122	250	0
