Target_genes	Gli3|Average	SRX20599249|Cortex	SRX23462396|Embryonic_brains	SRX23462397|Embryonic_brains	SRX23462398|Embryonic_brains	SRX386266|Embryonic_limb	STRING
Pim1	79.600000	87	211	100	0	0	0
Krtap10-10	79.600000	398	0	0	0	0	0
Ptger1	79.400000	0	215	0	182	0	0
Lamtor4	79.400000	397	0	0	0	0	0
Tmem198b	79.000000	311	84	0	0	0	0
Dnajc14	79.000000	311	84	0	0	0	0
Crebzf	79.000000	0	212	0	183	0	0
Cndp2	79.000000	395	0	0	0	0	0
Bola3	79.000000	395	0	0	0	0	0
Cdc20b	78.800000	0	249	0	145	0	0
Lce1i	78.600000	393	0	0	0	0	0
Krtap31-1	78.600000	393	0	0	0	0	0
Cdhr4	78.600000	393	0	0	0	0	0
Pcdhb19	78.400000	392	0	0	0	0	0
Apoc2	78.400000	392	0	0	0	0	0
Topaz1	78.200000	391	0	0	0	0	0
Ccl26	78.000000	390	0	0	0	0	0
Ankrd65	78.000000	390	0	0	0	0	0
Lce1f	77.600000	388	0	0	0	0	0
Dffb	77.600000	388	0	0	0	0	0
Cep104	77.600000	388	0	0	0	0	0
Zfp970	77.400000	387	0	0	0	0	0
Wfdc5	77.400000	387	0	0	0	0	0
Wfdc12	77.400000	387	0	0	0	0	0
Tbc1d9b	77.400000	387	0	0	0	0	0
Spz1	77.400000	387	0	0	0	0	0
Rwdd2b	77.400000	387	0	0	0	0	0
Lce1g	77.400000	387	0	0	0	0	0
Gjd4	77.400000	387	0	0	0	0	0
Dnah14	77.400000	387	0	0	0	0	0
Adcy7	77.400000	387	0	0	0	0	0
Tm4sf20	77.200000	386	0	0	0	0	0
Stpg1	77.200000	386	0	0	0	0	0
Nipal3	77.200000	386	0	0	0	0	0
Nubp1	77.000000	0	261	0	124	0	0
Cftr	77.000000	385	0	0	0	0	0
Pipox	76.800000	0	194	110	80	0	0
Krtap4-1	76.600000	383	0	0	0	0	0
Gm17455	76.600000	383	0	0	0	0	0
Eno2	76.600000	383	0	0	0	0	0
Ak9	76.600000	383	0	0	0	0	0
Zfp607b	76.400000	152	230	0	0	0	0
Tmem181a	76.400000	382	0	0	0	0	0
Gm11564	76.400000	382	0	0	0	0	0
Ddx55	76.400000	0	226	0	156	0	0
Olfr474	76.200000	381	0	0	0	0	0
Gm21637	76.200000	381	0	0	0	0	0
Tdpoz7	76.000000	380	0	0	0	0	0
Tdpoz5	76.000000	380	0	0	0	0	0
Pcdhgb1	76.000000	380	0	0	0	0	0
Pcdhga3	76.000000	380	0	0	0	0	0
Faap100	76.000000	380	0	0	0	0	0
Krtap2-4	75.800000	379	0	0	0	0	0
Gm11937	75.800000	379	0	0	0	0	0
Ccl24	75.800000	379	0	0	0	0	0
Slc43a2	75.600000	0	122	119	137	0	0
Kcnk18	75.400000	377	0	0	0	0	0
Cldn34c4	75.400000	377	0	0	0	0	0
Ces1g	75.400000	377	0	0	0	0	0
Ush1c	75.200000	376	0	0	0	0	0
Tgtp1	75.200000	376	0	0	0	0	0
Otog	75.200000	376	0	0	0	0	0
Olfr170	75.200000	376	0	0	0	0	0
Mcl1	75.000000	0	206	0	169	0	0
Eif4a3l1	75.000000	375	0	0	0	0	0
Cyp46a1	75.000000	375	0	0	0	0	0
Tjp2	74.800000	374	0	0	0	0	0
Slc2a9	74.800000	374	0	0	0	0	0
Ppp1r12b	74.800000	374	0	0	0	0	0
Lce3d	74.800000	374	0	0	0	0	0
Lce1b	74.800000	374	0	0	0	0	0
Catspere2	74.800000	374	0	0	0	0	0
Calhm1	74.800000	374	0	0	0	0	0
Arhgef10l	74.800000	374	0	0	0	0	0
Pcdhb14	74.600000	373	0	0	0	0	0
Gm14325	74.600000	373	0	0	0	0	0
Cd70	74.600000	373	0	0	0	0	0
Mroh5	74.400000	372	0	0	0	0	0
Thbd	74.200000	371	0	0	0	0	0
Gm11563	74.200000	371	0	0	0	0	0
Specc1	74.000000	370	0	0	0	0	0
Rnf222	74.000000	370	0	0	0	0	0
Pnldc1	74.000000	370	0	0	0	0	0
Lce1d	74.000000	370	0	0	0	0	0
Stra8	73.600000	368	0	0	0	0	0
Mroh1	73.600000	368	0	0	0	0	0
Hbq1a	73.600000	368	0	0	0	0	0
Hba-a2	73.600000	368	0	0	0	0	0
Hba-a1	73.600000	368	0	0	0	0	0
Olfr773	73.400000	367	0	0	0	0	0
Npc1l1	73.400000	367	0	0	0	0	0
Top1	73.200000	366	0	0	0	0	0
Ripply3	73.200000	366	0	0	0	0	0
Fbxo33	73.000000	365	0	0	0	0	0
Smdt1	72.800000	364	0	0	0	0	0
Pheta2	72.800000	364	0	0	0	0	0
Olfr1154	72.800000	364	0	0	0	0	0
Naga	72.800000	364	0	0	0	0	0
Rhbdd3	72.600000	363	0	0	0	0	0
Lrig1	72.600000	0	363	0	0	0	0
Lce1j	72.600000	363	0	0	0	0	0
Ewsr1	72.600000	363	0	0	0	0	0
Ceacam19	72.600000	363	0	0	0	0	0
Tsen2	72.400000	362	0	0	0	0	0
Rpap1	72.400000	362	0	0	0	0	0
Pfkfb2	72.400000	362	0	0	0	0	0
Oip5	72.400000	0	200	0	162	0	0
Nusap1	72.400000	0	200	0	162	0	0
Fam71b	72.400000	362	0	0	0	0	0
Acot8	72.400000	362	0	0	0	0	0
Nr1d2	72.200000	224	0	0	137	0	0
Cryge	72.200000	361	0	0	0	0	0
Hbq1b	72.000000	360	0	0	0	0	0
Uso1	71.800000	359	0	0	0	0	0
Tubb2a	71.800000	359	0	0	0	0	0
Guca2b	71.800000	359	0	0	0	0	0
G3bp2	71.800000	359	0	0	0	0	0
Arhgap40	71.800000	359	0	0	0	0	0
Wbp2nl	71.400000	357	0	0	0	0	0
Scap	71.400000	357	0	0	0	0	0
Rps2	71.400000	357	0	0	0	0	0
Rnf151	71.400000	357	0	0	0	0	0
Epha10	71.400000	357	0	0	0	0	0
Psg26	71.200000	356	0	0	0	0	0
Krt72	71.200000	356	0	0	0	0	0
Fam170b	71.200000	356	0	0	0	0	0
Dnah8	71.000000	355	0	0	0	0	0
Pcdhgb6	70.800000	354	0	0	0	0	0
Pcdhga10	70.800000	354	0	0	0	0	0
Nnt	70.800000	0	204	0	150	0	0
Prr29	70.600000	353	0	0	0	0	0
Krtap5-2	70.600000	353	0	0	0	0	0
Icam2	70.600000	353	0	0	0	0	0
Figla	70.600000	353	0	0	0	0	0
Amhr2	70.400000	352	0	0	0	0	0
Ttll8	70.200000	351	0	0	0	0	0
Blmh	70.200000	0	210	0	141	0	0
Trim50	70.000000	350	0	0	0	0	0
Tfpi	70.000000	350	0	0	0	0	0
Slc23a3	70.000000	350	0	0	0	0	0
Pnkp	70.000000	243	0	0	107	0	0
Ndufa9	70.000000	350	0	0	0	0	0
Ndc1	70.000000	350	0	0	0	0	0
Igsf23	70.000000	350	0	0	0	0	0
Htr2a	70.000000	350	0	0	0	0	0
Gtsf1	70.000000	350	0	0	0	0	0
Fkbp6	70.000000	350	0	0	0	0	0
Fam71a	70.000000	350	0	0	0	0	0
Elf5	70.000000	350	0	0	0	0	0
Ankrd34c	70.000000	350	0	0	0	0	0
Rrad	69.800000	349	0	0	0	0	0
Pcdhb5	69.800000	349	0	0	0	0	0
Krtap4-9	69.800000	349	0	0	0	0	0
Krtap4-8	69.800000	349	0	0	0	0	0
Dpp3	69.800000	349	0	0	0	0	0
Cdh16	69.800000	349	0	0	0	0	0
Catsper4	69.800000	349	0	0	0	0	0
Vmn1r45	69.600000	348	0	0	0	0	0
Tubb2b	69.600000	348	0	0	0	0	0
Stk31	69.600000	348	0	0	0	0	0
Pdap1	69.600000	0	207	0	141	0	0
Lce1k	69.600000	348	0	0	0	0	0
Hspbp1	69.600000	348	0	0	0	0	0
Bud31	69.600000	0	207	0	141	0	0
Krtap1-5	69.400000	347	0	0	0	0	0
Krtap1-4	69.400000	347	0	0	0	0	0
Sptbn2	69.200000	346	0	0	0	0	0
Fam228a	69.000000	345	0	0	0	0	0
Akr1a1	69.000000	0	204	0	141	0	0
Prp2	68.800000	344	0	0	0	0	0
Lin54	68.800000	344	0	0	0	0	0
Gm7579	68.800000	344	0	0	0	0	0
Sf3b5	68.600000	343	0	0	0	0	0
Rtp1	68.600000	343	0	0	0	0	0
Krt85	68.600000	343	0	0	0	0	0
Krt83	68.600000	343	0	0	0	0	0
Rnf212b	68.400000	342	0	0	0	0	0
Krtap13	68.400000	342	0	0	0	0	0
Gnb1l	68.400000	0	181	0	161	0	0
Dtx4	68.400000	342	0	0	0	0	0
Fgf3	68.000000	340	0	0	0	0	0
Rmc1	67.800000	339	0	0	0	0	0
Hsd3b5	67.800000	339	0	0	0	0	0
Wfdc11	67.600000	338	0	0	0	0	0
Vmn1r56	67.600000	338	0	0	0	0	0
Ston1	67.600000	338	0	0	0	0	0
Phyhd1	67.600000	338	0	0	0	0	0
Krtap5-4	67.600000	338	0	0	0	0	0
Gm11595	67.600000	338	0	0	0	0	0
Defb22	67.600000	338	0	0	0	0	0
Celsr1	67.600000	0	146	0	192	0	0
C1qtnf12	67.600000	338	0	0	0	0	0
Arhgef2	67.600000	338	0	0	0	0	0
Adamts3	67.600000	338	0	0	0	0	0
Spin2-ps1	67.400000	337	0	0	0	0	0
Rpl10l	67.400000	337	0	0	0	0	0
H2-Q9	67.400000	337	0	0	0	0	0
H2-Q7	67.400000	337	0	0	0	0	0
Piwil1	67.200000	336	0	0	0	0	0
Pcdhb7	67.200000	336	0	0	0	0	0
