Target_genes	Stat2|Average	SRX1441664|B_cells	SRX1441665|B_cells	SRX1441666|B_cells	SRX1441667|B_cells	SRX2647476|CD4+_T_cells	SRX2647477|CD4+_T_cells	SRX2647478|CD4+_T_cells	SRX2647492|CD4+_T_cells	SRX2647493|CD4+_T_cells	SRX2647494|CD4+_T_cells	SRX122565|Dendritic_Cells	SRX122566|Dendritic_Cells	SRX122567|Dendritic_Cells	SRX122568|Dendritic_Cells	SRX122569|Dendritic_Cells	SRX122570|Dendritic_Cells	SRX122571|Dendritic_Cells	SRX122572|Dendritic_Cells	SRX122573|Dendritic_Cells	SRX9426636|ES_cells	SRX9426637|ES_cells	SRX9426638|ES_cells	SRX9426647|ES_cells	SRX9426648|ES_cells	SRX9426649|ES_cells	SRX9426650|ES_cells	SRX9426651|ES_cells	SRX9426652|ES_cells	SRX9426653|ES_cells	SRX9426654|ES_cells	SRX9426663|ES_cells	SRX9426664|ES_cells	SRX9426665|ES_cells	SRX4178756|Macrophages	SRX4178757|Macrophages	SRX4178762|Macrophages	SRX4178763|Macrophages	SRX4178768|Macrophages	SRX4178769|Macrophages	SRX4178774|Macrophages	SRX4178775|Macrophages	SRX4178778|Macrophages	SRX4178779|Macrophages	SRX4178782|Macrophages	SRX4178783|Macrophages	SRX805962|Macrophages	SRX805963|Macrophages	SRX805964|Macrophages	SRX18239627|MEF	SRX18239630|MEF	SRX5503048|MEF	SRX5503051|MEF	SRX9426700|MEF	SRX9426701|MEF	SRX9426702|MEF	SRX9426711|MEF	SRX9426712|MEF	SRX9426713|MEF	STRING
Oas1c	539.327586	0	185	2979	2922	302	183	127	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	297	0	191	212	143	276	0	198	236	0	721	138	2857	1939	1176	273	0	0	1077	437	0	0	187	3451	4166	563	1903	1786	0	0	0	606	258	996	273	0
Oas1b	539.327586	0	185	2979	2922	302	183	127	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	297	0	191	212	143	276	0	198	236	0	721	138	2857	1939	1176	273	0	0	1077	437	0	0	187	3451	4166	563	1903	1786	0	0	0	606	258	996	273	0
Brox	535.293103	0	759	658	1307	939	887	879	845	893	975	330	166	379	0	0	0	152	179	501	607	598	627	622	629	663	590	516	517	719	654	554	499	662	803	267	950	594	731	158	164	149	274	189	99	150	484	794	1782	516	514	1404	347	513	301	350	392	393	423	0
Aida	535.293103	0	759	658	1307	939	887	879	845	893	975	330	166	379	0	0	0	152	179	501	607	598	627	622	629	663	590	516	517	719	654	554	499	662	803	267	950	594	731	158	164	149	274	189	99	150	484	794	1782	516	514	1404	347	513	301	350	392	393	423	0
Rnf213	531.155172	0	201	3234	2812	319	0	0	174	0	0	0	0	267	0	179	192	0	0	0	0	0	0	0	146	0	0	0	0	181	0	98	120	0	1549	302	2486	2110	1638	812	0	0	531	253	0	0	285	2879	3283	613	2458	1755	0	0	0	410	171	1069	280	0
Irgm2	505.413793	0	140	2686	2513	579	409	161	235	223	156	0	0	0	0	0	0	0	0	0	0	0	0	0	352	0	136	0	0	385	0	176	199	0	965	129	2453	1913	450	215	0	0	1686	951	0	0	0	2497	3034	764	1990	1689	143	0	0	484	225	1035	341	0
Kpna1	500.120690	0	0	0	0	1259	1125	1184	1145	1184	1092	0	0	0	0	0	0	0	0	0	838	805	722	681	967	694	868	408	451	1062	796	626	692	622	510	249	619	249	479	207	723	220	255	250	761	260	1248	621	765	448	124	234	430	824	376	548	513	261	612	0
Trim30a	489.637931	0	289	3374	3209	338	209	210	411	149	151	0	0	0	0	196	182	0	0	0	0	0	0	0	121	0	0	0	0	221	0	84	0	0	847	176	2710	1981	1502	452	0	0	398	182	0	0	378	4188	4231	85	870	273	0	0	0	112	0	650	220	0
Trex1	489.051724	0	196	2190	2026	484	96	156	381	197	156	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	1622	354	2619	1974	1321	334	0	0	933	385	0	0	187	2988	3925	671	2176	1459	0	0	0	172	98	710	266	0
Shisa5	489.051724	0	196	2190	2026	484	96	156	381	197	156	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	1622	354	2619	1974	1321	334	0	0	933	385	0	0	187	2988	3925	671	2176	1459	0	0	0	172	98	710	266	0
Trim12c	483.534483	0	185	2473	2198	253	163	0	211	103	96	0	0	0	0	134	218	0	0	0	0	0	0	0	418	0	0	0	0	324	0	132	202	0	1035	179	2839	1821	1780	385	0	0	1037	381	0	0	137	3191	3770	767	2090	547	0	0	0	236	97	466	177	0
Tmem184b	480.982759	0	0	3106	2811	88	0	0	265	0	125	0	0	220	0	187	323	0	0	0	0	0	0	0	154	0	0	0	0	117	0	0	0	0	328	0	3112	2238	1407	568	0	0	0	0	0	0	0	3728	4451	195	1321	1764	0	0	0	226	112	853	198	0
Trim34a	475.672414	0	0	1975	1645	184	90	105	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	499	0	147	96	121	463	116	173	204	0	975	224	2810	2158	1617	564	0	0	1836	854	0	0	0	2758	3699	436	1651	829	0	0	0	330	124	494	170	0
Adar	465.189655	0	409	2724	2582	442	324	398	511	348	367	0	0	0	0	0	0	0	0	0	0	0	0	0	226	0	109	0	0	305	0	66	115	0	1143	281	2068	1441	946	587	0	0	944	377	0	0	215	2100	2593	567	1906	1225	0	0	0	346	175	841	300	0
Mrpl30	462.189655	0	170	2693	2217	680	374	452	527	533	586	0	0	0	0	109	0	0	0	0	0	0	0	0	328	0	0	0	0	262	0	0	0	0	560	0	2428	1440	1376	417	0	0	264	122	0	0	105	3549	3989	509	1437	663	0	0	0	290	94	451	182	0
Mitd1	462.189655	0	170	2693	2217	680	374	452	527	533	586	0	0	0	0	109	0	0	0	0	0	0	0	0	328	0	0	0	0	262	0	0	0	0	560	0	2428	1440	1376	417	0	0	264	122	0	0	105	3549	3989	509	1437	663	0	0	0	290	94	451	182	0
Igtp	461.775862	0	0	2738	2225	628	394	132	374	191	126	0	0	0	0	0	0	0	0	0	0	0	0	0	219	0	0	0	0	140	0	0	0	0	632	93	2760	1978	522	151	0	0	1554	803	0	0	0	2543	3053	630	1786	1756	0	0	0	306	133	743	173	0
Oas2	454.706897	0	0	2709	2398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	396	0	81	0	0	405	0	232	208	0	1721	450	2667	2066	1736	651	0	0	747	449	0	0	410	2860	3440	261	1257	577	0	0	0	81	0	397	174	0
Xaf1	449.103448	0	152	2186	2139	188	151	111	291	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	308	0	0	0	0	188	0	101	106	0	1058	259	2782	2060	1531	428	0	0	1145	445	0	0	187	2781	3177	520	1572	1084	0	0	0	335	78	454	119	0
Ms4a4d	435.534483	0	0	3185	2816	0	0	0	0	0	0	0	0	251	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	693	202	2778	2272	1157	390	0	0	482	254	0	0	124	3670	4318	0	696	874	0	0	0	0	0	797	116	0
Oas1a	422.310345	0	0	1795	1445	109	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	114	0	0	175	0	63	0	0	1470	307	2889	2133	1267	547	0	0	0	0	0	0	295	3386	3984	533	1933	730	0	0	0	160	0	586	166	0
Tor3a	421.965517	0	0	2731	2823	159	0	0	119	0	0	0	0	207	0	289	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	0	2774	1708	1115	452	0	0	184	0	0	0	0	2915	3347	365	1408	1786	0	0	0	417	123	839	222	0
Oas3	417.862069	0	0	2138	2182	469	253	0	325	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	875	148	2841	2397	1818	700	0	0	283	139	0	0	108	3425	3717	0	672	979	0	0	0	147	0	411	113	0
Trim25	415.896552	0	375	3019	2816	550	229	214	642	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	371	0	125	143	123	306	72	149	195	0	749	93	2251	1602	1497	477	0	0	270	0	0	0	84	1730	2278	338	1064	934	0	0	0	367	179	592	193	0
Trim30d	413.982759	0	197	3524	2878	282	166	89	223	176	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	676	241	2804	1893	1290	417	0	0	130	0	0	0	245	4060	4401	0	212	0	0	0	0	0	0	0	0	0
Parp9	412.344828	0	0	2164	1802	342	213	0	385	87	158	0	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	143	0	88	0	0	945	0	2288	1367	1439	494	0	0	1861	1130	0	0	99	2263	2825	291	1006	1200	0	0	0	237	128	533	144	0
Dtx3l	412.344828	0	0	2164	1802	342	213	0	385	87	158	0	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	143	0	88	0	0	945	0	2288	1367	1439	494	0	0	1861	1130	0	0	99	2263	2825	291	1006	1200	0	0	0	237	128	533	144	0
Zc3hav1	411.293103	0	201	2432	2042	465	81	153	294	211	352	0	0	0	0	0	0	0	0	0	0	0	0	0	177	0	0	0	0	181	0	0	160	0	999	214	2223	1376	1490	441	0	0	496	213	0	0	129	2129	2765	465	1446	1263	0	0	0	285	195	755	222	0
Zbp1	407.982759	0	0	1885	1710	181	139	0	198	0	101	0	0	0	0	297	187	0	0	0	0	0	0	0	97	0	0	0	0	174	0	0	0	0	640	115	2782	1962	1489	692	0	0	1005	365	0	0	94	2965	3776	126	720	1277	0	0	0	149	0	360	177	0
Usp18	407.827586	0	102	2189	2145	875	397	130	721	209	213	0	0	0	0	0	0	0	0	0	0	0	0	0	328	0	0	0	0	393	189	107	269	0	975	183	2059	1502	1018	298	0	0	0	0	0	0	0	1788	2370	786	2243	1026	0	0	0	229	89	632	189	0
Oasl1	407.517241	0	0	1268	1115	221	126	213	206	262	225	0	0	0	0	0	0	0	0	0	626	442	441	471	311	561	523	493	414	453	378	445	381	492	357	218	1761	878	464	165	378	65	166	104	217	319	306	1837	2143	461	511	285	269	723	374	329	575	199	465	0
Smg7	405.810345	0	0	2258	1987	490	403	400	437	615	650	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2656	2253	1074	273	0	0	262	0	0	0	0	2995	3501	215	1247	776	0	0	0	118	0	595	174	0
Il31ra	405.068966	0	0	0	0	1289	1225	1395	1219	1198	1192	0	0	0	0	0	0	0	0	0	706	683	556	417	885	593	556	555	310	913	685	502	486	348	293	104	512	0	186	0	545	170	284	195	438	0	959	408	547	290	170	233	269	533	308	590	369	0	378	0
H2-T24	402.827586	0	155	2242	2009	181	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	251	0	0	123	0	1129	282	2070	1487	1440	571	0	0	1134	433	0	0	254	2315	2670	484	1359	1045	0	0	0	242	108	781	194	0
Tgtp2	401.862069	0	0	2873	2704	0	237	0	173	0	0	0	0	0	0	0	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	481	0	2549	1386	692	0	0	0	1530	618	0	0	127	3051	3941	210	1127	845	0	0	0	0	0	471	105	0
Ifi47	401.431034	0	0	2066	1768	101	0	0	116	0	86	0	0	0	0	147	0	0	0	0	0	0	0	0	82	0	0	0	0	128	0	0	0	0	438	100	2388	1769	1477	455	0	0	1597	579	0	0	78	2920	3590	356	1189	848	0	0	0	152	85	574	194	0
Cmpk2	394.637931	0	0	2969	2498	199	0	92	190	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	131	0	0	0	0	678	0	2270	1624	1541	335	0	0	664	370	0	0	0	2252	2863	277	1421	1147	0	0	0	349	109	556	146	0
Gm12250	394.120690	0	0	2773	2336	0	0	0	101	0	0	0	0	0	0	273	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	393	0	3055	2128	900	378	0	0	1248	534	0	0	64	2918	3381	0	805	733	0	0	0	0	0	468	206	0
Ifi35	388.068966	0	0	1762	1462	279	118	0	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	568	201	2584	1817	1330	594	0	0	1934	1004	0	0	100	2273	2986	353	1143	724	0	0	0	261	88	477	218	0
Ranbp2	384.965517	0	0	1738	1099	1369	1046	1005	1214	1158	1364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	248	0	2377	1347	1163	272	0	0	943	357	0	0	0	2218	2889	0	132	209	0	0	0	0	0	180	0	0
Ddx60	381.689655	0	0	1410	1209	252	170	0	152	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	320	0	0	0	0	282	72	97	78	0	628	98	2649	2076	1443	470	0	0	470	159	0	0	108	2420	3005	437	1672	1018	0	0	0	320	161	693	160	0
Gbp7	380.896552	0	0	1343	1106	0	0	0	95	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	255	0	2736	1907	975	198	0	0	1785	783	0	0	0	3141	3467	291	1124	1418	0	0	0	263	131	677	179	0
Clec2d	380.137931	0	291	2652	2269	376	140	137	322	87	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	531	158	1991	1751	807	574	0	0	406	148	0	0	0	2418	2924	409	1400	720	0	0	0	352	196	581	173	0
Ifit3b	377.241379	0	0	1713	1481	113	0	0	0	0	0	0	0	0	0	281	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	655	0	2122	1852	1258	653	0	0	409	140	0	0	130	3169	3620	581	2108	604	0	0	0	225	108	378	84	0
Cxcl10	377.155172	0	0	2430	1922	192	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	2258	1774	1462	367	0	0	586	295	0	0	0	3647	3678	130	1017	1351	0	0	0	109	0	325	101	0
Cmtr1	374.620690	0	0	2311	1848	821	655	540	916	753	740	0	0	0	0	0	0	0	0	0	0	0	0	0	246	0	0	0	0	282	0	161	0	0	351	93	2461	835	593	289	0	0	175	0	0	0	0	1754	2690	382	983	1065	0	0	0	138	0	525	121	0
Ifi204	370.051724	0	0	326	0	0	0	0	158	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	736	127	2622	2075	1740	458	0	0	1250	575	0	0	118	3682	3915	273	1174	712	0	0	0	292	203	601	293	0
Pml	367.568966	0	0	3283	2615	375	120	117	366	130	113	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	137	0	2113	1436	465	212	0	0	260	0	0	0	0	2920	3728	171	681	1133	0	0	0	146	114	430	153	0
Sppl2a	366.206897	0	0	479	365	857	505	495	622	627	929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	514	0	2711	1776	1711	491	0	0	1189	542	0	0	0	2332	2894	112	815	974	0	0	0	107	0	193	0	0
Trim5	363.689655	0	0	1744	1563	271	295	270	206	170	159	0	0	0	0	192	0	0	0	0	0	0	0	0	111	0	0	0	0	163	0	0	0	0	606	129	2841	1677	1125	412	0	0	701	278	0	0	135	2945	3832	452	508	0	0	0	0	149	0	160	0	0
Ifi211	362.586207	0	0	0	0	130	0	0	136	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	553	160	2685	2184	1709	530	0	0	1120	494	0	0	0	3663	3826	463	1647	837	0	0	0	209	96	346	112	0
Parp11	361.948276	0	0	1523	1355	307	109	216	215	110	152	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307	132	2482	1798	779	284	0	0	708	272	0	0	0	3253	3925	204	1004	922	0	0	0	117	0	501	208	0
Ifit3	360.586207	0	0	1584	1182	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	779	148	1963	1625	1269	692	0	0	308	221	0	0	176	3055	3467	706	2039	713	0	0	0	231	120	401	109	0
Parp10	360.482759	0	0	1652	1246	179	158	0	143	0	0	0	0	169	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	119	0	129	0	0	253	0	2941	2028	1121	403	0	0	480	0	0	0	0	2871	3666	339	1410	1104	0	0	0	151	0	227	0	0
Grina	360.482759	0	0	1652	1246	179	158	0	143	0	0	0	0	169	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	119	0	129	0	0	253	0	2941	2028	1121	403	0	0	480	0	0	0	0	2871	3666	339	1410	1104	0	0	0	151	0	227	0	0
Gbp3	358.655172	0	0	121	0	124	90	0	171	0	0	0	0	0	0	105	95	0	0	0	0	0	0	0	138	0	0	0	0	211	79	146	74	0	0	0	2448	1942	1132	385	0	0	848	264	0	0	0	3308	3678	606	1857	1101	0	0	0	491	186	896	306	0
Trim69	356.120690	0	0	676	393	410	124	0	278	0	111	0	0	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	494	0	2375	1623	961	397	0	0	1577	896	0	0	0	2509	2976	328	973	1692	0	0	0	409	241	797	214	0
Naa25	352.551724	0	0	413	413	188	0	0	215	0	211	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	499	93	2945	2050	1481	537	0	0	1996	729	0	0	0	3515	3832	0	152	693	0	0	0	0	0	381	0	0
Parp12	347.000000	0	0	616	456	188	129	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	358	0	0	0	0	273	102	106	149	0	782	168	2733	1706	1584	518	0	0	1611	761	0	0	0	1143	1934	431	1401	913	0	0	0	473	176	1029	262	0
Ifih1	340.310345	0	0	1898	1543	408	262	0	305	158	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	513	0	2167	1591	1036	350	0	0	702	314	0	0	77	2039	2937	396	1124	739	0	0	0	233	109	464	219	0
Pnp	340.275862	0	0	103	0	355	0	0	397	98	89	0	0	206	0	308	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	712	135	2409	1283	1283	360	0	0	1702	643	0	0	125	3100	4075	119	503	895	0	0	0	237	0	294	150	0
Tor1aip2	339.568966	0	0	906	754	403	184	179	367	262	343	0	0	0	0	182	0	0	0	0	0	0	0	0	108	0	0	0	0	73	0	0	0	0	1228	153	1974	1665	1398	494	0	0	331	163	0	0	160	2387	2757	414	1576	598	0	0	0	104	0	532	0	0
Tor1aip1	339.568966	0	0	906	754	403	184	179	367	262	343	0	0	0	0	182	0	0	0	0	0	0	0	0	108	0	0	0	0	73	0	0	0	0	1228	153	1974	1665	1398	494	0	0	331	163	0	0	160	2387	2757	414	1576	598	0	0	0	104	0	532	0	0
Irf7	338.672414	0	0	2101	1924	372	122	151	229	143	190	0	0	0	0	0	0	0	0	0	0	0	0	0	360	0	84	0	0	355	0	273	164	0	484	0	1566	901	662	202	0	0	292	0	0	0	141	2685	2909	431	960	710	0	0	0	285	0	784	163	0
Samd9l	338.655172	0	0	1997	1490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	0	173	0	0	0	0	630	177	2046	1456	1165	522	0	0	705	393	0	0	0	2174	2583	464	1936	195	0	0	0	284	121	759	203	0
Ifit1bl2	337.517241	0	0	1010	809	206	116	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	405	0	2504	1759	1211	486	0	0	194	0	0	0	0	2637	2863	603	1937	1465	0	0	0	323	0	664	151	0
Ifit1	337.517241	0	0	1010	809	206	116	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	405	0	2504	1759	1211	486	0	0	194	0	0	0	0	2637	2863	603	1937	1465	0	0	0	323	0	664	151	0
Slfn8	336.620690	0	171	2491	2090	259	126	0	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	757	145	2544	1517	980	252	0	0	249	0	0	0	169	3319	3733	0	403	0	0	0	0	0	0	109	0	0
Gvin1	334.568966	0	0	2014	1838	208	194	0	189	132	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	539	0	2762	2039	1225	492	0	0	896	406	0	0	0	2920	3473	0	0	0	0	0	0	0	0	0	0	0
Gm4070	334.568966	0	0	2014	1838	208	194	0	189	132	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	539	0	2762	2039	1225	492	0	0	896	406	0	0	0	2920	3473	0	0	0	0	0	0	0	0	0	0	0
B4galt5	330.741379	0	0	1627	1607	194	0	0	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	921	116	2234	1610	1654	533	0	0	932	443	0	0	93	1849	2465	225	1147	1151	0	0	0	0	0	199	0	0
Cox18	324.758621	0	0	1907	1588	653	339	203	716	411	548	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	384	0	2434	1554	798	246	0	0	722	342	0	0	0	1694	1967	391	1147	557	0	0	0	0	0	145	0	0
Trim12a	324.637931	0	143	1832	1664	300	244	288	235	219	208	0	0	0	0	130	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	454	107	2422	1456	1223	307	0	0	703	237	0	0	129	2840	3405	0	93	0	0	0	0	0	0	0	0	0
Chmp4b	322.793103	0	0	1478	1359	652	340	246	464	593	547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246	0	2284	1588	751	363	0	0	820	388	0	0	0	2434	3120	111	340	399	0	0	0	0	0	199	0	0
Ifit2	320.379310	0	0	276	247	143	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2689	2008	1723	712	0	0	245	0	0	0	0	3316	3746	265	1369	935	0	0	0	138	0	428	219	0
Oas1g	319.413793	0	0	220	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	311	0	0	0	0	155	0	0	126	0	1063	230	2585	1906	1153	367	0	0	0	0	0	0	170	3171	3708	281	1657	722	0	0	0	0	0	548	0	0
Phf11d	317.448276	0	0	569	293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	592	0	2545	1711	1360	441	0	0	702	296	0	0	95	2456	3589	314	1430	1139	0	0	0	195	0	527	158	0
BC147527	314.172414	0	0	2100	1878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	441	0	2774	2123	1290	454	0	0	156	0	0	0	72	3123	3811	0	0	0	0	0	0	0	0	0	0	0
Tap1	314.051724	0	0	1722	1365	250	215	0	223	94	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	604	0	2281	1422	647	179	0	0	612	349	0	0	0	2122	2772	279	1086	951	0	0	0	233	0	523	148	0
