Target_genes	Mycn|Average	SRX821477|Medulloblastoma	SRX821480|Medulloblastoma	SRX2960250|Neuroblastoma	SRX2960253|Neuroblastoma	SRX2960256|Neuroblastoma	SRX8423446|Tumor	SRX8423448|Tumor	SRX8423450|Tumor	SRX8423452|Tumor	SRX8423454|Tumor	SRX14407156|T_cell_lymphoma_cells	STRING
Coq2	530.090909	0	144	161	0	0	772	1372	265	484	2512	121	0
Eid1	528.363636	0	738	309	176	0	832	776	167	208	2402	204	0
Rpl27	526.545455	0	244	0	0	0	1146	2455	268	300	1249	130	0
Ddx50	526.181818	0	472	160	0	0	641	1019	337	297	2580	282	0
Seh1l	525.818182	0	567	0	113	0	548	1587	219	433	2164	153	0
Rack1	523.727273	0	0	261	124	0	824	2028	182	244	1868	230	0
Wdr4	522.909091	0	191	236	84	0	654	1310	341	348	2422	166	0
Pprc1	520.363636	0	0	997	545	137	638	791	136	181	2167	132	0
Pms2	519.000000	0	93	189	122	0	703	1442	311	236	2505	108	0
Aimp2	519.000000	0	93	189	122	0	703	1442	311	236	2505	108	0
Ppia	518.636364	0	139	295	221	108	997	1461	246	192	1863	183	0
Slc16a6	518.545455	0	172	570	251	0	1037	1240	247	262	1764	161	0
Arsg	518.545455	0	172	570	251	0	1037	1240	247	262	1764	161	0
Mrpl54	517.363636	0	244	0	0	0	451	1804	395	314	2347	136	0
Apba3	517.363636	0	244	0	0	0	451	1804	395	314	2347	136	0
Ran	516.727273	0	222	574	171	0	790	934	386	523	1911	173	0
Eif4h	516.000000	0	129	347	280	0	711	856	242	377	2541	193	0
Rae1	515.454545	0	197	0	0	0	842	1663	265	357	2264	82	0
Nop58	515.090909	0	200	190	132	0	638	1467	367	304	2223	145	0
BC048403	514.727273	0	235	465	209	0	966	1085	217	242	2064	179	0
Mbd3	514.363636	0	228	559	277	0	834	1018	384	391	1803	164	0
Smyd2	511.363636	0	145	184	93	0	678	1749	225	220	2223	108	0
Ppan	511.272727	0	231	239	240	0	822	1283	543	411	1742	113	0
Ezh2	509.000000	94	1969	84	0	0	339	528	308	376	1790	111	0
Mettl25	508.909091	0	119	143	0	0	574	1573	298	337	2363	191	0
Ccdc59	508.909091	0	119	143	0	0	574	1573	298	337	2363	191	0
Morf4l2	507.272727	0	1142	0	0	0	711	1609	160	162	1642	154	0
Noc2l	506.454545	0	1056	132	117	0	688	1247	218	388	1581	144	0
Klhl17	506.454545	0	1056	132	117	0	688	1247	218	388	1581	144	0
Yeats2	506.090909	0	683	0	0	0	629	1274	197	264	2383	137	0
Ywhae	505.909091	0	121	136	129	0	994	1727	215	355	1778	110	0
Rnf145	505.454545	0	574	583	259	0	530	978	270	203	2073	90	0
Anapc5	504.000000	0	547	99	98	0	491	1032	328	305	2420	224	0
Ddx59	501.818182	0	137	108	0	0	652	1069	312	374	2776	92	0
Atp5g2	501.545455	0	444	180	0	0	654	1317	322	436	2043	121	0
Tas1r1	501.181818	0	246	0	0	0	779	1613	214	419	2242	0	0
Nol9	501.181818	0	246	0	0	0	779	1613	214	419	2242	0	0
Srsf6	499.545455	0	129	97	0	0	938	2067	296	237	1596	135	0
Trim65	499.363636	0	713	227	138	0	797	718	259	190	2235	216	0
Srek1	499.272727	0	0	174	0	0	682	1654	353	322	2181	126	0
Adpgk	499.181818	0	369	0	0	0	624	1283	270	366	2441	138	0
D16Ertd472e	498.909091	0	178	414	137	0	703	1208	190	222	2300	136	0
Odc1	498.818182	0	132	289	175	0	790	1149	240	353	2174	185	441
Cstf1	497.818182	0	448	156	209	0	461	1378	326	366	1971	161	0
Aurka	497.818182	0	448	156	209	0	461	1378	326	366	1971	161	0
Phf10	495.636364	0	0	0	0	0	843	1841	240	367	2161	0	0
Sil1	494.000000	0	0	157	95	0	702	1235	298	339	2433	175	0
A430005L14Rik	493.181818	0	103	308	369	0	656	712	363	405	2347	162	0
Pts	492.909091	0	941	188	0	0	514	841	133	452	2232	121	0
Supv3l1	489.818182	0	0	503	378	0	636	919	387	319	2115	131	0
Saysd1	489.727273	0	0	283	193	0	694	1221	385	351	2126	134	0
Hspa9	489.727273	0	488	119	139	0	629	1439	352	294	1816	111	0
Gtf2ird2	489.727273	0	215	684	236	0	674	1080	238	239	1856	165	0
Ercc6l2	489.636364	0	0	0	0	0	710	1690	291	377	2227	91	0
Rpl13	489.363636	0	206	129	120	0	774	2292	264	223	1217	158	0
Snrpa1	488.454545	0	126	0	0	0	460	1511	258	176	2732	110	0
Rsad1	488.363636	0	877	0	114	0	482	880	235	312	2288	184	0
Rpl12	488.181818	0	175	128	127	0	879	2324	152	216	1262	107	0
Lrsam1	488.181818	0	175	128	127	0	879	2324	152	216	1262	107	0
Phospho1	487.909091	0	1168	0	0	0	912	873	201	205	1937	71	0
Snai1	487.181818	0	231	137	155	0	683	605	408	412	2589	139	0
Nol12	487.181818	0	0	0	0	0	650	1884	391	389	2045	0	0
Rps3a1	486.090909	0	181	0	0	0	1003	2280	241	268	1207	167	0
Clptm1l	486.090909	0	0	0	0	0	622	1252	268	215	2867	123	0
Smim14	485.818182	0	956	144	95	0	664	665	175	245	2239	161	0
Rnps1	485.545455	0	130	0	69	0	994	1927	162	169	1774	116	0
Tmem125	485.454545	0	234	195	0	0	523	1546	670	941	892	339	0
Gpi1	485.363636	0	122	288	234	0	888	811	402	301	2106	187	0
Pradc1	485.090909	0	416	196	0	0	621	2195	174	165	1404	165	0
Cct7	485.090909	0	416	196	0	0	621	2195	174	165	1404	165	0
Tmem120b	485.000000	0	349	311	246	0	684	660	252	285	2421	127	0
Rint1	484.000000	0	183	149	134	0	687	1046	239	217	2518	151	0
Pus7	484.000000	0	183	149	134	0	687	1046	239	217	2518	151	0
Mfsd5	483.727273	0	134	423	144	0	565	964	303	296	2329	163	0
Pla2g6	482.363636	0	275	289	335	0	679	1153	376	361	1672	166	0
U2af2	482.000000	0	1003	250	155	0	673	1026	225	229	1570	171	0
Taf4b	482.000000	0	180	133	133	0	616	1038	251	304	2462	185	0
Galnt11	479.909091	0	441	156	0	0	515	1295	231	238	2234	169	0
Trim28	479.727273	0	106	139	129	0	748	1462	388	464	1651	190	0
Cct4	478.636364	0	130	0	0	0	776	2128	166	231	1728	106	0
Bcap29	478.636364	0	177	175	0	0	784	907	200	203	2608	211	0
Fam185a	478.000000	0	0	307	235	0	655	1325	223	232	2110	171	0
Ccdc146	478.000000	0	0	307	235	0	655	1325	223	232	2110	171	0
Get4	477.818182	0	141	0	0	0	880	938	294	457	2430	116	0
Tbc1d2	476.363636	0	0	0	0	0	543	1404	205	291	2701	96	0
Itfg2	476.000000	0	184	158	105	0	447	1082	337	442	2346	135	0
Dph6	475.727273	0	288	91	86	0	486	1332	221	218	2379	132	0
Smarca4	475.181818	0	340	333	205	0	805	587	391	316	2065	185	0
Twistnb	474.363636	0	100	0	0	0	756	1373	301	270	2298	120	0
Pibf1	474.363636	0	217	119	114	0	564	1365	220	329	2162	128	0
Dis3	474.363636	0	217	119	114	0	564	1365	220	329	2162	128	0
Gtf3a	474.272727	0	0	73	0	0	570	1296	302	377	2451	148	0
C1qbp	474.272727	0	150	0	134	0	524	1274	301	218	2487	129	0
Rps7	473.818182	0	186	117	0	0	987	2264	169	283	1095	111	0
Gnpnat1	473.727273	0	175	116	123	0	702	773	243	206	2730	143	0
Fitm2	473.272727	0	0	0	0	0	602	1065	189	227	3029	94	0
Pcbp1	472.818182	0	298	322	245	0	976	1203	356	299	1275	227	0
Ctcf	472.454545	513	1150	0	0	0	464	652	178	285	1955	0	0
Zmym6	472.181818	0	0	1057	395	0	550	829	137	279	1947	0	0
Mapk8	469.727273	0	207	400	245	0	509	546	355	244	2415	246	0
Pum1	469.636364	0	66	102	0	0	562	1641	124	209	2317	145	0
Rrp1b	469.363636	0	156	195	128	0	690	1014	248	308	2279	145	0
Hsf2bp	469.363636	0	156	195	128	0	690	1014	248	308	2279	145	0
Zfp451	468.454545	0	606	255	193	0	450	944	240	231	2092	142	0
Ddx21	468.454545	0	169	161	0	0	748	1494	311	361	1825	84	0
Ldlrad3	468.000000	0	205	0	0	0	529	1575	116	237	2486	0	0
Aatf	467.636364	0	136	193	0	0	444	1326	276	323	2300	146	0
Mios	467.181818	0	245	116	0	0	437	1550	119	239	2305	128	0
Slc35e2	467.000000	0	342	0	0	0	598	1704	221	346	1811	115	0
Crebzf	466.545455	0	157	142	0	0	665	1556	293	323	1893	103	0
Fam227b	466.363636	240	354	124	0	0	444	1107	220	173	2388	80	0
Dtwd1	466.363636	240	354	124	0	0	444	1107	220	173	2388	80	0
Sdad1	466.272727	0	0	0	95	0	720	1071	246	205	2667	125	0
Lamp1	466.090909	0	162	863	423	0	546	391	212	302	2228	0	0
Abcc1	465.636364	0	193	0	124	0	752	1062	169	238	2456	128	0
Eif4g1	465.272727	0	154	411	296	0	572	1196	265	323	1778	123	0
0610009B22Rik	465.090909	0	0	273	0	0	678	1507	349	313	1867	129	0
Pitpnb	464.545455	0	92	293	178	0	593	631	367	298	2551	107	0
Hspe1	463.909091	0	231	175	179	0	636	1392	306	413	1646	125	0
Hspd1	463.909091	0	231	175	179	0	636	1392	306	413	1646	125	0
Prr14l	463.000000	0	0	0	0	0	921	980	294	241	2426	231	0
Rnf220	462.181818	0	97	0	0	0	888	1915	144	239	1661	140	0
Pelp1	460.909091	0	117	97	124	0	558	934	364	377	2402	97	0
Endov	460.909091	0	179	0	0	0	546	1358	201	578	2105	103	0
Fam193a	460.000000	0	1312	184	0	0	380	757	306	267	1654	200	0
9430038I01Rik	459.909091	0	63	321	0	0	622	1147	329	380	2197	0	0
Znhit6	459.818182	0	0	66	0	0	244	1397	181	207	2963	0	0
E130309D02Rik	459.454545	0	165	0	0	0	454	1327	242	571	2172	123	0
Mtmr10	459.181818	0	750	0	0	0	471	783	112	187	2665	83	0
Map2k7	458.636364	0	0	111	77	0	725	685	307	374	2623	143	0
Cox18	458.636364	0	179	0	0	0	685	766	462	256	2542	155	0
Sft2d3	458.454545	0	194	0	0	0	583	1289	207	284	2320	166	0
Sspn	458.090909	66	241	142	382	0	661	818	257	351	1569	552	0
Pycrl	457.727273	0	184	226	243	0	554	909	138	250	2417	114	0
Hps5	457.727273	0	0	311	182	0	493	1044	363	477	2076	89	0
Gtf2h1	457.727273	0	0	311	182	0	493	1044	363	477	2076	89	0
Serf2	457.636364	0	78	684	278	0	517	321	436	345	2188	187	0
Rita1	457.636364	0	160	0	0	0	887	1737	322	290	1519	119	0
Ddx54	457.636364	0	160	0	0	0	887	1737	322	290	1519	119	0
Ptprs	457.454545	0	76	1185	541	256	214	534	194	209	1823	0	0
Lcorl	457.454545	0	413	268	140	0	434	1044	295	230	2011	197	0
Pogk	456.545455	0	128	0	0	0	674	1322	110	281	2440	67	0
Cisd2	455.727273	0	173	0	0	0	612	1042	253	407	2455	71	0
Btbd9	455.727273	0	114	111	0	0	586	1176	186	313	2386	141	0
Lipt2	454.909091	0	189	185	134	0	480	1254	188	167	2330	77	0
Rps10	454.818182	0	100	114	0	0	823	1699	212	235	1732	88	0
Mcm7	454.727273	0	174	0	0	0	528	1699	349	307	1945	0	0
Kansl2	454.727273	0	460	0	129	0	569	1258	231	311	1872	172	0
Cct2	454.727273	0	189	144	0	0	542	1817	181	319	1702	108	0
Ap4m1	454.727273	0	174	0	0	0	528	1699	349	307	1945	0	0
Fbl	454.636364	0	0	266	198	0	559	1303	314	247	1957	157	0
Sirt1	454.363636	0	145	207	232	0	902	779	206	249	2200	78	0
Slc20a1	454.090909	0	822	370	173	0	431	898	270	228	1654	149	0
Ctps	452.272727	0	301	242	195	0	548	895	263	333	1982	216	0
Smarcad1	451.909091	0	176	0	0	0	481	1282	382	336	2219	95	0
Usp36	451.818182	0	101	335	353	0	615	648	346	211	2149	212	0
Ddx39b	451.818182	0	66	130	0	0	690	2101	218	226	1427	112	0
Psmg4	451.272727	0	0	0	120	0	398	1268	350	287	2389	152	0
Pgm2l1	451.272727	0	0	108	0	0	495	1055	276	237	2669	124	0
Vwa1	451.090909	0	569	0	0	0	662	1545	178	218	1720	70	0
Snrnp35	451.000000	0	152	0	0	0	659	1517	360	301	1840	132	0
Thap4	450.727273	0	150	0	0	0	599	1317	242	373	2180	97	0
Atg4b	450.727273	0	150	0	0	0	599	1317	242	373	2180	97	0
Dnajc27	450.545455	0	143	125	150	0	334	1200	306	291	2240	167	0
Gmfb	450.454545	0	118	140	0	0	585	1030	244	160	2542	136	0
Dhx15	449.909091	0	120	106	0	0	553	1613	207	219	1927	204	0
Hilpda	449.363636	0	218	0	124	0	791	510	357	208	2567	168	0
Bnip1	449.363636	0	0	0	0	0	456	1401	217	140	2565	164	0
Fus	449.272727	0	281	0	0	0	568	1306	393	422	1902	70	0
Golga5	449.090909	0	104	191	105	0	637	315	396	346	2654	192	0
Zc3h6	448.636364	0	276	174	168	0	543	1183	225	260	1959	147	0
Rmi2	448.636364	0	121	0	0	0	484	1173	366	338	2324	129	0
Rbm45	448.272727	0	141	1461	591	476	283	407	89	108	1375	0	0
Ccdc9	448.272727	0	177	208	170	0	680	1067	164	233	2120	112	0
Eif3b	448.000000	0	310	164	358	0	537	896	273	199	2068	123	0
Tsfm	447.545455	0	206	0	0	0	658	655	237	208	2864	95	0
Ascc3	447.454545	0	180	0	0	0	559	1189	228	270	2401	95	0
Rpp14	447.363636	0	0	118	0	0	584	900	270	317	2649	83	0
Htd2	447.363636	0	0	118	0	0	584	900	270	317	2649	83	0
Strap	447.181818	0	240	116	0	0	609	1385	365	284	1756	164	0
Chmp6	447.090909	0	0	0	0	0	785	1102	166	289	2576	0	0
Cdk8	447.000000	70	1437	0	124	0	287	718	167	170	1944	0	0
Arf6	446.636364	0	94	85	102	0	657	1220	214	377	2010	154	0
Ube2cbp	446.454545	0	226	281	221	0	504	1042	251	294	1925	167	0
Dop1a	446.454545	0	226	281	221	0	504	1042	251	294	1925	167	0
Cdk5r1	445.909091	71	1271	108	0	0	305	725	172	372	1740	141	0
Mogs	445.818182	0	338	0	0	0	742	920	173	215	2383	133	0
Atad3a	445.636364	0	0	0	0	0	467	1088	315	296	2665	71	0
Gas2	445.272727	0	111	396	177	0	647	812	176	302	2129	148	0
Fancf	445.272727	0	111	396	177	0	647	812	176	302	2129	148	0
Zfp605	445.000000	0	122	133	142	0	638	1475	250	244	1715	176	0
Gtpbp6	445.000000	0	122	133	142	0	638	1475	250	244	1715	176	0
Rps24	444.454545	0	136	99	0	0	613	1703	176	145	1929	88	0
Polr3a	444.454545	0	136	99	0	0	613	1703	176	145	1929	88	0
Pet117	443.818182	0	80	258	128	0	349	967	186	224	2507	183	0
Kat14	443.818182	0	80	258	128	0	349	967	186	224	2507	183	0
Brf1	442.909091	0	141	0	0	0	479	1229	292	351	2330	50	0
Srm	442.818182	0	0	792	372	193	477	875	298	232	1487	145	0
Nudt9	442.545455	0	92	327	143	0	531	685	166	313	2453	158	0
Ppp2r2a	441.363636	0	306	137	0	0	605	2150	109	253	1104	191	0
Adh5	441.272727	0	158	386	313	0	335	1024	125	208	2175	130	0
Snrpd1	441.090909	0	349	0	0	0	455	1170	300	232	2170	176	0
Mllt1	440.818182	0	0	108	173	0	721	672	218	277	2469	211	0
Lig3	440.454545	0	494	168	88	0	372	1006	293	256	2089	79	0
Tmem201	440.363636	0	99	0	0	0	647	1315	310	339	2049	85	0
Pip4p2	440.363636	0	0	0	0	0	743	1258	145	80	2618	0	0
Prrc2a	440.090909	0	63	0	0	0	719	1803	166	247	1713	130	0
Atic	440.000000	0	115	483	129	0	524	1138	120	124	2059	148	0
Larp1	439.909091	0	0	484	357	0	702	1146	320	211	1487	132	0
Ldha	439.272727	0	365	307	186	0	766	747	253	192	1812	204	0
Msi2	439.000000	0	834	172	0	0	535	939	158	309	1723	159	0
Zfp341	437.636364	0	98	87	0	0	645	963	244	168	2448	161	0
Utp4	437.363636	0	0	279	142	0	546	1256	230	493	1736	129	0
Derpc	437.363636	0	0	279	142	0	546	1256	230	493	1736	129	0
Chtf8	437.363636	0	0	279	142	0	546	1256	230	493	1736	129	0
Ivns1abp	437.000000	218	886	0	174	0	597	836	272	301	1434	89	0
Calm3	436.909091	0	292	234	71	0	424	667	356	452	2142	168	0
Naa40	436.272727	0	95	0	0	0	482	508	369	488	2857	0	0
Eif3a	436.181818	0	0	397	169	0	673	915	177	298	2028	141	0
Atp6v1g2	435.545455	0	129	0	0	0	690	2101	218	226	1427	0	0
Rybp	435.454545	0	213	175	114	0	661	1121	178	306	1944	78	0
Ppm1a	435.454545	0	291	286	87	0	577	1157	257	321	1700	114	0
Hsp90aa1	435.181818	0	0	274	0	0	466	1113	282	414	2100	138	0
Map4	435.090909	0	1446	95	0	0	237	564	244	284	1788	128	0
Rpl36	434.909091	0	187	211	0	0	733	2139	106	117	1142	149	0
Micos13	434.909091	0	187	211	0	0	733	2139	106	117	1142	149	0
Focad	434.818182	0	324	0	0	0	539	1142	338	254	2082	104	0
Tars	434.545455	0	164	124	95	0	564	1185	234	201	2105	108	0
Akap11	434.454545	0	259	363	145	0	634	599	241	254	2167	117	0
Spg7	434.181818	0	0	0	0	0	439	954	247	588	2548	0	0
Rsl1d1	433.636364	0	0	156	0	0	579	1287	213	307	2050	178	0
Fam168b	432.454545	0	0	0	0	0	551	1389	251	331	2123	112	0
Eif4a1	432.181818	0	135	176	276	0	435	714	490	379	1912	237	0
Rps8	432.090909	0	200	257	104	0	702	1777	114	146	1273	180	0
Polr3d	431.818182	0	122	0	0	0	712	1742	210	246	1548	170	0
Scap	431.636364	0	0	184	0	0	457	1227	151	221	2431	77	0
Rpl21	431.636364	0	301	0	0	0	470	1457	171	281	2068	0	0
Rpl14	431.454545	0	553	228	198	0	630	844	271	316	1626	80	0
Taok2	431.363636	0	389	0	119	0	366	589	254	287	2620	121	0
Fra10ac1	430.272727	0	110	0	0	0	380	833	174	179	3057	0	0
Ppa1	429.454545	0	165	148	198	0	584	596	233	279	2410	111	0
Lrrc8b	429.363636	0	306	0	0	0	564	1113	161	249	2118	212	0
Trim37	428.818182	0	817	251	88	0	514	575	242	321	1909	0	0
Sbk1	428.727273	0	0	259	218	0	551	641	233	412	2271	131	0
Pbrm1	428.636364	0	93	281	217	0	528	1108	320	325	1746	97	0
Wbp4	428.454545	0	814	0	0	0	467	747	285	409	1928	63	0
Nras	428.454545	0	0	0	0	0	891	877	205	243	2412	85	0
Elf1	428.454545	0	814	0	0	0	467	747	285	409	1928	63	0
Marchf8	428.363636	0	222	113	0	0	512	993	167	324	2381	0	0
Wiz	428.272727	0	281	0	0	0	609	1138	230	143	2150	160	0
Imp3	427.727273	0	308	163	0	0	428	1051	255	136	2264	100	0
Rps3	427.636364	0	92	133	0	0	572	2047	264	240	1243	113	0
Ahcyl1	427.181818	0	137	0	0	0	503	1055	294	306	2296	108	0
Dnajc21	426.181818	0	0	0	0	0	539	1249	236	301	2363	0	0
Usp4	425.909091	0	562	0	0	0	559	677	181	215	2390	101	0
Pbld2	425.818182	0	277	196	182	0	644	955	384	257	1704	85	0
Hnrnph3	425.818182	0	277	196	182	0	644	955	384	257	1704	85	0
Rps11	425.727273	0	0	753	476	0	578	754	322	273	1415	112	0
Rpl13a	425.727273	0	0	753	476	0	578	754	322	273	1415	112	0
Uspl1	425.636364	0	338	171	187	0	547	965	233	303	1784	154	0
Rilpl2	425.181818	0	0	0	0	0	659	1517	360	301	1840	0	0
Lsm6	425.000000	0	83	0	0	0	541	994	185	325	2413	134	0
Srd5a1	423.363636	0	145	187	247	0	616	849	169	195	2006	243	0
Pgam1	423.363636	0	0	178	142	0	715	470	368	367	2417	0	0
