Target_genes	Nfil3|Average	SRX11995968|Heart	SRX11995969|Heart	SRX11995970|Heart	SRX11995971|Heart	SRX11995972|Heart	SRX11995973|Heart	SRX11995974|Heart	SRX11995975|Heart	SRX11995976|Heart	SRX11995977|Heart	SRX11995978|Heart	SRX10820639|Hematopoietic_progenitors	DRX178623|Liver	DRX178625|Liver	DRX178631|Liver	DRX178633|Liver	SRX655369|Liver	SRX8376387|Liver	SRX8376388|Liver	SRX11972855|RAW_264.7	SRX11972856|RAW_264.7	STRING
Ankrd40	199.428571	0	0	0	0	0	0	0	0	0	0	0	695	300	1923	0	0	395	0	0	380	495	0
Nepro	194.904762	0	0	0	141	0	139	0	0	0	0	0	287	1152	392	0	0	876	0	0	656	450	0
Fbxo3	194.714286	0	0	0	0	0	0	0	0	0	0	0	854	155	325	0	0	0	0	0	1559	1196	0
4931422A03Rik	194.714286	0	0	0	0	0	0	0	0	0	0	0	854	155	325	0	0	0	0	0	1559	1196	0
Stk32c	191.619048	0	0	0	0	0	0	0	0	0	0	0	232	732	2211	0	206	0	0	0	430	213	0
Pbld2	190.619048	0	0	0	407	0	0	0	0	0	0	0	724	252	1432	0	0	533	0	0	379	276	0
Hnrnph3	190.619048	0	0	0	407	0	0	0	0	0	0	0	724	252	1432	0	0	533	0	0	379	276	0
Kifc5b	189.476190	0	0	0	0	0	0	0	0	0	0	0	1068	284	1841	0	370	416	0	0	0	0	0
Rnf32	187.619048	0	0	0	0	0	0	0	0	0	0	0	0	1021	2501	0	211	207	0	0	0	0	0
Car3	187.095238	0	0	0	0	0	0	0	0	0	0	0	0	1584	1106	0	0	1239	0	0	0	0	0
Pdxk	186.714286	0	0	0	0	0	0	0	0	0	0	0	263	709	2383	0	0	207	0	0	209	150	0
Gm4925	185.333333	0	0	0	0	0	0	0	0	0	0	0	248	319	890	0	140	1164	0	0	659	472	0
Arl1	185.333333	0	0	0	0	0	0	0	0	0	0	0	248	319	890	0	140	1164	0	0	659	472	0
Cltc	184.714286	0	0	0	0	0	0	0	0	0	0	0	124	0	347	0	271	86	0	0	1682	1369	0
Ppp1r3b	183.666667	0	0	0	0	0	0	0	0	0	0	0	187	360	2686	0	223	401	0	0	0	0	0
Sephs2	182.047619	0	0	0	0	0	0	0	0	0	0	0	255	383	293	0	97	1052	0	0	1060	683	0
Lrrc27	181.809524	0	0	0	0	0	0	0	0	0	0	0	232	732	2211	0	0	0	0	0	430	213	0
Ppp1r3g	180.857143	0	0	0	0	0	0	0	0	0	0	0	0	1336	877	0	0	1585	0	0	0	0	0
Marveld1	179.809524	0	0	0	0	0	0	0	0	0	0	0	0	575	390	0	140	1880	0	0	497	294	0
Kifc1	179.714286	0	0	0	0	0	0	0	0	0	0	0	906	332	1845	0	380	311	0	0	0	0	0
Fbxo9	179.666667	0	0	0	0	0	0	0	0	0	0	0	159	360	1721	0	903	630	0	0	0	0	0
Cilk1	179.666667	0	0	0	0	0	0	0	0	0	0	0	159	360	1721	0	903	630	0	0	0	0	0
Btbd19	178.952381	0	0	0	0	0	0	0	0	0	0	0	1097	235	790	0	306	839	0	0	491	0	0
Mbd6	178.904762	0	0	0	109	0	0	0	0	0	0	0	692	539	1706	0	0	165	0	0	328	218	0
Ddit3	178.904762	0	0	0	109	0	0	0	0	0	0	0	692	539	1706	0	0	165	0	0	328	218	0
Atg7	174.761905	0	0	0	0	0	0	0	0	0	0	0	573	183	1381	0	0	561	0	0	638	334	0
Oxnad1	174.333333	0	0	0	0	0	0	0	0	0	0	0	748	346	1938	0	0	245	0	0	269	115	0
Dph3	174.333333	0	0	0	0	0	0	0	0	0	0	0	748	346	1938	0	0	245	0	0	269	115	0
Thnsl1	174.285714	0	0	0	0	0	0	0	0	0	0	0	285	612	2608	0	155	0	0	0	0	0	0
Enkur	174.285714	0	0	0	0	0	0	0	0	0	0	0	285	612	2608	0	155	0	0	0	0	0	0
Smarcd2	173.619048	0	0	0	0	0	0	0	0	0	0	0	401	535	1947	0	188	575	0	0	0	0	0
Arid1b	170.571429	0	0	0	159	0	0	0	0	0	0	0	131	119	357	0	0	1880	0	0	487	449	0
C9	170.476190	0	0	0	0	0	0	0	0	0	0	0	0	1490	1114	0	0	976	0	0	0	0	0
Rad1	169.952381	0	0	0	0	0	0	0	0	0	0	0	280	626	2264	0	192	207	0	0	0	0	0
Brix1	169.952381	0	0	0	0	0	0	0	0	0	0	0	280	626	2264	0	192	207	0	0	0	0	0
Sspn	169.095238	0	0	0	0	0	0	0	0	0	0	0	236	0	310	0	962	1192	177	0	380	294	0
Btg1	169.095238	0	0	0	0	0	0	0	0	0	0	0	303	649	2277	0	148	174	0	0	0	0	0
Tox4	168.714286	0	0	0	0	0	0	0	0	0	0	0	0	566	1677	0	1300	0	0	0	0	0	0
Rab2b	168.714286	0	0	0	0	0	0	0	0	0	0	0	0	566	1677	0	1300	0	0	0	0	0	0
Tnfsf13	168.380952	0	0	0	110	0	0	0	0	0	0	0	0	438	1207	0	0	533	0	0	711	537	0
Senp3	168.380952	0	0	0	110	0	0	0	0	0	0	0	0	438	1207	0	0	533	0	0	711	537	0
Mapre2	165.714286	0	0	0	0	0	0	0	0	0	0	0	132	314	1714	0	182	240	0	0	622	276	0
Lrrc61	164.095238	0	0	0	0	0	0	0	0	0	0	0	237	480	1727	0	153	517	0	0	169	163	0
Osbpl3	163.476190	0	0	0	0	0	0	0	0	0	0	0	411	0	395	0	190	466	0	0	1080	891	0
Fnip2	162.428571	0	0	0	0	0	0	0	0	0	0	0	0	276	158	0	89	1056	0	0	1071	761	0
Lin9	162.238095	0	0	0	0	0	0	0	0	0	0	0	315	219	1198	0	0	0	0	0	932	743	0
Cep120	161.619048	0	0	0	102	0	0	0	0	0	0	0	592	333	907	0	642	818	0	0	0	0	0
Tekt2	160.523810	0	0	0	0	0	0	0	0	0	0	0	0	349	2012	0	1010	0	0	0	0	0	0
Adprhl2	160.523810	0	0	0	0	0	0	0	0	0	0	0	0	349	2012	0	1010	0	0	0	0	0	0
Eif3a	160.238095	0	0	0	0	0	0	0	0	0	0	0	0	339	194	0	75	1738	0	0	549	470	0
Pcyox1	159.714286	0	0	0	0	0	0	0	0	0	0	0	0	578	2077	0	105	238	0	0	224	132	0
Sfi1	159.095238	0	0	0	0	0	0	0	0	0	0	0	0	207	1490	154	827	190	0	0	296	177	0
Kmt5b	157.333333	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	0	1758	1393	0
Bcl9l	156.428571	0	0	0	0	0	0	0	0	0	0	0	130	332	1271	0	365	310	0	0	421	456	0
Dynll2	156.380952	0	0	0	125	0	0	0	0	0	0	0	136	369	790	0	0	974	0	0	573	317	0
Mknk2	154.523810	0	0	0	0	0	116	0	0	0	0	0	0	478	1255	0	0	870	0	0	256	270	0
Etv4	153.666667	0	0	0	0	0	0	0	0	0	0	0	205	387	1523	0	0	0	0	0	632	480	0
Cd302	152.476190	0	0	0	0	0	0	0	0	0	0	0	0	537	241	0	129	1389	0	0	571	335	0
Ctdsp2	151.619048	0	0	0	200	0	0	0	0	0	0	0	374	258	1360	0	0	172	0	0	470	350	0
Nupl1	151.476190	0	0	0	0	0	0	0	0	0	0	0	379	286	1900	0	143	473	0	0	0	0	0
Zbtb7a	150.904762	0	0	0	0	0	0	0	0	0	0	0	411	508	1997	0	90	0	0	0	163	0	0
Mapkapk5	150.523810	0	0	0	0	0	0	0	0	0	0	0	413	850	251	0	0	1527	0	0	120	0	0
Dbr1	149.238095	0	0	0	0	0	0	0	0	0	0	0	386	359	2087	0	0	302	0	0	0	0	0
Ube2e2	148.000000	0	0	0	0	0	0	0	0	0	0	0	0	278	2469	0	0	199	0	0	0	162	0
Them5	147.428571	0	0	0	0	0	0	0	0	0	0	0	0	1049	428	0	0	1619	0	0	0	0	0
Sh3glb1	146.714286	0	0	0	0	0	0	0	0	0	0	0	0	322	1490	0	1007	262	0	0	0	0	0
Id1	146.666667	0	0	0	0	0	0	0	0	0	0	0	0	355	1664	0	0	213	0	0	407	441	0
Alpl	146.428571	0	0	0	0	0	0	0	0	0	0	0	0	542	505	0	0	2028	0	0	0	0	0
Slc16a12	144.476190	0	0	0	0	0	0	0	0	0	0	0	0	471	2205	0	164	194	0	0	0	0	0
Ak4	144.285714	0	0	0	0	0	0	0	0	0	0	0	152	382	2141	0	0	355	0	0	0	0	0
Ogt	143.952381	0	0	0	0	0	0	0	0	0	0	0	634	0	0	0	0	1154	0	0	786	449	0
Fam169b	143.285714	0	0	0	0	0	0	0	0	0	0	0	0	636	595	0	0	1778	0	0	0	0	0
Gab1	143.000000	0	0	0	0	0	0	0	0	0	0	0	0	575	2196	0	108	124	0	0	0	0	0
Trappc1	142.761905	0	0	0	0	0	0	0	0	0	0	0	669	316	1824	0	0	189	0	0	0	0	0
Kcnab3	142.761905	0	0	0	0	0	0	0	0	0	0	0	669	316	1824	0	0	189	0	0	0	0	0
Cntrob	142.761905	0	0	0	0	0	0	0	0	0	0	0	669	316	1824	0	0	189	0	0	0	0	0
Eef2	142.428571	0	0	0	0	0	0	0	0	0	0	0	108	104	256	0	236	1201	0	0	547	539	0
Dars2	141.857143	0	0	0	0	0	0	0	0	0	0	0	675	398	1275	0	117	218	0	0	174	122	0
Sh3gl1	141.619048	0	0	0	0	0	0	0	0	0	0	0	190	313	1712	0	759	0	0	0	0	0	0
Chaf1a	141.619048	0	0	0	0	0	0	0	0	0	0	0	190	313	1712	0	759	0	0	0	0	0	0
Homer2	141.428571	0	0	0	285	0	0	0	0	0	0	0	0	296	578	0	145	1666	0	0	0	0	0
Crocc	140.714286	0	0	0	0	0	0	0	0	0	0	0	468	471	1777	0	239	0	0	0	0	0	0
Zc3h4	140.142857	0	0	0	0	0	0	0	0	0	0	0	0	512	257	0	0	1280	0	0	515	379	0
Nanp	139.285714	0	0	0	0	0	0	0	0	0	0	0	135	161	1161	0	0	0	0	0	829	639	0
Leng9	139.095238	0	0	0	0	0	0	0	0	0	0	0	307	401	1647	0	0	131	0	0	265	170	0
Agmo	138.666667	0	0	0	0	0	0	0	0	0	0	0	0	641	261	0	0	1745	0	0	265	0	0
Uvrag	137.952381	0	0	0	0	0	0	0	0	0	0	0	154	607	1502	0	0	634	0	0	0	0	0
Plcd3	137.952381	0	0	0	0	0	0	0	0	0	0	0	0	255	1663	0	809	170	0	0	0	0	0
Acbd4	137.952381	0	0	0	0	0	0	0	0	0	0	0	0	255	1663	0	809	170	0	0	0	0	0
Ttc3	137.619048	0	0	0	0	0	0	0	0	0	0	0	190	0	986	0	0	0	0	0	1004	710	0
Pigp	137.619048	0	0	0	0	0	0	0	0	0	0	0	190	0	986	0	0	0	0	0	1004	710	0
Sorbs3	137.142857	0	0	0	0	0	0	0	0	0	0	0	418	226	680	0	0	1271	0	0	285	0	0
Sag	136.809524	0	0	0	0	0	0	0	0	0	0	0	0	788	471	0	0	1614	0	0	0	0	0
Uvssa	136.619048	0	0	0	0	0	0	0	0	0	0	0	546	334	1680	0	118	191	0	0	0	0	0
Stk25	135.904762	0	0	0	0	0	0	0	0	0	0	0	936	0	1320	0	0	199	0	0	227	172	0
Mphosph10	135.619048	0	0	0	0	0	0	0	0	0	0	0	318	198	2085	0	138	109	0	0	0	0	0
Mcee	135.619048	0	0	0	0	0	0	0	0	0	0	0	318	198	2085	0	138	109	0	0	0	0	0
Morc3	135.190476	0	0	0	137	0	0	0	0	0	0	0	236	377	343	0	0	328	0	0	880	538	0
Kdm3b	134.761905	0	0	0	0	0	0	0	0	0	0	0	0	255	1319	0	1095	161	0	0	0	0	0
Ppp1r15b	134.428571	0	0	0	0	0	0	0	0	0	0	0	308	263	940	0	129	1057	0	0	126	0	0
Chac1	134.238095	0	0	0	0	0	0	0	0	0	0	0	387	339	1932	0	0	161	0	0	0	0	0
Hivep2	133.619048	0	0	0	185	0	0	0	0	0	0	0	173	459	586	0	92	288	0	0	704	319	0
Per2	133.523810	0	0	0	0	0	0	0	0	0	0	0	150	391	1265	0	175	325	0	0	370	128	499
Itm2b	133.523810	0	0	0	162	0	0	0	0	0	0	0	0	258	186	0	0	1298	0	0	456	444	0
G3bp2	133.047619	0	0	0	0	0	0	0	0	0	0	0	175	495	1466	0	173	485	0	0	0	0	0
Gzf1	132.190476	0	0	0	0	0	0	0	0	0	0	0	382	280	1780	0	137	197	0	0	0	0	0
Hdgf	131.285714	0	0	0	0	0	0	0	0	0	0	0	453	194	952	0	0	0	0	0	699	459	0
Chmp1b	130.380952	0	0	0	0	0	0	0	0	0	0	0	511	197	1445	0	121	273	0	0	191	0	0
Fkbp8	130.238095	0	0	0	0	0	0	0	0	0	0	0	335	197	480	0	106	1617	0	0	0	0	0
Gmfb	130.190476	0	0	0	0	0	0	0	0	0	0	0	468	262	1561	0	121	171	0	0	151	0	0
Slc26a8	129.142857	0	0	0	0	0	0	0	0	0	0	0	308	0	1016	0	238	391	0	0	460	299	0
Mapk14	129.142857	0	0	0	0	0	0	0	0	0	0	0	308	0	1016	0	238	391	0	0	460	299	0
Zfp740	129.095238	0	0	0	0	0	0	0	0	0	0	0	0	670	402	0	0	1639	0	0	0	0	0
Slc46a3	129.095238	0	0	0	132	0	0	0	0	0	0	0	0	228	761	0	180	885	0	0	293	232	0
Zfyve9	128.857143	0	0	0	104	0	0	0	0	0	0	0	0	629	486	0	0	1357	0	0	130	0	0
Klf3	128.857143	0	0	0	0	0	0	0	0	0	0	0	0	523	233	0	0	1585	0	0	214	151	0
Cfb	128.666667	0	0	0	0	0	0	0	0	0	0	0	0	692	586	0	0	1424	0	0	0	0	0
Ticrr	128.285714	0	0	0	0	0	0	0	0	0	0	0	430	421	1540	0	86	0	0	0	217	0	0
Vps18	127.285714	0	0	0	0	0	0	0	0	0	0	0	183	0	1436	0	831	223	0	0	0	0	0
Gins4	127.238095	0	0	0	0	0	0	0	0	0	0	0	0	0	1740	0	932	0	0	0	0	0	0
Pole4	127.190476	0	0	0	0	0	0	0	0	0	0	0	280	257	1348	0	138	492	0	0	156	0	0
Hnrnpa2b1	126.904762	0	0	0	0	0	0	0	0	0	0	0	713	298	1194	0	98	218	0	0	144	0	0
Cbx3	126.904762	0	0	0	0	0	0	0	0	0	0	0	713	298	1194	0	98	218	0	0	144	0	0
Rev1	126.571429	0	0	0	0	0	0	0	0	0	0	0	263	0	235	0	192	0	0	0	1170	798	0
Slc17a1	126.523810	0	0	0	0	0	0	0	0	0	0	0	0	813	282	0	0	1562	0	0	0	0	0
Cmip	125.857143	0	0	0	0	0	0	0	0	0	0	0	0	236	538	0	0	1680	0	0	189	0	0
Sil1	125.666667	0	0	0	0	0	0	0	0	0	0	0	347	627	651	0	0	536	0	0	327	151	0
Sec24a	125.523810	0	0	0	0	0	0	0	0	0	0	0	121	867	357	0	0	1291	0	0	0	0	0
Birc5	125.523810	0	0	0	0	0	0	0	0	0	0	0	0	764	430	0	0	1442	0	0	0	0	0
Rnf5	124.000000	0	0	0	0	0	0	0	0	0	0	0	0	742	514	0	0	1348	0	0	0	0	0
Agpat1	124.000000	0	0	0	0	0	0	0	0	0	0	0	0	742	514	0	0	1348	0	0	0	0	0
Polr2m	122.666667	0	0	0	0	0	0	0	0	0	0	0	572	80	1156	0	0	572	0	0	196	0	0
Acat2	122.619048	0	0	0	0	0	0	0	0	0	0	0	331	268	1859	0	117	0	0	0	0	0	0
Tmco6	122.285714	0	0	0	0	0	0	0	0	0	0	0	465	380	1625	0	98	0	0	0	0	0	0
Rp9	122.238095	0	0	0	0	0	0	0	0	0	0	0	168	460	1238	0	242	459	0	0	0	0	0
Slc1a4	121.571429	0	0	0	0	0	0	0	0	0	0	0	644	93	1504	0	80	232	0	0	0	0	0
Isca1	121.095238	0	0	0	0	0	0	0	0	0	0	0	409	206	1279	0	119	110	0	0	304	116	0
Ivd	120.904762	0	0	0	130	0	0	0	0	0	0	0	0	357	147	0	0	592	0	0	789	524	0
Srprb	120.190476	0	0	0	0	0	0	0	0	0	0	0	228	209	1746	0	175	166	0	0	0	0	0
Fam120b	120.095238	0	0	0	0	0	0	0	0	0	0	0	535	146	726	0	138	439	0	0	340	198	0
Gabpb2	119.809524	0	0	0	0	0	0	0	0	0	0	0	324	0	277	0	230	1349	0	0	129	207	0
Sipa1l2	119.666667	0	0	0	0	0	0	0	0	0	0	0	0	758	999	0	0	756	0	0	0	0	0
Wbp2	119.571429	0	0	0	0	0	0	0	0	0	0	0	310	220	252	0	161	673	0	0	486	409	0
Gda	119.523810	0	0	0	0	0	0	0	0	0	0	0	0	0	239	0	273	758	0	0	697	543	0
Lrrc8d	119.476190	0	0	0	0	0	0	0	0	0	0	0	281	0	256	0	155	1272	0	0	357	188	0
Ces1d	119.190476	0	0	0	0	0	0	0	0	0	0	0	0	505	608	0	0	1390	0	0	0	0	0
Gcnt2	118.904762	0	0	0	0	0	0	0	0	0	0	0	358	476	0	0	0	867	0	0	451	345	0
Tut4	118.761905	0	0	0	0	0	0	0	0	0	0	0	0	593	291	0	155	1373	0	0	82	0	0
Tac4	117.952381	0	0	0	0	0	0	0	0	0	0	0	0	353	1380	0	744	0	0	0	0	0	0
Ankrd46	117.857143	0	0	0	0	0	0	0	0	0	0	0	0	520	619	0	0	1336	0	0	0	0	0
Fis1	117.523810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	814	0	0	969	685	0
Blnk	117.285714	0	0	0	0	0	0	0	0	0	0	0	0	293	212	0	0	389	0	0	898	671	0
Engase	117.142857	0	0	0	0	0	0	0	0	0	0	0	205	284	1971	0	0	0	0	0	0	0	0
Nudt15	116.904762	0	0	0	0	0	0	0	0	0	0	0	0	135	1072	0	716	0	0	0	334	198	0
Rnf13	116.857143	0	0	0	0	0	0	0	0	0	0	0	162	262	1538	0	113	379	0	0	0	0	0
Vmn2r102	116.380952	0	0	0	0	0	0	0	0	0	0	0	0	252	371	381	521	249	221	0	335	114	0
Pcgf5	116.238095	0	0	0	0	0	0	0	0	0	0	0	168	256	803	0	121	367	0	0	465	261	0
Arhgap35	116.238095	0	0	0	0	0	0	0	0	0	0	0	179	421	1738	0	103	0	0	0	0	0	0
Klhl9	116.190476	0	0	0	169	0	0	0	0	0	0	0	531	0	374	0	0	297	0	0	753	316	0
Ptprd	116.047619	0	0	0	0	0	0	0	0	0	0	0	0	529	395	0	0	1513	0	0	0	0	0
Lonrf3	115.809524	0	0	0	0	0	0	0	0	0	0	0	229	199	1018	0	0	199	0	0	485	302	0
Irx5	115.761905	0	0	0	135	0	0	0	0	0	0	0	344	0	684	0	0	0	0	0	752	516	0
Apba1	115.571429	0	0	0	0	0	0	0	0	0	0	0	0	387	1379	0	661	0	0	0	0	0	0
Dusp16	115.476190	0	0	0	140	0	0	0	0	0	0	0	176	284	0	0	0	917	0	0	550	358	0
Sos2	115.190476	0	0	0	0	0	0	0	0	0	0	0	239	515	131	0	0	1361	0	0	173	0	0
Rpl3l	115.142857	0	0	0	0	0	0	0	0	0	0	0	146	0	582	0	377	120	0	0	690	503	0
Angel2	115.095238	0	0	0	0	0	0	0	0	0	0	0	0	255	218	0	0	0	0	0	1187	757	0
Hnrnph1	115.047619	0	0	0	199	0	0	0	0	0	0	0	736	0	571	0	0	210	0	0	388	312	0
Snrpf	114.809524	0	0	0	123	0	0	0	0	0	0	0	444	286	365	0	0	802	0	0	229	162	0
Top1	114.714286	0	0	0	0	0	0	0	0	0	0	0	218	167	1588	0	116	159	0	0	161	0	0
Zmym5	114.571429	0	0	0	74	0	0	0	0	0	0	0	296	213	122	0	0	517	0	0	631	553	0
Sdc4	114.476190	0	0	0	0	0	0	0	0	0	0	0	0	954	571	0	164	715	0	0	0	0	0
Mfhas1	114.476190	0	0	0	0	0	0	0	0	0	0	0	0	493	1544	0	77	290	0	0	0	0	0
Cpt1a	114.095238	0	0	0	0	0	0	0	0	0	0	0	0	163	1103	0	282	848	0	0	0	0	0
Trim44	113.619048	0	0	0	0	0	0	0	0	0	0	0	148	293	1850	0	0	95	0	0	0	0	0
