Target_genes	Ar|Average	SRX286404|Epididymis	SRX286405|Epididymis	SRX286406|Epididymis	SRX358239|Epididymis	SRX358240|Epididymis	SRX358241|Epididymis	SRX358242|Epididymis	SRX4867863|Epididymis	SRX4867864|Epididymis	SRX4867865|Epididymis	SRX4867866|Epididymis	SRX286394|Kidney	SRX286395|Kidney	SRX286396|Kidney	SRX283734|Prostate	SRX283739|Prostate	SRX283744|Prostate	SRX283749|Prostate	SRX286380|Prostate	SRX286381|Prostate	SRX286382|Prostate	SRX286383|Prostate	SRX286384|Prostate	SRX286385|Prostate	SRX385391|Prostate	SRX385392|Prostate	SRX6745004|Prostate	SRX6745006|Prostate	SRX6745008|Prostate	SRX9681476|Prostate	SRX9681477|Prostate	SRX9681478|Prostate	SRX9681479|Prostate	SRX5576958|Prostate_organoids	SRX5576959|Prostate_organoids	SRX5576963|Prostate_organoids	SRX5576964|Prostate_organoids	SRX5576968|Prostate_organoids	SRX5576969|Prostate_organoids	SRX5576973|Prostate_organoids	SRX5576974|Prostate_organoids	SRX7713835|Prostate_organoids	SRX7713836|Prostate_organoids	SRX7713837|Prostate_organoids	SRX7713838|Prostate_organoids	SRX9067281|Prostate_organoids	SRX9067282|Prostate_organoids	SRX9067283|Prostate_organoids	SRX9067284|Prostate_organoids	SRX9067285|Prostate_organoids	SRX9067286|Prostate_organoids	SRX9067287|Prostate_organoids	SRX9067288|Prostate_organoids	SRX9067289|Prostate_organoids	SRX9101606|Prostate_stem_cell_line	SRX6745010|Prostate_tumor	SRX6745012|Prostate_tumor	SRX6745014|Prostate_tumor	SRX739215|Prostate_tumor	SRX739216|Prostate_tumor	SRX9863165|Prostatic_intraepithelial_neoplasia	SRX739214|Prostatic_Neoplasms	SRX739217|Prostatic_Neoplasms	SRX9820280|Skeletal_muscle	SRX4373906|Sperm	SRX4373907|Sperm	SRX20593358|Thymocytes	SRX20593359|Thymocytes	STRING
Kdm7a	405.573529	457	1794	2144	1740	1931	1481	1102	1101	1266	1546	2675	0	1284	1479	628	301	0	0	0	0	140	261	305	249	263	279	0	0	0	527	254	654	847	0	0	0	0	0	0	0	0	770	211	423	492	415	364	0	0	0	0	0	0	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ston1	399.000000	0	181	0	0	0	0	0	0	0	0	0	0	410	479	1149	753	0	223	0	0	767	812	278	475	1511	2048	364	617	279	1068	1074	1615	1764	601	693	824	550	0	0	266	417	975	638	1506	1550	0	0	0	305	195	438	544	762	837	0	0	0	0	0	0	0	164	0	0	0	0	0	0	0
Kpna1	398.764706	419	880	1276	735	1023	870	626	438	298	290	336	578	1294	1275	336	735	527	157	343	257	494	541	616	588	880	1145	0	0	0	869	972	952	1540	0	0	0	0	0	0	0	0	502	379	468	579	0	0	0	0	0	0	0	0	0	232	0	0	0	845	247	750	325	387	617	0	0	495	0	0
Cyth3	397.073529	0	1064	1096	540	821	557	280	636	499	917	1518	0	0	0	1474	774	86	126	0	0	862	920	443	358	1358	1454	515	765	188	871	731	1186	1481	0	0	0	0	0	0	0	0	145	0	0	168	0	0	0	288	427	630	1408	768	1508	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0
Sec22c	395.323529	0	994	1069	101	264	195	161	0	0	118	358	0	0	0	1428	1306	298	367	0	0	527	540	954	881	1488	1271	608	631	284	1836	1813	1847	1803	0	0	0	0	0	0	0	0	902	648	1709	1804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	677	0	0	0	0	0	0	0
Sptssa	389.088235	0	209	153	0	0	0	0	136	0	143	324	0	0	0	1342	651	170	194	0	0	613	569	165	178	189	0	204	325	0	996	813	1249	1435	0	204	0	0	0	0	0	0	2817	1944	2819	2838	248	227	0	572	419	1015	805	1274	1007	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0
Wnt7b	376.117647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1517	1190	298	331	0	0	724	766	538	659	2341	2460	170	456	252	1168	1119	1487	1831	219	410	446	363	0	0	251	350	360	195	940	876	0	0	0	125	255	362	852	1033	1048	0	0	0	0	0	0	0	184	0	0	0	0	0	0	451
Tmem125	374.705882	0	223	371	659	714	729	462	596	692	727	630	530	258	340	206	484	352	148	0	0	202	258	0	132	511	507	208	171	344	176	0	220	401	0	0	153	201	0	0	175	228	783	522	915	727	652	485	227	518	499	411	394	388	872	1732	429	432	550	644	135	426	275	95	403	293	536	129	0	0
Nf2	370.529412	290	1807	2042	591	831	242	112	1277	957	1880	2470	0	1001	1154	1423	316	0	0	0	0	677	736	654	581	359	0	652	476	0	394	224	382	349	0	0	0	0	0	0	0	0	805	333	810	846	0	0	0	0	0	0	190	335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abcb5	366.926471	206	1600	2021	596	874	255	117	756	938	1172	1836	0	0	0	1509	677	73	0	0	0	680	602	138	233	306	206	429	330	0	890	718	1028	1216	0	0	0	0	0	0	0	0	465	0	548	405	393	487	0	228	348	574	301	708	954	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Insl6	360.544118	0	1852	1587	1024	1186	0	0	1016	986	1236	2024	0	901	768	1532	391	0	0	0	0	843	846	750	593	223	0	350	0	0	540	259	571	590	0	0	0	0	0	0	0	0	592	370	571	697	0	0	0	0	0	321	150	890	745	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0
Fam117b	358.970588	0	1856	1864	1082	1258	776	266	756	627	1077	2082	0	1254	1327	1389	252	0	0	0	0	833	866	582	664	523	229	287	0	0	478	151	312	584	0	0	0	0	0	0	0	0	286	0	369	281	0	0	0	114	0	236	327	832	476	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0
Tmem229b	354.926471	0	1319	1380	1147	1092	1214	574	729	654	1020	1990	0	866	910	1005	376	0	0	0	0	496	626	483	435	674	1235	281	307	0	502	359	449	564	0	0	0	0	0	0	0	0	428	157	399	385	113	139	0	139	0	0	509	863	316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfand3	351.926471	0	821	702	0	0	0	0	1009	670	1361	2343	0	866	1008	1675	265	0	0	0	0	699	697	145	0	0	0	344	211	0	565	326	740	616	0	0	0	0	0	0	0	0	2379	1373	2577	2253	0	0	0	0	0	0	0	121	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Btnl9	344.926471	0	1113	913	0	196	130	0	0	0	0	172	0	0	0	1318	803	124	175	0	0	439	326	0	0	0	0	188	260	0	810	591	1254	1673	0	107	0	0	0	0	0	0	2388	1152	2393	2471	0	0	0	0	287	672	1119	1148	1127	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0
Zfp1	338.588235	0	1045	919	223	408	0	0	1034	1077	1520	2350	0	722	633	1030	245	0	0	0	0	280	357	219	196	0	119	305	0	0	302	164	275	367	0	201	0	0	0	0	0	0	1185	582	1304	1159	475	516	0	303	337	521	351	1059	1241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnase12	332.882353	260	1815	2070	1246	1936	858	524	2534	2085	2491	2723	0	1832	2017	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnase11	332.882353	260	1815	2070	1246	1936	858	524	2534	2085	2491	2723	0	1832	2017	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ninj2	332.647059	0	226	203	0	0	0	0	0	0	143	203	0	0	0	1388	1138	296	223	0	0	515	621	176	160	245	178	531	379	0	1340	1068	2091	1962	0	0	0	0	0	0	0	0	614	569	1841	2159	0	0	0	0	340	707	896	691	1231	0	0	0	0	0	77	0	409	0	0	0	0	0	0	0
Nsmce3	330.529412	152	1280	1209	693	827	908	421	716	665	1125	2028	0	0	0	1165	568	0	206	0	0	536	542	220	288	1689	2323	331	336	0	745	743	1208	1439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plin4	329.970588	119	1522	1882	1515	1716	1400	644	1719	1645	1579	2453	0	657	1114	1210	0	0	0	0	0	518	599	372	372	380	0	379	271	166	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Map3k6	328.470588	0	895	567	580	712	313	128	529	480	685	1566	0	559	607	1418	758	0	193	0	0	715	827	650	634	1151	578	212	354	262	500	264	473	522	0	0	0	0	0	0	0	0	294	199	494	477	0	0	0	338	231	789	311	717	1354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gjb3	323.691176	0	950	820	765	924	255	178	429	392	675	1445	0	901	1135	880	516	0	93	0	0	204	195	320	342	1190	1180	0	156	0	501	573	946	1261	0	0	0	0	0	0	0	0	730	267	542	580	230	138	0	279	122	424	242	667	564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il31ra	321.897059	211	534	585	810	787	683	544	185	212	355	674	614	938	856	215	473	211	0	217	120	502	501	526	646	892	823	238	227	0	801	923	943	1253	0	0	0	0	0	0	0	0	355	0	236	0	0	0	0	0	0	0	0	0	0	450	0	0	0	669	158	701	256	265	524	0	0	776	0	0
Wee1	321.382353	207	1138	831	318	562	586	245	786	738	1135	1930	0	481	644	502	148	0	0	0	0	300	366	178	215	187	384	181	0	0	342	174	426	541	0	190	0	0	0	0	0	0	1597	691	1594	1422	207	112	0	533	139	490	237	620	477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pmp22	321.176471	0	298	322	0	161	255	0	234	163	314	1317	0	0	0	978	472	0	0	0	0	205	267	0	0	459	771	0	0	0	649	623	917	1286	161	272	0	0	0	0	0	0	1634	898	1777	1564	483	340	0	885	304	1060	763	790	1108	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0
Asmt	320.867647	177	386	497	544	576	558	424	665	674	461	652	434	558	484	202	327	295	80	204	157	317	292	242	394	470	377	0	0	205	257	194	238	457	0	163	319	269	0	171	214	369	646	261	316	240	632	407	463	475	349	407	323	415	428	0	0	0	0	661	295	715	238	243	323	0	104	575	0	0
Sytl3	318.573529	0	1374	1313	794	839	626	358	745	606	738	1488	0	0	0	936	401	0	0	0	0	0	0	186	166	741	530	442	307	234	272	216	237	362	0	0	0	0	0	0	0	0	1676	1028	1550	1639	126	264	264	981	0	0	0	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Syt2	314.764706	0	1603	1829	1153	1063	0	0	383	241	541	1318	0	169	173	1538	507	0	137	0	0	1094	961	774	887	763	585	334	155	147	796	709	780	1152	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	172	284	572	368	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccl17	311.411765	363	1633	2004	1054	1350	934	802	1559	957	1721	2465	0	0	0	1347	218	0	0	0	0	407	610	325	338	430	333	555	183	145	434	172	325	357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0
Rasd1	305.455882	257	981	1350	528	859	537	295	625	633	1160	1619	0	0	0	1304	549	98	133	0	0	598	629	287	283	894	1027	244	296	0	705	697	988	1096	0	0	0	0	0	0	0	0	0	0	226	178	0	0	0	0	171	321	0	427	591	0	0	0	0	0	0	0	185	0	0	0	0	0	0	0
Cdc37l1	305.014706	168	1721	1879	208	753	433	134	1084	784	1241	2311	0	1633	1639	1164	165	0	0	0	0	329	255	141	197	253	323	0	193	0	310	389	374	430	0	0	0	0	0	0	0	0	592	233	624	589	0	0	0	0	0	0	0	96	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Obp2a	298.205882	0	718	584	118	99	0	0	859	742	790	1644	0	363	216	957	424	115	126	0	0	218	269	0	0	140	217	0	141	0	752	598	1374	1789	335	360	0	207	0	0	0	0	552	233	1771	1729	0	0	0	218	190	256	323	259	436	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0
Spint3	297.235294	451	1833	2235	1511	1886	1848	978	1715	1596	2352	3044	0	0	0	763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A930018P22Rik	296.338235	0	1371	1158	0	225	436	324	355	310	682	1398	0	164	0	690	216	0	0	0	0	185	309	0	205	0	321	0	0	0	970	530	680	962	0	0	0	0	0	0	0	0	2103	1214	2412	2429	0	0	0	294	0	0	0	0	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mapk1	294.897059	0	352	210	0	0	0	0	0	0	0	243	0	337	262	1542	968	231	152	0	0	452	358	286	225	161	132	324	608	0	1032	1119	1962	1997	0	0	0	0	0	0	0	0	532	273	2318	2341	0	0	0	199	0	162	0	427	422	73	0	0	0	0	0	0	353	0	0	0	0	0	0	0
Sesn1	293.455882	0	1520	1817	528	860	888	466	309	175	524	1246	0	0	0	1173	899	262	128	0	0	448	494	373	371	597	1467	307	0	0	965	645	1223	1369	0	0	0	0	0	0	0	0	0	0	271	0	0	0	0	0	0	0	0	0	240	0	0	0	0	0	0	0	390	0	0	0	0	0	0	0
Suox	289.852941	168	1576	1908	506	778	389	0	1679	1283	1748	2485	0	225	0	837	167	0	0	0	0	153	192	0	0	0	0	286	187	0	125	227	273	416	0	0	0	0	0	0	0	0	761	418	802	781	117	0	0	248	0	173	118	527	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scnn1a	289.132353	0	937	899	718	619	744	315	465	469	908	1640	0	0	0	811	263	173	0	0	0	179	202	220	179	821	1765	0	182	0	672	670	569	750	0	0	0	0	0	0	0	0	0	0	193	363	420	411	0	0	0	279	761	1524	540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chil3	286.147059	0	1524	1501	937	1338	1891	1025	1009	1059	1379	2784	0	163	172	294	0	0	0	0	0	171	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	311	294	0	0	349	1189	820	617	446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sestd1	283.676471	0	1988	1988	297	781	672	233	1920	1500	1405	2230	0	1984	2181	821	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	312	0	350	331	0	0	0	0	0	103	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plin5	280.750000	130	1445	1671	844	1264	425	368	1425	923	1230	1997	0	1686	1567	1039	0	0	0	0	0	339	385	231	187	287	151	299	0	0	147	0	154	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	151	255	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrg1	280.617647	130	1445	1671	844	1264	425	368	1425	923	1230	1997	0	1686	1567	1039	0	0	0	0	0	339	385	231	187	287	151	299	0	0	138	0	154	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	151	255	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ctr9	277.970588	0	0	0	0	0	0	0	0	0	0	0	0	135	0	742	371	0	0	0	0	242	247	256	259	519	1182	148	197	0	572	639	684	1216	376	416	250	306	0	0	327	365	1151	817	1385	1447	149	0	115	215	603	913	629	730	1299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wfdc15a	272.661765	0	1737	1747	586	902	217	148	1119	745	1053	1936	0	0	0	964	266	0	0	0	0	138	247	219	213	0	0	203	0	0	251	140	475	700	0	0	0	0	0	0	0	0	1000	509	732	769	0	0	0	188	0	352	0	178	807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dapk1	272.191176	0	594	470	242	215	0	0	521	319	683	1647	0	0	0	1229	785	0	177	0	0	404	494	309	358	1990	1445	181	252	234	861	1164	1641	1840	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304	0	0	0	0	0	0	0
Thap11	271.897059	477	1601	1256	543	579	225	0	179	0	465	1277	0	191	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2312	1432	2317	2363	226	256	0	1477	0	233	0	355	482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cenpt	271.897059	477	1601	1256	543	579	225	0	179	0	465	1277	0	191	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2312	1432	2317	2363	226	256	0	1477	0	233	0	355	482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plin3	269.617647	125	1478	1503	595	653	406	200	530	356	672	1348	0	513	666	1214	401	0	0	0	0	542	587	427	418	1079	1199	526	234	217	630	377	481	600	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adora1	268.441176	0	1476	1447	477	881	672	326	1094	760	1318	2176	0	0	0	1285	152	0	141	0	0	542	537	399	433	356	144	358	273	0	642	276	948	970	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0
Olfr750	263.132353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1038	741	0	135	0	0	607	609	466	436	1789	1782	181	380	209	532	554	1146	1436	0	164	0	0	0	0	0	185	204	145	0	0	0	0	0	0	720	1269	926	533	1706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xkr9	263.014706	0	1091	665	0	215	0	0	737	639	833	1623	0	1145	1184	1064	780	0	0	0	0	449	467	404	305	343	167	138	134	0	861	531	1216	1205	0	0	0	0	0	0	0	0	0	0	216	0	0	0	0	0	0	0	535	938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fut4	260.205882	0	878	891	0	190	132	0	500	340	706	1290	0	0	0	928	522	0	0	0	0	236	198	135	134	227	507	146	137	0	369	224	455	769	0	0	0	0	0	0	0	0	1218	711	1987	1583	0	0	0	289	159	530	0	517	699	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0
Trib1	258.220588	0	1199	1201	331	263	191	0	407	541	779	1724	0	99	0	1201	445	161	0	0	0	586	636	120	177	184	215	257	340	0	579	485	369	445	0	0	0	0	0	0	0	0	646	276	804	931	0	0	0	145	183	354	323	421	418	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0
Pdxdc1	253.397059	0	1816	1972	259	612	93	0	2041	1656	2113	2559	0	1482	1609	761	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpv17l	253.397059	0	1816	1972	259	612	93	0	2041	1656	2113	2559	0	1482	1609	761	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
