Target_genes	E2f3|Average	SRX871671|Intestinal_crypt	SRX871675|Intestinal_crypt	SRX871673|Intestinal_villus	SRX871677|Intestinal_villus	SRX106013|MEF	SRX106014|MEF	SRX1120753|MEF	SRX1120754|MEF	SRX1120756|MEF	STRING
H4c2	357.888889	607	427	365	172	578	0	393	679	0	0
Prim1	351.666667	743	750	452	434	359	0	126	301	0	0
Tuba1b	350.000000	636	433	415	251	687	0	239	489	0	0
Msh6	348.444444	554	347	318	203	1481	0	0	233	0	0
Rmi2	341.555556	564	360	265	158	1521	0	0	206	0	0
Azin1	339.666667	520	340	352	169	1446	0	0	230	0	0
Med9	338.666667	738	684	557	137	697	0	0	235	0	0
H4c1	338.222222	504	353	365	172	578	0	393	679	0	0
H3c1	338.222222	504	353	365	172	578	0	393	679	0	0
H1f1	338.222222	504	353	365	172	578	0	393	679	0	0
Slbp	337.666667	376	307	183	0	1323	0	303	547	0	0
H4c6	337.666667	742	620	627	148	174	0	197	531	0	0
H1f3	337.666667	742	620	627	148	174	0	197	531	0	0
Atad2	331.888889	662	465	427	137	787	0	204	305	0	0
Dchs2	329.222222	819	692	644	432	208	168	0	0	0	0
Wdr76	328.444444	752	639	397	398	188	0	160	422	0	0
Mfap1a	328.444444	752	639	397	398	188	0	160	422	0	0
Rfc4	324.000000	415	475	300	203	1133	0	121	269	0	0
Cdh12	324.000000	774	781	580	781	0	0	0	0	0	0
Tubb5	321.666667	464	288	267	0	750	0	453	673	0	0
Mdc1	321.666667	464	288	267	0	750	0	453	673	0	0
Ezh2	314.555556	603	472	486	116	755	0	155	244	0	429
Mcm3	309.444444	548	485	476	345	493	0	166	272	0	0
Ncapg2	308.222222	557	409	410	127	804	0	114	353	0	0
H2az2	308.000000	644	560	479	473	414	0	0	202	0	0
Zfat	307.333333	536	459	321	158	1292	0	0	0	0	0
Ubap2	307.000000	674	482	404	400	632	0	0	171	0	0
H3c15	303.000000	579	444	330	0	779	85	0	510	0	0
H3c14	303.000000	579	444	330	0	779	85	0	510	0	0
H2ac19	303.000000	579	444	330	0	779	85	0	510	0	0
H2ac18	303.000000	579	444	330	0	779	85	0	510	0	0
Glra1	302.444444	744	682	239	203	854	0	0	0	0	0
Cc2d1a	300.666667	631	576	501	365	456	0	0	177	0	0
4930432K21Rik	300.666667	631	576	501	365	456	0	0	177	0	0
Tmem230	299.444444	442	347	299	0	786	0	225	596	0	0
Pcna	299.444444	442	347	299	0	786	0	225	596	0	0
Snx5	294.444444	557	488	248	0	1017	0	105	235	0	0
Mgme1	294.444444	557	488	248	0	1017	0	105	235	0	0
Wee1	293.333333	443	394	302	287	992	132	0	90	0	0
Sbp	292.666667	603	519	516	227	412	0	0	357	0	0
Nhlrc2	291.555556	709	661	592	480	182	0	0	0	0	0
Dclre1a	291.555556	709	661	592	480	182	0	0	0	0	0
Mrps16	290.333333	485	504	357	333	492	0	0	442	0	0
Dnajc9	290.333333	485	504	357	333	492	0	0	442	0	0
Cdca7	288.111111	533	413	324	237	677	0	129	280	0	0
Cnot6	287.222222	520	488	468	251	529	0	142	187	0	0
Vars	285.111111	567	531	338	326	435	85	0	284	0	0
D17H6S56E-5	285.111111	567	531	338	326	435	85	0	284	0	0
E2f3	284.888889	690	633	580	239	158	0	0	264	0	0
Pclaf	284.555556	615	550	502	158	97	0	258	381	0	0
Gins2	280.888889	642	533	336	192	825	0	0	0	0	0
Gpr19	280.000000	608	507	275	260	870	0	0	0	0	0
Nop58	277.333333	643	426	525	339	130	0	0	433	0	0
Cenps	271.666667	450	423	321	169	781	0	0	301	0	0
Pbk	270.777778	811	552	532	0	142	0	110	290	0	0
Cdca4	270.000000	584	426	398	0	1022	0	0	0	0	0
Cdk1	269.444444	733	380	392	96	445	0	131	248	0	0
Mxd3	265.777778	541	433	334	0	810	0	0	274	0	0
U2af1	265.333333	382	208	167	78	1347	0	0	206	0	0
Srsf10	264.666667	508	380	360	246	746	0	0	142	0	0
Fuom	263.222222	694	742	501	432	0	0	0	0	0	0
Srsf4	261.666667	395	342	218	268	907	0	0	225	0	0
Hmgn2	259.888889	472	327	278	0	1262	0	0	0	0	0
Psmc4	259.777778	495	490	336	169	660	0	0	188	0	0
Ppp1r7	258.666667	445	463	452	227	206	0	154	381	0	0
Pask	258.666667	445	463	452	227	206	0	154	381	0	0
Mki67	255.777778	538	295	320	0	999	0	0	150	0	0
Alg8	252.888889	666	557	507	326	220	0	0	0	0	0
Tmpo	252.000000	497	392	352	306	519	0	0	202	0	0
Slc9a5	250.333333	712	654	379	251	147	0	0	110	0	0
Fhod1	250.333333	712	654	379	251	147	0	0	110	0	0
Rab8a	250.000000	450	491	238	239	739	0	0	93	0	0
Usp37	247.222222	371	358	370	299	559	0	0	268	0	0
Cnot9	247.222222	371	358	370	299	559	0	0	268	0	0
H4c8	244.666667	584	401	453	0	152	0	172	440	0	0
H3c8	244.666667	584	401	453	0	152	0	172	440	0	0
H2ac10	244.666667	584	401	453	0	152	0	172	440	0	0
Incenp	243.222222	645	474	460	0	460	0	0	150	0	0
Rplp2	241.666667	463	320	293	116	705	0	0	278	0	0
Pidd1	241.666667	463	320	293	116	705	0	0	278	0	0
Anapc5	240.777778	297	277	187	169	991	0	0	246	0	0
Siva1	240.444444	446	423	409	0	694	0	0	192	0	0
Nbn	240.222222	438	413	311	239	496	0	0	265	0	0
E2f8	239.666667	478	345	342	0	801	0	0	191	0	0
Haus6	239.222222	543	494	532	275	309	0	0	0	0	0
Nolc1	239.111111	510	546	321	263	222	0	0	290	0	0
Rif1	239.000000	177	126	126	0	1562	0	0	160	0	0
Prkdc	238.000000	609	528	370	240	237	0	0	158	0	0
Mcm4	238.000000	609	528	370	240	237	0	0	158	0	0
H4c12	238.000000	657	535	581	0	179	0	0	190	0	0
H2bc15	238.000000	657	535	581	0	179	0	0	190	0	0
H2ac15	238.000000	657	535	581	0	179	0	0	190	0	0
Pola2	237.555556	346	434	135	288	722	0	0	213	0	0
Hspa8	237.444444	210	0	138	0	1082	0	177	530	0	0
Nadk2	233.666667	710	545	458	288	102	0	0	0	0	0
Rrm2	232.111111	395	360	261	0	809	0	0	264	0	0
Pds5b	232.111111	583	602	313	263	328	0	0	0	0	0
Oser1	231.000000	417	367	314	176	702	103	0	0	0	0
Cdc6	229.222222	689	334	492	183	154	0	0	211	0	0
Tfdp1	229.111111	256	236	212	0	1063	0	0	295	0	0
Haus4	229.000000	460	332	321	0	725	0	0	223	0	0
Fbxo48	228.444444	585	523	374	118	291	0	0	165	0	0
Mms22l	227.777778	431	307	240	96	759	0	0	217	0	0
Bard1	227.777778	650	509	309	154	223	0	0	205	0	0
Rad54b	227.555556	428	271	207	116	1026	0	0	0	0	0
Rnf168	224.555556	459	396	308	127	376	0	0	355	0	0
Srrm1	224.222222	430	307	454	181	646	0	0	0	0	0
Zfp367	223.555556	433	178	352	0	686	0	0	363	0	0
Ctcf	223.333333	452	305	394	137	722	0	0	0	0	0
Sars2	222.777778	763	561	454	227	0	0	0	0	0	0
Mrps12	222.777778	763	561	454	227	0	0	0	0	0	0
Ssrp1	221.555556	342	247	239	0	922	0	0	244	0	0
P2rx3	221.555556	342	247	239	0	922	0	0	244	0	0
Ugp2	221.444444	509	338	242	106	798	0	0	0	0	0
Stn1	220.555556	493	397	379	127	589	0	0	0	0	0
Casp8ap2	218.888889	378	397	412	96	383	0	0	304	0	0
Dnmt1	218.555556	314	281	130	0	1018	0	0	224	0	0
Zfp687	217.222222	588	531	470	239	0	0	0	127	0	0
Mmaa	216.777778	189	157	0	78	1281	0	0	246	0	0
Rfc1	216.666667	282	166	199	0	1303	0	0	0	0	0
Phactr4	216.444444	308	222	234	157	831	0	0	196	0	0
Hinfp	215.444444	596	410	498	0	308	0	0	127	0	0
Hmbs	213.888889	591	478	485	251	120	0	0	0	0	0
Gins3	213.555556	510	397	386	0	480	0	0	149	0	0
Nasp	213.444444	489	437	397	380	0	0	0	218	0	0
Ttc24	213.000000	655	491	350	0	254	0	0	167	0	0
Iqgap3	213.000000	655	491	350	0	254	0	0	167	0	0
Usp5	212.777778	712	464	627	0	0	0	0	112	0	0
Cdca3	212.777778	712	464	627	0	0	0	0	112	0	0
Arrb2	212.000000	371	417	252	148	720	0	0	0	0	0
H2bc12	211.444444	717	418	540	0	108	120	0	0	0	0
H2ac12	211.444444	717	418	540	0	108	120	0	0	0	0
Clcc1	210.777778	146	159	126	0	1239	0	0	227	0	0
Naa16	209.888889	212	145	125	0	635	88	162	522	0	0
Chaf1b	208.888889	304	272	232	0	1072	0	0	0	0	0
Cdkn2a	208.444444	226	0	220	0	1211	0	0	219	0	0
Tcf19	207.777778	233	90	115	0	877	0	206	349	0	0
Cchcr1	207.777778	233	90	115	0	877	0	206	349	0	0
Ipp	207.333333	254	90	252	0	927	0	0	343	0	0
Wwox	207.222222	317	283	321	263	392	289	0	0	0	0
Casp7	206.555556	256	169	212	0	1222	0	0	0	0	0
Ddx39b	206.333333	233	134	170	0	1064	0	0	256	0	0
Med6	205.444444	496	432	442	214	122	0	0	143	0	0
H2ax	205.000000	642	480	307	0	108	0	0	308	0	0
Sh3gl1	204.666667	307	395	180	143	696	0	0	121	0	0
Chaf1a	204.666667	307	395	180	143	696	0	0	121	0	0
Mcm6	203.666667	339	383	302	288	408	0	0	113	0	0
Gabpb2	203.222222	473	488	246	137	211	0	0	274	0	0
Zfp280d	202.777778	271	145	178	0	1014	0	0	217	0	0
Atad5	202.000000	412	393	310	169	299	0	0	235	0	0
Fbxo47	201.555556	573	501	444	296	0	0	0	0	0	0
Fam90a1b	201.444444	599	283	239	0	289	0	106	297	0	0
Apoo	201.444444	599	283	239	0	289	0	106	297	0	0
Anp32e	201.222222	666	450	447	0	0	101	0	147	0	0
Tmem125	200.666667	413	333	344	447	0	0	139	130	0	0
Ppia	200.666667	386	307	174	203	650	86	0	0	0	0
Cmc2	200.666667	382	148	187	0	868	0	0	221	0	0
Cenpn	200.666667	382	148	187	0	868	0	0	221	0	0
Hnrnpa3	200.222222	156	117	138	0	1231	0	0	160	0	0
Zfp948	200.000000	575	505	351	369	0	0	0	0	0	0
Mybl2	199.888889	367	261	174	0	751	0	0	246	0	0
Ccne1	199.222222	403	156	186	0	958	0	0	90	0	0
Rsrc2	198.444444	589	499	375	163	0	0	0	160	0	0
Naa40	198.444444	256	191	82	0	1152	0	0	105	0	0
Kntc1	198.444444	589	499	375	163	0	0	0	160	0	0
Nup85	198.000000	447	374	215	181	341	0	0	224	0	0
Zfp383	197.888889	459	469	364	192	155	0	0	142	0	0
Zfp27	197.888889	459	469	364	192	155	0	0	142	0	0
Rrm1	196.777778	488	390	317	197	379	0	0	0	0	0
Rasl10a	196.777778	500	307	279	192	493	0	0	0	0	0
Gas2l1	196.777778	500	307	279	192	493	0	0	0	0	0
Zgrf1	196.555556	522	293	391	132	431	0	0	0	0	0
Larp7	196.555556	522	293	391	132	431	0	0	0	0	0
Csf2ra	196.111111	420	519	394	432	0	0	0	0	0	0
Nup50	194.222222	182	0	150	0	989	0	0	427	0	0
Vmn2r4	194.111111	446	478	336	487	0	0	0	0	0	0
Zfp143	194.000000	402	402	326	616	0	0	0	0	0	0
Paxip1	192.444444	170	191	0	0	1371	0	0	0	0	0
Sart3	192.333333	393	224	212	0	902	0	0	0	0	0
Iscu	192.333333	393	224	212	0	902	0	0	0	0	0
Ing4	192.222222	438	481	326	388	0	0	0	97	0	0
Hmgb2	191.777778	550	349	314	0	103	0	0	410	0	0
Msh5	191.222222	509	287	297	87	273	0	92	176	0	0
Clic1	191.222222	509	287	297	87	273	0	92	176	0	0
Fam111a	190.333333	341	236	230	0	682	0	0	224	0	0
Nbr1	190.000000	463	531	320	181	215	0	0	0	0	0
Kif2c	190.000000	671	332	435	0	0	0	0	272	0	0
Brca1	190.000000	463	531	320	181	215	0	0	0	0	0
Rbm3	189.000000	510	531	385	275	0	0	0	0	0	0
Nuf2	188.444444	637	355	409	0	108	0	0	187	0	0
Mycn	188.222222	678	520	350	0	0	0	0	146	0	0
Ccng2	188.222222	664	402	384	0	86	0	0	158	0	0
Jrkl	187.555556	283	212	171	100	922	0	0	0	0	0
Ccdc82	187.555556	283	212	171	100	922	0	0	0	0	0
Cdkn2c	187.333333	388	251	248	0	799	0	0	0	0	0
Fignl1	187.222222	226	140	0	0	1128	0	0	191	0	0
Tcf3	187.111111	570	493	458	0	163	0	0	0	0	0
Otud4	187.111111	180	144	126	0	1115	0	0	119	0	0
Top2a	186.555556	587	446	399	0	0	0	0	247	0	0
Kras	185.777778	209	118	212	0	1133	0	0	0	0	0
Dpysl2	185.666667	329	295	0	158	817	72	0	0	0	0
Pmel	185.555556	256	138	103	0	1002	0	0	171	0	0
Cdk2	185.555556	256	138	103	0	1002	0	0	171	0	0
Fmnl3	185.000000	188	118	138	0	996	0	0	225	0	0
Cdk19	185.000000	603	490	357	215	0	0	0	0	0	0
Ecscr	184.666667	626	542	336	158	0	0	0	0	0	0
1700066B19Rik	184.666667	626	542	336	158	0	0	0	0	0	0
Raver1	184.222222	292	371	336	0	659	0	0	0	0	0
Cdc7	184.222222	397	190	248	0	533	0	0	290	0	0
H3c4	184.000000	532	322	450	263	89	0	0	0	0	0
H2bc8	184.000000	532	322	450	263	89	0	0	0	0	0
H2bc7	184.000000	532	322	450	263	89	0	0	0	0	0
H2ac8	184.000000	532	322	450	263	89	0	0	0	0	0
H2ac7	184.000000	532	322	450	263	89	0	0	0	0	0
Elof1	183.777778	577	423	439	215	0	0	0	0	0	0
Aurkb	183.777778	609	524	422	0	99	0	0	0	0	0
Zw10	183.111111	526	325	325	0	472	0	0	0	0	0
Bcl2l11	182.888889	479	384	212	96	475	0	0	0	0	0
Zbtb14	182.555556	463	314	444	137	285	0	0	0	0	0
Erdr1	181.555556	338	239	209	167	338	343	0	0	0	0
Ipo9	180.111111	136	99	174	0	1050	0	0	162	0	0
Primpol	179.333333	447	312	173	116	452	0	0	114	0	0
Casp3	179.333333	447	312	173	116	452	0	0	114	0	0
Agfg2	179.111111	373	484	237	268	250	0	0	0	0	0
Hint1	178.555556	265	294	180	127	667	74	0	0	0	0
Ipo5	178.444444	348	283	181	0	794	0	0	0	0	0
Chek1	178.111111	467	267	336	146	173	0	0	214	0	0
Ptbp3	178.000000	260	221	138	0	983	0	0	0	0	0
Ankle1	178.000000	656	410	199	0	166	0	0	171	0	0
Josd1	177.444444	536	351	316	137	257	0	0	0	0	0
Gtpbp1	177.444444	536	351	316	137	257	0	0	0	0	0
Cd2bp2	177.444444	462	514	307	192	122	0	0	0	0	0
Tmem258	177.000000	280	259	162	96	491	0	0	305	0	0
Fen1	177.000000	280	259	162	96	491	0	0	305	0	0
Mto1	176.111111	435	362	282	106	243	0	0	157	0	0
Cgas	176.111111	435	362	282	106	243	0	0	157	0	0
Micu1	175.666667	542	374	214	83	368	0	0	0	0	0
Irf2bp1	175.222222	423	457	307	288	102	0	0	0	0	0
Fbxo5	175.222222	219	204	180	0	611	0	139	224	0	0
Cdt1	174.666667	365	213	138	96	510	0	0	250	0	0
Hpf1	174.555556	171	157	0	0	1068	0	0	175	0	0
Hnrnpul1	173.111111	408	357	318	215	155	0	0	105	0	0
Fancl	173.000000	409	286	196	169	343	0	0	154	0	0
Dck	172.777778	154	0	0	0	1034	0	149	218	0	0
Exosc6	172.444444	446	213	350	0	203	80	0	260	0	0
Ddx20	171.888889	454	376	236	148	248	85	0	0	0	0
Slc35g3	171.777778	447	295	266	0	399	0	0	139	0	0
Polr2a	171.777778	447	295	266	0	399	0	0	139	0	0
Gnat1	171.666667	393	202	199	96	535	0	0	120	0	0
Nup153	171.555556	464	469	222	207	182	0	0	0	0	0
Txndc12	171.000000	383	240	134	0	782	0	0	0	0	0
Tfb1m	171.000000	310	302	218	148	561	0	0	0	0	0
Btf3l4	171.000000	383	240	134	0	782	0	0	0	0	0
Lin52	170.666667	421	402	205	148	206	0	0	154	0	0
Aldh6a1	170.666667	421	402	205	148	206	0	0	154	0	0
Kif16b	170.555556	546	424	308	116	141	0	0	0	0	0
Fxn	170.555556	369	204	170	0	792	0	0	0	0	0
Polr2m	169.888889	410	359	185	158	223	0	0	194	0	0
Tmco1	169.555556	136	0	0	0	1169	0	0	221	0	0
Brip1	169.333333	492	243	429	116	101	0	0	143	0	0
A430005L14Rik	169.111111	222	169	138	127	745	0	0	121	0	0
Ccne2	169.000000	190	199	133	0	999	0	0	0	0	0
H2ac4	168.888889	607	427	338	0	148	0	0	0	0	0
Rbl1	168.777778	380	292	259	157	291	0	0	140	0	0
Ccnl1	168.777778	188	0	150	0	989	0	0	192	0	0
Atf6	168.333333	562	408	327	137	81	0	0	0	0	0
Timeless	168.000000	222	169	150	60	700	0	0	211	0	0
Rad51	167.111111	470	412	245	116	261	0	0	0	0	0
Pitpnb	165.888889	177	0	212	0	972	0	0	132	0	0
Zfp511	165.777778	280	271	225	116	600	0	0	0	0	0
Tubgcp2	165.777778	280	271	225	116	600	0	0	0	0	0
Fosl2	165.777778	446	389	254	78	325	0	0	0	0	0
Mtrr	165.666667	245	128	103	0	902	0	0	113	0	0
Fastkd3	165.666667	245	128	103	0	902	0	0	113	0	0
N4bp1	165.444444	408	307	279	227	268	0	0	0	0	0
Nucks1	165.333333	538	456	293	0	201	0	0	0	0	0
Gmnn	165.000000	258	192	126	137	772	0	0	0	0	0
Mbd4	164.777778	585	423	279	0	196	0	0	0	0	0
Ift122	164.777778	585	423	279	0	196	0	0	0	0	0
Ppat	164.666667	308	304	173	213	354	0	0	130	0	0
Paics	164.666667	308	304	173	213	354	0	0	130	0	0
Btbd10	164.111111	356	310	300	158	353	0	0	0	0	0
Elf2	164.000000	386	231	244	92	264	0	0	259	0	0
Ubr7	163.888889	268	202	195	88	615	0	0	107	0	0
H3c2	163.888889	607	427	338	0	103	0	0	0	0	0
Gon7	163.888889	268	202	195	88	615	0	0	107	0	0
Gm20604	163.888889	268	202	195	88	615	0	0	107	0	0
Kbtbd6	163.777778	463	413	417	181	0	0	0	0	0	0
Coq2	163.444444	206	226	227	96	716	0	0	0	0	0
Mapk3	162.777778	494	373	212	0	386	0	0	0	0	0
Cep41	162.666667	368	190	251	106	549	0	0	0	0	0
Dek	162.555556	309	278	326	0	550	0	0	0	0	0
Myc	162.111111	410	349	150	0	144	0	0	406	0	0
Ttc32	161.666667	590	384	312	0	169	0	0	0	0	0
Lrr1	161.444444	450	344	177	192	290	0	0	0	0	0
Esco2	161.000000	448	451	225	0	204	0	0	121	0	0
Ccdc25	161.000000	448	451	225	0	204	0	0	121	0	0
Ran	160.888889	180	186	129	0	953	0	0	0	0	0
Jpt2	160.888889	136	138	0	0	889	0	0	285	0	0
Pole4	160.666667	231	0	126	0	1089	0	0	0	0	0
Vmn2r102	159.666667	282	330	210	294	191	130	0	0	0	0
Chd1l	159.666667	190	113	91	0	811	0	0	232	0	0
Tra2b	159.222222	299	262	153	127	255	0	164	173	0	0
Ube2cbp	158.888889	404	274	154	144	454	0	0	0	0	0
Dop1a	158.888889	404	274	154	144	454	0	0	0	0	0
Depdc5	158.888889	568	464	398	0	0	0	0	0	0	0
Stmn1	158.333333	343	185	157	96	469	0	0	175	0	0
Exoc6	157.888889	539	256	264	127	235	0	0	0	0	0
Zfpl1	157.777778	499	332	394	0	195	0	0	0	0	0
Tmem262	157.777778	499	332	394	0	195	0	0	0	0	0
Cdca5	157.777778	499	332	394	0	195	0	0	0	0	0
Vps26b	157.666667	425	224	212	0	413	0	0	145	0	0
Trim27	157.666667	247	126	82	87	659	0	0	218	0	0
Ppp1ccb	157.666667	392	202	238	0	345	0	0	242	0	0
Ppp1cc	157.666667	392	202	238	0	345	0	0	242	0	0
Ncapd3	157.666667	425	224	212	0	413	0	0	145	0	0
Smc6	156.888889	421	137	342	0	512	0	0	0	0	0
Gen1	156.888889	421	137	342	0	512	0	0	0	0	0
Ccnb2	156.777778	419	247	187	0	435	0	0	123	0	0
Ncapd2	156.666667	489	236	283	0	402	0	0	0	0	0
Mrpl51	156.666667	489	236	283	0	402	0	0	0	0	0
Dgcr8	156.444444	286	138	229	0	617	0	0	138	0	0
Nup62	156.333333	263	185	162	106	518	0	0	173	0	0
Il4i1b	156.333333	263	185	162	106	518	0	0	173	0	0
Atf5	156.333333	263	185	162	106	518	0	0	173	0	0
Asxl1	156.222222	329	246	329	181	321	0	0	0	0	0
Zbtb2	156.000000	276	201	229	294	404	0	0	0	0	0
Grcc10	155.888889	292	271	126	0	714	0	0	0	0	0
Cenpf	155.777778	372	320	388	0	322	0	0	0	0	0
Chn1	155.555556	188	306	174	148	584	0	0	0	0	0
Pds5a	155.222222	204	183	174	0	836	0	0	0	0	0
Ppil4	154.444444	304	204	138	0	744	0	0	0	0	0
Cdkn1a	154.111111	250	207	199	0	541	0	0	190	0	0
Nxt1	153.666667	342	191	266	0	584	0	0	0	0	0
Actn4	153.555556	201	0	145	0	1036	0	0	0	0	0
Macroh2a1	153.000000	210	159	126	0	882	0	0	0	0	0
Cenpb	153.000000	317	191	162	0	707	0	0	0	0	0
Rbm12b2	152.888889	462	371	325	218	0	0	0	0	0	0
Pelp1	152.777778	465	287	212	137	274	0	0	0	0	0
Mthfd1l	152.111111	232	81	93	0	740	0	0	223	0	0
Kpna3	151.444444	173	159	202	0	578	0	0	251	0	0
Zmynd19	150.666667	219	208	82	137	596	0	0	114	0	0
Bnip5	150.666667	572	355	429	0	0	0	0	0	0	0
Foxn2	150.555556	199	152	143	0	743	0	0	118	0	0
E2f2	150.444444	416	354	249	251	84	0	0	0	0	0
Donson	150.222222	177	138	150	0	887	0	0	0	0	0
Zfp689	149.777778	645	297	406	0	0	0	0	0	0	0
Cdc45	149.777778	478	351	298	127	94	0	0	0	0	0
Tfap4	149.555556	536	492	126	0	0	0	0	192	0	0
Spice1	149.222222	248	145	171	0	779	0	0	0	0	0
Ube2s	148.888889	432	0	370	0	538	0	0	0	0	0
Pole2	148.888889	377	250	174	96	443	0	0	0	0	0
Twistnb	148.666667	352	353	162	157	163	151	0	0	0	0
Lrrc8d	148.444444	327	210	396	148	255	0	0	0	0	0
Fchsd2	147.666667	97	99	0	0	928	0	0	205	0	0
Timm50	147.222222	317	159	103	0	584	0	0	162	0	0
Gm10130	147.111111	487	320	336	181	0	0	0	0	0	0
Gins1	147.000000	357	356	249	137	224	0	0	0	0	0
Sumo2	146.777778	213	204	138	0	766	0	0	0	0	0
Uba2	146.222222	133	109	126	0	773	0	0	175	0	0
Kif23	146.111111	312	99	317	0	587	0	0	0	0	0
Hells	146.111111	225	148	160	0	782	0	0	0	0	0
Tonsl	146.000000	379	353	239	251	92	0	0	0	0	0
Ppil1	145.888889	350	283	150	96	196	0	0	238	0	0
BC004004	145.888889	350	283	150	96	196	0	0	238	0	0
Ost4	145.777778	199	191	115	0	807	0	0	0	0	0
Stk19	145.555556	210	247	93	0	592	0	0	168	0	0
Dxo	145.555556	210	247	93	0	592	0	0	168	0	0
Nop53	145.111111	487	384	266	169	0	0	0	0	0	0
Nudcd2	145.000000	499	348	458	0	0	0	0	0	0	0
Hmmr	145.000000	499	348	458	0	0	0	0	0	0	0
Tfrc	144.888889	350	234	191	0	529	0	0	0	0	0
Bub1	144.777778	519	293	315	0	176	0	0	0	0	0
Misp	144.666667	406	345	336	215	0	0	0	0	0	0
Calu	144.333333	370	213	108	0	608	0	0	0	0	0
Ubxn6	144.222222	489	402	225	0	182	0	0	0	0	0
Hdgfl2	144.222222	489	402	225	0	182	0	0	0	0	0
Ift140	144.000000	450	175	334	0	337	0	0	0	0	0
Cramp1l	144.000000	450	175	334	0	337	0	0	0	0	0
Adss	144.000000	119	59	98	0	891	0	0	129	0	0
Slc25a27	143.666667	496	345	452	0	0	0	0	0	0	0
Cyp39a1	143.666667	496	345	452	0	0	0	0	0	0	0
Zfp934	143.111111	233	0	212	0	402	0	162	279	0	0
Mcm7	143.000000	399	344	202	111	231	0	0	0	0	0
Ap4m1	143.000000	399	344	202	111	231	0	0	0	0	0
Sgo1	142.666667	413	202	272	0	397	0	0	0	0	0
Tcof1	142.444444	500	259	424	0	99	0	0	0	0	0
Sh3rf2	142.444444	587	409	286	0	0	0	0	0	0	0
Serinc3	142.222222	491	395	251	0	143	0	0	0	0	0
Kctd9	142.111111	340	138	323	0	478	0	0	0	0	0
Cdca2	142.111111	340	138	323	0	478	0	0	0	0	0
Tex30	141.444444	477	352	215	0	229	0	0	0	0	0
Pabpc1	141.444444	218	164	0	0	891	0	0	0	0	0
Rpa2	141.222222	343	312	256	198	0	0	0	162	0	0
Zswim9	140.888889	212	159	82	0	669	0	0	146	0	0
Mcm5	140.888889	361	249	180	106	209	0	0	163	0	0
Lig1	140.888889	212	159	82	0	669	0	0	146	0	0
Mcph1	140.777778	341	81	199	0	646	0	0	0	0	0
Rpl3	140.222222	565	376	321	0	0	0	0	0	0	0
Cntrl	140.222222	188	128	0	0	850	0	0	96	0	0
Pold2	140.111111	177	169	115	0	800	0	0	0	0	0
Pdzd8	139.777778	136	114	0	0	1008	0	0	0	0	0
Ticrr	139.111111	369	252	226	0	207	0	0	198	0	0
Rint1	138.888889	462	284	134	215	155	0	0	0	0	0
Pus7	138.888889	462	284	134	215	155	0	0	0	0	0
Tmem143	138.111111	403	336	150	106	248	0	0	0	0	0
Syngr4	138.111111	403	336	150	106	248	0	0	0	0	0
Sec23ip	138.000000	233	208	126	0	675	0	0	0	0	0
Mcmbp	138.000000	233	208	126	0	675	0	0	0	0	0
Cenpc1	137.444444	474	484	279	0	0	0	0	0	0	0
H2bc6	136.888889	456	306	236	137	97	0	0	0	0	0
Vps26c	136.555556	370	128	122	0	455	0	0	154	0	0
Dhrs13	136.555556	0	0	0	0	1229	0	0	0	0	0
Ccdc9	136.444444	367	259	293	106	203	0	0	0	0	0
