Target_genes	Tbr1|Average	SRX22670282|Cortex	SRX22670283|Cortex	SRX4632659|Cortex	SRX4632662|Cortex	SRX4632663|Cortex	SRX1121025|Embryonic_brains	STRING
Gpr84	376.333333	533	918	313	321	0	173	0
A1bg	376.000000	522	488	596	650	0	0	0
Tmem91	375.166667	328	1071	266	220	0	366	0
Tcaim	375.166667	260	585	365	505	0	536	0
B9d2	375.166667	328	1071	266	220	0	366	0
Atp1a3	374.833333	604	494	504	647	0	0	0
Rap2a	372.500000	554	708	312	359	0	302	0
Cenpu	371.833333	320	1144	223	284	0	260	0
Klhdc9	371.500000	375	343	561	574	0	376	0
Ppp2r5e	371.333333	383	957	388	352	0	148	0
Cltc	370.833333	375	927	318	386	0	219	0
Zfp148	370.166667	338	890	432	391	0	170	0
Syt3	369.666667	325	841	250	257	0	545	0
Lztfl1	369.666667	504	745	299	488	0	182	0
H4f16	368.833333	319	1251	206	265	0	172	0
H2aj	368.833333	319	1251	206	265	0	172	0
Hcn3	368.500000	435	810	440	526	0	0	0
Gm45927	368.500000	435	810	440	526	0	0	0
Clk2	368.500000	435	810	440	526	0	0	0
Slc35e2	363.833333	609	855	439	280	0	0	0
Tmem125	362.000000	499	413	245	267	223	525	0
Cstf2t	361.833333	325	858	323	368	0	297	0
Tnr	360.666667	555	678	338	237	0	356	0
Optc	356.833333	229	856	368	411	0	277	0
Ppp1r14bl	352.833333	385	1022	259	186	0	265	0
Olfr62	351.333333	490	358	495	765	0	0	0
Tpr	349.666667	416	681	400	357	0	244	0
Odr4	349.666667	416	681	400	357	0	244	0
Tmed9	349.166667	543	333	589	630	0	0	0
Bahcc1	348.500000	525	658	387	521	0	0	0
Timm21	345.666667	264	885	376	355	0	194	0
Fbxo15	345.666667	264	885	376	355	0	194	0
Foxp2	343.833333	406	797	211	157	0	492	0
Trim44	342.666667	465	358	683	550	0	0	0
Zcwpw2	339.500000	452	689	252	356	0	288	0
Azi2	339.500000	452	689	252	356	0	288	0
Zranb2	338.500000	421	1002	355	253	0	0	0
Utp3	338.166667	429	710	330	383	0	177	0
Nfkbiz	337.500000	381	483	636	525	0	0	0
Pxk	337.166667	328	902	284	287	0	222	0
Acvr1c	336.166667	368	667	424	425	0	133	0
Pafah2	333.833333	441	769	164	265	0	364	0
Zfp746	333.500000	227	888	442	444	0	0	0
Olfr713	329.833333	405	300	609	665	0	0	0
Chordc1	329.500000	467	688	301	258	0	263	0
Rubcn	329.333333	231	772	259	354	0	360	0
Fyttd1	329.333333	231	772	259	354	0	360	0
Rbm25	328.666667	249	695	149	171	0	708	0
Syt7	328.000000	632	524	298	309	0	205	0
Tsn	327.833333	397	995	285	290	0	0	0
Dazap2	327.333333	513	616	387	448	0	0	0
Trak1	326.500000	470	754	98	146	0	491	0
Mmachc	326.000000	197	647	401	344	0	367	0
Mblac1	326.000000	464	686	297	332	0	177	0
Ccdc163	326.000000	197	647	401	344	0	367	0
Atxn2	326.000000	480	692	473	311	0	0	0
Chl1	324.500000	242	502	258	246	0	699	0
Eapp	323.500000	336	995	185	184	0	241	0
Lrrc7	323.166667	395	622	291	277	0	354	0
Ttc14	323.000000	235	908	215	282	0	298	0
Actr3	322.500000	443	879	289	226	0	98	0
Kcnip4	322.333333	399	1144	78	0	0	313	0
Gramd1b	320.500000	556	758	263	247	0	99	0
Il1r2	320.333333	308	631	264	370	0	349	0
Slc29a1	316.166667	593	495	332	294	0	183	0
Mymx	316.166667	593	495	332	294	0	183	0
Cops8	316.166667	256	790	280	260	0	311	0
Txnl4b	315.333333	262	728	280	261	0	361	0
Dhx38	315.333333	262	728	280	261	0	361	0
Megf9	312.500000	272	1116	296	191	0	0	0
Smarca5	311.333333	365	672	378	453	0	0	0
Sf3a3	309.666667	298	673	326	409	0	152	0
Ppil3	308.833333	352	591	394	297	0	219	0
Nif3l1	308.833333	352	591	394	297	0	219	0
Golga7	307.500000	315	1036	194	300	0	0	0
Calm1	307.500000	430	925	183	181	0	126	0
Ezr	307.333333	519	446	352	527	0	0	0
Gpx8	306.666667	757	359	350	374	0	0	0
Tlk2	306.166667	281	693	400	463	0	0	0
Ccn1	305.666667	218	1384	107	125	0	0	0
Kmt2a	305.166667	314	768	262	316	0	171	0
Cdyl2	305.000000	462	611	436	321	0	0	0
Colgalt1	304.666667	270	700	284	293	0	281	0
Dnajc10	304.000000	265	874	307	378	0	0	0
Mtf2	303.666667	253	869	274	253	0	173	0
Map3k1	303.166667	484	244	539	552	0	0	0
Ccni	302.166667	276	920	211	225	0	181	0
2010109A12Rik	302.166667	276	920	211	225	0	181	0
Spty2d1	301.333333	369	638	262	310	0	229	0
Tsc1	301.000000	431	636	240	248	0	251	0
Rufy3	298.666667	213	822	230	307	0	220	0
Adgrf3	296.500000	518	290	330	390	0	251	0
Nsg2	293.333333	312	816	196	180	0	256	0
Ogfrl1	293.000000	289	355	311	226	0	577	0
Eloc	292.333333	316	625	289	383	0	141	0
Nup153	292.166667	200	795	245	175	0	338	0
Tmem144	292.000000	335	555	426	436	0	0	0
Slc9a1	291.666667	352	773	202	156	0	267	0
Pigo	291.333333	218	828	289	237	0	176	0
Calm2	291.333333	465	770	132	170	0	211	0
Psap	291.166667	372	777	243	236	0	119	0
Cyp51	291.166667	265	871	256	162	0	193	0
Rbm6	291.000000	438	379	437	492	0	0	0
Mmp16	291.000000	355	668	340	234	0	149	0
Cxxc4	290.333333	545	622	291	284	0	0	0
Stx16	289.833333	494	629	235	166	0	215	0
Me2	289.666667	327	753	227	281	0	150	0
Knl1	289.500000	264	671	254	235	0	313	0
Slitrk1	288.833333	442	584	261	198	0	248	0
Dusp23	288.166667	334	820	166	173	0	236	0
Smg7	285.333333	535	652	290	235	0	0	0
Msra	285.333333	392	474	201	230	0	415	0
Tnnt3	284.000000	416	342	458	488	0	0	0
Ssbp2	283.833333	308	733	249	413	0	0	0
H2-DMa	283.666667	565	341	374	422	0	0	0
Brd2	283.666667	565	341	374	422	0	0	0
Madd	283.333333	421	661	231	272	0	115	0
Nsfl1c	283.166667	356	600	209	299	0	235	0
Limk2	282.833333	314	861	159	217	0	146	0
Kdm3a	282.833333	371	787	221	200	0	118	0
Zbtb40	282.666667	262	708	174	188	0	364	0
Wwox	282.333333	332	608	216	286	252	0	0
Krtap16-1	282.333333	491	356	355	378	0	114	0
Mfsd8	282.000000	322	739	223	311	0	97	0
Uspl1	280.166667	342	790	168	194	0	187	0
Polr3k	280.166667	201	731	321	230	0	198	0
Nacc2	279.333333	224	910	86	85	0	371	0
Ncbp3	279.166667	305	610	209	230	0	321	0
Mc3r	278.500000	0	390	0	126	0	1155	0
Fam104a	278.500000	336	676	257	218	0	184	0
D11Wsu47e	278.500000	336	676	257	218	0	184	0
Slc35c2	278.166667	243	625	224	198	0	379	0
Lrp12	276.500000	345	796	191	327	0	0	0
Kat6a	276.500000	357	658	347	297	0	0	0
Phyhip	276.166667	327	726	266	212	0	126	0
Xrn1	276.000000	362	585	307	325	0	77	0
Efhd2	275.500000	357	437	411	448	0	0	0
Uba52	274.666667	217	844	329	258	0	0	0
Rex1bd	274.666667	217	844	329	258	0	0	0
Oard1	274.666667	323	467	440	418	0	0	0
Nfya	274.666667	323	467	440	418	0	0	0
Gpatch4	274.666667	286	708	206	262	0	186	0
Poldip3	274.500000	229	894	175	206	0	143	0
Mphosph10	274.500000	348	638	165	265	0	231	0
Mcee	274.500000	348	638	165	265	0	231	0
Prkce	274.333333	251	658	210	182	0	345	0
Comtd1	274.000000	282	536	136	274	0	416	0
A430057M04Rik	274.000000	282	536	136	274	0	416	0
Phpt1	273.833333	495	523	277	348	0	0	0
Mamdc4	273.833333	495	523	277	348	0	0	0
Ajm1	273.833333	495	523	277	348	0	0	0
Slc8a1	273.500000	241	764	0	120	0	516	0
Dennd4b	273.333333	217	603	439	381	0	0	0
Nme1	273.166667	344	687	194	235	0	179	0
Fmn1	272.833333	609	702	170	156	0	0	0
Efcab6	272.833333	611	297	383	346	0	0	0
Ppfia4	272.500000	292	617	199	235	0	292	0
Fra10ac1	271.666667	259	846	199	154	0	172	0
Rab27b	271.333333	332	406	240	273	0	377	0
Gas7	271.333333	297	698	219	194	0	220	0
Mtg1	270.333333	261	853	307	201	0	0	0
Zhx3	270.166667	294	677	323	327	0	0	0
Slc30a7	269.833333	1265	269	0	85	0	0	0
Msl1	269.833333	578	561	247	233	0	0	0
Extl2	269.833333	1265	269	0	85	0	0	0
Ddah2	269.833333	413	570	332	304	0	0	0
Cwc22	269.500000	299	740	371	207	0	0	0
Mrpl39	269.166667	130	588	134	211	0	552	0
Necab1	267.833333	500	508	369	230	0	0	0
Ncam1	267.666667	338	535	208	163	0	362	0
Zfp692	267.500000	310	486	284	146	0	379	0
Sh3bgrl2	266.666667	399	817	169	215	0	0	0
Oga	266.666667	359	681	251	309	0	0	0
Tsc22d2	266.500000	518	330	281	470	0	0	0
Smarcd1	265.500000	314	491	223	277	0	288	0
Rbm39	265.166667	257	633	259	195	0	247	0
Svs4	264.833333	498	270	450	371	0	0	0
Vpreb1	264.666667	352	695	202	137	0	202	0
Top3b	264.666667	352	695	202	137	0	202	0
Lsg1	264.500000	202	722	236	252	0	175	0
Hacl1	264.000000	363	223	559	439	0	0	0
Btd	264.000000	363	223	559	439	0	0	0
Tfap4	263.833333	609	353	212	206	0	203	0
Rpl27	263.666667	197	622	324	180	0	259	0
Krt87	263.666667	200	413	226	240	0	503	0
Slc35g3	262.833333	202	933	125	191	0	126	0
Polr2a	262.833333	202	933	125	191	0	126	0
Mgat4c	261.666667	219	769	179	199	0	204	0
Prph	261.333333	393	372	376	427	0	0	0
Dcp1a	260.833333	257	800	205	158	0	145	0
Smg8	260.000000	330	667	170	290	0	103	0
Olfr325	260.000000	159	646	184	166	0	405	0
Trib2	259.333333	598	151	352	282	0	173	0
Spg7	258.333333	231	794	164	253	0	108	0
Slc33a1	258.333333	326	729	177	114	0	204	0
Maco1	258.333333	331	699	283	237	0	0	0
Ndufs7	258.000000	323	727	139	185	0	174	0
Wdr25	257.666667	399	719	242	186	0	0	0
Wars	257.666667	399	719	242	186	0	0	0
Polr3f	257.666667	270	804	273	199	0	0	0
Dzank1	257.666667	270	804	273	199	0	0	0
Fam149b	257.500000	381	750	170	126	0	118	0
Ecd	257.500000	381	750	170	126	0	118	0
Deptor	257.500000	186	707	222	134	0	296	0
Lrr1	256.833333	189	848	203	222	0	79	0
Hexim2	255.500000	395	783	112	140	0	103	0
Adnp	255.500000	387	378	343	206	0	219	0
Rdm1	255.333333	309	817	208	198	0	0	0
Rnf150	254.833333	323	519	228	200	0	259	0
D2hgdh	254.666667	196	750	269	313	0	0	0
Poglut3	254.500000	327	578	229	177	0	216	0
Wnt9a	254.166667	414	313	280	339	0	179	0
Vps35l	253.833333	420	494	261	241	0	107	0
Rae1	253.666667	209	565	252	297	0	199	0
Nr6a1	253.666667	317	580	290	335	0	0	0
Dmap1	253.333333	198	571	263	208	0	280	0
Selenom	253.166667	319	546	274	272	0	108	0
Stx18	252.833333	305	532	210	217	0	253	0
Hace1	252.666667	346	516	289	205	0	160	0
Ptcd2	252.166667	250	771	298	194	0	0	0
Mrps27	252.166667	250	771	298	194	0	0	0
Sgf29	252.000000	213	911	179	209	0	0	0
Ccdc88a	251.500000	276	675	225	173	0	160	0
Ulk2	250.666667	193	921	181	209	0	0	0
Pik3cb	250.000000	240	654	119	101	0	386	0
Gid4	250.000000	316	686	171	178	0	149	0
Eif3d	249.000000	335	749	234	176	0	0	0
Itgb3bp	248.666667	225	811	274	0	0	182	0
Ilf2	248.666667	275	625	208	150	0	234	0
Guf1	248.666667	396	654	167	167	0	108	0
Efcab7	248.666667	225	811	274	0	0	182	0
Pheta1	248.333333	349	298	384	459	0	0	0
Flywch1	248.333333	273	681	134	193	0	209	0
Mob4	248.166667	288	783	203	215	0	0	0
Psmg1	247.333333	276	674	241	293	0	0	0
Ythdc1	247.166667	358	631	146	166	0	182	0
Plekhh3	247.166667	310	616	308	249	0	0	0
Cntnap1	247.166667	310	616	308	249	0	0	0
Ccr10	247.166667	310	616	308	249	0	0	0
Ldb2	247.000000	248	426	211	475	0	122	0
Iqch	246.833333	239	893	179	170	0	0	0
Aagab	246.833333	239	893	179	170	0	0	0
Tmem121b	246.500000	240	533	180	178	0	348	0
Taf12	246.500000	397	659	94	132	0	197	0
Hipk1	246.500000	234	648	192	277	0	128	0
Car3	246.166667	344	243	434	456	0	0	0
Ap1ar	245.833333	186	817	122	185	0	165	0
Slc6a15	245.333333	368	508	163	155	0	278	0
Arid4a	245.333333	360	548	281	283	0	0	0
Ap1g1	245.333333	336	537	148	235	0	216	0
Srsf1	244.666667	266	702	204	142	0	154	0
Rpl21	244.333333	241	682	250	293	0	0	0
Pias2	244.333333	253	686	329	198	0	0	0
Abhd6	244.333333	211	293	246	194	219	303	0
Kansl3	244.166667	287	615	238	325	0	0	0
Fer1l5	244.166667	287	615	238	325	0	0	0
Mfap3l	243.500000	413	574	279	195	0	0	0
Tmc7	242.500000	187	447	390	431	0	0	0
Gtf3c6	242.500000	317	531	190	219	0	198	0
Olfr459	242.166667	142	793	190	124	0	204	0
Mrps31	242.000000	250	535	246	228	0	193	0
Tbcb	241.833333	344	605	283	219	0	0	0
Polr2i	241.833333	344	605	283	219	0	0	0
Ovol3	241.833333	344	605	283	219	0	0	0
Trim41	241.333333	220	609	201	327	0	91	0
St8sia1	241.000000	371	553	160	185	0	177	0
Ncald	240.333333	236	356	364	328	0	158	0
Ankrd46	240.333333	159	640	217	221	0	205	0
Pmepa1	240.000000	211	884	166	179	0	0	0
Kif15	239.666667	234	634	221	251	0	98	0
Ap3s2	239.666667	264	624	175	266	0	109	0
1110059G10Rik	239.666667	234	634	221	251	0	98	0
Armc8	239.500000	323	638	223	253	0	0	0
Zfat	239.000000	249	715	143	173	0	154	0
Rangap1	238.166667	275	465	0	210	0	479	0
Gm6551	238.000000	70	608	389	361	0	0	0
Dolpp1	237.833333	320	618	268	221	0	0	0
Prmt5	237.333333	210	554	150	218	0	292	0
Tmem252	236.833333	196	574	131	258	0	262	0
Ccrl2	236.000000	0	582	487	347	0	0	0
Ska2	235.833333	367	711	159	178	0	0	0
Prr11	235.833333	367	711	159	178	0	0	0
Gria1	235.833333	145	563	226	203	0	278	0
Mlip	235.166667	387	547	200	137	0	140	0
Drg2	235.000000	354	571	190	130	0	165	0
Rev1	234.833333	121	799	237	252	0	0	0
St18	234.666667	215	470	181	148	0	394	0
Srsf7	234.500000	326	804	142	135	0	0	0
Zfp579	234.333333	261	746	160	239	0	0	0
Rimklb	234.166667	452	665	174	114	0	0	0
Zfp341	233.666667	274	660	208	260	0	0	0
Clasp2	233.666667	315	461	204	189	0	233	0
Nrxn1	233.500000	170	791	156	139	0	145	0
Rpl37	233.333333	248	624	215	215	0	98	0
Nfil3	233.166667	264	666	204	265	0	0	0
Mynn	232.666667	364	512	312	208	0	0	0
Fmod	232.666667	231	506	249	410	0	0	0
Actrt3	232.666667	364	512	312	208	0	0	0
Acsf3	232.500000	227	673	170	131	0	194	0
Gdpd4	232.166667	212	614	0	0	0	567	0
Tanc2	231.833333	186	427	0	273	0	505	0
Smc5	231.666667	562	461	162	205	0	0	0
Tfb2m	230.833333	277	790	121	94	0	103	0
Ptpn2	230.833333	208	814	128	235	0	0	0
Cnst	230.833333	277	790	121	94	0	103	0
Yipf2	230.666667	374	588	195	227	0	0	0
Timm29	230.666667	374	588	195	227	0	0	0
Tob2	229.833333	302	578	154	120	0	225	0
Zfp963	229.333333	163	862	157	194	0	0	0
Nfat5	229.166667	201	706	225	243	0	0	0
Trappc9	228.833333	212	567	183	195	0	216	0
Ints10	228.666667	317	406	136	260	0	253	0
Ctnnb1	228.500000	265	794	145	167	0	0	0
Mlx	228.166667	146	457	266	318	0	182	0
Hsd17b1	228.166667	146	457	266	318	0	182	0
Coasy	228.166667	146	457	266	318	0	182	0
Npvf	228.000000	241	661	0	124	0	342	0
Cacybp	227.666667	254	557	202	210	0	143	0
Usp47	227.500000	174	618	243	330	0	0	0
Sla	227.500000	194	809	123	94	0	145	0
Polg	227.333333	191	528	196	222	0	227	0
Htra2	227.333333	315	638	127	132	0	152	0
Dqx1	227.333333	315	638	127	132	0	152	0
Zbtb22	227.000000	223	422	244	251	0	222	0
Tapbp	227.000000	223	422	244	251	0	222	0
Nlgn3	225.666667	592	376	202	184	0	0	0
1700010I14Rik	225.333333	188	403	204	195	0	362	0
Khdrbs2	225.000000	372	267	290	421	0	0	0
Tax1bp3	224.666667	309	592	189	258	0	0	0
Emc6	224.666667	309	592	189	258	0	0	0
Zfp959	224.166667	195	673	177	162	0	138	0
Tmem242	223.833333	316	545	127	219	0	136	0
Abca12	223.833333	0	582	0	121	0	640	0
Tmcc1	223.666667	310	439	208	193	0	192	0
Sirt4	223.666667	401	643	155	143	0	0	0
Zfp119a	223.500000	246	684	202	209	0	0	0
Zfp768	223.000000	401	530	218	189	0	0	0
Pacsin2	222.333333	177	646	152	137	0	222	0
Dynll1	222.333333	290	580	228	236	0	0	0
Arid1a	222.166667	232	467	193	140	0	301	0
Gm94	222.000000	296	280	256	500	0	0	0
Gria2	221.833333	264	592	150	172	0	153	0
Zbtb8os	221.666667	286	552	195	187	0	110	0
Rbbp4	221.666667	286	552	195	187	0	110	0
Zfp113	221.500000	193	620	122	123	0	271	0
Mettl25	221.000000	121	744	159	138	0	164	0
Ccdc59	221.000000	121	744	159	138	0	164	0
Trim7	220.333333	190	482	192	122	0	336	0
Btbd8	220.333333	176	707	204	235	0	0	0
Slc39a9	219.000000	219	733	176	186	0	0	0
Erh	219.000000	219	733	176	186	0	0	0
Gnai3	218.833333	408	420	111	248	0	126	0
Hes7	218.500000	320	311	165	297	0	218	0
Erich4	218.500000	381	288	428	214	0	0	0
Ccdc71l	218.333333	267	375	252	416	0	0	0
H4c14	218.166667	154	778	127	131	0	119	0
Rnd3	218.000000	159	392	273	306	0	178	0
Trap1	217.500000	148	676	213	172	0	96	0
Ppig	217.500000	233	577	193	117	0	185	0
Pias4	217.500000	566	252	264	223	0	0	0
Mrpl44	217.500000	254	671	0	176	0	204	0
Cat	217.500000	193	418	271	423	0	0	0
Bzw1	217.500000	161	563	189	243	0	149	0
Zcchc7	217.166667	235	611	136	127	0	194	0
Ppp6r3	217.166667	318	756	144	85	0	0	0
Dnajc11	217.166667	280	528	273	222	0	0	0
Calm3	217.000000	304	598	183	217	0	0	0
Mettl26	216.666667	208	390	197	216	0	289	0
Apc	216.666667	291	527	226	151	0	105	0
Rabl2	216.500000	258	679	178	184	0	0	0
Ppp2r1b	216.500000	283	498	98	130	0	290	0
Tbc1d17	216.333333	243	593	138	189	0	135	0
Akt1s1	216.333333	243	593	138	189	0	135	0
Tma16	216.166667	340	670	131	156	0	0	0
Cplane1	215.500000	274	691	177	151	0	0	0
Ube2d3	215.166667	273	673	130	126	0	89	0
Srsf10	215.166667	236	373	200	136	0	346	0
Wwp1	214.666667	145	660	217	266	0	0	0
Acad9	214.500000	205	622	150	81	0	229	0
Aars2	214.500000	155	550	191	224	0	167	0
Slc37a2	214.166667	168	468	141	271	0	237	0
Robo3	214.166667	229	415	0	144	0	497	0
Snrpd3	214.000000	331	414	177	188	0	174	0
Rpl5	214.000000	221	722	0	135	0	206	0
Gucd1	214.000000	331	414	177	188	0	174	0
Eif2b5	214.000000	112	677	128	213	0	154	0
Mef2a	213.833333	265	742	153	123	0	0	0
Fbrs	213.833333	172	569	164	176	0	202	0
Timm22	213.500000	330	512	190	76	0	173	0
Ddx20	213.500000	268	607	80	122	0	204	0
Nubp1	213.166667	185	712	227	155	0	0	0
Acp2	213.166667	179	655	183	129	0	133	0
Eif2s1	213.000000	270	560	223	225	0	0	0
Atp6v1d	213.000000	270	560	223	225	0	0	0
Nus1	212.833333	164	632	174	217	0	90	0
Il31ra	212.666667	0	0	0	0	202	1074	0
Otud4	212.166667	130	596	189	216	0	142	0
Mettl9	211.833333	228	536	198	309	0	0	0
Olfr806	211.666667	215	311	212	0	219	313	0
Ddit4	211.666667	250	692	160	168	0	0	0
Csrnp2	211.666667	132	748	147	243	0	0	0
Sgca	211.000000	255	446	257	206	0	102	0
Syn1	210.666667	296	632	160	176	0	0	0
Srek1ip1	210.666667	219	589	201	139	0	116	0
Gnb2	210.666667	268	476	169	196	0	155	0
Dcdc5	210.666667	246	691	0	0	0	327	0
Cwc27	210.666667	219	589	201	139	0	116	0
Rpl10a	210.333333	151	599	271	168	0	73	0
Dpy19l4	210.166667	190	533	279	259	0	0	0
Pdk2	210.000000	290	482	182	207	0	99	0
Zfp804b	209.833333	243	377	343	296	0	0	0
Ywhaq	209.833333	309	603	166	181	0	0	0
Ubb	209.333333	229	621	124	128	0	154	0
Pde7a	209.166667	180	794	122	159	0	0	0
Fam43a	209.166667	124	528	0	121	0	482	0
Zfp146	209.000000	215	638	108	99	0	194	0
Lsp1	208.333333	493	265	203	151	0	138	0
Cacng5	208.333333	383	339	273	255	0	0	0
Ctnna3	208.166667	260	430	200	125	0	234	0
Plcb2	208.000000	403	845	0	0	0	0	0
Arhgef7	207.666667	357	577	140	172	0	0	0
Zfp955a	207.500000	203	344	410	288	0	0	0
Anapc5	207.500000	169	626	150	161	0	139	0
Bves	207.166667	483	143	267	171	0	179	0
Raly	207.000000	242	671	191	138	0	0	0
H4c18	206.833333	169	718	122	101	0	131	0
H4bc24	206.833333	169	718	122	101	0	131	0
H2bc23	206.833333	169	718	122	101	0	131	0
H2ac24	206.833333	169	718	122	101	0	131	0
H2ac23	206.833333	169	718	122	101	0	131	0
Ttc41	206.666667	172	533	259	276	0	0	0
Tmem260	206.666667	186	426	225	210	0	193	0
Hsp90b1	206.666667	172	533	259	276	0	0	0
Ppil4	206.500000	225	795	123	96	0	0	0
Runx1t1	206.333333	257	534	0	0	0	447	0
Zfp433	206.000000	225	705	150	156	0	0	0
Mpp7	206.000000	297	731	120	88	0	0	0
Gm32687	206.000000	225	705	150	156	0	0	0
Spred1	205.833333	229	496	145	128	0	237	0
Fmc1	205.833333	458	417	155	205	0	0	0
A130010J15Rik	205.666667	231	593	202	208	0	0	0
Stip1	205.166667	256	578	138	122	0	137	0
Atp6v0e	205.166667	168	578	112	187	0	186	0
Tjp3	204.666667	214	668	107	239	0	0	0
Pip5k1c	204.666667	214	668	107	239	0	0	0
Tmem134	204.500000	386	342	283	216	0	0	0
Lmtk2	204.500000	121	702	241	163	0	0	0
Aip	204.500000	386	342	283	216	0	0	0
Plppr3	204.333333	347	289	114	199	0	277	0
